"selection_code";"description"
"WCRU01M";"Bed places in accommodation establishments . Time granularity: Year. Territory types: State, Region"
"SLD005AT01";"Population aged 15 and over by highest educational attainment by regions, AD MEP and municipalities. Time granularity: Census Year. Territory types: State, Region, AD MEP, Municipality"
"WCRU02T1";"Occupancy in collective accommodation establishments. Time granularity: Year. Territory types: State, Region"
"WCRU02T2";"Occupancy in collective accommodation establishments by region. Time granularity: Year. Territory types: State, Region"
"WCRU02G";"Guests in collective accommodation establishments in the CR. Time granularity: Year. Territory types: State, Region"
"WCRU02M";"Occupancy in collective accommodation establishments. Time granularity: Year. Territory types: State, Region"
"RESDP03";"Survival of enterprises birth for a period of 5 years according to the prevailing economic activity. Territory types: State"
"RESDP02T1";"High-growing enterprises by employment by prevailing economic activity . Time granularity: Year. Territory types: State"
"RESDP01T1";"Enterprises having at least one employee by prevailing economic activity. Time granularity: Year. Territory types: State"
"RESDP01T2";"Enterprises having at least one employee by prevailing economic activity and category of legal form. Time granularity: Year. Territory types: State"
"RESDP01T3";"Enterprises having at least one employee by prevailing economic activity and size by number of employees. Time granularity: Year. Territory types: State"
"RESDP00T1";"Enterprises by prevailing economic activity. Time granularity: Year. Territory types: State"
"RESDP00T2";"Enterprises by prevailing economic activity and category of legal form. Time granularity: Year. Territory types: State"
"RESDP00T3";"Enterprises by prevailing economic activity and size by number of employees. Time granularity: Year. Territory types: State"
"SZB08A";"Recipients of pensions old-age pension and disability pension (including any simultaneously) (asat December of the relevant year. Time granularity: Year. Territory types: State, Region, District"
"SZB08AA";"Recipients of pensions old-age pension and disability pension (including any simultaneously) (asat December of the relevant year -  Territorial comparison. Time granularity: Year. Territory types: State, Region, District"
"STAV501AT1";"Construction work ""S"" in the Czech Republic . Time granularity: Year. Territory types: State, Region"
"STAV501AT2";"Construction work ""S"" in the Czech Republic by place of construction - territorial comparison. Time granularity: Year. Territory types: State, Region"
"SLD040T01";"Average floor space of occupied dwelling (m²). Time granularity: Census Year. Territory types: State, Region"
"WOBC03T1";"Selected indicators of trade - trade. Time granularity: Year. Territory types: State"
"WSLU03T1";"Basic indicators in services. Time granularity: Year. Territory types: State"
"WZEM03AT01";" Harvest of crops by Region (t). Time granularity: Year. Territory types: State, Region"
"SLD041T01";"Population by marital status. Time granularity: Census Year. Territory types: State, Region"
"SLD041T02";"Population by marital status by Region. Time granularity: Census Year. Territory types: State, Region"
"SLD042T01";"Population by highest educational attainment. Time granularity: Census Year. Territory types: State, Region"
"SLD042T02";"Population by highest educational attainment by Region. Time granularity: Census Year. Territory types: State, Region"
"SLD042T03";"Population by highest educational attainment in the CR. Time granularity: Census Year. Territory types: State, Region"
"SLD043T01";"Population by economic activity. Time granularity: Census Year. Territory types: State, Region"
"SLD043T02";"Population by economic activity by Region. Time granularity: Census Year. Territory types: State, Region"
"SLD044T01";"Housing stock. Time granularity: Census Year. Territory types: State, Region"
"SLD044T02";"Housing stock by Region. Time granularity: Census Year. Territory types: State, Region"
"SLD045T02";"Occupied dwellings by Region. Time granularity: Census Year. Territory types: State, Region"
"WZEM03BT01";"Utilised agricultural area as at 31. 5. (hectare). Time granularity: Year. Territory types: State, Region"
"SLD046T01";"Housekeeping households. Time granularity: Census Year. Territory types: State, Region"
"SLD046T02";"Housekeeping households by Region. Time granularity: Census Year. Territory types: State, Region"
"SLD047T01";"Commuting to work and school. Time granularity: Census Year. Territory types: State, Region"
"SLD047T02";"Commuting to work and school by Region. Time granularity: Census Year. Territory types: State, Region"
"RES01QOBCE";"Businesses by selected legal forms - quarterly data for municipalities by region. Time granularity: Quarter. Territory types: Region, Municipality"
"SLD048T01";"Occupied houses by construction period in the CR. Time granularity: Census Year. Territory types: State, Region"
"SLD049T01";"Average useful floor space of occupied dwelling (m²). Time granularity: Census Year. Territory types: State, Region"
"CRUHVD2";"Occupancy in collective accommodation establishments. Time granularity: Year. Territory types: State"
"CRUHVD3";"Occupancy in collective accommodation establishments in statutory cities and Prague. Time granularity: Year. Territory types: Town"
"CRUHVD1T1";"Occupancy in collective accommodation establishments - CZ, cohesion regions. Time granularity: Year. Territory types: State, NUTS2, Region"
"CRUHVD1T2";"Occupancy in collective accommodation establishments - CZ, regions. Time granularity: Year. Territory types: State, NUTS2, Region"
"CRUHVD1T3";"Occupancy in collective accommodation establishments by country. Time granularity: Year. Territory types: State, NUTS2, Region"
"RESDP04";"Survival rate of enterprises having at least one employee for a period of 5 years according to the prevailing economic activity . Territory types: State"
"RES04ROBCET1";"Businesses by group of institutional sectors - yearly data for municipalities by region. Time granularity: Year. Territory types: Region, Municipality"
"ENE01WENET1";"Energy balance in CZ (GWh). Time granularity: Year. Territory types: State"
"ENE02T3";"Extraction of coals. Time granularity: Year. Territory types: State"
"ENE02T4";"Extraction of natural (non-associated) gases. Time granularity: Year. Territory types: State"
"ENE02T5";"Extraction of cruide oil. Time granularity: Year. Territory types: State"
"FIN03NEBANKZAM";"Employees and wages of non-banking mon. instit. which keep books in accordance with the chart of accounts for banks (in persons and CZK mil.) 	 Territory:	Czech Republic 	2014	2015	2016	2017	2018	2019	2020	2021	2. Time granularity: Year. Territory types: State"
"FIN03NEBANKAKT";"Assets of non-banking monetary institutions which keep books in accordance with the chart of accounts for banks (CZK mil.) . Time granularity: Year. Territory types: State"
"FIN03NEBANKFA";"Financial assets of non-banking monetary institutions which keep books in accordance with the chart of accounts for banks (CZK mil.). Time granularity: Year. Territory types: State"
"FIN03NEBANKPAS";"Liabilities of non-banking monetary institutions which keep books in accordance with the chart of accounts for banks ( CZK mil.). Time granularity: Year. Territory types: State"
"FIN03NEBANKNAK";"Selected expenses of non-banking monetary institutions which keep books in accordance with the chart of accounts for banks (CZK mil.) . Time granularity: Year. Territory types: State"
"FIN03NEBANKVYN";"Selected revenues of non-banking monetary institutions they keep books in accordance with the chart of accounts for banks (CZK mil.) . Time granularity: Year. Territory types: State"
"FIN03NEBANKDHM";"Tangible fixed assets including land and mineral deposits of non-banking monetary institutions which keep books in accordance with the chart of accounts for banks (CZK mil.). Time granularity: Year. Territory types: State"
"FIN03NEBANKDNM";"Intangible fixed assets of non-banking monetary institutions which keep books in accordance with the chart of accounts for banks (CZK mil.). Time granularity: Year. Territory types: State"
"FIN03NEBANKDUK";"Complementary indicators of non-banking monetary instit. which keep books in accordance with the chart of accounts for banks (CZK mil.). Time granularity: Year. Territory types: State"
"SLD032T02";"Housekeeping households by size of housekeeping household and regions. Time granularity: Census Year. Territory types: State, Region"
"SLD032T02a";"Number of housekeeping households members by regions. Time granularity: Census Year. Territory types: State, Region"
"SLD032T03";"Housekeeping households by type of housekeeping household and regions. Time granularity: Census Year. Territory types: State, Region"
"SLD033T04a";"One-family households by number of dependent children and regions. Time granularity: Census Year. Territory types: State, Region"
"SLD033T04b";"Number of dependent children in one-family households by regions. Time granularity: Census Year. Territory types: State, Region"
"SLD033T05";"One-family households by type of housekeeping household and regions. Time granularity: Census Year. Territory types: State, Region"
"SLD035T01";"Commuting to work by frequency and regions. Time granularity: Census Year. Territory types: State, Region"
"SLD035T02";"Commuting to school by frequency and regions. Time granularity: Census Year. Territory types: State, Region"
"SLD035T03";"Commuting to work by main mode of transport and regions. Time granularity: Census Year. Territory types: State, Region"
"SLD035T04";"Commuting to school by main mode of transport and regions. Time granularity: Census Year. Territory types: State, Region"
"SLD036T01";"Housing stock. Time granularity: Census Year. Territory types: State, Region"
"SLD036T02";"Housing stock by Region. Time granularity: Census Year. Territory types: State, Region"
"VAV0101T01";"High-tech sector in the Czech Republic. Time granularity: Year. Territory types: State"
"SLD037T01";"Occupied dwellings. Time granularity: Census Year. Territory types: State, Region"
"SLD037T02";"Occupied dwellings by Region. Time granularity: Census Year. Territory types: State, Region"
"SLD038T01";"Commuting to work and school. Time granularity: Census Year. Territory types: State, Region"
"SLD038T02";"Commuting to work and school by Region. Time granularity: Census Year. Territory types: State, Region"
"SLD039T01";"Housekeeping households. Time granularity: Census Year. Territory types: State, Region"
"SLD039T02";"Housekeeping households by Region. Time granularity: Census Year. Territory types: State, Region"
"EP801";"Balance of energy processes (TJ). Time granularity: Year. Territory types: State"
"WSEN02T01";"Seniors in the regions according to the results of the SLDB 2021. Time granularity: Census Year. Territory types: State, Region"
"WSEN01T01";"Senior citizens. Time granularity: Year. Territory types: State, Region"
"WDOP1T1";"Goods transported and transport performance in goods transport. Time granularity: Year. Territory types: State"
"WDOP1T3";"Goods transported in road and rail transport - thous. t.. Time granularity: Year. Territory types: State"
"WDOP2T2";"Passenger transported and transport performance in public passenger transport. Time granularity: Year. Territory types: State"
"SLD020T03";"Occupied houses by construction period in the CR. Time granularity: Census Year. Territory types: State, Region"
"SLD020T02";"Occupied houses by construction period or reconstruction and regions. Time granularity: Census Year. Territory types: State, Region"
"SLD021T02";"Occupied houses by materials of the building and regions. Time granularity: Census Year. Territory types: State, Region"
"SLD021T03";"Occupied houses by type of sewage disposal system and regions. Time granularity: Census Year. Territory types: State, Region"
"SLD021T04";"Occupied houses by lift equipment and regions. Time granularity: Census Year. Territory types: State, Region"
"SLD021T05";"Occupied houses by technical facilities (piped gas) and region. Time granularity: Census Year. Territory types: State, Region"
"SLD021T06";"Occupied houses by technical facilities (piped water) and region. Time granularity: Census Year. Territory types: State, Region"
"SLD021T07";"Occupied houses by number of floors and regions. Time granularity: Census Year. Territory types: State, Region"
"SLD022T02";"Occupied houses by type of heating and regions. Time granularity: Census Year. Territory types: State, Region"
"SLD023T02";"Number of dwellings in the Czech Republic and regions. Time granularity: Census Year. Territory types: State, Region"
"CRU02QDMOT1";"Occupancy in collective accommodation establishments in not territorially divided DMO. Time granularity: Quarter. Territory types: DMO1"
"CRU02QDMOT3";"Occupancy in collective accommodation establishments in territorially divided DMO. Time granularity: Quarter. Territory types: DMO2"
"CRU02QDMOT2";"Occupancy in collective accommodation establishments by country in selected not territorially divided DMO. Time granularity: Quarter. Territory types: DMO1"
"CRU02QDMOT4";"Occupancy in collective accommodation establishments by country in selected territorially divided DMO. Time granularity: Quarter. Territory types: DMO2"
"SLD024T02";"Occupied dwellings by tenure status of dwelling and region. Time granularity: Census Year. Territory types: State, Region"
"SLD025T02A";"Occupied dwellings by number of rooms and region. Time granularity: Census Year. Territory types: State, Region"
"SLD025T02B";"Average number of rooms per dwelling by regions. Time granularity: Census Year. Territory types: State, Region"
"SLD025T03";"Occupied dwellings by kitchen equipment and regions . Time granularity: Census Year. Territory types: State, Region"
"SLD026T02";"Occupied dwellings by total floor space and region. Time granularity: Census Year. Territory types: State, Region"
"SLD027T02A";"Occupied dwellings by number of persons in dwelling and region. Time granularity: Census Year. Territory types: State, Region"
"SLD027T02B";"Number of persons in occupied dwellings by regions. Time granularity: Census Year. Territory types: State, Region"
"SLD028T02A";"Occupied dwellings by technical facilities (gas) and region. Time granularity: Census Year. Territory types: State, Region"
"SLD028T02B";"Occupied dwellings by technical facilities (water) and region. Time granularity: Census Year. Territory types: State, Region"
"SLD028T03";"Occupied dwellings by position of dwelling in house and region. Time granularity: Census Year. Territory types: State, Region"
"SLD029T02A";"Occupied dwellings by heating of dwelling and region. Time granularity: Census Year. Territory types: State, Region"
"SLD029T02B";"Occupied dwellings by energy used for heating and region. Time granularity: Census Year. Territory types: State, Region"
"VOLEPT1";"Basic information on elections to the European Parliament. Time granularity: Year. Territory types: State, Region"
"VOLEPT2";"Basic information on the European Parliament elections by region. Time granularity: Year. Territory types: State, Region"
"WNUC04T01";"Regional accounts. Time granularity: Year. Territory types: State, NUTS2, Region"
"WNUC01FT01";"Resources of gross domestic product, Q-o-Q index, seasonally adjusted (%). Time granularity: Quarter. Territory types: State"
"OBY02FGEN";"Age structure indicators. Time granularity: Year. Territory types: State, Region"
"SLD013T02";"Population by housing arrangements and region. Time granularity: Census Year. Territory types: State, Region"
"SLD014T02";"Population by place of registered residence and regions. Time granularity: Census Year. Territory types: State, Region"
"SLD014T03";"Population by type of registered residence and regions. Time granularity: Census Year. Territory types: State, Region"
"SLD015T02";"Women aged 15 and over by number of children born alive and region. Time granularity: Census Year. Territory types: State, Region"
"SLD016T02";"Number of houses by occupancy and regions. Time granularity: Census Year. Territory types: State, Region"
"SLD017T02";"Houses by occupancy and type of building and regions. Time granularity: Census Year. Territory types: State, Region"
"SLD018T02";"Occupied houses with dwellings by number of dwellings and regions. Time granularity: Census Year. Territory types: State, Region"
"SLD019T02";"Occupied houses by type of owner and regions. Time granularity: Census Year. Territory types: State, Region"
"EP901T1";"Energy Intensity of Manufacture of Selected Products. Time granularity: Year. Territory types: State"
"WPPS01";"Domestic-controlled and foreign-controlled enterprises. Time granularity: Year. Territory types: State"
"SLU01T1";"Sales indices (excl. VAT) in Services - adjusted. Time granularity: Month. Territory types: State"
"SLU01T2";"Sales indices (excl. VAT) in Services - unadjusted. Time granularity: Month. Territory types: State"
"SLU03T1";"Service production index (constant prices) - adjusted. Time granularity: Month. Territory types: State"
"SLU03T2";"Service production index (constant prices) - unadjusted. Time granularity: Month. Territory types: State"
"SLU02T2";"Selected indicators of transportation and storage. Time granularity: Year. Territory types: State"
"SLU02T3";"Selected indicators of hotels and restaurants. Time granularity: Year. Territory types: State"
"SLU02T4";"Selected indicators of information and communication. Time granularity: Year. Territory types: State"
"SLU02T5";"Selected indicators of market services. Time granularity: Year. Territory types: State"
"SLU02T1";"Basic indicators in services. Time granularity: Year. Territory types: State"
"STA08T1";"Building permits - Czech republic - annualy. Time granularity: Year. Territory types: State"
"STA08T3";"Building permits - Czech republic - monthly cumulation. Time granularity: Cumulative Month. Territory types: State"
"STA08T2";"Building permits - regions - annualy. Time granularity: Year. Territory types: Region"
"STA08T4";"Building permits - regions - monthly cumulation. Time granularity: Cumulative Month. Territory types: Region"
"SLD001T03";"Population by marital status. Time granularity: Census Year. Territory types: State, Region"
"SLD001T04";"Population by marital status by Region. Time granularity: Census Year. Territory types: State, Region"
"SLD001T02";"Population by sex, marital status and region. Time granularity: Census Year. Territory types: State, Region"
"SLD002T03";"Population by sex and region. Time granularity: Census Year. Territory types: State, Region, AD MEP"
"SLD002T02";"Population by age group and sex in selected region. Time granularity: Census Year. Territory types: State, Region, AD MEP"
"SLD002T04";"Average age by sex and region. Time granularity: Census Year. Territory types: State, Region, AD MEP"
"SLD002T01";"Population by size group of municipalities and sex in regions. Time granularity: Census Year. Territory types: State, Region"
"SLD003T02";"Population by citizenship, sex and regions. Time granularity: Census Year. Territory types: State, Region"
"SLD003T03";"Population by foreign citizenship, sex and regions. Time granularity: Census Year. Territory types: State, Region"
"SLD003T04";"Population by selected citizenships and regions. Time granularity: Census Year. Territory types: State, Region"
"WNUC01CT01";"Resources of gross domestic product, SOPR = 100, seasonally adjusted (%). Time granularity: Quarter. Territory types: State"
"CRU01ROBCET1";"Capacity of accommodation establishments in municipalities of selected region. Time granularity: Year. Territory types: Region, Municipality"
"CRU01ROBCET4";"Capacity of accommodation establishments by category in municipalities of selected region. Time granularity: Year. Territory types: Region, Municipality"
"CRU01ROBCET2";"Capacity of accommodation establishments in administrative districts of the Capital city of Praha. Time granularity: Year"
"CRU01ROBCET5";"Capacity of accommodation establishments by category in administrative districts of the Capital city of Praha. Time granularity: Year"
"CRU01ROBCET3";"Capacity of accommodation establishments in the city parts of the statutory cities. Time granularity: Year. Territory types: City part"
"CRU01ROBCET6";"Capacity of accommodation establishments bycategory in the city parts of the statutory cities. Time granularity: Year. Territory types: City part"
"SLD004T02";"Population by place of residence at birth and regions. Time granularity: Census Year. Territory types: State, Region"
"SLD004T04";"Population by place of residence one year prior to the Census and regions. Time granularity: Census Year. Territory types: State, Region"
"STA01T1";"Construction production. Time granularity: Year. Territory types: State"
"WSTA01T2";" Construction production (y-o-y index, working day adjusted, in %). Time granularity: Month. Territory types: State"
"WNUC01BT01";"Gross domestic product by type of expenditure, SOPR = 100, seasonally adjusted (%). Time granularity: Quarter. Territory types: State"
"SLD005T02";"Population aged 15 and over by highest educational attainment and region. Time granularity: Census Year. Territory types: State, Region"
"SLD005T03";"Population by highest educational attainment. Time granularity: Census Year. Territory types: State, Region"
"SLD005T04";"Population by highest educational attainment by Region. Time granularity: Census Year. Territory types: State, Region"
"SLD005T06";"Population by highest educational attainment in the CR. Time granularity: Census Year. Territory types: State, Region"
"STA02T1";"Construction production by regions. Time granularity: Year. Territory types: State, Region"
"NUC01ET01";"Gross domestic product by type of expenditure, Q-o-Q index, seasonally adjusted (%). Time granularity: Quarter. Territory types: State"
"SLD006T02";"Population by selected ethnicity and region. Time granularity: Census Year. Territory types: State, Region"
"STA03T2";"Construction production index - constant prices - month. Time granularity: Month. Territory types: State"
"STA03T5";"Construction production index - constant prices - quarter. Time granularity: Quarter. Territory types: State"
"STA03T6";"Construction production index - constant prices - year. Time granularity: Year. Territory types: State"
"WNUC01DWNUC01T01";"Quarterly GDP estimates - graphs. Time granularity: Quarter. Territory types: State"
"SLD007T02";"Population by selected mother tongue and region. Time granularity: Census Year. Territory types: State, Region"
"STA04T1";"Construction production index by CZ-NACE (constant prices) - month. Time granularity: Month. Territory types: State"
"STA04T2";"Construction production index by CZ-NACE (constant prices) - quarter. Time granularity: Quarter. Territory types: State"
"STA04T3";"Construction production index by CZ-NACE (constant prices) - year. Time granularity: Year. Territory types: State"
"WENET1";" Electricity balance in the CR (GWh). Time granularity: Year. Territory types: State"
"SLD008T02";"Population by religious belief and region. Time granularity: Census Year. Territory types: State, Region"
"OBY01CT01";"Population and populatin change since 1785 - absolute figures. Time granularity: Year. Territory types: State"
"OBY01CT02";"Population and populatin change since 1785 - relative figures. Time granularity: Year. Territory types: State"
"OBY01CT03";"Analytic indicators of demographic development since 1920. Time granularity: Year. Territory types: State"
"OBY01CT04";"Age structure indicators of population as at 31. 12. since 1947. Time granularity: Year. Territory types: State"
"SLD009T01";"Population by economic activity. Time granularity: Census Year. Territory types: State, Region"
"SLD009T03";"Population by economic activity by Region. Time granularity: Census Year. Territory types: State, Region"
"SLD009T02";"Population by labour force status and regions. Time granularity: Census Year. Territory types: State, Region"
"SLD009T04";"Employed by status in employment and regions. Time granularity: Census Year. Territory types: State, Region"
"SLD009T05";"Employed by branch of economic activity and regions. Time granularity: Census Year. Territory types: State, Region"
"SLD009T06";"Employed by major groups of occupation and regions. Time granularity: Census Year. Territory types: State, Region"
"WNUC01T01";"Quarterly GDP estimates - TOP nindicators. Time granularity: Quarter. Territory types: State"
"OBY5A01T01";"Marriages by five-year age group of groom. Time granularity: Year. Territory types: State, Region"
"OBY5A01T02";"Marriages by age and previous marital status of groom. Time granularity: Year. Territory types: State"
"OBY05A02T01";"Marriages by five-year age group of bride. Time granularity: Year. Territory types: State, Region"
"OBY05A02T02";"Marriages by age and previous marital status of bride. Time granularity: Year. Territory types: State"
"OBY05A03T01";"Marriages by marital status of the groom and bride. Time granularity: Year. Territory types: State"
"FIN01T1";"Revenues and expenditures of regions, municipalities and VAM by regions. Time granularity: Year. Territory types: State, Region"
"FIN01T2";"Revenues and expenditures of regions, municipalities and VAM - time series. Time granularity: Year. Territory types: State, Region"
"FIN01T3";"Revenues of local budgets. Time granularity: Year. Territory types: State, Region"
"FIN01T4";" Expenditure of local budgets. Time granularity: Year. Territory types: State, Region"
"FIN01T5";"Revenue-expenditure balance (consolidated). Time granularity: Year. Territory types: State, Region"
"WOBYNEJ";"Population. Time granularity: Date. Territory types: State, Region"
"WOBY04BK";"Life Expectancy by Region. Time granularity: Two years. Territory types: Region"
"WNEJOBYR";"Population. Time granularity: Date. Territory types: State, Region"
"SZB06A";"Widow´s and Widower´s pension. Time granularity: Year. Territory types: State, Region, District"
"SZB06AB";"Widow´s and Widower´s pension - Territorial comparison. Time granularity: Year. Territory types: State, Region, District"
"CRU02RDMOT1";"Occupancy in collective accommodation establishments in not territorially divided DMO. Time granularity: Year. Territory types: DMO1"
"CRU02RDMOT5";"Occupancy in collective accommodation establishments in territorially divided DMO. Time granularity: Year. Territory types: DMO2"
"CRU02RDMOT2";"Occupancy in collective accommodation establishments by category in not territorially divided DMO. Time granularity: Year. Territory types: DMO1"
"CRU02RDMOT6";"Occupancy in collective accommodation establishments by category in territorially divided DMO. Time granularity: Year. Territory types: DMO2"
"CRU02RDMOT3";"Occupancy in collective accommodation establishments by category in selected not territorially divided DMO. Time granularity: Year. Territory types: DMO1"
"CRU02RDMOT7";"Occupancy in collective accommodation establishments by category in selected territorially divided DMO. Time granularity: Year. Territory types: DMO2"
"CRU02RDMOT4";"Occupancy in collective accommodation establishments by country in selected not territorially divided DMO. Time granularity: Year. Territory types: DMO1"
"CRU02RDMOT8";"Occupancy in collective accommodation establishments by country in selected territorially divided DMO. Time granularity: Year. Territory types: DMO2"
"SILC03T1";"Selected Laeken indicators of poverty . Time granularity: Year. Territory types: State"
"WPRU02T1";"Main industrial indicators - indices. Time granularity: Month. Territory types: State"
"ZUR01DT1";"Households by activity status of head of household and dwelling type. Time granularity: Year. Territory types: State"
"ZUR01BT1";"Households by activity status of head of household and legal form of flat use. Time granularity: Year. Territory types: State"
"ZUR01OT1";"Households by activity status of head of household and municipality size. Time granularity: Year. Territory types: State"
"WNUC03ET01";"Gross domestic product - basic index (2020=100) (%). Time granularity: Year. Territory types: State"
"WNUC03DT01";"Gross domestic product - volume indices, y-o-y index (%). Time granularity: Year. Territory types: State"
"WNUC03AT01";"Gross domestic product (CZK mil.), current prices. Time granularity: Year. Territory types: State"
"WNUC03CT01";"Gross domestic product - CZK mil.,  chain-linked Volumes of 2020. Time granularity: Year. Territory types: State"
"WNUC03BT01";"Gross domestic product (CZK mil.), previous year average prices. Time granularity: Year. Territory types: State"
"CEN0204DT05";"Summary of price indices of market services at the level of divisions of CZ-CPA. Time granularity: Month. Territory types: State"
"KRI05T1";"Road accidents. Time granularity: Year. Territory types: State, Region, District"
"OBC01AT1";"Sales indices (excl. VAT) in Retail Trade and Sale and Repair of Motor Vehicles - unadjusted - month. Time granularity: Month. Territory types: State"
"OBC01AT2";"Sales indices (excl. VAT) in Retail Trade and Sale and Repair of Motor Vehicles - unadjusted - quarter. Time granularity: Quarter. Territory types: State"
"OBC01AT3";"Sales indices (excl. VAT) in Retail Trade and Sale and Repair of Motor Vehicles - unadjusted - year. Time granularity: Year. Territory types: State"
"OBC01BT1";"Sales indices (excl. VAT) in Retail Trade and Sale and Repair of Motor Vehicles - calendar effects adjusted - month. Time granularity: Month. Territory types: State"
"OBC01BT2";"Sales indices (excl. VAT) in Retail Trade and Sale and Repair of Motor Vehicles - calendar effects adjusted - quarter. Time granularity: Quarter. Territory types: State"
"OBC01BT3";"Sales indices (excl. VAT) in Retail Trade and Sale and Repair of Motor Vehicles - calendar effects adjusted - year. Time granularity: Year. Territory types: State"
"CEN0204BT01";"Average prices of selected market services. Time granularity: Quarter. Territory types: State"
"OBC01CT1";"Sales indices (excl. VAT) in Retail Trade and Sale and Repair of Motor Vehicles - seasonally and calendar adjusted - month. Time granularity: Month. Territory types: State"
"OBC01CT2";"Sales indices (excl. VAT) in Retail Trade and Sale and Repair of Motor Vehicles - seasonally and calendar adjusted - quarter. Time granularity: Quarter. Territory types: State"
"OBC01CT3";"Sales indices (excl. VAT) in Retail Trade and Sale and Repair of Motor Vehicles - seasonally and calendar adjusted year. Time granularity: Year. Territory types: State"
"RSO02A01T1";"Size group of municipalities. Time granularity: Year. Territory types: State, Region"
"RSO02A01T1K";"  Size groups of municipalities - Territorial comparison. Time granularity: Year. Territory types: State, Region"
"RSO02A02T1";"Size group of municipalities (Urban-rural area). Time granularity: Year. Territory types: State, Region"
"FIN01A";"Revenues and expenditures of municipalities by AD MEP. Time granularity: Year. Territory types: AD MEP, Municipality"
"WADMUPCRMCWUPT3";"Registered unemployment as at 31. December. Time granularity: Year. Territory types: State, Region"
"WADMUPCRMCWUPT4";"Registered unemployment as at 31. December. Time granularity: Month. Territory types: State, Region"
"WADMUPCRMCWUPT5";"Registered unemployment by region as at 31. December. Time granularity: Year. Territory types: State, Region"
"KRI06T1";"Fires. Time granularity: Year. Territory types: State, Region, District"
"OBY03T01";"Births - selected summary data. Time granularity: Year. Territory types: State, Region"
"ZEM05T01";"Consumption of fertilisers per marketing year (t). Time granularity: Fiscal Year. Territory types: State, Region"
"ZEM0502";"Consumption of fertilisers per marketing year (kg per ha of fertilised agricultural area). Time granularity: Fiscal Year. Territory types: State, Region"
