"ČR, Reg. soudržnosti, Kraje",Ukazatel,Roky,value
Česko,Reálný růst/pokles hrubého domácího produktu v % (SOPR = 100),2011,1.8
Česko,Reálný růst/pokles hrubého domácího produktu v % (SOPR = 100),2012,-0.8
Česko,Reálný růst/pokles hrubého domácího produktu v % (SOPR = 100),2013,0.0
Česko,Reálný růst/pokles hrubého domácího produktu v % (SOPR = 100),2014,2.2
Česko,Reálný růst/pokles hrubého domácího produktu v % (SOPR = 100),2015,5.0
Česko,Reálný růst/pokles hrubého domácího produktu v % (SOPR = 100),2016,2.6
Česko,Reálný růst/pokles hrubého domácího produktu v % (SOPR = 100),2017,5.2
Česko,Reálný růst/pokles hrubého domácího produktu v % (SOPR = 100),2018,2.8
Česko,Reálný růst/pokles hrubého domácího produktu v % (SOPR = 100),2019,3.6
Česko,Reálný růst/pokles hrubého domácího produktu v % (SOPR = 100),2020,-5.3
Česko,Reálný růst/pokles hrubého domácího produktu v % (SOPR = 100),2021,4.0
Česko,Reálný růst/pokles hrubého domácího produktu v % (SOPR = 100),2022,2.8
Česko,Reálný růst/pokles hrubého domácího produktu v % (SOPR = 100),2023,0.0
Česko,Reálný růst/pokles hrubého domácího produktu v % (SOPR = 100),2024,1.2
Česko,"Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny",1990,
Česko,"Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny",1991,
Česko,"Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny",1992,
Česko,"Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny",1993,
Česko,"Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny",1994,
Česko,"Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny",1995,155612.0
Česko,"Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny",1996,178429.0
Česko,"Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny",1997,192400.0
Česko,"Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny",1998,210675.0
Česko,"Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny",1999,220492.0
Česko,"Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny",2000,233604.0
Česko,"Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny",2001,253475.0
Česko,"Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny",2002,265124.0
Česko,"Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny",2003,277719.0
Česko,"Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny",2004,302518.0
Česko,"Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny",2005,321327.0
Česko,"Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny",2006,343856.0
Česko,"Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny",2007,373607.0
Česko,"Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny",2008,387122.0
Česko,"Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny",2009,376067.0
Česko,"Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny",2010,383461.0
Česko,"Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny",2011,390157.0
Česko,"Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny",2012,391971.0
Česko,"Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny",2013,396959.0
Česko,"Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny",2014,416801.0
Česko,"Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny",2015,442711.0
Česko,"Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny",2016,460641.0
Česko,"Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny",2017,492289.0
Česko,"Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny",2018,519808.0
Česko,"Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny",2019,558170.0
Česko,"Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny",2020,554964.0
Česko,"Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny",2021,600690.0
Česko,"Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny",2022,655221.0
Česko,"Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny",2023,700358.0
Česko,"Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny",2024,
Česko,"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",1990,624324.0
Česko,"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",1991,792301.0
Česko,"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",1992,881826.0
Česko,"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",1993,1077161.0
Česko,"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",1994,1236871.0
Česko,"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",1995,1461630.0
Česko,"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",1996,1671370.0
Česko,"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",1997,1807139.0
Česko,"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",1998,1979764.0
Česko,"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",1999,2060367.0
Česko,"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",2000,2187207.0
Česko,"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",2001,2366279.0
Česko,"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",2002,2474186.0
Česko,"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",2003,2590891.0
Česko,"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",2004,2796513.0
Česko,"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",2005,2974445.0
Česko,"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",2006,3208577.0
Česko,"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",2007,3492426.0
Česko,"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",2008,3662668.0
Česko,"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",2009,3569244.0
Česko,"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",2010,3653610.0
Česko,"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",2011,3701935.0
Česko,"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",2012,3706986.0
Česko,"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",2013,3739215.0
Česko,"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",2014,3962801.0
Česko,"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",2015,4191609.0
Česko,"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",2016,4360876.0
Česko,"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",2017,4661221.0
Česko,"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",2018,4941127.0
Česko,"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",2019,5330260.0
Česko,"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",2020,5315366.0
Česko,"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",2021,5749003.0
Česko,"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",2022,6418123.0
Česko,"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",2023,7036354.0
Česko,"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",2024,7354557.0
Česko,"Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny)",1990,349724.0
Česko,"Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny)",1991,426880.0
Česko,"Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny)",1992,500087.0
Česko,"Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny)",1993,597502.0
Česko,"Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny)",1994,673235.0
Česko,"Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny)",1995,775203.0
Česko,"Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny)",1996,896153.0
Česko,"Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny)",1997,1001006.0
Česko,"Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny)",1998,1077692.0
Česko,"Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny)",1999,1134564.0
Česko,"Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny)",2000,1192411.0
Česko,"Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny)",2001,1272303.0
Česko,"Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny)",2002,1329566.0
Česko,"Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny)",2003,1396924.0
Česko,"Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny)",2004,1485518.0
Česko,"Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny)",2005,1552867.0
Česko,"Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny)",2006,1637519.0
Česko,"Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny)",2007,1753935.0
Česko,"Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny)",2008,1891253.0
Česko,"Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny)",2009,1898922.0
Česko,"Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny)",2010,1979627.0
Česko,"Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny)",2011,2015308.0
Česko,"Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny)",2012,2038700.0
Česko,"Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny)",2013,2066693.0
Česko,"Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny)",2014,2118478.0
Česko,"Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny)",2015,2207664.0
Česko,"Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny)",2016,2309367.0
Česko,"Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny)",2017,2483017.0
Česko,"Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny)",2018,2640260.0
Česko,"Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny)",2019,2798916.0
Česko,"Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny)",2020,2691926.0
Česko,"Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny)",2021,2921089.0
Česko,"Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny)",2022,3358430.0
Česko,"Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny)",2023,3548496.0
Česko,"Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny)",2024,3739362.0
Česko,"Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny)",1990,193904.0
Česko,"Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny)",1991,234336.0
Česko,"Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny)",1992,275659.0
Česko,"Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny)",1993,343941.0
Česko,"Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny)",1994,411715.0
Česko,"Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny)",1995,538248.0
Česko,"Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny)",1996,628793.0
Česko,"Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny)",1997,640667.0
Česko,"Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny)",1998,668880.0
Česko,"Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny)",1999,680543.0
Česko,"Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny)",2000,746447.0
Česko,"Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny)",2001,803390.0
Česko,"Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny)",2002,801454.0
Česko,"Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny)",2003,828755.0
Česko,"Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny)",2004,882501.0
Česko,"Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny)",2005,938038.0
Česko,"Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny)",2006,993804.0
Česko,"Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny)",2007,1144129.0
Česko,"Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny)",2008,1167085.0
Česko,"Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny)",2009,1072552.0
Česko,"Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny)",2010,1069618.0
Česko,"Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny)",2011,1068820.0
Česko,"Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny)",2012,1045045.0
Česko,"Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny)",2013,1032888.0
Česko,"Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny)",2014,1083151.0
Česko,"Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny)",2015,1194421.0
Česko,"Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny)",2016,1177309.0
Česko,"Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny)",2017,1228924.0
Česko,"Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny)",2018,1360492.0
Česko,"Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny)",2019,1517682.0
Česko,"Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny)",2020,1488282.0
Česko,"Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny)",2021,1654963.0
Česko,"Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny)",2022,1951952.0
Česko,"Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny)",2023,2140174.0
Česko,"Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny)",2024,2134142.0
Česko,"Tvorba hrubého fixního kapitálu (%, objemové indexy, SOPR = 100)",1990,
Česko,"Tvorba hrubého fixního kapitálu (%, objemové indexy, SOPR = 100)",1991,74.8
Česko,"Tvorba hrubého fixního kapitálu (%, objemové indexy, SOPR = 100)",1992,105.1
Česko,"Tvorba hrubého fixního kapitálu (%, objemové indexy, SOPR = 100)",1993,103.5
Česko,"Tvorba hrubého fixního kapitálu (%, objemové indexy, SOPR = 100)",1994,110.7
Česko,"Tvorba hrubého fixního kapitálu (%, objemové indexy, SOPR = 100)",1995,120.7
Česko,"Tvorba hrubého fixního kapitálu (%, objemové indexy, SOPR = 100)",1996,109.8
Česko,"Tvorba hrubého fixního kapitálu (%, objemové indexy, SOPR = 100)",1997,95.0
Česko,"Tvorba hrubého fixního kapitálu (%, objemové indexy, SOPR = 100)",1998,98.9
Česko,"Tvorba hrubého fixního kapitálu (%, objemové indexy, SOPR = 100)",1999,98.1
Česko,"Tvorba hrubého fixního kapitálu (%, objemové indexy, SOPR = 100)",2000,107.3
Česko,"Tvorba hrubého fixního kapitálu (%, objemové indexy, SOPR = 100)",2001,105.5
Česko,"Tvorba hrubého fixního kapitálu (%, objemové indexy, SOPR = 100)",2002,101.5
Česko,"Tvorba hrubého fixního kapitálu (%, objemové indexy, SOPR = 100)",2003,102.2
Česko,"Tvorba hrubého fixního kapitálu (%, objemové indexy, SOPR = 100)",2004,103.6
Česko,"Tvorba hrubého fixního kapitálu (%, objemové indexy, SOPR = 100)",2005,105.4
Česko,"Tvorba hrubého fixního kapitálu (%, objemové indexy, SOPR = 100)",2006,105.2
Česko,"Tvorba hrubého fixního kapitálu (%, objemové indexy, SOPR = 100)",2007,113.3
Česko,"Tvorba hrubého fixního kapitálu (%, objemové indexy, SOPR = 100)",2008,101.4
Česko,"Tvorba hrubého fixního kapitálu (%, objemové indexy, SOPR = 100)",2009,90.7
Česko,"Tvorba hrubého fixního kapitálu (%, objemové indexy, SOPR = 100)",2010,100.9
Česko,"Tvorba hrubého fixního kapitálu (%, objemové indexy, SOPR = 100)",2011,100.8
Česko,"Tvorba hrubého fixního kapitálu (%, objemové indexy, SOPR = 100)",2012,96.1
Česko,"Tvorba hrubého fixního kapitálu (%, objemové indexy, SOPR = 100)",2013,98.5
Česko,"Tvorba hrubého fixního kapitálu (%, objemové indexy, SOPR = 100)",2014,102.8
Česko,"Tvorba hrubého fixního kapitálu (%, objemové indexy, SOPR = 100)",2015,108.8
Česko,"Tvorba hrubého fixního kapitálu (%, objemové indexy, SOPR = 100)",2016,98.0
Česko,"Tvorba hrubého fixního kapitálu (%, objemové indexy, SOPR = 100)",2017,102.9
Česko,"Tvorba hrubého fixního kapitálu (%, objemové indexy, SOPR = 100)",2018,108.9
Česko,"Tvorba hrubého fixního kapitálu (%, objemové indexy, SOPR = 100)",2019,107.5
Česko,"Tvorba hrubého fixního kapitálu (%, objemové indexy, SOPR = 100)",2020,95.2
Česko,"Tvorba hrubého fixního kapitálu (%, objemové indexy, SOPR = 100)",2021,106.7
Česko,"Tvorba hrubého fixního kapitálu (%, objemové indexy, SOPR = 100)",2022,106.3
Česko,"Tvorba hrubého fixního kapitálu (%, objemové indexy, SOPR = 100)",2023,104.2
Česko,"Tvorba hrubého fixního kapitálu (%, objemové indexy, SOPR = 100)",2024,97.2
Česko,Náhrady zaměstnancům (mil. Kč),1990,
Česko,Náhrady zaměstnancům (mil. Kč),1991,
Česko,Náhrady zaměstnancům (mil. Kč),1992,
Česko,Náhrady zaměstnancům (mil. Kč),1993,461792.0
Česko,Náhrady zaměstnancům (mil. Kč),1994,552243.0
Česko,Náhrady zaměstnancům (mil. Kč),1995,630080.0
Česko,Náhrady zaměstnancům (mil. Kč),1996,740884.0
Česko,Náhrady zaměstnancům (mil. Kč),1997,811184.0
Česko,Náhrady zaměstnancům (mil. Kč),1998,853027.0
Česko,Náhrady zaměstnancům (mil. Kč),1999,879000.0
Česko,Náhrady zaměstnancům (mil. Kč),2000,936368.0
Česko,Náhrady zaměstnancům (mil. Kč),2001,1012222.0
Česko,Náhrady zaměstnancům (mil. Kč),2002,1085736.0
Česko,Náhrady zaměstnancům (mil. Kč),2003,1145460.0
Česko,Náhrady zaměstnancům (mil. Kč),2004,1242104.0
Česko,Náhrady zaměstnancům (mil. Kč),2005,1330849.0
Česko,Náhrady zaměstnancům (mil. Kč),2006,1428038.0
Česko,Náhrady zaměstnancům (mil. Kč),2007,1550227.0
Česko,Náhrady zaměstnancům (mil. Kč),2008,1661212.0
Česko,Náhrady zaměstnancům (mil. Kč),2009,1610110.0
Česko,Náhrady zaměstnancům (mil. Kč),2010,1639680.0
Česko,Náhrady zaměstnancům (mil. Kč),2011,1677411.0
Česko,Náhrady zaměstnancům (mil. Kč),2012,1717348.0
Česko,Náhrady zaměstnancům (mil. Kč),2013,1732181.0
Česko,Náhrady zaměstnancům (mil. Kč),2014,1796229.0
Česko,Náhrady zaměstnancům (mil. Kč),2015,1888558.0
Česko,Náhrady zaměstnancům (mil. Kč),2016,1999057.0
Česko,Náhrady zaměstnancům (mil. Kč),2017,2180460.0
Česko,Náhrady zaměstnancům (mil. Kč),2018,2392928.0
Česko,Náhrady zaměstnancům (mil. Kč),2019,2579546.0
Česko,Náhrady zaměstnancům (mil. Kč),2020,2624002.0
Česko,Náhrady zaměstnancům (mil. Kč),2021,2813401.0
Česko,Náhrady zaměstnancům (mil. Kč),2022,3031250.0
Česko,Náhrady zaměstnancům (mil. Kč),2023,3286803.0
Česko,Náhrady zaměstnancům (mil. Kč),2024,3508790.0
