Ukazatel,Pohlaví,Roky,"ČR, Reg. soudržnosti, Kraje",Věkové skupiny,value
Míra zaměstnanosti (%),Celkem,2024,Střední Čechy,30 až 34,82.836047776
Míra zaměstnanosti (%),Celkem,2024,Střední Čechy,35 až 39,86.116812548
Míra zaměstnanosti (%),Celkem,2024,Střední Čechy,40 až 44,92.819774627
Míra zaměstnanosti (%),Celkem,2024,Střední Čechy,45 až 49,94.547205899
Míra zaměstnanosti (%),Celkem,2024,Střední Čechy,45 až 54,93.630985251
Míra zaměstnanosti (%),Celkem,2024,Střední Čechy,50 až 54,92.472525885
Míra zaměstnanosti (%),Celkem,2024,Střední Čechy,55 až 59,92.597777494
Míra zaměstnanosti (%),Celkem,2024,Střední Čechy,60 až 64,70.753944323
Míra zaměstnanosti (%),Celkem,2024,Střední Čechy,65 a více let,8.1422248146
Míra zaměstnanosti (%),Celkem,2024,Střední Čechy,55 až 64,82.38270845
Míra zaměstnanosti (%),Celkem,2024,Jihozápad,15 až 19,5.8706011595
Míra zaměstnanosti (%),Celkem,2024,Jihozápad,20 až 24,54.318857673
Míra zaměstnanosti (%),Celkem,2024,Jihozápad,25 až 29,76.588350137
Míra zaměstnanosti (%),Celkem,2024,Jihozápad,30 až 34,80.020018979
Míra zaměstnanosti (%),Celkem,2024,Jihozápad,35 až 39,86.905163671
Míra zaměstnanosti (%),Celkem,2024,Jihozápad,40 až 44,92.868336804
Míra zaměstnanosti (%),Celkem,2024,Jihozápad,45 až 49,94.049450407
Míra zaměstnanosti (%),Celkem,2024,Jihozápad,45 až 54,93.710524473
Míra zaměstnanosti (%),Celkem,2024,Jihozápad,50 až 54,93.308409599
Míra zaměstnanosti (%),Celkem,2024,Jihozápad,55 až 59,91.132966939
Míra zaměstnanosti (%),Celkem,2024,Jihozápad,60 až 64,65.584993226
Míra zaměstnanosti (%),Celkem,2024,Jihozápad,65 a více let,8.4425389023
Míra zaměstnanosti (%),Celkem,2024,Jihozápad,55 až 64,78.782863035
Míra zaměstnanosti (%),Celkem,2024,Severozápad,15 až 19,4.8891986001
Míra zaměstnanosti (%),Celkem,2024,Severozápad,20 až 24,49.858503719
Míra zaměstnanosti (%),Celkem,2024,Severozápad,25 až 29,72.55078728
Míra zaměstnanosti (%),Celkem,2024,Severozápad,30 až 34,78.674600736
Míra zaměstnanosti (%),Celkem,2024,Severozápad,35 až 39,78.439456517
Míra zaměstnanosti (%),Celkem,2024,Severozápad,40 až 44,89.483592653
Míra zaměstnanosti (%),Celkem,2024,Severozápad,45 až 49,93.629178871
Míra zaměstnanosti (%),Celkem,2024,Severozápad,45 až 54,92.509818244
Míra zaměstnanosti (%),Celkem,2024,Severozápad,50 až 54,91.234678862
Míra zaměstnanosti (%),Celkem,2024,Severozápad,55 až 59,87.609576606
Míra zaměstnanosti (%),Celkem,2024,Severozápad,60 až 64,59.26765896
Míra zaměstnanosti (%),Celkem,2024,Severozápad,65 a více let,7.9851600755
Míra zaměstnanosti (%),Celkem,2024,Severozápad,55 až 64,74.209789854
Míra zaměstnanosti (%),Celkem,2024,Severovýchod,15 až 19,5.0691163767
Míra zaměstnanosti (%),Celkem,2024,Severovýchod,20 až 24,46.805663175
Míra zaměstnanosti (%),Celkem,2024,Severovýchod,25 až 29,77.73804712
Míra zaměstnanosti (%),Celkem,2024,Severovýchod,30 až 34,78.097012839
Míra zaměstnanosti (%),Celkem,2024,Severovýchod,35 až 39,88.493177624
Míra zaměstnanosti (%),Celkem,2024,Severovýchod,40 až 44,90.791161172
Míra zaměstnanosti (%),Celkem,2024,Severovýchod,45 až 49,93.614292157
Míra zaměstnanosti (%),Celkem,2024,Severovýchod,45 až 54,93.274874538
Míra zaměstnanosti (%),Celkem,2024,Severovýchod,50 až 54,92.874446093
Míra zaměstnanosti (%),Celkem,2024,Severovýchod,55 až 59,88.206916655
Míra zaměstnanosti (%),Celkem,2024,Severovýchod,60 až 64,57.813622827
Míra zaměstnanosti (%),Celkem,2024,Severovýchod,65 a více let,7.0134038987
Míra zaměstnanosti (%),Celkem,2024,Severovýchod,55 až 64,73.62981995
Míra zaměstnanosti (%),Celkem,2024,Jihovýchod,15 až 19,4.3732678674
Míra zaměstnanosti (%),Celkem,2024,Jihovýchod,20 až 24,43.989340146
Míra zaměstnanosti (%),Celkem,2024,Jihovýchod,25 až 29,78.158413266
Míra zaměstnanosti (%),Celkem,2024,Jihovýchod,30 až 34,80.453565554
Míra zaměstnanosti (%),Celkem,2024,Jihovýchod,35 až 39,87.607305959
Míra zaměstnanosti (%),Celkem,2024,Jihovýchod,40 až 44,91.77260113
Míra zaměstnanosti (%),Celkem,2024,Jihovýchod,45 až 49,95.458946608
Míra zaměstnanosti (%),Celkem,2024,Jihovýchod,45 až 54,94.781005843
Míra zaměstnanosti (%),Celkem,2024,Jihovýchod,50 až 54,93.96792401
Míra zaměstnanosti (%),Celkem,2024,Jihovýchod,55 až 59,91.920519545
Míra zaměstnanosti (%),Celkem,2024,Jihovýchod,60 až 64,62.583922734
Míra zaměstnanosti (%),Celkem,2024,Jihovýchod,65 a více let,7.2534274996
Míra zaměstnanosti (%),Celkem,2024,Jihovýchod,55 až 64,77.711017346
Míra zaměstnanosti (%),Celkem,2024,Střední Morava,15 až 19,4.726504285
Míra zaměstnanosti (%),Celkem,2024,Střední Morava,20 až 24,45.609827802
Míra zaměstnanosti (%),Celkem,2024,Střední Morava,25 až 29,78.212257035
Míra zaměstnanosti (%),Celkem,2024,Střední Morava,30 až 34,78.686901797
Míra zaměstnanosti (%),Celkem,2024,Střední Morava,35 až 39,87.350961701
Míra zaměstnanosti (%),Celkem,2024,Střední Morava,40 až 44,89.445407336
Míra zaměstnanosti (%),Celkem,2024,Střední Morava,45 až 49,92.914459674
Míra zaměstnanosti (%),Celkem,2024,Střední Morava,45 až 54,93.402640985
Míra zaměstnanosti (%),Celkem,2024,Střední Morava,50 až 54,93.976414815
Míra zaměstnanosti (%),Celkem,2024,Střední Morava,55 až 59,90.580432144
Míra zaměstnanosti (%),Celkem,2024,Střední Morava,60 až 64,58.453322974
Míra zaměstnanosti (%),Celkem,2024,Střední Morava,65 a více let,7.9247573169
Míra zaměstnanosti (%),Celkem,2024,Střední Morava,55 až 64,74.844300968
Míra zaměstnanosti (%),Celkem,2024,Moravskoslezsko,15 až 19,5.2675211223
Míra zaměstnanosti (%),Celkem,2024,Moravskoslezsko,20 až 24,52.65994455
Míra zaměstnanosti (%),Celkem,2024,Moravskoslezsko,25 až 29,81.084701882
Míra zaměstnanosti (%),Celkem,2024,Moravskoslezsko,30 až 34,77.586856315
Míra zaměstnanosti (%),Celkem,2024,Moravskoslezsko,35 až 39,80.872845289
Míra zaměstnanosti (%),Celkem,2024,Moravskoslezsko,40 až 44,91.964064791
Míra zaměstnanosti (%),Celkem,2024,Moravskoslezsko,45 až 49,91.940955768
Míra zaměstnanosti (%),Celkem,2024,Moravskoslezsko,45 až 54,91.258415421
Míra zaměstnanosti (%),Celkem,2024,Moravskoslezsko,50 až 54,90.497987466
Míra zaměstnanosti (%),Celkem,2024,Moravskoslezsko,55 až 59,84.46104824
Míra zaměstnanosti (%),Celkem,2024,Moravskoslezsko,60 až 64,53.286233669
Míra zaměstnanosti (%),Celkem,2024,Moravskoslezsko,65 a více let,6.0992163212
Míra zaměstnanosti (%),Celkem,2024,Moravskoslezsko,55 až 64,69.518725165
Míra zaměstnanosti (%),Celkem,2024,Hlavní město Praha,15 až 19,5.4763366729
Míra zaměstnanosti (%),Celkem,2024,Hlavní město Praha,20 až 24,45.029916104
Míra zaměstnanosti (%),Celkem,2024,Hlavní město Praha,25 až 29,82.972277122
Míra zaměstnanosti (%),Celkem,2024,Hlavní město Praha,30 až 34,81.529965643
Míra zaměstnanosti (%),Celkem,2024,Hlavní město Praha,35 až 39,88.065577581
Míra zaměstnanosti (%),Celkem,2024,Hlavní město Praha,40 až 44,92.194439742
Míra zaměstnanosti (%),Celkem,2024,Hlavní město Praha,45 až 49,94.983759581
Míra zaměstnanosti (%),Celkem,2024,Hlavní město Praha,45 až 54,95.213526519
Míra zaměstnanosti (%),Celkem,2024,Hlavní město Praha,50 až 54,95.5174661
Míra zaměstnanosti (%),Celkem,2024,Hlavní město Praha,55 až 59,92.051136513
Míra zaměstnanosti (%),Celkem,2024,Hlavní město Praha,60 až 64,77.305652451
Míra zaměstnanosti (%),Celkem,2024,Hlavní město Praha,65 a více let,17.014993104
Míra zaměstnanosti (%),Celkem,2024,Hlavní město Praha,55 až 64,85.102819004
Míra zaměstnanosti (%),Celkem,2024,Středočeský kraj,15 až 19,4.7973649
Míra zaměstnanosti (%),Celkem,2024,Středočeský kraj,20 až 24,39.508465054
Míra zaměstnanosti (%),Celkem,2024,Středočeský kraj,25 až 29,74.801407962
Míra zaměstnanosti (%),Celkem,2024,Středočeský kraj,30 až 34,82.836047776
Míra zaměstnanosti (%),Celkem,2024,Středočeský kraj,35 až 39,86.116812548
Míra zaměstnanosti (%),Celkem,2024,Středočeský kraj,40 až 44,92.819774627
Míra zaměstnanosti (%),Celkem,2024,Středočeský kraj,45 až 49,94.547205899
Míra zaměstnanosti (%),Celkem,2024,Středočeský kraj,45 až 54,93.630985251
Míra zaměstnanosti (%),Celkem,2024,Středočeský kraj,50 až 54,92.472525885
Míra zaměstnanosti (%),Celkem,2024,Středočeský kraj,55 až 59,92.597777494
Míra zaměstnanosti (%),Celkem,2024,Středočeský kraj,60 až 64,70.753944323
Míra zaměstnanosti (%),Celkem,2024,Středočeský kraj,65 a více let,8.1422248146
Míra zaměstnanosti (%),Celkem,2024,Středočeský kraj,55 až 64,82.38270845
Míra zaměstnanosti (%),Celkem,2024,Jihočeský kraj,15 až 19,8.3095537274
Míra zaměstnanosti (%),Celkem,2024,Jihočeský kraj,20 až 24,57.415774159
Míra zaměstnanosti (%),Celkem,2024,Jihočeský kraj,25 až 29,75.605219996
Míra zaměstnanosti (%),Celkem,2024,Jihočeský kraj,30 až 34,80.796425991
Míra zaměstnanosti (%),Celkem,2024,Jihočeský kraj,35 až 39,85.268058776
Míra zaměstnanosti (%),Celkem,2024,Jihočeský kraj,40 až 44,93.567358543
Míra zaměstnanosti (%),Celkem,2024,Jihočeský kraj,45 až 49,93.30849984
Míra zaměstnanosti (%),Celkem,2024,Jihočeský kraj,45 až 54,93.440776538
Míra zaměstnanosti (%),Celkem,2024,Jihočeský kraj,50 až 54,93.595803526
Míra zaměstnanosti (%),Celkem,2024,Jihočeský kraj,55 až 59,91.70604349
Míra zaměstnanosti (%),Celkem,2024,Jihočeský kraj,60 až 64,67.433916234
Míra zaměstnanosti (%),Celkem,2024,Jihočeský kraj,65 a více let,6.3125993849
Míra zaměstnanosti (%),Celkem,2024,Jihočeský kraj,55 až 64,79.88042826
Míra zaměstnanosti (%),Celkem,2024,Plzeňský kraj,15 až 19,3.2846526749
Míra zaměstnanosti (%),Celkem,2024,Plzeňský kraj,20 až 24,51.099664898
Míra zaměstnanosti (%),Celkem,2024,Plzeňský kraj,25 až 29,77.595231877
Míra zaměstnanosti (%),Celkem,2024,Plzeňský kraj,30 až 34,79.215694227
Míra zaměstnanosti (%),Celkem,2024,Plzeňský kraj,35 až 39,88.555519837
Míra zaměstnanosti (%),Celkem,2024,Plzeňský kraj,40 až 44,92.158005885
Míra zaměstnanosti (%),Celkem,2024,Plzeňský kraj,45 až 49,94.815797925
Míra zaměstnanosti (%),Celkem,2024,Plzeňský kraj,45 až 54,93.992737254
Míra zaměstnanosti (%),Celkem,2024,Plzeňský kraj,50 až 54,93.003613988
Míra zaměstnanosti (%),Celkem,2024,Plzeňský kraj,55 až 59,90.507462916
Míra zaměstnanosti (%),Celkem,2024,Plzeňský kraj,60 až 64,63.501096191
Míra zaměstnanosti (%),Celkem,2024,Plzeňský kraj,65 a více let,11.007042768
Míra zaměstnanosti (%),Celkem,2024,Plzeňský kraj,55 až 64,77.566162734
Míra zaměstnanosti (%),Celkem,2024,Karlovarský kraj,15 až 19,5.6420149055
Míra zaměstnanosti (%),Celkem,2024,Karlovarský kraj,20 až 24,56.571567109
Míra zaměstnanosti (%),Celkem,2024,Karlovarský kraj,25 až 29,74.269867267
Míra zaměstnanosti (%),Celkem,2024,Karlovarský kraj,30 až 34,81.752537454
Míra zaměstnanosti (%),Celkem,2024,Karlovarský kraj,35 až 39,79.957485564
Míra zaměstnanosti (%),Celkem,2024,Karlovarský kraj,40 až 44,91.004344935
Míra zaměstnanosti (%),Celkem,2024,Karlovarský kraj,45 až 49,94.258849142
Míra zaměstnanosti (%),Celkem,2024,Karlovarský kraj,45 až 54,94.084113295
Míra zaměstnanosti (%),Celkem,2024,Karlovarský kraj,50 až 54,93.887792661
Míra zaměstnanosti (%),Celkem,2024,Karlovarský kraj,55 až 59,90.260999503
Míra zaměstnanosti (%),Celkem,2024,Karlovarský kraj,60 až 64,59.814323186
Míra zaměstnanosti (%),Celkem,2024,Karlovarský kraj,65 a více let,15.003244805
Míra zaměstnanosti (%),Celkem,2024,Karlovarský kraj,55 až 64,75.619428645
Míra zaměstnanosti (%),Celkem,2024,Ústecký kraj,15 až 19,4.6262577986
Míra zaměstnanosti (%),Celkem,2024,Ústecký kraj,20 až 24,47.480071221
Míra zaměstnanosti (%),Celkem,2024,Ústecký kraj,25 až 29,71.92544754
Míra zaměstnanosti (%),Celkem,2024,Ústecký kraj,30 až 34,77.574598112
Míra zaměstnanosti (%),Celkem,2024,Ústecký kraj,35 až 39,77.887099211
Míra zaměstnanosti (%),Celkem,2024,Ústecký kraj,40 až 44,88.948040933
Míra zaměstnanosti (%),Celkem,2024,Ústecký kraj,45 až 49,93.402550181
Míra zaměstnanosti (%),Celkem,2024,Ústecký kraj,45 až 54,91.938177663
Míra zaměstnanosti (%),Celkem,2024,Ústecký kraj,50 až 54,90.261612246
Míra zaměstnanosti (%),Celkem,2024,Ústecký kraj,55 až 59,86.614466582
Míra zaměstnanosti (%),Celkem,2024,Ústecký kraj,60 až 64,59.053057864
Míra zaměstnanosti (%),Celkem,2024,Ústecký kraj,65 a více let,5.4508445971
Míra zaměstnanosti (%),Celkem,2024,Ústecký kraj,55 až 64,73.669312955
Míra zaměstnanosti (%),Celkem,2024,Liberecký kraj,15 až 19,5.1472316887
Míra zaměstnanosti (%),Celkem,2024,Liberecký kraj,20 až 24,42.009361684
Míra zaměstnanosti (%),Celkem,2024,Liberecký kraj,25 až 29,82.732657881
Míra zaměstnanosti (%),Celkem,2024,Liberecký kraj,30 až 34,76.660545125
Míra zaměstnanosti (%),Celkem,2024,Liberecký kraj,35 až 39,85.725381975
Míra zaměstnanosti (%),Celkem,2024,Liberecký kraj,40 až 44,86.797369439
Míra zaměstnanosti (%),Celkem,2024,Liberecký kraj,45 až 49,92.436866785
Míra zaměstnanosti (%),Celkem,2024,Liberecký kraj,45 až 54,91.249472908
Míra zaměstnanosti (%),Celkem,2024,Liberecký kraj,50 až 54,89.833957773
Míra zaměstnanosti (%),Celkem,2024,Liberecký kraj,55 až 59,83.929605283
Míra zaměstnanosti (%),Celkem,2024,Liberecký kraj,60 až 64,56.307870698
Míra zaměstnanosti (%),Celkem,2024,Liberecký kraj,65 a více let,5.9856544284
Míra zaměstnanosti (%),Celkem,2024,Liberecký kraj,55 až 64,70.862148718
Míra zaměstnanosti (%),Celkem,2024,Královéhradecký kraj,15 až 19,6.778317802
Míra zaměstnanosti (%),Celkem,2024,Královéhradecký kraj,20 až 24,52.716684261
Míra zaměstnanosti (%),Celkem,2024,Královéhradecký kraj,25 až 29,73.899742321
Míra zaměstnanosti (%),Celkem,2024,Královéhradecký kraj,30 až 34,77.93547669
Míra zaměstnanosti (%),Celkem,2024,Královéhradecký kraj,35 až 39,90.881777844
Míra zaměstnanosti (%),Celkem,2024,Královéhradecký kraj,40 až 44,92.906913157
Míra zaměstnanosti (%),Celkem,2024,Královéhradecký kraj,45 až 49,92.353181291
Míra zaměstnanosti (%),Celkem,2024,Královéhradecký kraj,45 až 54,92.654190466
Míra zaměstnanosti (%),Celkem,2024,Královéhradecký kraj,50 až 54,93.004576715
Míra zaměstnanosti (%),Celkem,2024,Královéhradecký kraj,55 až 59,89.143459453
Míra zaměstnanosti (%),Celkem,2024,Královéhradecký kraj,60 až 64,58.067365157
Míra zaměstnanosti (%),Celkem,2024,Královéhradecký kraj,65 a více let,9.0955320711
Míra zaměstnanosti (%),Celkem,2024,Královéhradecký kraj,55 až 64,74.222115458
Míra zaměstnanosti (%),Celkem,2024,Pardubický kraj,15 až 19,3.1847709541
Míra zaměstnanosti (%),Celkem,2024,Pardubický kraj,20 až 24,44.749735611
Míra zaměstnanosti (%),Celkem,2024,Pardubický kraj,25 až 29,77.496524265
Míra zaměstnanosti (%),Celkem,2024,Pardubický kraj,30 až 34,79.444096655
Míra zaměstnanosti (%),Celkem,2024,Pardubický kraj,35 až 39,88.457930799
Míra zaměstnanosti (%),Celkem,2024,Pardubický kraj,40 až 44,92.131042793
Míra zaměstnanosti (%),Celkem,2024,Pardubický kraj,45 až 49,95.95126904
Míra zaměstnanosti (%),Celkem,2024,Pardubický kraj,45 až 54,95.689653355
Míra zaměstnanosti (%),Celkem,2024,Pardubický kraj,50 až 54,95.379481192
Míra zaměstnanosti (%),Celkem,2024,Pardubický kraj,55 až 59,90.862414632
Míra zaměstnanosti (%),Celkem,2024,Pardubický kraj,60 až 64,58.777265442
Míra zaměstnanosti (%),Celkem,2024,Pardubický kraj,65 a více let,5.5431393248
Míra zaměstnanosti (%),Celkem,2024,Pardubický kraj,55 až 64,75.316776424
Míra zaměstnanosti (%),Celkem,2024,Kraj Vysočina,15 až 19,6.4124806273
Míra zaměstnanosti (%),Celkem,2024,Kraj Vysočina,20 až 24,49.43267439
Míra zaměstnanosti (%),Celkem,2024,Kraj Vysočina,25 až 29,78.754564502
Míra zaměstnanosti (%),Celkem,2024,Kraj Vysočina,30 až 34,79.406942828
Míra zaměstnanosti (%),Celkem,2024,Kraj Vysočina,35 až 39,90.291367774
Míra zaměstnanosti (%),Celkem,2024,Kraj Vysočina,40 až 44,92.396377204
Míra zaměstnanosti (%),Celkem,2024,Kraj Vysočina,45 až 49,98.439026089
Míra zaměstnanosti (%),Celkem,2024,Kraj Vysočina,45 až 54,96.426931376
Míra zaměstnanosti (%),Celkem,2024,Kraj Vysočina,50 až 54,94.119491976
Míra zaměstnanosti (%),Celkem,2024,Kraj Vysočina,55 až 59,90.299880883
Míra zaměstnanosti (%),Celkem,2024,Kraj Vysočina,60 až 64,61.895594943
Míra zaměstnanosti (%),Celkem,2024,Kraj Vysočina,65 a více let,7.5261886615
Míra zaměstnanosti (%),Celkem,2024,Kraj Vysočina,55 až 64,76.316026186
Míra zaměstnanosti (%),Celkem,2024,Jihomoravský kraj,15 až 19,3.4924943568
Míra zaměstnanosti (%),Celkem,2024,Jihomoravský kraj,20 až 24,41.588646855
Míra zaměstnanosti (%),Celkem,2024,Jihomoravský kraj,25 až 29,77.899817779
Míra zaměstnanosti (%),Celkem,2024,Jihomoravský kraj,30 až 34,80.867549412
Míra zaměstnanosti (%),Celkem,2024,Jihomoravský kraj,35 až 39,86.591113264
Míra zaměstnanosti (%),Celkem,2024,Jihomoravský kraj,40 až 44,91.532492135
Míra zaměstnanosti (%),Celkem,2024,Jihomoravský kraj,45 až 49,94.241624108
Míra zaměstnanosti (%),Celkem,2024,Jihomoravský kraj,45 až 54,94.088765196
Míra zaměstnanosti (%),Celkem,2024,Jihomoravský kraj,50 až 54,93.90193781
Míra zaměstnanosti (%),Celkem,2024,Jihomoravský kraj,55 až 59,92.640603238
Míra zaměstnanosti (%),Celkem,2024,Jihomoravský kraj,60 až 64,62.904257729
Míra zaměstnanosti (%),Celkem,2024,Jihomoravský kraj,65 a více let,7.1301955918
Míra zaměstnanosti (%),Celkem,2024,Jihomoravský kraj,55 až 64,78.344965092
Míra zaměstnanosti (%),Celkem,2024,Olomoucký kraj,15 až 19,5.5035833238
Míra zaměstnanosti (%),Celkem,2024,Olomoucký kraj,20 až 24,42.28099144
Míra zaměstnanosti (%),Celkem,2024,Olomoucký kraj,25 až 29,74.620839373
Míra zaměstnanosti (%),Celkem,2024,Olomoucký kraj,30 až 34,76.913237198
Míra zaměstnanosti (%),Celkem,2024,Olomoucký kraj,35 až 39,86.92380494
Míra zaměstnanosti (%),Celkem,2024,Olomoucký kraj,40 až 44,88.736697506
Míra zaměstnanosti (%),Celkem,2024,Olomoucký kraj,45 až 49,92.689798393
Míra zaměstnanosti (%),Celkem,2024,Olomoucký kraj,45 až 54,93.233574727
Míra zaměstnanosti (%),Celkem,2024,Olomoucký kraj,50 až 54,93.884273722
Míra zaměstnanosti (%),Celkem,2024,Olomoucký kraj,55 až 59,90.408976265
Míra zaměstnanosti (%),Celkem,2024,Olomoucký kraj,60 až 64,57.159522234
Míra zaměstnanosti (%),Celkem,2024,Olomoucký kraj,65 a více let,8.0454624259
Míra zaměstnanosti (%),Celkem,2024,Olomoucký kraj,55 až 64,74.182388097
Míra zaměstnanosti (%),Celkem,2024,Zlínský kraj,15 až 19,3.8645903531
Míra zaměstnanosti (%),Celkem,2024,Zlínský kraj,20 až 24,49.195861668
Míra zaměstnanosti (%),Celkem,2024,Zlínský kraj,25 až 29,82.159680605
Míra zaměstnanosti (%),Celkem,2024,Zlínský kraj,30 až 34,80.653026666
Míra zaměstnanosti (%),Celkem,2024,Zlínský kraj,35 až 39,87.813219971
Míra zaměstnanosti (%),Celkem,2024,Zlínský kraj,40 až 44,90.222313596
Míra zaměstnanosti (%),Celkem,2024,Zlínský kraj,45 až 49,93.165556443
Míra zaměstnanosti (%),Celkem,2024,Zlínský kraj,45 až 54,93.588356235
Míra zaměstnanosti (%),Celkem,2024,Zlínský kraj,50 až 54,94.075591724
Míra zaměstnanosti (%),Celkem,2024,Zlínský kraj,55 až 59,90.761643104
Míra zaměstnanosti (%),Celkem,2024,Zlínský kraj,60 až 64,59.800888554
Míra zaměstnanosti (%),Celkem,2024,Zlínský kraj,65 a více let,7.7970178544
Míra zaměstnanosti (%),Celkem,2024,Zlínský kraj,55 až 64,75.53888142
Míra zaměstnanosti (%),Celkem,2024,Moravskoslezský kraj,15 až 19,5.2675211223
Míra zaměstnanosti (%),Celkem,2024,Moravskoslezský kraj,20 až 24,52.65994455
Míra zaměstnanosti (%),Celkem,2024,Moravskoslezský kraj,25 až 29,81.084701882
Míra zaměstnanosti (%),Celkem,2024,Moravskoslezský kraj,30 až 34,77.586856315
Míra zaměstnanosti (%),Celkem,2024,Moravskoslezský kraj,35 až 39,80.872845289
Míra zaměstnanosti (%),Celkem,2024,Moravskoslezský kraj,40 až 44,91.964064791
Míra zaměstnanosti (%),Celkem,2024,Moravskoslezský kraj,45 až 49,91.940955768
Míra zaměstnanosti (%),Celkem,2024,Moravskoslezský kraj,45 až 54,91.258415421
Míra zaměstnanosti (%),Celkem,2024,Moravskoslezský kraj,50 až 54,90.497987466
Míra zaměstnanosti (%),Celkem,2024,Moravskoslezský kraj,55 až 59,84.46104824
Míra zaměstnanosti (%),Celkem,2024,Moravskoslezský kraj,60 až 64,53.286233669
Míra zaměstnanosti (%),Celkem,2024,Moravskoslezský kraj,65 a více let,6.0992163212
Míra zaměstnanosti (%),Celkem,2024,Moravskoslezský kraj,55 až 64,69.518725165
