Území,Odvětví ekonomické činnosti,Institucionální sektor ,Ukazatel,Doba přežití podniku,Rok vzniku podniku,value
Česko,Celkem,"Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ",Míra přežití podniků (%),5 let,2015,51.2997825741
Česko,Celkem,"Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ",Míra přežití podniků (%),5 let,2016,52.38
Česko,Celkem,"Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ",Míra přežití podniků (%),5 let,2017,53.57
Česko,Celkem,"Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ",Míra přežití podniků (%),5 let,2018,52.8
Česko,Celkem,"Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ",Míra přežití podniků (%),5 let,2019,
Česko,Celkem,"Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ",Míra přežití podniků (%),5 let,2020,
Česko,Celkem,"Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ",Míra přežití podniků (%),5 let,2021,
Česko,Celkem,"Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ",Míra přežití podniků (%),5 let,2022,
Česko,Celkem,"Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ",Míra přežití podniků - zaměstnavatelů (%),1 rok,2013,
Česko,Celkem,"Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ",Míra přežití podniků - zaměstnavatelů (%),1 rok,2014,
Česko,Celkem,"Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ",Míra přežití podniků - zaměstnavatelů (%),1 rok,2015,83.64
Česko,Celkem,"Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ",Míra přežití podniků - zaměstnavatelů (%),1 rok,2016,84.21
Česko,Celkem,"Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ",Míra přežití podniků - zaměstnavatelů (%),1 rok,2017,85.98
Česko,Celkem,"Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ",Míra přežití podniků - zaměstnavatelů (%),1 rok,2018,85.85
Česko,Celkem,"Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ",Míra přežití podniků - zaměstnavatelů (%),1 rok,2019,85.05
Česko,Celkem,"Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ",Míra přežití podniků - zaměstnavatelů (%),1 rok,2020,87.0
Česko,Celkem,"Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ",Míra přežití podniků - zaměstnavatelů (%),1 rok,2021,85.65
Česko,Celkem,"Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ",Míra přežití podniků - zaměstnavatelů (%),1 rok,2022,70.22
Česko,Celkem,"Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ",Míra přežití podniků - zaměstnavatelů (%),2 roky,2013,
Česko,Celkem,"Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ",Míra přežití podniků - zaměstnavatelů (%),2 roky,2014,
Česko,Celkem,"Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ",Míra přežití podniků - zaměstnavatelů (%),2 roky,2015,65.9
Česko,Celkem,"Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ",Míra přežití podniků - zaměstnavatelů (%),2 roky,2016,68.63
Česko,Celkem,"Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ",Míra přežití podniků - zaměstnavatelů (%),2 roky,2017,71.47
Česko,Celkem,"Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ",Míra přežití podniků - zaměstnavatelů (%),2 roky,2018,71.25
Česko,Celkem,"Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ",Míra přežití podniků - zaměstnavatelů (%),2 roky,2019,70.93
Česko,Celkem,"Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ",Míra přežití podniků - zaměstnavatelů (%),2 roky,2020,74.11
Česko,Celkem,"Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ",Míra přežití podniků - zaměstnavatelů (%),2 roky,2021,65.65
Česko,Celkem,"Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ",Míra přežití podniků - zaměstnavatelů (%),2 roky,2022,
Česko,Celkem,"Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ",Míra přežití podniků - zaměstnavatelů (%),3 roky,2013,
Česko,Celkem,"Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ",Míra přežití podniků - zaměstnavatelů (%),3 roky,2014,
Česko,Celkem,"Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ",Míra přežití podniků - zaměstnavatelů (%),3 roky,2015,56.19
Česko,Celkem,"Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ",Míra přežití podniků - zaměstnavatelů (%),3 roky,2016,59.4
Česko,Celkem,"Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ",Míra přežití podniků - zaměstnavatelů (%),3 roky,2017,62.13
Česko,Celkem,"Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ",Míra přežití podniků - zaměstnavatelů (%),3 roky,2018,62.27
Česko,Celkem,"Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ",Míra přežití podniků - zaměstnavatelů (%),3 roky,2019,63.04
Česko,Celkem,"Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ",Míra přežití podniků - zaměstnavatelů (%),3 roky,2020,61.33
Česko,Celkem,"Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ",Míra přežití podniků - zaměstnavatelů (%),3 roky,2021,
Česko,Celkem,"Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ",Míra přežití podniků - zaměstnavatelů (%),3 roky,2022,
Česko,Celkem,"Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ",Míra přežití podniků - zaměstnavatelů (%),4 roky,2013,
Česko,Celkem,"Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ",Míra přežití podniků - zaměstnavatelů (%),4 roky,2014,
Česko,Celkem,"Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ",Míra přežití podniků - zaměstnavatelů (%),4 roky,2015,49.63
Česko,Celkem,"Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ",Míra přežití podniků - zaměstnavatelů (%),4 roky,2016,52.93
Česko,Celkem,"Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ",Míra přežití podniků - zaměstnavatelů (%),4 roky,2017,55.32
Česko,Celkem,"Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ",Míra přežití podniků - zaměstnavatelů (%),4 roky,2018,56.28
Česko,Celkem,"Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ",Míra přežití podniků - zaměstnavatelů (%),4 roky,2019,53.77
Česko,Celkem,"Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ",Míra přežití podniků - zaměstnavatelů (%),4 roky,2020,
Česko,Celkem,"Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ",Míra přežití podniků - zaměstnavatelů (%),4 roky,2021,
Česko,Celkem,"Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ",Míra přežití podniků - zaměstnavatelů (%),4 roky,2022,
Česko,Celkem,"Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ",Míra přežití podniků - zaměstnavatelů (%),5 let,2013,
Česko,Celkem,"Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ",Míra přežití podniků - zaměstnavatelů (%),5 let,2014,
Česko,Celkem,"Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ",Míra přežití podniků - zaměstnavatelů (%),5 let,2015,44.43
Česko,Celkem,"Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ",Míra přežití podniků - zaměstnavatelů (%),5 let,2016,47.81
Česko,Celkem,"Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ",Míra přežití podniků - zaměstnavatelů (%),5 let,2017,50.47
Česko,Celkem,"Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ",Míra přežití podniků - zaměstnavatelů (%),5 let,2018,48.86
Česko,Celkem,"Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ",Míra přežití podniků - zaměstnavatelů (%),5 let,2019,
Česko,Celkem,"Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ",Míra přežití podniků - zaměstnavatelů (%),5 let,2020,
Česko,Celkem,"Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ",Míra přežití podniků - zaměstnavatelů (%),5 let,2021,
Česko,Celkem,"Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ",Míra přežití podniků - zaměstnavatelů (%),5 let,2022,
