Kraje;Ukazatel;Šetření;Odvětví ekonomické činnosti;Roky;value
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;B - Těžba a dobývání;2010;0.6
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;B - Těžba a dobývání;2011;0.3
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;B - Těžba a dobývání;2012;0.2
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;B - Těžba a dobývání;2013;0.2
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;B - Těžba a dobývání;2014;0.4
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;B - Těžba a dobývání;2015;0.4
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;B - Těžba a dobývání;2016;0.4
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;B - Těžba a dobývání;2017;0.4
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;B - Těžba a dobývání;2018;0.4
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;B - Těžba a dobývání;2019;0.4
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;B - Těžba a dobývání;2020;0.3
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;B - Těžba a dobývání;2021;0.4
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;B - Těžba a dobývání;2022;0.3
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;C - Zpracovatelský průmysl;2010;61.6
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;C - Zpracovatelský průmysl;2011;59.4
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;C - Zpracovatelský průmysl;2012;60.9
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;C - Zpracovatelský průmysl;2013;59.3
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;C - Zpracovatelský průmysl;2014;57.6
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;C - Zpracovatelský průmysl;2015;59.5
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;C - Zpracovatelský průmysl;2016;60.3
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;C - Zpracovatelský průmysl;2017;63.0
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;C - Zpracovatelský průmysl;2018;67.6
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;C - Zpracovatelský průmysl;2019;63.1
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;C - Zpracovatelský průmysl;2020;64.3
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;C - Zpracovatelský průmysl;2021;61.0
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;C - Zpracovatelský průmysl;2022;63.4
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2010;5.6
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2011;5.7
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2012;5.7
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2013;5.7
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2014;5.7
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2015;6.0
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2016;5.8
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2017;5.9
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2018;6.1
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2019;5.6
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2020;5.9
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2021;5.9
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2022;5.8
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2010;6.4
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2011;6.4
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2012;7.0
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2013;7.0
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2014;6.8
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2015;6.9
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2016;6.6
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2017;6.4
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2018;6.9
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2019;6.8
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2020;7.1
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2021;6.9
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2022;7.0
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;F - Stavebnictví;2010;46.3
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;F - Stavebnictví;2011;44.1
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;F - Stavebnictví;2012;44.7
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;F - Stavebnictví;2013;42.9
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;F - Stavebnictví;2014;42.2
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;F - Stavebnictví;2015;42.2
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;F - Stavebnictví;2016;41.1
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;F - Stavebnictví;2017;41.2
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;F - Stavebnictví;2018;42.3
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;F - Stavebnictví;2019;44.5
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;F - Stavebnictví;2020;44.6
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;F - Stavebnictví;2021;47.9
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;F - Stavebnictví;2022;49.5
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2010;123.6
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2011;123.2
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2012;125.3
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2013;128.0
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2014;127.6
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2015;128.9
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2016;127.8
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2017;128.0
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2018;131.8
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2019;132.1
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2020;131.3
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2021;130.2
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2022;135.5
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;H - Doprava a skladování;2010;56.7
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;H - Doprava a skladování;2011;58.1
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;H - Doprava a skladování;2012;52.1
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;H - Doprava a skladování;2013;51.4
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;H - Doprava a skladování;2014;51.4
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;H - Doprava a skladování;2015;55.6
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;H - Doprava a skladování;2016;55.7
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;H - Doprava a skladování;2017;55.0
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;H - Doprava a skladování;2018;58.3
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;H - Doprava a skladování;2019;60.4
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;H - Doprava a skladování;2020;57.0
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;H - Doprava a skladování;2021;48.0
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;H - Doprava a skladování;2022;49.8
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;I - Ubytování, stravování a pohostinství;2010;34.5
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;I - Ubytování, stravování a pohostinství;2011;35.1
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;I - Ubytování, stravování a pohostinství;2012;37.8
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;I - Ubytování, stravování a pohostinství;2013;38.3
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;I - Ubytování, stravování a pohostinství;2014;39.1
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;I - Ubytování, stravování a pohostinství;2015;39.4
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;I - Ubytování, stravování a pohostinství;2016;41.3
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;I - Ubytování, stravování a pohostinství;2017;45.0
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;I - Ubytování, stravování a pohostinství;2018;43.7
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;I - Ubytování, stravování a pohostinství;2019;43.9
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;I - Ubytování, stravování a pohostinství;2020;36.7
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;I - Ubytování, stravování a pohostinství;2021;32.5
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;I - Ubytování, stravování a pohostinství;2022;34.2
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;J - Informační a komunikační činnosti;2010;50.8
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;J - Informační a komunikační činnosti;2011;50.7
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;J - Informační a komunikační činnosti;2012;50.9
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;J - Informační a komunikační činnosti;2013;51.8
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;J - Informační a komunikační činnosti;2014;52.3
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;J - Informační a komunikační činnosti;2015;53.2
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;J - Informační a komunikační činnosti;2016;56.0
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;J - Informační a komunikační činnosti;2017;60.3
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;J - Informační a komunikační činnosti;2018;64.1
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;J - Informační a komunikační činnosti;2019;64.6
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;J - Informační a komunikační činnosti;2020;65.5
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;J - Informační a komunikační činnosti;2021;68.7
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;J - Informační a komunikační činnosti;2022;72.0
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;K - Peněžnictví a pojišťovnictví;2010;39.1
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;K - Peněžnictví a pojišťovnictví;2011;35.9
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;K - Peněžnictví a pojišťovnictví;2012;38.0
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;K - Peněžnictví a pojišťovnictví;2013;37.6
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;K - Peněžnictví a pojišťovnictví;2014;36.9
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;K - Peněžnictví a pojišťovnictví;2015;39.1
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;K - Peněžnictví a pojišťovnictví;2016;38.7
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;K - Peněžnictví a pojišťovnictví;2017;38.5
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;K - Peněžnictví a pojišťovnictví;2018;38.9
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;K - Peněžnictví a pojišťovnictví;2019;39.5
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;K - Peněžnictví a pojišťovnictví;2020;38.7
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;K - Peněžnictví a pojišťovnictví;2021;41.6
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;K - Peněžnictví a pojišťovnictví;2022;38.7
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;L - Činnosti v oblasti nemovitostí;2010;17.4
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;L - Činnosti v oblasti nemovitostí;2011;17.2
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;L - Činnosti v oblasti nemovitostí;2012;20.7
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;L - Činnosti v oblasti nemovitostí;2013;22.8
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;L - Činnosti v oblasti nemovitostí;2014;23.1
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;L - Činnosti v oblasti nemovitostí;2015;21.2
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;L - Činnosti v oblasti nemovitostí;2016;21.0
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;L - Činnosti v oblasti nemovitostí;2017;20.9
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;L - Činnosti v oblasti nemovitostí;2018;21.1
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;L - Činnosti v oblasti nemovitostí;2019;20.2
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;L - Činnosti v oblasti nemovitostí;2020;20.9
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;L - Činnosti v oblasti nemovitostí;2021;21.2
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;L - Činnosti v oblasti nemovitostí;2022;21.4
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;M - Profesní, vědecké a technické činnosti;2010;62.9
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;M - Profesní, vědecké a technické činnosti;2011;63.6
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;M - Profesní, vědecké a technické činnosti;2012;66.0
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;M - Profesní, vědecké a technické činnosti;2013;67.6
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;M - Profesní, vědecké a technické činnosti;2014;69.6
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;M - Profesní, vědecké a technické činnosti;2015;69.5
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;M - Profesní, vědecké a technické činnosti;2016;72.9
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;M - Profesní, vědecké a technické činnosti;2017;75.1
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;M - Profesní, vědecké a technické činnosti;2018;77.3
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;M - Profesní, vědecké a technické činnosti;2019;77.9
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;M - Profesní, vědecké a technické činnosti;2020;76.2
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;M - Profesní, vědecké a technické činnosti;2021;76.4
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;M - Profesní, vědecké a technické činnosti;2022;79.1
