Ukazatel,Území,Typ financování zdravotní péče,Poskytovatel zdravotní péče,Roky,value
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Lékárny a výdejny prostředků zdravotnické techniky,2016,60064.15073
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Lékárny a výdejny prostředků zdravotnické techniky,2017,61402.92879
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Lékárny a výdejny prostředků zdravotnické techniky,2018,63432.42718
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Lékárny a výdejny prostředků zdravotnické techniky,2019,67722.63348
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Lékárny a výdejny prostředků zdravotnické techniky,2020,72031.92164
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Lékárny a výdejny prostředků zdravotnické techniky,2021,76684.04803
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Lékárny a výdejny prostředků zdravotnické techniky,2022,70733.90417
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Poskytovatelé preventivní péče,2010,1618.154324
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Poskytovatelé preventivní péče,2011,1643.317211
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Poskytovatelé preventivní péče,2012,1259.634522
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Poskytovatelé preventivní péče,2013,1473.051403
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Poskytovatelé preventivní péče,2014,2968.168345
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Poskytovatelé preventivní péče,2015,1543.065775
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Poskytovatelé preventivní péče,2016,2021.10798
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Poskytovatelé preventivní péče,2017,2645.771616
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Poskytovatelé preventivní péče,2018,2131.996024
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Poskytovatelé preventivní péče,2019,2156.79709
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Poskytovatelé preventivní péče,2020,2552.005038
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Poskytovatelé preventivní péče,2021,3607.866723
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Poskytovatelé preventivní péče,2022,3061.07393
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Poskytovatelé správy a financování zdravotnictví,2010,8632.55832
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Poskytovatelé správy a financování zdravotnictví,2011,8757.585196
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Poskytovatelé správy a financování zdravotnictví,2012,8634.03284
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Poskytovatelé správy a financování zdravotnictví,2013,8486.702337
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Poskytovatelé správy a financování zdravotnictví,2014,8550.628151
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Poskytovatelé správy a financování zdravotnictví,2015,8550.985318
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Poskytovatelé správy a financování zdravotnictví,2016,8583.035039
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Poskytovatelé správy a financování zdravotnictví,2017,8632.853852
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Poskytovatelé správy a financování zdravotnictví,2018,9187.834049
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Poskytovatelé správy a financování zdravotnictví,2019,10002.3847
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Poskytovatelé správy a financování zdravotnictví,2020,10792.78074
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Poskytovatelé správy a financování zdravotnictví,2021,11697.13204
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Poskytovatelé správy a financování zdravotnictví,2022,11863.24328
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Ostatní odvětví ekonomiky,2010,4133.0
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Ostatní odvětví ekonomiky,2011,4252.0
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Ostatní odvětví ekonomiky,2012,4152.0
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Ostatní odvětví ekonomiky,2013,4355.0
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Ostatní odvětví ekonomiky,2014,4608.0
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Ostatní odvětví ekonomiky,2015,4886.0
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Ostatní odvětví ekonomiky,2016,5051.0
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Ostatní odvětví ekonomiky,2017,5735.5
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Ostatní odvětví ekonomiky,2018,6601.2
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Ostatní odvětví ekonomiky,2019,7323.0
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Ostatní odvětví ekonomiky,2020,8454.0
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Ostatní odvětví ekonomiky,2021,9542.0
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Ostatní odvětví ekonomiky,2022,9624.0
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Zahraniční poskytovatelé,2010,413.7677655
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Zahraniční poskytovatelé,2011,463.7830895
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Zahraniční poskytovatelé,2012,501.9010845
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Zahraniční poskytovatelé,2013,462.4290861
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Zahraniční poskytovatelé,2014,521.9412596
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Zahraniční poskytovatelé,2015,465.5418432
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Zahraniční poskytovatelé,2016,469.9917526
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Zahraniční poskytovatelé,2017,522.03294
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Zahraniční poskytovatelé,2018,580.93386
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Zahraniční poskytovatelé,2019,660.6336
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Zahraniční poskytovatelé,2020,493.39914
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Zahraniční poskytovatelé,2021,309.56803
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Zahraniční poskytovatelé,2022,653.6552083
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Ostatní nebo jinde nezařazené,2010,4060.177224
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Ostatní nebo jinde nezařazené,2011,3518.702789
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Ostatní nebo jinde nezařazené,2012,3521.713222
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Ostatní nebo jinde nezařazené,2013,3831.669479
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Ostatní nebo jinde nezařazené,2014,3638.521264
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Ostatní nebo jinde nezařazené,2015,3879.14106
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Ostatní nebo jinde nezařazené,2016,4214.159889
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Ostatní nebo jinde nezařazené,2017,4190.548071
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Ostatní nebo jinde nezařazené,2018,5317.522248
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Ostatní nebo jinde nezařazené,2019,6321.074887
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Ostatní nebo jinde nezařazené,2020,19561.41002
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Ostatní nebo jinde nezařazené,2021,19144.84364
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Ostatní nebo jinde nezařazené,2022,17475.4944
