Ukazatel;Území;Typ indexu;Klasifikace produkce;Kumulace měsíců;value
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – březen 2018;104.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – duben 2018;104.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – květen 2018;104.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – červen 2018;104.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – červenec 2018;104.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – srpen 2018;104.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – září 2018;104.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – říjen 2018;104.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – listopad 2018;104.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – prosinec 2018;104.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden 2019;107.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – únor 2019;107.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – březen 2019;107.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – duben 2019;107.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – květen 2019;107.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – červen 2019;107.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – červenec 2019;107.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – srpen 2019;107.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – září 2019;107.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – říjen 2019;107.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – listopad 2019;107.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – prosinec 2019;107.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden 2020;113.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – únor 2020;113.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – březen 2020;113.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – duben 2020;113.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – květen 2020;113.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – červen 2020;113.7
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – červenec 2020;113.8
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – srpen 2020;113.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – září 2020;113.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – říjen 2020;114.0
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – listopad 2020;114.0
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – prosinec 2020;114.0
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden 2021;121.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – únor 2021;121.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – březen 2021;121.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – duben 2021;121.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – květen 2021;121.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – červen 2021;121.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – červenec 2021;121.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – srpen 2021;121.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – září 2021;121.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – říjen 2021;121.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – listopad 2021;121.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – prosinec 2021;121.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden 2022;127.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – únor 2022;127.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – březen 2022;127.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – duben 2022;127.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – květen 2022;127.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – červen 2022;127.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – červenec 2022;127.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – srpen 2022;127.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – září 2022;127.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – říjen 2022;127.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – listopad 2022;127.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – prosinec 2022;127.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden 2023;148.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – únor 2023;148.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – březen 2023;148.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – duben 2023;148.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – květen 2023;148.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – červen 2023;148.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – červenec 2023;148.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – srpen 2023;148.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – září 2023;148.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – říjen 2023;148.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – listopad 2023;148.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – prosinec 2023;148.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden 2024;161.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – únor 2024;161.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – březen 2024;161.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – duben 2024;161.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – květen 2024;161.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – červen 2024;161.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – červenec 2024;161.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – srpen 2024;161.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – září 2024;161.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – říjen 2024;161.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – listopad 2024;161.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – prosinec 2024;161.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden 2025;168.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – únor 2025;168.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – březen 2025;168.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI";leden – duben 2025;168.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);Černé a hnědé uhlí a lignit;leden 2015;100.7
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);Černé a hnědé uhlí a lignit;leden – únor 2015;100.6
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);Černé a hnědé uhlí a lignit;leden – březen 2015;100.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);Černé a hnědé uhlí a lignit;leden – duben 2015;100.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);Černé a hnědé uhlí a lignit;leden – květen 2015;100.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);Černé a hnědé uhlí a lignit;leden – červen 2015;100.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);Černé a hnědé uhlí a lignit;leden – červenec 2015;100.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);Černé a hnědé uhlí a lignit;leden – srpen 2015;100.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);Černé a hnědé uhlí a lignit;leden – září 2015;100.2
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);Černé a hnědé uhlí a lignit;leden – říjen 2015;100.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);Černé a hnědé uhlí a lignit;leden – listopad 2015;100.0
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);Černé a hnědé uhlí a lignit;leden – prosinec 2015;100.0
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);Černé a hnědé uhlí a lignit;leden 2016;92.7
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);Černé a hnědé uhlí a lignit;leden – únor 2016;93.0
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);Černé a hnědé uhlí a lignit;leden – březen 2016;93.0
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);Černé a hnědé uhlí a lignit;leden – duben 2016;92.8
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);Černé a hnědé uhlí a lignit;leden – květen 2016;92.7
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);Černé a hnědé uhlí a lignit;leden – červen 2016;92.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);Černé a hnědé uhlí a lignit;leden – červenec 2016;92.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);Černé a hnědé uhlí a lignit;leden – srpen 2016;92.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);Černé a hnědé uhlí a lignit;leden – září 2016;92.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);Černé a hnědé uhlí a lignit;leden – říjen 2016;92.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);Černé a hnědé uhlí a lignit;leden – listopad 2016;92.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);Černé a hnědé uhlí a lignit;leden – prosinec 2016;92.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);Černé a hnědé uhlí a lignit;leden 2017;95.8
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);Černé a hnědé uhlí a lignit;leden – únor 2017;98.6
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);Černé a hnědé uhlí a lignit;leden – březen 2017;99.6
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);Černé a hnědé uhlí a lignit;leden – duben 2017;100.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);Černé a hnědé uhlí a lignit;leden – květen 2017;99.7
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);Černé a hnědé uhlí a lignit;leden – červen 2017;99.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);Černé a hnědé uhlí a lignit;leden – červenec 2017;99.2
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);Černé a hnědé uhlí a lignit;leden – srpen 2017;98.8
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);Černé a hnědé uhlí a lignit;leden – září 2017;98.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);Černé a hnědé uhlí a lignit;leden – říjen 2017;98.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);Černé a hnědé uhlí a lignit;leden – listopad 2017;98.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);Černé a hnědé uhlí a lignit;leden – prosinec 2017;98.2
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);Černé a hnědé uhlí a lignit;leden 2018;107.0
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);Černé a hnědé uhlí a lignit;leden – únor 2018;108.0
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);Černé a hnědé uhlí a lignit;leden – březen 2018;108.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);Černé a hnědé uhlí a lignit;leden – duben 2018;108.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);Černé a hnědé uhlí a lignit;leden – květen 2018;108.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);Černé a hnědé uhlí a lignit;leden – červen 2018;108.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);Černé a hnědé uhlí a lignit;leden – červenec 2018;108.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);Černé a hnědé uhlí a lignit;leden – srpen 2018;108.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);Černé a hnědé uhlí a lignit;leden – září 2018;108.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);Černé a hnědé uhlí a lignit;leden – říjen 2018;108.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);Černé a hnědé uhlí a lignit;leden – listopad 2018;108.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);Černé a hnědé uhlí a lignit;leden – prosinec 2018;108.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);Černé a hnědé uhlí a lignit;leden 2019;118.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);Černé a hnědé uhlí a lignit;leden – únor 2019;118.8
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);Černé a hnědé uhlí a lignit;leden – březen 2019;118.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);Černé a hnědé uhlí a lignit;leden – duben 2019;118.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);Černé a hnědé uhlí a lignit;leden – květen 2019;118.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);Černé a hnědé uhlí a lignit;leden – červen 2019;118.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);Černé a hnědé uhlí a lignit;leden – červenec 2019;118.8
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);Černé a hnědé uhlí a lignit;leden – srpen 2019;118.8
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);Černé a hnědé uhlí a lignit;leden – září 2019;118.8
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);Černé a hnědé uhlí a lignit;leden – říjen 2019;118.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);Černé a hnědé uhlí a lignit;leden – listopad 2019;118.0
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);Černé a hnědé uhlí a lignit;leden – prosinec 2019;117.7
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);Černé a hnědé uhlí a lignit;leden 2020;111.0
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);Černé a hnědé uhlí a lignit;leden – únor 2020;112.3
