Rok sčítání,Ukazatel,Věk,Pohlaví,Území,Nejvyšší dosažené vzdělání,value
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Plzeňský kraj,Vysokoškolské,51062
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Karlovarský kraj,Obyvatelstvo ve věku 15 a více let,253436
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Karlovarský kraj,Bez vzdělání,2152
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Karlovarský kraj,Základní vč. neukončeného,56826
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Karlovarský kraj,Střední vč. vyučení (bez maturity),86947
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Karlovarský kraj,Úplné střední (s maturitou),61356
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Karlovarský kraj,Nástavbové studium,6458
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Karlovarský kraj,Vyšší odborné vzdělání,2468
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Karlovarský kraj,Vysokoškolské,17700
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Ústecký kraj,Obyvatelstvo ve věku 15 a více let,687269
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Ústecký kraj,Bez vzdělání,5758
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Ústecký kraj,Základní vč. neukončeného,149445
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Ústecký kraj,Střední vč. vyučení (bez maturity),239929
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Ústecký kraj,Úplné střední (s maturitou),170011
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Ústecký kraj,Nástavbové studium,17202
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Ústecký kraj,Vyšší odborné vzdělání,6409
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Ústecký kraj,Vysokoškolské,52000
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Liberecký kraj,Obyvatelstvo ve věku 15 a více let,367842
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Liberecký kraj,Bez vzdělání,2015
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Liberecký kraj,Základní vč. neukončeného,68502
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Liberecký kraj,Střední vč. vyučení (bez maturity),132115
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Liberecký kraj,Úplné střední (s maturitou),95674
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Liberecký kraj,Nástavbové studium,9893
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Liberecký kraj,Vyšší odborné vzdělání,4158
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Liberecký kraj,Vysokoškolské,35465
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Královéhradecký kraj,Obyvatelstvo ve věku 15 a více let,468789
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Královéhradecký kraj,Bez vzdělání,2202
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Královéhradecký kraj,Základní vč. neukončeného,82703
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Královéhradecký kraj,Střední vč. vyučení (bez maturity),166326
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Královéhradecký kraj,Úplné střední (s maturitou),128608
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Královéhradecký kraj,Nástavbové studium,13940
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Královéhradecký kraj,Vyšší odborné vzdělání,6061
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Královéhradecký kraj,Vysokoškolské,47480
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Pardubický kraj,Obyvatelstvo ve věku 15 a více let,436534
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Pardubický kraj,Bez vzdělání,1911
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Pardubický kraj,Základní vč. neukončeného,77974
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Pardubický kraj,Střední vč. vyučení (bez maturity),159784
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Pardubický kraj,Úplné střední (s maturitou),117449
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Pardubický kraj,Nástavbové studium,12260
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Pardubický kraj,Vyšší odborné vzdělání,6135
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Pardubický kraj,Vysokoškolské,43246
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Kraj Vysočina,Obyvatelstvo ve věku 15 a více let,431767
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Kraj Vysočina,Bez vzdělání,1819
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Kraj Vysočina,Základní vč. neukončeného,79912
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Kraj Vysočina,Střední vč. vyučení (bez maturity),161731
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Kraj Vysočina,Úplné střední (s maturitou),116870
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Kraj Vysočina,Nástavbové studium,11727
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Kraj Vysočina,Vyšší odborné vzdělání,5638
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Kraj Vysočina,Vysokoškolské,41049
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Jihomoravský kraj,Obyvatelstvo ve věku 15 a více let,1000714
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Jihomoravský kraj,Bez vzdělání,3813
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Jihomoravský kraj,Základní vč. neukončeného,175879
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Jihomoravský kraj,Střední vč. vyučení (bez maturity),323328
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Jihomoravský kraj,Úplné střední (s maturitou),268936
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Jihomoravský kraj,Nástavbové studium,27578
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Jihomoravský kraj,Vyšší odborné vzdělání,12569
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Jihomoravský kraj,Vysokoškolské,146796
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Olomoucký kraj,Obyvatelstvo ve věku 15 a více let,538029
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Olomoucký kraj,Bez vzdělání,2805
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Olomoucký kraj,Základní vč. neukončeného,99213
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Olomoucký kraj,Střední vč. vyučení (bez maturity),190683
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Olomoucký kraj,Úplné střední (s maturitou),144852
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Olomoucký kraj,Nástavbové studium,13984
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Olomoucký kraj,Vyšší odborné vzdělání,6154
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Olomoucký kraj,Vysokoškolské,61480
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Zlínský kraj,Obyvatelstvo ve věku 15 a více let,497677
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Zlínský kraj,Bez vzdělání,2170
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Zlínský kraj,Základní vč. neukončeného,94785
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Zlínský kraj,Střední vč. vyučení (bez maturity),178120
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Zlínský kraj,Úplné střední (s maturitou),132576
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Zlínský kraj,Nástavbové studium,13393
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Zlínský kraj,Vyšší odborné vzdělání,5367
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Zlínský kraj,Vysokoškolské,55966
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Moravskoslezský kraj,Obyvatelstvo ve věku 15 a více let,1032341
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Moravskoslezský kraj,Bez vzdělání,5888
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Moravskoslezský kraj,Základní vč. neukončeného,201832
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Moravskoslezský kraj,Střední vč. vyučení (bez maturity),362120
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Moravskoslezský kraj,Úplné střední (s maturitou),267023
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Moravskoslezský kraj,Nástavbové studium,27042
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Moravskoslezský kraj,Vyšší odborné vzdělání,9739
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Moravskoslezský kraj,Vysokoškolské,116072
