Ukazatel,Rok sčítání,Území,Hospodařící domácnosti podle typu domácnosti,value
Počet hospodařících domácností,2011,Plzeňský kraj,HD tvořené 1 rodinou ,147651
Počet hospodařících domácností,2011,Plzeňský kraj,Úplné rodiny bez závislých dětí,71475
Počet hospodařících domácností,2011,Plzeňský kraj,Úplné rodiny se závislými dětmi,46581
Počet hospodařících domácností,2011,Plzeňský kraj,Neúplné rodiny bez závislých dětí,14052
Počet hospodařících domácností,2011,Plzeňský kraj,Neúplné rodiny se závislými dětmi,15543
Počet hospodařících domácností,2011,Plzeňský kraj,HD tvořené 2 a více rodinami,3555
Počet hospodařících domácností,2011,Plzeňský kraj,Domácnosti jednotlivců,79334
Počet hospodařících domácností,2011,Plzeňský kraj,Vícečlenné nerodinné domácnosti,11857
Počet hospodařících domácností,2011,Karlovarský kraj,Hospodařící domácnosti celkem,128904
Počet hospodařících domácností,2011,Karlovarský kraj,HD tvořené 1 rodinou ,73917
Počet hospodařících domácností,2011,Karlovarský kraj,Úplné rodiny bez závislých dětí,34015
Počet hospodařících domácností,2011,Karlovarský kraj,Úplné rodiny se závislými dětmi,21078
Počet hospodařících domácností,2011,Karlovarský kraj,Neúplné rodiny bez závislých dětí,8252
Počet hospodařících domácností,2011,Karlovarský kraj,Neúplné rodiny se závislými dětmi,10572
Počet hospodařících domácností,2011,Karlovarský kraj,HD tvořené 2 a více rodinami,1610
Počet hospodařících domácností,2011,Karlovarský kraj,Domácnosti jednotlivců,45345
Počet hospodařících domácností,2011,Karlovarský kraj,Vícečlenné nerodinné domácnosti,8032
Počet hospodařících domácností,2011,Ústecký kraj,Hospodařící domácnosti celkem,352346
Počet hospodařících domácností,2011,Ústecký kraj,HD tvořené 1 rodinou ,206511
Počet hospodařících domácností,2011,Ústecký kraj,Úplné rodiny bez závislých dětí,94889
Počet hospodařících domácností,2011,Ústecký kraj,Úplné rodiny se závislými dětmi,62423
Počet hospodařících domácností,2011,Ústecký kraj,Neúplné rodiny bez závislých dětí,20455
Počet hospodařících domácností,2011,Ústecký kraj,Neúplné rodiny se závislými dětmi,28744
Počet hospodařících domácností,2011,Ústecký kraj,HD tvořené 2 a více rodinami,3936
Počet hospodařících domácností,2011,Ústecký kraj,Domácnosti jednotlivců,122615
Počet hospodařících domácností,2011,Ústecký kraj,Vícečlenné nerodinné domácnosti,19284
Počet hospodařících domácností,2011,Liberecký kraj,Hospodařící domácnosti celkem,183299
Počet hospodařících domácností,2011,Liberecký kraj,HD tvořené 1 rodinou ,110698
Počet hospodařících domácností,2011,Liberecký kraj,Úplné rodiny bez závislých dětí,50799
Počet hospodařících domácností,2011,Liberecký kraj,Úplné rodiny se závislými dětmi,35264
Počet hospodařících domácností,2011,Liberecký kraj,Neúplné rodiny bez závislých dětí,11174
Počet hospodařících domácností,2011,Liberecký kraj,Neúplné rodiny se závislými dětmi,13461
Počet hospodařících domácností,2011,Liberecký kraj,HD tvořené 2 a více rodinami,2640
Počet hospodařících domácností,2011,Liberecký kraj,Domácnosti jednotlivců,60916
Počet hospodařících domácností,2011,Liberecký kraj,Vícečlenné nerodinné domácnosti,9045
Počet hospodařících domácností,2011,Královéhradecký kraj,Hospodařící domácnosti celkem,228256
Počet hospodařících domácností,2011,Královéhradecký kraj,HD tvořené 1 rodinou ,143577
Počet hospodařících domácností,2011,Královéhradecký kraj,Úplné rodiny bez závislých dětí,68242
Počet hospodařících domácností,2011,Královéhradecký kraj,Úplné rodiny se závislými dětmi,46829
Počet hospodařících domácností,2011,Královéhradecký kraj,Neúplné rodiny bez závislých dětí,13517
Počet hospodařících domácností,2011,Královéhradecký kraj,Neúplné rodiny se závislými dětmi,14989
Počet hospodařících domácností,2011,Královéhradecký kraj,HD tvořené 2 a více rodinami,3463
Počet hospodařících domácností,2011,Královéhradecký kraj,Domácnosti jednotlivců,72208
Počet hospodařících domácností,2011,Královéhradecký kraj,Vícečlenné nerodinné domácnosti,9008
Počet hospodařících domácností,2011,Pardubický kraj,Hospodařící domácnosti celkem,207396
Počet hospodařících domácností,2011,Pardubický kraj,HD tvořené 1 rodinou ,133552
Počet hospodařících domácností,2011,Pardubický kraj,Úplné rodiny bez závislých dětí,62931
Počet hospodařících domácností,2011,Pardubický kraj,Úplné rodiny se závislými dětmi,45395
Počet hospodařících domácností,2011,Pardubický kraj,Neúplné rodiny bez závislých dětí,12124
Počet hospodařících domácností,2011,Pardubický kraj,Neúplné rodiny se závislými dětmi,13102
Počet hospodařících domácností,2011,Pardubický kraj,HD tvořené 2 a více rodinami,3448
Počet hospodařících domácností,2011,Pardubický kraj,Domácnosti jednotlivců,62789
Počet hospodařících domácností,2011,Pardubický kraj,Vícečlenné nerodinné domácnosti,7607
Počet hospodařících domácností,2011,Kraj Vysočina,Hospodařící domácnosti celkem,198504
Počet hospodařících domácností,2011,Kraj Vysočina,HD tvořené 1 rodinou ,131108
Počet hospodařících domácností,2011,Kraj Vysočina,Úplné rodiny bez závislých dětí,62067
Počet hospodařících domácností,2011,Kraj Vysočina,Úplné rodiny se závislými dětmi,45833
Počet hospodařících domácností,2011,Kraj Vysočina,Neúplné rodiny bez závislých dětí,11948
Počet hospodařících domácností,2011,Kraj Vysočina,Neúplné rodiny se závislými dětmi,11260
Počet hospodařících domácností,2011,Kraj Vysočina,HD tvořené 2 a více rodinami,4425
Počet hospodařících domácností,2011,Kraj Vysočina,Domácnosti jednotlivců,56688
Počet hospodařících domácností,2011,Kraj Vysočina,Vícečlenné nerodinné domácnosti,6283
Počet hospodařících domácností,2011,Jihomoravský kraj,Hospodařící domácnosti celkem,473520
Počet hospodařících domácností,2011,Jihomoravský kraj,HD tvořené 1 rodinou ,295668
Počet hospodařících domácností,2011,Jihomoravský kraj,Úplné rodiny bez závislých dětí,136389
Počet hospodařících domácností,2011,Jihomoravský kraj,Úplné rodiny se závislými dětmi,97136
Počet hospodařících domácností,2011,Jihomoravský kraj,Neúplné rodiny bez závislých dětí,31929
Počet hospodařících domácností,2011,Jihomoravský kraj,Neúplné rodiny se závislými dětmi,30214
Počet hospodařících domácností,2011,Jihomoravský kraj,HD tvořené 2 a více rodinami,10497
Počet hospodařících domácností,2011,Jihomoravský kraj,Domácnosti jednotlivců,145117
Počet hospodařících domácností,2011,Jihomoravský kraj,Vícečlenné nerodinné domácnosti,22238
Počet hospodařících domácností,2011,Olomoucký kraj,Hospodařící domácnosti celkem,257964
Počet hospodařících domácností,2011,Olomoucký kraj,HD tvořené 1 rodinou ,164554
Počet hospodařících domácností,2011,Olomoucký kraj,Úplné rodiny bez závislých dětí,76313
Počet hospodařících domácností,2011,Olomoucký kraj,Úplné rodiny se závislými dětmi,54633
Počet hospodařících domácností,2011,Olomoucký kraj,Neúplné rodiny bez závislých dětí,16135
Počet hospodařících domácností,2011,Olomoucký kraj,Neúplné rodiny se závislými dětmi,17473
Počet hospodařících domácností,2011,Olomoucký kraj,HD tvořené 2 a více rodinami,4405
Počet hospodařících domácností,2011,Olomoucký kraj,Domácnosti jednotlivců,78801
Počet hospodařících domácností,2011,Olomoucký kraj,Vícečlenné nerodinné domácnosti,10204
Počet hospodařících domácností,2011,Zlínský kraj,Hospodařící domácnosti celkem,229682
Počet hospodařících domácností,2011,Zlínský kraj,HD tvořené 1 rodinou ,150952
Počet hospodařících domácností,2011,Zlínský kraj,Úplné rodiny bez závislých dětí,69107
Počet hospodařících domácností,2011,Zlínský kraj,Úplné rodiny se závislými dětmi,52305
Počet hospodařících domácností,2011,Zlínský kraj,Neúplné rodiny bez závislých dětí,15827
Počet hospodařících domácností,2011,Zlínský kraj,Neúplné rodiny se závislými dětmi,13713
Počet hospodařících domácností,2011,Zlínský kraj,HD tvořené 2 a více rodinami,4928
Počet hospodařících domácností,2011,Zlínský kraj,Domácnosti jednotlivců,66330
Počet hospodařících domácností,2011,Zlínský kraj,Vícečlenné nerodinné domácnosti,7472
Počet hospodařících domácností,2011,Moravskoslezský kraj,Hospodařící domácnosti celkem,507608
Počet hospodařících domácností,2011,Moravskoslezský kraj,HD tvořené 1 rodinou ,315748
Počet hospodařících domácností,2011,Moravskoslezský kraj,Úplné rodiny bez závislých dětí,145140
Počet hospodařících domácností,2011,Moravskoslezský kraj,Úplné rodiny se závislými dětmi,101673
Počet hospodařících domácností,2011,Moravskoslezský kraj,Neúplné rodiny bez závislých dětí,31581
Počet hospodařících domácností,2011,Moravskoslezský kraj,Neúplné rodiny se závislými dětmi,37354
Počet hospodařících domácností,2011,Moravskoslezský kraj,HD tvořené 2 a více rodinami,7214
Počet hospodařících domácností,2011,Moravskoslezský kraj,Domácnosti jednotlivců,163089
Počet hospodařících domácností,2011,Moravskoslezský kraj,Vícečlenné nerodinné domácnosti,21557
