Ukazatel,Rok sčítání,Území,Pohlaví,Rodinný stav,value
Počet obyvatel (obvyklý pobyt),2021,Moravskoslezský kraj,Ženy,Svobodní/svobodné,217363
Počet obyvatel (obvyklý pobyt),2021,Moravskoslezský kraj,Ženy,Ženatí/vdané,221093
Počet obyvatel (obvyklý pobyt),2021,Moravskoslezský kraj,Ženy,Rozvedení/rozvedené,79209
Počet obyvatel (obvyklý pobyt),2021,Moravskoslezský kraj,Ženy,Ovdovělí/ovdovělé,73448
Počet obyvatel (obvyklý pobyt),2021,Moravskoslezský kraj,Ženy,Registrované partnerství trvající,234
Počet obyvatel (obvyklý pobyt),2021,Moravskoslezský kraj,Ženy,Nezjištěno,1326
Počet obyvatel (obvyklý pobyt),2021,Moravskoslezský kraj,Muži,Celkem,570091
Počet obyvatel (obvyklý pobyt),2021,Moravskoslezský kraj,Muži,Svobodní/svobodné,268996
Počet obyvatel (obvyklý pobyt),2021,Moravskoslezský kraj,Muži,Ženatí/vdané,221278
Počet obyvatel (obvyklý pobyt),2021,Moravskoslezský kraj,Muži,Rozvedení/rozvedené,62957
Počet obyvatel (obvyklý pobyt),2021,Moravskoslezský kraj,Muži,Ovdovělí/ovdovělé,14752
Počet obyvatel (obvyklý pobyt),2021,Moravskoslezský kraj,Muži,Registrované partnerství trvající,189
Počet obyvatel (obvyklý pobyt),2021,Moravskoslezský kraj,Muži,Nezjištěno,1853
