Území,Typ ceny,Očištění,Země,Měsíce,Ukazatel,value
Česko,Běžné ceny,Bez očištění,Svět celkem,prosinec 2024,Obrat zboží (meziroční index),107.8865637089
Česko,Běžné ceny,Bez očištění,Svět celkem,listopad 2024,"Vývoz (v mil. Kč, FOB)",422529.075883
Česko,Běžné ceny,Bez očištění,Svět celkem,listopad 2024,"Dovoz (v mil. Kč, CIF)",401331.529394
Česko,Běžné ceny,Bez očištění,Svět celkem,listopad 2024,Bilance (v mil. Kč),21197.546489
Česko,Běžné ceny,Bez očištění,Svět celkem,listopad 2024,Obrat zboží (v mil. Kč),823860.605277
Česko,Běžné ceny,Bez očištění,Svět celkem,listopad 2024,Vývoz (meziroční index),103.8953157107
Česko,Běžné ceny,Bez očištění,Svět celkem,listopad 2024,Dovoz (meziroční index),105.9142473519
Česko,Běžné ceny,Bez očištění,Svět celkem,listopad 2024,Obrat zboží (meziroční index),104.8691035101
Česko,Běžné ceny,Bez očištění,Svět celkem,říjen 2024,"Vývoz (v mil. Kč, FOB)",429545.64914
Česko,Běžné ceny,Bez očištění,Svět celkem,říjen 2024,"Dovoz (v mil. Kč, CIF)",418578.843594
Česko,Běžné ceny,Bez očištění,Svět celkem,říjen 2024,Bilance (v mil. Kč),10966.805546
Česko,Běžné ceny,Bez očištění,Svět celkem,říjen 2024,Obrat zboží (v mil. Kč),848124.492734
Česko,Běžné ceny,Bez očištění,Svět celkem,říjen 2024,Vývoz (meziroční index),103.5348474281
Česko,Běžné ceny,Bez očištění,Svět celkem,říjen 2024,Dovoz (meziroční index),104.4850563842
Česko,Běžné ceny,Bez očištění,Svět celkem,říjen 2024,Obrat zboží (meziroční index),104.001638767
Česko,Běžné ceny,Bez očištění,Svět celkem,září 2024,"Vývoz (v mil. Kč, FOB)",404831.393141
Česko,Běžné ceny,Bez očištění,Svět celkem,září 2024,"Dovoz (v mil. Kč, CIF)",381593.566545
Česko,Běžné ceny,Bez očištění,Svět celkem,září 2024,Bilance (v mil. Kč),23237.826596
Česko,Běžné ceny,Bez očištění,Svět celkem,září 2024,Obrat zboží (v mil. Kč),786424.959686
Česko,Běžné ceny,Bez očištění,Svět celkem,září 2024,Vývoz (meziroční index),109.4216681638
Česko,Běžné ceny,Bez očištění,Svět celkem,září 2024,Dovoz (meziroční index),106.435023991
Česko,Běžné ceny,Bez očištění,Svět celkem,září 2024,Obrat zboží (meziroční index),107.9518194272
Česko,Běžné ceny,Bez očištění,Svět celkem,srpen 2024,"Vývoz (v mil. Kč, FOB)",368743.856666
Česko,Běžné ceny,Bez očištění,Svět celkem,srpen 2024,"Dovoz (v mil. Kč, CIF)",357487.765978
Česko,Běžné ceny,Bez očištění,Svět celkem,srpen 2024,Bilance (v mil. Kč),11256.090688
Česko,Běžné ceny,Bez očištění,Svět celkem,srpen 2024,Obrat zboží (v mil. Kč),726231.622644
Česko,Běžné ceny,Bez očištění,Svět celkem,srpen 2024,Vývoz (meziroční index),110.7914637507
Česko,Běžné ceny,Bez očištění,Svět celkem,srpen 2024,Dovoz (meziroční index),105.3635103434
Česko,Běžné ceny,Bez očištění,Svět celkem,srpen 2024,Obrat zboží (meziroční index),108.0513899152
Česko,Běžné ceny,Bez očištění,Svět celkem,červenec 2024,"Vývoz (v mil. Kč, FOB)",358397.966236
Česko,Běžné ceny,Bez očištění,Svět celkem,červenec 2024,"Dovoz (v mil. Kč, CIF)",365598.684914
Česko,Běžné ceny,Bez očištění,Svět celkem,červenec 2024,Bilance (v mil. Kč),-7200.718678
Česko,Běžné ceny,Bez očištění,Svět celkem,červenec 2024,Obrat zboží (v mil. Kč),723996.65115
Česko,Běžné ceny,Bez očištění,Svět celkem,červenec 2024,Vývoz (meziroční index),113.0113585057
Česko,Běžné ceny,Bez očištění,Svět celkem,červenec 2024,Dovoz (meziroční index),113.067262024
Česko,Běžné ceny,Bez očištění,Svět celkem,červenec 2024,Obrat zboží (meziroční index),113.0395813561
Česko,Běžné ceny,Bez očištění,Svět celkem,červen 2024,"Vývoz (v mil. Kč, FOB)",390305.388552
Česko,Běžné ceny,Bez očištění,Svět celkem,červen 2024,"Dovoz (v mil. Kč, CIF)",359167.347352
Česko,Běžné ceny,Bez očištění,Svět celkem,červen 2024,Bilance (v mil. Kč),31138.0412
Česko,Běžné ceny,Bez očištění,Svět celkem,červen 2024,Obrat zboží (v mil. Kč),749472.735904
Česko,Běžné ceny,Bez očištění,Svět celkem,červen 2024,Vývoz (meziroční index),96.9776780654
Česko,Běžné ceny,Bez očištění,Svět celkem,červen 2024,Dovoz (meziroční index),93.422414308
Česko,Běžné ceny,Bez očištění,Svět celkem,červen 2024,Obrat zboží (meziroční index),95.2407393102
Česko,Běžné ceny,Bez očištění,Svět celkem,květen 2024,"Vývoz (v mil. Kč, FOB)",382554.924101
Česko,Běžné ceny,Bez očištění,Svět celkem,květen 2024,"Dovoz (v mil. Kč, CIF)",372006.409688
Česko,Běžné ceny,Bez očištění,Svět celkem,květen 2024,Bilance (v mil. Kč),10548.514413
Česko,Běžné ceny,Bez očištění,Svět celkem,květen 2024,Obrat zboží (v mil. Kč),754561.333789
Česko,Běžné ceny,Bez očištění,Svět celkem,květen 2024,Vývoz (meziroční index),99.7251907397
Česko,Běžné ceny,Bez očištění,Svět celkem,květen 2024,Dovoz (meziroční index),99.4145172053
Česko,Běžné ceny,Bez očištění,Svět celkem,květen 2024,Obrat zboží (meziroční index),99.571783233
Česko,Běžné ceny,Bez očištění,Svět celkem,duben 2024,"Vývoz (v mil. Kč, FOB)",413571.658732
Česko,Běžné ceny,Bez očištění,Svět celkem,duben 2024,"Dovoz (v mil. Kč, CIF)",384269.673327
Česko,Běžné ceny,Bez očištění,Svět celkem,duben 2024,Bilance (v mil. Kč),29301.985405
Česko,Běžné ceny,Bez očištění,Svět celkem,duben 2024,Obrat zboží (v mil. Kč),797841.332059
Česko,Běžné ceny,Bez očištění,Svět celkem,duben 2024,Vývoz (meziroční index),119.1546272145
Česko,Běžné ceny,Bez očištění,Svět celkem,duben 2024,Dovoz (meziroční index),113.5772538268
Česko,Běžné ceny,Bez očištění,Svět celkem,duben 2024,Obrat zboží (meziroční index),116.4015604792
Česko,Běžné ceny,Bez očištění,Svět celkem,březen 2024,"Vývoz (v mil. Kč, FOB)",406979.624028
Česko,Běžné ceny,Bez očištění,Svět celkem,březen 2024,"Dovoz (v mil. Kč, CIF)",366955.407383
Česko,Běžné ceny,Bez očištění,Svět celkem,březen 2024,Bilance (v mil. Kč),40024.216645
Česko,Běžné ceny,Bez očištění,Svět celkem,březen 2024,Obrat zboží (v mil. Kč),773935.031411
Česko,Běžné ceny,Bez očištění,Svět celkem,březen 2024,Vývoz (meziroční index),96.4925372724
Česko,Běžné ceny,Bez očištění,Svět celkem,březen 2024,Dovoz (meziroční index),90.7319811417
Česko,Běžné ceny,Bez očištění,Svět celkem,březen 2024,Obrat zboží (meziroční index),93.672688671
Česko,Běžné ceny,Bez očištění,Svět celkem,únor 2024,"Vývoz (v mil. Kč, FOB)",394845.245053
Česko,Běžné ceny,Bez očištění,Svět celkem,únor 2024,"Dovoz (v mil. Kč, CIF)",359841.611593
Česko,Běžné ceny,Bez očištění,Svět celkem,únor 2024,Bilance (v mil. Kč),35003.63346
Česko,Běžné ceny,Bez očištění,Svět celkem,únor 2024,Obrat zboží (v mil. Kč),754686.856646
Česko,Běžné ceny,Bez očištění,Svět celkem,únor 2024,Vývoz (meziroční index),109.5567800888
Česko,Běžné ceny,Bez očištění,Svět celkem,únor 2024,Dovoz (meziroční index),104.3159754739
Česko,Běžné ceny,Bez očištění,Svět celkem,únor 2024,Obrat zboží (meziroční index),106.9937704805
Česko,Běžné ceny,Bez očištění,Svět celkem,leden 2024,"Vývoz (v mil. Kč, FOB)",353590.716541
Česko,Běžné ceny,Bez očištění,Svět celkem,leden 2024,"Dovoz (v mil. Kč, CIF)",346335.648807
Česko,Běžné ceny,Bez očištění,Svět celkem,leden 2024,Bilance (v mil. Kč),7255.067734
Česko,Běžné ceny,Bez očištění,Svět celkem,leden 2024,Obrat zboží (v mil. Kč),699926.365348
Česko,Běžné ceny,Bez očištění,Svět celkem,leden 2024,Vývoz (meziroční index),94.481082368
Česko,Běžné ceny,Bez očištění,Svět celkem,leden 2024,Dovoz (meziroční index),94.5902720287
Česko,Běžné ceny,Bez očištění,Svět celkem,leden 2024,Obrat zboží (meziroční index),94.5350797719
Česko,Běžné ceny,Bez očištění,Svět celkem,prosinec 2023,"Vývoz (v mil. Kč, FOB)",311353.339695
Česko,Běžné ceny,Bez očištění,Svět celkem,prosinec 2023,"Dovoz (v mil. Kč, CIF)",306728.478246
Česko,Běžné ceny,Bez očištění,Svět celkem,prosinec 2023,Bilance (v mil. Kč),4624.861449
Česko,Běžné ceny,Bez očištění,Svět celkem,prosinec 2023,Obrat zboží (v mil. Kč),618081.817941
Česko,Běžné ceny,Bez očištění,Svět celkem,prosinec 2023,Vývoz (meziroční index),90.9020973275
Česko,Běžné ceny,Bez očištění,Svět celkem,prosinec 2023,Dovoz (meziroční index),88.9214128244
Česko,Běžné ceny,Bez očištění,Svět celkem,prosinec 2023,Obrat zboží (meziroční index),89.9082569001
Česko,Běžné ceny,Bez očištění,Svět celkem,listopad 2023,"Vývoz (v mil. Kč, FOB)",406687.320783
Česko,Běžné ceny,Bez očištění,Svět celkem,listopad 2023,"Dovoz (v mil. Kč, CIF)",378921.192784
Česko,Běžné ceny,Bez očištění,Svět celkem,listopad 2023,Bilance (v mil. Kč),27766.127999
Česko,Běžné ceny,Bez očištění,Svět celkem,listopad 2023,Obrat zboží (v mil. Kč),785608.513567
Česko,Běžné ceny,Bez očištění,Svět celkem,listopad 2023,Vývoz (meziroční index),98.1492171913
Česko,Běžné ceny,Bez očištění,Svět celkem,listopad 2023,Dovoz (meziroční index),85.9656407293
Česko,Běžné ceny,Bez očištění,Svět celkem,listopad 2023,Obrat zboží (meziroční index),91.8691769201
Česko,Běžné ceny,Bez očištění,Svět celkem,říjen 2023,"Vývoz (v mil. Kč, FOB)",414880.264771
Česko,Běžné ceny,Bez očištění,Svět celkem,říjen 2023,"Dovoz (v mil. Kč, CIF)",400611.205161
Česko,Běžné ceny,Bez očištění,Svět celkem,říjen 2023,Bilance (v mil. Kč),14269.05961
Česko,Běžné ceny,Bez očištění,Svět celkem,říjen 2023,Obrat zboží (v mil. Kč),815491.469932
Česko,Běžné ceny,Bez očištění,Svět celkem,říjen 2023,Vývoz (meziroční index),106.5886904145
Česko,Běžné ceny,Bez očištění,Svět celkem,říjen 2023,Dovoz (meziroční index),96.5281761378
Česko,Běžné ceny,Bez očištění,Svět celkem,říjen 2023,Obrat zboží (meziroční index),101.3971584137
Česko,Běžné ceny,Bez očištění,Svět celkem,září 2023,"Vývoz (v mil. Kč, FOB)",369973.698934
Česko,Běžné ceny,Bez očištění,Svět celkem,září 2023,"Dovoz (v mil. Kč, CIF)",358522.554171
Česko,Běžné ceny,Bez očištění,Svět celkem,září 2023,Bilance (v mil. Kč),11451.144763
Česko,Běžné ceny,Bez očištění,Svět celkem,září 2023,Obrat zboží (v mil. Kč),728496.253105
Česko,Běžné ceny,Bez očištění,Svět celkem,září 2023,Vývoz (meziroční index),91.0082104853
Česko,Běžné ceny,Bez očištění,Svět celkem,září 2023,Dovoz (meziroční index),85.5461436384
Česko,Běžné ceny,Bez očištění,Svět celkem,září 2023,Obrat zboží (meziroční index),88.2355955709
Česko,Běžné ceny,Bez očištění,Svět celkem,srpen 2023,"Vývoz (v mil. Kč, FOB)",332826.956322
Česko,Běžné ceny,Bez očištění,Svět celkem,srpen 2023,"Dovoz (v mil. Kč, CIF)",339289.916227
Česko,Běžné ceny,Bez očištění,Svět celkem,srpen 2023,Bilance (v mil. Kč),-6462.959905
Česko,Běžné ceny,Bez očištění,Svět celkem,srpen 2023,Obrat zboží (v mil. Kč),672116.872549
Česko,Běžné ceny,Bez očištění,Svět celkem,srpen 2023,Vývoz (meziroční index),93.7678366047
Česko,Běžné ceny,Bez očištění,Svět celkem,srpen 2023,Dovoz (meziroční index),88.3091984898
Česko,Běžné ceny,Bez očištění,Svět celkem,srpen 2023,Obrat zboží (meziroční index),90.9304795166
Česko,Běžné ceny,Bez očištění,Svět celkem,červenec 2023,"Vývoz (v mil. Kč, FOB)",317134.464159
Česko,Běžné ceny,Bez očištění,Svět celkem,červenec 2023,"Dovoz (v mil. Kč, CIF)",323346.190904
Česko,Běžné ceny,Bez očištění,Svět celkem,červenec 2023,Bilance (v mil. Kč),-6211.726745
Česko,Běžné ceny,Bez očištění,Svět celkem,červenec 2023,Obrat zboží (v mil. Kč),640480.655063
Česko,Běžné ceny,Bez očištění,Svět celkem,červenec 2023,Vývoz (meziroční index),95.5188401941
Česko,Běžné ceny,Bez očištění,Svět celkem,červenec 2023,Dovoz (meziroční index),91.2126777644
Česko,Běžné ceny,Bez očištění,Svět celkem,červenec 2023,Obrat zboží (meziroční index),93.2952414147
Česko,Běžné ceny,Bez očištění,Svět celkem,červen 2023,"Vývoz (v mil. Kč, FOB)",402469.306688
Česko,Běžné ceny,Bez očištění,Svět celkem,červen 2023,"Dovoz (v mil. Kč, CIF)",384455.218817
Česko,Běžné ceny,Bez očištění,Svět celkem,červen 2023,Bilance (v mil. Kč),18014.087871
Česko,Běžné ceny,Bez očištění,Svět celkem,červen 2023,Obrat zboží (v mil. Kč),786924.525505
Česko,Běžné ceny,Bez očištění,Svět celkem,červen 2023,Vývoz (meziroční index),102.3882055689
Česko,Běžné ceny,Bez očištění,Svět celkem,červen 2023,Dovoz (meziroční index),94.025331983
Česko,Běžné ceny,Bez očištění,Svět celkem,červen 2023,Obrat zboží (meziroční index),98.1243721685
Česko,Běžné ceny,Bez očištění,Svět celkem,květen 2023,"Vývoz (v mil. Kč, FOB)",383609.117479
Česko,Běžné ceny,Bez očištění,Svět celkem,květen 2023,"Dovoz (v mil. Kč, CIF)",374197.270324
Česko,Běžné ceny,Bez očištění,Svět celkem,květen 2023,Bilance (v mil. Kč),9411.847155
Česko,Běžné ceny,Bez očištění,Svět celkem,květen 2023,Obrat zboží (v mil. Kč),757806.387803
Česko,Běžné ceny,Bez očištění,Svět celkem,květen 2023,Vývoz (meziroční index),98.0527114727
Česko,Běžné ceny,Bez očištění,Svět celkem,květen 2023,Dovoz (meziroční index),89.1761141235
Česko,Běžné ceny,Bez očištění,Svět celkem,květen 2023,Obrat zboží (meziroční index),93.4590227292
Česko,Běžné ceny,Bez očištění,Svět celkem,duben 2023,"Vývoz (v mil. Kč, FOB)",347088.206644
Česko,Běžné ceny,Bez očištění,Svět celkem,duben 2023,"Dovoz (v mil. Kč, CIF)",338333.302118
Česko,Běžné ceny,Bez očištění,Svět celkem,duben 2023,Bilance (v mil. Kč),8754.904526
Česko,Běžné ceny,Bez očištění,Svět celkem,duben 2023,Obrat zboží (v mil. Kč),685421.508762
Česko,Běžné ceny,Bez očištění,Svět celkem,duben 2023,Vývoz (meziroční index),102.4794626001
Česko,Běžné ceny,Bez očištění,Svět celkem,duben 2023,Dovoz (meziroční index),92.007377779
Česko,Běžné ceny,Bez očištění,Svět celkem,duben 2023,Obrat zboží (meziroční index),97.0282191593
Česko,Běžné ceny,Bez očištění,Svět celkem,březen 2023,"Vývoz (v mil. Kč, FOB)",421773.160425
Česko,Běžné ceny,Bez očištění,Svět celkem,březen 2023,"Dovoz (v mil. Kč, CIF)",404438.878955
Česko,Běžné ceny,Bez očištění,Svět celkem,březen 2023,Bilance (v mil. Kč),17334.28147
Česko,Běžné ceny,Bez očištění,Svět celkem,březen 2023,Obrat zboží (v mil. Kč),826212.03938
Česko,Běžné ceny,Bez očištění,Svět celkem,březen 2023,Vývoz (meziroční index),109.3262695239
Česko,Běžné ceny,Bez očištění,Svět celkem,březen 2023,Dovoz (meziroční index),101.4817333838
Česko,Běžné ceny,Bez očištění,Svět celkem,březen 2023,Obrat zboží (meziroční index),105.3402880854
Česko,Běžné ceny,Bez očištění,Svět celkem,únor 2023,"Vývoz (v mil. Kč, FOB)",360402.381973
Česko,Běžné ceny,Bez očištění,Svět celkem,únor 2023,"Dovoz (v mil. Kč, CIF)",344953.503007
Česko,Běžné ceny,Bez očištění,Svět celkem,únor 2023,Bilance (v mil. Kč),15448.878966
Česko,Běžné ceny,Bez očištění,Svět celkem,únor 2023,Obrat zboží (v mil. Kč),705355.88498
Česko,Běžné ceny,Bez očištění,Svět celkem,únor 2023,Vývoz (meziroční index),110.9280377883
Česko,Běžné ceny,Bez očištění,Svět celkem,únor 2023,Dovoz (meziroční index),103.7856908247
Česko,Běžné ceny,Bez očištění,Svět celkem,únor 2023,Obrat zboží (meziroční index),107.3162581107
Česko,Běžné ceny,Bez očištění,Svět celkem,leden 2023,"Vývoz (v mil. Kč, FOB)",374244.989239
Česko,Běžné ceny,Bez očištění,Svět celkem,leden 2023,"Dovoz (v mil. Kč, CIF)",366142.988469
Česko,Běžné ceny,Bez očištění,Svět celkem,leden 2023,Bilance (v mil. Kč),8102.00077
Česko,Běžné ceny,Bez očištění,Svět celkem,leden 2023,Obrat zboží (v mil. Kč),740387.977708
Česko,Běžné ceny,Bez očištění,Svět celkem,leden 2023,Vývoz (meziroční index),112.0376650715
Česko,Běžné ceny,Bez očištění,Svět celkem,leden 2023,Dovoz (meziroční index),112.1566515241
Česko,Běžné ceny,Bez očištění,Svět celkem,leden 2023,Obrat zboží (meziroční index),112.0964756978
Česko,Běžné ceny,Bez očištění,Svět celkem,prosinec 2022,"Vývoz (v mil. Kč, FOB)",342515.023139
Česko,Běžné ceny,Bez očištění,Svět celkem,prosinec 2022,"Dovoz (v mil. Kč, CIF)",344943.325239
Česko,Běžné ceny,Bez očištění,Svět celkem,prosinec 2022,Bilance (v mil. Kč),-2428.3021
Česko,Běžné ceny,Bez očištění,Svět celkem,prosinec 2022,Obrat zboží (v mil. Kč),687458.348378
Česko,Běžné ceny,Bez očištění,Svět celkem,prosinec 2022,Vývoz (meziroční index),109.3155784092
Česko,Běžné ceny,Bez očištění,Svět celkem,prosinec 2022,Dovoz (meziroční index),104.6657303048
Česko,Běžné ceny,Bez očištění,Svět celkem,prosinec 2022,Obrat zboží (meziroční index),106.9319255874
Česko,Běžné ceny,Bez očištění,Svět celkem,listopad 2022,"Vývoz (v mil. Kč, FOB)",414356.153234
Česko,Běžné ceny,Bez očištění,Svět celkem,listopad 2022,"Dovoz (v mil. Kč, CIF)",440782.142225
Česko,Běžné ceny,Bez očištění,Svět celkem,listopad 2022,Bilance (v mil. Kč),-26425.988991
Česko,Běžné ceny,Bez očištění,Svět celkem,listopad 2022,Obrat zboží (v mil. Kč),855138.295459
Česko,Běžné ceny,Bez očištění,Svět celkem,listopad 2022,Vývoz (meziroční index),111.2804910902
Česko,Běžné ceny,Bez očištění,Svět celkem,listopad 2022,Dovoz (meziroční index),119.6052899221
Česko,Běžné ceny,Bez očištění,Svět celkem,listopad 2022,Obrat zboží (meziroční index),115.4214163731
Česko,Běžné ceny,Bez očištění,Svět celkem,říjen 2022,"Vývoz (v mil. Kč, FOB)",389234.789505
Česko,Běžné ceny,Bez očištění,Svět celkem,říjen 2022,"Dovoz (v mil. Kč, CIF)",415019.967423
Česko,Běžné ceny,Bez očištění,Svět celkem,říjen 2022,Bilance (v mil. Kč),-25785.177918
Česko,Běžné ceny,Bez očištění,Svět celkem,říjen 2022,Obrat zboží (v mil. Kč),804254.756928
Česko,Běžné ceny,Bez očištění,Svět celkem,říjen 2022,Vývoz (meziroční index),119.22579596
Česko,Běžné ceny,Bez očištění,Svět celkem,říjen 2022,Dovoz (meziroční index),120.8841440511
Česko,Běžné ceny,Bez očištění,Svět celkem,říjen 2022,Obrat zboží (meziroční index),120.0758319493
Česko,Běžné ceny,Bez očištění,Svět celkem,září 2022,"Vývoz (v mil. Kč, FOB)",406527.825304
Česko,Běžné ceny,Bez očištění,Svět celkem,září 2022,"Dovoz (v mil. Kč, CIF)",419098.440821
Česko,Běžné ceny,Bez očištění,Svět celkem,září 2022,Bilance (v mil. Kč),-12570.615517
Česko,Běžné ceny,Bez očištění,Svět celkem,září 2022,Obrat zboží (v mil. Kč),825626.266125
Česko,Běžné ceny,Bez očištění,Svět celkem,září 2022,Vývoz (meziroční index),126.8730355893
Česko,Běžné ceny,Bez očištění,Svět celkem,září 2022,Dovoz (meziroční index),124.3911480452
Česko,Běžné ceny,Bez očištění,Svět celkem,září 2022,Obrat zboží (meziroční index),125.6009448994
Česko,Běžné ceny,Bez očištění,Svět celkem,srpen 2022,"Vývoz (v mil. Kč, FOB)",354947.888715
Česko,Běžné ceny,Bez očištění,Svět celkem,srpen 2022,"Dovoz (v mil. Kč, CIF)",384206.766712
Česko,Běžné ceny,Bez očištění,Svět celkem,srpen 2022,Bilance (v mil. Kč),-29258.877997
Česko,Běžné ceny,Bez očištění,Svět celkem,srpen 2022,Obrat zboží (v mil. Kč),739154.655427
Česko,Běžné ceny,Bez očištění,Svět celkem,srpen 2022,Vývoz (meziroční index),128.8981840791
