Rok sčítání;Ukazatel;Věk;Území;Nejvyšší dosažené vzdělání;value
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Olomoucký kraj;Celkem;521624
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Olomoucký kraj;Bez vzdělání;3633
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Olomoucký kraj;Základní vč. neukončeného;66923
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Olomoucký kraj;Střední vč. vyučení (bez maturity);174363
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Olomoucký kraj;Úplné střední (s maturitou), vč. nástavbového a pomaturitního;160512
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Olomoucký kraj;Vyšší odborné, konzervatoř;7209
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Olomoucký kraj;Vysokoškolské;81795
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Olomoucký kraj;Nezjištěno;27189
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Zlínský kraj;Celkem;477032
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Zlínský kraj;Bez vzdělání;2524
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Zlínský kraj;Základní vč. neukončeného;61957
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Zlínský kraj;Střední vč. vyučení (bez maturity);164718
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Zlínský kraj;Úplné střední (s maturitou), vč. nástavbového a pomaturitního;146065
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Zlínský kraj;Vyšší odborné, konzervatoř;5855
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Zlínský kraj;Vysokoškolské;74338
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Zlínský kraj;Nezjištěno;21575
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Moravskoslezský kraj;Celkem;982717
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Moravskoslezský kraj;Bez vzdělání;7507
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Moravskoslezský kraj;Základní vč. neukončeného;135486
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Moravskoslezský kraj;Střední vč. vyučení (bez maturity);328848
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Moravskoslezský kraj;Úplné střední (s maturitou), vč. nástavbového a pomaturitního;290019
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Moravskoslezský kraj;Vyšší odborné, konzervatoř;10903
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Moravskoslezský kraj;Vysokoškolské;151462
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Moravskoslezský kraj;Nezjištěno;58492
