Ukazatel,Rok sčítání,Pohlaví,Území,Ekonomická aktivita,value
Počet obyvatel (obvyklý pobyt),2021,Celkem,Ústecký kraj,Nezaměstnaní,30748
Počet obyvatel (obvyklý pobyt),2021,Celkem,Ústecký kraj,Mimo pracovní sílu,372082
Počet obyvatel (obvyklý pobyt),2021,Celkem,Ústecký kraj,Nepracující důchodci,179712
Počet obyvatel (obvyklý pobyt),2021,Celkem,Ústecký kraj,Osoby na rodičovské dovolené,15246
Počet obyvatel (obvyklý pobyt),2021,Celkem,Ústecký kraj,"Žáci, studenti",111319
Počet obyvatel (obvyklý pobyt),2021,Celkem,Ústecký kraj,Nezjištěno,16318
Počet obyvatel (obvyklý pobyt),2021,Celkem,Liberecký kraj,Pracovní síla,225481
Počet obyvatel (obvyklý pobyt),2021,Celkem,Liberecký kraj,Zaměstnaní,213877
Počet obyvatel (obvyklý pobyt),2021,Celkem,Liberecký kraj,Pracující důchodci,24145
Počet obyvatel (obvyklý pobyt),2021,Celkem,Liberecký kraj,Osoby na mateřské dovolené,1494
Počet obyvatel (obvyklý pobyt),2021,Celkem,Liberecký kraj,Nezaměstnaní,11604
Počet obyvatel (obvyklý pobyt),2021,Celkem,Liberecký kraj,Mimo pracovní sílu,203599
Počet obyvatel (obvyklý pobyt),2021,Celkem,Liberecký kraj,Nepracující důchodci,97447
Počet obyvatel (obvyklý pobyt),2021,Celkem,Liberecký kraj,Osoby na rodičovské dovolené,9204
Počet obyvatel (obvyklý pobyt),2021,Celkem,Liberecký kraj,"Žáci, studenti",61204
Počet obyvatel (obvyklý pobyt),2021,Celkem,Liberecký kraj,Nezjištěno,6140
Počet obyvatel (obvyklý pobyt),2021,Celkem,Královéhradecký kraj,Pracovní síla,277717
Počet obyvatel (obvyklý pobyt),2021,Celkem,Královéhradecký kraj,Zaměstnaní,266948
Počet obyvatel (obvyklý pobyt),2021,Celkem,Královéhradecký kraj,Pracující důchodci,31739
Počet obyvatel (obvyklý pobyt),2021,Celkem,Královéhradecký kraj,Osoby na mateřské dovolené,1942
Počet obyvatel (obvyklý pobyt),2021,Celkem,Královéhradecký kraj,Nezaměstnaní,10769
Počet obyvatel (obvyklý pobyt),2021,Celkem,Královéhradecký kraj,Mimo pracovní sílu,255448
Počet obyvatel (obvyklý pobyt),2021,Celkem,Královéhradecký kraj,Nepracující důchodci,126868
Počet obyvatel (obvyklý pobyt),2021,Celkem,Královéhradecký kraj,Osoby na rodičovské dovolené,11050
Počet obyvatel (obvyklý pobyt),2021,Celkem,Královéhradecký kraj,"Žáci, studenti",75596
Počet obyvatel (obvyklý pobyt),2021,Celkem,Královéhradecký kraj,Nezjištěno,5138
Počet obyvatel (obvyklý pobyt),2021,Celkem,Pardubický kraj,Pracovní síla,265515
Počet obyvatel (obvyklý pobyt),2021,Celkem,Pardubický kraj,Zaměstnaní,255984
Počet obyvatel (obvyklý pobyt),2021,Celkem,Pardubický kraj,Pracující důchodci,28430
Počet obyvatel (obvyklý pobyt),2021,Celkem,Pardubický kraj,Osoby na mateřské dovolené,1960
Počet obyvatel (obvyklý pobyt),2021,Celkem,Pardubický kraj,Nezaměstnaní,9531
Počet obyvatel (obvyklý pobyt),2021,Celkem,Pardubický kraj,Mimo pracovní sílu,240313
Počet obyvatel (obvyklý pobyt),2021,Celkem,Pardubický kraj,Nepracující důchodci,116553
Počet obyvatel (obvyklý pobyt),2021,Celkem,Pardubický kraj,Osoby na rodičovské dovolené,11104
Počet obyvatel (obvyklý pobyt),2021,Celkem,Pardubický kraj,"Žáci, studenti",72210
Počet obyvatel (obvyklý pobyt),2021,Celkem,Pardubický kraj,Nezjištěno,4209
Počet obyvatel (obvyklý pobyt),2021,Celkem,Kraj Vysočina,Pracovní síla,255419
Počet obyvatel (obvyklý pobyt),2021,Celkem,Kraj Vysočina,Zaměstnaní,246077
Počet obyvatel (obvyklý pobyt),2021,Celkem,Kraj Vysočina,Pracující důchodci,25913
Počet obyvatel (obvyklý pobyt),2021,Celkem,Kraj Vysočina,Osoby na mateřské dovolené,1936
Počet obyvatel (obvyklý pobyt),2021,Celkem,Kraj Vysočina,Nezaměstnaní,9342
Počet obyvatel (obvyklý pobyt),2021,Celkem,Kraj Vysočina,Mimo pracovní sílu,239083
Počet obyvatel (obvyklý pobyt),2021,Celkem,Kraj Vysočina,Nepracující důchodci,118636
Počet obyvatel (obvyklý pobyt),2021,Celkem,Kraj Vysočina,Osoby na rodičovské dovolené,11090
Počet obyvatel (obvyklý pobyt),2021,Celkem,Kraj Vysočina,"Žáci, studenti",70161
Počet obyvatel (obvyklý pobyt),2021,Celkem,Kraj Vysočina,Nezjištěno,3159
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihomoravský kraj,Pracovní síla,634700
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihomoravský kraj,Zaměstnaní,603968
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihomoravský kraj,Pracující důchodci,66442
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihomoravský kraj,Osoby na mateřské dovolené,4861
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihomoravský kraj,Nezaměstnaní,30732
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihomoravský kraj,Mimo pracovní sílu,551760
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihomoravský kraj,Nepracující důchodci,259538
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihomoravský kraj,Osoby na rodičovské dovolené,26715
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihomoravský kraj,"Žáci, studenti",164674
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihomoravský kraj,Nezjištěno,11191
Počet obyvatel (obvyklý pobyt),2021,Celkem,Olomoucký kraj,Pracovní síla,317949
Počet obyvatel (obvyklý pobyt),2021,Celkem,Olomoucký kraj,Zaměstnaní,301779
Počet obyvatel (obvyklý pobyt),2021,Celkem,Olomoucký kraj,Pracující důchodci,29284
Počet obyvatel (obvyklý pobyt),2021,Celkem,Olomoucký kraj,Osoby na mateřské dovolené,2312
Počet obyvatel (obvyklý pobyt),2021,Celkem,Olomoucký kraj,Nezaměstnaní,16170
Počet obyvatel (obvyklý pobyt),2021,Celkem,Olomoucký kraj,Mimo pracovní sílu,295909
Počet obyvatel (obvyklý pobyt),2021,Celkem,Olomoucký kraj,Nepracující důchodci,146073
Počet obyvatel (obvyklý pobyt),2021,Celkem,Olomoucký kraj,Osoby na rodičovské dovolené,13059
Počet obyvatel (obvyklý pobyt),2021,Celkem,Olomoucký kraj,"Žáci, studenti",87418
Počet obyvatel (obvyklý pobyt),2021,Celkem,Olomoucký kraj,Nezjištěno,5930
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zlínský kraj,Pracovní síla,290840
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zlínský kraj,Zaměstnaní,278753
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zlínský kraj,Pracující důchodci,30048
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zlínský kraj,Osoby na mateřské dovolené,2201
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zlínský kraj,Nezaměstnaní,12087
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zlínský kraj,Mimo pracovní sílu,269184
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zlínský kraj,Nepracující důchodci,135918
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zlínský kraj,Osoby na rodičovské dovolené,11975
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zlínský kraj,"Žáci, studenti",78238
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zlínský kraj,Nezjištěno,4307
Počet obyvatel (obvyklý pobyt),2021,Celkem,Moravskoslezský kraj,Pracovní síla,591399
Počet obyvatel (obvyklý pobyt),2021,Celkem,Moravskoslezský kraj,Zaměstnaní,551088
Počet obyvatel (obvyklý pobyt),2021,Celkem,Moravskoslezský kraj,Pracující důchodci,52414
Počet obyvatel (obvyklý pobyt),2021,Celkem,Moravskoslezský kraj,Osoby na mateřské dovolené,3983
Počet obyvatel (obvyklý pobyt),2021,Celkem,Moravskoslezský kraj,Nezaměstnaní,40311
Počet obyvatel (obvyklý pobyt),2021,Celkem,Moravskoslezský kraj,Mimo pracovní sílu,556733
Počet obyvatel (obvyklý pobyt),2021,Celkem,Moravskoslezský kraj,Nepracující důchodci,278947
Počet obyvatel (obvyklý pobyt),2021,Celkem,Moravskoslezský kraj,Osoby na rodičovské dovolené,23605
Počet obyvatel (obvyklý pobyt),2021,Celkem,Moravskoslezský kraj,"Žáci, studenti",160970
Počet obyvatel (obvyklý pobyt),2021,Celkem,Moravskoslezský kraj,Nezjištěno,14709
