Kraje a obce,Kategorie ubytovacího zařízení,Ukazatel,Rezidence,Roky,value
Hlavní město Praha,HUZ celkem,Počet přenocování,Celkem,2024,18279256.0
Hlavní město Praha,HUZ celkem,Počet přenocování,Celkem,2023,16861664.0
Hlavní město Praha,HUZ celkem,Počet přenocování,Celkem,2022,13398104.0
Hlavní město Praha,HUZ celkem,Počet přenocování,Celkem,2021,5257254.0
Hlavní město Praha,HUZ celkem,Počet přenocování,Celkem,2020,4903295.0
Hlavní město Praha,HUZ celkem,Počet přenocování,Celkem,2019,18479653.0
Hlavní město Praha,HUZ celkem,Počet přenocování,Celkem,2018,18249084.0
Hlavní město Praha,HUZ celkem,Počet přenocování,Celkem,2017,18055838.0
Hlavní město Praha,HUZ celkem,Počet přenocování,Celkem,2016,16796384.0
Hlavní město Praha,HUZ celkem,Počet přenocování,Celkem,2015,15917265.0
Hlavní město Praha,HUZ celkem,Počet přenocování,Celkem,2014,14750287.0
Hlavní město Praha,HUZ celkem,Počet přenocování,Celkem,2013,14654282.0
Hlavní město Praha,HUZ celkem,Počet přenocování,Rezidenti,2024,2614466.0
Hlavní město Praha,HUZ celkem,Počet přenocování,Rezidenti,2023,2691291.0
Hlavní město Praha,HUZ celkem,Počet přenocování,Rezidenti,2022,2588861.0
Hlavní město Praha,HUZ celkem,Počet přenocování,Rezidenti,2021,1828818.0
Hlavní město Praha,HUZ celkem,Počet přenocování,Rezidenti,2020,1351953.0
Hlavní město Praha,HUZ celkem,Počet přenocování,Rezidenti,2019,2107691.0
Hlavní město Praha,HUZ celkem,Počet přenocování,Rezidenti,2018,2116084.0
Hlavní město Praha,HUZ celkem,Počet přenocování,Rezidenti,2017,1923556.0
Hlavní město Praha,HUZ celkem,Počet přenocování,Rezidenti,2016,1778681.0
Hlavní město Praha,HUZ celkem,Počet přenocování,Rezidenti,2015,1576176.0
Hlavní město Praha,HUZ celkem,Počet přenocování,Rezidenti,2014,1368554.0
Hlavní město Praha,HUZ celkem,Počet přenocování,Rezidenti,2013,1597351.0
Hlavní město Praha,HUZ celkem,Počet přenocování,Nerezidenti,2024,15664790.0
Hlavní město Praha,HUZ celkem,Počet přenocování,Nerezidenti,2023,14170373.0
Hlavní město Praha,HUZ celkem,Počet přenocování,Nerezidenti,2022,10809243.0
Hlavní město Praha,HUZ celkem,Počet přenocování,Nerezidenti,2021,3428436.0
Hlavní město Praha,HUZ celkem,Počet přenocování,Nerezidenti,2020,3551342.0
Hlavní město Praha,HUZ celkem,Počet přenocování,Nerezidenti,2019,16371962.0
Hlavní město Praha,HUZ celkem,Počet přenocování,Nerezidenti,2018,16133000.0
Hlavní město Praha,HUZ celkem,Počet přenocování,Nerezidenti,2017,16132282.0
Hlavní město Praha,HUZ celkem,Počet přenocování,Nerezidenti,2016,15017703.0
Hlavní město Praha,HUZ celkem,Počet přenocování,Nerezidenti,2015,14341089.0
Hlavní město Praha,HUZ celkem,Počet přenocování,Nerezidenti,2014,13381733.0
Hlavní město Praha,HUZ celkem,Počet přenocování,Nerezidenti,2013,13056931.0
Hlavní město Praha,HUZ celkem,Průměrný počet přenocování ,Celkem,2024,2.2669507663
Hlavní město Praha,HUZ celkem,Průměrný počet přenocování ,Celkem,2023,2.2655566982
Hlavní město Praha,HUZ celkem,Průměrný počet přenocování ,Celkem,2022,2.2386875558
Hlavní město Praha,HUZ celkem,Průměrný počet přenocování ,Celkem,2021,2.2326450703
Hlavní město Praha,HUZ celkem,Průměrný počet přenocování ,Celkem,2020,2.2467001429
Hlavní město Praha,HUZ celkem,Průměrný počet přenocování ,Celkem,2019,2.2972288287
Hlavní město Praha,HUZ celkem,Průměrný počet přenocování ,Celkem,2018,2.3122983448
Hlavní město Praha,HUZ celkem,Průměrný počet přenocování ,Celkem,2017,2.3593887226
Hlavní město Praha,HUZ celkem,Průměrný počet přenocování ,Celkem,2016,2.3565411884
Hlavní město Praha,HUZ celkem,Průměrný počet přenocování ,Celkem,2015,2.4095980548
Hlavní město Praha,HUZ celkem,Průměrný počet přenocování ,Celkem,2014,2.4196605487
Hlavní město Praha,HUZ celkem,Průměrný počet přenocování ,Celkem,2013,2.4839323822
Hlavní město Praha,HUZ celkem,Průměrný počet přenocování ,Rezidenti,2024,1.6747920816
Hlavní město Praha,HUZ celkem,Průměrný počet přenocování ,Rezidenti,2023,1.7059043516
Hlavní město Praha,HUZ celkem,Průměrný počet přenocování ,Rezidenti,2022,1.7337763663
Hlavní město Praha,HUZ celkem,Průměrný počet přenocování ,Rezidenti,2021,1.9384078248
Hlavní město Praha,HUZ celkem,Průměrný počet přenocování ,Rezidenti,2020,1.8547522132
Hlavní město Praha,HUZ celkem,Průměrný počet přenocování ,Rezidenti,2019,1.698952025
Hlavní město Praha,HUZ celkem,Průměrný počet přenocování ,Rezidenti,2018,1.7323963264
Hlavní město Praha,HUZ celkem,Průměrný počet přenocování ,Rezidenti,2017,1.7643369414
Hlavní město Praha,HUZ celkem,Průměrný počet přenocování ,Rezidenti,2016,1.7492997612
Hlavní město Praha,HUZ celkem,Průměrný počet přenocování ,Rezidenti,2015,1.7691137797
Hlavní město Praha,HUZ celkem,Průměrný počet přenocování ,Rezidenti,2014,1.7523973668
Hlavní město Praha,HUZ celkem,Průměrný počet přenocování ,Rezidenti,2013,1.8755427546
Hlavní město Praha,HUZ celkem,Průměrný počet přenocování ,Nerezidenti,2024,2.4091159772
Hlavní město Praha,HUZ celkem,Průměrný počet přenocování ,Nerezidenti,2023,2.4160987052
Hlavní město Praha,HUZ celkem,Průměrný počet přenocování ,Nerezidenti,2022,2.406540326
Hlavní město Praha,HUZ celkem,Průměrný počet přenocování ,Nerezidenti,2021,2.4293508761
Hlavní město Praha,HUZ celkem,Průměrný počet přenocování ,Nerezidenti,2020,2.4432533212
Hlavní město Praha,HUZ celkem,Průměrný počet přenocování ,Nerezidenti,2019,2.406317642
Hlavní město Praha,HUZ celkem,Průměrný počet přenocování ,Nerezidenti,2018,2.4184846402
Hlavní město Praha,HUZ celkem,Průměrný počet přenocování ,Nerezidenti,2017,2.4582457526
Hlavní město Praha,HUZ celkem,Průměrný počet přenocování ,Nerezidenti,2016,2.4575827041
Hlavní město Praha,HUZ celkem,Průměrný počet přenocování ,Nerezidenti,2015,2.5094493542
Hlavní město Praha,HUZ celkem,Průměrný počet přenocování ,Nerezidenti,2014,2.5177040534
Hlavní město Praha,HUZ celkem,Průměrný počet přenocování ,Nerezidenti,2013,2.5865778149
