"Kraje, SO ORP",Ekonomické subjekty ,Ukazatel,Čtvrtletí,value
Hlavní město Praha,Počet ekonomických subjektů v registru,Soukromí podnikatelé podnikající podle živnostenského zákona,3. čtvrtletí 2025,321876
Hlavní město Praha,Počet ekonomických subjektů v registru,Soukromí podnikatelé podnikající podle živnostenského zákona,2. čtvrtletí 2025,319329
Hlavní město Praha,Počet ekonomických subjektů v registru,Soukromí podnikatelé podnikající podle živnostenského zákona,1. čtvrtletí 2025,317628
Hlavní město Praha,Počet ekonomických subjektů v registru,Soukromí podnikatelé podnikající podle živnostenského zákona,4. čtvrtletí 2024,314789
Hlavní město Praha,Počet ekonomických subjektů v registru,Soukromí podnikatelé podnikající podle živnostenského zákona,3. čtvrtletí 2024,312201
Hlavní město Praha,Počet ekonomických subjektů v registru,Soukromí podnikatelé podnikající podle živnostenského zákona,2. čtvrtletí 2024,309229
Hlavní město Praha,Počet ekonomických subjektů v registru,Soukromí podnikatelé podnikající podle živnostenského zákona,1. čtvrtletí 2024,308983
Hlavní město Praha,Počet ekonomických subjektů v registru,Soukromí podnikatelé podnikající podle živnostenského zákona,4. čtvrtletí 2023,307317
Hlavní město Praha,Počet ekonomických subjektů v registru,Soukromí podnikatelé podnikající podle živnostenského zákona,3. čtvrtletí 2023,309593
Hlavní město Praha,Počet ekonomických subjektů v registru,Soukromí podnikatelé podnikající podle živnostenského zákona,2. čtvrtletí 2023,308664
Hlavní město Praha,Počet ekonomických subjektů v registru,Soukromí podnikatelé podnikající podle živnostenského zákona,1. čtvrtletí 2023,315455
Hlavní město Praha,Počet ekonomických subjektů v registru,Soukromí podnikatelé podnikající podle živnostenského zákona,4. čtvrtletí 2022,332296
Hlavní město Praha,Počet ekonomických subjektů v registru,Soukromí podnikatelé podnikající podle živnostenského zákona,3. čtvrtletí 2022,332753
Hlavní město Praha,Počet ekonomických subjektů v registru,Soukromí podnikatelé podnikající podle živnostenského zákona,2. čtvrtletí 2022,330549
Hlavní město Praha,Počet ekonomických subjektů v registru,Soukromí podnikatelé podnikající podle živnostenského zákona,1. čtvrtletí 2022,329158
Hlavní město Praha,Počet ekonomických subjektů v registru,Soukromí podnikatelé podnikající podle živnostenského zákona,4. čtvrtletí 2021,328085
Hlavní město Praha,Počet ekonomických subjektů v registru,Soukromí podnikatelé podnikající podle živnostenského zákona,3. čtvrtletí 2021,326123
Hlavní město Praha,Počet ekonomických subjektů v registru,Soukromí podnikatelé podnikající podle živnostenského zákona,2. čtvrtletí 2021,324293
Hlavní město Praha,Počet ekonomických subjektů v registru,Soukromí podnikatelé podnikající podle živnostenského zákona,1. čtvrtletí 2021,323012
Hlavní město Praha,Počet ekonomických subjektů v registru,Fyzická osoba podnikající dle jiných zákonů než živnostenského a zákona o zemědělství,3. čtvrtletí 2025,22847
Hlavní město Praha,Počet ekonomických subjektů v registru,Fyzická osoba podnikající dle jiných zákonů než živnostenského a zákona o zemědělství,2. čtvrtletí 2025,22725
Hlavní město Praha,Počet ekonomických subjektů v registru,Fyzická osoba podnikající dle jiných zákonů než živnostenského a zákona o zemědělství,1. čtvrtletí 2025,22577
Hlavní město Praha,Počet ekonomických subjektů v registru,Fyzická osoba podnikající dle jiných zákonů než živnostenského a zákona o zemědělství,4. čtvrtletí 2024,22655
Hlavní město Praha,Počet ekonomických subjektů v registru,Fyzická osoba podnikající dle jiných zákonů než živnostenského a zákona o zemědělství,3. čtvrtletí 2024,22544
Hlavní město Praha,Počet ekonomických subjektů v registru,Fyzická osoba podnikající dle jiných zákonů než živnostenského a zákona o zemědělství,2. čtvrtletí 2024,22384
Hlavní město Praha,Počet ekonomických subjektů v registru,Fyzická osoba podnikající dle jiných zákonů než živnostenského a zákona o zemědělství,1. čtvrtletí 2024,22241
Hlavní město Praha,Počet ekonomických subjektů v registru,Fyzická osoba podnikající dle jiných zákonů než živnostenského a zákona o zemědělství,4. čtvrtletí 2023,22268
Hlavní město Praha,Počet ekonomických subjektů v registru,Fyzická osoba podnikající dle jiných zákonů než živnostenského a zákona o zemědělství,3. čtvrtletí 2023,18591
Hlavní město Praha,Počet ekonomických subjektů v registru,Fyzická osoba podnikající dle jiných zákonů než živnostenského a zákona o zemědělství,2. čtvrtletí 2023,18600
Hlavní město Praha,Počet ekonomických subjektů v registru,Fyzická osoba podnikající dle jiných zákonů než živnostenského a zákona o zemědělství,1. čtvrtletí 2023,18712
Hlavní město Praha,Počet ekonomických subjektů v registru,Fyzická osoba podnikající dle jiných zákonů než živnostenského a zákona o zemědělství,4. čtvrtletí 2022,19078
Hlavní město Praha,Počet ekonomických subjektů v registru,Fyzická osoba podnikající dle jiných zákonů než živnostenského a zákona o zemědělství,3. čtvrtletí 2022,18985
Hlavní město Praha,Počet ekonomických subjektů v registru,Fyzická osoba podnikající dle jiných zákonů než živnostenského a zákona o zemědělství,2. čtvrtletí 2022,18933
Hlavní město Praha,Počet ekonomických subjektů v registru,Fyzická osoba podnikající dle jiných zákonů než živnostenského a zákona o zemědělství,1. čtvrtletí 2022,18796
Hlavní město Praha,Počet ekonomických subjektů v registru,Fyzická osoba podnikající dle jiných zákonů než živnostenského a zákona o zemědělství,4. čtvrtletí 2021,18778
Hlavní město Praha,Počet ekonomických subjektů v registru,Fyzická osoba podnikající dle jiných zákonů než živnostenského a zákona o zemědělství,3. čtvrtletí 2021,17982
Hlavní město Praha,Počet ekonomických subjektů v registru,Fyzická osoba podnikající dle jiných zákonů než živnostenského a zákona o zemědělství,2. čtvrtletí 2021,18000
Hlavní město Praha,Počet ekonomických subjektů v registru,Fyzická osoba podnikající dle jiných zákonů než živnostenského a zákona o zemědělství,1. čtvrtletí 2021,18051
Hlavní město Praha,Počet ekonomických subjektů v registru,Zemědělský podnikatel - fyzická osoba ,3. čtvrtletí 2025,1224
Hlavní město Praha,Počet ekonomických subjektů v registru,Zemědělský podnikatel - fyzická osoba ,2. čtvrtletí 2025,1215
Hlavní město Praha,Počet ekonomických subjektů v registru,Zemědělský podnikatel - fyzická osoba ,1. čtvrtletí 2025,1228
Hlavní město Praha,Počet ekonomických subjektů v registru,Zemědělský podnikatel - fyzická osoba ,4. čtvrtletí 2024,1221
Hlavní město Praha,Počet ekonomických subjektů v registru,Zemědělský podnikatel - fyzická osoba ,3. čtvrtletí 2024,1211
Hlavní město Praha,Počet ekonomických subjektů v registru,Zemědělský podnikatel - fyzická osoba ,2. čtvrtletí 2024,1213
Hlavní město Praha,Počet ekonomických subjektů v registru,Zemědělský podnikatel - fyzická osoba ,1. čtvrtletí 2024,1207
Hlavní město Praha,Počet ekonomických subjektů v registru,Zemědělský podnikatel - fyzická osoba ,4. čtvrtletí 2023,1204
Hlavní město Praha,Počet ekonomických subjektů v registru,Zemědělský podnikatel - fyzická osoba ,3. čtvrtletí 2023,1195
Hlavní město Praha,Počet ekonomických subjektů v registru,Zemědělský podnikatel - fyzická osoba ,2. čtvrtletí 2023,1200
Hlavní město Praha,Počet ekonomických subjektů v registru,Zemědělský podnikatel - fyzická osoba ,1. čtvrtletí 2023,1189
Hlavní město Praha,Počet ekonomických subjektů v registru,Zemědělský podnikatel - fyzická osoba ,4. čtvrtletí 2022,1195
Hlavní město Praha,Počet ekonomických subjektů v registru,Zemědělský podnikatel - fyzická osoba ,3. čtvrtletí 2022,1186
Hlavní město Praha,Počet ekonomických subjektů v registru,Zemědělský podnikatel - fyzická osoba ,2. čtvrtletí 2022,1178
Hlavní město Praha,Počet ekonomických subjektů v registru,Zemědělský podnikatel - fyzická osoba ,1. čtvrtletí 2022,1166
Hlavní město Praha,Počet ekonomických subjektů v registru,Zemědělský podnikatel - fyzická osoba ,4. čtvrtletí 2021,1153
Hlavní město Praha,Počet ekonomických subjektů v registru,Zemědělský podnikatel - fyzická osoba ,3. čtvrtletí 2021,1151
Hlavní město Praha,Počet ekonomických subjektů v registru,Zemědělský podnikatel - fyzická osoba ,2. čtvrtletí 2021,1152
Hlavní město Praha,Počet ekonomických subjektů v registru,Zemědělský podnikatel - fyzická osoba ,1. čtvrtletí 2021,1145
Hlavní město Praha,Počet ekonomických subjektů v registru,Právnické osoby celkem,3. čtvrtletí 2025,311972
Hlavní město Praha,Počet ekonomických subjektů v registru,Právnické osoby celkem,2. čtvrtletí 2025,309583
Hlavní město Praha,Počet ekonomických subjektů v registru,Právnické osoby celkem,1. čtvrtletí 2025,307208
Hlavní město Praha,Počet ekonomických subjektů v registru,Právnické osoby celkem,4. čtvrtletí 2024,305214
Hlavní město Praha,Počet ekonomických subjektů v registru,Právnické osoby celkem,3. čtvrtletí 2024,303389
Hlavní město Praha,Počet ekonomických subjektů v registru,Právnické osoby celkem,2. čtvrtletí 2024,301821
Hlavní město Praha,Počet ekonomických subjektů v registru,Právnické osoby celkem,1. čtvrtletí 2024,300270
Hlavní město Praha,Počet ekonomických subjektů v registru,Právnické osoby celkem,4. čtvrtletí 2023,297950
Hlavní město Praha,Počet ekonomických subjektů v registru,Právnické osoby celkem,3. čtvrtletí 2023,296022
Hlavní město Praha,Počet ekonomických subjektů v registru,Právnické osoby celkem,2. čtvrtletí 2023,294798
Hlavní město Praha,Počet ekonomických subjektů v registru,Právnické osoby celkem,1. čtvrtletí 2023,293404
Hlavní město Praha,Počet ekonomických subjektů v registru,Právnické osoby celkem,4. čtvrtletí 2022,291731
Hlavní město Praha,Počet ekonomických subjektů v registru,Právnické osoby celkem,3. čtvrtletí 2022,290279
Hlavní město Praha,Počet ekonomických subjektů v registru,Právnické osoby celkem,2. čtvrtletí 2022,288971
Hlavní město Praha,Počet ekonomických subjektů v registru,Právnické osoby celkem,1. čtvrtletí 2022,287358
Hlavní město Praha,Počet ekonomických subjektů v registru,Právnické osoby celkem,4. čtvrtletí 2021,285821
Hlavní město Praha,Počet ekonomických subjektů v registru,Právnické osoby celkem,3. čtvrtletí 2021,284122
Hlavní město Praha,Počet ekonomických subjektů v registru,Právnické osoby celkem,2. čtvrtletí 2021,283086
Hlavní město Praha,Počet ekonomických subjektů v registru,Právnické osoby celkem,1. čtvrtletí 2021,281262
Hlavní město Praha,Počet ekonomických subjektů v registru,Obchodní společnosti,3. čtvrtletí 2025,265810
Hlavní město Praha,Počet ekonomických subjektů v registru,Obchodní společnosti,2. čtvrtletí 2025,263415
Hlavní město Praha,Počet ekonomických subjektů v registru,Obchodní společnosti,1. čtvrtletí 2025,260823
Hlavní město Praha,Počet ekonomických subjektů v registru,Obchodní společnosti,4. čtvrtletí 2024,258608
Hlavní město Praha,Počet ekonomických subjektů v registru,Obchodní společnosti,3. čtvrtletí 2024,256936
Hlavní město Praha,Počet ekonomických subjektů v registru,Obchodní společnosti,2. čtvrtletí 2024,255497
Hlavní město Praha,Počet ekonomických subjektů v registru,Obchodní společnosti,1. čtvrtletí 2024,254052
Hlavní město Praha,Počet ekonomických subjektů v registru,Obchodní společnosti,4. čtvrtletí 2023,251759
Hlavní město Praha,Počet ekonomických subjektů v registru,Obchodní společnosti,3. čtvrtletí 2023,249794
Hlavní město Praha,Počet ekonomických subjektů v registru,Obchodní společnosti,2. čtvrtletí 2023,248458
Hlavní město Praha,Počet ekonomických subjektů v registru,Obchodní společnosti,1. čtvrtletí 2023,246919
Hlavní město Praha,Počet ekonomických subjektů v registru,Obchodní společnosti,4. čtvrtletí 2022,245124
Hlavní město Praha,Počet ekonomických subjektů v registru,Obchodní společnosti,3. čtvrtletí 2022,243419
Hlavní město Praha,Počet ekonomických subjektů v registru,Obchodní společnosti,2. čtvrtletí 2022,241858
Hlavní město Praha,Počet ekonomických subjektů v registru,Obchodní společnosti,1. čtvrtletí 2022,239992
Hlavní město Praha,Počet ekonomických subjektů v registru,Obchodní společnosti,4. čtvrtletí 2021,238300
Hlavní město Praha,Počet ekonomických subjektů v registru,Obchodní společnosti,3. čtvrtletí 2021,236375
Hlavní město Praha,Počet ekonomických subjektů v registru,Obchodní společnosti,2. čtvrtletí 2021,235092
Hlavní město Praha,Počet ekonomických subjektů v registru,Obchodní společnosti,1. čtvrtletí 2021,233063
Hlavní město Praha,Počet ekonomických subjektů v registru,Akciové společnosti,3. čtvrtletí 2025,15125
Hlavní město Praha,Počet ekonomických subjektů v registru,Akciové společnosti,2. čtvrtletí 2025,15128
Hlavní město Praha,Počet ekonomických subjektů v registru,Akciové společnosti,1. čtvrtletí 2025,15064
Hlavní město Praha,Počet ekonomických subjektů v registru,Akciové společnosti,4. čtvrtletí 2024,15023
Hlavní město Praha,Počet ekonomických subjektů v registru,Akciové společnosti,3. čtvrtletí 2024,14998
Hlavní město Praha,Počet ekonomických subjektů v registru,Akciové společnosti,2. čtvrtletí 2024,14991
Hlavní město Praha,Počet ekonomických subjektů v registru,Akciové společnosti,1. čtvrtletí 2024,14992
Hlavní město Praha,Počet ekonomických subjektů v registru,Akciové společnosti,4. čtvrtletí 2023,14946
Hlavní město Praha,Počet ekonomických subjektů v registru,Akciové společnosti,3. čtvrtletí 2023,14908
Hlavní město Praha,Počet ekonomických subjektů v registru,Akciové společnosti,2. čtvrtletí 2023,14912
Hlavní město Praha,Počet ekonomických subjektů v registru,Akciové společnosti,1. čtvrtletí 2023,14913
Hlavní město Praha,Počet ekonomických subjektů v registru,Akciové společnosti,4. čtvrtletí 2022,14866
Hlavní město Praha,Počet ekonomických subjektů v registru,Akciové společnosti,3. čtvrtletí 2022,14800
Hlavní město Praha,Počet ekonomických subjektů v registru,Akciové společnosti,2. čtvrtletí 2022,14744
Hlavní město Praha,Počet ekonomických subjektů v registru,Akciové společnosti,1. čtvrtletí 2022,14677
Hlavní město Praha,Počet ekonomických subjektů v registru,Akciové společnosti,4. čtvrtletí 2021,14611
Hlavní město Praha,Počet ekonomických subjektů v registru,Akciové společnosti,3. čtvrtletí 2021,14550
Hlavní město Praha,Počet ekonomických subjektů v registru,Akciové společnosti,2. čtvrtletí 2021,14529
Hlavní město Praha,Počet ekonomických subjektů v registru,Akciové společnosti,1. čtvrtletí 2021,14420
Hlavní město Praha,Počet ekonomických subjektů v registru,Družstva,3. čtvrtletí 2025,4669
Hlavní město Praha,Počet ekonomických subjektů v registru,Družstva,2. čtvrtletí 2025,4679
Hlavní město Praha,Počet ekonomických subjektů v registru,Družstva,1. čtvrtletí 2025,4694
Hlavní město Praha,Počet ekonomických subjektů v registru,Družstva,4. čtvrtletí 2024,4715
Hlavní město Praha,Počet ekonomických subjektů v registru,Družstva,3. čtvrtletí 2024,4736
Hlavní město Praha,Počet ekonomických subjektů v registru,Družstva,2. čtvrtletí 2024,4763
Hlavní město Praha,Počet ekonomických subjektů v registru,Družstva,1. čtvrtletí 2024,4807
Hlavní město Praha,Počet ekonomických subjektů v registru,Družstva,4. čtvrtletí 2023,4831
Hlavní město Praha,Počet ekonomických subjektů v registru,Družstva,3. čtvrtletí 2023,4861
Hlavní město Praha,Počet ekonomických subjektů v registru,Družstva,2. čtvrtletí 2023,4897
Hlavní město Praha,Počet ekonomických subjektů v registru,Družstva,1. čtvrtletí 2023,4919
Hlavní město Praha,Počet ekonomických subjektů v registru,Družstva,4. čtvrtletí 2022,4955
Hlavní město Praha,Počet ekonomických subjektů v registru,Družstva,3. čtvrtletí 2022,5000
Hlavní město Praha,Počet ekonomických subjektů v registru,Družstva,2. čtvrtletí 2022,5029
Hlavní město Praha,Počet ekonomických subjektů v registru,Družstva,1. čtvrtletí 2022,5066
Hlavní město Praha,Počet ekonomických subjektů v registru,Družstva,4. čtvrtletí 2021,5091
Hlavní město Praha,Počet ekonomických subjektů v registru,Družstva,3. čtvrtletí 2021,5113
Hlavní město Praha,Počet ekonomických subjektů v registru,Družstva,2. čtvrtletí 2021,5151
Hlavní město Praha,Počet ekonomických subjektů v registru,Družstva,1. čtvrtletí 2021,5162
Hlavní město Praha,Počet ekonomických subjektů v registru,Státní podniky,3. čtvrtletí 2025,33
Hlavní město Praha,Počet ekonomických subjektů v registru,Státní podniky,2. čtvrtletí 2025,34
Hlavní město Praha,Počet ekonomických subjektů v registru,Státní podniky,1. čtvrtletí 2025,34
Hlavní město Praha,Počet ekonomických subjektů v registru,Státní podniky,4. čtvrtletí 2024,35
Hlavní město Praha,Počet ekonomických subjektů v registru,Státní podniky,3. čtvrtletí 2024,35
Hlavní město Praha,Počet ekonomických subjektů v registru,Státní podniky,2. čtvrtletí 2024,36
Hlavní město Praha,Počet ekonomických subjektů v registru,Státní podniky,1. čtvrtletí 2024,38
Hlavní město Praha,Počet ekonomických subjektů v registru,Státní podniky,4. čtvrtletí 2023,39
Hlavní město Praha,Počet ekonomických subjektů v registru,Státní podniky,3. čtvrtletí 2023,41
Hlavní město Praha,Počet ekonomických subjektů v registru,Státní podniky,2. čtvrtletí 2023,41
Hlavní město Praha,Počet ekonomických subjektů v registru,Státní podniky,1. čtvrtletí 2023,41
Hlavní město Praha,Počet ekonomických subjektů v registru,Státní podniky,4. čtvrtletí 2022,43
Hlavní město Praha,Počet ekonomických subjektů v registru,Státní podniky,3. čtvrtletí 2022,44
Hlavní město Praha,Počet ekonomických subjektů v registru,Státní podniky,2. čtvrtletí 2022,46
Hlavní město Praha,Počet ekonomických subjektů v registru,Státní podniky,1. čtvrtletí 2022,46
Hlavní město Praha,Počet ekonomických subjektů v registru,Státní podniky,4. čtvrtletí 2021,46
Hlavní město Praha,Počet ekonomických subjektů v registru,Státní podniky,3. čtvrtletí 2021,48
Hlavní město Praha,Počet ekonomických subjektů v registru,Státní podniky,2. čtvrtletí 2021,49
Hlavní město Praha,Počet ekonomických subjektů v registru,Státní podniky,1. čtvrtletí 2021,50
