Ukazatel,Rok sčítání,Pohlaví,Ekonomická aktivita,Území,Postavení v zaměstnání,value
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Karlovarský kraj,Nezjištěno,22244
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Ústecký kraj,Zaměstnaní celkem,369950
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Ústecký kraj,Zaměstnanci,285240
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Ústecký kraj,Zaměstnavatelé,4249
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Ústecký kraj,Osoby pracující na vlastní účet,41190
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Ústecký kraj,Nezjištěno,39271
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Liberecký kraj,Zaměstnaní celkem,213877
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Liberecký kraj,Zaměstnanci,164434
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Liberecký kraj,Zaměstnavatelé,2246
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Liberecký kraj,Osoby pracující na vlastní účet,29244
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Liberecký kraj,Nezjištěno,17953
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Královéhradecký kraj,Zaměstnaní celkem,266948
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Královéhradecký kraj,Zaměstnanci,206861
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Královéhradecký kraj,Zaměstnavatelé,3008
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Královéhradecký kraj,Osoby pracující na vlastní účet,36597
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Královéhradecký kraj,Nezjištěno,20482
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Pardubický kraj,Zaměstnaní celkem,255984
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Pardubický kraj,Zaměstnanci,201687
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Pardubický kraj,Zaměstnavatelé,2629
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Pardubický kraj,Osoby pracující na vlastní účet,31700
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Pardubický kraj,Nezjištěno,19968
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Kraj Vysočina,Zaměstnaní celkem,246077
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Kraj Vysočina,Zaměstnanci,193381
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Kraj Vysočina,Zaměstnavatelé,2917
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Kraj Vysočina,Osoby pracující na vlastní účet,31853
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Kraj Vysočina,Nezjištěno,17926
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Jihomoravský kraj,Zaměstnaní celkem,603968
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Jihomoravský kraj,Zaměstnanci,461317
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Jihomoravský kraj,Zaměstnavatelé,6012
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Jihomoravský kraj,Osoby pracující na vlastní účet,79882
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Jihomoravský kraj,Nezjištěno,56757
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Olomoucký kraj,Zaměstnaní celkem,301779
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Olomoucký kraj,Zaměstnanci,236853
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Olomoucký kraj,Zaměstnavatelé,3461
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Olomoucký kraj,Osoby pracující na vlastní účet,34821
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Olomoucký kraj,Nezjištěno,26644
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Zlínský kraj,Zaměstnaní celkem,278753
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Zlínský kraj,Zaměstnanci,218150
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Zlínský kraj,Zaměstnavatelé,3260
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Zlínský kraj,Osoby pracující na vlastní účet,36742
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Zlínský kraj,Nezjištěno,20601
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Moravskoslezský kraj,Zaměstnaní celkem,551088
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Moravskoslezský kraj,Zaměstnanci,436720
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Moravskoslezský kraj,Zaměstnavatelé,6079
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Moravskoslezský kraj,Osoby pracující na vlastní účet,60657
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zaměstnaní,Moravskoslezský kraj,Nezjištěno,47632
