Ukazatel;Roky;ORP;Druh zařízení sociálních služeb;value
Počet zařízení sociálních služeb;2023;Benešov (Středočeský kraj);Služby rané péče;1.0
Počet zařízení sociálních služeb;2023;Benešov (Středočeský kraj);Nízkoprahová denní centra;1.0
Počet zařízení sociálních služeb;2023;Benešov (Středočeský kraj);Nízkoprahová zařízení pro děti a mládež;1.0
Počet zařízení sociálních služeb;2023;Benešov (Středočeský kraj);Sociálně terapeutické dílny;0.0
Počet zařízení sociálních služeb;2023;Benešov (Středočeský kraj);Terapeutické komunity;0.0
Počet zařízení sociálních služeb;2023;Benešov (Středočeský kraj);Centra denních služeb;1.0
Počet zařízení sociálních služeb;2023;Benešov (Středočeský kraj);Zařízení pro krizovou pomoc;0.0
Počet zařízení sociálních služeb;2023;Benešov (Středočeský kraj);Centra sociálně rehabilitačních služeb;1.0
Počet zařízení sociálních služeb;2023;Benešov (Středočeský kraj);Intervenční centra;0.0
Počet zařízení sociálních služeb;2023;Benešov (Středočeský kraj);Služby následné péče;0.0
Počet zařízení sociálních služeb;2023;Benešov (Středočeský kraj);Stacionáře denní;1.0
Počet zařízení sociálních služeb;2023;Benešov (Středočeský kraj);Domovy pro osoby se zdravotním postižením;1.0
Počet zařízení sociálních služeb;2023;Benešov (Středočeský kraj);Domovy pro seniory;2.0
Počet zařízení sociálních služeb;2023;Benešov (Středočeský kraj);Azylové domy;1.0
Počet zařízení sociálních služeb;2023;Benešov (Středočeský kraj);Domy na půl cesty;1.0
Počet zařízení sociálních služeb;2023;Benešov (Středočeský kraj);Chráněné bydlení;1.0
Počet zařízení sociálních služeb;2023;Benešov (Středočeský kraj);Noclehárny;1.0
Počet zařízení sociálních služeb;2023;Benešov (Středočeský kraj);Domovy se zvláštním režimem;2.0
Počet zařízení sociálních služeb;2023;Benešov (Středočeský kraj);Stacionáře týdenní;0.0
Počet zařízení sociálních služeb;2023;Beroun (Středočeský kraj);Sociální poradny;4.0
Počet zařízení sociálních služeb;2023;Beroun (Středočeský kraj);Služby rané péče;0.0
Počet zařízení sociálních služeb;2023;Beroun (Středočeský kraj);Nízkoprahová denní centra;1.0
Počet zařízení sociálních služeb;2023;Beroun (Středočeský kraj);Nízkoprahová zařízení pro děti a mládež;1.0
Počet zařízení sociálních služeb;2023;Beroun (Středočeský kraj);Sociálně terapeutické dílny;1.0
Počet zařízení sociálních služeb;2023;Beroun (Středočeský kraj);Terapeutické komunity;0.0
Počet zařízení sociálních služeb;2023;Beroun (Středočeský kraj);Centra denních služeb;0.0
Počet zařízení sociálních služeb;2023;Beroun (Středočeský kraj);Zařízení pro krizovou pomoc;0.0
Počet zařízení sociálních služeb;2023;Beroun (Středočeský kraj);Centra sociálně rehabilitačních služeb;2.0
Počet zařízení sociálních služeb;2023;Beroun (Středočeský kraj);Intervenční centra;0.0
Počet zařízení sociálních služeb;2023;Beroun (Středočeský kraj);Služby následné péče;0.0
Počet zařízení sociálních služeb;2023;Beroun (Středočeský kraj);Stacionáře denní;2.0
Počet zařízení sociálních služeb;2023;Beroun (Středočeský kraj);Domovy pro osoby se zdravotním postižením;1.0
Počet zařízení sociálních služeb;2023;Beroun (Středočeský kraj);Domovy pro seniory;3.0
Počet zařízení sociálních služeb;2023;Beroun (Středočeský kraj);Azylové domy;2.0
Počet zařízení sociálních služeb;2023;Beroun (Středočeský kraj);Domy na půl cesty;1.0
Počet zařízení sociálních služeb;2023;Beroun (Středočeský kraj);Chráněné bydlení;1.0
Počet zařízení sociálních služeb;2023;Beroun (Středočeský kraj);Noclehárny;1.0
Počet zařízení sociálních služeb;2023;Beroun (Středočeský kraj);Domovy se zvláštním režimem;3.0
Počet zařízení sociálních služeb;2023;Beroun (Středočeský kraj);Stacionáře týdenní;1.0
Počet zařízení sociálních služeb;2023;Bílina (Ústecký kraj);Sociální poradny;0.0
Počet zařízení sociálních služeb;2023;Bílina (Ústecký kraj);Služby rané péče;0.0
Počet zařízení sociálních služeb;2023;Bílina (Ústecký kraj);Nízkoprahová denní centra;0.0
Počet zařízení sociálních služeb;2023;Bílina (Ústecký kraj);Nízkoprahová zařízení pro děti a mládež;2.0
Počet zařízení sociálních služeb;2023;Bílina (Ústecký kraj);Sociálně terapeutické dílny;0.0
Počet zařízení sociálních služeb;2023;Bílina (Ústecký kraj);Terapeutické komunity;0.0
Počet zařízení sociálních služeb;2023;Bílina (Ústecký kraj);Centra denních služeb;0.0
Počet zařízení sociálních služeb;2023;Bílina (Ústecký kraj);Zařízení pro krizovou pomoc;0.0
Počet zařízení sociálních služeb;2023;Bílina (Ústecký kraj);Centra sociálně rehabilitačních služeb;0.0
Počet zařízení sociálních služeb;2023;Bílina (Ústecký kraj);Intervenční centra;0.0
Počet zařízení sociálních služeb;2023;Bílina (Ústecký kraj);Služby následné péče;0.0
Počet zařízení sociálních služeb;2023;Bílina (Ústecký kraj);Stacionáře denní;0.0
Počet zařízení sociálních služeb;2023;Bílina (Ústecký kraj);Domovy pro osoby se zdravotním postižením;0.0
Počet zařízení sociálních služeb;2023;Bílina (Ústecký kraj);Domovy pro seniory;0.0
Počet zařízení sociálních služeb;2023;Bílina (Ústecký kraj);Azylové domy;0.0
Počet zařízení sociálních služeb;2023;Bílina (Ústecký kraj);Domy na půl cesty;0.0
Počet zařízení sociálních služeb;2023;Bílina (Ústecký kraj);Chráněné bydlení;0.0
Počet zařízení sociálních služeb;2023;Bílina (Ústecký kraj);Noclehárny;0.0
Počet zařízení sociálních služeb;2023;Bílina (Ústecký kraj);Domovy se zvláštním režimem;0.0
Počet zařízení sociálních služeb;2023;Bílina (Ústecký kraj);Stacionáře týdenní;0.0
Počet zařízení sociálních služeb;2023;Bílovec (Moravskoslezský kraj);Sociální poradny;0.0
Počet zařízení sociálních služeb;2023;Bílovec (Moravskoslezský kraj);Služby rané péče;0.0
Počet zařízení sociálních služeb;2023;Bílovec (Moravskoslezský kraj);Nízkoprahová denní centra;0.0
Počet zařízení sociálních služeb;2023;Bílovec (Moravskoslezský kraj);Nízkoprahová zařízení pro děti a mládež;0.0
Počet zařízení sociálních služeb;2023;Bílovec (Moravskoslezský kraj);Sociálně terapeutické dílny;0.0
Počet zařízení sociálních služeb;2023;Bílovec (Moravskoslezský kraj);Terapeutické komunity;0.0
Počet zařízení sociálních služeb;2023;Bílovec (Moravskoslezský kraj);Centra denních služeb;0.0
Počet zařízení sociálních služeb;2023;Bílovec (Moravskoslezský kraj);Zařízení pro krizovou pomoc;0.0
Počet zařízení sociálních služeb;2023;Bílovec (Moravskoslezský kraj);Centra sociálně rehabilitačních služeb;1.0
Počet zařízení sociálních služeb;2023;Bílovec (Moravskoslezský kraj);Intervenční centra;0.0
Počet zařízení sociálních služeb;2023;Bílovec (Moravskoslezský kraj);Služby následné péče;0.0
Počet zařízení sociálních služeb;2023;Bílovec (Moravskoslezský kraj);Stacionáře denní;0.0
Počet zařízení sociálních služeb;2023;Bílovec (Moravskoslezský kraj);Domovy pro osoby se zdravotním postižením;1.0
Počet zařízení sociálních služeb;2023;Bílovec (Moravskoslezský kraj);Domovy pro seniory;2.0
Počet zařízení sociálních služeb;2023;Bílovec (Moravskoslezský kraj);Azylové domy;1.0
Počet zařízení sociálních služeb;2023;Bílovec (Moravskoslezský kraj);Domy na půl cesty;0.0
Počet zařízení sociálních služeb;2023;Bílovec (Moravskoslezský kraj);Chráněné bydlení;0.0
Počet zařízení sociálních služeb;2023;Bílovec (Moravskoslezský kraj);Noclehárny;0.0
Počet zařízení sociálních služeb;2023;Bílovec (Moravskoslezský kraj);Domovy se zvláštním režimem;0.0
Počet zařízení sociálních služeb;2023;Bílovec (Moravskoslezský kraj);Stacionáře týdenní;0.0
Počet zařízení sociálních služeb;2023;Blansko (Jihomoravský kraj);Sociální poradny;1.0
Počet zařízení sociálních služeb;2023;Blansko (Jihomoravský kraj);Služby rané péče;0.0
Počet zařízení sociálních služeb;2023;Blansko (Jihomoravský kraj);Nízkoprahová denní centra;1.0
Počet zařízení sociálních služeb;2023;Blansko (Jihomoravský kraj);Nízkoprahová zařízení pro děti a mládež;2.0
Počet zařízení sociálních služeb;2023;Blansko (Jihomoravský kraj);Sociálně terapeutické dílny;1.0
Počet zařízení sociálních služeb;2023;Blansko (Jihomoravský kraj);Terapeutické komunity;0.0
Počet zařízení sociálních služeb;2023;Blansko (Jihomoravský kraj);Centra denních služeb;0.0
Počet zařízení sociálních služeb;2023;Blansko (Jihomoravský kraj);Zařízení pro krizovou pomoc;1.0
Počet zařízení sociálních služeb;2023;Blansko (Jihomoravský kraj);Centra sociálně rehabilitačních služeb;0.0
Počet zařízení sociálních služeb;2023;Blansko (Jihomoravský kraj);Intervenční centra;0.0
Počet zařízení sociálních služeb;2023;Blansko (Jihomoravský kraj);Služby následné péče;0.0
Počet zařízení sociálních služeb;2023;Blansko (Jihomoravský kraj);Stacionáře denní;1.0
Počet zařízení sociálních služeb;2023;Blansko (Jihomoravský kraj);Domovy pro osoby se zdravotním postižením;0.0
Počet zařízení sociálních služeb;2023;Blansko (Jihomoravský kraj);Domovy pro seniory;2.0
Počet zařízení sociálních služeb;2023;Blansko (Jihomoravský kraj);Azylové domy;1.0
Počet zařízení sociálních služeb;2023;Blansko (Jihomoravský kraj);Domy na půl cesty;0.0
Počet zařízení sociálních služeb;2023;Blansko (Jihomoravský kraj);Chráněné bydlení;1.0
Počet zařízení sociálních služeb;2023;Blansko (Jihomoravský kraj);Noclehárny;1.0
Počet zařízení sociálních služeb;2023;Blansko (Jihomoravský kraj);Domovy se zvláštním režimem;3.0
Počet zařízení sociálních služeb;2023;Blansko (Jihomoravský kraj);Stacionáře týdenní;1.0
Počet zařízení sociálních služeb;2023;Blatná (Jihočeský kraj);Sociální poradny;0.0
Počet zařízení sociálních služeb;2023;Blatná (Jihočeský kraj);Služby rané péče;0.0
Počet zařízení sociálních služeb;2023;Blatná (Jihočeský kraj);Nízkoprahová denní centra;0.0
Počet zařízení sociálních služeb;2023;Blatná (Jihočeský kraj);Nízkoprahová zařízení pro děti a mládež;1.0
Počet zařízení sociálních služeb;2023;Blatná (Jihočeský kraj);Sociálně terapeutické dílny;1.0
Počet zařízení sociálních služeb;2023;Blatná (Jihočeský kraj);Terapeutické komunity;0.0
Počet zařízení sociálních služeb;2023;Blatná (Jihočeský kraj);Centra denních služeb;0.0
Počet zařízení sociálních služeb;2023;Blatná (Jihočeský kraj);Zařízení pro krizovou pomoc;0.0
Počet zařízení sociálních služeb;2023;Blatná (Jihočeský kraj);Centra sociálně rehabilitačních služeb;0.0
Počet zařízení sociálních služeb;2023;Blatná (Jihočeský kraj);Intervenční centra;0.0
Počet zařízení sociálních služeb;2023;Blatná (Jihočeský kraj);Služby následné péče;0.0
Počet zařízení sociálních služeb;2023;Blatná (Jihočeský kraj);Stacionáře denní;0.0
Počet zařízení sociálních služeb;2023;Blatná (Jihočeský kraj);Domovy pro osoby se zdravotním postižením;1.0
Počet zařízení sociálních služeb;2023;Blatná (Jihočeský kraj);Domovy pro seniory;1.0
Počet zařízení sociálních služeb;2023;Blatná (Jihočeský kraj);Azylové domy;0.0
Počet zařízení sociálních služeb;2023;Blatná (Jihočeský kraj);Domy na půl cesty;0.0
Počet zařízení sociálních služeb;2023;Blatná (Jihočeský kraj);Chráněné bydlení;1.0
Počet zařízení sociálních služeb;2023;Blatná (Jihočeský kraj);Noclehárny;0.0
Počet zařízení sociálních služeb;2023;Blatná (Jihočeský kraj);Domovy se zvláštním režimem;0.0
Počet zařízení sociálních služeb;2023;Blatná (Jihočeský kraj);Stacionáře týdenní;0.0
Počet zařízení sociálních služeb;2023;Blovice (Plzeňský kraj);Sociální poradny;0.0
Počet zařízení sociálních služeb;2023;Blovice (Plzeňský kraj);Služby rané péče;0.0
Počet zařízení sociálních služeb;2023;Blovice (Plzeňský kraj);Nízkoprahová denní centra;0.0
Počet zařízení sociálních služeb;2023;Blovice (Plzeňský kraj);Nízkoprahová zařízení pro děti a mládež;0.0
Počet zařízení sociálních služeb;2023;Blovice (Plzeňský kraj);Sociálně terapeutické dílny;0.0
Počet zařízení sociálních služeb;2023;Blovice (Plzeňský kraj);Terapeutické komunity;0.0
Počet zařízení sociálních služeb;2023;Blovice (Plzeňský kraj);Centra denních služeb;0.0
Počet zařízení sociálních služeb;2023;Blovice (Plzeňský kraj);Zařízení pro krizovou pomoc;0.0
Počet zařízení sociálních služeb;2023;Blovice (Plzeňský kraj);Centra sociálně rehabilitačních služeb;0.0
Počet zařízení sociálních služeb;2023;Blovice (Plzeňský kraj);Intervenční centra;0.0
Počet zařízení sociálních služeb;2023;Blovice (Plzeňský kraj);Služby následné péče;0.0
Počet zařízení sociálních služeb;2023;Blovice (Plzeňský kraj);Stacionáře denní;0.0
Počet zařízení sociálních služeb;2023;Blovice (Plzeňský kraj);Domovy pro osoby se zdravotním postižením;0.0
Počet zařízení sociálních služeb;2023;Blovice (Plzeňský kraj);Domovy pro seniory;1.0
Počet zařízení sociálních služeb;2023;Blovice (Plzeňský kraj);Azylové domy;0.0
Počet zařízení sociálních služeb;2023;Blovice (Plzeňský kraj);Domy na půl cesty;0.0
Počet zařízení sociálních služeb;2023;Blovice (Plzeňský kraj);Chráněné bydlení;0.0
Počet zařízení sociálních služeb;2023;Blovice (Plzeňský kraj);Noclehárny;0.0
Počet zařízení sociálních služeb;2023;Blovice (Plzeňský kraj);Domovy se zvláštním režimem;1.0
Počet zařízení sociálních služeb;2023;Blovice (Plzeňský kraj);Stacionáře týdenní;0.0
Počet zařízení sociálních služeb;2023;Bohumín (Moravskoslezský kraj);Sociální poradny;1.0
Počet zařízení sociálních služeb;2023;Bohumín (Moravskoslezský kraj);Služby rané péče;1.0
Počet zařízení sociálních služeb;2023;Bohumín (Moravskoslezský kraj);Nízkoprahová denní centra;1.0
Počet zařízení sociálních služeb;2023;Bohumín (Moravskoslezský kraj);Nízkoprahová zařízení pro děti a mládež;2.0
Počet zařízení sociálních služeb;2023;Bohumín (Moravskoslezský kraj);Sociálně terapeutické dílny;2.0
Počet zařízení sociálních služeb;2023;Bohumín (Moravskoslezský kraj);Terapeutické komunity;0.0
Počet zařízení sociálních služeb;2023;Bohumín (Moravskoslezský kraj);Centra denních služeb;0.0
Počet zařízení sociálních služeb;2023;Bohumín (Moravskoslezský kraj);Zařízení pro krizovou pomoc;0.0
Počet zařízení sociálních služeb;2023;Bohumín (Moravskoslezský kraj);Centra sociálně rehabilitačních služeb;1.0
Počet zařízení sociálních služeb;2023;Bohumín (Moravskoslezský kraj);Intervenční centra;0.0
Počet zařízení sociálních služeb;2023;Bohumín (Moravskoslezský kraj);Služby následné péče;0.0
Počet zařízení sociálních služeb;2023;Bohumín (Moravskoslezský kraj);Stacionáře denní;1.0
Počet zařízení sociálních služeb;2023;Bohumín (Moravskoslezský kraj);Domovy pro osoby se zdravotním postižením;0.0
Počet zařízení sociálních služeb;2023;Bohumín (Moravskoslezský kraj);Domovy pro seniory;3.0
Počet zařízení sociálních služeb;2023;Bohumín (Moravskoslezský kraj);Azylové domy;0.0
Počet zařízení sociálních služeb;2023;Bohumín (Moravskoslezský kraj);Domy na půl cesty;0.0
Počet zařízení sociálních služeb;2023;Bohumín (Moravskoslezský kraj);Chráněné bydlení;3.0
Počet zařízení sociálních služeb;2023;Bohumín (Moravskoslezský kraj);Noclehárny;1.0
Počet zařízení sociálních služeb;2023;Bohumín (Moravskoslezský kraj);Domovy se zvláštním režimem;1.0
Počet zařízení sociálních služeb;2023;Bohumín (Moravskoslezský kraj);Stacionáře týdenní;0.0
Počet zařízení sociálních služeb;2023;Boskovice (Jihomoravský kraj);Sociální poradny;1.0
Počet zařízení sociálních služeb;2023;Boskovice (Jihomoravský kraj);Služby rané péče;0.0
Počet zařízení sociálních služeb;2023;Boskovice (Jihomoravský kraj);Nízkoprahová denní centra;0.0
Počet zařízení sociálních služeb;2023;Boskovice (Jihomoravský kraj);Nízkoprahová zařízení pro děti a mládež;0.0
Počet zařízení sociálních služeb;2023;Boskovice (Jihomoravský kraj);Sociálně terapeutické dílny;1.0
Počet zařízení sociálních služeb;2023;Boskovice (Jihomoravský kraj);Terapeutické komunity;0.0
Počet zařízení sociálních služeb;2023;Boskovice (Jihomoravský kraj);Centra denních služeb;2.0
Počet zařízení sociálních služeb;2023;Boskovice (Jihomoravský kraj);Zařízení pro krizovou pomoc;0.0
Počet zařízení sociálních služeb;2023;Boskovice (Jihomoravský kraj);Centra sociálně rehabilitačních služeb;0.0
Počet zařízení sociálních služeb;2023;Boskovice (Jihomoravský kraj);Intervenční centra;0.0
Počet zařízení sociálních služeb;2023;Boskovice (Jihomoravský kraj);Služby následné péče;0.0
Počet zařízení sociálních služeb;2023;Boskovice (Jihomoravský kraj);Stacionáře denní;0.0
Počet zařízení sociálních služeb;2023;Boskovice (Jihomoravský kraj);Domovy pro osoby se zdravotním postižením;2.0
Počet zařízení sociálních služeb;2023;Boskovice (Jihomoravský kraj);Domovy pro seniory;2.0
Počet zařízení sociálních služeb;2023;Boskovice (Jihomoravský kraj);Azylové domy;0.0
Počet zařízení sociálních služeb;2023;Boskovice (Jihomoravský kraj);Domy na půl cesty;0.0
Počet zařízení sociálních služeb;2023;Boskovice (Jihomoravský kraj);Chráněné bydlení;5.0
Počet zařízení sociálních služeb;2023;Boskovice (Jihomoravský kraj);Noclehárny;0.0
Počet zařízení sociálních služeb;2023;Boskovice (Jihomoravský kraj);Domovy se zvláštním režimem;3.0
Počet zařízení sociálních služeb;2023;Boskovice (Jihomoravský kraj);Stacionáře týdenní;0.0
Počet zařízení sociálních služeb;2023;Brandýs nad Labem-Stará Boleslav (Středočeský kraj);Sociální poradny;1.0
Počet zařízení sociálních služeb;2023;Brandýs nad Labem-Stará Boleslav (Středočeský kraj);Služby rané péče;0.0
Počet zařízení sociálních služeb;2023;Brandýs nad Labem-Stará Boleslav (Středočeský kraj);Nízkoprahová denní centra;1.0
Počet zařízení sociálních služeb;2023;Brandýs nad Labem-Stará Boleslav (Středočeský kraj);Nízkoprahová zařízení pro děti a mládež;1.0
Počet zařízení sociálních služeb;2023;Brandýs nad Labem-Stará Boleslav (Středočeský kraj);Sociálně terapeutické dílny;0.0
Počet zařízení sociálních služeb;2023;Brandýs nad Labem-Stará Boleslav (Středočeský kraj);Terapeutické komunity;0.0
Počet zařízení sociálních služeb;2023;Brandýs nad Labem-Stará Boleslav (Středočeský kraj);Centra denních služeb;0.0
Počet zařízení sociálních služeb;2023;Brandýs nad Labem-Stará Boleslav (Středočeský kraj);Zařízení pro krizovou pomoc;0.0
Počet zařízení sociálních služeb;2023;Brandýs nad Labem-Stará Boleslav (Středočeský kraj);Centra sociálně rehabilitačních služeb;0.0
Počet zařízení sociálních služeb;2023;Brandýs nad Labem-Stará Boleslav (Středočeský kraj);Intervenční centra;0.0
Počet zařízení sociálních služeb;2023;Brandýs nad Labem-Stará Boleslav (Středočeský kraj);Služby následné péče;0.0
Počet zařízení sociálních služeb;2023;Brandýs nad Labem-Stará Boleslav (Středočeský kraj);Stacionáře denní;3.0
Počet zařízení sociálních služeb;2023;Brandýs nad Labem-Stará Boleslav (Středočeský kraj);Domovy pro osoby se zdravotním postižením;1.0
Počet zařízení sociálních služeb;2023;Brandýs nad Labem-Stará Boleslav (Středočeský kraj);Domovy pro seniory;6.0
Počet zařízení sociálních služeb;2023;Brandýs nad Labem-Stará Boleslav (Středočeský kraj);Azylové domy;1.0
Počet zařízení sociálních služeb;2023;Brandýs nad Labem-Stará Boleslav (Středočeský kraj);Domy na půl cesty;0.0
Počet zařízení sociálních služeb;2023;Brandýs nad Labem-Stará Boleslav (Středočeský kraj);Chráněné bydlení;2.0
Počet zařízení sociálních služeb;2023;Brandýs nad Labem-Stará Boleslav (Středočeský kraj);Noclehárny;0.0
Počet zařízení sociálních služeb;2023;Brandýs nad Labem-Stará Boleslav (Středočeský kraj);Domovy se zvláštním režimem;2.0
Počet zařízení sociálních služeb;2023;Brandýs nad Labem-Stará Boleslav (Středočeský kraj);Stacionáře týdenní;0.0
Počet zařízení sociálních služeb;2023;Brno (Jihomoravský kraj);Sociální poradny;26.0
Počet zařízení sociálních služeb;2023;Brno (Jihomoravský kraj);Služby rané péče;5.0
Počet zařízení sociálních služeb;2023;Brno (Jihomoravský kraj);Nízkoprahová denní centra;2.0
Počet zařízení sociálních služeb;2023;Brno (Jihomoravský kraj);Nízkoprahová zařízení pro děti a mládež;9.0
Počet zařízení sociálních služeb;2023;Brno (Jihomoravský kraj);Sociálně terapeutické dílny;3.0
Počet zařízení sociálních služeb;2023;Brno (Jihomoravský kraj);Terapeutické komunity;0.0
Počet zařízení sociálních služeb;2023;Brno (Jihomoravský kraj);Centra denních služeb;2.0
Počet zařízení sociálních služeb;2023;Brno (Jihomoravský kraj);Zařízení pro krizovou pomoc;2.0
Počet zařízení sociálních služeb;2023;Brno (Jihomoravský kraj);Centra sociálně rehabilitačních služeb;15.0
Počet zařízení sociálních služeb;2023;Brno (Jihomoravský kraj);Intervenční centra;1.0
Počet zařízení sociálních služeb;2023;Brno (Jihomoravský kraj);Služby následné péče;7.0
Počet zařízení sociálních služeb;2023;Brno (Jihomoravský kraj);Stacionáře denní;10.0
Počet zařízení sociálních služeb;2023;Brno (Jihomoravský kraj);Domovy pro osoby se zdravotním postižením;10.0
Počet zařízení sociálních služeb;2023;Brno (Jihomoravský kraj);Domovy pro seniory;16.0
Počet zařízení sociálních služeb;2023;Brno (Jihomoravský kraj);Azylové domy;10.0
Počet zařízení sociálních služeb;2023;Brno (Jihomoravský kraj);Domy na půl cesty;1.0
Počet zařízení sociálních služeb;2023;Brno (Jihomoravský kraj);Chráněné bydlení;9.0
Počet zařízení sociálních služeb;2023;Brno (Jihomoravský kraj);Noclehárny;4.0
Počet zařízení sociálních služeb;2023;Brno (Jihomoravský kraj);Domovy se zvláštním režimem;10.0
Počet zařízení sociálních služeb;2023;Brno (Jihomoravský kraj);Stacionáře týdenní;3.0
Počet zařízení sociálních služeb;2023;Broumov (Královéhradecký kraj);Sociální poradny;1.0
Počet zařízení sociálních služeb;2023;Broumov (Královéhradecký kraj);Služby rané péče;0.0
Počet zařízení sociálních služeb;2023;Broumov (Královéhradecký kraj);Nízkoprahová denní centra;0.0
Počet zařízení sociálních služeb;2023;Broumov (Královéhradecký kraj);Nízkoprahová zařízení pro děti a mládež;0.0
Počet zařízení sociálních služeb;2023;Broumov (Královéhradecký kraj);Sociálně terapeutické dílny;0.0
Počet zařízení sociálních služeb;2023;Broumov (Královéhradecký kraj);Terapeutické komunity;0.0
Počet zařízení sociálních služeb;2023;Broumov (Královéhradecký kraj);Centra denních služeb;0.0
Počet zařízení sociálních služeb;2023;Broumov (Královéhradecký kraj);Zařízení pro krizovou pomoc;0.0
Počet zařízení sociálních služeb;2023;Broumov (Královéhradecký kraj);Centra sociálně rehabilitačních služeb;0.0
Počet zařízení sociálních služeb;2023;Broumov (Královéhradecký kraj);Intervenční centra;0.0
Počet zařízení sociálních služeb;2023;Broumov (Královéhradecký kraj);Služby následné péče;0.0
Počet zařízení sociálních služeb;2023;Broumov (Královéhradecký kraj);Stacionáře denní;0.0
Počet zařízení sociálních služeb;2023;Broumov (Královéhradecký kraj);Domovy pro osoby se zdravotním postižením;0.0
Počet zařízení sociálních služeb;2023;Broumov (Královéhradecký kraj);Domovy pro seniory;1.0
Počet zařízení sociálních služeb;2023;Broumov (Královéhradecký kraj);Azylové domy;0.0
Počet zařízení sociálních služeb;2023;Broumov (Královéhradecký kraj);Domy na půl cesty;0.0
Počet zařízení sociálních služeb;2023;Broumov (Královéhradecký kraj);Chráněné bydlení;0.0
Počet zařízení sociálních služeb;2023;Broumov (Královéhradecký kraj);Noclehárny;0.0
Počet zařízení sociálních služeb;2023;Broumov (Královéhradecký kraj);Domovy se zvláštním režimem;1.0
Počet zařízení sociálních služeb;2023;Broumov (Královéhradecký kraj);Stacionáře týdenní;0.0
Počet zařízení sociálních služeb;2023;Bruntál (Moravskoslezský kraj);Sociální poradny;3.0
Počet zařízení sociálních služeb;2023;Bruntál (Moravskoslezský kraj);Služby rané péče;0.0
Počet zařízení sociálních služeb;2023;Bruntál (Moravskoslezský kraj);Nízkoprahová denní centra;0.0
Počet zařízení sociálních služeb;2023;Bruntál (Moravskoslezský kraj);Nízkoprahová zařízení pro děti a mládež;1.0
Počet zařízení sociálních služeb;2023;Bruntál (Moravskoslezský kraj);Sociálně terapeutické dílny;2.0
Počet zařízení sociálních služeb;2023;Bruntál (Moravskoslezský kraj);Terapeutické komunity;0.0
Počet zařízení sociálních služeb;2023;Bruntál (Moravskoslezský kraj);Centra denních služeb;1.0
Počet zařízení sociálních služeb;2023;Bruntál (Moravskoslezský kraj);Zařízení pro krizovou pomoc;0.0
Počet zařízení sociálních služeb;2023;Bruntál (Moravskoslezský kraj);Centra sociálně rehabilitačních služeb;1.0
Počet zařízení sociálních služeb;2023;Bruntál (Moravskoslezský kraj);Intervenční centra;0.0
Počet zařízení sociálních služeb;2023;Bruntál (Moravskoslezský kraj);Služby následné péče;0.0
Počet zařízení sociálních služeb;2023;Bruntál (Moravskoslezský kraj);Stacionáře denní;1.0
Počet zařízení sociálních služeb;2023;Bruntál (Moravskoslezský kraj);Domovy pro osoby se zdravotním postižením;2.0
Počet zařízení sociálních služeb;2023;Bruntál (Moravskoslezský kraj);Domovy pro seniory;2.0
Počet zařízení sociálních služeb;2023;Bruntál (Moravskoslezský kraj);Azylové domy;2.0
Počet zařízení sociálních služeb;2023;Bruntál (Moravskoslezský kraj);Domy na půl cesty;1.0
Počet zařízení sociálních služeb;2023;Bruntál (Moravskoslezský kraj);Chráněné bydlení;2.0
Počet zařízení sociálních služeb;2023;Bruntál (Moravskoslezský kraj);Noclehárny;0.0
