Ukazatel,Pohlaví,Roky,"ČR, Reg. soudržnosti, Kraje",Nejvyšší ukončené vzdělání,value
Míra zaměstnanosti (%),Celkem,2024,Jihovýchod,Celkem,58.773577743
Míra zaměstnanosti (%),Celkem,2024,Jihovýchod,Základní ,16.519735303
Míra zaměstnanosti (%),Celkem,2024,Jihovýchod,Střední bez maturity,58.527968834
Míra zaměstnanosti (%),Celkem,2024,Jihovýchod,Střední s maturitou,63.926230801
Míra zaměstnanosti (%),Celkem,2024,Jihovýchod,Vyšší a vysokoškolské,77.23480297
Míra zaměstnanosti (%),Celkem,2024,Střední Morava,Celkem,56.707458097
Míra zaměstnanosti (%),Celkem,2024,Střední Morava,Základní ,17.240653095
Míra zaměstnanosti (%),Celkem,2024,Střední Morava,Střední bez maturity,57.143233015
Míra zaměstnanosti (%),Celkem,2024,Střední Morava,Střední s maturitou,63.801732543
Míra zaměstnanosti (%),Celkem,2024,Střední Morava,Vyšší a vysokoškolské,73.409222102
Míra zaměstnanosti (%),Celkem,2024,Moravskoslezsko,Celkem,55.498930517
Míra zaměstnanosti (%),Celkem,2024,Moravskoslezsko,Základní ,18.611882747
Míra zaměstnanosti (%),Celkem,2024,Moravskoslezsko,Střední bez maturity,55.118264794
Míra zaměstnanosti (%),Celkem,2024,Moravskoslezsko,Střední s maturitou,61.290001087
Míra zaměstnanosti (%),Celkem,2024,Moravskoslezsko,Vyšší a vysokoškolské,75.206710201
Míra zaměstnanosti (%),Celkem,2024,Hlavní město Praha,Celkem,66.366121286
Míra zaměstnanosti (%),Celkem,2024,Hlavní město Praha,Základní ,16.081295126
Míra zaměstnanosti (%),Celkem,2024,Hlavní město Praha,Střední bez maturity,55.615489562
Míra zaměstnanosti (%),Celkem,2024,Hlavní město Praha,Střední s maturitou,65.718264322
Míra zaměstnanosti (%),Celkem,2024,Hlavní město Praha,Vyšší a vysokoškolské,80.400332006
Míra zaměstnanosti (%),Celkem,2024,Středočeský kraj,Celkem,60.934850514
Míra zaměstnanosti (%),Celkem,2024,Středočeský kraj,Základní ,20.177787991
Míra zaměstnanosti (%),Celkem,2024,Středočeský kraj,Střední bez maturity,62.203134902
Míra zaměstnanosti (%),Celkem,2024,Středočeský kraj,Střední s maturitou,66.700109826
Míra zaměstnanosti (%),Celkem,2024,Středočeský kraj,Vyšší a vysokoškolské,79.054276077
Míra zaměstnanosti (%),Celkem,2024,Jihočeský kraj,Celkem,58.366531542
Míra zaměstnanosti (%),Celkem,2024,Jihočeský kraj,Základní ,20.583405641
Míra zaměstnanosti (%),Celkem,2024,Jihočeský kraj,Střední bez maturity,59.678291763
Míra zaměstnanosti (%),Celkem,2024,Jihočeský kraj,Střední s maturitou,64.343138648
Míra zaměstnanosti (%),Celkem,2024,Jihočeský kraj,Vyšší a vysokoškolské,75.9491251
Míra zaměstnanosti (%),Celkem,2024,Plzeňský kraj,Celkem,60.635045186
Míra zaměstnanosti (%),Celkem,2024,Plzeňský kraj,Základní ,23.707694419
Míra zaměstnanosti (%),Celkem,2024,Plzeňský kraj,Střední bez maturity,61.57792057
Míra zaměstnanosti (%),Celkem,2024,Plzeňský kraj,Střední s maturitou,65.237118162
Míra zaměstnanosti (%),Celkem,2024,Plzeňský kraj,Vyšší a vysokoškolské,78.243775859
Míra zaměstnanosti (%),Celkem,2024,Karlovarský kraj,Celkem,60.539508862
Míra zaměstnanosti (%),Celkem,2024,Karlovarský kraj,Základní ,29.24676994
Míra zaměstnanosti (%),Celkem,2024,Karlovarský kraj,Střední bez maturity,62.046609749
Míra zaměstnanosti (%),Celkem,2024,Karlovarský kraj,Střední s maturitou,70.578512415
Míra zaměstnanosti (%),Celkem,2024,Karlovarský kraj,Vyšší a vysokoškolské,74.903857055
Míra zaměstnanosti (%),Celkem,2024,Ústecký kraj,Celkem,55.893588523
Míra zaměstnanosti (%),Celkem,2024,Ústecký kraj,Základní ,24.309483435
Míra zaměstnanosti (%),Celkem,2024,Ústecký kraj,Střední bez maturity,59.304249859
Míra zaměstnanosti (%),Celkem,2024,Ústecký kraj,Střední s maturitou,62.638422153
Míra zaměstnanosti (%),Celkem,2024,Ústecký kraj,Vyšší a vysokoškolské,76.676605281
Míra zaměstnanosti (%),Celkem,2024,Liberecký kraj,Celkem,55.742176321
Míra zaměstnanosti (%),Celkem,2024,Liberecký kraj,Základní ,21.886353923
Míra zaměstnanosti (%),Celkem,2024,Liberecký kraj,Střední bez maturity,57.624192707
Míra zaměstnanosti (%),Celkem,2024,Liberecký kraj,Střední s maturitou,61.320159415
Míra zaměstnanosti (%),Celkem,2024,Liberecký kraj,Vyšší a vysokoškolské,73.510468113
Míra zaměstnanosti (%),Celkem,2024,Královéhradecký kraj,Celkem,57.169393796
Míra zaměstnanosti (%),Celkem,2024,Královéhradecký kraj,Základní ,17.037240009
Míra zaměstnanosti (%),Celkem,2024,Královéhradecký kraj,Střední bez maturity,58.34488751
Míra zaměstnanosti (%),Celkem,2024,Královéhradecký kraj,Střední s maturitou,61.565499031
Míra zaměstnanosti (%),Celkem,2024,Královéhradecký kraj,Vyšší a vysokoškolské,75.71636997
Míra zaměstnanosti (%),Celkem,2024,Pardubický kraj,Celkem,57.601645537
Míra zaměstnanosti (%),Celkem,2024,Pardubický kraj,Základní ,16.0647146
Míra zaměstnanosti (%),Celkem,2024,Pardubický kraj,Střední bez maturity,57.944242912
Míra zaměstnanosti (%),Celkem,2024,Pardubický kraj,Střední s maturitou,64.18527626
Míra zaměstnanosti (%),Celkem,2024,Pardubický kraj,Vyšší a vysokoškolské,75.401014265
Míra zaměstnanosti (%),Celkem,2024,Kraj Vysočina,Celkem,58.607851661
Míra zaměstnanosti (%),Celkem,2024,Kraj Vysočina,Základní ,13.089967835
Míra zaměstnanosti (%),Celkem,2024,Kraj Vysočina,Střední bez maturity,57.741161546
Míra zaměstnanosti (%),Celkem,2024,Kraj Vysočina,Střední s maturitou,67.149920267
Míra zaměstnanosti (%),Celkem,2024,Kraj Vysočina,Vyšší a vysokoškolské,76.624596404
Míra zaměstnanosti (%),Celkem,2024,Jihomoravský kraj,Celkem,58.844343849
Míra zaměstnanosti (%),Celkem,2024,Jihomoravský kraj,Základní ,17.79467062
Míra zaměstnanosti (%),Celkem,2024,Jihomoravský kraj,Střední bez maturity,58.9658693
Míra zaměstnanosti (%),Celkem,2024,Jihomoravský kraj,Střední s maturitou,62.50953326
Míra zaměstnanosti (%),Celkem,2024,Jihomoravský kraj,Vyšší a vysokoškolské,77.414916943
Míra zaměstnanosti (%),Celkem,2024,Olomoucký kraj,Celkem,56.209873195
Míra zaměstnanosti (%),Celkem,2024,Olomoucký kraj,Základní ,21.357972436
Míra zaměstnanosti (%),Celkem,2024,Olomoucký kraj,Střední bez maturity,56.939053837
Míra zaměstnanosti (%),Celkem,2024,Olomoucký kraj,Střední s maturitou,62.276895726
Míra zaměstnanosti (%),Celkem,2024,Olomoucký kraj,Vyšší a vysokoškolské,73.437456699
Míra zaměstnanosti (%),Celkem,2024,Zlínský kraj,Celkem,57.244414269
Míra zaměstnanosti (%),Celkem,2024,Zlínský kraj,Základní ,12.050930503
Míra zaměstnanosti (%),Celkem,2024,Zlínský kraj,Střední bez maturity,57.370011355
Míra zaměstnanosti (%),Celkem,2024,Zlínský kraj,Střední s maturitou,65.333375383
Míra zaměstnanosti (%),Celkem,2024,Zlínský kraj,Vyšší a vysokoškolské,73.379964241
Míra zaměstnanosti (%),Celkem,2024,Moravskoslezský kraj,Celkem,55.498930517
Míra zaměstnanosti (%),Celkem,2024,Moravskoslezský kraj,Základní ,18.611882747
Míra zaměstnanosti (%),Celkem,2024,Moravskoslezský kraj,Střední bez maturity,55.118264794
Míra zaměstnanosti (%),Celkem,2024,Moravskoslezský kraj,Střední s maturitou,61.290001087
Míra zaměstnanosti (%),Celkem,2024,Moravskoslezský kraj,Vyšší a vysokoškolské,75.206710201
