Kategorie;Ukazatel;Roky;ČR, kraje;value
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2021;Plzeňský kraj;167
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2021;Karlovarský kraj;31
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2021;Ústecký kraj;37
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2021;Liberecký kraj;44
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2021;Královéhradecký kraj;96
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2021;Pardubický kraj;144
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2021;Kraj Vysočina;519
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2021;Jihomoravský kraj;736
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2021;Olomoucký kraj;280
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2021;Zlínský kraj;155
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2021;Moravskoslezský kraj;299
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2020;Hlavní město Praha;1135
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2020;Středočeský kraj;298
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2020;Jihočeský kraj;94
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2020;Plzeňský kraj;136
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2020;Karlovarský kraj;52
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2020;Ústecký kraj;168
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2020;Liberecký kraj;144
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2020;Královéhradecký kraj;76
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2020;Pardubický kraj;158
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2020;Kraj Vysočina;340
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2020;Jihomoravský kraj;873
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2020;Olomoucký kraj;495
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2020;Zlínský kraj;250
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2020;Moravskoslezský kraj;217
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2019;Hlavní město Praha;5668
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2019;Středočeský kraj;1009
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2019;Jihočeský kraj;479
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2019;Plzeňský kraj;462
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2019;Karlovarský kraj;120
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2019;Ústecký kraj;400
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2019;Liberecký kraj;403
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2019;Královéhradecký kraj;313
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2019;Pardubický kraj;524
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2019;Kraj Vysočina;983
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2019;Jihomoravský kraj;2453
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2019;Olomoucký kraj;872
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2019;Zlínský kraj;339
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2019;Moravskoslezský kraj;701
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2018;Hlavní město Praha;4534
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2018;Středočeský kraj;1039
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2018;Jihočeský kraj;427
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2018;Plzeňský kraj;464
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2018;Karlovarský kraj;71
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2018;Ústecký kraj;413
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2018;Liberecký kraj;300
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2018;Královéhradecký kraj;352
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2018;Pardubický kraj;447
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2018;Kraj Vysočina;900
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2018;Jihomoravský kraj;1960
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2018;Olomoucký kraj;715
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2018;Zlínský kraj;425
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2018;Moravskoslezský kraj;620
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2017;Hlavní město Praha;4388
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2017;Středočeský kraj;820
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2017;Jihočeský kraj;520
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2017;Plzeňský kraj;618
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2017;Karlovarský kraj;74
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2017;Ústecký kraj;265
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2017;Liberecký kraj;369
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2017;Královéhradecký kraj;329
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2017;Pardubický kraj;451
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2017;Kraj Vysočina;907
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2017;Jihomoravský kraj;2082
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2017;Olomoucký kraj;639
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2017;Zlínský kraj;460
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2017;Moravskoslezský kraj;620
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2016;Hlavní město Praha;4437
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2016;Středočeský kraj;743
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2016;Jihočeský kraj;471
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2016;Plzeňský kraj;389
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2016;Karlovarský kraj;70
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2016;Ústecký kraj;478
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2016;Liberecký kraj;249
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2016;Královéhradecký kraj;370
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2016;Pardubický kraj;541
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2016;Kraj Vysočina;1102
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2016;Jihomoravský kraj;1976
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2016;Olomoucký kraj;617
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2016;Zlínský kraj;532
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2016;Moravskoslezský kraj;614
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2015;Hlavní město Praha;4187
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2015;Středočeský kraj;772
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2015;Jihočeský kraj;526
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2015;Plzeňský kraj;546
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2015;Karlovarský kraj;83
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2015;Ústecký kraj;483
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2015;Liberecký kraj;349
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2015;Královéhradecký kraj;339
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2015;Pardubický kraj;460
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2015;Kraj Vysočina;951
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2015;Jihomoravský kraj;2107
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2015;Olomoucký kraj;789
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2015;Zlínský kraj;576
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2015;Moravskoslezský kraj;620
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2014;Hlavní město Praha;3667
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2014;Středočeský kraj;427
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2014;Jihočeský kraj;462
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2014;Plzeňský kraj;458
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2014;Karlovarský kraj;47
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2014;Ústecký kraj;211
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2014;Liberecký kraj;269
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2014;Královéhradecký kraj;319
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2014;Pardubický kraj;409
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2014;Kraj Vysočina;835
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2014;Jihomoravský kraj;1453
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2014;Olomoucký kraj;577
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2014;Zlínský kraj;568
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2014;Moravskoslezský kraj;744
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2013;Hlavní město Praha;3427
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2013;Středočeský kraj;532
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2013;Jihočeský kraj;373
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2013;Plzeňský kraj;518
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2013;Karlovarský kraj;52
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2013;Ústecký kraj;272
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2013;Liberecký kraj;258
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2013;Královéhradecký kraj;303
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2013;Pardubický kraj;427
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2013;Kraj Vysočina;940
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2013;Jihomoravský kraj;1579
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2013;Olomoucký kraj;401
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2013;Zlínský kraj;345
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2013;Moravskoslezský kraj;613
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2012;Hlavní město Praha;4264
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2012;Středočeský kraj;712
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2012;Jihočeský kraj;320
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2012;Plzeňský kraj;430
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2012;Karlovarský kraj;68
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2012;Ústecký kraj;267
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2012;Liberecký kraj;365
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2012;Královéhradecký kraj;304
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2012;Pardubický kraj;351
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2012;Kraj Vysočina;630
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2012;Jihomoravský kraj;1947
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2012;Olomoucký kraj;325
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2012;Zlínský kraj;486
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2012;Moravskoslezský kraj;1078
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2011;Hlavní město Praha;4030
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2011;Středočeský kraj;631
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2011;Jihočeský kraj;255
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2011;Plzeňský kraj;415
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2011;Karlovarský kraj;82
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2011;Ústecký kraj;141
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2011;Liberecký kraj;291
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2011;Královéhradecký kraj;392
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2011;Pardubický kraj;387
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2011;Kraj Vysočina;667
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2011;Jihomoravský kraj;1659
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2011;Olomoucký kraj;357
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2011;Zlínský kraj;286
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2011;Moravskoslezský kraj;1008
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2010;Hlavní město Praha;4283
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2010;Středočeský kraj;748
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2010;Jihočeský kraj;317
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2010;Plzeňský kraj;334
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2010;Karlovarský kraj;125
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2010;Ústecký kraj;85
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2010;Liberecký kraj;233
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2010;Královéhradecký kraj;286
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2010;Pardubický kraj;263
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2010;Kraj Vysočina;505
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2010;Jihomoravský kraj;1692
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2010;Olomoucký kraj;226
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2010;Zlínský kraj;339
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2010;Moravskoslezský kraj;710
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2009;Hlavní město Praha;3545
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2009;Středočeský kraj;747
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2009;Jihočeský kraj;196
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2009;Plzeňský kraj;427
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2009;Karlovarský kraj;71
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2009;Ústecký kraj;49
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2009;Liberecký kraj;194
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2009;Královéhradecký kraj;328
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2009;Pardubický kraj;314
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2009;Kraj Vysočina;615
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2009;Jihomoravský kraj;1608
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2009;Olomoucký kraj;227
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2009;Zlínský kraj;318
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2009;Moravskoslezský kraj;772
