Roky,Ukazatel,Území,Velikostní skupina obcí,value
2024,Počet obyvatel,Jihomoravský kraj,10 000 až 19 999,45636
2024,Počet obyvatel,Jihomoravský kraj,20 000 až 49 999,122874
2024,Počet obyvatel,Jihomoravský kraj,50 000 až 99 999,0
2024,Počet obyvatel,Jihomoravský kraj,100 000 a více,402739
2024,Počet obyvatel,Olomoucký kraj,Celkem,631500
2024,Počet obyvatel,Olomoucký kraj,méně než 200,6452
2024,Počet obyvatel,Olomoucký kraj,200 až 499,42448
2024,Počet obyvatel,Olomoucký kraj,500 až 999,72462
2024,Počet obyvatel,Olomoucký kraj,1 000 až 1 9999,108635
2024,Počet obyvatel,Olomoucký kraj,2 000 až 4 999,90175
2024,Počet obyvatel,Olomoucký kraj,5 000 až 9 9999,32995
2024,Počet obyvatel,Olomoucký kraj,10 000 až 19 999,66221
2024,Počet obyvatel,Olomoucký kraj,20 000 až 49 999,109049
2024,Počet obyvatel,Olomoucký kraj,50 000 až 99 999,0
2024,Počet obyvatel,Olomoucký kraj,100 000 a více,103063
2024,Počet obyvatel,Zlínský kraj,Celkem,578998
2024,Počet obyvatel,Zlínský kraj,méně než 200,2711
2024,Počet obyvatel,Zlínský kraj,200 až 499,29138
2024,Počet obyvatel,Zlínský kraj,500 až 999,70763
2024,Počet obyvatel,Zlínský kraj,1 000 až 1 9999,75466
2024,Počet obyvatel,Zlínský kraj,2 000 až 4 999,108432
2024,Počet obyvatel,Zlínský kraj,5 000 až 9 9999,55788
2024,Počet obyvatel,Zlínský kraj,10 000 až 19 999,61447
2024,Počet obyvatel,Zlínský kraj,20 000 až 49 999,100569
2024,Počet obyvatel,Zlínský kraj,50 000 až 99 999,74684
2024,Počet obyvatel,Zlínský kraj,100 000 a více,0
2024,Počet obyvatel,Moravskoslezský kraj,Celkem,1182613
2024,Počet obyvatel,Moravskoslezský kraj,méně než 200,2075
2024,Počet obyvatel,Moravskoslezský kraj,200 až 499,19675
2024,Počet obyvatel,Moravskoslezský kraj,500 až 999,52293
2024,Počet obyvatel,Moravskoslezský kraj,1 000 až 1 9999,104563
2024,Počet obyvatel,Moravskoslezský kraj,2 000 až 4 999,165725
2024,Počet obyvatel,Moravskoslezský kraj,5 000 až 9 9999,118163
2024,Počet obyvatel,Moravskoslezský kraj,10 000 až 19 999,38943
2024,Počet obyvatel,Moravskoslezský kraj,20 000 až 49 999,220616
2024,Počet obyvatel,Moravskoslezský kraj,50 000 až 99 999,177373
2024,Počet obyvatel,Moravskoslezský kraj,100 000 a více,283187
2024,Počet obcí,Česko,Celkem,6258
2024,Počet obcí,Česko,méně než 200,1347
2024,Počet obcí,Česko,200 až 499,1998
2024,Počet obcí,Česko,500 až 999,1378
2024,Počet obcí,Česko,1 000 až 1 9999,804
2024,Počet obcí,Česko,2 000 až 4 999,454
2024,Počet obcí,Česko,5 000 až 9 9999,145
2024,Počet obcí,Česko,10 000 až 19 999,68
2024,Počet obcí,Česko,20 000 až 49 999,46
2024,Počet obcí,Česko,50 000 až 99 999,12
2024,Počet obcí,Česko,100 000 a více,6
2024,Počet obcí,Hlavní město Praha,Celkem,1
2024,Počet obcí,Hlavní město Praha,méně než 200,0
2024,Počet obcí,Hlavní město Praha,200 až 499,0
2024,Počet obcí,Hlavní město Praha,500 až 999,0
2024,Počet obcí,Hlavní město Praha,1 000 až 1 9999,0
2024,Počet obcí,Hlavní město Praha,2 000 až 4 999,0
2024,Počet obcí,Hlavní město Praha,5 000 až 9 9999,0
2024,Počet obcí,Hlavní město Praha,10 000 až 19 999,0
2024,Počet obcí,Hlavní město Praha,20 000 až 49 999,0
2024,Počet obcí,Hlavní město Praha,50 000 až 99 999,0
2024,Počet obcí,Hlavní město Praha,100 000 a více,1
2024,Počet obcí,Středočeský kraj,Celkem,1144
2024,Počet obcí,Středočeský kraj,méně než 200,195
2024,Počet obcí,Středočeský kraj,200 až 499,366
2024,Počet obcí,Středočeský kraj,500 až 999,290
2024,Počet obcí,Středočeský kraj,1 000 až 1 9999,159
2024,Počet obcí,Středočeský kraj,2 000 až 4 999,89
2024,Počet obcí,Středočeský kraj,5 000 až 9 9999,22
2024,Počet obcí,Středočeský kraj,10 000 až 19 999,15
2024,Počet obcí,Středočeský kraj,20 000 až 49 999,7
2024,Počet obcí,Středočeský kraj,50 000 až 99 999,1
2024,Počet obcí,Středočeský kraj,100 000 a více,0
2024,Počet obcí,Jihočeský kraj,Celkem,624
2024,Počet obcí,Jihočeský kraj,méně než 200,224
2024,Počet obcí,Jihočeský kraj,200 až 499,208
2024,Počet obcí,Jihočeský kraj,500 až 999,83
2024,Počet obcí,Jihočeský kraj,1 000 až 1 9999,56
2024,Počet obcí,Jihočeský kraj,2 000 až 4 999,33
2024,Počet obcí,Jihočeský kraj,5 000 až 9 9999,13
2024,Počet obcí,Jihočeský kraj,10 000 až 19 999,2
2024,Počet obcí,Jihočeský kraj,20 000 až 49 999,4
2024,Počet obcí,Jihočeský kraj,50 000 až 99 999,1
2024,Počet obcí,Jihočeský kraj,100 000 a více,0
2024,Počet obcí,Plzeňský kraj,Celkem,501
2024,Počet obcí,Plzeňský kraj,méně než 200,159
2024,Počet obcí,Plzeňský kraj,200 až 499,167
2024,Počet obcí,Plzeňský kraj,500 až 999,78
2024,Počet obcí,Plzeňský kraj,1 000 až 1 9999,52
2024,Počet obcí,Plzeňský kraj,2 000 až 4 999,27
2024,Počet obcí,Plzeňský kraj,5 000 až 9 9999,12
2024,Počet obcí,Plzeňský kraj,10 000 až 19 999,4
2024,Počet obcí,Plzeňský kraj,20 000 až 49 999,1
2024,Počet obcí,Plzeňský kraj,50 000 až 99 999,0
2024,Počet obcí,Plzeňský kraj,100 000 a více,1
2024,Počet obcí,Karlovarský kraj,Celkem,134
2024,Počet obcí,Karlovarský kraj,méně než 200,13
2024,Počet obcí,Karlovarský kraj,200 až 499,45
2024,Počet obcí,Karlovarský kraj,500 až 999,32
2024,Počet obcí,Karlovarský kraj,1 000 až 1 9999,18
2024,Počet obcí,Karlovarský kraj,2 000 až 4 999,15
2024,Počet obcí,Karlovarský kraj,5 000 až 9 9999,4
2024,Počet obcí,Karlovarský kraj,10 000 až 19 999,4
2024,Počet obcí,Karlovarský kraj,20 000 až 49 999,3
2024,Počet obcí,Karlovarský kraj,50 000 až 99 999,0
2024,Počet obcí,Karlovarský kraj,100 000 a více,0
2024,Počet obcí,Ústecký kraj,Celkem,354
2024,Počet obcí,Ústecký kraj,méně než 200,40
2024,Počet obcí,Ústecký kraj,200 až 499,129
2024,Počet obcí,Ústecký kraj,500 až 999,86
2024,Počet obcí,Ústecký kraj,1 000 až 1 9999,47
2024,Počet obcí,Ústecký kraj,2 000 až 4 999,28
2024,Počet obcí,Ústecký kraj,5 000 až 9 9999,7
2024,Počet obcí,Ústecký kraj,10 000 až 19 999,10
2024,Počet obcí,Ústecký kraj,20 000 až 49 999,4
2024,Počet obcí,Ústecký kraj,50 000 až 99 999,3
2024,Počet obcí,Ústecký kraj,100 000 a více,0
2024,Počet obcí,Liberecký kraj,Celkem,215
2024,Počet obcí,Liberecký kraj,méně než 200,25
2024,Počet obcí,Liberecký kraj,200 až 499,65
2024,Počet obcí,Liberecký kraj,500 až 999,59
2024,Počet obcí,Liberecký kraj,1 000 až 1 9999,33
2024,Počet obcí,Liberecký kraj,2 000 až 4 999,18
2024,Počet obcí,Liberecký kraj,5 000 až 9 9999,10
2024,Počet obcí,Liberecký kraj,10 000 až 19 999,2
2024,Počet obcí,Liberecký kraj,20 000 až 49 999,2
2024,Počet obcí,Liberecký kraj,50 000 až 99 999,0
2024,Počet obcí,Liberecký kraj,100 000 a více,1
2024,Počet obcí,Královéhradecký kraj,Celkem,448
2024,Počet obcí,Královéhradecký kraj,méně než 200,92
2024,Počet obcí,Královéhradecký kraj,200 až 499,175
2024,Počet obcí,Královéhradecký kraj,500 až 999,98
2024,Počet obcí,Královéhradecký kraj,1 000 až 1 9999,40
2024,Počet obcí,Královéhradecký kraj,2 000 až 4 999,21
2024,Počet obcí,Královéhradecký kraj,5 000 až 9 9999,14
2024,Počet obcí,Královéhradecký kraj,10 000 až 19 999,6
2024,Počet obcí,Královéhradecký kraj,20 000 až 49 999,1
2024,Počet obcí,Královéhradecký kraj,50 000 až 99 999,1
2024,Počet obcí,Královéhradecký kraj,100 000 a více,0
2024,Počet obcí,Pardubický kraj,Celkem,451
2024,Počet obcí,Pardubický kraj,méně než 200,101
2024,Počet obcí,Pardubický kraj,200 až 499,172
2024,Počet obcí,Pardubický kraj,500 až 999,91
2024,Počet obcí,Pardubický kraj,1 000 až 1 9999,50
2024,Počet obcí,Pardubický kraj,2 000 až 4 999,20
2024,Počet obcí,Pardubický kraj,5 000 až 9 9999,9
2024,Počet obcí,Pardubický kraj,10 000 až 19 999,6
2024,Počet obcí,Pardubický kraj,20 000 až 49 999,1
2024,Počet obcí,Pardubický kraj,50 000 až 99 999,1
2024,Počet obcí,Pardubický kraj,100 000 a více,0
2024,Počet obcí,Kraj Vysočina,Celkem,704
2024,Počet obcí,Kraj Vysočina,méně než 200,316
2024,Počet obcí,Kraj Vysočina,200 až 499,219
2024,Počet obcí,Kraj Vysočina,500 až 999,101
2024,Počet obcí,Kraj Vysočina,1 000 až 1 9999,36
2024,Počet obcí,Kraj Vysočina,2 000 až 4 999,16
2024,Počet obcí,Kraj Vysočina,5 000 až 9 9999,9
2024,Počet obcí,Kraj Vysočina,10 000 až 19 999,3
2024,Počet obcí,Kraj Vysočina,20 000 až 49 999,3
2024,Počet obcí,Kraj Vysočina,50 000 až 99 999,1
2024,Počet obcí,Kraj Vysočina,100 000 a více,0
2024,Počet obcí,Jihomoravský kraj,Celkem,673
2024,Počet obcí,Jihomoravský kraj,méně než 200,104
2024,Počet obcí,Jihomoravský kraj,200 až 499,185
2024,Počet obcí,Jihomoravský kraj,500 až 999,185
2024,Počet obcí,Jihomoravský kraj,1 000 až 1 9999,110
2024,Počet obcí,Jihomoravský kraj,2 000 až 4 999,64
2024,Počet obcí,Jihomoravský kraj,5 000 až 9 9999,15
2024,Počet obcí,Jihomoravský kraj,10 000 až 19 999,4
2024,Počet obcí,Jihomoravský kraj,20 000 až 49 999,5
2024,Počet obcí,Jihomoravský kraj,50 000 až 99 999,0
2024,Počet obcí,Jihomoravský kraj,100 000 a více,1
2024,Počet obcí,Olomoucký kraj,Celkem,402
2024,Počet obcí,Olomoucký kraj,méně než 200,46
2024,Počet obcí,Olomoucký kraj,200 až 499,127
2024,Počet obcí,Olomoucký kraj,500 až 999,108
2024,Počet obcí,Olomoucký kraj,1 000 až 1 9999,76
2024,Počet obcí,Olomoucký kraj,2 000 až 4 999,32
2024,Počet obcí,Olomoucký kraj,5 000 až 9 9999,4
2024,Počet obcí,Olomoucký kraj,10 000 až 19 999,5
2024,Počet obcí,Olomoucký kraj,20 000 až 49 999,3
2024,Počet obcí,Olomoucký kraj,50 000 až 99 999,0
2024,Počet obcí,Olomoucký kraj,100 000 a více,1
2024,Počet obcí,Zlínský kraj,Celkem,307
2024,Počet obcí,Zlínský kraj,méně než 200,18
2024,Počet obcí,Zlínský kraj,200 až 499,83
2024,Počet obcí,Zlínský kraj,500 až 999,97
2024,Počet obcí,Zlínský kraj,1 000 až 1 9999,53
2024,Počet obcí,Zlínský kraj,2 000 až 4 999,38
2024,Počet obcí,Zlínský kraj,5 000 až 9 9999,9
2024,Počet obcí,Zlínský kraj,10 000 až 19 999,4
2024,Počet obcí,Zlínský kraj,20 000 až 49 999,4
2024,Počet obcí,Zlínský kraj,50 000 až 99 999,1
2024,Počet obcí,Zlínský kraj,100 000 a více,0
2024,Počet obcí,Moravskoslezský kraj,Celkem,300
2024,Počet obcí,Moravskoslezský kraj,méně než 200,14
2024,Počet obcí,Moravskoslezský kraj,200 až 499,57
2024,Počet obcí,Moravskoslezský kraj,500 až 999,70
2024,Počet obcí,Moravskoslezský kraj,1 000 až 1 9999,74
2024,Počet obcí,Moravskoslezský kraj,2 000 až 4 999,53
2024,Počet obcí,Moravskoslezský kraj,5 000 až 9 9999,17
2024,Počet obcí,Moravskoslezský kraj,10 000 až 19 999,3
2024,Počet obcí,Moravskoslezský kraj,20 000 až 49 999,8
2024,Počet obcí,Moravskoslezský kraj,50 000 až 99 999,3
2024,Počet obcí,Moravskoslezský kraj,100 000 a více,1
