Kategorie;Ukazatel;Čtvrtletí;ČR, kraje;value
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2024;Jihočeský kraj;58
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2024;Plzeňský kraj;73
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2024;Karlovarský kraj;19
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2024;Ústecký kraj;37
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2024;Liberecký kraj;39
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2024;Královéhradecký kraj;52
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2024;Pardubický kraj;64
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2024;Kraj Vysočina;169
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2024;Jihomoravský kraj;379
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2024;Olomoucký kraj;173
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2024;Zlínský kraj;65
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2024;Moravskoslezský kraj;68
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2024;Hlavní město Praha;1235
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2024;Středočeský kraj;278
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2024;Jihočeský kraj;119
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2024;Plzeňský kraj;140
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2024;Karlovarský kraj;19
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2024;Ústecký kraj;55
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2024;Liberecký kraj;71
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2024;Královéhradecký kraj;80
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2024;Pardubický kraj;159
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2024;Kraj Vysočina;282
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2024;Jihomoravský kraj;639
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2024;Olomoucký kraj;293
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2024;Zlínský kraj;104
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2024;Moravskoslezský kraj;142
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2024;Hlavní město Praha;875
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2024;Středočeský kraj;212
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2024;Jihočeský kraj;57
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2024;Plzeňský kraj;107
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2024;Karlovarský kraj;13
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2024;Ústecký kraj;33
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2024;Liberecký kraj;31
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2024;Královéhradecký kraj;55
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2024;Pardubický kraj;80
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2024;Kraj Vysočina;189
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2024;Jihomoravský kraj;432
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2024;Olomoucký kraj;199
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2024;Zlínský kraj;70
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2024;Moravskoslezský kraj;95
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2023;Hlavní město Praha;1180
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2023;Středočeský kraj;284
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2023;Jihočeský kraj;73
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2023;Plzeňský kraj;167
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2023;Karlovarský kraj;23
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2023;Ústecký kraj;40
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2023;Liberecký kraj;32
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2023;Královéhradecký kraj;61
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2023;Pardubický kraj;127
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2023;Kraj Vysočina;213
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2023;Jihomoravský kraj;659
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2023;Olomoucký kraj;322
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2023;Zlínský kraj;98
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2023;Moravskoslezský kraj;276
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2023;Hlavní město Praha;839
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2023;Středočeský kraj;135
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2023;Jihočeský kraj;60
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2023;Plzeňský kraj;83
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2023;Karlovarský kraj;4
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2023;Ústecký kraj;14
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2023;Liberecký kraj;27
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2023;Královéhradecký kraj;40
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2023;Pardubický kraj;77
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2023;Kraj Vysočina;162
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2023;Jihomoravský kraj;381
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2023;Olomoucký kraj;195
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2023;Zlínský kraj;46
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2023;Moravskoslezský kraj;88
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2023;Hlavní město Praha;1189
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2023;Středočeský kraj;268
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2023;Jihočeský kraj;108
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2023;Plzeňský kraj;155
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2023;Karlovarský kraj;18
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2023;Ústecký kraj;35
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2023;Liberecký kraj;66
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2023;Královéhradecký kraj;71
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2023;Pardubický kraj;137
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2023;Kraj Vysočina;276
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2023;Jihomoravský kraj;734
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2023;Olomoucký kraj;274
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2023;Zlínský kraj;112
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2023;Moravskoslezský kraj;178
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2023;Hlavní město Praha;1062
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2023;Středočeský kraj;201
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2023;Jihočeský kraj;62
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2023;Plzeňský kraj;99
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2023;Karlovarský kraj;12
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2023;Ústecký kraj;24
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2023;Liberecký kraj;29
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2023;Královéhradecký kraj;41
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2023;Pardubický kraj;124
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2023;Kraj Vysočina;172
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2023;Jihomoravský kraj;511
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2023;Olomoucký kraj;211
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2023;Zlínský kraj;61
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2023;Moravskoslezský kraj;106
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2022;Hlavní město Praha;1127
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2022;Středočeský kraj;260
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2022;Jihočeský kraj;67
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2022;Plzeňský kraj;176
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2022;Karlovarský kraj;29
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2022;Ústecký kraj;40
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2022;Liberecký kraj;53
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2022;Královéhradecký kraj;57
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2022;Pardubický kraj;182
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2022;Kraj Vysočina;206
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2022;Jihomoravský kraj;689
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2022;Olomoucký kraj;268
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2022;Zlínský kraj;90
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2022;Moravskoslezský kraj;138
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2022;Hlavní město Praha;753
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2022;Středočeský kraj;133
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2022;Jihočeský kraj;42
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2022;Plzeňský kraj;65
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2022;Karlovarský kraj;7
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2022;Ústecký kraj;27
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2022;Liberecký kraj;20
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2022;Královéhradecký kraj;23
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2022;Pardubický kraj;120
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2022;Kraj Vysočina;138
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2022;Jihomoravský kraj;340
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2022;Olomoucký kraj;141
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2022;Zlínský kraj;68
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2022;Moravskoslezský kraj;84
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2022;Hlavní město Praha;1036
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2022;Středočeský kraj;224
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2022;Jihočeský kraj;85
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2022;Plzeňský kraj;129
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2022;Karlovarský kraj;17
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2022;Ústecký kraj;39
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2022;Liberecký kraj;50
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2022;Královéhradecký kraj;64
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2022;Pardubický kraj;176
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2022;Kraj Vysočina;212
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2022;Jihomoravský kraj;688
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2022;Olomoucký kraj;280
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2022;Zlínský kraj;99
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2022;Moravskoslezský kraj;161
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2022;Hlavní město Praha;537
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2022;Středočeský kraj;77
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2022;Jihočeský kraj;22
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2022;Plzeňský kraj;62
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2022;Karlovarský kraj;16
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2022;Ústecký kraj;19
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2022;Liberecký kraj;10
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2022;Královéhradecký kraj;18
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2022;Pardubický kraj;59
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2022;Kraj Vysočina;82
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2022;Jihomoravský kraj;345
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2022;Olomoucký kraj;144
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2022;Zlínský kraj;22
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2022;Moravskoslezský kraj;60
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2021;Hlavní město Praha;614
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2021;Středočeský kraj;114
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2021;Jihočeský kraj;41
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2021;Plzeňský kraj;82
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2021;Karlovarský kraj;11
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2021;Ústecký kraj;24
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2021;Liberecký kraj;15
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2021;Královéhradecký kraj;35
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2021;Pardubický kraj;55
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2021;Kraj Vysočina;236
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2021;Jihomoravský kraj;365
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2021;Olomoucký kraj;112
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2021;Zlínský kraj;37
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2021;Moravskoslezský kraj;190
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2021;Hlavní město Praha;343
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2021;Středočeský kraj;116
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2021;Jihočeský kraj;43
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2021;Plzeňský kraj;55
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2021;Karlovarský kraj;12
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2021;Ústecký kraj;9
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2021;Liberecký kraj;19
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2021;Královéhradecký kraj;50
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2021;Pardubický kraj;67
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2021;Kraj Vysočina;202
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2021;Jihomoravský kraj;297
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2021;Olomoucký kraj;131
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2021;Zlínský kraj;93
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2021;Moravskoslezský kraj;62
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2021;Hlavní město Praha;125
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2021;Středočeský kraj;28
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2021;Jihočeský kraj;9
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2021;Plzeňský kraj;30
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2021;Karlovarský kraj;8
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2021;Ústecký kraj;4
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2021;Liberecký kraj;10
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2021;Královéhradecký kraj;11
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2021;Pardubický kraj;22
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2021;Kraj Vysočina;80
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2021;Jihomoravský kraj;74
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2021;Olomoucký kraj;37
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2021;Zlínský kraj;15
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2021;Moravskoslezský kraj;35
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2021;Hlavní město Praha;25
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2021;Středočeský kraj;0
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2021;Jihočeský kraj;0
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2021;Plzeňský kraj;0
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2021;Karlovarský kraj;0
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2021;Ústecký kraj;0
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2021;Liberecký kraj;0
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2021;Královéhradecký kraj;0
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2021;Pardubický kraj;0
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2021;Kraj Vysočina;1
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2021;Jihomoravský kraj;0
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2021;Olomoucký kraj;0
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2021;Zlínský kraj;10
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2021;Moravskoslezský kraj;12
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2020;Hlavní město Praha;33
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2020;Středočeský kraj;6
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2020;Jihočeský kraj;2
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2020;Plzeňský kraj;3
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2020;Karlovarský kraj;1
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2020;Ústecký kraj;8
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2020;Liberecký kraj;1
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2020;Královéhradecký kraj;1
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2020;Pardubický kraj;2
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2020;Kraj Vysočina;21
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2020;Jihomoravský kraj;50
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2020;Olomoucký kraj;10
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2020;Zlínský kraj;19
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2020;Moravskoslezský kraj;20
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2020;Hlavní město Praha;269
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2020;Středočeský kraj;81
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2020;Jihočeský kraj;18
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2020;Plzeňský kraj;45
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2020;Karlovarský kraj;36
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2020;Ústecký kraj;46
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2020;Liberecký kraj;40
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2020;Královéhradecký kraj;28
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2020;Pardubický kraj;43
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2020;Kraj Vysočina;108
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2020;Jihomoravský kraj;299
