Území;Čtvrtletí;Ukazatel;value
Česko;1. čtvrtletí 2021;Dovoz (meziroční index);108.4767312925
Česko;4. čtvrtletí 2020;Vývoz (v mil. Kč, FOB);985066.891231
Česko;4. čtvrtletí 2020;Dovoz (v mil. Kč, CIF);906187.129933
Česko;4. čtvrtletí 2020;Bilance (v mil. Kč);78879.761298
Česko;4. čtvrtletí 2020;Vývoz (meziroční index);107.4118522659
Česko;4. čtvrtletí 2020;Dovoz (meziroční index);100.2231493654
Česko;3. čtvrtletí 2020;Vývoz (v mil. Kč, FOB);863066.290116
Česko;3. čtvrtletí 2020;Dovoz (v mil. Kč, CIF);807779.453448
Česko;3. čtvrtletí 2020;Bilance (v mil. Kč);55286.836668
Česko;3. čtvrtletí 2020;Vývoz (meziroční index);96.4214388271
Česko;3. čtvrtletí 2020;Dovoz (meziroční index);93.1087635476
Česko;2. čtvrtletí 2020;Vývoz (v mil. Kč, FOB);710728.983718
Česko;2. čtvrtletí 2020;Dovoz (v mil. Kč, CIF);701437.833362
Česko;2. čtvrtletí 2020;Bilance (v mil. Kč);9291.150356
Česko;2. čtvrtletí 2020;Vývoz (meziroční index);74.9625024206
Česko;2. čtvrtletí 2020;Dovoz (meziroční index);78.7142717216
Česko;1. čtvrtletí 2020;Vývoz (v mil. Kč, FOB);871719.589298
Česko;1. čtvrtletí 2020;Dovoz (v mil. Kč, CIF);835537.160639
Česko;1. čtvrtletí 2020;Bilance (v mil. Kč);36182.428659
Česko;1. čtvrtletí 2020;Vývoz (meziroční index);93.5864363884
Česko;1. čtvrtletí 2020;Dovoz (meziroční index);94.601832379
Česko;4. čtvrtletí 2019;Vývoz (v mil. Kč, FOB);917093.291337
Česko;4. čtvrtletí 2019;Dovoz (v mil. Kč, CIF);904169.481473
Česko;4. čtvrtletí 2019;Bilance (v mil. Kč);12923.809864
Česko;4. čtvrtletí 2019;Vývoz (meziroční index);96.8363831145
Česko;4. čtvrtletí 2019;Dovoz (meziroční index);96.6801956137
Česko;3. čtvrtletí 2019;Vývoz (v mil. Kč, FOB);895097.91662
Česko;3. čtvrtletí 2019;Dovoz (v mil. Kč, CIF);867565.439246
Česko;3. čtvrtletí 2019;Bilance (v mil. Kč);27532.477374
Česko;3. čtvrtletí 2019;Vývoz (meziroční index);104.8286280232
Česko;3. čtvrtletí 2019;Dovoz (meziroční index);101.0984183013
Česko;2. čtvrtletí 2019;Vývoz (v mil. Kč, FOB);948112.670693
Česko;2. čtvrtletí 2019;Dovoz (v mil. Kč, CIF);891119.002972
Česko;2. čtvrtletí 2019;Bilance (v mil. Kč);56993.667721
Česko;2. čtvrtletí 2019;Vývoz (meziroční index);103.3683840658
Česko;2. čtvrtletí 2019;Dovoz (meziroční index);101.0619237694
Česko;1. čtvrtletí 2019;Vývoz (v mil. Kč, FOB);931459.325666
Česko;1. čtvrtletí 2019;Dovoz (v mil. Kč, CIF);883214.563214
Česko;1. čtvrtletí 2019;Bilance (v mil. Kč);48244.762452
Česko;1. čtvrtletí 2019;Vývoz (meziroční index);103.7143750821
Česko;1. čtvrtletí 2019;Dovoz (meziroční index);104.8123766789
Česko;4. čtvrtletí 2018;Vývoz (v mil. Kč, FOB);947054.466349
Česko;4. čtvrtletí 2018;Dovoz (v mil. Kč, CIF);935216.851532
Česko;4. čtvrtletí 2018;Bilance (v mil. Kč);11837.614817
Česko;4. čtvrtletí 2018;Vývoz (meziroční index);107.0878738692
Česko;4. čtvrtletí 2018;Dovoz (meziroční index);107.7846796086
Česko;3. čtvrtletí 2018;Vývoz (v mil. Kč, FOB);853867.815977
Česko;3. čtvrtletí 2018;Dovoz (v mil. Kč, CIF);858139.478167
Česko;3. čtvrtletí 2018;Bilance (v mil. Kč);-4271.66219
Česko;3. čtvrtletí 2018;Vývoz (meziroční index);104.9120486976
Česko;3. čtvrtletí 2018;Dovoz (meziroční index);108.3224106009
Česko;2. čtvrtletí 2018;Vývoz (v mil. Kč, FOB);917217.270311
Česko;2. čtvrtletí 2018;Dovoz (v mil. Kč, CIF);881755.432447
Česko;2. čtvrtletí 2018;Bilance (v mil. Kč);35461.837864
Česko;2. čtvrtletí 2018;Vývoz (meziroční index);101.3894196447
Česko;2. čtvrtletí 2018;Dovoz (meziroční index);103.3878866759
Česko;1. čtvrtletí 2018;Vývoz (v mil. Kč, FOB);898100.504321
Česko;1. čtvrtletí 2018;Dovoz (v mil. Kč, CIF);842662.470979
Česko;1. čtvrtletí 2018;Bilance (v mil. Kč);55438.033342
Česko;1. čtvrtletí 2018;Vývoz (meziroční index);98.6935658103
Česko;1. čtvrtletí 2018;Dovoz (meziroční index);100.7139244002
Česko;4. čtvrtletí 2017;Vývoz (v mil. Kč, FOB);884371.341153
Česko;4. čtvrtletí 2017;Dovoz (v mil. Kč, CIF);867671.464872
Česko;4. čtvrtletí 2017;Bilance (v mil. Kč);16699.876281
Česko;4. čtvrtletí 2017;Vývoz (meziroční index);105.9059886317
Česko;4. čtvrtletí 2017;Dovoz (meziroční index);105.7641002001
Česko;3. čtvrtletí 2017;Vývoz (v mil. Kč, FOB);813889.182965
Česko;3. čtvrtletí 2017;Dovoz (v mil. Kč, CIF);792208.823563
Česko;3. čtvrtletí 2017;Bilance (v mil. Kč);21680.359402
Česko;3. čtvrtletí 2017;Vývoz (meziroční index);104.5988102195
Česko;3. čtvrtletí 2017;Dovoz (meziroční index);105.400404508
Česko;2. čtvrtletí 2017;Vývoz (v mil. Kč, FOB);904647.914472
Česko;2. čtvrtletí 2017;Dovoz (v mil. Kč, CIF);852861.565975
Česko;2. čtvrtletí 2017;Bilance (v mil. Kč);51786.348497
Česko;2. čtvrtletí 2017;Vývoz (meziroční index);105.2961538121
Česko;2. čtvrtletí 2017;Dovoz (meziroční index);106.8264997704
Česko;1. čtvrtletí 2017;Vývoz (v mil. Kč, FOB);909988.910571
Česko;1. čtvrtletí 2017;Dovoz (v mil. Kč, CIF);836689.146825
Česko;1. čtvrtletí 2017;Bilance (v mil. Kč);73299.763746
Česko;1. čtvrtletí 2017;Vývoz (meziroční index);110.0613727032
Česko;1. čtvrtletí 2017;Dovoz (meziroční index);109.3585073813
Česko;4. čtvrtletí 2016;Vývoz (v mil. Kč, FOB);835053.194422
Česko;4. čtvrtletí 2016;Dovoz (v mil. Kč, CIF);820383.724941
Česko;4. čtvrtletí 2016;Bilance (v mil. Kč);14669.469481
Česko;4. čtvrtletí 2016;Vývoz (meziroční index);100.4139121735
Česko;4. čtvrtletí 2016;Dovoz (meziroční index);101.5393475803
Česko;3. čtvrtletí 2016;Vývoz (v mil. Kč, FOB);778105.583856
Česko;3. čtvrtletí 2016;Dovoz (v mil. Kč, CIF);751618.390139
Česko;3. čtvrtletí 2016;Bilance (v mil. Kč);26487.193717
Česko;3. čtvrtletí 2016;Vývoz (meziroční index);98.718578557
Česko;3. čtvrtletí 2016;Dovoz (meziroční index);97.6642187232
Česko;2. čtvrtletí 2016;Vývoz (v mil. Kč, FOB);859146.209734
Česko;2. čtvrtletí 2016;Dovoz (v mil. Kč, CIF);798361.425122
Česko;2. čtvrtletí 2016;Bilance (v mil. Kč);60784.784612
Česko;2. čtvrtletí 2016;Vývoz (meziroční index);103.7486751196
Česko;2. čtvrtletí 2016;Dovoz (meziroční index);100.7371229725
