Ukazatel,Rok sčítání,Pohlaví,Území,Náboženská víra,value
Počet obyvatel (obvyklý pobyt),2021,Celkem,Plzeňský kraj,Neuvedeno,187495
Počet obyvatel (obvyklý pobyt),2021,Celkem,Karlovarský kraj,Obyvatelstvo celkem,279103
Počet obyvatel (obvyklý pobyt),2021,Celkem,Karlovarský kraj,"Věřící - hlásící se k církvi, náboženské společnosti nebo směru",19088
Počet obyvatel (obvyklý pobyt),2021,Celkem,Karlovarský kraj,Církev římskokatolická,6464
Počet obyvatel (obvyklý pobyt),2021,Celkem,Karlovarský kraj,Církev československá husitská,325
Počet obyvatel (obvyklý pobyt),2021,Celkem,Karlovarský kraj,Českobratrská církev evangelická,648
Počet obyvatel (obvyklý pobyt),2021,Celkem,Karlovarský kraj,"Věřící - nehlásící se k církvi, náboženské společnosti nebo směru",20082
Počet obyvatel (obvyklý pobyt),2021,Celkem,Karlovarský kraj,Bez náboženské víry,151389
Počet obyvatel (obvyklý pobyt),2021,Celkem,Karlovarský kraj,Neuvedeno,88544
Počet obyvatel (obvyklý pobyt),2021,Celkem,Ústecký kraj,Obyvatelstvo celkem,789098
Počet obyvatel (obvyklý pobyt),2021,Celkem,Ústecký kraj,"Věřící - hlásící se k církvi, náboženské společnosti nebo směru",39557
Počet obyvatel (obvyklý pobyt),2021,Celkem,Ústecký kraj,Církev římskokatolická,13206
Počet obyvatel (obvyklý pobyt),2021,Celkem,Ústecký kraj,Církev československá husitská,935
Počet obyvatel (obvyklý pobyt),2021,Celkem,Ústecký kraj,Českobratrská církev evangelická,1000
Počet obyvatel (obvyklý pobyt),2021,Celkem,Ústecký kraj,"Věřící - nehlásící se k církvi, náboženské společnosti nebo směru",47189
Počet obyvatel (obvyklý pobyt),2021,Celkem,Ústecký kraj,Bez náboženské víry,462065
Počet obyvatel (obvyklý pobyt),2021,Celkem,Ústecký kraj,Neuvedeno,240287
Počet obyvatel (obvyklý pobyt),2021,Celkem,Liberecký kraj,Obyvatelstvo celkem,435220
Počet obyvatel (obvyklý pobyt),2021,Celkem,Liberecký kraj,"Věřící - hlásící se k církvi, náboženské společnosti nebo směru",28648
Počet obyvatel (obvyklý pobyt),2021,Celkem,Liberecký kraj,Církev římskokatolická,10444
Počet obyvatel (obvyklý pobyt),2021,Celkem,Liberecký kraj,Církev československá husitská,1479
Počet obyvatel (obvyklý pobyt),2021,Celkem,Liberecký kraj,Českobratrská církev evangelická,924
Počet obyvatel (obvyklý pobyt),2021,Celkem,Liberecký kraj,"Věřící - nehlásící se k církvi, náboženské společnosti nebo směru",30136
Počet obyvatel (obvyklý pobyt),2021,Celkem,Liberecký kraj,Bez náboženské víry,244171
Počet obyvatel (obvyklý pobyt),2021,Celkem,Liberecký kraj,Neuvedeno,132265
Počet obyvatel (obvyklý pobyt),2021,Celkem,Královéhradecký kraj,Obyvatelstvo celkem,538303
Počet obyvatel (obvyklý pobyt),2021,Celkem,Královéhradecký kraj,"Věřící - hlásící se k církvi, náboženské společnosti nebo směru",49754
Počet obyvatel (obvyklý pobyt),2021,Celkem,Královéhradecký kraj,Církev římskokatolická,22987
Počet obyvatel (obvyklý pobyt),2021,Celkem,Královéhradecký kraj,Církev československá husitská,2757
Počet obyvatel (obvyklý pobyt),2021,Celkem,Královéhradecký kraj,Českobratrská církev evangelická,1373
Počet obyvatel (obvyklý pobyt),2021,Celkem,Královéhradecký kraj,"Věřící - nehlásící se k církvi, náboženské společnosti nebo směru",42249
Počet obyvatel (obvyklý pobyt),2021,Celkem,Královéhradecký kraj,Bez náboženské víry,279746
Počet obyvatel (obvyklý pobyt),2021,Celkem,Královéhradecký kraj,Neuvedeno,166554
Počet obyvatel (obvyklý pobyt),2021,Celkem,Pardubický kraj,Obyvatelstvo celkem,510037
Počet obyvatel (obvyklý pobyt),2021,Celkem,Pardubický kraj,"Věřící - hlásící se k církvi, náboženské společnosti nebo směru",61583
Počet obyvatel (obvyklý pobyt),2021,Celkem,Pardubický kraj,Církev římskokatolická,31184
Počet obyvatel (obvyklý pobyt),2021,Celkem,Pardubický kraj,Církev československá husitská,1242
Počet obyvatel (obvyklý pobyt),2021,Celkem,Pardubický kraj,Českobratrská církev evangelická,2897
Počet obyvatel (obvyklý pobyt),2021,Celkem,Pardubický kraj,"Věřící - nehlásící se k církvi, náboženské společnosti nebo směru",41788
Počet obyvatel (obvyklý pobyt),2021,Celkem,Pardubický kraj,Bez náboženské víry,248712
Počet obyvatel (obvyklý pobyt),2021,Celkem,Pardubický kraj,Neuvedeno,157954
Počet obyvatel (obvyklý pobyt),2021,Celkem,Kraj Vysočina,Obyvatelstvo celkem,497661
Počet obyvatel (obvyklý pobyt),2021,Celkem,Kraj Vysočina,"Věřící - hlásící se k církvi, náboženské společnosti nebo směru",103776
Počet obyvatel (obvyklý pobyt),2021,Celkem,Kraj Vysočina,Církev římskokatolická,67695
Počet obyvatel (obvyklý pobyt),2021,Celkem,Kraj Vysočina,Církev československá husitská,620
Počet obyvatel (obvyklý pobyt),2021,Celkem,Kraj Vysočina,Českobratrská církev evangelická,2867
Počet obyvatel (obvyklý pobyt),2021,Celkem,Kraj Vysočina,"Věřící - nehlásící se k církvi, náboženské společnosti nebo směru",49016
Počet obyvatel (obvyklý pobyt),2021,Celkem,Kraj Vysočina,Bez náboženské víry,189326
Počet obyvatel (obvyklý pobyt),2021,Celkem,Kraj Vysočina,Neuvedeno,155543
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihomoravský kraj,Obyvatelstvo celkem,1197651
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihomoravský kraj,"Věřící - hlásící se k církvi, náboženské společnosti nebo směru",230654
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihomoravský kraj,Církev římskokatolická,148598
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihomoravský kraj,Církev československá husitská,3045
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihomoravský kraj,Českobratrská církev evangelická,4206
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihomoravský kraj,"Věřící - nehlásící se k církvi, náboženské společnosti nebo směru",134443
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihomoravský kraj,Bez náboženské víry,495772
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihomoravský kraj,Neuvedeno,336782
Počet obyvatel (obvyklý pobyt),2021,Celkem,Olomoucký kraj,Obyvatelstvo celkem,619788
Počet obyvatel (obvyklý pobyt),2021,Celkem,Olomoucký kraj,"Věřící - hlásící se k církvi, náboženské společnosti nebo směru",89593
Počet obyvatel (obvyklý pobyt),2021,Celkem,Olomoucký kraj,Církev římskokatolická,58156
Počet obyvatel (obvyklý pobyt),2021,Celkem,Olomoucký kraj,Církev československá husitská,1731
Počet obyvatel (obvyklý pobyt),2021,Celkem,Olomoucký kraj,Českobratrská církev evangelická,1254
Počet obyvatel (obvyklý pobyt),2021,Celkem,Olomoucký kraj,"Věřící - nehlásící se k církvi, náboženské společnosti nebo směru",63065
Počet obyvatel (obvyklý pobyt),2021,Celkem,Olomoucký kraj,Bez náboženské víry,281458
Počet obyvatel (obvyklý pobyt),2021,Celkem,Olomoucký kraj,Neuvedeno,185672
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zlínský kraj,Obyvatelstvo celkem,564331
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zlínský kraj,"Věřící - hlásící se k církvi, náboženské společnosti nebo směru",155475
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zlínský kraj,Církev římskokatolická,102833
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zlínský kraj,Církev československá husitská,739
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zlínský kraj,Českobratrská církev evangelická,4350
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zlínský kraj,"Věřící - nehlásící se k církvi, náboženské společnosti nebo směru",64469
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zlínský kraj,Bez náboženské víry,182575
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zlínský kraj,Neuvedeno,161812
Počet obyvatel (obvyklý pobyt),2021,Celkem,Moravskoslezský kraj,Obyvatelstvo celkem,1162841
Počet obyvatel (obvyklý pobyt),2021,Celkem,Moravskoslezský kraj,"Věřící - hlásící se k církvi, náboženské společnosti nebo směru",206846
Počet obyvatel (obvyklý pobyt),2021,Celkem,Moravskoslezský kraj,Církev římskokatolická,108550
Počet obyvatel (obvyklý pobyt),2021,Celkem,Moravskoslezský kraj,Církev československá husitská,1888
Počet obyvatel (obvyklý pobyt),2021,Celkem,Moravskoslezský kraj,Českobratrská církev evangelická,2266
Počet obyvatel (obvyklý pobyt),2021,Celkem,Moravskoslezský kraj,"Věřící - nehlásící se k církvi, náboženské společnosti nebo směru",116852
Počet obyvatel (obvyklý pobyt),2021,Celkem,Moravskoslezský kraj,Bez náboženské víry,494913
Počet obyvatel (obvyklý pobyt),2021,Celkem,Moravskoslezský kraj,Neuvedeno,344230
