Pohlaví;ČR a kraje;Věkové skupiny;Ukazatel;Roky;Stupeň závislosti u příspěvku na péči;value
Celkem;Česko;Celkem;Příjemci příspěvku na péči podle stupně závislosti v prosinci daného roku;2018;I. stupeň závislosti;105490
Celkem;Česko;Celkem;Příjemci příspěvku na péči podle stupně závislosti v prosinci daného roku;2018;II. stupeň závislosti;115946
Celkem;Česko;Celkem;Příjemci příspěvku na péči podle stupně závislosti v prosinci daného roku;2018;III. stupeň závislosti;85769
Celkem;Česko;Celkem;Příjemci příspěvku na péči podle stupně závislosti v prosinci daného roku;2018;IV. stupeň závislosti;51018
Celkem;Česko;Celkem;Příjemci příspěvku na péči podle stupně závislosti v prosinci daného roku;2019;Celkem;363659
Celkem;Česko;Celkem;Příjemci příspěvku na péči podle stupně závislosti v prosinci daného roku;2019;I. stupeň závislosti;104711
Celkem;Česko;Celkem;Příjemci příspěvku na péči podle stupně závislosti v prosinci daného roku;2019;II. stupeň závislosti;116735
Celkem;Česko;Celkem;Příjemci příspěvku na péči podle stupně závislosti v prosinci daného roku;2019;III. stupeň závislosti;88768
Celkem;Česko;Celkem;Příjemci příspěvku na péči podle stupně závislosti v prosinci daného roku;2019;IV. stupeň závislosti;53445
Celkem;Česko;Celkem;Příjemci příspěvku na péči podle stupně závislosti v prosinci daného roku;2020;Celkem;359518
Celkem;Česko;Celkem;Příjemci příspěvku na péči podle stupně závislosti v prosinci daného roku;2020;I. stupeň závislosti;99808
Celkem;Česko;Celkem;Příjemci příspěvku na péči podle stupně závislosti v prosinci daného roku;2020;II. stupeň závislosti;114490
Celkem;Česko;Celkem;Příjemci příspěvku na péči podle stupně závislosti v prosinci daného roku;2020;III. stupeň závislosti;91511
Celkem;Česko;Celkem;Příjemci příspěvku na péči podle stupně závislosti v prosinci daného roku;2020;IV. stupeň závislosti;53709
Celkem;Česko;Celkem;Příjemci příspěvku na péči podle stupně závislosti v prosinci daného roku;2021;Celkem;358511
Celkem;Česko;Celkem;Příjemci příspěvku na péči podle stupně závislosti v prosinci daného roku;2021;I. stupeň závislosti;97824
Celkem;Česko;Celkem;Příjemci příspěvku na péči podle stupně závislosti v prosinci daného roku;2021;II. stupeň závislosti;112865
Celkem;Česko;Celkem;Příjemci příspěvku na péči podle stupně závislosti v prosinci daného roku;2021;III. stupeň závislosti;92936
Celkem;Česko;Celkem;Příjemci příspěvku na péči podle stupně závislosti v prosinci daného roku;2021;IV. stupeň závislosti;54886
Celkem;Česko;Celkem;Příjemci příspěvku na péči podle stupně závislosti v prosinci daného roku;2022;Celkem;364308
Celkem;Česko;Celkem;Příjemci příspěvku na péči podle stupně závislosti v prosinci daného roku;2022;I. stupeň závislosti;98641
Celkem;Česko;Celkem;Příjemci příspěvku na péči podle stupně závislosti v prosinci daného roku;2022;II. stupeň závislosti;114015
Celkem;Česko;Celkem;Příjemci příspěvku na péči podle stupně závislosti v prosinci daného roku;2022;III. stupeň závislosti;95672
Celkem;Česko;Celkem;Příjemci příspěvku na péči podle stupně závislosti v prosinci daného roku;2022;IV. stupeň závislosti;55980
Celkem;Česko;Celkem;Příjemci příspěvku na péči podle stupně závislosti v prosinci daného roku;2023;Celkem;368174
Celkem;Česko;Celkem;Příjemci příspěvku na péči podle stupně závislosti v prosinci daného roku;2023;I. stupeň závislosti;100310
Celkem;Česko;Celkem;Příjemci příspěvku na péči podle stupně závislosti v prosinci daného roku;2023;II. stupeň závislosti;113876
Celkem;Česko;Celkem;Příjemci příspěvku na péči podle stupně závislosti v prosinci daného roku;2023;III. stupeň závislosti;97011
Celkem;Česko;Celkem;Příjemci příspěvku na péči podle stupně závislosti v prosinci daného roku;2023;IV. stupeň závislosti;56977
