Kumulace čtvrtletí,Pohlaví,"ČR, kraje",Ukazatel,value
Q1-Q2 2025,Celkem,Liberecký kraj,Zemřelí ve věku 70 - 79 let,755.0
Q1-Q2 2025,Celkem,Liberecký kraj,Zemřelí ve věku 80 - 89 let,739.0
Q1-Q2 2025,Celkem,Liberecký kraj,Zemřelí ve věku 90 a více let,319.0
Q1-Q2 2025,Celkem,Liberecký kraj,Kojenecká úmrtnost,3.285151117
Q1-Q2 2025,Celkem,Královéhradecký kraj,Zemřelí,3085.0
Q1-Q2 2025,Celkem,Královéhradecký kraj,Zemřelí do 1 roku,8.0
Q1-Q2 2025,Celkem,Královéhradecký kraj,Zemřelí ve věku 1 - 14 let,3.0
Q1-Q2 2025,Celkem,Královéhradecký kraj,Zemřelí ve věku 15 - 39 let,48.0
Q1-Q2 2025,Celkem,Královéhradecký kraj,Zemřelí ve věku 40 - 49 let,72.0
Q1-Q2 2025,Celkem,Královéhradecký kraj,Zemřelí ve věku 50 - 59 let,151.0
Q1-Q2 2025,Celkem,Královéhradecký kraj,Zemřelí ve věku 60 - 69 let,333.0
Q1-Q2 2025,Celkem,Královéhradecký kraj,Zemřelí ve věku 70 - 79 let,909.0
Q1-Q2 2025,Celkem,Královéhradecký kraj,Zemřelí ve věku 80 - 89 let,1056.0
Q1-Q2 2025,Celkem,Královéhradecký kraj,Zemřelí ve věku 90 a více let,505.0
Q1-Q2 2025,Celkem,Královéhradecký kraj,Kojenecká úmrtnost,4.166666667
Q1-Q2 2025,Celkem,Pardubický kraj,Zemřelí,2768.0
Q1-Q2 2025,Celkem,Pardubický kraj,Zemřelí do 1 roku,3.0
Q1-Q2 2025,Celkem,Pardubický kraj,Zemřelí ve věku 1 - 14 let,7.0
Q1-Q2 2025,Celkem,Pardubický kraj,Zemřelí ve věku 15 - 39 let,49.0
Q1-Q2 2025,Celkem,Pardubický kraj,Zemřelí ve věku 40 - 49 let,76.0
Q1-Q2 2025,Celkem,Pardubický kraj,Zemřelí ve věku 50 - 59 let,147.0
Q1-Q2 2025,Celkem,Pardubický kraj,Zemřelí ve věku 60 - 69 let,355.0
Q1-Q2 2025,Celkem,Pardubický kraj,Zemřelí ve věku 70 - 79 let,788.0
Q1-Q2 2025,Celkem,Pardubický kraj,Zemřelí ve věku 80 - 89 let,905.0
Q1-Q2 2025,Celkem,Pardubický kraj,Zemřelí ve věku 90 a více let,438.0
Q1-Q2 2025,Celkem,Pardubický kraj,Kojenecká úmrtnost,1.642036125
Q1-Q2 2025,Celkem,Kraj Vysočina,Zemřelí,2775.0
Q1-Q2 2025,Celkem,Kraj Vysočina,Zemřelí do 1 roku,8.0
Q1-Q2 2025,Celkem,Kraj Vysočina,Zemřelí ve věku 1 - 14 let,2.0
Q1-Q2 2025,Celkem,Kraj Vysočina,Zemřelí ve věku 15 - 39 let,42.0
Q1-Q2 2025,Celkem,Kraj Vysočina,Zemřelí ve věku 40 - 49 let,73.0
Q1-Q2 2025,Celkem,Kraj Vysočina,Zemřelí ve věku 50 - 59 let,155.0
Q1-Q2 2025,Celkem,Kraj Vysočina,Zemřelí ve věku 60 - 69 let,356.0
Q1-Q2 2025,Celkem,Kraj Vysočina,Zemřelí ve věku 70 - 79 let,798.0
Q1-Q2 2025,Celkem,Kraj Vysočina,Zemřelí ve věku 80 - 89 let,916.0
Q1-Q2 2025,Celkem,Kraj Vysočina,Zemřelí ve věku 90 a více let,425.0
Q1-Q2 2025,Celkem,Kraj Vysočina,Kojenecká úmrtnost,4.175365345
Q1-Q2 2025,Celkem,Jihomoravský kraj,Zemřelí,6397.0
Q1-Q2 2025,Celkem,Jihomoravský kraj,Zemřelí do 1 roku,7.0
Q1-Q2 2025,Celkem,Jihomoravský kraj,Zemřelí ve věku 1 - 14 let,17.0
Q1-Q2 2025,Celkem,Jihomoravský kraj,Zemřelí ve věku 15 - 39 let,95.0
Q1-Q2 2025,Celkem,Jihomoravský kraj,Zemřelí ve věku 40 - 49 let,160.0
Q1-Q2 2025,Celkem,Jihomoravský kraj,Zemřelí ve věku 50 - 59 let,361.0
Q1-Q2 2025,Celkem,Jihomoravský kraj,Zemřelí ve věku 60 - 69 let,767.0
Q1-Q2 2025,Celkem,Jihomoravský kraj,Zemřelí ve věku 70 - 79 let,1757.0
Q1-Q2 2025,Celkem,Jihomoravský kraj,Zemřelí ve věku 80 - 89 let,2197.0
Q1-Q2 2025,Celkem,Jihomoravský kraj,Zemřelí ve věku 90 a více let,1036.0
Q1-Q2 2025,Celkem,Jihomoravský kraj,Kojenecká úmrtnost,1.676245211
Q1-Q2 2025,Celkem,Olomoucký kraj,Zemřelí,3536.0
Q1-Q2 2025,Celkem,Olomoucký kraj,Zemřelí do 1 roku,7.0
Q1-Q2 2025,Celkem,Olomoucký kraj,Zemřelí ve věku 1 - 14 let,3.0
Q1-Q2 2025,Celkem,Olomoucký kraj,Zemřelí ve věku 15 - 39 let,66.0
Q1-Q2 2025,Celkem,Olomoucký kraj,Zemřelí ve věku 40 - 49 let,104.0
Q1-Q2 2025,Celkem,Olomoucký kraj,Zemřelí ve věku 50 - 59 let,203.0
Q1-Q2 2025,Celkem,Olomoucký kraj,Zemřelí ve věku 60 - 69 let,476.0
Q1-Q2 2025,Celkem,Olomoucký kraj,Zemřelí ve věku 70 - 79 let,1014.0
Q1-Q2 2025,Celkem,Olomoucký kraj,Zemřelí ve věku 80 - 89 let,1158.0
Q1-Q2 2025,Celkem,Olomoucký kraj,Zemřelí ve věku 90 a více let,505.0
Q1-Q2 2025,Celkem,Olomoucký kraj,Kojenecká úmrtnost,3.163126977
Q1-Q2 2025,Celkem,Zlínský kraj,Zemřelí,3131.0
Q1-Q2 2025,Celkem,Zlínský kraj,Zemřelí do 1 roku,5.0
Q1-Q2 2025,Celkem,Zlínský kraj,Zemřelí ve věku 1 - 14 let,4.0
Q1-Q2 2025,Celkem,Zlínský kraj,Zemřelí ve věku 15 - 39 let,38.0
Q1-Q2 2025,Celkem,Zlínský kraj,Zemřelí ve věku 40 - 49 let,80.0
Q1-Q2 2025,Celkem,Zlínský kraj,Zemřelí ve věku 50 - 59 let,175.0
Q1-Q2 2025,Celkem,Zlínský kraj,Zemřelí ve věku 60 - 69 let,370.0
Q1-Q2 2025,Celkem,Zlínský kraj,Zemřelí ve věku 70 - 79 let,847.0
Q1-Q2 2025,Celkem,Zlínský kraj,Zemřelí ve věku 80 - 89 let,1054.0
Q1-Q2 2025,Celkem,Zlínský kraj,Zemřelí ve věku 90 a více let,558.0
Q1-Q2 2025,Celkem,Zlínský kraj,Kojenecká úmrtnost,2.553626149
Q1-Q2 2025,Celkem,Moravskoslezský kraj,Zemřelí,6975.0
Q1-Q2 2025,Celkem,Moravskoslezský kraj,Zemřelí do 1 roku,8.0
Q1-Q2 2025,Celkem,Moravskoslezský kraj,Zemřelí ve věku 1 - 14 let,6.0
Q1-Q2 2025,Celkem,Moravskoslezský kraj,Zemřelí ve věku 15 - 39 let,110.0
Q1-Q2 2025,Celkem,Moravskoslezský kraj,Zemřelí ve věku 40 - 49 let,198.0
Q1-Q2 2025,Celkem,Moravskoslezský kraj,Zemřelí ve věku 50 - 59 let,458.0
Q1-Q2 2025,Celkem,Moravskoslezský kraj,Zemřelí ve věku 60 - 69 let,983.0
Q1-Q2 2025,Celkem,Moravskoslezský kraj,Zemřelí ve věku 70 - 79 let,2078.0
Q1-Q2 2025,Celkem,Moravskoslezský kraj,Zemřelí ve věku 80 - 89 let,2236.0
Q1-Q2 2025,Celkem,Moravskoslezský kraj,Zemřelí ve věku 90 a více let,898.0
Q1-Q2 2025,Celkem,Moravskoslezský kraj,Kojenecká úmrtnost,2.027369488
