Ukazatel,Rok sčítání,Ekonomická aktivita,Území,Místo pracoviště,value
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Středočeský kraj,Na adrese obvyklého pobytu,129193
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Středočeský kraj,Na jiné adrese v obci obvyklého pobytu,95086
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Středočeský kraj,V jiné obci okresu,159920
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Středočeský kraj,V jiném okrese kraje,60712
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Středočeský kraj,V jiném kraji,186833
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Středočeský kraj,V zahraničí,3382
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Středočeský kraj,Bez stálého pracoviště,71851
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Středočeský kraj,Nezjištěno,19910
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Jihočeský kraj,Zaměstnaní celkem,314154
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Jihočeský kraj,Na adrese obvyklého pobytu,67611
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Jihočeský kraj,Na jiné adrese v obci obvyklého pobytu,73895
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Jihočeský kraj,V jiné obci okresu,88006
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Jihočeský kraj,V jiném okrese kraje,24216
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Jihočeský kraj,V jiném kraji,12926
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Jihočeský kraj,V zahraničí,9255
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Jihočeský kraj,Bez stálého pracoviště,29025
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Jihočeský kraj,Nezjištěno,9220
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Plzeňský kraj,Zaměstnaní celkem,295810
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Plzeňský kraj,Na adrese obvyklého pobytu,54151
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Plzeňský kraj,Na jiné adrese v obci obvyklého pobytu,79032
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Plzeňský kraj,V jiné obci okresu,55458
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Plzeňský kraj,V jiném okrese kraje,52307
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Plzeňský kraj,V jiném kraji,10695
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Plzeňský kraj,V zahraničí,10630
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Plzeňský kraj,Bez stálého pracoviště,24448
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Plzeňský kraj,Nezjištěno,9089
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Karlovarský kraj,Zaměstnaní celkem,130956
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Karlovarský kraj,Na adrese obvyklého pobytu,29633
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Karlovarský kraj,Na jiné adrese v obci obvyklého pobytu,28077
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Karlovarský kraj,V jiné obci okresu,32258
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Karlovarský kraj,V jiném okrese kraje,9737
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Karlovarský kraj,V jiném kraji,5477
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Karlovarský kraj,V zahraničí,11108
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Karlovarský kraj,Bez stálého pracoviště,10113
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Karlovarský kraj,Nezjištěno,4553
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Ústecký kraj,Zaměstnaní celkem,369950
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Ústecký kraj,Na adrese obvyklého pobytu,76638
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Ústecký kraj,Na jiné adrese v obci obvyklého pobytu,84536
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Ústecký kraj,V jiné obci okresu,93894
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Ústecký kraj,V jiném okrese kraje,31584
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Ústecký kraj,V jiném kraji,27145
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Ústecký kraj,V zahraničí,10610
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Ústecký kraj,Bez stálého pracoviště,31717
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Ústecký kraj,Nezjištěno,13826
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Liberecký kraj,Zaměstnaní celkem,213877
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Liberecký kraj,Na adrese obvyklého pobytu,44983
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Liberecký kraj,Na jiné adrese v obci obvyklého pobytu,57122
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Liberecký kraj,V jiné obci okresu,47590
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Liberecký kraj,V jiném okrese kraje,16917
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Liberecký kraj,V jiném kraji,18551
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Liberecký kraj,V zahraničí,1879
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Liberecký kraj,Bez stálého pracoviště,19108
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Liberecký kraj,Nezjištěno,7727
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Královéhradecký kraj,Zaměstnaní celkem,266948
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Královéhradecký kraj,Na adrese obvyklého pobytu,55371
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Královéhradecký kraj,Na jiné adrese v obci obvyklého pobytu,64705
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Královéhradecký kraj,V jiné obci okresu,75941
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Královéhradecký kraj,V jiném okrese kraje,18925
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Královéhradecký kraj,V jiném kraji,18373
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Královéhradecký kraj,V zahraničí,1349
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Královéhradecký kraj,Bez stálého pracoviště,24107
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Královéhradecký kraj,Nezjištěno,8177
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Pardubický kraj,Zaměstnaní celkem,255984
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Pardubický kraj,Na adrese obvyklého pobytu,49736
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Pardubický kraj,Na jiné adrese v obci obvyklého pobytu,61411
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Pardubický kraj,V jiné obci okresu,73041
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Pardubický kraj,V jiném okrese kraje,18447
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Pardubický kraj,V jiném kraji,22113
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Pardubický kraj,V zahraničí,1375
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Pardubický kraj,Bez stálého pracoviště,23067
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Pardubický kraj,Nezjištěno,6794
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Kraj Vysočina,Zaměstnaní celkem,246077
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Kraj Vysočina,Na adrese obvyklého pobytu,48735
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Kraj Vysočina,Na jiné adrese v obci obvyklého pobytu,57784
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Kraj Vysočina,V jiné obci okresu,75819
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Kraj Vysočina,V jiném okrese kraje,14942
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Kraj Vysočina,V jiném kraji,18369
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Kraj Vysočina,V zahraničí,1803
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Kraj Vysočina,Bez stálého pracoviště,22756
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Kraj Vysočina,Nezjištěno,5869
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Jihomoravský kraj,Zaměstnaní celkem,603968
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Jihomoravský kraj,Na adrese obvyklého pobytu,106082
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Jihomoravský kraj,Na jiné adrese v obci obvyklého pobytu,185188
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Jihomoravský kraj,V jiné obci okresu,104127
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Jihomoravský kraj,V jiném okrese kraje,110125
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Jihomoravský kraj,V jiném kraji,18474
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Jihomoravský kraj,V zahraničí,9379
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Jihomoravský kraj,Bez stálého pracoviště,57571
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Jihomoravský kraj,Nezjištěno,13022
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Olomoucký kraj,Zaměstnaní celkem,301779
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Olomoucký kraj,Na adrese obvyklého pobytu,56930
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Olomoucký kraj,Na jiné adrese v obci obvyklého pobytu,75863
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Olomoucký kraj,V jiné obci okresu,92602
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Olomoucký kraj,V jiném okrese kraje,21869
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Olomoucký kraj,V jiném kraji,17408
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Olomoucký kraj,V zahraničí,2029
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Olomoucký kraj,Bez stálého pracoviště,27013
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Olomoucký kraj,Nezjištěno,8065
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Zlínský kraj,Zaměstnaní celkem,278753
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Zlínský kraj,Na adrese obvyklého pobytu,52932
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Zlínský kraj,Na jiné adrese v obci obvyklého pobytu,64895
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Zlínský kraj,V jiné obci okresu,92373
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Zlínský kraj,V jiném okrese kraje,19386
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Zlínský kraj,V jiném kraji,15505
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Zlínský kraj,V zahraničí,2325
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Zlínský kraj,Bez stálého pracoviště,24987
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Zlínský kraj,Nezjištěno,6350
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Moravskoslezský kraj,Zaměstnaní celkem,551088
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Moravskoslezský kraj,Na adrese obvyklého pobytu,97597
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Moravskoslezský kraj,Na jiné adrese v obci obvyklého pobytu,164154
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Moravskoslezský kraj,V jiné obci okresu,119544
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Moravskoslezský kraj,V jiném okrese kraje,87712
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Moravskoslezský kraj,V jiném kraji,15032
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Moravskoslezský kraj,V zahraničí,4998
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Moravskoslezský kraj,Bez stálého pracoviště,45820
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Moravskoslezský kraj,Nezjištěno,16231
