Území,Měsíce,Typ ceny,Očištění,Země,Ukazatel,value
Česko,prosinec 2024,Běžné ceny,Bez očištění,Evropa,Obrat zboží (v mil. Kč),520712.141476
Česko,prosinec 2024,Běžné ceny,Bez očištění,Evropa,Vývoz (meziroční index),105.453010151
Česko,prosinec 2024,Běžné ceny,Bez očištění,Evropa,Dovoz (meziroční index),105.8941938253
Česko,prosinec 2024,Běžné ceny,Bez očištění,Evropa,Obrat zboží (meziroční index),105.6490724971
Česko,prosinec 2024,Běžné ceny,Bez očištění,Afrika,"Vývoz (v mil. Kč, FOB)",4744.491797
Česko,prosinec 2024,Běžné ceny,Bez očištění,Afrika,"Dovoz (v mil. Kč, CIF)",2344.425827
Česko,prosinec 2024,Běžné ceny,Bez očištění,Afrika,Bilance (v mil. Kč),2400.06597
Česko,prosinec 2024,Běžné ceny,Bez očištění,Afrika,Obrat zboží (v mil. Kč),7088.917624
Česko,prosinec 2024,Běžné ceny,Bez očištění,Afrika,Vývoz (meziroční index),110.3237746789
Česko,prosinec 2024,Běžné ceny,Bez očištění,Afrika,Dovoz (meziroční index),89.0513105644
Česko,prosinec 2024,Běžné ceny,Bez očištění,Afrika,Obrat zboží (meziroční index),102.2461957559
Česko,prosinec 2024,Běžné ceny,Bez očištění,Amerika,"Vývoz (v mil. Kč, FOB)",17244.758174
Česko,prosinec 2024,Běžné ceny,Bez očištění,Amerika,"Dovoz (v mil. Kč, CIF)",12831.566832
Česko,prosinec 2024,Běžné ceny,Bez očištění,Amerika,Bilance (v mil. Kč),4413.191342
Česko,prosinec 2024,Běžné ceny,Bez očištění,Amerika,Obrat zboží (v mil. Kč),30076.325006
Česko,prosinec 2024,Běžné ceny,Bez očištění,Amerika,Vývoz (meziroční index),140.6256447729
Česko,prosinec 2024,Běžné ceny,Bez očištění,Amerika,Dovoz (meziroční index),85.8017329698
Česko,prosinec 2024,Běžné ceny,Bez očištění,Amerika,Obrat zboží (meziroční index),110.5024631429
Česko,prosinec 2024,Běžné ceny,Bez očištění,Asie,"Vývoz (v mil. Kč, FOB)",25303.073551
Česko,prosinec 2024,Běžné ceny,Bez očištění,Asie,"Dovoz (v mil. Kč, CIF)",79280.701443
Česko,prosinec 2024,Běžné ceny,Bez očištění,Asie,Bilance (v mil. Kč),-53977.627892
Česko,prosinec 2024,Běžné ceny,Bez očištění,Asie,Obrat zboží (v mil. Kč),104583.774994
Česko,prosinec 2024,Běžné ceny,Bez očištění,Asie,Vývoz (meziroční index),128.1186031036
Česko,prosinec 2024,Běžné ceny,Bez očištění,Asie,Dovoz (meziroční index),117.8292680231
Česko,prosinec 2024,Běžné ceny,Bez očištění,Asie,Obrat zboží (meziroční index),120.1641174641
Česko,prosinec 2024,Běžné ceny,Bez očištění,Oceánie a Polární oblasti,"Vývoz (v mil. Kč, FOB)",1062.743091
Česko,prosinec 2024,Běžné ceny,Bez očištění,Oceánie a Polární oblasti,"Dovoz (v mil. Kč, CIF)",166.840787
Česko,prosinec 2024,Běžné ceny,Bez očištění,Oceánie a Polární oblasti,Bilance (v mil. Kč),895.902304
Česko,prosinec 2024,Běžné ceny,Bez očištění,Oceánie a Polární oblasti,Obrat zboží (v mil. Kč),1229.583878
Česko,prosinec 2024,Běžné ceny,Bez očištění,Oceánie a Polární oblasti,Vývoz (meziroční index),102.7989834551
Česko,prosinec 2024,Běžné ceny,Bez očištění,Oceánie a Polární oblasti,Dovoz (meziroční index),73.1401423881
Česko,prosinec 2024,Běžné ceny,Bez očištění,Oceánie a Polární oblasti,Obrat zboží (meziroční index),97.4376918146
Česko,prosinec 2024,Běžné ceny,Bez očištění,Afghánistán,"Vývoz (v mil. Kč, FOB)",
Česko,prosinec 2024,Běžné ceny,Bez očištění,Afghánistán,"Dovoz (v mil. Kč, CIF)",
Česko,prosinec 2024,Běžné ceny,Bez očištění,Afghánistán,Bilance (v mil. Kč),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Afghánistán,Obrat zboží (v mil. Kč),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Afghánistán,Vývoz (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Afghánistán,Dovoz (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Afghánistán,Obrat zboží (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Albánie,"Vývoz (v mil. Kč, FOB)",
Česko,prosinec 2024,Běžné ceny,Bez očištění,Albánie,"Dovoz (v mil. Kč, CIF)",
Česko,prosinec 2024,Běžné ceny,Bez očištění,Albánie,Bilance (v mil. Kč),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Albánie,Obrat zboží (v mil. Kč),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Albánie,Vývoz (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Albánie,Dovoz (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Albánie,Obrat zboží (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Alžírsko,"Vývoz (v mil. Kč, FOB)",
Česko,prosinec 2024,Běžné ceny,Bez očištění,Alžírsko,"Dovoz (v mil. Kč, CIF)",
Česko,prosinec 2024,Běžné ceny,Bez očištění,Alžírsko,Bilance (v mil. Kč),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Alžírsko,Obrat zboží (v mil. Kč),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Alžírsko,Vývoz (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Alžírsko,Dovoz (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Alžírsko,Obrat zboží (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Americká Samoa,"Vývoz (v mil. Kč, FOB)",
Česko,prosinec 2024,Běžné ceny,Bez očištění,Americká Samoa,"Dovoz (v mil. Kč, CIF)",
Česko,prosinec 2024,Běžné ceny,Bez očištění,Americká Samoa,Bilance (v mil. Kč),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Americká Samoa,Obrat zboží (v mil. Kč),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Americká Samoa,Vývoz (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Americká Samoa,Dovoz (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Americká Samoa,Obrat zboží (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Americké Panenské ostrovy,"Vývoz (v mil. Kč, FOB)",
Česko,prosinec 2024,Běžné ceny,Bez očištění,Americké Panenské ostrovy,"Dovoz (v mil. Kč, CIF)",
Česko,prosinec 2024,Běžné ceny,Bez očištění,Americké Panenské ostrovy,Bilance (v mil. Kč),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Americké Panenské ostrovy,Obrat zboží (v mil. Kč),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Americké Panenské ostrovy,Vývoz (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Americké Panenské ostrovy,Dovoz (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Americké Panenské ostrovy,Obrat zboží (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Andorra,"Vývoz (v mil. Kč, FOB)",
Česko,prosinec 2024,Běžné ceny,Bez očištění,Andorra,"Dovoz (v mil. Kč, CIF)",
Česko,prosinec 2024,Běžné ceny,Bez očištění,Andorra,Bilance (v mil. Kč),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Andorra,Obrat zboží (v mil. Kč),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Andorra,Vývoz (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Andorra,Dovoz (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Andorra,Obrat zboží (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Angola,"Vývoz (v mil. Kč, FOB)",
Česko,prosinec 2024,Běžné ceny,Bez očištění,Angola,"Dovoz (v mil. Kč, CIF)",
Česko,prosinec 2024,Běžné ceny,Bez očištění,Angola,Bilance (v mil. Kč),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Angola,Obrat zboží (v mil. Kč),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Angola,Vývoz (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Angola,Dovoz (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Angola,Obrat zboží (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Anguilla,"Vývoz (v mil. Kč, FOB)",
Česko,prosinec 2024,Běžné ceny,Bez očištění,Anguilla,"Dovoz (v mil. Kč, CIF)",
Česko,prosinec 2024,Běžné ceny,Bez očištění,Anguilla,Bilance (v mil. Kč),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Anguilla,Obrat zboží (v mil. Kč),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Anguilla,Vývoz (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Anguilla,Dovoz (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Anguilla,Obrat zboží (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Antarktida,"Vývoz (v mil. Kč, FOB)",
Česko,prosinec 2024,Běžné ceny,Bez očištění,Antarktida,"Dovoz (v mil. Kč, CIF)",
Česko,prosinec 2024,Běžné ceny,Bez očištění,Antarktida,Bilance (v mil. Kč),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Antarktida,Obrat zboží (v mil. Kč),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Antarktida,Vývoz (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Antarktida,Dovoz (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Antarktida,Obrat zboží (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Antigua a Barbuda,"Vývoz (v mil. Kč, FOB)",
Česko,prosinec 2024,Běžné ceny,Bez očištění,Antigua a Barbuda,"Dovoz (v mil. Kč, CIF)",
Česko,prosinec 2024,Běžné ceny,Bez očištění,Antigua a Barbuda,Bilance (v mil. Kč),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Antigua a Barbuda,Obrat zboží (v mil. Kč),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Antigua a Barbuda,Vývoz (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Antigua a Barbuda,Dovoz (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Antigua a Barbuda,Obrat zboží (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Argentina,"Vývoz (v mil. Kč, FOB)",
Česko,prosinec 2024,Běžné ceny,Bez očištění,Argentina,"Dovoz (v mil. Kč, CIF)",
Česko,prosinec 2024,Běžné ceny,Bez očištění,Argentina,Bilance (v mil. Kč),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Argentina,Obrat zboží (v mil. Kč),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Argentina,Vývoz (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Argentina,Dovoz (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Argentina,Obrat zboží (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Arménie,"Vývoz (v mil. Kč, FOB)",
Česko,prosinec 2024,Běžné ceny,Bez očištění,Arménie,"Dovoz (v mil. Kč, CIF)",
Česko,prosinec 2024,Běžné ceny,Bez očištění,Arménie,Bilance (v mil. Kč),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Arménie,Obrat zboží (v mil. Kč),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Arménie,Vývoz (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Arménie,Dovoz (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Arménie,Obrat zboží (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Aruba,"Vývoz (v mil. Kč, FOB)",
Česko,prosinec 2024,Běžné ceny,Bez očištění,Aruba,"Dovoz (v mil. Kč, CIF)",
Česko,prosinec 2024,Běžné ceny,Bez očištění,Aruba,Bilance (v mil. Kč),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Aruba,Obrat zboží (v mil. Kč),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Aruba,Vývoz (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Aruba,Dovoz (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Aruba,Obrat zboží (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Austrálie,"Vývoz (v mil. Kč, FOB)",963.165015
Česko,prosinec 2024,Běžné ceny,Bez očištění,Austrálie,"Dovoz (v mil. Kč, CIF)",82.937983
Česko,prosinec 2024,Běžné ceny,Bez očištění,Austrálie,Bilance (v mil. Kč),880.227032
Česko,prosinec 2024,Běžné ceny,Bez očištění,Austrálie,Obrat zboží (v mil. Kč),1046.102998
Česko,prosinec 2024,Běžné ceny,Bez očištění,Austrálie,Vývoz (meziroční index),123.942753205
Česko,prosinec 2024,Běžné ceny,Bez očištění,Austrálie,Dovoz (meziroční index),119.6412455438
Česko,prosinec 2024,Běžné ceny,Bez očištění,Austrálie,Obrat zboží (meziroční index),123.5904604208
Česko,prosinec 2024,Běžné ceny,Bez očištění,Ázerbájdžán,"Vývoz (v mil. Kč, FOB)",911.1484
Česko,prosinec 2024,Běžné ceny,Bez očištění,Ázerbájdžán,"Dovoz (v mil. Kč, CIF)",3256.380019
Česko,prosinec 2024,Běžné ceny,Bez očištění,Ázerbájdžán,Bilance (v mil. Kč),-2345.231619
Česko,prosinec 2024,Běžné ceny,Bez očištění,Ázerbájdžán,Obrat zboží (v mil. Kč),4167.528419
Česko,prosinec 2024,Běžné ceny,Bez očištění,Ázerbájdžán,Vývoz (meziroční index),186.9686172353
Česko,prosinec 2024,Běžné ceny,Bez očištění,Ázerbájdžán,Dovoz (meziroční index),121.9002645349
Česko,prosinec 2024,Běžné ceny,Bez očištění,Ázerbájdžán,Obrat zboží (meziroční index),131.9391456297
Česko,prosinec 2024,Běžné ceny,Bez očištění,Bahamy,"Vývoz (v mil. Kč, FOB)",
Česko,prosinec 2024,Běžné ceny,Bez očištění,Bahamy,"Dovoz (v mil. Kč, CIF)",
Česko,prosinec 2024,Běžné ceny,Bez očištění,Bahamy,Bilance (v mil. Kč),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Bahamy,Obrat zboží (v mil. Kč),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Bahamy,Vývoz (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Bahamy,Dovoz (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Bahamy,Obrat zboží (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Bahrajn,"Vývoz (v mil. Kč, FOB)",
Česko,prosinec 2024,Běžné ceny,Bez očištění,Bahrajn,"Dovoz (v mil. Kč, CIF)",
Česko,prosinec 2024,Běžné ceny,Bez očištění,Bahrajn,Bilance (v mil. Kč),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Bahrajn,Obrat zboží (v mil. Kč),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Bahrajn,Vývoz (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Bahrajn,Dovoz (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Bahrajn,Obrat zboží (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Bangladéš,"Vývoz (v mil. Kč, FOB)",
Česko,prosinec 2024,Běžné ceny,Bez očištění,Bangladéš,"Dovoz (v mil. Kč, CIF)",
Česko,prosinec 2024,Běžné ceny,Bez očištění,Bangladéš,Bilance (v mil. Kč),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Bangladéš,Obrat zboží (v mil. Kč),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Bangladéš,Vývoz (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Bangladéš,Dovoz (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Bangladéš,Obrat zboží (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Barbados,"Vývoz (v mil. Kč, FOB)",
Česko,prosinec 2024,Běžné ceny,Bez očištění,Barbados,"Dovoz (v mil. Kč, CIF)",
Česko,prosinec 2024,Běžné ceny,Bez očištění,Barbados,Bilance (v mil. Kč),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Barbados,Obrat zboží (v mil. Kč),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Barbados,Vývoz (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Barbados,Dovoz (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Barbados,Obrat zboží (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Belgie,"Vývoz (v mil. Kč, FOB)",8197.148155
Česko,prosinec 2024,Běžné ceny,Bez očištění,Belgie,"Dovoz (v mil. Kč, CIF)",4739.685015
Česko,prosinec 2024,Běžné ceny,Bez očištění,Belgie,Bilance (v mil. Kč),3457.46314
Česko,prosinec 2024,Běžné ceny,Bez očištění,Belgie,Obrat zboží (v mil. Kč),12936.83317
Česko,prosinec 2024,Běžné ceny,Bez očištění,Belgie,Vývoz (meziroční index),131.0046863908
Česko,prosinec 2024,Běžné ceny,Bez očištění,Belgie,Dovoz (meziroční index),98.8882011566
Česko,prosinec 2024,Běžné ceny,Bez očištění,Belgie,Obrat zboží (meziroční index),117.0742012726
Česko,prosinec 2024,Běžné ceny,Bez očištění,Belize,"Vývoz (v mil. Kč, FOB)",
Česko,prosinec 2024,Běžné ceny,Bez očištění,Belize,"Dovoz (v mil. Kč, CIF)",
Česko,prosinec 2024,Běžné ceny,Bez očištění,Belize,Bilance (v mil. Kč),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Belize,Obrat zboží (v mil. Kč),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Belize,Vývoz (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Belize,Dovoz (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Belize,Obrat zboží (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Bělorusko,"Vývoz (v mil. Kč, FOB)",
Česko,prosinec 2024,Běžné ceny,Bez očištění,Bělorusko,"Dovoz (v mil. Kč, CIF)",
Česko,prosinec 2024,Běžné ceny,Bez očištění,Bělorusko,Bilance (v mil. Kč),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Bělorusko,Obrat zboží (v mil. Kč),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Bělorusko,Vývoz (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Bělorusko,Dovoz (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Bělorusko,Obrat zboží (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Benin,"Vývoz (v mil. Kč, FOB)",
Česko,prosinec 2024,Běžné ceny,Bez očištění,Benin,"Dovoz (v mil. Kč, CIF)",
Česko,prosinec 2024,Běžné ceny,Bez očištění,Benin,Bilance (v mil. Kč),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Benin,Obrat zboží (v mil. Kč),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Benin,Vývoz (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Benin,Dovoz (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Benin,Obrat zboží (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Bermudy,"Vývoz (v mil. Kč, FOB)",
Česko,prosinec 2024,Běžné ceny,Bez očištění,Bermudy,"Dovoz (v mil. Kč, CIF)",
Česko,prosinec 2024,Běžné ceny,Bez očištění,Bermudy,Bilance (v mil. Kč),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Bermudy,Obrat zboží (v mil. Kč),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Bermudy,Vývoz (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Bermudy,Dovoz (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Bermudy,Obrat zboží (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Bhútán,"Vývoz (v mil. Kč, FOB)",
Česko,prosinec 2024,Běžné ceny,Bez očištění,Bhútán,"Dovoz (v mil. Kč, CIF)",
Česko,prosinec 2024,Běžné ceny,Bez očištění,Bhútán,Bilance (v mil. Kč),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Bhútán,Obrat zboží (v mil. Kč),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Bhútán,Vývoz (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Bhútán,Dovoz (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Bhútán,Obrat zboží (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Bolívarovská republika Venezuela,"Vývoz (v mil. Kč, FOB)",
Česko,prosinec 2024,Běžné ceny,Bez očištění,Bolívarovská republika Venezuela,"Dovoz (v mil. Kč, CIF)",
Česko,prosinec 2024,Běžné ceny,Bez očištění,Bolívarovská republika Venezuela,Bilance (v mil. Kč),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Bolívarovská republika Venezuela,Obrat zboží (v mil. Kč),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Bolívarovská republika Venezuela,Vývoz (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Bolívarovská republika Venezuela,Dovoz (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Bolívarovská republika Venezuela,Obrat zboží (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,"Bonaire, Svatý Eustach a Saba","Vývoz (v mil. Kč, FOB)",
Česko,prosinec 2024,Běžné ceny,Bez očištění,"Bonaire, Svatý Eustach a Saba","Dovoz (v mil. Kč, CIF)",
Česko,prosinec 2024,Běžné ceny,Bez očištění,"Bonaire, Svatý Eustach a Saba",Bilance (v mil. Kč),
Česko,prosinec 2024,Běžné ceny,Bez očištění,"Bonaire, Svatý Eustach a Saba",Obrat zboží (v mil. Kč),
Česko,prosinec 2024,Běžné ceny,Bez očištění,"Bonaire, Svatý Eustach a Saba",Vývoz (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,"Bonaire, Svatý Eustach a Saba",Dovoz (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,"Bonaire, Svatý Eustach a Saba",Obrat zboží (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Bosna a Hercegovina,"Vývoz (v mil. Kč, FOB)",
Česko,prosinec 2024,Běžné ceny,Bez očištění,Bosna a Hercegovina,"Dovoz (v mil. Kč, CIF)",
Česko,prosinec 2024,Běžné ceny,Bez očištění,Bosna a Hercegovina,Bilance (v mil. Kč),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Bosna a Hercegovina,Obrat zboží (v mil. Kč),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Bosna a Hercegovina,Vývoz (meziroční index),
Česko,prosinec 2024,Běžné ceny,Bez očištění,Bosna a Hercegovina,Dovoz (meziroční index),
