Kumulace čtvrtletí,Pohlaví,"ČR, kraje",Ukazatel,value
Q1-Q2 2025,Celkem,Plzeňský kraj,Sňatky,959
Q1-Q2 2025,Celkem,Plzeňský kraj,Rozvody,550
Q1-Q2 2025,Celkem,Karlovarský kraj,Živě narození,893
Q1-Q2 2025,Celkem,Karlovarský kraj,Zemřelí,1751
Q1-Q2 2025,Celkem,Karlovarský kraj,Přirozený přírůstek/úbytek,-858
Q1-Q2 2025,Celkem,Karlovarský kraj,Přistěhovalí,2982
Q1-Q2 2025,Celkem,Karlovarský kraj,Vystěhovalí,3670
Q1-Q2 2025,Celkem,Karlovarský kraj,Přírůstek/úbytek stěhováním,-688
Q1-Q2 2025,Celkem,Karlovarský kraj,Celkový přírůstek/úbytek,-1546
Q1-Q2 2025,Celkem,Karlovarský kraj,Sňatky,430
Q1-Q2 2025,Celkem,Karlovarský kraj,Rozvody,326
Q1-Q2 2025,Celkem,Ústecký kraj,Živě narození,2646
Q1-Q2 2025,Celkem,Ústecký kraj,Zemřelí,4845
Q1-Q2 2025,Celkem,Ústecký kraj,Přirozený přírůstek/úbytek,-2199
Q1-Q2 2025,Celkem,Ústecký kraj,Přistěhovalí,5342
Q1-Q2 2025,Celkem,Ústecký kraj,Vystěhovalí,6157
Q1-Q2 2025,Celkem,Ústecký kraj,Přírůstek/úbytek stěhováním,-815
Q1-Q2 2025,Celkem,Ústecký kraj,Celkový přírůstek/úbytek,-3014
Q1-Q2 2025,Celkem,Ústecký kraj,Sňatky,1303
Q1-Q2 2025,Celkem,Ústecký kraj,Rozvody,854
Q1-Q2 2025,Celkem,Liberecký kraj,Živě narození,1522
Q1-Q2 2025,Celkem,Liberecký kraj,Zemřelí,2395
Q1-Q2 2025,Celkem,Liberecký kraj,Přirozený přírůstek/úbytek,-873
Q1-Q2 2025,Celkem,Liberecký kraj,Přistěhovalí,3901
Q1-Q2 2025,Celkem,Liberecký kraj,Vystěhovalí,4718
Q1-Q2 2025,Celkem,Liberecký kraj,Přírůstek/úbytek stěhováním,-817
Q1-Q2 2025,Celkem,Liberecký kraj,Celkový přírůstek/úbytek,-1690
Q1-Q2 2025,Celkem,Liberecký kraj,Sňatky,663
Q1-Q2 2025,Celkem,Liberecký kraj,Rozvody,477
Q1-Q2 2025,Celkem,Královéhradecký kraj,Živě narození,1920
Q1-Q2 2025,Celkem,Královéhradecký kraj,Zemřelí,3085
Q1-Q2 2025,Celkem,Královéhradecký kraj,Přirozený přírůstek/úbytek,-1165
Q1-Q2 2025,Celkem,Královéhradecký kraj,Přistěhovalí,4715
Q1-Q2 2025,Celkem,Královéhradecký kraj,Vystěhovalí,5821
Q1-Q2 2025,Celkem,Královéhradecký kraj,Přírůstek/úbytek stěhováním,-1106
Q1-Q2 2025,Celkem,Královéhradecký kraj,Celkový přírůstek/úbytek,-2271
Q1-Q2 2025,Celkem,Královéhradecký kraj,Sňatky,857
Q1-Q2 2025,Celkem,Královéhradecký kraj,Rozvody,582
Q1-Q2 2025,Celkem,Pardubický kraj,Živě narození,1827
Q1-Q2 2025,Celkem,Pardubický kraj,Zemřelí,2768
Q1-Q2 2025,Celkem,Pardubický kraj,Přirozený přírůstek/úbytek,-941
Q1-Q2 2025,Celkem,Pardubický kraj,Přistěhovalí,5489
Q1-Q2 2025,Celkem,Pardubický kraj,Vystěhovalí,5578
Q1-Q2 2025,Celkem,Pardubický kraj,Přírůstek/úbytek stěhováním,-89
Q1-Q2 2025,Celkem,Pardubický kraj,Celkový přírůstek/úbytek,-1030
Q1-Q2 2025,Celkem,Pardubický kraj,Sňatky,782
Q1-Q2 2025,Celkem,Pardubický kraj,Rozvody,485
Q1-Q2 2025,Celkem,Kraj Vysočina,Živě narození,1916
Q1-Q2 2025,Celkem,Kraj Vysočina,Zemřelí,2775
Q1-Q2 2025,Celkem,Kraj Vysočina,Přirozený přírůstek/úbytek,-859
Q1-Q2 2025,Celkem,Kraj Vysočina,Přistěhovalí,4161
Q1-Q2 2025,Celkem,Kraj Vysočina,Vystěhovalí,5392
Q1-Q2 2025,Celkem,Kraj Vysočina,Přírůstek/úbytek stěhováním,-1231
Q1-Q2 2025,Celkem,Kraj Vysočina,Celkový přírůstek/úbytek,-2090
Q1-Q2 2025,Celkem,Kraj Vysočina,Sňatky,799
Q1-Q2 2025,Celkem,Kraj Vysočina,Rozvody,429
Q1-Q2 2025,Celkem,Jihomoravský kraj,Živě narození,4176
Q1-Q2 2025,Celkem,Jihomoravský kraj,Zemřelí,6397
Q1-Q2 2025,Celkem,Jihomoravský kraj,Přirozený přírůstek/úbytek,-2221
Q1-Q2 2025,Celkem,Jihomoravský kraj,Přistěhovalí,11068
Q1-Q2 2025,Celkem,Jihomoravský kraj,Vystěhovalí,12279
Q1-Q2 2025,Celkem,Jihomoravský kraj,Přírůstek/úbytek stěhováním,-1211
Q1-Q2 2025,Celkem,Jihomoravský kraj,Celkový přírůstek/úbytek,-3432
Q1-Q2 2025,Celkem,Jihomoravský kraj,Sňatky,2126
Q1-Q2 2025,Celkem,Jihomoravský kraj,Rozvody,1111
Q1-Q2 2025,Celkem,Olomoucký kraj,Živě narození,2213
Q1-Q2 2025,Celkem,Olomoucký kraj,Zemřelí,3536
Q1-Q2 2025,Celkem,Olomoucký kraj,Přirozený přírůstek/úbytek,-1323
Q1-Q2 2025,Celkem,Olomoucký kraj,Přistěhovalí,4406
Q1-Q2 2025,Celkem,Olomoucký kraj,Vystěhovalí,4559
Q1-Q2 2025,Celkem,Olomoucký kraj,Přírůstek/úbytek stěhováním,-153
Q1-Q2 2025,Celkem,Olomoucký kraj,Celkový přírůstek/úbytek,-1476
Q1-Q2 2025,Celkem,Olomoucký kraj,Sňatky,1022
Q1-Q2 2025,Celkem,Olomoucký kraj,Rozvody,621
Q1-Q2 2025,Celkem,Zlínský kraj,Živě narození,1958
Q1-Q2 2025,Celkem,Zlínský kraj,Zemřelí,3131
Q1-Q2 2025,Celkem,Zlínský kraj,Přirozený přírůstek/úbytek,-1173
Q1-Q2 2025,Celkem,Zlínský kraj,Přistěhovalí,3742
Q1-Q2 2025,Celkem,Zlínský kraj,Vystěhovalí,4050
Q1-Q2 2025,Celkem,Zlínský kraj,Přírůstek/úbytek stěhováním,-308
Q1-Q2 2025,Celkem,Zlínský kraj,Celkový přírůstek/úbytek,-1481
Q1-Q2 2025,Celkem,Zlínský kraj,Sňatky,831
Q1-Q2 2025,Celkem,Zlínský kraj,Rozvody,443
Q1-Q2 2025,Celkem,Moravskoslezský kraj,Živě narození,3946
Q1-Q2 2025,Celkem,Moravskoslezský kraj,Zemřelí,6975
Q1-Q2 2025,Celkem,Moravskoslezský kraj,Přirozený přírůstek/úbytek,-3029
Q1-Q2 2025,Celkem,Moravskoslezský kraj,Přistěhovalí,5128
Q1-Q2 2025,Celkem,Moravskoslezský kraj,Vystěhovalí,6974
Q1-Q2 2025,Celkem,Moravskoslezský kraj,Přírůstek/úbytek stěhováním,-1846
Q1-Q2 2025,Celkem,Moravskoslezský kraj,Celkový přírůstek/úbytek,-4875
Q1-Q2 2025,Celkem,Moravskoslezský kraj,Sňatky,1805
Q1-Q2 2025,Celkem,Moravskoslezský kraj,Rozvody,1178
