Území,Roky,Typ ceny,Očištění,CZCPA,Ukazatel,value
Česko,2024,Běžné ceny,Bez očištění,"02 Produkty lesnictví, těžby dřeva a související služby",Bilance (v mil. Kč),5135.513155
Česko,2024,Běžné ceny,Bez očištění,"02 Produkty lesnictví, těžby dřeva a související služby",Obrat zboží (v mil. Kč),16422.444495
Česko,2024,Běžné ceny,Bez očištění,"02 Produkty lesnictví, těžby dřeva a související služby",Vývoz (meziroční index),76.8462109858
Česko,2024,Běžné ceny,Bez očištění,"02 Produkty lesnictví, těžby dřeva a související služby",Dovoz (meziroční index),128.084803638
Česko,2024,Běžné ceny,Bez očištění,"02 Produkty lesnictví, těžby dřeva a související služby",Obrat zboží (meziroční index),89.0939487285
Česko,2024,Běžné ceny,Bez očištění,03 Ryby a jiné produkty rybolovu; produkty akvakultury; podpůrné služby pro rybolov a akvakulturu,"Vývoz (v mil. Kč, FOB)",2546.970383
Česko,2024,Běžné ceny,Bez očištění,03 Ryby a jiné produkty rybolovu; produkty akvakultury; podpůrné služby pro rybolov a akvakulturu,"Dovoz (v mil. Kč, CIF)",2585.02175
Česko,2024,Běžné ceny,Bez očištění,03 Ryby a jiné produkty rybolovu; produkty akvakultury; podpůrné služby pro rybolov a akvakulturu,Bilance (v mil. Kč),-38.051367
Česko,2024,Běžné ceny,Bez očištění,03 Ryby a jiné produkty rybolovu; produkty akvakultury; podpůrné služby pro rybolov a akvakulturu,Obrat zboží (v mil. Kč),5131.992133
Česko,2024,Běžné ceny,Bez očištění,03 Ryby a jiné produkty rybolovu; produkty akvakultury; podpůrné služby pro rybolov a akvakulturu,Vývoz (meziroční index),101.8742445894
Česko,2024,Běžné ceny,Bez očištění,03 Ryby a jiné produkty rybolovu; produkty akvakultury; podpůrné služby pro rybolov a akvakulturu,Dovoz (meziroční index),105.2909143099
Česko,2024,Běžné ceny,Bez očištění,03 Ryby a jiné produkty rybolovu; produkty akvakultury; podpůrné služby pro rybolov a akvakulturu,Obrat zboží (meziroční index),103.5670693732
Česko,2024,Běžné ceny,Bez očištění,05 Černé a hnědé uhlí a lignit,"Vývoz (v mil. Kč, FOB)",7936.369396
Česko,2024,Běžné ceny,Bez očištění,05 Černé a hnědé uhlí a lignit,"Dovoz (v mil. Kč, CIF)",13154.445411
Česko,2024,Běžné ceny,Bez očištění,05 Černé a hnědé uhlí a lignit,Bilance (v mil. Kč),-5218.076015
Česko,2024,Běžné ceny,Bez očištění,05 Černé a hnědé uhlí a lignit,Obrat zboží (v mil. Kč),21090.814807
Česko,2024,Běžné ceny,Bez očištění,05 Černé a hnědé uhlí a lignit,Vývoz (meziroční index),116.7476380993
Česko,2024,Běžné ceny,Bez očištění,05 Černé a hnědé uhlí a lignit,Dovoz (meziroční index),59.652794535
Česko,2024,Běžné ceny,Bez očištění,05 Černé a hnědé uhlí a lignit,Obrat zboží (meziroční index),73.1061726082
Česko,2024,Běžné ceny,Bez očištění,06 Ropa a zemní plyn,"Vývoz (v mil. Kč, FOB)",896.088575
Česko,2024,Běžné ceny,Bez očištění,06 Ropa a zemní plyn,"Dovoz (v mil. Kč, CIF)",158259.253346
Česko,2024,Běžné ceny,Bez očištění,06 Ropa a zemní plyn,Bilance (v mil. Kč),-157363.164771
Česko,2024,Běžné ceny,Bez očištění,06 Ropa a zemní plyn,Obrat zboží (v mil. Kč),159155.341921
Česko,2024,Běžné ceny,Bez očištění,06 Ropa a zemní plyn,Vývoz (meziroční index),432.6500868816
Česko,2024,Běžné ceny,Bez očištění,06 Ropa a zemní plyn,Dovoz (meziroční index),87.0525416698
Česko,2024,Běžné ceny,Bez očištění,06 Ropa a zemní plyn,Obrat zboží (meziroční index),87.4458223754
Česko,2024,Běžné ceny,Bez očištění,07 Rudy,"Vývoz (v mil. Kč, FOB)",103.029679
Česko,2024,Běžné ceny,Bez očištění,07 Rudy,"Dovoz (v mil. Kč, CIF)",10278.678411
Česko,2024,Běžné ceny,Bez očištění,07 Rudy,Bilance (v mil. Kč),-10175.648732
Česko,2024,Běžné ceny,Bez očištění,07 Rudy,Obrat zboží (v mil. Kč),10381.70809
Česko,2024,Běžné ceny,Bez očištění,07 Rudy,Vývoz (meziroční index),113.4021856873
Česko,2024,Běžné ceny,Bez očištění,07 Rudy,Dovoz (meziroční index),71.1582511244
Česko,2024,Běžné ceny,Bez očištění,07 Rudy,Obrat zboží (meziroční index),71.4222914435
Česko,2024,Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,"Vývoz (v mil. Kč, FOB)",5596.925393
Česko,2024,Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,"Dovoz (v mil. Kč, CIF)",6936.783495
Česko,2024,Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,Bilance (v mil. Kč),-1339.858102
Česko,2024,Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,Obrat zboží (v mil. Kč),12533.708888
Česko,2024,Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,Vývoz (meziroční index),101.4586827505
Česko,2024,Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,Dovoz (meziroční index),105.5022042514
Česko,2024,Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,Obrat zboží (meziroční index),103.6574397641
Česko,2024,Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací","Vývoz (v mil. Kč, FOB)",189438.100712
Česko,2024,Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací","Dovoz (v mil. Kč, CIF)",247276.005076
Česko,2024,Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",Bilance (v mil. Kč),-57837.904364
Česko,2024,Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",Obrat zboží (v mil. Kč),436714.105788
Česko,2024,Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",Vývoz (meziroční index),113.0540273258
Česko,2024,Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",Dovoz (meziroční index),112.7097340068
Česko,2024,Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",Obrat zboží (meziroční index),112.8588238949
Česko,2024,Běžné ceny,Bez očištění,"11 Nápoje, vč. subdodavatelských prací","Vývoz (v mil. Kč, FOB)",25056.776871
Česko,2024,Běžné ceny,Bez očištění,"11 Nápoje, vč. subdodavatelských prací","Dovoz (v mil. Kč, CIF)",24306.322431
Česko,2024,Běžné ceny,Bez očištění,"11 Nápoje, vč. subdodavatelských prací",Bilance (v mil. Kč),750.45444
Česko,2024,Běžné ceny,Bez očištění,"11 Nápoje, vč. subdodavatelských prací",Obrat zboží (v mil. Kč),49363.099302
Česko,2024,Běžné ceny,Bez očištění,"11 Nápoje, vč. subdodavatelských prací",Vývoz (meziroční index),113.2156300964
Česko,2024,Běžné ceny,Bez očištění,"11 Nápoje, vč. subdodavatelských prací",Dovoz (meziroční index),107.7672261895
Česko,2024,Běžné ceny,Bez očištění,"11 Nápoje, vč. subdodavatelských prací",Obrat zboží (meziroční index),110.4656677437
Česko,2024,Běžné ceny,Bez očištění,"12 Tabákové výrobky, vč. subdodavatelských prací","Vývoz (v mil. Kč, FOB)",2151.034417
Česko,2024,Běžné ceny,Bez očištění,"12 Tabákové výrobky, vč. subdodavatelských prací","Dovoz (v mil. Kč, CIF)",20194.206487
Česko,2024,Běžné ceny,Bez očištění,"12 Tabákové výrobky, vč. subdodavatelských prací",Bilance (v mil. Kč),-18043.17207
Česko,2024,Běžné ceny,Bez očištění,"12 Tabákové výrobky, vč. subdodavatelských prací",Obrat zboží (v mil. Kč),22345.240904
Česko,2024,Běžné ceny,Bez očištění,"12 Tabákové výrobky, vč. subdodavatelských prací",Vývoz (meziroční index),143.3401764722
Česko,2024,Běžné ceny,Bez očištění,"12 Tabákové výrobky, vč. subdodavatelských prací",Dovoz (meziroční index),111.75354121
Česko,2024,Běžné ceny,Bez očištění,"12 Tabákové výrobky, vč. subdodavatelských prací",Obrat zboží (meziroční index),114.1755223445
Česko,2024,Běžné ceny,Bez očištění,"13 Textilie, vč. souvisejících služeb a prací","Vývoz (v mil. Kč, FOB)",59116.290962
Česko,2024,Běžné ceny,Bez očištění,"13 Textilie, vč. souvisejících služeb a prací","Dovoz (v mil. Kč, CIF)",55313.919341
Česko,2024,Běžné ceny,Bez očištění,"13 Textilie, vč. souvisejících služeb a prací",Bilance (v mil. Kč),3802.371621
Česko,2024,Běžné ceny,Bez očištění,"13 Textilie, vč. souvisejících služeb a prací",Obrat zboží (v mil. Kč),114430.210303
Česko,2024,Běžné ceny,Bez očištění,"13 Textilie, vč. souvisejících služeb a prací",Vývoz (meziroční index),100.2810740091
Česko,2024,Běžné ceny,Bez očištění,"13 Textilie, vč. souvisejících služeb a prací",Dovoz (meziroční index),102.6993334086
Česko,2024,Běžné ceny,Bez očištění,"13 Textilie, vč. souvisejících služeb a prací",Obrat zboží (meziroční index),101.4356421748
Česko,2024,Běžné ceny,Bez očištění,"14 Oděvy, vč. subdodavatelských prací","Vývoz (v mil. Kč, FOB)",24844.184673
Česko,2024,Běžné ceny,Bez očištění,"14 Oděvy, vč. subdodavatelských prací","Dovoz (v mil. Kč, CIF)",60893.952939
Česko,2024,Běžné ceny,Bez očištění,"14 Oděvy, vč. subdodavatelských prací",Bilance (v mil. Kč),-36049.768266
Česko,2024,Běžné ceny,Bez očištění,"14 Oděvy, vč. subdodavatelských prací",Obrat zboží (v mil. Kč),85738.137612
Česko,2024,Běžné ceny,Bez očištění,"14 Oděvy, vč. subdodavatelských prací",Vývoz (meziroční index),114.6374169033
Česko,2024,Běžné ceny,Bez očištění,"14 Oděvy, vč. subdodavatelských prací",Dovoz (meziroční index),101.3723748122
Česko,2024,Běžné ceny,Bez očištění,"14 Oděvy, vč. subdodavatelských prací",Obrat zboží (meziroční index),104.8893083865
Česko,2024,Běžné ceny,Bez očištění,"15 Usně a související výrobky, vč. subdodavatelských prací","Vývoz (v mil. Kč, FOB)",17059.285383
Česko,2024,Běžné ceny,Bez očištění,"15 Usně a související výrobky, vč. subdodavatelských prací","Dovoz (v mil. Kč, CIF)",33060.174445
Česko,2024,Běžné ceny,Bez očištění,"15 Usně a související výrobky, vč. subdodavatelských prací",Bilance (v mil. Kč),-16000.889062
Česko,2024,Běžné ceny,Bez očištění,"15 Usně a související výrobky, vč. subdodavatelských prací",Obrat zboží (v mil. Kč),50119.459828
Česko,2024,Běžné ceny,Bez očištění,"15 Usně a související výrobky, vč. subdodavatelských prací",Vývoz (meziroční index),91.1441839113
Česko,2024,Běžné ceny,Bez očištění,"15 Usně a související výrobky, vč. subdodavatelských prací",Dovoz (meziroční index),96.2595741435
Česko,2024,Běžné ceny,Bez očištění,"15 Usně a související výrobky, vč. subdodavatelských prací",Obrat zboží (meziroční index),94.4551855724
Česko,2024,Běžné ceny,Bez očištění,"16 Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky, vč. souvisejících služeb a prací","Vývoz (v mil. Kč, FOB)",45299.002625
Česko,2024,Běžné ceny,Bez očištění,"16 Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky, vč. souvisejících služeb a prací","Dovoz (v mil. Kč, CIF)",25892.855268
Česko,2024,Běžné ceny,Bez očištění,"16 Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky, vč. souvisejících služeb a prací",Bilance (v mil. Kč),19406.147357
Česko,2024,Běžné ceny,Bez očištění,"16 Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky, vč. souvisejících služeb a prací",Obrat zboží (v mil. Kč),71191.857893
Česko,2024,Běžné ceny,Bez očištění,"16 Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky, vč. souvisejících služeb a prací",Vývoz (meziroční index),99.1633914822
Česko,2024,Běžné ceny,Bez očištění,"16 Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky, vč. souvisejících služeb a prací",Dovoz (meziroční index),102.5367111598
Česko,2024,Běžné ceny,Bez očištění,"16 Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky, vč. souvisejících služeb a prací",Obrat zboží (meziroční index),100.364291794
Česko,2024,Běžné ceny,Bez očištění,"17 Papír a výrobky z papíru, vč. subdodavatelských prací","Vývoz (v mil. Kč, FOB)",83679.047663
Česko,2024,Běžné ceny,Bez očištění,"17 Papír a výrobky z papíru, vč. subdodavatelských prací","Dovoz (v mil. Kč, CIF)",66782.312754
Česko,2024,Běžné ceny,Bez očištění,"17 Papír a výrobky z papíru, vč. subdodavatelských prací",Bilance (v mil. Kč),16896.734909
Česko,2024,Běžné ceny,Bez očištění,"17 Papír a výrobky z papíru, vč. subdodavatelských prací",Obrat zboží (v mil. Kč),150461.360417
Česko,2024,Běžné ceny,Bez očištění,"17 Papír a výrobky z papíru, vč. subdodavatelských prací",Vývoz (meziroční index),105.5460190983
Česko,2024,Běžné ceny,Bez očištění,"17 Papír a výrobky z papíru, vč. subdodavatelských prací",Dovoz (meziroční index),106.7324049928
Česko,2024,Běžné ceny,Bez očištění,"17 Papír a výrobky z papíru, vč. subdodavatelských prací",Obrat zboží (meziroční index),106.0693253905
Česko,2024,Běžné ceny,Bez očištění,18 Tiskařské a nahrávací služby,"Vývoz (v mil. Kč, FOB)",585.698989
Česko,2024,Běžné ceny,Bez očištění,18 Tiskařské a nahrávací služby,"Dovoz (v mil. Kč, CIF)",307.799394
Česko,2024,Běžné ceny,Bez očištění,18 Tiskařské a nahrávací služby,Bilance (v mil. Kč),277.899595
Česko,2024,Běžné ceny,Bez očištění,18 Tiskařské a nahrávací služby,Obrat zboží (v mil. Kč),893.498383
Česko,2024,Běžné ceny,Bez očištění,18 Tiskařské a nahrávací služby,Vývoz (meziroční index),131.2000797479
Česko,2024,Běžné ceny,Bez očištění,18 Tiskařské a nahrávací služby,Dovoz (meziroční index),99.0249988426
Česko,2024,Běžné ceny,Bez očištění,18 Tiskařské a nahrávací služby,Obrat zboží (meziroční index),117.9930482913
Česko,2024,Běžné ceny,Bez očištění,"19 Koks a rafinované ropné produkty, vč. subdodavatelských prací","Vývoz (v mil. Kč, FOB)",42364.007555
Česko,2024,Běžné ceny,Bez očištění,"19 Koks a rafinované ropné produkty, vč. subdodavatelských prací","Dovoz (v mil. Kč, CIF)",99699.76421
Česko,2024,Běžné ceny,Bez očištění,"19 Koks a rafinované ropné produkty, vč. subdodavatelských prací",Bilance (v mil. Kč),-57335.756655
Česko,2024,Běžné ceny,Bez očištění,"19 Koks a rafinované ropné produkty, vč. subdodavatelských prací",Obrat zboží (v mil. Kč),142063.771765
Česko,2024,Běžné ceny,Bez očištění,"19 Koks a rafinované ropné produkty, vč. subdodavatelských prací",Vývoz (meziroční index),83.0414383811
Česko,2024,Běžné ceny,Bez očištění,"19 Koks a rafinované ropné produkty, vč. subdodavatelských prací",Dovoz (meziroční index),110.4044085566
Česko,2024,Běžné ceny,Bez očištění,"19 Koks a rafinované ropné produkty, vč. subdodavatelských prací",Obrat zboží (meziroční index),100.5265490699
Česko,2024,Běžné ceny,Bez očištění,"20 Chemické látky a chemické přípravky, vč. subdodavatelských prací","Vývoz (v mil. Kč, FOB)",221496.298551
Česko,2024,Běžné ceny,Bez očištění,"20 Chemické látky a chemické přípravky, vč. subdodavatelských prací","Dovoz (v mil. Kč, CIF)",353809.198508
Česko,2024,Běžné ceny,Bez očištění,"20 Chemické látky a chemické přípravky, vč. subdodavatelských prací",Bilance (v mil. Kč),-132312.899957
Česko,2024,Běžné ceny,Bez očištění,"20 Chemické látky a chemické přípravky, vč. subdodavatelských prací",Obrat zboží (v mil. Kč),575305.497059
Česko,2024,Běžné ceny,Bez očištění,"20 Chemické látky a chemické přípravky, vč. subdodavatelských prací",Vývoz (meziroční index),106.9407015155
Česko,2024,Běžné ceny,Bez očištění,"20 Chemické látky a chemické přípravky, vč. subdodavatelských prací",Dovoz (meziroční index),102.7865569996
Česko,2024,Běžné ceny,Bez očištění,"20 Chemické látky a chemické přípravky, vč. subdodavatelských prací",Obrat zboží (meziroční index),104.3471407293
Česko,2024,Běžné ceny,Bez očištění,"21 Základní farmaceutické výrobky a farmaceutické přípravky, vč. subdodavatelských prací","Vývoz (v mil. Kč, FOB)",70860.610778
Česko,2024,Běžné ceny,Bez očištění,"21 Základní farmaceutické výrobky a farmaceutické přípravky, vč. subdodavatelských prací","Dovoz (v mil. Kč, CIF)",138790.106804
Česko,2024,Běžné ceny,Bez očištění,"21 Základní farmaceutické výrobky a farmaceutické přípravky, vč. subdodavatelských prací",Bilance (v mil. Kč),-67929.496026
Česko,2024,Běžné ceny,Bez očištění,"21 Základní farmaceutické výrobky a farmaceutické přípravky, vč. subdodavatelských prací",Obrat zboží (v mil. Kč),209650.717582
Česko,2024,Běžné ceny,Bez očištění,"21 Základní farmaceutické výrobky a farmaceutické přípravky, vč. subdodavatelských prací",Vývoz (meziroční index),104.8865026681
Česko,2024,Běžné ceny,Bez očištění,"21 Základní farmaceutické výrobky a farmaceutické přípravky, vč. subdodavatelských prací",Dovoz (meziroční index),106.8808170959
Česko,2024,Běžné ceny,Bez očištění,"21 Základní farmaceutické výrobky a farmaceutické přípravky, vč. subdodavatelských prací",Obrat zboží (meziroční index),106.1983209314
Česko,2024,Běžné ceny,Bez očištění,"22 Pryžové a plastové výrobky, vč. souvisejících služeb a prací","Vývoz (v mil. Kč, FOB)",223847.979275
Česko,2024,Běžné ceny,Bez očištění,"22 Pryžové a plastové výrobky, vč. souvisejících služeb a prací","Dovoz (v mil. Kč, CIF)",201186.202858
Česko,2024,Běžné ceny,Bez očištění,"22 Pryžové a plastové výrobky, vč. souvisejících služeb a prací",Bilance (v mil. Kč),22661.776417
Česko,2024,Běžné ceny,Bez očištění,"22 Pryžové a plastové výrobky, vč. souvisejících služeb a prací",Obrat zboží (v mil. Kč),425034.182133
Česko,2024,Běžné ceny,Bez očištění,"22 Pryžové a plastové výrobky, vč. souvisejících služeb a prací",Vývoz (meziroční index),105.3852783056
Česko,2024,Běžné ceny,Bez očištění,"22 Pryžové a plastové výrobky, vč. souvisejících služeb a prací",Dovoz (meziroční index),103.2626830689
Česko,2024,Běžné ceny,Bez očištění,"22 Pryžové a plastové výrobky, vč. souvisejících služeb a prací",Obrat zboží (meziroční index),104.3697946337
Česko,2024,Běžné ceny,Bez očištění,"23 Ostatní nekovové minerální výrobky, vč. souvisejících služeb a prací","Vývoz (v mil. Kč, FOB)",84553.100165
Česko,2024,Běžné ceny,Bez očištění,"23 Ostatní nekovové minerální výrobky, vč. souvisejících služeb a prací","Dovoz (v mil. Kč, CIF)",56195.296605
Česko,2024,Běžné ceny,Bez očištění,"23 Ostatní nekovové minerální výrobky, vč. souvisejících služeb a prací",Bilance (v mil. Kč),28357.80356
Česko,2024,Běžné ceny,Bez očištění,"23 Ostatní nekovové minerální výrobky, vč. souvisejících služeb a prací",Obrat zboží (v mil. Kč),140748.39677
Česko,2024,Běžné ceny,Bez očištění,"23 Ostatní nekovové minerální výrobky, vč. souvisejících služeb a prací",Vývoz (meziroční index),101.2731271121
Česko,2024,Běžné ceny,Bez očištění,"23 Ostatní nekovové minerální výrobky, vč. souvisejících služeb a prací",Dovoz (meziroční index),104.9700423498
Česko,2024,Běžné ceny,Bez očištění,"23 Ostatní nekovové minerální výrobky, vč. souvisejících služeb a prací",Obrat zboží (meziroční index),102.717485647
Česko,2024,Běžné ceny,Bez očištění,"24 Základní kovy, vč. subdodavatelských prací","Vývoz (v mil. Kč, FOB)",149602.065177
Česko,2024,Běžné ceny,Bez očištění,"24 Základní kovy, vč. subdodavatelských prací","Dovoz (v mil. Kč, CIF)",320613.858678
Česko,2024,Běžné ceny,Bez očištění,"24 Základní kovy, vč. subdodavatelských prací",Bilance (v mil. Kč),-171011.793501
Česko,2024,Běžné ceny,Bez očištění,"24 Základní kovy, vč. subdodavatelských prací",Obrat zboží (v mil. Kč),470215.923855
Česko,2024,Běžné ceny,Bez očištění,"24 Základní kovy, vč. subdodavatelských prací",Vývoz (meziroční index),93.9426574277
Česko,2024,Běžné ceny,Bez očištění,"24 Základní kovy, vč. subdodavatelských prací",Dovoz (meziroční index),101.1171793501
Česko,2024,Běžné ceny,Bez očištění,"24 Základní kovy, vč. subdodavatelských prací",Obrat zboží (meziroční index),98.7185176136
Česko,2024,Běžné ceny,Bez očištění,"25 Kovodělné výrobky, kromě strojů a zařízení, vč. subdodavatelských prací","Vývoz (v mil. Kč, FOB)",274667.697248
Česko,2024,Běžné ceny,Bez očištění,"25 Kovodělné výrobky, kromě strojů a zařízení, vč. subdodavatelských prací","Dovoz (v mil. Kč, CIF)",217637.457003
Česko,2024,Běžné ceny,Bez očištění,"25 Kovodělné výrobky, kromě strojů a zařízení, vč. subdodavatelských prací",Bilance (v mil. Kč),57030.240245
Česko,2024,Běžné ceny,Bez očištění,"25 Kovodělné výrobky, kromě strojů a zařízení, vč. subdodavatelských prací",Obrat zboží (v mil. Kč),492305.154251
Česko,2024,Běžné ceny,Bez očištění,"25 Kovodělné výrobky, kromě strojů a zařízení, vč. subdodavatelských prací",Vývoz (meziroční index),102.3725241226
Česko,2024,Běžné ceny,Bez očištění,"25 Kovodělné výrobky, kromě strojů a zařízení, vč. subdodavatelských prací",Dovoz (meziroční index),111.0356994453
Česko,2024,Běžné ceny,Bez očištění,"25 Kovodělné výrobky, kromě strojů a zařízení, vč. subdodavatelských prací",Obrat zboží (meziroční index),106.029660029
Česko,2024,Běžné ceny,Bez očištění,"26 Počítače, elektronické a optické přístroje a zařízení, vč. souvisejících služeb a prací","Vývoz (v mil. Kč, FOB)",440664.412111
Česko,2024,Běžné ceny,Bez očištění,"26 Počítače, elektronické a optické přístroje a zařízení, vč. souvisejících služeb a prací","Dovoz (v mil. Kč, CIF)",520556.554024
Česko,2024,Běžné ceny,Bez očištění,"26 Počítače, elektronické a optické přístroje a zařízení, vč. souvisejících služeb a prací",Bilance (v mil. Kč),-79892.141913
Česko,2024,Běžné ceny,Bez očištění,"26 Počítače, elektronické a optické přístroje a zařízení, vč. souvisejících služeb a prací",Obrat zboží (v mil. Kč),961220.966135
Česko,2024,Běžné ceny,Bez očištění,"26 Počítače, elektronické a optické přístroje a zařízení, vč. souvisejících služeb a prací",Vývoz (meziroční index),119.4238204787
Česko,2024,Běžné ceny,Bez očištění,"26 Počítače, elektronické a optické přístroje a zařízení, vč. souvisejících služeb a prací",Dovoz (meziroční index),112.7078369129
Česko,2024,Běžné ceny,Bez očištění,"26 Počítače, elektronické a optické přístroje a zařízení, vč. souvisejících služeb a prací",Obrat zboží (meziroční index),115.6904781897
Česko,2024,Běžné ceny,Bez očištění,"27 Elektrická zařízení, vč. subdodavatelských prací","Vývoz (v mil. Kč, FOB)",471068.545377
Česko,2024,Běžné ceny,Bez očištění,"27 Elektrická zařízení, vč. subdodavatelských prací","Dovoz (v mil. Kč, CIF)",438608.734627
Česko,2024,Běžné ceny,Bez očištění,"27 Elektrická zařízení, vč. subdodavatelských prací",Bilance (v mil. Kč),32459.81075
Česko,2024,Běžné ceny,Bez očištění,"27 Elektrická zařízení, vč. subdodavatelských prací",Obrat zboží (v mil. Kč),909677.280004
Česko,2024,Běžné ceny,Bez očištění,"27 Elektrická zařízení, vč. subdodavatelských prací",Vývoz (meziroční index),103.7615594317
Česko,2024,Běžné ceny,Bez očištění,"27 Elektrická zařízení, vč. subdodavatelských prací",Dovoz (meziroční index),96.0437220575
Česko,2024,Běžné ceny,Bez očištění,"27 Elektrická zařízení, vč. subdodavatelských prací",Obrat zboží (meziroční index),99.8912643403
Česko,2024,Běžné ceny,Bez očištění,"28 Stroje a zařízení j. n., vč. souvisejících služeb a prací","Vývoz (v mil. Kč, FOB)",508740.434949
Česko,2024,Běžné ceny,Bez očištění,"28 Stroje a zařízení j. n., vč. souvisejících služeb a prací","Dovoz (v mil. Kč, CIF)",386858.990819
Česko,2024,Běžné ceny,Bez očištění,"28 Stroje a zařízení j. n., vč. souvisejících služeb a prací",Bilance (v mil. Kč),121881.44413
Česko,2024,Běžné ceny,Bez očištění,"28 Stroje a zařízení j. n., vč. souvisejících služeb a prací",Obrat zboží (v mil. Kč),895599.425768
Česko,2024,Běžné ceny,Bez očištění,"28 Stroje a zařízení j. n., vč. souvisejících služeb a prací",Vývoz (meziroční index),97.6545618986
Česko,2024,Běžné ceny,Bez očištění,"28 Stroje a zařízení j. n., vč. souvisejících služeb a prací",Dovoz (meziroční index),95.7605962033
Česko,2024,Běžné ceny,Bez očištění,"28 Stroje a zařízení j. n., vč. souvisejících služeb a prací",Obrat zboží (meziroční index),96.8273397473
Česko,2024,Běžné ceny,Bez očištění,"29 Motorová vozidla (kromě motocyklů), přívěsy a návěsy, vč. subdodavatelských prací","Vývoz (v mil. Kč, FOB)",1305023.023177
Česko,2024,Běžné ceny,Bez očištění,"29 Motorová vozidla (kromě motocyklů), přívěsy a návěsy, vč. subdodavatelských prací","Dovoz (v mil. Kč, CIF)",671343.945335
Česko,2024,Běžné ceny,Bez očištění,"29 Motorová vozidla (kromě motocyklů), přívěsy a návěsy, vč. subdodavatelských prací",Bilance (v mil. Kč),633679.077842
Česko,2024,Běžné ceny,Bez očištění,"29 Motorová vozidla (kromě motocyklů), přívěsy a návěsy, vč. subdodavatelských prací",Obrat zboží (v mil. Kč),1976366.968512
Česko,2024,Běžné ceny,Bez očištění,"29 Motorová vozidla (kromě motocyklů), přívěsy a návěsy, vč. subdodavatelských prací",Vývoz (meziroční index),106.198939067
