Kraje, SO ORP;Ekonomické subjekty ;Ukazatel;Roky;value
Hlavní město Praha;Počet ekonomických subjektů v registru;Právnické osoby celkem;2016;248878
Hlavní město Praha;Počet ekonomických subjektů v registru;Právnické osoby celkem;2015;237762
Hlavní město Praha;Počet ekonomických subjektů v registru;Právnické osoby celkem;2014;225372
Hlavní město Praha;Počet ekonomických subjektů v registru;Právnické osoby celkem;2013;233197
Hlavní město Praha;Počet ekonomických subjektů v registru;Obchodní společnosti;2024;258608
Hlavní město Praha;Počet ekonomických subjektů v registru;Obchodní společnosti;2023;251759
Hlavní město Praha;Počet ekonomických subjektů v registru;Obchodní společnosti;2022;245124
Hlavní město Praha;Počet ekonomických subjektů v registru;Obchodní společnosti;2021;238300
Hlavní město Praha;Počet ekonomických subjektů v registru;Obchodní společnosti;2020;231337
Hlavní město Praha;Počet ekonomických subjektů v registru;Obchodní společnosti;2019;226575
Hlavní město Praha;Počet ekonomických subjektů v registru;Obchodní společnosti;2018;220462
Hlavní město Praha;Počet ekonomických subjektů v registru;Obchodní společnosti;2017;212212
Hlavní město Praha;Počet ekonomických subjektů v registru;Obchodní společnosti;2016;203766
Hlavní město Praha;Počet ekonomických subjektů v registru;Obchodní společnosti;2015;193914
Hlavní město Praha;Počet ekonomických subjektů v registru;Obchodní společnosti;2014;182734
Hlavní město Praha;Počet ekonomických subjektů v registru;Obchodní společnosti;2013;170707
Hlavní město Praha;Počet ekonomických subjektů v registru;Akciové společnosti;2024;15023
Hlavní město Praha;Počet ekonomických subjektů v registru;Akciové společnosti;2023;14946
Hlavní město Praha;Počet ekonomických subjektů v registru;Akciové společnosti;2022;14866
Hlavní město Praha;Počet ekonomických subjektů v registru;Akciové společnosti;2021;14611
Hlavní město Praha;Počet ekonomických subjektů v registru;Akciové společnosti;2020;14361
Hlavní město Praha;Počet ekonomických subjektů v registru;Akciové společnosti;2019;14139
Hlavní město Praha;Počet ekonomických subjektů v registru;Akciové společnosti;2018;13906
Hlavní město Praha;Počet ekonomických subjektů v registru;Akciové společnosti;2017;13667
Hlavní město Praha;Počet ekonomických subjektů v registru;Akciové společnosti;2016;13424
Hlavní město Praha;Počet ekonomických subjektů v registru;Akciové společnosti;2015;13122
Hlavní město Praha;Počet ekonomických subjektů v registru;Akciové společnosti;2014;12801
Hlavní město Praha;Počet ekonomických subjektů v registru;Akciové společnosti;2013;12483
Hlavní město Praha;Počet ekonomických subjektů v registru;Družstva;2024;4715
Hlavní město Praha;Počet ekonomických subjektů v registru;Družstva;2023;4831
Hlavní město Praha;Počet ekonomických subjektů v registru;Družstva;2022;4955
Hlavní město Praha;Počet ekonomických subjektů v registru;Družstva;2021;5091
Hlavní město Praha;Počet ekonomických subjektů v registru;Družstva;2020;5186
Hlavní město Praha;Počet ekonomických subjektů v registru;Družstva;2019;5319
Hlavní město Praha;Počet ekonomických subjektů v registru;Družstva;2018;5462
Hlavní město Praha;Počet ekonomických subjektů v registru;Družstva;2017;5629
Hlavní město Praha;Počet ekonomických subjektů v registru;Družstva;2016;5782
Hlavní město Praha;Počet ekonomických subjektů v registru;Družstva;2015;5938
Hlavní město Praha;Počet ekonomických subjektů v registru;Družstva;2014;6071
Hlavní město Praha;Počet ekonomických subjektů v registru;Družstva;2013;6039
Hlavní město Praha;Počet ekonomických subjektů v registru;Státní podniky;2024;35
Hlavní město Praha;Počet ekonomických subjektů v registru;Státní podniky;2023;39
Hlavní město Praha;Počet ekonomických subjektů v registru;Státní podniky;2022;43
Hlavní město Praha;Počet ekonomických subjektů v registru;Státní podniky;2021;46
Hlavní město Praha;Počet ekonomických subjektů v registru;Státní podniky;2020;51
Hlavní město Praha;Počet ekonomických subjektů v registru;Státní podniky;2019;56
Hlavní město Praha;Počet ekonomických subjektů v registru;Státní podniky;2018;60
Hlavní město Praha;Počet ekonomických subjektů v registru;Státní podniky;2017;68
Hlavní město Praha;Počet ekonomických subjektů v registru;Státní podniky;2016;69
Hlavní město Praha;Počet ekonomických subjektů v registru;Státní podniky;2015;72
Hlavní město Praha;Počet ekonomických subjektů v registru;Státní podniky;2014;76
Hlavní město Praha;Počet ekonomických subjektů v registru;Státní podniky;2013;81
