Ukazatel;Rok sčítání;Území;Frekvence vyjížďky;value
Vyjíždějící do zaměstnání;2021;Liberecký kraj;Z jiného místa než z obvyklého bydliště;837
Vyjíždějící do zaměstnání;2021;Liberecký kraj;Nezjištěno;9607
Vyjíždějící do zaměstnání;2021;Královéhradecký kraj;Vyjíždějící celkem;179293
Vyjíždějící do zaměstnání;2021;Královéhradecký kraj;5x týdně a častěji;134117
Vyjíždějící do zaměstnání;2021;Královéhradecký kraj;1x - 4x týdně;23830
Vyjíždějící do zaměstnání;2021;Královéhradecký kraj;Pravidelně, ale méně než 1x týdně;961
Vyjíždějící do zaměstnání;2021;Královéhradecký kraj;Nepravidelně;8514
Vyjíždějící do zaměstnání;2021;Královéhradecký kraj;Z jiného místa než z obvyklého bydliště;1049
Vyjíždějící do zaměstnání;2021;Královéhradecký kraj;Nezjištěno;10822
Vyjíždějící do zaměstnání;2021;Pardubický kraj;Vyjíždějící celkem;176387
Vyjíždějící do zaměstnání;2021;Pardubický kraj;5x týdně a častěji;131095
Vyjíždějící do zaměstnání;2021;Pardubický kraj;1x - 4x týdně;24585
Vyjíždějící do zaměstnání;2021;Pardubický kraj;Pravidelně, ale méně než 1x týdně;977
Vyjíždějící do zaměstnání;2021;Pardubický kraj;Nepravidelně;8024
Vyjíždějící do zaměstnání;2021;Pardubický kraj;Z jiného místa než z obvyklého bydliště;948
Vyjíždějící do zaměstnání;2021;Pardubický kraj;Nezjištěno;10758
Vyjíždějící do zaměstnání;2021;Kraj Vysočina;Vyjíždějící celkem;168717
Vyjíždějící do zaměstnání;2021;Kraj Vysočina;5x týdně a častěji;127712
Vyjíždějící do zaměstnání;2021;Kraj Vysočina;1x - 4x týdně;21892
Vyjíždějící do zaměstnání;2021;Kraj Vysočina;Pravidelně, ale méně než 1x týdně;917
Vyjíždějící do zaměstnání;2021;Kraj Vysočina;Nepravidelně;7516
Vyjíždějící do zaměstnání;2021;Kraj Vysočina;Z jiného místa než z obvyklého bydliště;1236
Vyjíždějící do zaměstnání;2021;Kraj Vysočina;Nezjištěno;9444
Vyjíždějící do zaměstnání;2021;Jihomoravský kraj;Vyjíždějící celkem;427293
Vyjíždějící do zaměstnání;2021;Jihomoravský kraj;5x týdně a častěji;307457
Vyjíždějící do zaměstnání;2021;Jihomoravský kraj;1x - 4x týdně;71915
Vyjíždějící do zaměstnání;2021;Jihomoravský kraj;Pravidelně, ale méně než 1x týdně;2589
Vyjíždějící do zaměstnání;2021;Jihomoravský kraj;Nepravidelně;19029
Vyjíždějící do zaměstnání;2021;Jihomoravský kraj;Z jiného místa než z obvyklého bydliště;2071
Vyjíždějící do zaměstnání;2021;Jihomoravský kraj;Nezjištěno;24232
Vyjíždějící do zaměstnání;2021;Olomoucký kraj;Vyjíždějící celkem;209771
Vyjíždějící do zaměstnání;2021;Olomoucký kraj;5x týdně a častěji;158599
Vyjíždějící do zaměstnání;2021;Olomoucký kraj;1x - 4x týdně;27616
Vyjíždějící do zaměstnání;2021;Olomoucký kraj;Pravidelně, ale méně než 1x týdně;1191
Vyjíždějící do zaměstnání;2021;Olomoucký kraj;Nepravidelně;9057
Vyjíždějící do zaměstnání;2021;Olomoucký kraj;Z jiného místa než z obvyklého bydliště;1365
Vyjíždějící do zaměstnání;2021;Olomoucký kraj;Nezjištěno;11943
Vyjíždějící do zaměstnání;2021;Zlínský kraj;Vyjíždějící celkem;194484
Vyjíždějící do zaměstnání;2021;Zlínský kraj;5x týdně a častěji;148644
Vyjíždějící do zaměstnání;2021;Zlínský kraj;1x - 4x týdně;23903
Vyjíždějící do zaměstnání;2021;Zlínský kraj;Pravidelně, ale méně než 1x týdně;1150
Vyjíždějící do zaměstnání;2021;Zlínský kraj;Nepravidelně;8200
Vyjíždějící do zaměstnání;2021;Zlínský kraj;Z jiného místa než z obvyklého bydliště;1364
Vyjíždějící do zaměstnání;2021;Zlínský kraj;Nezjištěno;11223
Vyjíždějící do zaměstnání;2021;Moravskoslezský kraj;Vyjíždějící celkem;391440
Vyjíždějící do zaměstnání;2021;Moravskoslezský kraj;5x týdně a častěji;295154
Vyjíždějící do zaměstnání;2021;Moravskoslezský kraj;1x - 4x týdně;52191
Vyjíždějící do zaměstnání;2021;Moravskoslezský kraj;Pravidelně, ale méně než 1x týdně;2296
Vyjíždějící do zaměstnání;2021;Moravskoslezský kraj;Nepravidelně;17417
Vyjíždějící do zaměstnání;2021;Moravskoslezský kraj;Z jiného místa než z obvyklého bydliště;2450
Vyjíždějící do zaměstnání;2021;Moravskoslezský kraj;Nezjištěno;21932
