Ukazatel,Rok sčítání,Území,Ekonomická aktivita,value
Počet obyvatel (obvyklý pobyt),2021,Jihočeský kraj,Mimo pracovní sílu,297036
Počet obyvatel (obvyklý pobyt),2021,Jihočeský kraj,Nepracující důchodci,144722
Počet obyvatel (obvyklý pobyt),2021,Jihočeský kraj,Osoby na rodičovské dovolené,13406
Počet obyvatel (obvyklý pobyt),2021,Jihočeský kraj,"Žáci, studenti",88670
Počet obyvatel (obvyklý pobyt),2021,Jihočeský kraj,Nezjištěno,7247
Počet obyvatel (obvyklý pobyt),2021,Plzeňský kraj,Obyvatelstvo celkem,581436
Počet obyvatel (obvyklý pobyt),2021,Plzeňský kraj,Pracovní síla,308362
Počet obyvatel (obvyklý pobyt),2021,Plzeňský kraj,Zaměstnaní,295810
Počet obyvatel (obvyklý pobyt),2021,Plzeňský kraj,Pracující důchodci,32686
Počet obyvatel (obvyklý pobyt),2021,Plzeňský kraj,Osoby na mateřské dovolené,2192
Počet obyvatel (obvyklý pobyt),2021,Plzeňský kraj,Nezaměstnaní,12552
Počet obyvatel (obvyklý pobyt),2021,Plzeňský kraj,Mimo pracovní sílu,265235
Počet obyvatel (obvyklý pobyt),2021,Plzeňský kraj,Nepracující důchodci,129457
Počet obyvatel (obvyklý pobyt),2021,Plzeňský kraj,Osoby na rodičovské dovolené,12027
Počet obyvatel (obvyklý pobyt),2021,Plzeňský kraj,"Žáci, studenti",77980
Počet obyvatel (obvyklý pobyt),2021,Plzeňský kraj,Nezjištěno,7839
Počet obyvatel (obvyklý pobyt),2021,Karlovarský kraj,Obyvatelstvo celkem,279103
Počet obyvatel (obvyklý pobyt),2021,Karlovarský kraj,Pracovní síla,142659
Počet obyvatel (obvyklý pobyt),2021,Karlovarský kraj,Zaměstnaní,130956
Počet obyvatel (obvyklý pobyt),2021,Karlovarský kraj,Pracující důchodci,14052
Počet obyvatel (obvyklý pobyt),2021,Karlovarský kraj,Osoby na mateřské dovolené,789
Počet obyvatel (obvyklý pobyt),2021,Karlovarský kraj,Nezaměstnaní,11703
Počet obyvatel (obvyklý pobyt),2021,Karlovarský kraj,Mimo pracovní sílu,129541
Počet obyvatel (obvyklý pobyt),2021,Karlovarský kraj,Nepracující důchodci,63847
Počet obyvatel (obvyklý pobyt),2021,Karlovarský kraj,Osoby na rodičovské dovolené,5212
Počet obyvatel (obvyklý pobyt),2021,Karlovarský kraj,"Žáci, studenti",37784
Počet obyvatel (obvyklý pobyt),2021,Karlovarský kraj,Nezjištěno,6903
Počet obyvatel (obvyklý pobyt),2021,Ústecký kraj,Obyvatelstvo celkem,789098
Počet obyvatel (obvyklý pobyt),2021,Ústecký kraj,Pracovní síla,400698
Počet obyvatel (obvyklý pobyt),2021,Ústecký kraj,Zaměstnaní,369950
Počet obyvatel (obvyklý pobyt),2021,Ústecký kraj,Pracující důchodci,43622
Počet obyvatel (obvyklý pobyt),2021,Ústecký kraj,Osoby na mateřské dovolené,2386
Počet obyvatel (obvyklý pobyt),2021,Ústecký kraj,Nezaměstnaní,30748
Počet obyvatel (obvyklý pobyt),2021,Ústecký kraj,Mimo pracovní sílu,372082
Počet obyvatel (obvyklý pobyt),2021,Ústecký kraj,Nepracující důchodci,179712
Počet obyvatel (obvyklý pobyt),2021,Ústecký kraj,Osoby na rodičovské dovolené,15246
Počet obyvatel (obvyklý pobyt),2021,Ústecký kraj,"Žáci, studenti",111319
Počet obyvatel (obvyklý pobyt),2021,Ústecký kraj,Nezjištěno,16318
Počet obyvatel (obvyklý pobyt),2021,Liberecký kraj,Obyvatelstvo celkem,435220
Počet obyvatel (obvyklý pobyt),2021,Liberecký kraj,Pracovní síla,225481
Počet obyvatel (obvyklý pobyt),2021,Liberecký kraj,Zaměstnaní,213877
Počet obyvatel (obvyklý pobyt),2021,Liberecký kraj,Pracující důchodci,24145
Počet obyvatel (obvyklý pobyt),2021,Liberecký kraj,Osoby na mateřské dovolené,1494
Počet obyvatel (obvyklý pobyt),2021,Liberecký kraj,Nezaměstnaní,11604
Počet obyvatel (obvyklý pobyt),2021,Liberecký kraj,Mimo pracovní sílu,203599
Počet obyvatel (obvyklý pobyt),2021,Liberecký kraj,Nepracující důchodci,97447
Počet obyvatel (obvyklý pobyt),2021,Liberecký kraj,Osoby na rodičovské dovolené,9204
Počet obyvatel (obvyklý pobyt),2021,Liberecký kraj,"Žáci, studenti",61204
Počet obyvatel (obvyklý pobyt),2021,Liberecký kraj,Nezjištěno,6140
Počet obyvatel (obvyklý pobyt),2021,Královéhradecký kraj,Obyvatelstvo celkem,538303
Počet obyvatel (obvyklý pobyt),2021,Královéhradecký kraj,Pracovní síla,277717
Počet obyvatel (obvyklý pobyt),2021,Královéhradecký kraj,Zaměstnaní,266948
Počet obyvatel (obvyklý pobyt),2021,Královéhradecký kraj,Pracující důchodci,31739
Počet obyvatel (obvyklý pobyt),2021,Královéhradecký kraj,Osoby na mateřské dovolené,1942
Počet obyvatel (obvyklý pobyt),2021,Královéhradecký kraj,Nezaměstnaní,10769
Počet obyvatel (obvyklý pobyt),2021,Královéhradecký kraj,Mimo pracovní sílu,255448
Počet obyvatel (obvyklý pobyt),2021,Královéhradecký kraj,Nepracující důchodci,126868
Počet obyvatel (obvyklý pobyt),2021,Královéhradecký kraj,Osoby na rodičovské dovolené,11050
Počet obyvatel (obvyklý pobyt),2021,Královéhradecký kraj,"Žáci, studenti",75596
Počet obyvatel (obvyklý pobyt),2021,Královéhradecký kraj,Nezjištěno,5138
Počet obyvatel (obvyklý pobyt),2021,Pardubický kraj,Obyvatelstvo celkem,510037
Počet obyvatel (obvyklý pobyt),2021,Pardubický kraj,Pracovní síla,265515
Počet obyvatel (obvyklý pobyt),2021,Pardubický kraj,Zaměstnaní,255984
Počet obyvatel (obvyklý pobyt),2021,Pardubický kraj,Pracující důchodci,28430
Počet obyvatel (obvyklý pobyt),2021,Pardubický kraj,Osoby na mateřské dovolené,1960
Počet obyvatel (obvyklý pobyt),2021,Pardubický kraj,Nezaměstnaní,9531
Počet obyvatel (obvyklý pobyt),2021,Pardubický kraj,Mimo pracovní sílu,240313
Počet obyvatel (obvyklý pobyt),2021,Pardubický kraj,Nepracující důchodci,116553
Počet obyvatel (obvyklý pobyt),2021,Pardubický kraj,Osoby na rodičovské dovolené,11104
Počet obyvatel (obvyklý pobyt),2021,Pardubický kraj,"Žáci, studenti",72210
Počet obyvatel (obvyklý pobyt),2021,Pardubický kraj,Nezjištěno,4209
Počet obyvatel (obvyklý pobyt),2021,Kraj Vysočina,Obyvatelstvo celkem,497661
Počet obyvatel (obvyklý pobyt),2021,Kraj Vysočina,Pracovní síla,255419
Počet obyvatel (obvyklý pobyt),2021,Kraj Vysočina,Zaměstnaní,246077
Počet obyvatel (obvyklý pobyt),2021,Kraj Vysočina,Pracující důchodci,25913
Počet obyvatel (obvyklý pobyt),2021,Kraj Vysočina,Osoby na mateřské dovolené,1936
Počet obyvatel (obvyklý pobyt),2021,Kraj Vysočina,Nezaměstnaní,9342
Počet obyvatel (obvyklý pobyt),2021,Kraj Vysočina,Mimo pracovní sílu,239083
Počet obyvatel (obvyklý pobyt),2021,Kraj Vysočina,Nepracující důchodci,118636
Počet obyvatel (obvyklý pobyt),2021,Kraj Vysočina,Osoby na rodičovské dovolené,11090
Počet obyvatel (obvyklý pobyt),2021,Kraj Vysočina,"Žáci, studenti",70161
Počet obyvatel (obvyklý pobyt),2021,Kraj Vysočina,Nezjištěno,3159
Počet obyvatel (obvyklý pobyt),2021,Jihomoravský kraj,Obyvatelstvo celkem,1197651
Počet obyvatel (obvyklý pobyt),2021,Jihomoravský kraj,Pracovní síla,634700
Počet obyvatel (obvyklý pobyt),2021,Jihomoravský kraj,Zaměstnaní,603968
Počet obyvatel (obvyklý pobyt),2021,Jihomoravský kraj,Pracující důchodci,66442
Počet obyvatel (obvyklý pobyt),2021,Jihomoravský kraj,Osoby na mateřské dovolené,4861
Počet obyvatel (obvyklý pobyt),2021,Jihomoravský kraj,Nezaměstnaní,30732
Počet obyvatel (obvyklý pobyt),2021,Jihomoravský kraj,Mimo pracovní sílu,551760
Počet obyvatel (obvyklý pobyt),2021,Jihomoravský kraj,Nepracující důchodci,259538
Počet obyvatel (obvyklý pobyt),2021,Jihomoravský kraj,Osoby na rodičovské dovolené,26715
Počet obyvatel (obvyklý pobyt),2021,Jihomoravský kraj,"Žáci, studenti",164674
Počet obyvatel (obvyklý pobyt),2021,Jihomoravský kraj,Nezjištěno,11191
Počet obyvatel (obvyklý pobyt),2021,Olomoucký kraj,Obyvatelstvo celkem,619788
Počet obyvatel (obvyklý pobyt),2021,Olomoucký kraj,Pracovní síla,317949
Počet obyvatel (obvyklý pobyt),2021,Olomoucký kraj,Zaměstnaní,301779
Počet obyvatel (obvyklý pobyt),2021,Olomoucký kraj,Pracující důchodci,29284
Počet obyvatel (obvyklý pobyt),2021,Olomoucký kraj,Osoby na mateřské dovolené,2312
Počet obyvatel (obvyklý pobyt),2021,Olomoucký kraj,Nezaměstnaní,16170
Počet obyvatel (obvyklý pobyt),2021,Olomoucký kraj,Mimo pracovní sílu,295909
Počet obyvatel (obvyklý pobyt),2021,Olomoucký kraj,Nepracující důchodci,146073
Počet obyvatel (obvyklý pobyt),2021,Olomoucký kraj,Osoby na rodičovské dovolené,13059
Počet obyvatel (obvyklý pobyt),2021,Olomoucký kraj,"Žáci, studenti",87418
Počet obyvatel (obvyklý pobyt),2021,Olomoucký kraj,Nezjištěno,5930
Počet obyvatel (obvyklý pobyt),2021,Zlínský kraj,Obyvatelstvo celkem,564331
Počet obyvatel (obvyklý pobyt),2021,Zlínský kraj,Pracovní síla,290840
Počet obyvatel (obvyklý pobyt),2021,Zlínský kraj,Zaměstnaní,278753
Počet obyvatel (obvyklý pobyt),2021,Zlínský kraj,Pracující důchodci,30048
Počet obyvatel (obvyklý pobyt),2021,Zlínský kraj,Osoby na mateřské dovolené,2201
Počet obyvatel (obvyklý pobyt),2021,Zlínský kraj,Nezaměstnaní,12087
Počet obyvatel (obvyklý pobyt),2021,Zlínský kraj,Mimo pracovní sílu,269184
Počet obyvatel (obvyklý pobyt),2021,Zlínský kraj,Nepracující důchodci,135918
Počet obyvatel (obvyklý pobyt),2021,Zlínský kraj,Osoby na rodičovské dovolené,11975
Počet obyvatel (obvyklý pobyt),2021,Zlínský kraj,"Žáci, studenti",78238
Počet obyvatel (obvyklý pobyt),2021,Zlínský kraj,Nezjištěno,4307
Počet obyvatel (obvyklý pobyt),2021,Moravskoslezský kraj,Obyvatelstvo celkem,1162841
Počet obyvatel (obvyklý pobyt),2021,Moravskoslezský kraj,Pracovní síla,591399
Počet obyvatel (obvyklý pobyt),2021,Moravskoslezský kraj,Zaměstnaní,551088
Počet obyvatel (obvyklý pobyt),2021,Moravskoslezský kraj,Pracující důchodci,52414
Počet obyvatel (obvyklý pobyt),2021,Moravskoslezský kraj,Osoby na mateřské dovolené,3983
Počet obyvatel (obvyklý pobyt),2021,Moravskoslezský kraj,Nezaměstnaní,40311
Počet obyvatel (obvyklý pobyt),2021,Moravskoslezský kraj,Mimo pracovní sílu,556733
Počet obyvatel (obvyklý pobyt),2021,Moravskoslezský kraj,Nepracující důchodci,278947
Počet obyvatel (obvyklý pobyt),2021,Moravskoslezský kraj,Osoby na rodičovské dovolené,23605
Počet obyvatel (obvyklý pobyt),2021,Moravskoslezský kraj,"Žáci, studenti",160970
Počet obyvatel (obvyklý pobyt),2021,Moravskoslezský kraj,Nezjištěno,14709
