Území,Pohlaví,Měsíce,Ukazatel,value
Česko,Celkem,prosinec 2024,Míra ekonomické aktivity (%),77.6321478672
Česko,Celkem,listopad 2024,Obecná míra nezaměstnanosti (%),2.7688700838
Česko,Celkem,listopad 2024,Zaměstnaní (tis. osob),4906.5785902162
Česko,Celkem,listopad 2024,Pracovní síla ekonomicky aktivní (tis. osob),5046.3041974762
Česko,Celkem,listopad 2024,Míra ekonomické aktivity (%),77.4863131743
Česko,Celkem,říjen 2024,Obecná míra nezaměstnanosti (%),2.784017708
Česko,Celkem,říjen 2024,Zaměstnaní (tis. osob),4896.3196674339
Česko,Celkem,říjen 2024,Pracovní síla ekonomicky aktivní (tis. osob),5036.5377708469
Česko,Celkem,říjen 2024,Míra ekonomické aktivity (%),77.347114711
Česko,Celkem,září 2024,Obecná míra nezaměstnanosti (%),2.7856164947
Česko,Celkem,září 2024,Zaměstnaní (tis. osob),4892.0151704701
Česko,Celkem,září 2024,Pracovní síla ekonomicky aktivní (tis. osob),5032.1927620972
Česko,Celkem,září 2024,Míra ekonomické aktivity (%),77.2679281139
Česko,Celkem,srpen 2024,Obecná míra nezaměstnanosti (%),2.7693559792
Česko,Celkem,srpen 2024,Zaměstnaní (tis. osob),4893.1536622602
Česko,Celkem,srpen 2024,Pracovní síla ekonomicky aktivní (tis. osob),5032.5221143404
Česko,Celkem,srpen 2024,Míra ekonomické aktivity (%),77.2498613435
Česko,Celkem,červenec 2024,Obecná míra nezaměstnanosti (%),2.7691245006
Česko,Celkem,červenec 2024,Zaměstnaní (tis. osob),4893.5788321243
Česko,Celkem,červenec 2024,Pracovní síla ekonomicky aktivní (tis. osob),5032.9474120125
Česko,Celkem,červenec 2024,Míra ekonomické aktivity (%),77.2475059541
Česko,Celkem,červen 2024,Obecná míra nezaměstnanosti (%),2.7887134454
Česko,Celkem,červen 2024,Zaměstnaní (tis. osob),4890.1613190689
Česko,Celkem,červen 2024,Pracovní síla ekonomicky aktivní (tis. osob),5030.4460442712
Česko,Celkem,červen 2024,Míra ekonomické aktivity (%),77.219381804
Česko,Celkem,květen 2024,Obecná míra nezaměstnanosti (%),2.8044513727
Česko,Celkem,květen 2024,Zaměstnaní (tis. osob),4886.0933961242
Česko,Celkem,květen 2024,Pracovní síla ekonomicky aktivní (tis. osob),5027.075277756
Česko,Celkem,květen 2024,Míra ekonomické aktivity (%),77.1799843127
Česko,Celkem,duben 2024,Obecná míra nezaměstnanosti (%),2.8243032642
Česko,Celkem,duben 2024,Zaměstnaní (tis. osob),4883.0549488187
Česko,Celkem,duben 2024,Pracovní síla ekonomicky aktivní (tis. osob),5024.9754957701
Česko,Celkem,duben 2024,Míra ekonomické aktivity (%),77.1610199186
Česko,Celkem,březen 2024,Obecná míra nezaměstnanosti (%),2.8486114605
Česko,Celkem,březen 2024,Zaměstnaní (tis. osob),4882.9135797966
Česko,Celkem,březen 2024,Pracovní síla ekonomicky aktivní (tis. osob),5026.087278015
Česko,Celkem,březen 2024,Míra ekonomické aktivity (%),77.1885392952
Česko,Celkem,únor 2024,Obecná míra nezaměstnanosti (%),2.860250415
Česko,Celkem,únor 2024,Zaměstnaní (tis. osob),4886.6206814599
Česko,Celkem,únor 2024,Pracovní síla ekonomicky aktivní (tis. osob),5030.5057428456
Česko,Celkem,únor 2024,Míra ekonomické aktivity (%),77.2433219167
Česko,Celkem,leden 2024,Obecná míra nezaměstnanosti (%),2.8572321932
Česko,Celkem,leden 2024,Zaměstnaní (tis. osob),4888.39508067
Česko,Celkem,leden 2024,Pracovní síla ekonomicky aktivní (tis. osob),5032.1760343432
Česko,Celkem,leden 2024,Míra ekonomické aktivity (%),77.2624444422
Česko,Celkem,prosinec 2023,Obecná míra nezaměstnanosti (%),2.8223272923
Česko,Celkem,prosinec 2023,Zaměstnaní (tis. osob),4886.8809615568
Česko,Celkem,prosinec 2023,Pracovní síla ekonomicky aktivní (tis. osob),5028.8104514073
Česko,Celkem,prosinec 2023,Míra ekonomické aktivity (%),77.2261769814
Česko,Celkem,listopad 2023,Obecná míra nezaměstnanosti (%),2.7782479884
Česko,Celkem,listopad 2023,Zaměstnaní (tis. osob),4885.0823482262
Česko,Celkem,listopad 2023,Pracovní síla ekonomicky aktivní (tis. osob),5024.6804312319
Česko,Celkem,listopad 2023,Míra ekonomické aktivity (%),77.1622448054
Česko,Celkem,říjen 2023,Obecná míra nezaměstnanosti (%),2.7529710427
Česko,Celkem,říjen 2023,Zaměstnaní (tis. osob),4885.1288992749
Česko,Celkem,říjen 2023,Pracovní síla ekonomicky aktivní (tis. osob),5023.4222594269
Česko,Celkem,říjen 2023,Míra ekonomické aktivity (%),77.1038124605
Česko,Celkem,září 2023,Obecná míra nezaměstnanosti (%),2.7246158961
Česko,Celkem,září 2023,Zaměstnaní (tis. osob),4884.3136690911
Česko,Celkem,září 2023,Pracovní síla ekonomicky aktivní (tis. osob),5021.1199000504
Česko,Celkem,září 2023,Míra ekonomické aktivity (%),77.0543771547
Česko,Celkem,srpen 2023,Obecná míra nezaměstnanosti (%),2.7025816099
Česko,Celkem,srpen 2023,Zaměstnaní (tis. osob),4881.1598111528
Česko,Celkem,srpen 2023,Pracovní síla ekonomicky aktivní (tis. osob),5016.7413400256
Česko,Celkem,srpen 2023,Míra ekonomické aktivity (%),76.9961297677
Česko,Celkem,červenec 2023,Obecná míra nezaměstnanosti (%),2.6958734359
Česko,Celkem,červenec 2023,Zaměstnaní (tis. osob),4876.5233500956
Česko,Celkem,červenec 2023,Pracovní síla ekonomicky aktivní (tis. osob),5011.6305672653
Česko,Celkem,červenec 2023,Míra ekonomické aktivity (%),76.9343823081
Česko,Celkem,červen 2023,Obecná míra nezaměstnanosti (%),2.6781837058
Česko,Celkem,červen 2023,Zaměstnaní (tis. osob),5077.9494074397
Česko,Celkem,červen 2023,Pracovní síla ekonomicky aktivní (tis. osob),5217.6886959128
Česko,Celkem,červen 2023,Míra ekonomické aktivity (%),78.2162721583
Česko,Celkem,květen 2023,Obecná míra nezaměstnanosti (%),2.6483359651
Česko,Celkem,květen 2023,Zaměstnaní (tis. osob),5070.2286022183
Česko,Celkem,květen 2023,Pracovní síla ekonomicky aktivní (tis. osob),5208.1581270129
Česko,Celkem,květen 2023,Míra ekonomické aktivity (%),78.1253336909
Česko,Celkem,duben 2023,Obecná míra nezaměstnanosti (%),2.6237137167
Česko,Celkem,duben 2023,Zaměstnaní (tis. osob),5066.1585518538
Česko,Celkem,duben 2023,Pracovní síla ekonomicky aktivní (tis. osob),5202.6614951339
Česko,Celkem,duben 2023,Míra ekonomické aktivity (%),78.0497846049
Česko,Celkem,březen 2023,Obecná míra nezaměstnanosti (%),2.5926502995
Česko,Celkem,březen 2023,Zaměstnaní (tis. osob),5054.6178716235
Česko,Celkem,březen 2023,Pracovní síla ekonomicky aktivní (tis. osob),5189.1545013467
Česko,Celkem,březen 2023,Míra ekonomické aktivity (%),78.0174773544
Česko,Celkem,únor 2023,Obecná míra nezaměstnanosti (%),2.5378740401
Česko,Celkem,únor 2023,Zaměstnaní (tis. osob),5046.5762850655
Česko,Celkem,únor 2023,Pracovní síla ekonomicky aktivní (tis. osob),5177.9870748391
Česko,Celkem,únor 2023,Míra ekonomické aktivity (%),77.2670983432
Česko,Celkem,leden 2023,Obecná míra nezaměstnanosti (%),2.4531040757
Česko,Celkem,leden 2023,Zaměstnaní (tis. osob),5047.7481980097
Česko,Celkem,leden 2023,Pracovní síla ekonomicky aktivní (tis. osob),5174.6886973468
Česko,Celkem,leden 2023,Míra ekonomické aktivity (%),77.2497572502
Česko,Celkem,prosinec 2022,Obecná míra nezaměstnanosti (%),2.3632663122
Česko,Celkem,prosinec 2022,Zaměstnaní (tis. osob),5046.5919511952
Česko,Celkem,prosinec 2022,Pracovní síla ekonomicky aktivní (tis. osob),5168.7431160196
Česko,Celkem,prosinec 2022,Míra ekonomické aktivity (%),77.2120064068
Česko,Celkem,listopad 2022,Obecná míra nezaměstnanosti (%),2.302758867
Česko,Celkem,listopad 2022,Zaměstnaní (tis. osob),5041.580493693
Česko,Celkem,listopad 2022,Pracovní síla ekonomicky aktivní (tis. osob),5160.412346575
Česko,Celkem,listopad 2022,Míra ekonomické aktivity (%),77.2095854067
Česko,Celkem,říjen 2022,Obecná míra nezaměstnanosti (%),2.2781017198
Česko,Celkem,říjen 2022,Zaměstnaní (tis. osob),5036.9792261841
Česko,Celkem,říjen 2022,Pracovní síla ekonomicky aktivní (tis. osob),5154.4017408882
Česko,Celkem,říjen 2022,Míra ekonomické aktivity (%),77.2718167397
Česko,Celkem,září 2022,Obecná míra nezaměstnanosti (%),2.3002465729
Česko,Celkem,září 2022,Zaměstnaní (tis. osob),5032.5824563135
Česko,Celkem,září 2022,Pracovní síla ekonomicky aktivní (tis. osob),5151.0697619813
Česko,Celkem,září 2022,Míra ekonomické aktivity (%),77.346042721
Česko,Celkem,srpen 2022,Obecná míra nezaměstnanosti (%),2.3535511552
Česko,Celkem,srpen 2022,Zaměstnaní (tis. osob),5029.0594091823
Česko,Celkem,srpen 2022,Pracovní síla ekonomicky aktivní (tis. osob),5150.2737361955
Česko,Celkem,srpen 2022,Míra ekonomické aktivity (%),77.3938554031
Česko,Celkem,červenec 2022,Obecná míra nezaměstnanosti (%),2.4015149961
Česko,Celkem,červenec 2022,Zaměstnaní (tis. osob),5025.5324577233
Česko,Celkem,červenec 2022,Pracovní síla ekonomicky aktivní (tis. osob),5149.1910530401
Česko,Celkem,červenec 2022,Míra ekonomické aktivity (%),77.3950878245
Česko,Celkem,červen 2022,Obecná míra nezaměstnanosti (%),2.4333994394
Česko,Celkem,červen 2022,Zaměstnaní (tis. osob),5027.313112293
Česko,Celkem,červen 2022,Pracovní síla ekonomicky aktivní (tis. osob),5152.698857404
Česko,Celkem,červen 2022,Míra ekonomické aktivity (%),77.3560181863
Česko,Celkem,květen 2022,Obecná míra nezaměstnanosti (%),2.4431648338
Česko,Celkem,květen 2022,Zaměstnaní (tis. osob),5017.3050385496
Česko,Celkem,květen 2022,Pracovní síla ekonomicky aktivní (tis. osob),5142.955929233
Česko,Celkem,květen 2022,Míra ekonomické aktivity (%),77.3032957786
Česko,Celkem,duben 2022,Obecná míra nezaměstnanosti (%),2.4357234893
Česko,Celkem,duben 2022,Zaměstnaní (tis. osob),5014.5124083654
Česko,Celkem,duben 2022,Pracovní síla ekonomicky aktivní (tis. osob),5139.7013207152
Česko,Celkem,duben 2022,Míra ekonomické aktivity (%),77.2512631188
Česko,Celkem,březen 2022,Obecná míra nezaměstnanosti (%),2.4309699806
Česko,Celkem,březen 2022,Zaměstnaní (tis. osob),5014.5320996505
Česko,Celkem,březen 2022,Pracovní síla ekonomicky aktivní (tis. osob),5139.4710992369
Česko,Celkem,březen 2022,Míra ekonomické aktivity (%),77.1967240722
Česko,Celkem,únor 2022,Obecná míra nezaměstnanosti (%),2.4206793687
Česko,Celkem,únor 2022,Zaměstnaní (tis. osob),5008.5590172972
Česko,Celkem,únor 2022,Pracovní síla ekonomicky aktivní (tis. osob),5132.8078376586
Česko,Celkem,únor 2022,Míra ekonomické aktivity (%),77.1343206056
Česko,Celkem,leden 2022,Obecná míra nezaměstnanosti (%),2.3825193311
Česko,Celkem,leden 2022,Zaměstnaní (tis. osob),5007.7486467684
Česko,Celkem,leden 2022,Pracovní síla ekonomicky aktivní (tis. osob),5129.9712023416
Česko,Celkem,leden 2022,Míra ekonomické aktivity (%),77.0627058654
Česko,Celkem,prosinec 2021,Obecná míra nezaměstnanosti (%),2.3492507907
Česko,Celkem,prosinec 2021,Zaměstnaní (tis. osob),5106.1270695084
Česko,Celkem,prosinec 2021,Pracovní síla ekonomicky aktivní (tis. osob),5228.9686570297
Česko,Celkem,prosinec 2021,Míra ekonomické aktivity (%),76.9980841503
Česko,Celkem,listopad 2021,Obecná míra nezaměstnanosti (%),2.3779972288
Česko,Celkem,listopad 2021,Zaměstnaní (tis. osob),5096.1435273242
Česko,Celkem,listopad 2021,Pracovní síla ekonomicky aktivní (tis. osob),5220.2816810351
Česko,Celkem,listopad 2021,Míra ekonomické aktivity (%),76.958370139
Česko,Celkem,říjen 2021,Obecná míra nezaměstnanosti (%),2.4743792027
Česko,Celkem,říjen 2021,Zaměstnaní (tis. osob),5089.7319608276
Česko,Celkem,říjen 2021,Pracovní síla ekonomicky aktivní (tis. osob),5218.8665083258
Česko,Celkem,říjen 2021,Míra ekonomické aktivity (%),76.9304347264
Česko,Celkem,září 2021,Obecná míra nezaměstnanosti (%),2.5946713264
Česko,Celkem,září 2021,Zaměstnaní (tis. osob),5110.6434364892
Česko,Celkem,září 2021,Pracovní síla ekonomicky aktivní (tis. osob),5246.7801362442
Česko,Celkem,září 2021,Míra ekonomické aktivity (%),76.8856645919
Česko,Celkem,srpen 2021,Obecná míra nezaměstnanosti (%),2.6992779625
Česko,Celkem,srpen 2021,Zaměstnaní (tis. osob),5094.1558385208
Česko,Celkem,srpen 2021,Pracovní síla ekonomicky aktivní (tis. osob),5235.475885325
Česko,Celkem,srpen 2021,Míra ekonomické aktivity (%),76.7926230317
Česko,Celkem,červenec 2021,Obecná míra nezaměstnanosti (%),2.7955407772
Česko,Celkem,červenec 2021,Zaměstnaní (tis. osob),5078.97443628
Česko,Celkem,červenec 2021,Pracovní síla ekonomicky aktivní (tis. osob),5225.0426337307
Česko,Celkem,červenec 2021,Míra ekonomické aktivity (%),76.6584618751
Česko,Celkem,červen 2021,Obecná míra nezaměstnanosti (%),2.9322641225
Česko,Celkem,červen 2021,Zaměstnaní (tis. osob),5072.8065843895
Česko,Celkem,červen 2021,Pracovní síla ekonomicky aktivní (tis. osob),5226.0481183878
Česko,Celkem,červen 2021,Míra ekonomické aktivity (%),76.5359717527
Česko,Celkem,květen 2021,Obecná míra nezaměstnanosti (%),3.1075754019
Česko,Celkem,květen 2021,Zaměstnaní (tis. osob),5050.876110455
Česko,Celkem,květen 2021,Pracovní síla ekonomicky aktivní (tis. osob),5212.8699755467
Česko,Celkem,květen 2021,Míra ekonomické aktivity (%),76.4534614488
Česko,Celkem,duben 2021,Obecná míra nezaměstnanosti (%),3.2513875745
Česko,Celkem,duben 2021,Zaměstnaní (tis. osob),5041.2446286735
Česko,Celkem,duben 2021,Pracovní síla ekonomicky aktivní (tis. osob),5210.6634940701
Česko,Celkem,duben 2021,Míra ekonomické aktivity (%),76.4071730453
Česko,Celkem,březen 2021,Obecná míra nezaměstnanosti (%),3.3154075825
Česko,Celkem,březen 2021,Zaměstnaní (tis. osob),5050.8059313875
Česko,Celkem,březen 2021,Pracovní síla ekonomicky aktivní (tis. osob),5224.0029203181
Česko,Celkem,březen 2021,Míra ekonomické aktivity (%),76.3728416273
Česko,Celkem,únor 2021,Obecná míra nezaměstnanosti (%),3.3063609879
Česko,Celkem,únor 2021,Zaměstnaní (tis. osob),5034.8672511438
Česko,Celkem,únor 2021,Pracovní síla ekonomicky aktivní (tis. osob),5207.030475413
Česko,Celkem,únor 2021,Míra ekonomické aktivity (%),76.3368820466
Česko,Celkem,leden 2021,Obecná míra nezaměstnanosti (%),3.2693197273
Česko,Celkem,leden 2021,Zaměstnaní (tis. osob),5036.5460268215
Česko,Celkem,leden 2021,Pracovní síla ekonomicky aktivní (tis. osob),5206.7720526984
Česko,Celkem,leden 2021,Míra ekonomické aktivity (%),76.3260649106
Česko,Celkem,prosinec 2020,Obecná míra nezaměstnanosti (%),3.224126059
Česko,Celkem,prosinec 2020,Zaměstnaní (tis. osob),5042.9313428393
Česko,Celkem,prosinec 2020,Pracovní síla ekonomicky aktivní (tis. osob),5210.9385712323
Česko,Celkem,prosinec 2020,Míra ekonomické aktivity (%),76.3624399657
Česko,Celkem,listopad 2020,Obecná míra nezaměstnanosti (%),3.1585677677
Česko,Celkem,listopad 2020,Zaměstnaní (tis. osob),5047.5979897517
Česko,Celkem,listopad 2020,Pracovní síla ekonomicky aktivní (tis. osob),5212.229800198
Česko,Celkem,listopad 2020,Míra ekonomické aktivity (%),76.4110472013
Česko,Celkem,říjen 2020,Obecná míra nezaměstnanosti (%),3.0632307825
Česko,Celkem,říjen 2020,Zaměstnaní (tis. osob),5058.2934694642
Česko,Celkem,říjen 2020,Pracovní síla ekonomicky aktivní (tis. osob),5218.1370498492
Česko,Celkem,říjen 2020,Míra ekonomické aktivity (%),76.4198358642
Česko,Celkem,září 2020,Obecná míra nezaměstnanosti (%),2.957455731
Česko,Celkem,září 2020,Zaměstnaní (tis. osob),5072.3710252146
Česko,Celkem,září 2020,Pracovní síla ekonomicky aktivní (tis. osob),5226.9559330097
Česko,Celkem,září 2020,Míra ekonomické aktivity (%),76.3972488642
Česko,Celkem,srpen 2020,Obecná míra nezaměstnanosti (%),2.8780990816
Česko,Celkem,srpen 2020,Zaměstnaní (tis. osob),5076.1196981886
Česko,Celkem,srpen 2020,Pracovní síla ekonomicky aktivní (tis. osob),5226.5448371446
Česko,Celkem,srpen 2020,Míra ekonomické aktivity (%),76.3763063543
Česko,Celkem,červenec 2020,Obecná míra nezaměstnanosti (%),2.822973981
Česko,Celkem,červenec 2020,Zaměstnaní (tis. osob),5084.9961899599
Česko,Celkem,červenec 2020,Pracovní síla ekonomicky aktivní (tis. osob),5232.7143546948
Česko,Celkem,červenec 2020,Míra ekonomické aktivity (%),76.3683084414
Česko,Celkem,červen 2020,Obecná míra nezaměstnanosti (%),2.7766020227
Česko,Celkem,červen 2020,Zaměstnaní (tis. osob),5081.2607555948
Česko,Celkem,červen 2020,Pracovní síla ekonomicky aktivní (tis. osob),5226.3764292422
Česko,Celkem,červen 2020,Míra ekonomické aktivity (%),76.3689858387
Česko,Celkem,květen 2020,Obecná míra nezaměstnanosti (%),2.7526662989
Česko,Celkem,květen 2020,Zaměstnaní (tis. osob),5083.4970137269
Česko,Celkem,květen 2020,Pracovní síla ekonomicky aktivní (tis. osob),5227.389605714
Česko,Celkem,květen 2020,Míra ekonomické aktivity (%),76.3801148207
Česko,Celkem,duben 2020,Obecná míra nezaměstnanosti (%),1.9905338356
Česko,Celkem,duben 2020,Zaměstnaní (tis. osob),5095.4475265677
Česko,Celkem,duben 2020,Pracovní síla ekonomicky aktivní (tis. osob),5198.9340682865
Česko,Celkem,duben 2020,Míra ekonomické aktivity (%),76.4096384999
Česko,Celkem,březen 2020,Obecná míra nezaměstnanosti (%),1.9796036671
Česko,Celkem,březen 2020,Zaměstnaní (tis. osob),5119.5215635368
Česko,Celkem,březen 2020,Pracovní síla ekonomicky aktivní (tis. osob),5222.914571932
Česko,Celkem,březen 2020,Míra ekonomické aktivity (%),76.4548225379
Česko,Celkem,únor 2020,Obecná míra nezaměstnanosti (%),1.9812327362
Česko,Celkem,únor 2020,Zaměstnaní (tis. osob),5135.542558657
Česko,Celkem,únor 2020,Pracovní síla ekonomicky aktivní (tis. osob),5239.3462007489
Česko,Celkem,únor 2020,Míra ekonomické aktivity (%),76.5181465913
Česko,Celkem,leden 2020,Obecná míra nezaměstnanosti (%),2.0127391664
Česko,Celkem,leden 2020,Zaměstnaní (tis. osob),5148.5898917814
Česko,Celkem,leden 2020,Pracovní síla ekonomicky aktivní (tis. osob),5254.3461751857
Česko,Celkem,leden 2020,Míra ekonomické aktivity (%),76.6073431885
Česko,Celkem,prosinec 2019,Obecná míra nezaměstnanosti (%),2.0681285294
Česko,Celkem,prosinec 2019,Zaměstnaní (tis. osob),5127.5223427637
Česko,Celkem,prosinec 2019,Pracovní síla ekonomicky aktivní (tis. osob),5235.8055306884
Česko,Celkem,prosinec 2019,Míra ekonomické aktivity (%),76.7095781156
Česko,Celkem,listopad 2019,Obecná míra nezaměstnanosti (%),2.1244054264
Česko,Celkem,listopad 2019,Zaměstnaní (tis. osob),5129.4461394321
Česko,Celkem,listopad 2019,Pracovní síla ekonomicky aktivní (tis. osob),5240.7815878716
Česko,Celkem,listopad 2019,Míra ekonomické aktivity (%),76.7957250913
Česko,Celkem,říjen 2019,Obecná míra nezaměstnanosti (%),2.1468930313
Česko,Celkem,říjen 2019,Zaměstnaní (tis. osob),5147.4699788849
Česko,Celkem,říjen 2019,Pracovní síla ekonomicky aktivní (tis. osob),5260.4052526729
Česko,Celkem,říjen 2019,Míra ekonomické aktivity (%),76.8426297621
Česko,Celkem,září 2019,Obecná míra nezaměstnanosti (%),2.1292977076
Česko,Celkem,září 2019,Zaměstnaní (tis. osob),5153.9296088428
Česko,Celkem,září 2019,Pracovní síla ekonomicky aktivní (tis. osob),5266.0596972564
Česko,Celkem,září 2019,Míra ekonomické aktivity (%),76.8393298659
Česko,Celkem,srpen 2019,Obecná míra nezaměstnanosti (%),2.0919118598
Česko,Celkem,srpen 2019,Zaměstnaní (tis. osob),5147.1088877599
Česko,Celkem,srpen 2019,Pracovní síla ekonomicky aktivní (tis. osob),5257.0824183482
Česko,Celkem,srpen 2019,Míra ekonomické aktivity (%),76.8025039309
Česko,Celkem,červenec 2019,Obecná míra nezaměstnanosti (%),2.048645825
Česko,Celkem,červenec 2019,Zaměstnaní (tis. osob),5137.8301720015
Česko,Celkem,červenec 2019,Pracovní síla ekonomicky aktivní (tis. osob),5245.287536117
Česko,Celkem,červenec 2019,Míra ekonomické aktivity (%),76.7706993445
Česko,Celkem,červen 2019,Obecná míra nezaměstnanosti (%),2.0216202329
Česko,Celkem,červen 2019,Zaměstnaní (tis. osob),5143.2261260074
Česko,Celkem,červen 2019,Pracovní síla ekonomicky aktivní (tis. osob),5249.3480074189
Česko,Celkem,červen 2019,Míra ekonomické aktivity (%),76.7606067911
Česko,Celkem,květen 2019,Obecná míra nezaměstnanosti (%),2.024353958
Česko,Celkem,květen 2019,Zaměstnaní (tis. osob),5157.3131406274
Česko,Celkem,květen 2019,Pracovní síla ekonomicky aktivní (tis. osob),5263.8725529993
Česko,Celkem,květen 2019,Míra ekonomické aktivity (%),76.7653593264
Česko,Celkem,duben 2019,Obecná míra nezaměstnanosti (%),2.0290365256
Česko,Celkem,duben 2019,Zaměstnaní (tis. osob),5150.9955869234
Česko,Celkem,duben 2019,Pracovní síla ekonomicky aktivní (tis. osob),5257.675748252
Česko,Celkem,duben 2019,Míra ekonomické aktivity (%),76.7858450922
Česko,Celkem,březen 2019,Obecná míra nezaměstnanosti (%),2.0214066598
Česko,Celkem,březen 2019,Zaměstnaní (tis. osob),5162.5679830784
Česko,Celkem,březen 2019,Pracovní síla ekonomicky aktivní (tis. osob),5269.0774658836
Česko,Celkem,březen 2019,Míra ekonomické aktivity (%),76.824746551
Česko,Celkem,únor 2019,Obecná míra nezaměstnanosti (%),2.0275217157
Česko,Celkem,únor 2019,Zaměstnaní (tis. osob),5164.581723071
Česko,Celkem,únor 2019,Pracovní síla ekonomicky aktivní (tis. osob),5271.4617548865
Česko,Celkem,únor 2019,Míra ekonomické aktivity (%),76.8782432958
Česko,Celkem,leden 2019,Obecná míra nezaměstnanosti (%),2.0732233862
Česko,Celkem,leden 2019,Zaměstnaní (tis. osob),5175.7168356774
Česko,Celkem,leden 2019,Pracovní síla ekonomicky aktivní (tis. osob),5285.292761231
Česko,Celkem,leden 2019,Míra ekonomické aktivity (%),76.9241201135
Česko,Celkem,prosinec 2018,Obecná míra nezaměstnanosti (%),2.1246114332
Česko,Celkem,prosinec 2018,Zaměstnaní (tis. osob),5161.058714734
Česko,Celkem,prosinec 2018,Pracovní síla ekonomicky aktivní (tis. osob),5273.0914178804
Česko,Celkem,prosinec 2018,Míra ekonomické aktivity (%),76.9374011794
Česko,Celkem,listopad 2018,Obecná míra nezaměstnanosti (%),2.1477917394
Česko,Celkem,listopad 2018,Zaměstnaní (tis. osob),5151.978694563
Česko,Celkem,listopad 2018,Pracovní síla ekonomicky aktivní (tis. osob),5265.0612450588
Česko,Celkem,listopad 2018,Míra ekonomické aktivity (%),76.9155431838
Česko,Celkem,říjen 2018,Obecná míra nezaměstnanosti (%),2.1789768572
Česko,Celkem,říjen 2018,Zaměstnaní (tis. osob),5162.9720984319
Česko,Celkem,říjen 2018,Pracovní síla ekonomicky aktivní (tis. osob),5277.9780179699
Česko,Celkem,říjen 2018,Míra ekonomické aktivity (%),76.8623977053
Česko,Celkem,září 2018,Obecná míra nezaměstnanosti (%),2.2415054748
Česko,Celkem,září 2018,Zaměstnaní (tis. osob),5151.4223168006
Česko,Celkem,září 2018,Pracovní síla ekonomicky aktivní (tis. osob),5269.5393293675
Česko,Celkem,září 2018,Míra ekonomické aktivity (%),76.8091290151
Česko,Celkem,srpen 2018,Obecná míra nezaměstnanosti (%),2.2990431581
Česko,Celkem,srpen 2018,Zaměstnaní (tis. osob),5146.420541191
Česko,Celkem,srpen 2018,Pracovní síla ekonomicky aktivní (tis. osob),5267.5231722862
Česko,Celkem,srpen 2018,Míra ekonomické aktivity (%),76.7642533453
Česko,Celkem,červenec 2018,Obecná míra nezaměstnanosti (%),2.313922938
Česko,Celkem,červenec 2018,Zaměstnaní (tis. osob),5143.5171855431
