Ukazatel,Území,Typ financování zdravotní péče,Druh zdravotní péče,Roky,value
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Léky a zdravotnické prostředky,2021,90380.97972
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Léky a zdravotnické prostředky,2022,96316.8245
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Preventivní péče,2010,9111.249436
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Preventivní péče,2011,9247.96368
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Preventivní péče,2012,9060.627107
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Preventivní péče,2013,9439.99254
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Preventivní péče,2014,11416.515
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Preventivní péče,2015,10453.90905
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Preventivní péče,2016,11262.71654
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Preventivní péče,2017,12601.56653
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Preventivní péče,2018,12872.35824
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Preventivní péče,2019,14044.05072
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Preventivní péče,2020,20507.82683
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Preventivní péče,2021,48575.0076
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Preventivní péče,2022,31086.84281
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Správa systému zdravotní péče,2010,8632.55832
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Správa systému zdravotní péče,2011,8757.585196
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Správa systému zdravotní péče,2012,8634.03284
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Správa systému zdravotní péče,2013,8486.702337
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Správa systému zdravotní péče,2014,8550.628151
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Správa systému zdravotní péče,2015,8550.985318
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Správa systému zdravotní péče,2016,8583.035039
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Správa systému zdravotní péče,2017,8632.853852
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Správa systému zdravotní péče,2018,9187.834049
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Správa systému zdravotní péče,2019,10002.3847
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Správa systému zdravotní péče,2020,10792.78074
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Správa systému zdravotní péče,2021,11697.13204
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Správa systému zdravotní péče,2022,11863.24328
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Ostatní zdravotní péče,2010,2950.3862
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Ostatní zdravotní péče,2011,2417.692137
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Ostatní zdravotní péče,2012,2276.122113
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Ostatní zdravotní péče,2013,2499.853233
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Ostatní zdravotní péče,2014,2308.730355
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Ostatní zdravotní péče,2015,2479.442694
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Ostatní zdravotní péče,2016,2828.217972
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Ostatní zdravotní péče,2017,3448.62111
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Ostatní zdravotní péče,2018,3879.93312
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Ostatní zdravotní péče,2019,4487.118532
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Ostatní zdravotní péče,2020,7043.041531
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Ostatní zdravotní péče,2021,6781.145834
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Ostatní zdravotní péče,2022,5350.167342
