Území,Ukazatel,Druh soc. dávek,Roky,value
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),"Peněžitá pomoc v mateřství (tzv. ""mateřská"")",2016,8109585.45953
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),"Peněžitá pomoc v mateřství (tzv. ""mateřská"")",2017,8615652.89687
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),"Peněžitá pomoc v mateřství (tzv. ""mateřská"")",2018,9403414.68664
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),"Peněžitá pomoc v mateřství (tzv. ""mateřská"")",2019,10097955.6301
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),"Peněžitá pomoc v mateřství (tzv. ""mateřská"")",2020,10584879.86137
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),"Peněžitá pomoc v mateřství (tzv. ""mateřská"")",2021,11315531.65123
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),"Peněžitá pomoc v mateřství (tzv. ""mateřská"")",2022,11229111.81055
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),"Peněžitá pomoc v mateřství (tzv. ""mateřská"")",2023,10502228.67501
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),"Peněžitá pomoc v mateřství (tzv. ""mateřská"")",2024,10206255.958
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),Vyrovnávací příspěvek v těhotenství a mateřství,2014,8562.0
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),Vyrovnávací příspěvek v těhotenství a mateřství,2015,9119.313
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),Vyrovnávací příspěvek v těhotenství a mateřství,2016,9005.81
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),Vyrovnávací příspěvek v těhotenství a mateřství,2017,8364.447
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),Vyrovnávací příspěvek v těhotenství a mateřství,2018,8462.805
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),Vyrovnávací příspěvek v těhotenství a mateřství,2019,9365.29
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),Vyrovnávací příspěvek v těhotenství a mateřství,2020,6588.624
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),Vyrovnávací příspěvek v těhotenství a mateřství,2021,6083.555
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),Vyrovnávací příspěvek v těhotenství a mateřství,2022,8033.221
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),Vyrovnávací příspěvek v těhotenství a mateřství,2023,6880.801
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),Vyrovnávací příspěvek v těhotenství a mateřství,2024,5623.477
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),Dávka otcovské poporodní péče,2014,
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),Dávka otcovské poporodní péče,2015,
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),Dávka otcovské poporodní péče,2016,
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),Dávka otcovské poporodní péče,2017,
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),Dávka otcovské poporodní péče,2018,221446.285
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),Dávka otcovské poporodní péče,2019,273292.357
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),Dávka otcovské poporodní péče,2020,269232.156
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),Dávka otcovské poporodní péče,2021,291480.844
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),Dávka otcovské poporodní péče,2022,601171.471
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),Dávka otcovské poporodní péče,2023,580438.962
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),Dávka otcovské poporodní péče,2024,575218.511
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),Dlouhodobé ošetřovné,2014,
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),Dlouhodobé ošetřovné,2015,
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),Dlouhodobé ošetřovné,2016,
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),Dlouhodobé ošetřovné,2017,
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),Dlouhodobé ošetřovné,2018,31645.406
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),Dlouhodobé ošetřovné,2019,109974.305
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),Dlouhodobé ošetřovné,2020,137714.922
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),Dlouhodobé ošetřovné,2021,157366.599
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),Dlouhodobé ošetřovné,2022,207014.901
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),Dlouhodobé ošetřovné,2023,220015.614
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),Dlouhodobé ošetřovné,2024,251505.232
