Ukazatel;Rok sčítání;Pohlaví;Území;Ekonomická aktivita;value
Počet obyvatel (obvyklý pobyt);2011;Celkem;Jihočeský kraj;Ekonomicky aktivní celkem;307130
Počet obyvatel (obvyklý pobyt);2011;Celkem;Jihočeský kraj;Zaměstnaní;280844
Počet obyvatel (obvyklý pobyt);2011;Celkem;Jihočeský kraj;Zaměstnaní - pracující důchodci;12927
Počet obyvatel (obvyklý pobyt);2011;Celkem;Jihočeský kraj;Zaměstnaní - ženy na mateřské dovolené;5854
Počet obyvatel (obvyklý pobyt);2011;Celkem;Jihočeský kraj;Nezaměstnaní;26286
Počet obyvatel (obvyklý pobyt);2011;Celkem;Jihočeský kraj;Ekonomicky neaktivní celkem;294587
Počet obyvatel (obvyklý pobyt);2011;Celkem;Jihočeský kraj;Nepracující důchodci;142858
Počet obyvatel (obvyklý pobyt);2011;Celkem;Jihočeský kraj;Žáci, studenti, učni;90905
Počet obyvatel (obvyklý pobyt);2011;Celkem;Jihočeský kraj;Nezjištěno;26619
Počet obyvatel (obvyklý pobyt);2011;Celkem;Plzeňský kraj;Ekonomicky aktivní celkem;278674
Počet obyvatel (obvyklý pobyt);2011;Celkem;Plzeňský kraj;Zaměstnaní;255278
Počet obyvatel (obvyklý pobyt);2011;Celkem;Plzeňský kraj;Zaměstnaní - pracující důchodci;12330
Počet obyvatel (obvyklý pobyt);2011;Celkem;Plzeňský kraj;Zaměstnaní - ženy na mateřské dovolené;5406
Počet obyvatel (obvyklý pobyt);2011;Celkem;Plzeňský kraj;Nezaměstnaní;23396
Počet obyvatel (obvyklý pobyt);2011;Celkem;Plzeňský kraj;Ekonomicky neaktivní celkem;259975
Počet obyvatel (obvyklý pobyt);2011;Celkem;Plzeňský kraj;Nepracující důchodci;130064
Počet obyvatel (obvyklý pobyt);2011;Celkem;Plzeňský kraj;Žáci, studenti, učni;74891
Počet obyvatel (obvyklý pobyt);2011;Celkem;Plzeňský kraj;Nezjištěno;31752
Počet obyvatel (obvyklý pobyt);2011;Celkem;Karlovarský kraj;Ekonomicky aktivní celkem;139871
Počet obyvatel (obvyklý pobyt);2011;Celkem;Karlovarský kraj;Zaměstnaní;123100
Počet obyvatel (obvyklý pobyt);2011;Celkem;Karlovarský kraj;Zaměstnaní - pracující důchodci;6760
Počet obyvatel (obvyklý pobyt);2011;Celkem;Karlovarský kraj;Zaměstnaní - ženy na mateřské dovolené;2557
Počet obyvatel (obvyklý pobyt);2011;Celkem;Karlovarský kraj;Nezaměstnaní;16771
Počet obyvatel (obvyklý pobyt);2011;Celkem;Karlovarský kraj;Ekonomicky neaktivní celkem;131319
Počet obyvatel (obvyklý pobyt);2011;Celkem;Karlovarský kraj;Nepracující důchodci;62774
Počet obyvatel (obvyklý pobyt);2011;Celkem;Karlovarský kraj;Žáci, studenti, učni;38270
Počet obyvatel (obvyklý pobyt);2011;Celkem;Karlovarský kraj;Nezjištěno;24405
Počet obyvatel (obvyklý pobyt);2011;Celkem;Ústecký kraj;Ekonomicky aktivní celkem;377298
Počet obyvatel (obvyklý pobyt);2011;Celkem;Ústecký kraj;Zaměstnaní;325987
Počet obyvatel (obvyklý pobyt);2011;Celkem;Ústecký kraj;Zaměstnaní - pracující důchodci;16154
Počet obyvatel (obvyklý pobyt);2011;Celkem;Ústecký kraj;Zaměstnaní - ženy na mateřské dovolené;6763
Počet obyvatel (obvyklý pobyt);2011;Celkem;Ústecký kraj;Nezaměstnaní;51311
Počet obyvatel (obvyklý pobyt);2011;Celkem;Ústecký kraj;Ekonomicky neaktivní celkem;372383
Počet obyvatel (obvyklý pobyt);2011;Celkem;Ústecký kraj;Nepracující důchodci;180841
Počet obyvatel (obvyklý pobyt);2011;Celkem;Ústecký kraj;Žáci, studenti, učni;110121
Počet obyvatel (obvyklý pobyt);2011;Celkem;Ústecký kraj;Nezjištěno;59280
Počet obyvatel (obvyklý pobyt);2011;Celkem;Liberecký kraj;Ekonomicky aktivní celkem;208512
Počet obyvatel (obvyklý pobyt);2011;Celkem;Liberecký kraj;Zaměstnaní;185944
Počet obyvatel (obvyklý pobyt);2011;Celkem;Liberecký kraj;Zaměstnaní - pracující důchodci;10159
Počet obyvatel (obvyklý pobyt);2011;Celkem;Liberecký kraj;Zaměstnaní - ženy na mateřské dovolené;4192
Počet obyvatel (obvyklý pobyt);2011;Celkem;Liberecký kraj;Nezaměstnaní;22568
Počet obyvatel (obvyklý pobyt);2011;Celkem;Liberecký kraj;Ekonomicky neaktivní celkem;198712
Počet obyvatel (obvyklý pobyt);2011;Celkem;Liberecký kraj;Nepracující důchodci;94832
Počet obyvatel (obvyklý pobyt);2011;Celkem;Liberecký kraj;Žáci, studenti, učni;60548
Počet obyvatel (obvyklý pobyt);2011;Celkem;Liberecký kraj;Nezjištěno;25215
Počet obyvatel (obvyklý pobyt);2011;Celkem;Královéhradecký kraj;Ekonomicky aktivní celkem;260819
Počet obyvatel (obvyklý pobyt);2011;Celkem;Královéhradecký kraj;Zaměstnaní;238986
Počet obyvatel (obvyklý pobyt);2011;Celkem;Královéhradecký kraj;Zaměstnaní - pracující důchodci;12274
Počet obyvatel (obvyklý pobyt);2011;Celkem;Královéhradecký kraj;Zaměstnaní - ženy na mateřské dovolené;4856
Počet obyvatel (obvyklý pobyt);2011;Celkem;Královéhradecký kraj;Nezaměstnaní;21833
Počet obyvatel (obvyklý pobyt);2011;Celkem;Královéhradecký kraj;Ekonomicky neaktivní celkem;260408
Počet obyvatel (obvyklý pobyt);2011;Celkem;Královéhradecký kraj;Nepracující důchodci;129115
Počet obyvatel (obvyklý pobyt);2011;Celkem;Královéhradecký kraj;Žáci, studenti, učni;78415
Počet obyvatel (obvyklý pobyt);2011;Celkem;Královéhradecký kraj;Nezjištěno;26689
Počet obyvatel (obvyklý pobyt);2011;Celkem;Pardubický kraj;Ekonomicky aktivní celkem;246779
Počet obyvatel (obvyklý pobyt);2011;Celkem;Pardubický kraj;Zaměstnaní;224590
Počet obyvatel (obvyklý pobyt);2011;Celkem;Pardubický kraj;Zaměstnaní - pracující důchodci;9344
Počet obyvatel (obvyklý pobyt);2011;Celkem;Pardubický kraj;Zaměstnaní - ženy na mateřské dovolené;4661
Počet obyvatel (obvyklý pobyt);2011;Celkem;Pardubický kraj;Nezaměstnaní;22189
Počet obyvatel (obvyklý pobyt);2011;Celkem;Pardubický kraj;Ekonomicky neaktivní celkem;243033
Počet obyvatel (obvyklý pobyt);2011;Celkem;Pardubický kraj;Nepracující důchodci;118400
Počet obyvatel (obvyklý pobyt);2011;Celkem;Pardubický kraj;Žáci, studenti, učni;75221
Počet obyvatel (obvyklý pobyt);2011;Celkem;Pardubický kraj;Nezjištěno;21815
Počet obyvatel (obvyklý pobyt);2011;Celkem;Kraj Vysočina;Ekonomicky aktivní celkem;243720
Počet obyvatel (obvyklý pobyt);2011;Celkem;Kraj Vysočina;Zaměstnaní;220743
Počet obyvatel (obvyklý pobyt);2011;Celkem;Kraj Vysočina;Zaměstnaní - pracující důchodci;8069
Počet obyvatel (obvyklý pobyt);2011;Celkem;Kraj Vysočina;Zaměstnaní - ženy na mateřské dovolené;4401
Počet obyvatel (obvyklý pobyt);2011;Celkem;Kraj Vysočina;Nezaměstnaní;22977
Počet obyvatel (obvyklý pobyt);2011;Celkem;Kraj Vysočina;Ekonomicky neaktivní celkem;245515
Počet obyvatel (obvyklý pobyt);2011;Celkem;Kraj Vysočina;Nepracující důchodci;120009
Počet obyvatel (obvyklý pobyt);2011;Celkem;Kraj Vysočina;Žáci, studenti, učni;77772
Počet obyvatel (obvyklý pobyt);2011;Celkem;Kraj Vysočina;Nezjištěno;16330
Počet obyvatel (obvyklý pobyt);2011;Celkem;Jihomoravský kraj;Ekonomicky aktivní celkem;572019
Počet obyvatel (obvyklý pobyt);2011;Celkem;Jihomoravský kraj;Zaměstnaní;511844
Počet obyvatel (obvyklý pobyt);2011;Celkem;Jihomoravský kraj;Zaměstnaní - pracující důchodci;23581
Počet obyvatel (obvyklý pobyt);2011;Celkem;Jihomoravský kraj;Zaměstnaní - ženy na mateřské dovolené;11056
Počet obyvatel (obvyklý pobyt);2011;Celkem;Jihomoravský kraj;Nezaměstnaní;60175
Počet obyvatel (obvyklý pobyt);2011;Celkem;Jihomoravský kraj;Ekonomicky neaktivní celkem;541007
Počet obyvatel (obvyklý pobyt);2011;Celkem;Jihomoravský kraj;Nepracující důchodci;263592
Počet obyvatel (obvyklý pobyt);2011;Celkem;Jihomoravský kraj;Žáci, studenti, učni;163235
Počet obyvatel (obvyklý pobyt);2011;Celkem;Jihomoravský kraj;Nezjištěno;50482
Počet obyvatel (obvyklý pobyt);2011;Celkem;Olomoucký kraj;Ekonomicky aktivní celkem;303992
Počet obyvatel (obvyklý pobyt);2011;Celkem;Olomoucký kraj;Zaměstnaní;268013
Počet obyvatel (obvyklý pobyt);2011;Celkem;Olomoucký kraj;Zaměstnaní - pracující důchodci;10196
Počet obyvatel (obvyklý pobyt);2011;Celkem;Olomoucký kraj;Zaměstnaní - ženy na mateřské dovolené;5608
Počet obyvatel (obvyklý pobyt);2011;Celkem;Olomoucký kraj;Nezaměstnaní;35979
Počet obyvatel (obvyklý pobyt);2011;Celkem;Olomoucký kraj;Ekonomicky neaktivní celkem;300693
Počet obyvatel (obvyklý pobyt);2011;Celkem;Olomoucký kraj;Nepracující důchodci;147179
Počet obyvatel (obvyklý pobyt);2011;Celkem;Olomoucký kraj;Žáci, studenti, učni;92531
Počet obyvatel (obvyklý pobyt);2011;Celkem;Olomoucký kraj;Nezjištěno;23742
Počet obyvatel (obvyklý pobyt);2011;Celkem;Zlínský kraj;Ekonomicky aktivní celkem;281576
Počet obyvatel (obvyklý pobyt);2011;Celkem;Zlínský kraj;Zaměstnaní;252815
Počet obyvatel (obvyklý pobyt);2011;Celkem;Zlínský kraj;Zaměstnaní - pracující důchodci;9781
Počet obyvatel (obvyklý pobyt);2011;Celkem;Zlínský kraj;Zaměstnaní - ženy na mateřské dovolené;5142
Počet obyvatel (obvyklý pobyt);2011;Celkem;Zlínský kraj;Nezaměstnaní;28761
Počet obyvatel (obvyklý pobyt);2011;Celkem;Zlínský kraj;Ekonomicky neaktivní celkem;279417
Počet obyvatel (obvyklý pobyt);2011;Celkem;Zlínský kraj;Nepracující důchodci;138405
Počet obyvatel (obvyklý pobyt);2011;Celkem;Zlínský kraj;Žáci, studenti, učni;86609
Počet obyvatel (obvyklý pobyt);2011;Celkem;Zlínský kraj;Nezjištěno;18951
Počet obyvatel (obvyklý pobyt);2011;Celkem;Moravskoslezský kraj;Ekonomicky aktivní celkem;575689
Počet obyvatel (obvyklý pobyt);2011;Celkem;Moravskoslezský kraj;Zaměstnaní;504301
Počet obyvatel (obvyklý pobyt);2011;Celkem;Moravskoslezský kraj;Zaměstnaní - pracující důchodci;20433
Počet obyvatel (obvyklý pobyt);2011;Celkem;Moravskoslezský kraj;Zaměstnaní - ženy na mateřské dovolené;9530
Počet obyvatel (obvyklý pobyt);2011;Celkem;Moravskoslezský kraj;Nezaměstnaní;71388
Počet obyvatel (obvyklý pobyt);2011;Celkem;Moravskoslezský kraj;Ekonomicky neaktivní celkem;574138
Počet obyvatel (obvyklý pobyt);2011;Celkem;Moravskoslezský kraj;Nepracující důchodci;282950
Počet obyvatel (obvyklý pobyt);2011;Celkem;Moravskoslezský kraj;Žáci, studenti, učni;176005
Počet obyvatel (obvyklý pobyt);2011;Celkem;Moravskoslezský kraj;Nezjištěno;56007
