Území;Institucionální sektor ;Právní forma;Ukazatel;Odvětví ekonomické činnosti;Roky;value
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2017;2068.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2016;1967.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2015;1928.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2014;1930.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2013;1858.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;"Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2022;3772.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;"Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2021;3681.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;"Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2020;3662.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;"Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2019;3638.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;"Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2018;3575.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;"Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2017;3638.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;"Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2016;3443.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;"Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2015;3205.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;"Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2014;3239.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;"Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2013;2042.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Stavebnictví;2022;37480.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Stavebnictví;2021;35822.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Stavebnictví;2020;34021.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Stavebnictví;2019;32611.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Stavebnictví;2018;30796.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Stavebnictví;2017;29668.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Stavebnictví;2016;28290.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Stavebnictví;2015;27871.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Stavebnictví;2014;28079.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Stavebnictví;2013;23776.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2022;74708.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2021;74206.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2020;71938.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2019;71622.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2018;70884.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2017;70334.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2016;71589.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2015;71302.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2014;70630.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2013;70113.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Doprava a skladování;2022;11552.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Doprava a skladování;2021;11076.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Doprava a skladování;2020;10485.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Doprava a skladování;2019;9901.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Doprava a skladování;2018;9280.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Doprava a skladování;2017;8659.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Doprava a skladování;2016;7604.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Doprava a skladování;2015;7129.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Doprava a skladování;2014;6882.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Doprava a skladování;2013;6585.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Ubytování, stravování a pohostinství;2022;15959.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Ubytování, stravování a pohostinství;2021;15360.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Ubytování, stravování a pohostinství;2020;15588.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Ubytování, stravování a pohostinství;2019;15440.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Ubytování, stravování a pohostinství;2018;14559.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Ubytování, stravování a pohostinství;2017;13729.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Ubytování, stravování a pohostinství;2016;12901.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Ubytování, stravování a pohostinství;2015;11316.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Ubytování, stravování a pohostinství;2014;11054.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Ubytování, stravování a pohostinství;2013;10753.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Informační a komunikační činnosti;2022;17856.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Informační a komunikační činnosti;2021;17017.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Informační a komunikační činnosti;2020;16138.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Informační a komunikační činnosti;2019;15209.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Informační a komunikační činnosti;2018;14237.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Informační a komunikační činnosti;2017;13212.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Informační a komunikační činnosti;2016;11963.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Informační a komunikační činnosti;2015;9836.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Informační a komunikační činnosti;2014;9373.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Informační a komunikační činnosti;2013;8553.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Peněžní zprostředkování;2022;4250.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Peněžní zprostředkování;2021;3947.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Peněžní zprostředkování;2020;3807.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Peněžní zprostředkování;2019;3628.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Peněžní zprostředkování;2018;3379.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Peněžní zprostředkování;2017;3048.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Peněžní zprostředkování;2016;2790.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Peněžní zprostředkování;2015;2658.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Peněžní zprostředkování;2014;2700.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Peněžní zprostředkování;2013;1769.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Činnosti v oblasti nemovitostí;2022;50028.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Činnosti v oblasti nemovitostí;2021;48244.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Činnosti v oblasti nemovitostí;2020;37913.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Činnosti v oblasti nemovitostí;2019;35883.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Činnosti v oblasti nemovitostí;2018;33829.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Činnosti v oblasti nemovitostí;2017;32439.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Činnosti v oblasti nemovitostí;2016;30633.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Činnosti v oblasti nemovitostí;2015;29013.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Činnosti v oblasti nemovitostí;2014;29867.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Činnosti v oblasti nemovitostí;2013;30958.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Profesní, vědecké a technické činnosti;2022;48565.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Profesní, vědecké a technické činnosti;2021;47851.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Profesní, vědecké a technické činnosti;2020;47495.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Profesní, vědecké a technické činnosti;2019;46992.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Profesní, vědecké a technické činnosti;2018;45532.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Profesní, vědecké a technické činnosti;2017;41817.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Profesní, vědecké a technické činnosti;2016;38940.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Profesní, vědecké a technické činnosti;2015;36151.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Profesní, vědecké a technické činnosti;2014;34625.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Profesní, vědecké a technické činnosti;2013;34081.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Administrativní a podpůrné činnosti;2022;14471.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Administrativní a podpůrné činnosti;2021;13132.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Administrativní a podpůrné činnosti;2020;12001.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Administrativní a podpůrné činnosti;2019;11204.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Administrativní a podpůrné činnosti;2018;10504.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Administrativní a podpůrné činnosti;2017;9871.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Administrativní a podpůrné činnosti;2016;9064.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Administrativní a podpůrné činnosti;2015;8582.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Administrativní a podpůrné činnosti;2014;8428.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Administrativní a podpůrné činnosti;2013;6688.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Vzdělávání;2022;4529.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Vzdělávání;2021;4292.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Vzdělávání;2020;4119.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Vzdělávání;2019;3940.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Vzdělávání;2018;3728.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Vzdělávání;2017;3502.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Vzdělávání;2016;3168.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Vzdělávání;2015;2992.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Vzdělávání;2014;2893.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Vzdělávání;2013;2613.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Zdravotní a sociální péče;2022;11749.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Zdravotní a sociální péče;2021;11339.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Zdravotní a sociální péče;2020;10958.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Zdravotní a sociální péče;2019;10536.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Zdravotní a sociální péče;2018;10054.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Zdravotní a sociální péče;2017;9392.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Zdravotní a sociální péče;2016;8135.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Zdravotní a sociální péče;2015;7443.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Zdravotní a sociální péče;2014;6692.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Zdravotní a sociální péče;2013;6038.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Kulturní, zábavní a rekreační činnosti;2022;4239.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Kulturní, zábavní a rekreační činnosti;2021;4058.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Kulturní, zábavní a rekreační činnosti;2020;3955.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Kulturní, zábavní a rekreační činnosti;2019;3754.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Kulturní, zábavní a rekreační činnosti;2018;3503.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Kulturní, zábavní a rekreační činnosti;2017;3379.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Kulturní, zábavní a rekreační činnosti;2016;2926.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Kulturní, zábavní a rekreační činnosti;2015;2791.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků;Kulturní, zábavní a rekreační činnosti;2014;2754.0
