Ukazatel;Rok sčítání;Území;Státní občanství;value
Počet obyvatel (obvyklý pobyt);2021;Liberecký kraj;Česká republika;415389
Počet obyvatel (obvyklý pobyt);2021;Liberecký kraj;Slovensko;3712
Počet obyvatel (obvyklý pobyt);2021;Liberecký kraj;Německo;202
Počet obyvatel (obvyklý pobyt);2021;Liberecký kraj;Polsko;1200
Počet obyvatel (obvyklý pobyt);2021;Liberecký kraj;Ukrajina;6269
Počet obyvatel (obvyklý pobyt);2021;Liberecký kraj;Rusko;526
Počet obyvatel (obvyklý pobyt);2021;Liberecký kraj;Vietnam;1828
Počet obyvatel (obvyklý pobyt);2021;Liberecký kraj;Nezjištěno;633
Počet obyvatel (obvyklý pobyt);2021;Královéhradecký kraj;Obyvatelstvo celkem;538303
Počet obyvatel (obvyklý pobyt);2021;Královéhradecký kraj;Česká republika;522536
Počet obyvatel (obvyklý pobyt);2021;Královéhradecký kraj;Slovensko;2604
Počet obyvatel (obvyklý pobyt);2021;Královéhradecký kraj;Německo;148
Počet obyvatel (obvyklý pobyt);2021;Královéhradecký kraj;Polsko;1369
Počet obyvatel (obvyklý pobyt);2021;Královéhradecký kraj;Ukrajina;5547
Počet obyvatel (obvyklý pobyt);2021;Královéhradecký kraj;Rusko;306
Počet obyvatel (obvyklý pobyt);2021;Královéhradecký kraj;Vietnam;1602
Počet obyvatel (obvyklý pobyt);2021;Královéhradecký kraj;Nezjištěno;1019
Počet obyvatel (obvyklý pobyt);2021;Pardubický kraj;Obyvatelstvo celkem;510037
Počet obyvatel (obvyklý pobyt);2021;Pardubický kraj;Česká republika;493471
Počet obyvatel (obvyklý pobyt);2021;Pardubický kraj;Slovensko;3313
Počet obyvatel (obvyklý pobyt);2021;Pardubický kraj;Německo;83
Počet obyvatel (obvyklý pobyt);2021;Pardubický kraj;Polsko;661
Počet obyvatel (obvyklý pobyt);2021;Pardubický kraj;Ukrajina;5526
Počet obyvatel (obvyklý pobyt);2021;Pardubický kraj;Rusko;224
Počet obyvatel (obvyklý pobyt);2021;Pardubický kraj;Vietnam;1482
Počet obyvatel (obvyklý pobyt);2021;Pardubický kraj;Nezjištěno;842
Počet obyvatel (obvyklý pobyt);2021;Kraj Vysočina;Obyvatelstvo celkem;497661
Počet obyvatel (obvyklý pobyt);2021;Kraj Vysočina;Česká republika;486797
Počet obyvatel (obvyklý pobyt);2021;Kraj Vysočina;Slovensko;1937
Počet obyvatel (obvyklý pobyt);2021;Kraj Vysočina;Německo;85
Počet obyvatel (obvyklý pobyt);2021;Kraj Vysočina;Polsko;193
Počet obyvatel (obvyklý pobyt);2021;Kraj Vysočina;Ukrajina;3893
Počet obyvatel (obvyklý pobyt);2021;Kraj Vysočina;Rusko;184
Počet obyvatel (obvyklý pobyt);2021;Kraj Vysočina;Vietnam;1103
Počet obyvatel (obvyklý pobyt);2021;Kraj Vysočina;Nezjištěno;493
Počet obyvatel (obvyklý pobyt);2021;Jihomoravský kraj;Obyvatelstvo celkem;1197651
Počet obyvatel (obvyklý pobyt);2021;Jihomoravský kraj;Česká republika;1146119
Počet obyvatel (obvyklý pobyt);2021;Jihomoravský kraj;Slovensko;12701
Počet obyvatel (obvyklý pobyt);2021;Jihomoravský kraj;Německo;365
Počet obyvatel (obvyklý pobyt);2021;Jihomoravský kraj;Polsko;743
Počet obyvatel (obvyklý pobyt);2021;Jihomoravský kraj;Ukrajina;12871
Počet obyvatel (obvyklý pobyt);2021;Jihomoravský kraj;Rusko;2348
Počet obyvatel (obvyklý pobyt);2021;Jihomoravský kraj;Vietnam;4192
Počet obyvatel (obvyklý pobyt);2021;Jihomoravský kraj;Nezjištěno;4995
Počet obyvatel (obvyklý pobyt);2021;Olomoucký kraj;Obyvatelstvo celkem;619788
Počet obyvatel (obvyklý pobyt);2021;Olomoucký kraj;Česká republika;608348
Počet obyvatel (obvyklý pobyt);2021;Olomoucký kraj;Slovensko;2666
Počet obyvatel (obvyklý pobyt);2021;Olomoucký kraj;Německo;126
Počet obyvatel (obvyklý pobyt);2021;Olomoucký kraj;Polsko;461
Počet obyvatel (obvyklý pobyt);2021;Olomoucký kraj;Ukrajina;2517
Počet obyvatel (obvyklý pobyt);2021;Olomoucký kraj;Rusko;313
Počet obyvatel (obvyklý pobyt);2021;Olomoucký kraj;Vietnam;1598
Počet obyvatel (obvyklý pobyt);2021;Olomoucký kraj;Nezjištěno;932
Počet obyvatel (obvyklý pobyt);2021;Zlínský kraj;Obyvatelstvo celkem;564331
Počet obyvatel (obvyklý pobyt);2021;Zlínský kraj;Česká republika;553853
Počet obyvatel (obvyklý pobyt);2021;Zlínský kraj;Slovensko;3613
Počet obyvatel (obvyklý pobyt);2021;Zlínský kraj;Německo;94
Počet obyvatel (obvyklý pobyt);2021;Zlínský kraj;Polsko;264
Počet obyvatel (obvyklý pobyt);2021;Zlínský kraj;Ukrajina;2377
Počet obyvatel (obvyklý pobyt);2021;Zlínský kraj;Rusko;223
Počet obyvatel (obvyklý pobyt);2021;Zlínský kraj;Vietnam;835
Počet obyvatel (obvyklý pobyt);2021;Zlínský kraj;Nezjištěno;586
Počet obyvatel (obvyklý pobyt);2021;Moravskoslezský kraj;Obyvatelstvo celkem;1162841
Počet obyvatel (obvyklý pobyt);2021;Moravskoslezský kraj;Česká republika;1140705
Počet obyvatel (obvyklý pobyt);2021;Moravskoslezský kraj;Slovensko;7154
Počet obyvatel (obvyklý pobyt);2021;Moravskoslezský kraj;Německo;196
Počet obyvatel (obvyklý pobyt);2021;Moravskoslezský kraj;Polsko;3063
Počet obyvatel (obvyklý pobyt);2021;Moravskoslezský kraj;Ukrajina;2471
Počet obyvatel (obvyklý pobyt);2021;Moravskoslezský kraj;Rusko;476
Počet obyvatel (obvyklý pobyt);2021;Moravskoslezský kraj;Vietnam;3183
Počet obyvatel (obvyklý pobyt);2021;Moravskoslezský kraj;Nezjištěno;1165
