Ukazatel,Rok sčítání,Území,Hospodařící domácnosti podle typu domácnosti,value
Počet hospodařících domácností,2021,Jihočeský kraj,Faktická manželství,28123
Počet hospodařících domácností,2021,Jihočeský kraj,Registrovaná partnerství,78
Počet hospodařících domácností,2021,Jihočeský kraj,Faktická partnerství,196
Počet hospodařících domácností,2021,Jihočeský kraj,Neúplné rodiny - osamělý otec,4730
Počet hospodařících domácností,2021,Jihočeský kraj,Neúplné rodiny - osamělá matka,25680
Počet hospodařících domácností,2021,Jihočeský kraj,HD tvořené 2 a více rodinami,4488
Počet hospodařících domácností,2021,Jihočeský kraj,Domácnosti jednotlivců,107171
Počet hospodařících domácností,2021,Jihočeský kraj,Vícečlenné nerodinné domácnosti,4146
Počet hospodařících domácností,2021,Plzeňský kraj,Hospodařící domácnosti celkem,267112
Počet hospodařících domácností,2021,Plzeňský kraj,HD tvořené 1 rodinou ,155522
Počet hospodařících domácností,2021,Plzeňský kraj,Manželské páry,98421
Počet hospodařících domácností,2021,Plzeňský kraj,Faktická manželství,29805
Počet hospodařících domácností,2021,Plzeňský kraj,Registrovaná partnerství,102
Počet hospodařících domácností,2021,Plzeňský kraj,Faktická partnerství,245
Počet hospodařících domácností,2021,Plzeňský kraj,Neúplné rodiny - osamělý otec,4340
Počet hospodařících domácností,2021,Plzeňský kraj,Neúplné rodiny - osamělá matka,22609
Počet hospodařících domácností,2021,Plzeňský kraj,HD tvořené 2 a více rodinami,3805
Počet hospodařících domácností,2021,Plzeňský kraj,Domácnosti jednotlivců,103126
Počet hospodařících domácností,2021,Plzeňský kraj,Vícečlenné nerodinné domácnosti,4659
Počet hospodařících domácností,2021,Karlovarský kraj,Hospodařící domácnosti celkem,135416
Počet hospodařících domácností,2021,Karlovarský kraj,HD tvořené 1 rodinou ,72498
Počet hospodařících domácností,2021,Karlovarský kraj,Manželské páry,41944
Počet hospodařících domácností,2021,Karlovarský kraj,Faktická manželství,15094
Počet hospodařících domácností,2021,Karlovarský kraj,Registrovaná partnerství,46
Počet hospodařících domácností,2021,Karlovarský kraj,Faktická partnerství,115
Počet hospodařících domácností,2021,Karlovarský kraj,Neúplné rodiny - osamělý otec,2163
Počet hospodařících domácností,2021,Karlovarský kraj,Neúplné rodiny - osamělá matka,13136
Počet hospodařících domácností,2021,Karlovarský kraj,HD tvořené 2 a více rodinami,1583
Počet hospodařících domácností,2021,Karlovarský kraj,Domácnosti jednotlivců,59185
Počet hospodařících domácností,2021,Karlovarský kraj,Vícečlenné nerodinné domácnosti,2150
Počet hospodařících domácností,2021,Ústecký kraj,Hospodařící domácnosti celkem,377305
Počet hospodařících domácností,2021,Ústecký kraj,HD tvořené 1 rodinou ,207583
Počet hospodařících domácností,2021,Ústecký kraj,Manželské páry,121069
Počet hospodařících domácností,2021,Ústecký kraj,Faktická manželství,42303
Počet hospodařících domácností,2021,Ústecký kraj,Registrovaná partnerství,143
Počet hospodařících domácností,2021,Ústecký kraj,Faktická partnerství,407
Počet hospodařících domácností,2021,Ústecký kraj,Neúplné rodiny - osamělý otec,6138
Počet hospodařících domácností,2021,Ústecký kraj,Neúplné rodiny - osamělá matka,37523
Počet hospodařících domácností,2021,Ústecký kraj,HD tvořené 2 a více rodinami,4362
Počet hospodařících domácností,2021,Ústecký kraj,Domácnosti jednotlivců,159495
Počet hospodařících domácností,2021,Ústecký kraj,Vícečlenné nerodinné domácnosti,5865
Počet hospodařících domácností,2021,Liberecký kraj,Hospodařící domácnosti celkem,201102
Počet hospodařících domácností,2021,Liberecký kraj,HD tvořené 1 rodinou ,115005
Počet hospodařících domácností,2021,Liberecký kraj,Manželské páry,70194
Počet hospodařících domácností,2021,Liberecký kraj,Faktická manželství,22690
Počet hospodařících domácností,2021,Liberecký kraj,Registrovaná partnerství,68
Počet hospodařících domácností,2021,Liberecký kraj,Faktická partnerství,189
Počet hospodařících domácností,2021,Liberecký kraj,Neúplné rodiny - osamělý otec,3323
Počet hospodařících domácností,2021,Liberecký kraj,Neúplné rodiny - osamělá matka,18541
Počet hospodařících domácností,2021,Liberecký kraj,HD tvořené 2 a více rodinami,2609
Počet hospodařících domácností,2021,Liberecký kraj,Domácnosti jednotlivců,80228
Počet hospodařících domácností,2021,Liberecký kraj,Vícečlenné nerodinné domácnosti,3260
Počet hospodařících domácností,2021,Královéhradecký kraj,Hospodařící domácnosti celkem,244683
Počet hospodařících domácností,2021,Královéhradecký kraj,HD tvořené 1 rodinou ,144387
Počet hospodařících domácností,2021,Královéhradecký kraj,Manželské páry,93795
Počet hospodařících domácností,2021,Královéhradecký kraj,Faktická manželství,25142
Počet hospodařících domácností,2021,Královéhradecký kraj,Registrovaná partnerství,61
Počet hospodařících domácností,2021,Královéhradecký kraj,Faktická partnerství,160
Počet hospodařících domácností,2021,Královéhradecký kraj,Neúplné rodiny - osamělý otec,4025
Počet hospodařících domácností,2021,Královéhradecký kraj,Neúplné rodiny - osamělá matka,21204
Počet hospodařících domácností,2021,Královéhradecký kraj,HD tvořené 2 a více rodinami,3586
Počet hospodařících domácností,2021,Královéhradecký kraj,Domácnosti jednotlivců,92925
Počet hospodařících domácností,2021,Královéhradecký kraj,Vícečlenné nerodinné domácnosti,3785
Počet hospodařících domácností,2021,Pardubický kraj,Hospodařící domácnosti celkem,224265
Počet hospodařících domácností,2021,Pardubický kraj,HD tvořené 1 rodinou ,136628
Počet hospodařících domácností,2021,Pardubický kraj,Manželské páry,90797
Počet hospodařících domácností,2021,Pardubický kraj,Faktická manželství,22782
Počet hospodařících domácností,2021,Pardubický kraj,Registrovaná partnerství,58
Počet hospodařících domácností,2021,Pardubický kraj,Faktická partnerství,141
Počet hospodařících domácností,2021,Pardubický kraj,Neúplné rodiny - osamělý otec,3693
Počet hospodařících domácností,2021,Pardubický kraj,Neúplné rodiny - osamělá matka,19157
Počet hospodařících domácností,2021,Pardubický kraj,HD tvořené 2 a více rodinami,3600
Počet hospodařících domácností,2021,Pardubický kraj,Domácnosti jednotlivců,80577
Počet hospodařících domácností,2021,Pardubický kraj,Vícečlenné nerodinné domácnosti,3460
Počet hospodařících domácností,2021,Kraj Vysočina,Hospodařící domácnosti celkem,210806
Počet hospodařících domácností,2021,Kraj Vysočina,HD tvořené 1 rodinou ,132891
Počet hospodařících domácností,2021,Kraj Vysočina,Manželské páry,93427
Počet hospodařících domácností,2021,Kraj Vysočina,Faktická manželství,18208
Počet hospodařících domácností,2021,Kraj Vysočina,Registrovaná partnerství,40
Počet hospodařících domácností,2021,Kraj Vysočina,Faktická partnerství,87
Počet hospodařících domácností,2021,Kraj Vysočina,Neúplné rodiny - osamělý otec,3566
Počet hospodařících domácností,2021,Kraj Vysočina,Neúplné rodiny - osamělá matka,17563
Počet hospodařících domácností,2021,Kraj Vysočina,HD tvořené 2 a více rodinami,4583
Počet hospodařících domácností,2021,Kraj Vysočina,Domácnosti jednotlivců,70547
Počet hospodařících domácností,2021,Kraj Vysočina,Vícečlenné nerodinné domácnosti,2785
Počet hospodařících domácností,2021,Jihomoravský kraj,Hospodařící domácnosti celkem,529939
Počet hospodařících domácností,2021,Jihomoravský kraj,HD tvořené 1 rodinou ,313064
Počet hospodařících domácností,2021,Jihomoravský kraj,Manželské páry,201523
Počet hospodařících domácností,2021,Jihomoravský kraj,Faktická manželství,54274
Počet hospodařících domácností,2021,Jihomoravský kraj,Registrovaná partnerství,217
Počet hospodařících domácností,2021,Jihomoravský kraj,Faktická partnerství,678
Počet hospodařících domácností,2021,Jihomoravský kraj,Neúplné rodiny - osamělý otec,8348
Počet hospodařících domácností,2021,Jihomoravský kraj,Neúplné rodiny - osamělá matka,48024
Počet hospodařících domácností,2021,Jihomoravský kraj,HD tvořené 2 a více rodinami,10286
Počet hospodařících domácností,2021,Jihomoravský kraj,Domácnosti jednotlivců,195401
Počet hospodařících domácností,2021,Jihomoravský kraj,Vícečlenné nerodinné domácnosti,11188
Počet hospodařících domácností,2021,Olomoucký kraj,Hospodařící domácnosti celkem,280121
Počet hospodařících domácností,2021,Olomoucký kraj,HD tvořené 1 rodinou ,166342
Počet hospodařících domácností,2021,Olomoucký kraj,Manželské páry,108066
Počet hospodařících domácností,2021,Olomoucký kraj,Faktická manželství,27645
Počet hospodařících domácností,2021,Olomoucký kraj,Registrovaná partnerství,91
Počet hospodařících domácností,2021,Olomoucký kraj,Faktická partnerství,247
Počet hospodařících domácností,2021,Olomoucký kraj,Neúplné rodiny - osamělý otec,4546
Počet hospodařících domácností,2021,Olomoucký kraj,Neúplné rodiny - osamělá matka,25747
Počet hospodařících domácností,2021,Olomoucký kraj,HD tvořené 2 a více rodinami,4179
Počet hospodařících domácností,2021,Olomoucký kraj,Domácnosti jednotlivců,105060
Počet hospodařících domácností,2021,Olomoucký kraj,Vícečlenné nerodinné domácnosti,4540
Počet hospodařících domácností,2021,Zlínský kraj,Hospodařící domácnosti celkem,245325
Počet hospodařících domácností,2021,Zlínský kraj,HD tvořené 1 rodinou ,150510
Počet hospodařících domácností,2021,Zlínský kraj,Manželské páry,102769
Počet hospodařících domácností,2021,Zlínský kraj,Faktická manželství,21093
Počet hospodařících domácností,2021,Zlínský kraj,Registrovaná partnerství,42
Počet hospodařících domácností,2021,Zlínský kraj,Faktická partnerství,140
Počet hospodařících domácností,2021,Zlínský kraj,Neúplné rodiny - osamělý otec,4024
Počet hospodařících domácností,2021,Zlínský kraj,Neúplné rodiny - osamělá matka,22442
Počet hospodařících domácností,2021,Zlínský kraj,HD tvořené 2 a více rodinami,4756
Počet hospodařících domácností,2021,Zlínský kraj,Domácnosti jednotlivců,86562
Počet hospodařících domácností,2021,Zlínský kraj,Vícečlenné nerodinné domácnosti,3497
Počet hospodařících domácností,2021,Moravskoslezský kraj,Hospodařící domácnosti celkem,541276
Počet hospodařících domácností,2021,Moravskoslezský kraj,HD tvořené 1 rodinou ,310235
Počet hospodařících domácností,2021,Moravskoslezský kraj,Manželské páry,198925
Počet hospodařících domácností,2021,Moravskoslezský kraj,Faktická manželství,52232
Počet hospodařících domácností,2021,Moravskoslezský kraj,Registrovaná partnerství,155
Počet hospodařících domácností,2021,Moravskoslezský kraj,Faktická partnerství,473
Počet hospodařících domácností,2021,Moravskoslezský kraj,Neúplné rodiny - osamělý otec,8305
Počet hospodařících domácností,2021,Moravskoslezský kraj,Neúplné rodiny - osamělá matka,50145
Počet hospodařících domácností,2021,Moravskoslezský kraj,HD tvořené 2 a více rodinami,6845
Počet hospodařících domácností,2021,Moravskoslezský kraj,Domácnosti jednotlivců,215727
Počet hospodařících domácností,2021,Moravskoslezský kraj,Vícečlenné nerodinné domácnosti,8469
