Roky;Území;Ukazatel;Pohlaví;value
2023;Plzeňský kraj;Ekonomicky neaktivní (tis. osob);ženy;124.18763298
2023;Plzeňský kraj;Ekonomicky neaktivní (tis. osob);muži;72.690590808
2023;Plzeňský kraj;Míra ekonomické aktivity (%);ženy;50.55397492
2023;Plzeňský kraj;Míra ekonomické aktivity (%);muži;69.363254093
2023;Karlovarský kraj;Zaměstnaní celkem (tis. osob);ženy;63.646253143
2023;Karlovarský kraj;Zaměstnaní celkem (tis. osob);muži;76.556121369
2023;Karlovarský kraj;Nezaměstnaní (tis. osob);ženy;3.2014635543
2023;Karlovarský kraj;Nezaměstnaní (tis. osob);muži;3.0282402005
2023;Karlovarský kraj;Ekonomicky neaktivní (tis. osob);ženy;50.657483417
2023;Karlovarský kraj;Ekonomicky neaktivní (tis. osob);muži;36.138852115
2023;Karlovarský kraj;Míra ekonomické aktivity (%);ženy;56.889156082
2023;Karlovarský kraj;Míra ekonomické aktivity (%);muži;68.771302693
2023;Ústecký kraj;Zaměstnaní celkem (tis. osob);ženy;161.06972863
2023;Ústecký kraj;Zaměstnaní celkem (tis. osob);muži;206.93035282
2023;Ústecký kraj;Nezaměstnaní (tis. osob);ženy;7.7456120608
2023;Ústecký kraj;Nezaměstnaní (tis. osob);muži;7.7667150767
2023;Ústecký kraj;Ekonomicky neaktivní (tis. osob);ženy;150.08340962
2023;Ústecký kraj;Ekonomicky neaktivní (tis. osob);muži;105.32818231
2023;Ústecký kraj;Míra ekonomické aktivity (%);ženy;52.93697154
2023;Ústecký kraj;Míra ekonomické aktivity (%);muži;67.087540048
2023;Liberecký kraj;Zaměstnaní celkem (tis. osob);ženy;87.432572866
2023;Liberecký kraj;Zaměstnaní celkem (tis. osob);muži;113.22960928
2023;Liberecký kraj;Nezaměstnaní (tis. osob);ženy;3.4920732552
2023;Liberecký kraj;Nezaměstnaní (tis. osob);muži;3.4419831508
2023;Liberecký kraj;Ekonomicky neaktivní (tis. osob);ženy;95.777004028
2023;Liberecký kraj;Ekonomicky neaktivní (tis. osob);muži;59.226757696
2023;Liberecký kraj;Míra ekonomické aktivity (%);ženy;48.700504815
2023;Liberecký kraj;Míra ekonomické aktivity (%);muži;66.328986227
2023;Královéhradecký kraj;Zaměstnaní celkem (tis. osob);ženy;110.50370728
2023;Královéhradecký kraj;Zaměstnaní celkem (tis. osob);muži;143.52090424
2023;Královéhradecký kraj;Nezaměstnaní (tis. osob);ženy;4.7814246108
2023;Královéhradecký kraj;Nezaměstnaní (tis. osob);muži;3.6583601825
2023;Královéhradecký kraj;Ekonomicky neaktivní (tis. osob);ženy;115.3653051
2023;Královéhradecký kraj;Ekonomicky neaktivní (tis. osob);muži;71.823357605
2023;Královéhradecký kraj;Míra ekonomické aktivity (%);ženy;49.982620192
2023;Královéhradecký kraj;Míra ekonomické aktivity (%);muži;67.204338953
2023;Pardubický kraj;Zaměstnaní celkem (tis. osob);ženy;109.69200665
2023;Pardubický kraj;Zaměstnaní celkem (tis. osob);muži;136.91560965
2023;Pardubický kraj;Nezaměstnaní (tis. osob);ženy;2.2175725823
2023;Pardubický kraj;Nezaměstnaní (tis. osob);muži;2.543148486
2023;Pardubický kraj;Ekonomicky neaktivní (tis. osob);ženy;107.13402103
2023;Pardubický kraj;Ekonomicky neaktivní (tis. osob);muži;68.872642103
2023;Pardubický kraj;Míra ekonomické aktivity (%);ženy;51.090093068
2023;Pardubický kraj;Míra ekonomické aktivity (%);muži;66.94082504
2023;Kraj Vysočina;Zaměstnaní celkem (tis. osob);ženy;105.30064058
2023;Kraj Vysočina;Zaměstnaní celkem (tis. osob);muži;139.60835523
2023;Kraj Vysočina;Nezaměstnaní (tis. osob);ženy;2.0805571208
2023;Kraj Vysočina;Nezaměstnaní (tis. osob);muži;1.5948539588
2023;Kraj Vysočina;Ekonomicky neaktivní (tis. osob);ženy;105.09632248
2023;Kraj Vysočina;Ekonomicky neaktivní (tis. osob);muži;64.211781469
2023;Kraj Vysočina;Míra ekonomické aktivity (%);ženy;50.53767458
2023;Kraj Vysočina;Míra ekonomické aktivity (%);muži;68.740459855
2023;Jihomoravský kraj;Zaměstnaní celkem (tis. osob);ženy;249.43731243
2023;Jihomoravský kraj;Zaměstnaní celkem (tis. osob);muži;316.39726049
2023;Jihomoravský kraj;Nezaměstnaní (tis. osob);ženy;7.9616905798
2023;Jihomoravský kraj;Nezaměstnaní (tis. osob);muži;6.718436826
2023;Jihomoravský kraj;Ekonomicky neaktivní (tis. osob);ženy;241.43240676
2023;Jihomoravský kraj;Ekonomicky neaktivní (tis. osob);muži;151.28713408
2023;Jihomoravský kraj;Míra ekonomické aktivity (%);ženy;51.600400049
2023;Jihomoravský kraj;Míra ekonomické aktivity (%);muži;68.109985003
2023;Olomoucký kraj;Zaměstnaní celkem (tis. osob);ženy;130.78688579
2023;Olomoucký kraj;Zaměstnaní celkem (tis. osob);muži;162.28345585
2023;Olomoucký kraj;Nezaměstnaní (tis. osob);ženy;3.2046848788
2023;Olomoucký kraj;Nezaměstnaní (tis. osob);muži;5.0957274708
2023;Olomoucký kraj;Ekonomicky neaktivní (tis. osob);ženy;131.1805594
2023;Olomoucký kraj;Ekonomicky neaktivní (tis. osob);muži;80.897686781
2023;Olomoucký kraj;Míra ekonomické aktivity (%);ženy;50.530035201
2023;Olomoucký kraj;Míra ekonomické aktivity (%);muži;67.416341785
2023;Zlínský kraj;Zaměstnaní celkem (tis. osob);ženy;120.0834565
2023;Zlínský kraj;Zaměstnaní celkem (tis. osob);muži;154.07520897
2023;Zlínský kraj;Nezaměstnaní (tis. osob);ženy;3.3808848835
2023;Zlínský kraj;Nezaměstnaní (tis. osob);muži;3.0650319653
2023;Zlínský kraj;Ekonomicky neaktivní (tis. osob);ženy;125.79172777
2023;Zlínský kraj;Ekonomicky neaktivní (tis. osob);muži;72.832669271
2023;Zlínský kraj;Míra ekonomické aktivity (%);ženy;49.533133456
2023;Zlínský kraj;Míra ekonomické aktivity (%);muži;68.329891897
2023;Moravskoslezský kraj;Zaměstnaní celkem (tis. osob);ženy;243.02946832
2023;Moravskoslezský kraj;Zaměstnaní celkem (tis. osob);muži;300.68017513
2023;Moravskoslezský kraj;Nezaměstnaní (tis. osob);ženy;11.54136707
2023;Moravskoslezský kraj;Nezaměstnaní (tis. osob);muži;10.5426647
2023;Moravskoslezský kraj;Ekonomicky neaktivní (tis. osob);ženy;258.54574719
2023;Moravskoslezský kraj;Ekonomicky neaktivní (tis. osob);muži;160.10204055
2023;Moravskoslezský kraj;Míra ekonomické aktivity (%);ženy;49.612669719
2023;Moravskoslezský kraj;Míra ekonomické aktivity (%);muži;66.031489698
