Území;Institucionální sektor ;Ukazatel;Odvětví ekonomické činnosti;Roky;value
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2020;56309.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2019;57988.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2018;58797.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2017;60335.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2016;62589.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2015;64461.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Doprava a skladování;2022;13007.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Doprava a skladování;2021;12919.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Doprava a skladování;2020;12781.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Doprava a skladování;2019;12934.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Doprava a skladování;2018;12794.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Doprava a skladování;2017;12574.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Doprava a skladování;2016;11968.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Doprava a skladování;2015;11740.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Ubytování, stravování a pohostinství;2022;18859.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Ubytování, stravování a pohostinství;2021;18801.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Ubytování, stravování a pohostinství;2020;19723.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Ubytování, stravování a pohostinství;2019;20526.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Ubytování, stravování a pohostinství;2018;20539.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Ubytování, stravování a pohostinství;2017;20804.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Ubytování, stravování a pohostinství;2016;21475.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Ubytování, stravování a pohostinství;2015;20703.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Informační a komunikační činnosti;2022;8814.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Informační a komunikační činnosti;2021;8474.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Informační a komunikační činnosti;2020;8277.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Informační a komunikační činnosti;2019;8242.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Informační a komunikační činnosti;2018;8078.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Informační a komunikační činnosti;2017;7873.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Informační a komunikační činnosti;2016;7530.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Informační a komunikační činnosti;2015;6776.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Peněžní zprostředkování;2022;2236.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Peněžní zprostředkování;2021;2179.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Peněžní zprostředkování;2020;2212.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Peněžní zprostředkování;2019;2355.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Peněžní zprostředkování;2018;2506.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Peněžní zprostředkování;2017;2481.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Peněžní zprostředkování;2016;2740.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Peněžní zprostředkování;2015;2798.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Činnosti v oblasti nemovitostí;2022;17771.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Činnosti v oblasti nemovitostí;2021;15660.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Činnosti v oblasti nemovitostí;2020;12102.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Činnosti v oblasti nemovitostí;2019;12239.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Činnosti v oblasti nemovitostí;2018;12177.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Činnosti v oblasti nemovitostí;2017;12232.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Činnosti v oblasti nemovitostí;2016;13194.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Činnosti v oblasti nemovitostí;2015;13503.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Profesní, vědecké a technické činnosti;2022;30413.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Profesní, vědecké a technické činnosti;2021;30678.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Profesní, vědecké a technické činnosti;2020;31056.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Profesní, vědecké a technické činnosti;2019;31619.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Profesní, vědecké a technické činnosti;2018;31554.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Profesní, vědecké a technické činnosti;2017;31151.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Profesní, vědecké a technické činnosti;2016;30940.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Profesní, vědecké a technické činnosti;2015;30225.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Administrativní a podpůrné činnosti;2022;8945.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Administrativní a podpůrné činnosti;2021;8425.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Administrativní a podpůrné činnosti;2020;8292.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Administrativní a podpůrné činnosti;2019;8088.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Administrativní a podpůrné činnosti;2018;7938.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Administrativní a podpůrné činnosti;2017;7769.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Administrativní a podpůrné činnosti;2016;7587.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Administrativní a podpůrné činnosti;2015;7447.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Vzdělávání;2022;2530.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Vzdělávání;2021;2529.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Vzdělávání;2020;2527.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Vzdělávání;2019;2519.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Vzdělávání;2018;2561.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Vzdělávání;2017;2585.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Vzdělávání;2016;2532.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Vzdělávání;2015;2530.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Zdravotní a sociální péče;2022;18294.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Zdravotní a sociální péče;2021;18390.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Zdravotní a sociální péče;2020;18452.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Zdravotní a sociální péče;2019;18606.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Zdravotní a sociální péče;2018;18786.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Zdravotní a sociální péče;2017;18858.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Zdravotní a sociální péče;2016;18316.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Zdravotní a sociální péče;2015;18668.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Kulturní, zábavní a rekreační činnosti;2022;2193.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Kulturní, zábavní a rekreační činnosti;2021;2183.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Kulturní, zábavní a rekreační činnosti;2020;2276.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Kulturní, zábavní a rekreační činnosti;2019;2281.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Kulturní, zábavní a rekreační činnosti;2018;2276.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Kulturní, zábavní a rekreační činnosti;2017;2318.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Kulturní, zábavní a rekreační činnosti;2016;2245.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Kulturní, zábavní a rekreační činnosti;2015;2239.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Osobní služby ;2022;3942.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Osobní služby ;2021;3967.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Osobní služby ;2020;4051.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Osobní služby ;2019;4054.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Osobní služby ;2018;4049.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Osobní služby ;2017;3562.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Osobní služby ;2016;4060.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků - zaměstnavatelů;Osobní služby ;2015;3996.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet vzniklých podniků - zaměstnavatelů;Celkem;2022;19418.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet vzniklých podniků - zaměstnavatelů;Celkem;2021;18085.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet vzniklých podniků - zaměstnavatelů;Celkem;2020;15820.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet vzniklých podniků - zaměstnavatelů;Celkem;2019;19788.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet vzniklých podniků - zaměstnavatelů;Celkem;2018;20222.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet vzniklých podniků - zaměstnavatelů;Celkem;2017;22773.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet vzniklých podniků - zaměstnavatelů;Celkem;2016;23719.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet vzniklých podniků - zaměstnavatelů;Celkem;2015;29347.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet vzniklých podniků - zaměstnavatelů;Těžba a dobývání;2022;3.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet vzniklých podniků - zaměstnavatelů;Těžba a dobývání;2021;9.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet vzniklých podniků - zaměstnavatelů;Těžba a dobývání;2020;6.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet vzniklých podniků - zaměstnavatelů;Těžba a dobývání;2019;10.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet vzniklých podniků - zaměstnavatelů;Těžba a dobývání;2018;4.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet vzniklých podniků - zaměstnavatelů;Těžba a dobývání;2017;12.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet vzniklých podniků - zaměstnavatelů;Těžba a dobývání;2016;8.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet vzniklých podniků - zaměstnavatelů;Těžba a dobývání;2015;11.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet vzniklých podniků - zaměstnavatelů;Zpracovatelský průmysl;2022;2076.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet vzniklých podniků - zaměstnavatelů;Zpracovatelský průmysl;2021;2229.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet vzniklých podniků - zaměstnavatelů;Zpracovatelský průmysl;2020;1872.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet vzniklých podniků - zaměstnavatelů;Zpracovatelský průmysl;2019;2407.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet vzniklých podniků - zaměstnavatelů;Zpracovatelský průmysl;2018;2385.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet vzniklých podniků - zaměstnavatelů;Zpracovatelský průmysl;2017;2559.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet vzniklých podniků - zaměstnavatelů;Zpracovatelský průmysl;2016;2676.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet vzniklých podniků - zaměstnavatelů;Zpracovatelský průmysl;2015;3353.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet vzniklých podniků - zaměstnavatelů;Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2022;40.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet vzniklých podniků - zaměstnavatelů;Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2021;86.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet vzniklých podniků - zaměstnavatelů;Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2020;50.0
