Území;Kategorie;Čtvrtletí;Ukazatel;Rezidence;value
Česko;Hromadná ubytovací zařízení celkem;4. čtvrtletí 2022;Průměrný počet přenocování ;Rezidenti;2.3183428687
Česko;Hromadná ubytovací zařízení celkem;4. čtvrtletí 2022;Průměrný počet přenocování ;Nerezidenti;2.470467869
Česko;Hromadná ubytovací zařízení celkem;3. čtvrtletí 2022;Počet hostů;Celkem;7288977.0
Česko;Hromadná ubytovací zařízení celkem;3. čtvrtletí 2022;Počet hostů;Rezidenti;4771976.0
Česko;Hromadná ubytovací zařízení celkem;3. čtvrtletí 2022;Počet hostů;Nerezidenti;2517001.0
Česko;Hromadná ubytovací zařízení celkem;3. čtvrtletí 2022;Počet přenocování;Celkem;20425697.0
Česko;Hromadná ubytovací zařízení celkem;3. čtvrtletí 2022;Počet přenocování;Rezidenti;14210889.0
Česko;Hromadná ubytovací zařízení celkem;3. čtvrtletí 2022;Počet přenocování;Nerezidenti;6214808.0
Česko;Hromadná ubytovací zařízení celkem;3. čtvrtletí 2022;Průměrný počet přenocování ;Celkem;2.8022721158
Česko;Hromadná ubytovací zařízení celkem;3. čtvrtletí 2022;Průměrný počet přenocování ;Rezidenti;2.9779883637
Česko;Hromadná ubytovací zařízení celkem;3. čtvrtletí 2022;Průměrný počet přenocování ;Nerezidenti;2.469132114
Česko;Hromadná ubytovací zařízení celkem;2. čtvrtletí 2022;Počet hostů;Celkem;5048216.0
Česko;Hromadná ubytovací zařízení celkem;2. čtvrtletí 2022;Počet hostů;Rezidenti;3106595.0
Česko;Hromadná ubytovací zařízení celkem;2. čtvrtletí 2022;Počet hostů;Nerezidenti;1941621.0
Česko;Hromadná ubytovací zařízení celkem;2. čtvrtletí 2022;Počet přenocování;Celkem;12052830.0
Česko;Hromadná ubytovací zařízení celkem;2. čtvrtletí 2022;Počet přenocování;Rezidenti;7403009.0
Česko;Hromadná ubytovací zařízení celkem;2. čtvrtletí 2022;Počet přenocování;Nerezidenti;4649821.0
Česko;Hromadná ubytovací zařízení celkem;2. čtvrtletí 2022;Průměrný počet přenocování ;Celkem;2.3875424506
Česko;Hromadná ubytovací zařízení celkem;2. čtvrtletí 2022;Průměrný počet přenocování ;Rezidenti;2.3829977837
Česko;Hromadná ubytovací zařízení celkem;2. čtvrtletí 2022;Průměrný počet přenocování ;Nerezidenti;2.3948139209
Česko;Hromadná ubytovací zařízení celkem;1. čtvrtletí 2022;Počet hostů;Celkem;2795400.0
Česko;Hromadná ubytovací zařízení celkem;1. čtvrtletí 2022;Počet hostů;Rezidenti;1908446.0
Česko;Hromadná ubytovací zařízení celkem;1. čtvrtletí 2022;Počet hostů;Nerezidenti;886954.0
Česko;Hromadná ubytovací zařízení celkem;1. čtvrtletí 2022;Počet přenocování;Celkem;7867533.0
Česko;Hromadná ubytovací zařízení celkem;1. čtvrtletí 2022;Počet přenocování;Rezidenti;5528055.0
Česko;Hromadná ubytovací zařízení celkem;1. čtvrtletí 2022;Počet přenocování;Nerezidenti;2339478.0
Česko;Hromadná ubytovací zařízení celkem;1. čtvrtletí 2022;Průměrný počet přenocování ;Celkem;2.814456965
Česko;Hromadná ubytovací zařízení celkem;1. čtvrtletí 2022;Průměrný počet přenocování ;Rezidenti;2.8966263651
Česko;Hromadná ubytovací zařízení celkem;1. čtvrtletí 2022;Průměrný počet přenocování ;Nerezidenti;2.6376542639
Česko;Hromadná ubytovací zařízení celkem;4. čtvrtletí 2021;Počet hostů;Celkem;3013463.0
Česko;Hromadná ubytovací zařízení celkem;4. čtvrtletí 2021;Počet hostů;Rezidenti;1981104.0
Česko;Hromadná ubytovací zařízení celkem;4. čtvrtletí 2021;Počet hostů;Nerezidenti;1032359.0
Česko;Hromadná ubytovací zařízení celkem;4. čtvrtletí 2021;Počet přenocování;Celkem;7719738.0
Česko;Hromadná ubytovací zařízení celkem;4. čtvrtletí 2021;Počet přenocování;Rezidenti;5021785.0
Česko;Hromadná ubytovací zařízení celkem;4. čtvrtletí 2021;Počet přenocování;Nerezidenti;2697953.0
Česko;Hromadná ubytovací zařízení celkem;4. čtvrtletí 2021;Průměrný počet přenocování ;Celkem;2.5617497212
Česko;Hromadná ubytovací zařízení celkem;4. čtvrtletí 2021;Průměrný počet přenocování ;Rezidenti;2.5348416842
Česko;Hromadná ubytovací zařízení celkem;4. čtvrtletí 2021;Průměrný počet přenocování ;Nerezidenti;2.6133864286
Česko;Hromadná ubytovací zařízení celkem;3. čtvrtletí 2021;Počet hostů;Celkem;6561928.0
Česko;Hromadná ubytovací zařízení celkem;3. čtvrtletí 2021;Počet hostů;Rezidenti;5302704.0
Česko;Hromadná ubytovací zařízení celkem;3. čtvrtletí 2021;Počet hostů;Nerezidenti;1259224.0
Česko;Hromadná ubytovací zařízení celkem;3. čtvrtletí 2021;Počet přenocování;Celkem;19010185.0
Česko;Hromadná ubytovací zařízení celkem;3. čtvrtletí 2021;Počet přenocování;Rezidenti;15874259.0
Česko;Hromadná ubytovací zařízení celkem;3. čtvrtletí 2021;Počet přenocování;Nerezidenti;3135926.0
Česko;Hromadná ubytovací zařízení celkem;3. čtvrtletí 2021;Průměrný počet přenocování ;Celkem;2.897042607
Česko;Hromadná ubytovací zařízení celkem;3. čtvrtletí 2021;Průměrný počet přenocování ;Rezidenti;2.9936158986
Česko;Hromadná ubytovací zařízení celkem;3. čtvrtletí 2021;Průměrný počet přenocování ;Nerezidenti;2.4903639067
Česko;Hromadná ubytovací zařízení celkem;2. čtvrtletí 2021;Počet hostů;Celkem;1528562.0
Česko;Hromadná ubytovací zařízení celkem;2. čtvrtletí 2021;Počet hostů;Rezidenti;1305824.0
Česko;Hromadná ubytovací zařízení celkem;2. čtvrtletí 2021;Počet hostů;Nerezidenti;222738.0
Česko;Hromadná ubytovací zařízení celkem;2. čtvrtletí 2021;Počet přenocování;Celkem;4126836.0
Česko;Hromadná ubytovací zařízení celkem;2. čtvrtletí 2021;Počet přenocování;Rezidenti;3581281.0
Česko;Hromadná ubytovací zařízení celkem;2. čtvrtletí 2021;Počet přenocování;Nerezidenti;545555.0
Česko;Hromadná ubytovací zařízení celkem;2. čtvrtletí 2021;Průměrný počet přenocování ;Celkem;2.6998159054
Česko;Hromadná ubytovací zařízení celkem;2. čtvrtletí 2021;Průměrný počet přenocování ;Rezidenti;2.7425449371
Česko;Hromadná ubytovací zařízení celkem;2. čtvrtletí 2021;Průměrný počet přenocování ;Nerezidenti;2.4493126454
Česko;Hromadná ubytovací zařízení celkem;1. čtvrtletí 2021;Počet hostů;Celkem;279648.0
Česko;Hromadná ubytovací zařízení celkem;1. čtvrtletí 2021;Počet hostů;Rezidenti;224311.0
Česko;Hromadná ubytovací zařízení celkem;1. čtvrtletí 2021;Počet hostů;Nerezidenti;55337.0
Česko;Hromadná ubytovací zařízení celkem;1. čtvrtletí 2021;Počet přenocování;Celkem;1067483.0
Česko;Hromadná ubytovací zařízení celkem;1. čtvrtletí 2021;Počet přenocování;Rezidenti;899602.0
Česko;Hromadná ubytovací zařízení celkem;1. čtvrtletí 2021;Počet přenocování;Nerezidenti;167881.0
Česko;Hromadná ubytovací zařízení celkem;1. čtvrtletí 2021;Průměrný počet přenocování ;Celkem;3.8172380993
Česko;Hromadná ubytovací zařízení celkem;1. čtvrtletí 2021;Průměrný počet přenocování ;Rezidenti;4.0105121907
Česko;Hromadná ubytovací zařízení celkem;1. čtvrtletí 2021;Průměrný počet přenocování ;Nerezidenti;3.0337929414
Česko;Hromadná ubytovací zařízení celkem;4. čtvrtletí 2020;Počet hostů;Celkem;662954.0
Česko;Hromadná ubytovací zařízení celkem;4. čtvrtletí 2020;Počet hostů;Rezidenti;559551.0
Česko;Hromadná ubytovací zařízení celkem;4. čtvrtletí 2020;Počet hostů;Nerezidenti;103403.0
Česko;Hromadná ubytovací zařízení celkem;4. čtvrtletí 2020;Počet přenocování;Celkem;2125407.0
Česko;Hromadná ubytovací zařízení celkem;4. čtvrtletí 2020;Počet přenocování;Rezidenti;1848279.0
Česko;Hromadná ubytovací zařízení celkem;4. čtvrtletí 2020;Počet přenocování;Nerezidenti;277128.0
Česko;Hromadná ubytovací zařízení celkem;4. čtvrtletí 2020;Průměrný počet přenocování ;Celkem;3.2059645164
Česko;Hromadná ubytovací zařízení celkem;4. čtvrtletí 2020;Průměrný počet přenocování ;Rezidenti;3.3031466301
Česko;Hromadná ubytovací zařízení celkem;4. čtvrtletí 2020;Průměrný počet přenocování ;Nerezidenti;2.6800769804
Česko;Hromadná ubytovací zařízení celkem;3. čtvrtletí 2020;Počet hostů;Celkem;5964357.0
Česko;Hromadná ubytovací zařízení celkem;3. čtvrtletí 2020;Počet hostů;Rezidenti;4920553.0
Česko;Hromadná ubytovací zařízení celkem;3. čtvrtletí 2020;Počet hostů;Nerezidenti;1043804.0
Česko;Hromadná ubytovací zařízení celkem;3. čtvrtletí 2020;Počet přenocování;Celkem;17464449.0
Česko;Hromadná ubytovací zařízení celkem;3. čtvrtletí 2020;Počet přenocování;Rezidenti;14855225.0
Česko;Hromadná ubytovací zařízení celkem;3. čtvrtletí 2020;Počet přenocování;Nerezidenti;2609224.0
Česko;Hromadná ubytovací zařízení celkem;3. čtvrtletí 2020;Průměrný počet přenocování ;Celkem;2.9281360925
Česko;Hromadná ubytovací zařízení celkem;3. čtvrtletí 2020;Průměrný počet přenocování ;Rezidenti;3.0190153424
Česko;Hromadná ubytovací zařízení celkem;3. čtvrtletí 2020;Průměrný počet přenocování ;Nerezidenti;2.4997260022
Česko;Hromadná ubytovací zařízení celkem;2. čtvrtletí 2020;Počet hostů;Celkem;1036474.0
Česko;Hromadná ubytovací zařízení celkem;2. čtvrtletí 2020;Počet hostů;Rezidenti;907969.0
Česko;Hromadná ubytovací zařízení celkem;2. čtvrtletí 2020;Počet hostů;Nerezidenti;128505.0
Česko;Hromadná ubytovací zařízení celkem;2. čtvrtletí 2020;Počet přenocování;Celkem;2712292.0
Česko;Hromadná ubytovací zařízení celkem;2. čtvrtletí 2020;Počet přenocování;Rezidenti;2441434.0
Česko;Hromadná ubytovací zařízení celkem;2. čtvrtletí 2020;Počet přenocování;Nerezidenti;270858.0
Česko;Hromadná ubytovací zařízení celkem;2. čtvrtletí 2020;Průměrný počet přenocování ;Celkem;2.6168451886
Česko;Hromadná ubytovací zařízení celkem;2. čtvrtletí 2020;Průměrný počet přenocování ;Rezidenti;2.6888957663
Česko;Hromadná ubytovací zařízení celkem;2. čtvrtletí 2020;Průměrný počet přenocování ;Nerezidenti;2.1077623439
Česko;Hromadná ubytovací zařízení celkem;1. čtvrtletí 2020;Počet hostů;Celkem;3172659.0
Česko;Hromadná ubytovací zařízení celkem;1. čtvrtletí 2020;Počet hostů;Rezidenti;1664201.0
Česko;Hromadná ubytovací zařízení celkem;1. čtvrtletí 2020;Počet hostů;Nerezidenti;1508458.0
Česko;Hromadná ubytovací zařízení celkem;1. čtvrtletí 2020;Počet přenocování;Celkem;9080346.0
Česko;Hromadná ubytovací zařízení celkem;1. čtvrtletí 2020;Počet přenocování;Rezidenti;4849498.0
Česko;Hromadná ubytovací zařízení celkem;1. čtvrtletí 2020;Počet přenocování;Nerezidenti;4230848.0
Česko;Hromadná ubytovací zařízení celkem;1. čtvrtletí 2020;Průměrný počet přenocování ;Celkem;2.8620617596
Česko;Hromadná ubytovací zařízení celkem;1. čtvrtletí 2020;Průměrný počet přenocování ;Rezidenti;2.9140097861
Česko;Hromadná ubytovací zařízení celkem;1. čtvrtletí 2020;Průměrný počet přenocování ;Nerezidenti;2.8047502814
Česko;Hromadná ubytovací zařízení celkem;4. čtvrtletí 2019;Počet hostů;Celkem;4699269.0
Česko;Hromadná ubytovací zařízení celkem;4. čtvrtletí 2019;Počet hostů;Rezidenti;2093746.0
Česko;Hromadná ubytovací zařízení celkem;4. čtvrtletí 2019;Počet hostů;Nerezidenti;2605523.0
Česko;Hromadná ubytovací zařízení celkem;4. čtvrtletí 2019;Počet přenocování;Celkem;11320635.0
Česko;Hromadná ubytovací zařízení celkem;4. čtvrtletí 2019;Počet přenocování;Rezidenti;4884751.0
Česko;Hromadná ubytovací zařízení celkem;4. čtvrtletí 2019;Počet přenocování;Nerezidenti;6435884.0
Česko;Hromadná ubytovací zařízení celkem;4. čtvrtletí 2019;Průměrný počet přenocování ;Celkem;2.4090204242
Česko;Hromadná ubytovací zařízení celkem;4. čtvrtletí 2019;Průměrný počet přenocování ;Rezidenti;2.3330198601
Česko;Hromadná ubytovací zařízení celkem;4. čtvrtletí 2019;Průměrný počet přenocování ;Nerezidenti;2.4700929525
Česko;Hromadná ubytovací zařízení celkem;3. čtvrtletí 2019;Počet hostů;Celkem;7536171.0
Česko;Hromadná ubytovací zařízení celkem;3. čtvrtletí 2019;Počet hostů;Rezidenti;4204951.0
Česko;Hromadná ubytovací zařízení celkem;3. čtvrtletí 2019;Počet hostů;Nerezidenti;3331220.0
Česko;Hromadná ubytovací zařízení celkem;3. čtvrtletí 2019;Počet přenocování;Celkem;20947401.0
Česko;Hromadná ubytovací zařízení celkem;3. čtvrtletí 2019;Počet přenocování;Rezidenti;12632600.0
Česko;Hromadná ubytovací zařízení celkem;3. čtvrtletí 2019;Počet přenocování;Nerezidenti;8314801.0
Česko;Hromadná ubytovací zařízení celkem;3. čtvrtletí 2019;Průměrný počet přenocování ;Celkem;2.7795814347
Česko;Hromadná ubytovací zařízení celkem;3. čtvrtletí 2019;Průměrný počet přenocování ;Rezidenti;3.004220501
Česko;Hromadná ubytovací zařízení celkem;3. čtvrtletí 2019;Průměrný počet přenocování ;Nerezidenti;2.4960227784
Česko;Hromadná ubytovací zařízení celkem;2. čtvrtletí 2019;Počet hostů;Celkem;5776284.0
Česko;Hromadná ubytovací zařízení celkem;2. čtvrtletí 2019;Počet hostů;Rezidenti;2829144.0
Česko;Hromadná ubytovací zařízení celkem;2. čtvrtletí 2019;Počet hostů;Nerezidenti;2947140.0
Česko;Hromadná ubytovací zařízení celkem;2. čtvrtletí 2019;Počet přenocování;Celkem;14040980.0
Česko;Hromadná ubytovací zařízení celkem;2. čtvrtletí 2019;Počet přenocování;Rezidenti;6898568.0
Česko;Hromadná ubytovací zařízení celkem;2. čtvrtletí 2019;Počet přenocování;Nerezidenti;7142412.0
Česko;Hromadná ubytovací zařízení celkem;2. čtvrtletí 2019;Průměrný počet přenocování ;Celkem;2.4307980702
Česko;Hromadná ubytovací zařízení celkem;2. čtvrtletí 2019;Průměrný počet přenocování ;Rezidenti;2.4383940867
Česko;Hromadná ubytovací zařízení celkem;2. čtvrtletí 2019;Průměrný počet přenocování ;Nerezidenti;2.4235061789
Česko;Hromadná ubytovací zařízení celkem;1. čtvrtletí 2019;Počet hostů;Celkem;3986642.0
Česko;Hromadná ubytovací zařízení celkem;1. čtvrtletí 2019;Počet hostů;Rezidenti;1980025.0
Česko;Hromadná ubytovací zařízení celkem;1. čtvrtletí 2019;Počet hostů;Nerezidenti;2006617.0
Česko;Hromadná ubytovací zařízení celkem;1. čtvrtletí 2019;Počet přenocování;Celkem;10715751.0
Česko;Hromadná ubytovací zařízení celkem;1. čtvrtletí 2019;Počet přenocování;Rezidenti;5428285.0
Česko;Hromadná ubytovací zařízení celkem;1. čtvrtletí 2019;Počet přenocování;Nerezidenti;5287466.0
Česko;Hromadná ubytovací zařízení celkem;1. čtvrtletí 2019;Průměrný počet přenocování ;Celkem;2.6879140389
Česko;Hromadná ubytovací zařízení celkem;1. čtvrtletí 2019;Průměrný počet přenocování ;Rezidenti;2.7415234656
Česko;Hromadná ubytovací zařízení celkem;1. čtvrtletí 2019;Průměrný počet přenocování ;Nerezidenti;2.6350150527
Česko;Hromadná ubytovací zařízení celkem;4. čtvrtletí 2018;Počet hostů;Celkem;4487306.0
Česko;Hromadná ubytovací zařízení celkem;4. čtvrtletí 2018;Počet hostů;Rezidenti;1978883.0
Česko;Hromadná ubytovací zařízení celkem;4. čtvrtletí 2018;Počet hostů;Nerezidenti;2508423.0
Česko;Hromadná ubytovací zařízení celkem;4. čtvrtletí 2018;Počet přenocování;Celkem;10792223.0
Česko;Hromadná ubytovací zařízení celkem;4. čtvrtletí 2018;Počet přenocování;Rezidenti;4602374.0
Česko;Hromadná ubytovací zařízení celkem;4. čtvrtletí 2018;Počet přenocování;Nerezidenti;6189849.0
Česko;Hromadná ubytovací zařízení celkem;4. čtvrtletí 2018;Průměrný počet přenocování ;Celkem;2.405056174
Česko;Hromadná ubytovací zařízení celkem;4. čtvrtletí 2018;Průměrný počet přenocování ;Rezidenti;2.3257433613
Česko;Hromadná ubytovací zařízení celkem;4. čtvrtletí 2018;Průměrný počet přenocování ;Nerezidenti;2.4676256756
Česko;Hromadná ubytovací zařízení celkem;3. čtvrtletí 2018;Počet hostů;Celkem;7332542.0
Česko;Hromadná ubytovací zařízení celkem;3. čtvrtletí 2018;Počet hostů;Rezidenti;4064963.0
Česko;Hromadná ubytovací zařízení celkem;3. čtvrtletí 2018;Počet hostů;Nerezidenti;3267579.0
Česko;Hromadná ubytovací zařízení celkem;3. čtvrtletí 2018;Počet přenocování;Celkem;20540302.0
Česko;Hromadná ubytovací zařízení celkem;3. čtvrtletí 2018;Počet přenocování;Rezidenti;12285006.0
Česko;Hromadná ubytovací zařízení celkem;3. čtvrtletí 2018;Počet přenocování;Nerezidenti;8255296.0
Česko;Hromadná ubytovací zařízení celkem;3. čtvrtletí 2018;Průměrný počet přenocování ;Celkem;2.8012525533
Česko;Hromadná ubytovací zařízení celkem;3. čtvrtletí 2018;Průměrný počet přenocování ;Rezidenti;3.0221692055
Česko;Hromadná ubytovací zařízení celkem;3. čtvrtletí 2018;Průměrný počet přenocování ;Nerezidenti;2.5264258339
