Ukazatel,Rok sčítání,Území,Státní občanství,Pohlaví,value
Počet obyvatel (obvyklý pobyt),2021,Středočeský kraj,Obyvatelstvo s cizím státním občanstvím z ostatních evropských zemí,Celkem,34926
Počet obyvatel (obvyklý pobyt),2021,Středočeský kraj,Obyvatelstvo s cizím státním občanstvím z ostatních evropských zemí,Ženy,15023
Počet obyvatel (obvyklý pobyt),2021,Středočeský kraj,Obyvatelstvo s cizím státním občanstvím z ostatních evropských zemí,Muži,19903
Počet obyvatel (obvyklý pobyt),2021,Středočeský kraj,Obyvatelstvo s cizím státním občanstvím ze zemí mimo Evropu,Celkem,11923
Počet obyvatel (obvyklý pobyt),2021,Středočeský kraj,Obyvatelstvo s cizím státním občanstvím ze zemí mimo Evropu,Ženy,5215
Počet obyvatel (obvyklý pobyt),2021,Středočeský kraj,Obyvatelstvo s cizím státním občanstvím ze zemí mimo Evropu,Muži,6708
Počet obyvatel (obvyklý pobyt),2021,Jihočeský kraj,Obyvatelstvo celkem,Celkem,631803
Počet obyvatel (obvyklý pobyt),2021,Jihočeský kraj,Obyvatelstvo celkem,Ženy,319635
Počet obyvatel (obvyklý pobyt),2021,Jihočeský kraj,Obyvatelstvo celkem,Muži,312168
Počet obyvatel (obvyklý pobyt),2021,Jihočeský kraj,Obyvatelstvo s cizím státním občanstvím ze zemí EU,Celkem,5877
Počet obyvatel (obvyklý pobyt),2021,Jihočeský kraj,Obyvatelstvo s cizím státním občanstvím ze zemí EU,Ženy,2581
Počet obyvatel (obvyklý pobyt),2021,Jihočeský kraj,Obyvatelstvo s cizím státním občanstvím ze zemí EU,Muži,3296
Počet obyvatel (obvyklý pobyt),2021,Jihočeský kraj,Obyvatelstvo s cizím státním občanstvím z ostatních evropských zemí,Celkem,8360
Počet obyvatel (obvyklý pobyt),2021,Jihočeský kraj,Obyvatelstvo s cizím státním občanstvím z ostatních evropských zemí,Ženy,3559
Počet obyvatel (obvyklý pobyt),2021,Jihočeský kraj,Obyvatelstvo s cizím státním občanstvím z ostatních evropských zemí,Muži,4801
Počet obyvatel (obvyklý pobyt),2021,Jihočeský kraj,Obyvatelstvo s cizím státním občanstvím ze zemí mimo Evropu,Celkem,4891
Počet obyvatel (obvyklý pobyt),2021,Jihočeský kraj,Obyvatelstvo s cizím státním občanstvím ze zemí mimo Evropu,Ženy,2232
Počet obyvatel (obvyklý pobyt),2021,Jihočeský kraj,Obyvatelstvo s cizím státním občanstvím ze zemí mimo Evropu,Muži,2659
Počet obyvatel (obvyklý pobyt),2021,Plzeňský kraj,Obyvatelstvo celkem,Celkem,581436
Počet obyvatel (obvyklý pobyt),2021,Plzeňský kraj,Obyvatelstvo celkem,Ženy,292557
Počet obyvatel (obvyklý pobyt),2021,Plzeňský kraj,Obyvatelstvo celkem,Muži,288879
Počet obyvatel (obvyklý pobyt),2021,Plzeňský kraj,Obyvatelstvo s cizím státním občanstvím ze zemí EU,Celkem,12411
Počet obyvatel (obvyklý pobyt),2021,Plzeňský kraj,Obyvatelstvo s cizím státním občanstvím ze zemí EU,Ženy,5443
Počet obyvatel (obvyklý pobyt),2021,Plzeňský kraj,Obyvatelstvo s cizím státním občanstvím ze zemí EU,Muži,6968
Počet obyvatel (obvyklý pobyt),2021,Plzeňský kraj,Obyvatelstvo s cizím státním občanstvím z ostatních evropských zemí,Celkem,13230
Počet obyvatel (obvyklý pobyt),2021,Plzeňský kraj,Obyvatelstvo s cizím státním občanstvím z ostatních evropských zemí,Ženy,6044
Počet obyvatel (obvyklý pobyt),2021,Plzeňský kraj,Obyvatelstvo s cizím státním občanstvím z ostatních evropských zemí,Muži,7186
Počet obyvatel (obvyklý pobyt),2021,Plzeňský kraj,Obyvatelstvo s cizím státním občanstvím ze zemí mimo Evropu,Celkem,7265
Počet obyvatel (obvyklý pobyt),2021,Plzeňský kraj,Obyvatelstvo s cizím státním občanstvím ze zemí mimo Evropu,Ženy,3210
Počet obyvatel (obvyklý pobyt),2021,Plzeňský kraj,Obyvatelstvo s cizím státním občanstvím ze zemí mimo Evropu,Muži,4055
Počet obyvatel (obvyklý pobyt),2021,Karlovarský kraj,Obyvatelstvo celkem,Celkem,279103
Počet obyvatel (obvyklý pobyt),2021,Karlovarský kraj,Obyvatelstvo celkem,Ženy,140993
Počet obyvatel (obvyklý pobyt),2021,Karlovarský kraj,Obyvatelstvo celkem,Muži,138110
Počet obyvatel (obvyklý pobyt),2021,Karlovarský kraj,Obyvatelstvo s cizím státním občanstvím ze zemí EU,Celkem,3826
Počet obyvatel (obvyklý pobyt),2021,Karlovarský kraj,Obyvatelstvo s cizím státním občanstvím ze zemí EU,Ženy,1688
Počet obyvatel (obvyklý pobyt),2021,Karlovarský kraj,Obyvatelstvo s cizím státním občanstvím ze zemí EU,Muži,2138
Počet obyvatel (obvyklý pobyt),2021,Karlovarský kraj,Obyvatelstvo s cizím státním občanstvím z ostatních evropských zemí,Celkem,5592
Počet obyvatel (obvyklý pobyt),2021,Karlovarský kraj,Obyvatelstvo s cizím státním občanstvím z ostatních evropských zemí,Ženy,2865
Počet obyvatel (obvyklý pobyt),2021,Karlovarský kraj,Obyvatelstvo s cizím státním občanstvím z ostatních evropských zemí,Muži,2727
Počet obyvatel (obvyklý pobyt),2021,Karlovarský kraj,Obyvatelstvo s cizím státním občanstvím ze zemí mimo Evropu,Celkem,6027
Počet obyvatel (obvyklý pobyt),2021,Karlovarský kraj,Obyvatelstvo s cizím státním občanstvím ze zemí mimo Evropu,Ženy,2774
Počet obyvatel (obvyklý pobyt),2021,Karlovarský kraj,Obyvatelstvo s cizím státním občanstvím ze zemí mimo Evropu,Muži,3253
Počet obyvatel (obvyklý pobyt),2021,Ústecký kraj,Obyvatelstvo celkem,Celkem,789098
Počet obyvatel (obvyklý pobyt),2021,Ústecký kraj,Obyvatelstvo celkem,Ženy,400133
Počet obyvatel (obvyklý pobyt),2021,Ústecký kraj,Obyvatelstvo celkem,Muži,388965
Počet obyvatel (obvyklý pobyt),2021,Ústecký kraj,Obyvatelstvo s cizím státním občanstvím ze zemí EU,Celkem,7118
Počet obyvatel (obvyklý pobyt),2021,Ústecký kraj,Obyvatelstvo s cizím státním občanstvím ze zemí EU,Ženy,3126
Počet obyvatel (obvyklý pobyt),2021,Ústecký kraj,Obyvatelstvo s cizím státním občanstvím ze zemí EU,Muži,3992
Počet obyvatel (obvyklý pobyt),2021,Ústecký kraj,Obyvatelstvo s cizím státním občanstvím z ostatních evropských zemí,Celkem,9197
Počet obyvatel (obvyklý pobyt),2021,Ústecký kraj,Obyvatelstvo s cizím státním občanstvím z ostatních evropských zemí,Ženy,3917
Počet obyvatel (obvyklý pobyt),2021,Ústecký kraj,Obyvatelstvo s cizím státním občanstvím z ostatních evropských zemí,Muži,5280
Počet obyvatel (obvyklý pobyt),2021,Ústecký kraj,Obyvatelstvo s cizím státním občanstvím ze zemí mimo Evropu,Celkem,9649
Počet obyvatel (obvyklý pobyt),2021,Ústecký kraj,Obyvatelstvo s cizím státním občanstvím ze zemí mimo Evropu,Ženy,4382
Počet obyvatel (obvyklý pobyt),2021,Ústecký kraj,Obyvatelstvo s cizím státním občanstvím ze zemí mimo Evropu,Muži,5267
Počet obyvatel (obvyklý pobyt),2021,Liberecký kraj,Obyvatelstvo celkem,Celkem,435220
Počet obyvatel (obvyklý pobyt),2021,Liberecký kraj,Obyvatelstvo celkem,Ženy,219800
Počet obyvatel (obvyklý pobyt),2021,Liberecký kraj,Obyvatelstvo celkem,Muži,215420
Počet obyvatel (obvyklý pobyt),2021,Liberecký kraj,Obyvatelstvo s cizím státním občanstvím ze zemí EU,Celkem,6828
Počet obyvatel (obvyklý pobyt),2021,Liberecký kraj,Obyvatelstvo s cizím státním občanstvím ze zemí EU,Ženy,3475
Počet obyvatel (obvyklý pobyt),2021,Liberecký kraj,Obyvatelstvo s cizím státním občanstvím ze zemí EU,Muži,3353
Počet obyvatel (obvyklý pobyt),2021,Liberecký kraj,Obyvatelstvo s cizím státním občanstvím z ostatních evropských zemí,Celkem,7736
Počet obyvatel (obvyklý pobyt),2021,Liberecký kraj,Obyvatelstvo s cizím státním občanstvím z ostatních evropských zemí,Ženy,3557
Počet obyvatel (obvyklý pobyt),2021,Liberecký kraj,Obyvatelstvo s cizím státním občanstvím z ostatních evropských zemí,Muži,4179
Počet obyvatel (obvyklý pobyt),2021,Liberecký kraj,Obyvatelstvo s cizím státním občanstvím ze zemí mimo Evropu,Celkem,4623
Počet obyvatel (obvyklý pobyt),2021,Liberecký kraj,Obyvatelstvo s cizím státním občanstvím ze zemí mimo Evropu,Ženy,2073
Počet obyvatel (obvyklý pobyt),2021,Liberecký kraj,Obyvatelstvo s cizím státním občanstvím ze zemí mimo Evropu,Muži,2550
Počet obyvatel (obvyklý pobyt),2021,Královéhradecký kraj,Obyvatelstvo celkem,Celkem,538303
Počet obyvatel (obvyklý pobyt),2021,Královéhradecký kraj,Obyvatelstvo celkem,Ženy,272286
Počet obyvatel (obvyklý pobyt),2021,Královéhradecký kraj,Obyvatelstvo celkem,Muži,266017
Počet obyvatel (obvyklý pobyt),2021,Královéhradecký kraj,Obyvatelstvo s cizím státním občanstvím ze zemí EU,Celkem,4955
Počet obyvatel (obvyklý pobyt),2021,Královéhradecký kraj,Obyvatelstvo s cizím státním občanstvím ze zemí EU,Ženy,2468
Počet obyvatel (obvyklý pobyt),2021,Královéhradecký kraj,Obyvatelstvo s cizím státním občanstvím ze zemí EU,Muži,2487
Počet obyvatel (obvyklý pobyt),2021,Královéhradecký kraj,Obyvatelstvo s cizím státním občanstvím z ostatních evropských zemí,Celkem,6744
Počet obyvatel (obvyklý pobyt),2021,Královéhradecký kraj,Obyvatelstvo s cizím státním občanstvím z ostatních evropských zemí,Ženy,2723
Počet obyvatel (obvyklý pobyt),2021,Královéhradecký kraj,Obyvatelstvo s cizím státním občanstvím z ostatních evropských zemí,Muži,4021
Počet obyvatel (obvyklý pobyt),2021,Královéhradecký kraj,Obyvatelstvo s cizím státním občanstvím ze zemí mimo Evropu,Celkem,3045
Počet obyvatel (obvyklý pobyt),2021,Královéhradecký kraj,Obyvatelstvo s cizím státním občanstvím ze zemí mimo Evropu,Ženy,1390
Počet obyvatel (obvyklý pobyt),2021,Královéhradecký kraj,Obyvatelstvo s cizím státním občanstvím ze zemí mimo Evropu,Muži,1655
Počet obyvatel (obvyklý pobyt),2021,Pardubický kraj,Obyvatelstvo celkem,Celkem,510037
Počet obyvatel (obvyklý pobyt),2021,Pardubický kraj,Obyvatelstvo celkem,Ženy,257091
Počet obyvatel (obvyklý pobyt),2021,Pardubický kraj,Obyvatelstvo celkem,Muži,252946
Počet obyvatel (obvyklý pobyt),2021,Pardubický kraj,Obyvatelstvo s cizím státním občanstvím ze zemí EU,Celkem,5746
Počet obyvatel (obvyklý pobyt),2021,Pardubický kraj,Obyvatelstvo s cizím státním občanstvím ze zemí EU,Ženy,2499
Počet obyvatel (obvyklý pobyt),2021,Pardubický kraj,Obyvatelstvo s cizím státním občanstvím ze zemí EU,Muži,3247
Počet obyvatel (obvyklý pobyt),2021,Pardubický kraj,Obyvatelstvo s cizím státním občanstvím z ostatních evropských zemí,Celkem,6682
Počet obyvatel (obvyklý pobyt),2021,Pardubický kraj,Obyvatelstvo s cizím státním občanstvím z ostatních evropských zemí,Ženy,2628
Počet obyvatel (obvyklý pobyt),2021,Pardubický kraj,Obyvatelstvo s cizím státním občanstvím z ostatních evropských zemí,Muži,4054
Počet obyvatel (obvyklý pobyt),2021,Pardubický kraj,Obyvatelstvo s cizím státním občanstvím ze zemí mimo Evropu,Celkem,3294
Počet obyvatel (obvyklý pobyt),2021,Pardubický kraj,Obyvatelstvo s cizím státním občanstvím ze zemí mimo Evropu,Ženy,1454
Počet obyvatel (obvyklý pobyt),2021,Pardubický kraj,Obyvatelstvo s cizím státním občanstvím ze zemí mimo Evropu,Muži,1840
Počet obyvatel (obvyklý pobyt),2021,Kraj Vysočina,Obyvatelstvo celkem,Celkem,497661
Počet obyvatel (obvyklý pobyt),2021,Kraj Vysočina,Obyvatelstvo celkem,Ženy,250293
Počet obyvatel (obvyklý pobyt),2021,Kraj Vysočina,Obyvatelstvo celkem,Muži,247368
Počet obyvatel (obvyklý pobyt),2021,Kraj Vysočina,Obyvatelstvo s cizím státním občanstvím ze zemí EU,Celkem,3286
Počet obyvatel (obvyklý pobyt),2021,Kraj Vysočina,Obyvatelstvo s cizím státním občanstvím ze zemí EU,Ženy,1368
Počet obyvatel (obvyklý pobyt),2021,Kraj Vysočina,Obyvatelstvo s cizím státním občanstvím ze zemí EU,Muži,1918
Počet obyvatel (obvyklý pobyt),2021,Kraj Vysočina,Obyvatelstvo s cizím státním občanstvím z ostatních evropských zemí,Celkem,4814
Počet obyvatel (obvyklý pobyt),2021,Kraj Vysočina,Obyvatelstvo s cizím státním občanstvím z ostatních evropských zemí,Ženy,1892
Počet obyvatel (obvyklý pobyt),2021,Kraj Vysočina,Obyvatelstvo s cizím státním občanstvím z ostatních evropských zemí,Muži,2922
Počet obyvatel (obvyklý pobyt),2021,Kraj Vysočina,Obyvatelstvo s cizím státním občanstvím ze zemí mimo Evropu,Celkem,2270
Počet obyvatel (obvyklý pobyt),2021,Kraj Vysočina,Obyvatelstvo s cizím státním občanstvím ze zemí mimo Evropu,Ženy,1081
Počet obyvatel (obvyklý pobyt),2021,Kraj Vysočina,Obyvatelstvo s cizím státním občanstvím ze zemí mimo Evropu,Muži,1189
Počet obyvatel (obvyklý pobyt),2021,Jihomoravský kraj,Obyvatelstvo celkem,Celkem,1197651
Počet obyvatel (obvyklý pobyt),2021,Jihomoravský kraj,Obyvatelstvo celkem,Ženy,608098
Počet obyvatel (obvyklý pobyt),2021,Jihomoravský kraj,Obyvatelstvo celkem,Muži,589553
Počet obyvatel (obvyklý pobyt),2021,Jihomoravský kraj,Obyvatelstvo s cizím státním občanstvím ze zemí EU,Celkem,18091
Počet obyvatel (obvyklý pobyt),2021,Jihomoravský kraj,Obyvatelstvo s cizím státním občanstvím ze zemí EU,Ženy,8033
Počet obyvatel (obvyklý pobyt),2021,Jihomoravský kraj,Obyvatelstvo s cizím státním občanstvím ze zemí EU,Muži,10058
Počet obyvatel (obvyklý pobyt),2021,Jihomoravský kraj,Obyvatelstvo s cizím státním občanstvím z ostatních evropských zemí,Celkem,18083
Počet obyvatel (obvyklý pobyt),2021,Jihomoravský kraj,Obyvatelstvo s cizím státním občanstvím z ostatních evropských zemí,Ženy,8073
Počet obyvatel (obvyklý pobyt),2021,Jihomoravský kraj,Obyvatelstvo s cizím státním občanstvím z ostatních evropských zemí,Muži,10010
Počet obyvatel (obvyklý pobyt),2021,Jihomoravský kraj,Obyvatelstvo s cizím státním občanstvím ze zemí mimo Evropu,Celkem,10337
Počet obyvatel (obvyklý pobyt),2021,Jihomoravský kraj,Obyvatelstvo s cizím státním občanstvím ze zemí mimo Evropu,Ženy,4487
Počet obyvatel (obvyklý pobyt),2021,Jihomoravský kraj,Obyvatelstvo s cizím státním občanstvím ze zemí mimo Evropu,Muži,5850
Počet obyvatel (obvyklý pobyt),2021,Olomoucký kraj,Obyvatelstvo celkem,Celkem,619788
Počet obyvatel (obvyklý pobyt),2021,Olomoucký kraj,Obyvatelstvo celkem,Ženy,315893
Počet obyvatel (obvyklý pobyt),2021,Olomoucký kraj,Obyvatelstvo celkem,Muži,303895
Počet obyvatel (obvyklý pobyt),2021,Olomoucký kraj,Obyvatelstvo s cizím státním občanstvím ze zemí EU,Celkem,4186
Počet obyvatel (obvyklý pobyt),2021,Olomoucký kraj,Obyvatelstvo s cizím státním občanstvím ze zemí EU,Ženy,1877
Počet obyvatel (obvyklý pobyt),2021,Olomoucký kraj,Obyvatelstvo s cizím státním občanstvím ze zemí EU,Muži,2309
Počet obyvatel (obvyklý pobyt),2021,Olomoucký kraj,Obyvatelstvo s cizím státním občanstvím z ostatních evropských zemí,Celkem,3646
Počet obyvatel (obvyklý pobyt),2021,Olomoucký kraj,Obyvatelstvo s cizím státním občanstvím z ostatních evropských zemí,Ženy,1513
Počet obyvatel (obvyklý pobyt),2021,Olomoucký kraj,Obyvatelstvo s cizím státním občanstvím z ostatních evropských zemí,Muži,2133
Počet obyvatel (obvyklý pobyt),2021,Olomoucký kraj,Obyvatelstvo s cizím státním občanstvím ze zemí mimo Evropu,Celkem,2667
Počet obyvatel (obvyklý pobyt),2021,Olomoucký kraj,Obyvatelstvo s cizím státním občanstvím ze zemí mimo Evropu,Ženy,1158
Počet obyvatel (obvyklý pobyt),2021,Olomoucký kraj,Obyvatelstvo s cizím státním občanstvím ze zemí mimo Evropu,Muži,1509
Počet obyvatel (obvyklý pobyt),2021,Zlínský kraj,Obyvatelstvo celkem,Celkem,564331
Počet obyvatel (obvyklý pobyt),2021,Zlínský kraj,Obyvatelstvo celkem,Ženy,287185
Počet obyvatel (obvyklý pobyt),2021,Zlínský kraj,Obyvatelstvo celkem,Muži,277146
Počet obyvatel (obvyklý pobyt),2021,Zlínský kraj,Obyvatelstvo s cizím státním občanstvím ze zemí EU,Celkem,4763
Počet obyvatel (obvyklý pobyt),2021,Zlínský kraj,Obyvatelstvo s cizím státním občanstvím ze zemí EU,Ženy,2215
Počet obyvatel (obvyklý pobyt),2021,Zlínský kraj,Obyvatelstvo s cizím státním občanstvím ze zemí EU,Muži,2548
Počet obyvatel (obvyklý pobyt),2021,Zlínský kraj,Obyvatelstvo s cizím státním občanstvím z ostatních evropských zemí,Celkem,3290
Počet obyvatel (obvyklý pobyt),2021,Zlínský kraj,Obyvatelstvo s cizím státním občanstvím z ostatních evropských zemí,Ženy,1210
Počet obyvatel (obvyklý pobyt),2021,Zlínský kraj,Obyvatelstvo s cizím státním občanstvím z ostatních evropských zemí,Muži,2080
Počet obyvatel (obvyklý pobyt),2021,Zlínský kraj,Obyvatelstvo s cizím státním občanstvím ze zemí mimo Evropu,Celkem,1836
Počet obyvatel (obvyklý pobyt),2021,Zlínský kraj,Obyvatelstvo s cizím státním občanstvím ze zemí mimo Evropu,Ženy,809
Počet obyvatel (obvyklý pobyt),2021,Zlínský kraj,Obyvatelstvo s cizím státním občanstvím ze zemí mimo Evropu,Muži,1027
Počet obyvatel (obvyklý pobyt),2021,Moravskoslezský kraj,Obyvatelstvo celkem,Celkem,1162841
Počet obyvatel (obvyklý pobyt),2021,Moravskoslezský kraj,Obyvatelstvo celkem,Ženy,592750
Počet obyvatel (obvyklý pobyt),2021,Moravskoslezský kraj,Obyvatelstvo celkem,Muži,570091
Počet obyvatel (obvyklý pobyt),2021,Moravskoslezský kraj,Obyvatelstvo s cizím státním občanstvím ze zemí EU,Celkem,11735
Počet obyvatel (obvyklý pobyt),2021,Moravskoslezský kraj,Obyvatelstvo s cizím státním občanstvím ze zemí EU,Ženy,5492
Počet obyvatel (obvyklý pobyt),2021,Moravskoslezský kraj,Obyvatelstvo s cizím státním občanstvím ze zemí EU,Muži,6243
Počet obyvatel (obvyklý pobyt),2021,Moravskoslezský kraj,Obyvatelstvo s cizím státním občanstvím z ostatních evropských zemí,Celkem,3873
Počet obyvatel (obvyklý pobyt),2021,Moravskoslezský kraj,Obyvatelstvo s cizím státním občanstvím z ostatních evropských zemí,Ženy,1423
Počet obyvatel (obvyklý pobyt),2021,Moravskoslezský kraj,Obyvatelstvo s cizím státním občanstvím z ostatních evropských zemí,Muži,2450
Počet obyvatel (obvyklý pobyt),2021,Moravskoslezský kraj,Obyvatelstvo s cizím státním občanstvím ze zemí mimo Evropu,Celkem,5350
Počet obyvatel (obvyklý pobyt),2021,Moravskoslezský kraj,Obyvatelstvo s cizím státním občanstvím ze zemí mimo Evropu,Ženy,2236
Počet obyvatel (obvyklý pobyt),2021,Moravskoslezský kraj,Obyvatelstvo s cizím státním občanstvím ze zemí mimo Evropu,Muži,3114
