ČR a kraje,Ukazatel,Pohlaví,Klasifikace zaměstnání (CZISCO),Roky,value
Česko,Zaměstnaní (tis. osob),Celkem,Specialisté,2003,535.146522830805
Česko,Zaměstnaní (tis. osob),Celkem,Specialisté,2002,539.18865952433
Česko,Zaměstnaní (tis. osob),Celkem,Specialisté,2001,540.099008907082
Česko,Zaměstnaní (tis. osob),Celkem,Specialisté,2000,535.499706489405
Česko,Zaměstnaní (tis. osob),Celkem,Specialisté,1999,515.612815930049
Česko,Zaměstnaní (tis. osob),Celkem,Specialisté,1998,506.805192633156
Česko,Zaměstnaní (tis. osob),Celkem,Specialisté,1997,516.224784091438
Česko,Zaměstnaní (tis. osob),Celkem,Specialisté,1996,509.581010775891
Česko,Zaměstnaní (tis. osob),Celkem,Specialisté,1995,511.883921225849
Česko,Zaměstnaní (tis. osob),Celkem,Specialisté,1994,486.708963835869
Česko,Zaměstnaní (tis. osob),Celkem,Specialisté,1993,499.560148059428
Česko,Zaměstnaní (tis. osob),Celkem,Techničtí a odborní pracovníci,2024,854.92354291
Česko,Zaměstnaní (tis. osob),Celkem,Techničtí a odborní pracovníci,2023,823.66306105
Česko,Zaměstnaní (tis. osob),Celkem,Techničtí a odborní pracovníci,2022,848.745367575
Česko,Zaměstnaní (tis. osob),Celkem,Techničtí a odborní pracovníci,2021,877.6101784
Česko,Zaměstnaní (tis. osob),Celkem,Techničtí a odborní pracovníci,2020,916.65195625
Česko,Zaměstnaní (tis. osob),Celkem,Techničtí a odborní pracovníci,2019,909.026232675
Česko,Zaměstnaní (tis. osob),Celkem,Techničtí a odborní pracovníci,2018,914.984045775
Česko,Zaměstnaní (tis. osob),Celkem,Techničtí a odborní pracovníci,2017,930.095873575
Česko,Zaměstnaní (tis. osob),Celkem,Techničtí a odborní pracovníci,2016,884.28062815
Česko,Zaměstnaní (tis. osob),Celkem,Techničtí a odborní pracovníci,2015,856.686996760001
Česko,Zaměstnaní (tis. osob),Celkem,Techničtí a odborní pracovníci,2014,880.262372565
Česko,Zaměstnaní (tis. osob),Celkem,Techničtí a odborní pracovníci,2013,879.3186185175
Česko,Zaměstnaní (tis. osob),Celkem,Techničtí a odborní pracovníci,2012,897.06611424
Česko,Zaměstnaní (tis. osob),Celkem,Techničtí a odborní pracovníci,2011,940.757245384999
Česko,Zaměstnaní (tis. osob),Celkem,Techničtí a odborní pracovníci,2010,1208.09311440067
Česko,Zaměstnaní (tis. osob),Celkem,Techničtí a odborní pracovníci,2009,958.486825500168
Česko,Zaměstnaní (tis. osob),Celkem,Techničtí a odborní pracovníci,2008,939.085184129269
Česko,Zaměstnaní (tis. osob),Celkem,Techničtí a odborní pracovníci,2007,911.707818412422
Česko,Zaměstnaní (tis. osob),Celkem,Techničtí a odborní pracovníci,2006,878.706460534151
Česko,Zaměstnaní (tis. osob),Celkem,Techničtí a odborní pracovníci,2005,859.39310890381
Česko,Zaměstnaní (tis. osob),Celkem,Techničtí a odborní pracovníci,2004,817.130864230969
Česko,Zaměstnaní (tis. osob),Celkem,Techničtí a odborní pracovníci,2003,797.266962505969
Česko,Zaměstnaní (tis. osob),Celkem,Techničtí a odborní pracovníci,2002,774.121207541711
Česko,Zaměstnaní (tis. osob),Celkem,Techničtí a odborní pracovníci,2001,773.695767546639
Česko,Zaměstnaní (tis. osob),Celkem,Techničtí a odborní pracovníci,2000,759.198540746508
Česko,Zaměstnaní (tis. osob),Celkem,Techničtí a odborní pracovníci,1999,752.915343919734
Česko,Zaměstnaní (tis. osob),Celkem,Techničtí a odborní pracovníci,1998,754.798730913171
Česko,Zaměstnaní (tis. osob),Celkem,Techničtí a odborní pracovníci,1997,771.503227234246
Česko,Zaměstnaní (tis. osob),Celkem,Techničtí a odborní pracovníci,1996,769.293124619865
Česko,Zaměstnaní (tis. osob),Celkem,Techničtí a odborní pracovníci,1995,763.810021657976
Česko,Zaměstnaní (tis. osob),Celkem,Techničtí a odborní pracovníci,1994,760.768524948279
Česko,Zaměstnaní (tis. osob),Celkem,Techničtí a odborní pracovníci,1993,735.60881543915
Česko,Zaměstnaní (tis. osob),Celkem,Úředníci,2024,355.98006361
Česko,Zaměstnaní (tis. osob),Celkem,Úředníci,2023,398.58761876
Česko,Zaměstnaní (tis. osob),Celkem,Úředníci,2022,459.89321135
Česko,Zaměstnaní (tis. osob),Celkem,Úředníci,2021,480.83301035
Česko,Zaměstnaní (tis. osob),Celkem,Úředníci,2020,479.138819325
Česko,Zaměstnaní (tis. osob),Celkem,Úředníci,2019,501.078032425
Česko,Zaměstnaní (tis. osob),Celkem,Úředníci,2018,498.914975425
Česko,Zaměstnaní (tis. osob),Celkem,Úředníci,2017,509.32560365
Česko,Zaměstnaní (tis. osob),Celkem,Úředníci,2016,476.316134125
Česko,Zaměstnaní (tis. osob),Celkem,Úředníci,2015,464.47569744
Česko,Zaměstnaní (tis. osob),Celkem,Úředníci,2014,465.537594165
Česko,Zaměstnaní (tis. osob),Celkem,Úředníci,2013,475.7969524175
Česko,Zaměstnaní (tis. osob),Celkem,Úředníci,2012,454.805286645
Česko,Zaměstnaní (tis. osob),Celkem,Úředníci,2011,458.239792464999
Česko,Zaměstnaní (tis. osob),Celkem,Úředníci,2010,384.67159790025
Česko,Zaměstnaní (tis. osob),Celkem,Úředníci,2009,453.091941481351
Česko,Zaměstnaní (tis. osob),Celkem,Úředníci,2008,442.906966800902
Česko,Zaměstnaní (tis. osob),Celkem,Úředníci,2007,427.616242441574
Česko,Zaměstnaní (tis. osob),Celkem,Úředníci,2006,414.103710097971
Česko,Zaměstnaní (tis. osob),Celkem,Úředníci,2005,418.419365606119
Česko,Zaměstnaní (tis. osob),Celkem,Úředníci,2004,415.257582207319
Česko,Zaměstnaní (tis. osob),Celkem,Úředníci,2003,415.058087229132
Česko,Zaměstnaní (tis. osob),Celkem,Úředníci,2002,425.551324669785
Česko,Zaměstnaní (tis. osob),Celkem,Úředníci,2001,410.86813347548
Česko,Zaměstnaní (tis. osob),Celkem,Úředníci,2000,398.225955989175
Česko,Zaměstnaní (tis. osob),Celkem,Úředníci,1999,402.649638397041
Česko,Zaměstnaní (tis. osob),Celkem,Úředníci,1998,421.056730356197
Česko,Zaměstnaní (tis. osob),Celkem,Úředníci,1997,425.228673217297
Česko,Zaměstnaní (tis. osob),Celkem,Úředníci,1996,418.567366033092
Česko,Zaměstnaní (tis. osob),Celkem,Úředníci,1995,409.920479618603
Česko,Zaměstnaní (tis. osob),Celkem,Úředníci,1994,403.8149595858
Česko,Zaměstnaní (tis. osob),Celkem,Úředníci,1993,385.876486876852
Česko,Zaměstnaní (tis. osob),Celkem,Pracovníci ve službách a prodeji,2024,800.69206421
Česko,Zaměstnaní (tis. osob),Celkem,Pracovníci ve službách a prodeji,2023,767.66426193
Česko,Zaměstnaní (tis. osob),Celkem,Pracovníci ve službách a prodeji,2022,790.4563999
Česko,Zaměstnaní (tis. osob),Celkem,Pracovníci ve službách a prodeji,2021,757.4614006
Česko,Zaměstnaní (tis. osob),Celkem,Pracovníci ve službách a prodeji,2020,784.901590025
Česko,Zaměstnaní (tis. osob),Celkem,Pracovníci ve službách a prodeji,2019,816.38603765
Česko,Zaměstnaní (tis. osob),Celkem,Pracovníci ve službách a prodeji,2018,822.747311525
Česko,Zaměstnaní (tis. osob),Celkem,Pracovníci ve službách a prodeji,2017,785.539301349999
Česko,Zaměstnaní (tis. osob),Celkem,Pracovníci ve službách a prodeji,2016,782.984456575
Česko,Zaměstnaní (tis. osob),Celkem,Pracovníci ve službách a prodeji,2015,774.640108615
Česko,Zaměstnaní (tis. osob),Celkem,Pracovníci ve službách a prodeji,2014,752.7090717475
Česko,Zaměstnaní (tis. osob),Celkem,Pracovníci ve službách a prodeji,2013,746.3357643425
Česko,Zaměstnaní (tis. osob),Celkem,Pracovníci ve službách a prodeji,2012,743.357891975
Česko,Zaměstnaní (tis. osob),Celkem,Pracovníci ve službách a prodeji,2011,743.058369575
Česko,Zaměstnaní (tis. osob),Celkem,Pracovníci ve službách a prodeji,2010,605.4094889183
Česko,Zaměstnaní (tis. osob),Celkem,Pracovníci ve službách a prodeji,2009,731.295052153318
Česko,Zaměstnaní (tis. osob),Celkem,Pracovníci ve službách a prodeji,2008,721.841371670296
Česko,Zaměstnaní (tis. osob),Celkem,Pracovníci ve službách a prodeji,2007,717.179518720248
Česko,Zaměstnaní (tis. osob),Celkem,Pracovníci ve službách a prodeji,2006,723.655762186973
Česko,Zaměstnaní (tis. osob),Celkem,Pracovníci ve službách a prodeji,2005,715.760011780641
Česko,Zaměstnaní (tis. osob),Celkem,Pracovníci ve službách a prodeji,2004,717.402965459941
Česko,Zaměstnaní (tis. osob),Celkem,Pracovníci ve službách a prodeji,2003,734.512651246692
Česko,Zaměstnaní (tis. osob),Celkem,Pracovníci ve službách a prodeji,2002,741.830478728291
Česko,Zaměstnaní (tis. osob),Celkem,Pracovníci ve službách a prodeji,2001,720.030214400445
Česko,Zaměstnaní (tis. osob),Celkem,Pracovníci ve službách a prodeji,2000,713.23152489146
Česko,Zaměstnaní (tis. osob),Celkem,Pracovníci ve službách a prodeji,1999,722.188905642984
Česko,Zaměstnaní (tis. osob),Celkem,Pracovníci ve službách a prodeji,1998,742.946109468361
Česko,Zaměstnaní (tis. osob),Celkem,Pracovníci ve službách a prodeji,1997,734.774033058632
Česko,Zaměstnaní (tis. osob),Celkem,Pracovníci ve službách a prodeji,1996,720.940071017102
Česko,Zaměstnaní (tis. osob),Celkem,Pracovníci ve službách a prodeji,1995,704.702118372224
Česko,Zaměstnaní (tis. osob),Celkem,Pracovníci ve službách a prodeji,1994,691.194019598427
Česko,Zaměstnaní (tis. osob),Celkem,Pracovníci ve službách a prodeji,1993,653.281343587299
Česko,Zaměstnaní (tis. osob),Celkem,"Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství",2024,68.56986817
Česko,Zaměstnaní (tis. osob),Celkem,"Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství",2023,64.748007912
Česko,Zaměstnaní (tis. osob),Celkem,"Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství",2022,56.292466625
Česko,Zaměstnaní (tis. osob),Celkem,"Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství",2021,59.52514435
Česko,Zaměstnaní (tis. osob),Celkem,"Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství",2020,61.906059075
Česko,Zaměstnaní (tis. osob),Celkem,"Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství",2019,66.3027734
Česko,Zaměstnaní (tis. osob),Celkem,"Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství",2018,66.32574925
Česko,Zaměstnaní (tis. osob),Celkem,"Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství",2017,68.7822114
Česko,Zaměstnaní (tis. osob),Celkem,"Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství",2016,69.84625185
Česko,Zaměstnaní (tis. osob),Celkem,"Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství",2015,61.98912386
Česko,Zaměstnaní (tis. osob),Celkem,"Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství",2014,59.93764406
Česko,Zaměstnaní (tis. osob),Celkem,"Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství",2013,64.419005145
Česko,Zaměstnaní (tis. osob),Celkem,"Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství",2012,66.768915915
Česko,Zaměstnaní (tis. osob),Celkem,"Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství",2011,66.3575012375
Česko,Zaměstnaní (tis. osob),Celkem,"Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství",2010,66.797838879775
Česko,Zaměstnaní (tis. osob),Celkem,"Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství",2009,60.2421308488854
Česko,Zaměstnaní (tis. osob),Celkem,"Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství",2008,66.0139363269959
Česko,Zaměstnaní (tis. osob),Celkem,"Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství",2007,71.1484460488191
Česko,Zaměstnaní (tis. osob),Celkem,"Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství",2006,72.540964535475
Česko,Zaměstnaní (tis. osob),Celkem,"Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství",2005,73.5232217654551
Česko,Zaměstnaní (tis. osob),Celkem,"Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství",2004,77.4754823386442
Česko,Zaměstnaní (tis. osob),Celkem,"Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství",2003,83.5011943234011
Česko,Zaměstnaní (tis. osob),Celkem,"Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství",2002,87.0901842207477
Česko,Zaměstnaní (tis. osob),Celkem,"Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství",2001,86.5668178910906
Česko,Zaměstnaní (tis. osob),Celkem,"Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství",2000,91.0257691033504
Česko,Zaměstnaní (tis. osob),Celkem,"Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství",1999,92.1660762873843
Česko,Zaměstnaní (tis. osob),Celkem,"Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství",1998,99.5619552512567
Česko,Zaměstnaní (tis. osob),Celkem,"Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství",1997,105.088011096351
Česko,Zaměstnaní (tis. osob),Celkem,"Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství",1996,113.961766704272
Česko,Zaměstnaní (tis. osob),Celkem,"Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství",1995,120.921662343881
Česko,Zaměstnaní (tis. osob),Celkem,"Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství",1994,122.14933497612
Česko,Zaměstnaní (tis. osob),Celkem,"Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství",1993,126.694429510609
Česko,Zaměstnaní (tis. osob),Celkem,Řemeslníci a opraváři,2024,819.83956951
Česko,Zaměstnaní (tis. osob),Celkem,Řemeslníci a opraváři,2023,802.3889494
Česko,Zaměstnaní (tis. osob),Celkem,Řemeslníci a opraváři,2022,801.999155025
Česko,Zaměstnaní (tis. osob),Celkem,Řemeslníci a opraváři,2021,797.65195155
Česko,Zaměstnaní (tis. osob),Celkem,Řemeslníci a opraváři,2020,835.779826975
Česko,Zaměstnaní (tis. osob),Celkem,Řemeslníci a opraváři,2019,849.384904225
Česko,Zaměstnaní (tis. osob),Celkem,Řemeslníci a opraváři,2018,864.840072375
Česko,Zaměstnaní (tis. osob),Celkem,Řemeslníci a opraváři,2017,864.976641475
Česko,Zaměstnaní (tis. osob),Celkem,Řemeslníci a opraváři,2016,868.40575645
Česko,Zaměstnaní (tis. osob),Celkem,Řemeslníci a opraváři,2015,866.2467807975
Česko,Zaměstnaní (tis. osob),Celkem,Řemeslníci a opraváři,2014,873.206187649999
Česko,Zaměstnaní (tis. osob),Celkem,Řemeslníci a opraváři,2013,850.9904880075
Česko,Zaměstnaní (tis. osob),Celkem,Řemeslníci a opraváři,2012,856.0620061775
Česko,Zaměstnaní (tis. osob),Celkem,Řemeslníci a opraváři,2011,863.5224833375
Česko,Zaměstnaní (tis. osob),Celkem,Řemeslníci a opraváři,2010,849.139616135774
Česko,Zaměstnaní (tis. osob),Celkem,Řemeslníci a opraváři,2009,889.445658791849
Česko,Zaměstnaní (tis. osob),Celkem,Řemeslníci a opraváři,2008,951.735155051209
Česko,Zaměstnaní (tis. osob),Celkem,Řemeslníci a opraváři,2007,929.536120229032
Česko,Zaměstnaní (tis. osob),Celkem,Řemeslníci a opraváři,2006,896.920988051136
Česko,Zaměstnaní (tis. osob),Celkem,Řemeslníci a opraváři,2005,901.801301676288
Česko,Zaměstnaní (tis. osob),Celkem,Řemeslníci a opraváři,2004,911.379309655041
Česko,Zaměstnaní (tis. osob),Celkem,Řemeslníci a opraváři,2003,927.478551506112
Česko,Zaměstnaní (tis. osob),Celkem,Řemeslníci a opraváři,2002,934.626352033898
Česko,Zaměstnaní (tis. osob),Celkem,Řemeslníci a opraváři,2001,933.22063827499
Česko,Zaměstnaní (tis. osob),Celkem,Řemeslníci a opraváři,2000,957.781093711611
Česko,Zaměstnaní (tis. osob),Celkem,Řemeslníci a opraváři,1999,982.113050631301
Česko,Zaměstnaní (tis. osob),Celkem,Řemeslníci a opraváři,1998,1012.54143417924
Česko,Zaměstnaní (tis. osob),Celkem,Řemeslníci a opraváři,1997,1027.45734206537
Česko,Zaměstnaní (tis. osob),Celkem,Řemeslníci a opraváři,1996,1040.11220715217
Česko,Zaměstnaní (tis. osob),Celkem,Řemeslníci a opraváři,1995,1061.80198999768
Česko,Zaměstnaní (tis. osob),Celkem,Řemeslníci a opraváři,1994,1085.28014795529
Česko,Zaměstnaní (tis. osob),Celkem,Řemeslníci a opraváři,1993,1098.18010288968
