Kraje;Ukazatel;Roky;value
Hlavní město Praha;Počet obyvatel - muži;2032;702437.023755365
Hlavní město Praha;Počet obyvatel - muži;2033;709184.34032598
Hlavní město Praha;Počet obyvatel - muži;2034;715972.202992478
Hlavní město Praha;Počet obyvatel - muži;2035;722804.368400958
Hlavní město Praha;Počet obyvatel - muži;2036;729684.165365442
Hlavní město Praha;Počet obyvatel - muži;2037;736613.254184144
Hlavní město Praha;Počet obyvatel - muži;2038;743592.024314058
Hlavní město Praha;Počet obyvatel - muži;2039;750618.712100183
Hlavní město Praha;Počet obyvatel - muži;2040;757687.19143096
Hlavní město Praha;Počet obyvatel - muži;2041;764787.00786317
Hlavní město Praha;Počet obyvatel - muži;2042;771905.042468222
Hlavní město Praha;Počet obyvatel - muži;2043;779026.128097745
Hlavní město Praha;Počet obyvatel - muži;2044;786133.196561225
Hlavní město Praha;Počet obyvatel - muži;2045;793208.499731388
Hlavní město Praha;Počet obyvatel - muži;2046;800234.108148086
Hlavní město Praha;Počet obyvatel - muži;2047;807191.883212621
Hlavní město Praha;Počet obyvatel - muži;2048;814062.805700941
Hlavní město Praha;Počet obyvatel - muži;2049;820826.467861403
Hlavní město Praha;Počet obyvatel - muži;2050;827463.06650887
Hlavní město Praha;Počet obyvatel - muži;2051;833954.778940372
Hlavní město Praha;Počet obyvatel - muži;2052;840277.315873583
Hlavní město Praha;Počet obyvatel - muži;2053;846415.078939912
Hlavní město Praha;Počet obyvatel - muži;2054;852355.699134241
Hlavní město Praha;Počet obyvatel - muži;2055;858091.938600737
Hlavní město Praha;Počet obyvatel - muži;2056;863622.807343798
Hlavní město Praha;Počet obyvatel - muži;2057;868953.939128542
Hlavní město Praha;Počet obyvatel - muži;2058;874095.943555772
Hlavní město Praha;Počet obyvatel - muži;2059;879063.478883624
Hlavní město Praha;Počet obyvatel - muži;2060;883873.546390432
Hlavní město Praha;Počet obyvatel - muži;2061;888543.835472491
Hlavní město Praha;Počet obyvatel - muži;2062;893116.510497775
Hlavní město Praha;Počet obyvatel - muži;2063;897606.543763423
Hlavní město Praha;Počet obyvatel - muži;2064;902028.184112262
Hlavní město Praha;Počet obyvatel - muži;2065;906394.645961166
Hlavní město Praha;Počet obyvatel - muži;2066;910717.408145818
Hlavní město Praha;Počet obyvatel - muži;2067;915006.793670952
Hlavní město Praha;Počet obyvatel - muži;2068;919273.010270012
Hlavní město Praha;Počet obyvatel - muži;2069;923525.428121283
Hlavní město Praha;Počet obyvatel - muži;2070;927772.924028744
Hlavní město Praha;Počet obyvatel - muži;2071;932024.626481472
Hlavní město Praha;Počet obyvatel - muži;2072;936288.299438794
Hlavní město Praha;Počet obyvatel - muži;2073;940569.695471421
Hlavní město Praha;Počet obyvatel - muži;2074;944872.713345825
Hlavní město Praha;Počet obyvatel - muži;2075;949198.685832678
Hlavní město Praha;Počet obyvatel - muži;2076;953545.016725743
Hlavní město Praha;Počet obyvatel - muži;2077;957905.460906683
Hlavní město Praha;Počet obyvatel - muži;2078;962271.06528227
Hlavní město Praha;Počet obyvatel - muži;2079;966630.624423857
Hlavní město Praha;Počet obyvatel - muži;2080;970971.704138927
Hlavní město Praha;Počet obyvatel - muži;2081;975282.312087659
Hlavní město Praha;Počet obyvatel - ženy;2025;716218.274457591
Hlavní město Praha;Počet obyvatel - ženy;2026;711990.16604286
Hlavní město Praha;Počet obyvatel - ženy;2027;707808.311830268
Hlavní město Praha;Počet obyvatel - ženy;2028;703681.870453196
Hlavní město Praha;Počet obyvatel - ženy;2029;707411.93372647
Hlavní město Praha;Počet obyvatel - ženy;2030;711308.49405035
Hlavní město Praha;Počet obyvatel - ženy;2031;715383.808139218
Hlavní město Praha;Počet obyvatel - ženy;2032;719539.822299933
Hlavní město Praha;Počet obyvatel - ženy;2033;723791.283496093
Hlavní město Praha;Počet obyvatel - ženy;2034;728149.755766671
Hlavní město Praha;Počet obyvatel - ženy;2035;732623.960121242
Hlavní město Praha;Počet obyvatel - ženy;2036;737218.911654902
Hlavní město Praha;Počet obyvatel - ženy;2037;741936.459581589
Hlavní město Praha;Počet obyvatel - ženy;2038;746778.274561048
Hlavní město Praha;Počet obyvatel - ženy;2039;751743.481675617
Hlavní město Praha;Počet obyvatel - ženy;2040;756828.262188128
Hlavní město Praha;Počet obyvatel - ženy;2041;762028.077856917
Hlavní město Praha;Počet obyvatel - ženy;2042;767336.433839898
Hlavní město Praha;Počet obyvatel - ženy;2043;772745.547373035
Hlavní město Praha;Počet obyvatel - ženy;2044;778246.476089157
Hlavní město Praha;Počet obyvatel - ženy;2045;783828.743038097
Hlavní město Praha;Počet obyvatel - ženy;2046;789480.528469225
Hlavní město Praha;Počet obyvatel - ženy;2047;795188.157874941
Hlavní město Praha;Počet obyvatel - ženy;2048;800935.675932028
Hlavní město Praha;Počet obyvatel - ženy;2049;806706.321938772
Hlavní město Praha;Počet obyvatel - ženy;2050;812483.651604071
Hlavní město Praha;Počet obyvatel - ženy;2051;818251.400153206
Hlavní město Praha;Počet obyvatel - ženy;2052;823986.726802254
Hlavní město Praha;Počet obyvatel - ženy;2053;829673.987651281
Hlavní město Praha;Počet obyvatel - ženy;2054;835298.134178972
Hlavní město Praha;Počet obyvatel - ženy;2055;840847.309891154
Hlavní město Praha;Počet obyvatel - ženy;2056;846314.058568812
Hlavní město Praha;Počet obyvatel - ženy;2057;851695.247026966
Hlavní město Praha;Počet obyvatel - ženy;2058;856992.120175248
Hlavní město Praha;Počet obyvatel - ženy;2059;862210.404557041
Hlavní město Praha;Počet obyvatel - ženy;2060;867358.916392879
Hlavní město Praha;Počet obyvatel - ženy;2061;872448.645174616
Hlavní město Praha;Počet obyvatel - ženy;2062;877462.459446682
Hlavní město Praha;Počet obyvatel - ženy;2063;882412.023601438
Hlavní město Praha;Počet obyvatel - ženy;2064;887307.791758131
Hlavní město Praha;Počet obyvatel - ženy;2065;892158.972847811
Hlavní město Praha;Počet obyvatel - ženy;2066;896973.338091259
Hlavní město Praha;Počet obyvatel - ženy;2067;901755.986657338
Hlavní město Praha;Počet obyvatel - ženy;2068;906509.972620461
Hlavní město Praha;Počet obyvatel - ženy;2069;911238.109042413
Hlavní město Praha;Počet obyvatel - ženy;2070;915944.158288547
Hlavní město Praha;Počet obyvatel - ženy;2071;920633.002112259
Hlavní město Praha;Počet obyvatel - ženy;2072;925310.97032713
Hlavní město Praha;Počet obyvatel - ženy;2073;929986.420314257
Hlavní město Praha;Počet obyvatel - ženy;2074;934669.049527891
Hlavní město Praha;Počet obyvatel - ženy;2075;939367.762407813
Hlavní město Praha;Počet obyvatel - ženy;2076;944089.265104118
Hlavní město Praha;Počet obyvatel - ženy;2077;948837.217483295
Hlavní město Praha;Počet obyvatel - ženy;2078;953611.263551606
Hlavní město Praha;Počet obyvatel - ženy;2079;958407.471314077
Hlavní město Praha;Počet obyvatel - ženy;2080;963219.155705275
Hlavní město Praha;Počet obyvatel - ženy;2081;968037.31989985
Hlavní město Praha;Počet obyvatel ve věku 0 - 14 let;2025;213421.17585477
Hlavní město Praha;Počet obyvatel ve věku 0 - 14 let;2026;206182.369407128
Hlavní město Praha;Počet obyvatel ve věku 0 - 14 let;2027;200097.592887484
Hlavní město Praha;Počet obyvatel ve věku 0 - 14 let;2028;194228.865962266
Hlavní město Praha;Počet obyvatel ve věku 0 - 14 let;2029;191625.68231121
Hlavní město Praha;Počet obyvatel ve věku 0 - 14 let;2030;188994.922203819
Hlavní město Praha;Počet obyvatel ve věku 0 - 14 let;2031;186618.774227515
Hlavní město Praha;Počet obyvatel ve věku 0 - 14 let;2032;184472.885855883
Hlavní město Praha;Počet obyvatel ve věku 0 - 14 let;2033;182504.942263275
Hlavní město Praha;Počet obyvatel ve věku 0 - 14 let;2034;181023.986621683
Hlavní město Praha;Počet obyvatel ve věku 0 - 14 let;2035;180324.893702696
Hlavní město Praha;Počet obyvatel ve věku 0 - 14 let;2036;180282.225718232
Hlavní město Praha;Počet obyvatel ve věku 0 - 14 let;2037;179126.085001373
Hlavní město Praha;Počet obyvatel ve věku 0 - 14 let;2038;180178.781308192
Hlavní město Praha;Počet obyvatel ve věku 0 - 14 let;2039;182491.344365573
Hlavní město Praha;Počet obyvatel ve věku 0 - 14 let;2040;186080.582978133
Hlavní město Praha;Počet obyvatel ve věku 0 - 14 let;2041;189711.883274792
Hlavní město Praha;Počet obyvatel ve věku 0 - 14 let;2042;193358.995732388
Hlavní město Praha;Počet obyvatel ve věku 0 - 14 let;2043;196968.541687429
Hlavní město Praha;Počet obyvatel ve věku 0 - 14 let;2044;200459.140971223
Hlavní město Praha;Počet obyvatel ve věku 0 - 14 let;2045;203743.334136943
Hlavní město Praha;Počet obyvatel ve věku 0 - 14 let;2046;206746.828431703
Hlavní město Praha;Počet obyvatel ve věku 0 - 14 let;2047;209622.614977793
Hlavní město Praha;Počet obyvatel ve věku 0 - 14 let;2048;212308.085026054
Hlavní město Praha;Počet obyvatel ve věku 0 - 14 let;2049;214755.49955096
Hlavní město Praha;Počet obyvatel ve věku 0 - 14 let;2050;216923.882634327
Hlavní město Praha;Počet obyvatel ve věku 0 - 14 let;2051;218780.050181684
Hlavní město Praha;Počet obyvatel ve věku 0 - 14 let;2052;220284.042488697
Hlavní město Praha;Počet obyvatel ve věku 0 - 14 let;2053;221418.626968467
Hlavní město Praha;Počet obyvatel ve věku 0 - 14 let;2054;222176.549855038
Hlavní město Praha;Počet obyvatel ve věku 0 - 14 let;2055;222563.136447449
Hlavní město Praha;Počet obyvatel ve věku 0 - 14 let;2056;222599.921554282
Hlavní město Praha;Počet obyvatel ve věku 0 - 14 let;2057;222325.724862688
Hlavní město Praha;Počet obyvatel ve věku 0 - 14 let;2058;221792.257054465
Hlavní město Praha;Počet obyvatel ve věku 0 - 14 let;2059;221060.343195192
Hlavní město Praha;Počet obyvatel ve věku 0 - 14 let;2060;220196.504752902
Hlavní město Praha;Počet obyvatel ve věku 0 - 14 let;2061;219268.724745649
Hlavní město Praha;Počet obyvatel ve věku 0 - 14 let;2062;218340.005696717
Hlavní město Praha;Počet obyvatel ve věku 0 - 14 let;2063;217467.263758808
Hlavní město Praha;Počet obyvatel ve věku 0 - 14 let;2064;216702.003595929
Hlavní město Praha;Počet obyvatel ve věku 0 - 14 let;2065;216091.048318393
Hlavní město Praha;Počet obyvatel ve věku 0 - 14 let;2066;215674.639304375
Hlavní město Praha;Počet obyvatel ve věku 0 - 14 let;2067;215500.464629668
Hlavní město Praha;Počet obyvatel ve věku 0 - 14 let;2068;215594.479259715
Hlavní město Praha;Počet obyvatel ve věku 0 - 14 let;2069;215974.640982233
Hlavní město Praha;Počet obyvatel ve věku 0 - 14 let;2070;216648.662573125
Hlavní město Praha;Počet obyvatel ve věku 0 - 14 let;2071;217611.355902272
Hlavní město Praha;Počet obyvatel ve věku 0 - 14 let;2072;218843.596039583
Hlavní město Praha;Počet obyvatel ve věku 0 - 14 let;2073;220315.124748987
Hlavní město Praha;Počet obyvatel ve věku 0 - 14 let;2074;221987.075411905
Hlavní město Praha;Počet obyvatel ve věku 0 - 14 let;2075;223813.232118497
Hlavní město Praha;Počet obyvatel ve věku 0 - 14 let;2076;225742.667960699
Hlavní město Praha;Počet obyvatel ve věku 0 - 14 let;2077;227724.456182821
Hlavní město Praha;Počet obyvatel ve věku 0 - 14 let;2078;229711.206708844
Hlavní město Praha;Počet obyvatel ve věku 0 - 14 let;2079;231659.018573331
Hlavní město Praha;Počet obyvatel ve věku 0 - 14 let;2080;233527.67320883
Hlavní město Praha;Počet obyvatel ve věku 0 - 14 let;2081;235282.026839531
Hlavní město Praha;Počet obyvatel ve věku 15 - 64 let;2025;921784.648162841
Hlavní město Praha;Počet obyvatel ve věku 15 - 64 let;2026;924935.861973017
Hlavní město Praha;Počet obyvatel ve věku 15 - 64 let;2027;926890.446500779
Hlavní město Praha;Počet obyvatel ve věku 15 - 64 let;2028;928398.859172085
Hlavní město Praha;Počet obyvatel ve věku 15 - 64 let;2029;938423.598157008
Hlavní město Praha;Počet obyvatel ve věku 15 - 64 let;2030;948433.554694471
Hlavní město Praha;Počet obyvatel ve věku 15 - 64 let;2031;959407.982063687
Hlavní město Praha;Počet obyvatel ve věku 15 - 64 let;2032;971187.884652724
Hlavní město Praha;Počet obyvatel ve věku 15 - 64 let;2033;982850.456585168
Hlavní město Praha;Počet obyvatel ve věku 15 - 64 let;2034;994514.520566718
Hlavní město Praha;Počet obyvatel ve věku 15 - 64 let;2035;1005157.55077663
Hlavní město Praha;Počet obyvatel ve věku 15 - 64 let;2036;1014310.86776795
Hlavní město Praha;Počet obyvatel ve věku 15 - 64 let;2037;1024123.70749018
Hlavní město Praha;Počet obyvatel ve věku 15 - 64 let;2038;1031299.1418299
Hlavní město Praha;Počet obyvatel ve věku 15 - 64 let;2039;1035372.3566327
Hlavní město Praha;Počet obyvatel ve věku 15 - 64 let;2040;1036662.43864933
Hlavní město Praha;Počet obyvatel ve věku 15 - 64 let;2041;1037895.54654892
Hlavní město Praha;Počet obyvatel ve věku 15 - 64 let;2042;1039188.23489813
Hlavní město Praha;Počet obyvatel ve věku 15 - 64 let;2043;1040343.75982196
Hlavní město Praha;Počet obyvatel ve věku 15 - 64 let;2044;1041523.10125714
Hlavní město Praha;Počet obyvatel ve věku 15 - 64 let;2045;1043106.65084211
Hlavní město Praha;Počet obyvatel ve věku 15 - 64 let;2046;1046788.22329836
Hlavní město Praha;Počet obyvatel ve věku 15 - 64 let;2047;1051116.94977332
Hlavní město Praha;Počet obyvatel ve věku 15 - 64 let;2048;1055400.98877022
Hlavní město Praha;Počet obyvatel ve věku 15 - 64 let;2049;1060075.49104118
Hlavní město Praha;Počet obyvatel ve věku 15 - 64 let;2050;1064597.00971161
Hlavní město Praha;Počet obyvatel ve věku 15 - 64 let;2051;1068957.23658261
Hlavní město Praha;Počet obyvatel ve věku 15 - 64 let;2052;1073340.87736995
Hlavní město Praha;Počet obyvatel ve věku 15 - 64 let;2053;1078149.24125489
Hlavní město Praha;Počet obyvatel ve věku 15 - 64 let;2054;1082678.90034995
Hlavní město Praha;Počet obyvatel ve věku 15 - 64 let;2055;1087879.6982837
Hlavní město Praha;Počet obyvatel ve věku 15 - 64 let;2056;1092785.29993448
Hlavní město Praha;Počet obyvatel ve věku 15 - 64 let;2057;1097666.90098485
Hlavní město Praha;Počet obyvatel ve věku 15 - 64 let;2058;1103287.71243321
Hlavní město Praha;Počet obyvatel ve věku 15 - 64 let;2059;1108789.10352132
Hlavní město Praha;Počet obyvatel ve věku 15 - 64 let;2060;1115202.49608114
Hlavní město Praha;Počet obyvatel ve věku 15 - 64 let;2061;1122088.00954047
Hlavní město Praha;Počet obyvatel ve věku 15 - 64 let;2062;1129244.29550937
Hlavní město Praha;Počet obyvatel ve věku 15 - 64 let;2063;1136019.51923505
Hlavní město Praha;Počet obyvatel ve věku 15 - 64 let;2064;1142923.74764309
Hlavní město Praha;Počet obyvatel ve věku 15 - 64 let;2065;1149410.16993175
Hlavní město Praha;Počet obyvatel ve věku 15 - 64 let;2066;1155008.8237907
Hlavní město Praha;Počet obyvatel ve věku 15 - 64 let;2067;1159966.56431667
Hlavní město Praha;Počet obyvatel ve věku 15 - 64 let;2068;1164216.43809667
Hlavní město Praha;Počet obyvatel ve věku 15 - 64 let;2069;1167369.35245081
Hlavní město Praha;Počet obyvatel ve věku 15 - 64 let;2070;1169475.70580014
Hlavní město Praha;Počet obyvatel ve věku 15 - 64 let;2071;1170935.16532049
Hlavní město Praha;Počet obyvatel ve věku 15 - 64 let;2072;1172162.98033038
Hlavní město Praha;Počet obyvatel ve věku 15 - 64 let;2073;1173087.97468624
Hlavní město Praha;Počet obyvatel ve věku 15 - 64 let;2074;1173101.7690323
Hlavní město Praha;Počet obyvatel ve věku 15 - 64 let;2075;1172990.16294434
Hlavní město Praha;Počet obyvatel ve věku 15 - 64 let;2076;1172840.72946403
Hlavní město Praha;Počet obyvatel ve věku 15 - 64 let;2077;1173394.15560798
Hlavní město Praha;Počet obyvatel ve věku 15 - 64 let;2078;1173741.64341096
Hlavní město Praha;Počet obyvatel ve věku 15 - 64 let;2079;1174594.69767481
Hlavní město Praha;Počet obyvatel ve věku 15 - 64 let;2080;1175225.30729902
Hlavní město Praha;Počet obyvatel ve věku 15 - 64 let;2081;1175886.67000432
Hlavní město Praha;Počet obyvatel ve věku 65 a více let;2025;257101.370370666
Hlavní město Praha;Počet obyvatel ve věku 65 a více let;2026;256951.442902488
Hlavní město Praha;Počet obyvatel ve věku 65 a více let;2027;256908.084038171
Hlavní město Praha;Počet obyvatel ve věku 65 a více let;2028;257173.087407136
Hlavní město Praha;Počet obyvatel ve věku 65 a více let;2029;259877.259879283
Hlavní město Praha;Počet obyvatel ve věku 65 a více let;2030;262928.725114993
Hlavní město Praha;Počet obyvatel ve věku 65 a více let;2031;265083.889351734
Hlavní město Praha;Počet obyvatel ve věku 65 a více let;2032;266316.07554669
Hlavní město Praha;Počet obyvatel ve věku 65 a více let;2033;267620.224973631
Hlavní město Praha;Počet obyvatel ve věku 65 a více let;2034;268583.451570749
Hlavní město Praha;Počet obyvatel ve věku 65 a více let;2035;269945.884042871
Hlavní město Praha;Počet obyvatel ve věku 65 a více let;2036;272309.983534164
Hlavní město Praha;Počet obyvatel ve věku 65 a více let;2037;275299.921274177
Hlavní město Praha;Počet obyvatel ve věku 65 a více let;2038;278892.375737017
Hlavní město Praha;Počet obyvatel ve věku 65 a více let;2039;284498.492777531
Hlavní město Praha;Počet obyvatel ve věku 65 a více let;2040;291772.431991627
Hlavní město Praha;Počet obyvatel ve věku 65 a více let;2041;299207.655896377
Hlavní město Praha;Počet obyvatel ve věku 65 a více let;2042;306694.245677597
Hlavní město Praha;Počet obyvatel ve věku 65 a více let;2043;314459.373961391
Hlavní město Praha;Počet obyvatel ve věku 65 a více let;2044;322397.430422019
Hlavní město Praha;Počet obyvatel ve věku 65 a více let;2045;330187.257790436
Hlavní město Praha;Počet obyvatel ve věku 65 a více let;2046;336179.584887253
Hlavní město Praha;Počet obyvatel ve věku 65 a více let;2047;341640.476336451
Hlavní město Praha;Počet obyvatel ve věku 65 a více let;2048;347289.407836696
Hlavní město Praha;Počet obyvatel ve věku 65 a více let;2049;352701.799208038
Hlavní město Praha;Počet obyvatel ve věku 65 a více let;2050;358425.825766999
Hlavní město Praha;Počet obyvatel ve věku 65 a více let;2051;364468.892329286
Hlavní město Praha;Počet obyvatel ve věku 65 a více let;2052;370639.122817188
Hlavní město Praha;Počet obyvatel ve věku 65 a více let;2053;376521.198367831
Hlavní město Praha;Počet obyvatel ve věku 65 a více let;2054;382798.383108224
Hlavní město Praha;Počet obyvatel ve věku 65 a více let;2055;388496.413760739
Hlavní město Praha;Počet obyvatel ve věku 65 a více let;2056;394551.644423843
Hlavní město Praha;Počet obyvatel ve věku 65 a více let;2057;400656.560307972
Hlavní město Praha;Počet obyvatel ve věku 65 a více let;2058;406008.094243347
Hlavní město Praha;Počet obyvatel ve věku 65 a více let;2059;411424.436724157
Hlavní město Praha;Počet obyvatel ve věku 65 a více let;2060;415833.461949269
Hlavní město Praha;Počet obyvatel ve věku 65 a více let;2061;419635.746360986
Hlavní město Praha;Počet obyvatel ve věku 65 a více let;2062;422994.668738371
Hlavní město Praha;Počet obyvatel ve věku 65 a více let;2063;426531.784371002
Hlavní město Praha;Počet obyvatel ve věku 65 a více let;2064;429710.224631375
Hlavní město Praha;Počet obyvatel ve věku 65 a více let;2065;433052.400558833
Hlavní město Praha;Počet obyvatel ve věku 65 a více let;2066;437007.283142004
Hlavní město Praha;Počet obyvatel ve věku 65 a více let;2067;441295.751381949
Hlavní město Praha;Počet obyvatel ve věku 65 a více let;2068;445972.065534086
Hlavní město Praha;Počet obyvatel ve věku 65 a více let;2069;451419.543730649
Hlavní město Praha;Počet obyvatel ve věku 65 a více let;2070;457592.713944022
Hlavní město Praha;Počet obyvatel ve věku 65 a více let;2071;464111.107370967
Hlavní město Praha;Počet obyvatel ve věku 65 a více let;2072;470592.693395959
Hlavní město Praha;Počet obyvatel ve věku 65 a více let;2073;477153.016350445
Hlavní město Praha;Počet obyvatel ve věku 65 a více let;2074;484452.918429514
Hlavní město Praha;Počet obyvatel ve věku 65 a více let;2075;491763.05317765
Hlavní město Praha;Počet obyvatel ve věku 65 a více let;2076;499050.884405135
Hlavní město Praha;Počet obyvatel ve věku 65 a více let;2077;505624.066599182
Hlavní město Praha;Počet obyvatel ve věku 65 a více let;2078;512429.478714071
Hlavní město Praha;Počet obyvatel ve věku 65 a více let;2079;518784.379489795
Hlavní město Praha;Počet obyvatel ve věku 65 a více let;2080;525437.879336354
Hlavní město Praha;Počet obyvatel ve věku 65 a více let;2081;532150.935143656
Hlavní město Praha;Podíl obyvatel ve věku 0 - 14 let (%);2025;15.3285982228
Hlavní město Praha;Podíl obyvatel ve věku 0 - 14 let (%);2026;14.8538919355
Hlavní město Praha;Podíl obyvatel ve věku 0 - 14 let (%);2027;14.4590037865
Hlavní město Praha;Podíl obyvatel ve věku 0 - 14 let (%);2028;14.0765873014
Hlavní město Praha;Podíl obyvatel ve věku 0 - 14 let (%);2029;13.7867489215
Hlavní město Praha;Podíl obyvatel ve věku 0 - 14 let (%);2030;13.4961938234
Hlavní město Praha;Podíl obyvatel ve věku 0 - 14 let (%);2031;13.2249568667
Hlavní město Praha;Podíl obyvatel ve věku 0 - 14 let (%);2032;12.9729880179
Hlavní město Praha;Podíl obyvatel ve věku 0 - 14 let (%);2033;12.7360814259
Hlavní město Praha;Podíl obyvatel ve věku 0 - 14 let (%);2034;12.5352284496
Hlavní město Praha;Podíl obyvatel ve věku 0 - 14 let (%);2035;12.3898161228
Hlavní město Praha;Podíl obyvatel ve věku 0 - 14 let (%);2036;12.2899889258
Hlavní město Praha;Podíl obyvatel ve věku 0 - 14 let (%);2037;12.1149856061
Hlavní město Praha;Podíl obyvatel ve věku 0 - 14 let (%);2038;12.0895311349
Hlavní město Praha;Podíl obyvatel ve věku 0 - 14 let (%);2039;12.1469606412
Hlavní město Praha;Podíl obyvatel ve věku 0 - 14 let (%);2040;12.2864763468
Hlavní město Praha;Podíl obyvatel ve věku 0 - 14 let (%);2041;12.4253346099
Hlavní město Praha;Podíl obyvatel ve věku 0 - 14 let (%);2042;12.5619663132
Hlavní město Praha;Podíl obyvatel ve věku 0 - 14 let (%);2043;12.6931393839
Hlavní město Praha;Podíl obyvatel ve věku 0 - 14 let (%);2044;12.8139699381
Hlavní město Praha;Podíl obyvatel ve věku 0 - 14 let (%);2045;12.9193736591
Hlavní město Praha;Podíl obyvatel ve věku 0 - 14 let (%);2046;13.0052792916
Hlavní město Praha;Podíl obyvatel ve věku 0 - 14 let (%);2047;13.0819536941
Hlavní město Praha;Podíl obyvatel ve věku 0 - 14 let (%);2048;13.1460238162
Hlavní město Praha;Podíl obyvatel ve věku 0 - 14 let (%);2049;13.1951565521
Hlavní město Praha;Podíl obyvatel ve věku 0 - 14 let (%);2050;13.2274957618
Hlavní město Praha;Podíl obyvatel ve věku 0 - 14 let (%);2051;13.2416918028
Hlavní město Praha;Podíl obyvatel ve věku 0 - 14 let (%);2052;13.2361234059
Hlavní město Praha;Podíl obyvatel ve věku 0 - 14 let (%);2053;13.2104332271
Hlavní město Praha;Podíl obyvatel ve věku 0 - 14 let (%);2054;13.1648176581
Hlavní město Praha;Podíl obyvatel ve věku 0 - 14 let (%);2055;13.1001233061
