Roky;Kraje;Ukazatel;Pohlaví;value
2024;Kraj Vysočina;Počet obyvatel ve věku 0 - 14 let (k 31. 12.);muži;41004
2024;Kraj Vysočina;Počet obyvatel ve věku 15 - 64 let (k 31. 12.);ženy;158018
2024;Kraj Vysočina;Počet obyvatel ve věku 15 - 64 let (k 31. 12.);muži;167378
2024;Kraj Vysočina;Počet obyvatel ve věku 65 a více let (k 31. 12.);ženy;63452
2024;Kraj Vysočina;Počet obyvatel ve věku 65 a více let (k 31. 12.);muži;48834
2024;Jihomoravský kraj;Počet obyvatel ve věku 0 - 14 let (k 31. 12.);ženy;95115
2024;Jihomoravský kraj;Počet obyvatel ve věku 0 - 14 let (k 31. 12.);muži;99970
2024;Jihomoravský kraj;Počet obyvatel ve věku 15 - 64 let (k 31. 12.);ženy;384295
2024;Jihomoravský kraj;Počet obyvatel ve věku 15 - 64 let (k 31. 12.);muži;396315
2024;Jihomoravský kraj;Počet obyvatel ve věku 65 a více let (k 31. 12.);ženy;147394
2024;Jihomoravský kraj;Počet obyvatel ve věku 65 a více let (k 31. 12.);muži;106254
2024;Olomoucký kraj;Počet obyvatel ve věku 0 - 14 let (k 31. 12.);ženy;46957
2024;Olomoucký kraj;Počet obyvatel ve věku 0 - 14 let (k 31. 12.);muži;48973
2024;Olomoucký kraj;Počet obyvatel ve věku 15 - 64 let (k 31. 12.);ženy;194752
2024;Olomoucký kraj;Počet obyvatel ve věku 15 - 64 let (k 31. 12.);muži;201714
2024;Olomoucký kraj;Počet obyvatel ve věku 65 a více let (k 31. 12.);ženy;80938
2024;Olomoucký kraj;Počet obyvatel ve věku 65 a více let (k 31. 12.);muži;58166
2024;Zlínský kraj;Počet obyvatel ve věku 0 - 14 let (k 31. 12.);ženy;41920
2024;Zlínský kraj;Počet obyvatel ve věku 0 - 14 let (k 31. 12.);muži;44234
2024;Zlínský kraj;Počet obyvatel ve věku 15 - 64 let (k 31. 12.);ženy;177358
2024;Zlínský kraj;Počet obyvatel ve věku 15 - 64 let (k 31. 12.);muži;186150
2024;Zlínský kraj;Počet obyvatel ve věku 65 a více let (k 31. 12.);ženy;75598
2024;Zlínský kraj;Počet obyvatel ve věku 65 a více let (k 31. 12.);muži;53738
2024;Moravskoslezský kraj;Počet obyvatel ve věku 0 - 14 let (k 31. 12.);ženy;84836
2024;Moravskoslezský kraj;Počet obyvatel ve věku 0 - 14 let (k 31. 12.);muži;89447
2024;Moravskoslezský kraj;Počet obyvatel ve věku 15 - 64 let (k 31. 12.);ženy;368021
2024;Moravskoslezský kraj;Počet obyvatel ve věku 15 - 64 let (k 31. 12.);muži;385227
2024;Moravskoslezský kraj;Počet obyvatel ve věku 65 a více let (k 31. 12.);ženy;150168
2024;Moravskoslezský kraj;Počet obyvatel ve věku 65 a více let (k 31. 12.);muži;104914
