Území,Ukazatel,Typ domácnosti,Roky,value
Česko,Podíl osob pod hranicí deprivace,Jednotlivci do 65 let,2019,8.2
Česko,Podíl osob pod hranicí deprivace,Jednotlivci do 65 let,2020,7.533
Česko,Podíl osob pod hranicí deprivace,Jednotlivci do 65 let,2021,8.46
Česko,Podíl osob pod hranicí deprivace,Jednotlivci do 65 let,2022,7.8
Česko,Podíl osob pod hranicí deprivace,Jednotlivci do 65 let,2023,9.8
Česko,Podíl osob pod hranicí deprivace,Jednotlivci do 65 let,2024,9.0
Česko,Podíl osob pod hranicí deprivace,Jednotlivci 65 a více let,2019,9.2
Česko,Podíl osob pod hranicí deprivace,Jednotlivci 65 a více let,2020,8.217
Česko,Podíl osob pod hranicí deprivace,Jednotlivci 65 a více let,2021,6.16
Česko,Podíl osob pod hranicí deprivace,Jednotlivci 65 a více let,2022,8.8
Česko,Podíl osob pod hranicí deprivace,Jednotlivci 65 a více let,2023,10.4
Česko,Podíl osob pod hranicí deprivace,Jednotlivci 65 a více let,2024,8.2
Česko,Podíl osob pod hranicí deprivace,"2 dospělí, alespoň jeden 65 a více let",2019,
Česko,Podíl osob pod hranicí deprivace,"2 dospělí, alespoň jeden 65 a více let",2020,
Česko,Podíl osob pod hranicí deprivace,"2 dospělí, alespoň jeden 65 a více let",2021,
Česko,Podíl osob pod hranicí deprivace,"2 dospělí, alespoň jeden 65 a více let",2022,
Česko,Podíl osob pod hranicí deprivace,"2 dospělí, alespoň jeden 65 a více let",2023,3.4
Česko,Podíl osob pod hranicí deprivace,"2 dospělí, alespoň jeden 65 a více let",2024,3.5
Česko,Podíl osob pod hranicí deprivace,"2 dospělí, oba do 65 let",2019,
Česko,Podíl osob pod hranicí deprivace,"2 dospělí, oba do 65 let",2020,
Česko,Podíl osob pod hranicí deprivace,"2 dospělí, oba do 65 let",2021,
Česko,Podíl osob pod hranicí deprivace,"2 dospělí, oba do 65 let",2022,
Česko,Podíl osob pod hranicí deprivace,"2 dospělí, oba do 65 let",2023,2.9
Česko,Podíl osob pod hranicí deprivace,"2 dospělí, oba do 65 let",2024,2.3
