Roky,Území,Ukazatel,Pohlaví,value
2024,Plzeňský kraj,Počet obyvatel ve věku 65 a více let (k 31. 12.),ženy,72117.0
2024,Plzeňský kraj,Počet obyvatel ve věku 65 a více let (k 31. 12.),muži,55113.0
2024,Plzeňský kraj,Průměrný věk (k 31. 12.; roky),ženy,44.46137643
2024,Plzeňský kraj,Průměrný věk (k 31. 12.; roky),muži,41.92561463
2024,Karlovarský kraj,Počet obyvatel (k 31. 12.),ženy,150226.0
2024,Karlovarský kraj,Počet obyvatel (k 31. 12.),muži,142969.0
2024,Karlovarský kraj,Cizinci (k 31. 12.),ženy,
2024,Karlovarský kraj,Cizinci (k 31. 12.),muži,
2024,Karlovarský kraj,Počet obyvatel ve věku 0 - 14 let (k 31. 12.),ženy,20346.0
2024,Karlovarský kraj,Počet obyvatel ve věku 0 - 14 let (k 31. 12.),muži,21277.0
2024,Karlovarský kraj,Počet obyvatel ve věku 15 - 64 let (k 31. 12.),ženy,93415.0
2024,Karlovarský kraj,Počet obyvatel ve věku 15 - 64 let (k 31. 12.),muži,94909.0
2024,Karlovarský kraj,Počet obyvatel ve věku 65 a více let (k 31. 12.),ženy,36465.0
2024,Karlovarský kraj,Počet obyvatel ve věku 65 a více let (k 31. 12.),muži,26783.0
2024,Karlovarský kraj,Průměrný věk (k 31. 12.; roky),ženy,45.36406481
2024,Karlovarský kraj,Průměrný věk (k 31. 12.; roky),muži,42.53868671
2024,Ústecký kraj,Počet obyvatel (k 31. 12.),ženy,410044.0
2024,Ústecký kraj,Počet obyvatel (k 31. 12.),muži,398312.0
2024,Ústecký kraj,Cizinci (k 31. 12.),ženy,
2024,Ústecký kraj,Cizinci (k 31. 12.),muži,
2024,Ústecký kraj,Počet obyvatel ve věku 0 - 14 let (k 31. 12.),ženy,59575.0
2024,Ústecký kraj,Počet obyvatel ve věku 0 - 14 let (k 31. 12.),muži,62696.0
2024,Ústecký kraj,Počet obyvatel ve věku 15 - 64 let (k 31. 12.),ženy,253288.0
2024,Ústecký kraj,Počet obyvatel ve věku 15 - 64 let (k 31. 12.),muži,264933.0
2024,Ústecký kraj,Počet obyvatel ve věku 65 a více let (k 31. 12.),ženy,97181.0
2024,Ústecký kraj,Počet obyvatel ve věku 65 a více let (k 31. 12.),muži,70683.0
2024,Ústecký kraj,Průměrný věk (k 31. 12.; roky),ženy,44.56523934
2024,Ústecký kraj,Průměrný věk (k 31. 12.; roky),muži,41.7471555
2024,Liberecký kraj,Počet obyvatel (k 31. 12.),ženy,228795.0
2024,Liberecký kraj,Počet obyvatel (k 31. 12.),muži,220699.0
2024,Liberecký kraj,Cizinci (k 31. 12.),ženy,
2024,Liberecký kraj,Cizinci (k 31. 12.),muži,
2024,Liberecký kraj,Počet obyvatel ve věku 0 - 14 let (k 31. 12.),ženy,33772.0
2024,Liberecký kraj,Počet obyvatel ve věku 0 - 14 let (k 31. 12.),muži,35605.0
2024,Liberecký kraj,Počet obyvatel ve věku 15 - 64 let (k 31. 12.),ženy,140458.0
2024,Liberecký kraj,Počet obyvatel ve věku 15 - 64 let (k 31. 12.),muži,145207.0
2024,Liberecký kraj,Počet obyvatel ve věku 65 a více let (k 31. 12.),ženy,54565.0
2024,Liberecký kraj,Počet obyvatel ve věku 65 a více let (k 31. 12.),muži,39887.0
2024,Liberecký kraj,Průměrný věk (k 31. 12.; roky),ženy,44.59216985
2024,Liberecký kraj,Průměrný věk (k 31. 12.; roky),muži,41.72100689
2024,Královéhradecký kraj,Počet obyvatel (k 31. 12.),ženy,282554.0
2024,Královéhradecký kraj,Počet obyvatel (k 31. 12.),muži,273369.0
2024,Královéhradecký kraj,Cizinci (k 31. 12.),ženy,
2024,Královéhradecký kraj,Cizinci (k 31. 12.),muži,
2024,Královéhradecký kraj,Počet obyvatel ve věku 0 - 14 let (k 31. 12.),ženy,40694.0
2024,Královéhradecký kraj,Počet obyvatel ve věku 0 - 14 let (k 31. 12.),muži,42995.0
2024,Královéhradecký kraj,Počet obyvatel ve věku 15 - 64 let (k 31. 12.),ženy,169648.0
2024,Královéhradecký kraj,Počet obyvatel ve věku 15 - 64 let (k 31. 12.),muži,176566.0
2024,Královéhradecký kraj,Počet obyvatel ve věku 65 a více let (k 31. 12.),ženy,72212.0
2024,Královéhradecký kraj,Počet obyvatel ve věku 65 a více let (k 31. 12.),muži,53808.0
2024,Královéhradecký kraj,Průměrný věk (k 31. 12.; roky),ženy,45.43328355
2024,Královéhradecký kraj,Průměrný věk (k 31. 12.; roky),muži,42.47708957
2024,Pardubický kraj,Počet obyvatel (k 31. 12.),ženy,268032.0
2024,Pardubický kraj,Počet obyvatel (k 31. 12.),muži,262437.0
2024,Pardubický kraj,Cizinci (k 31. 12.),ženy,
2024,Pardubický kraj,Cizinci (k 31. 12.),muži,
2024,Pardubický kraj,Počet obyvatel ve věku 0 - 14 let (k 31. 12.),ženy,40427.0
2024,Pardubický kraj,Počet obyvatel ve věku 0 - 14 let (k 31. 12.),muži,42606.0
2024,Pardubický kraj,Počet obyvatel ve věku 15 - 64 let (k 31. 12.),ženy,163381.0
2024,Pardubický kraj,Počet obyvatel ve věku 15 - 64 let (k 31. 12.),muži,171639.0
2024,Pardubický kraj,Počet obyvatel ve věku 65 a více let (k 31. 12.),ženy,64224.0
2024,Pardubický kraj,Počet obyvatel ve věku 65 a více let (k 31. 12.),muži,48192.0
2024,Pardubický kraj,Průměrný věk (k 31. 12.; roky),ženy,44.55605301
2024,Pardubický kraj,Průměrný věk (k 31. 12.; roky),muži,41.73398378
2024,Kraj Vysočina,Počet obyvatel (k 31. 12.),ženy,260431.0
2024,Kraj Vysočina,Počet obyvatel (k 31. 12.),muži,257216.0
2024,Kraj Vysočina,Cizinci (k 31. 12.),ženy,
2024,Kraj Vysočina,Cizinci (k 31. 12.),muži,
2024,Kraj Vysočina,Počet obyvatel ve věku 0 - 14 let (k 31. 12.),ženy,38961.0
2024,Kraj Vysočina,Počet obyvatel ve věku 0 - 14 let (k 31. 12.),muži,41004.0
2024,Kraj Vysočina,Počet obyvatel ve věku 15 - 64 let (k 31. 12.),ženy,158018.0
2024,Kraj Vysočina,Počet obyvatel ve věku 15 - 64 let (k 31. 12.),muži,167378.0
2024,Kraj Vysočina,Počet obyvatel ve věku 65 a více let (k 31. 12.),ženy,63452.0
2024,Kraj Vysočina,Počet obyvatel ve věku 65 a více let (k 31. 12.),muži,48834.0
2024,Kraj Vysočina,Průměrný věk (k 31. 12.; roky),ženy,44.85953093
2024,Kraj Vysočina,Průměrný věk (k 31. 12.; roky),muži,42.19922555
2024,Jihomoravský kraj,Počet obyvatel (k 31. 12.),ženy,626804.0
2024,Jihomoravský kraj,Počet obyvatel (k 31. 12.),muži,602539.0
2024,Jihomoravský kraj,Cizinci (k 31. 12.),ženy,
2024,Jihomoravský kraj,Cizinci (k 31. 12.),muži,
2024,Jihomoravský kraj,Počet obyvatel ve věku 0 - 14 let (k 31. 12.),ženy,95115.0
2024,Jihomoravský kraj,Počet obyvatel ve věku 0 - 14 let (k 31. 12.),muži,99970.0
2024,Jihomoravský kraj,Počet obyvatel ve věku 15 - 64 let (k 31. 12.),ženy,384295.0
2024,Jihomoravský kraj,Počet obyvatel ve věku 15 - 64 let (k 31. 12.),muži,396315.0
2024,Jihomoravský kraj,Počet obyvatel ve věku 65 a více let (k 31. 12.),ženy,147394.0
2024,Jihomoravský kraj,Počet obyvatel ve věku 65 a více let (k 31. 12.),muži,106254.0
2024,Jihomoravský kraj,Průměrný věk (k 31. 12.; roky),ženy,44.36898775
2024,Jihomoravský kraj,Průměrný věk (k 31. 12.; roky),muži,41.42733582
2024,Olomoucký kraj,Počet obyvatel (k 31. 12.),ženy,322647.0
2024,Olomoucký kraj,Počet obyvatel (k 31. 12.),muži,308853.0
2024,Olomoucký kraj,Cizinci (k 31. 12.),ženy,
2024,Olomoucký kraj,Cizinci (k 31. 12.),muži,
2024,Olomoucký kraj,Počet obyvatel ve věku 0 - 14 let (k 31. 12.),ženy,46957.0
2024,Olomoucký kraj,Počet obyvatel ve věku 0 - 14 let (k 31. 12.),muži,48973.0
2024,Olomoucký kraj,Počet obyvatel ve věku 15 - 64 let (k 31. 12.),ženy,194752.0
2024,Olomoucký kraj,Počet obyvatel ve věku 15 - 64 let (k 31. 12.),muži,201714.0
2024,Olomoucký kraj,Počet obyvatel ve věku 65 a více let (k 31. 12.),ženy,80938.0
2024,Olomoucký kraj,Počet obyvatel ve věku 65 a více let (k 31. 12.),muži,58166.0
2024,Olomoucký kraj,Průměrný věk (k 31. 12.; roky),ženy,45.28530716
2024,Olomoucký kraj,Průměrný věk (k 31. 12.; roky),muži,42.27435544
2024,Zlínský kraj,Počet obyvatel (k 31. 12.),ženy,294876.0
2024,Zlínský kraj,Počet obyvatel (k 31. 12.),muži,284122.0
2024,Zlínský kraj,Cizinci (k 31. 12.),ženy,
2024,Zlínský kraj,Cizinci (k 31. 12.),muži,
2024,Zlínský kraj,Počet obyvatel ve věku 0 - 14 let (k 31. 12.),ženy,41920.0
2024,Zlínský kraj,Počet obyvatel ve věku 0 - 14 let (k 31. 12.),muži,44234.0
2024,Zlínský kraj,Počet obyvatel ve věku 15 - 64 let (k 31. 12.),ženy,177358.0
2024,Zlínský kraj,Počet obyvatel ve věku 15 - 64 let (k 31. 12.),muži,186150.0
2024,Zlínský kraj,Počet obyvatel ve věku 65 a více let (k 31. 12.),ženy,75598.0
2024,Zlínský kraj,Počet obyvatel ve věku 65 a více let (k 31. 12.),muži,53738.0
2024,Zlínský kraj,Průměrný věk (k 31. 12.; roky),ženy,45.7781949
2024,Zlínský kraj,Průměrný věk (k 31. 12.; roky),muži,42.47989948
2024,Moravskoslezský kraj,Počet obyvatel (k 31. 12.),ženy,603025.0
2024,Moravskoslezský kraj,Počet obyvatel (k 31. 12.),muži,579588.0
2024,Moravskoslezský kraj,Cizinci (k 31. 12.),ženy,
2024,Moravskoslezský kraj,Cizinci (k 31. 12.),muži,
2024,Moravskoslezský kraj,Počet obyvatel ve věku 0 - 14 let (k 31. 12.),ženy,84836.0
2024,Moravskoslezský kraj,Počet obyvatel ve věku 0 - 14 let (k 31. 12.),muži,89447.0
2024,Moravskoslezský kraj,Počet obyvatel ve věku 15 - 64 let (k 31. 12.),ženy,368021.0
2024,Moravskoslezský kraj,Počet obyvatel ve věku 15 - 64 let (k 31. 12.),muži,385227.0
2024,Moravskoslezský kraj,Počet obyvatel ve věku 65 a více let (k 31. 12.),ženy,150168.0
2024,Moravskoslezský kraj,Počet obyvatel ve věku 65 a více let (k 31. 12.),muži,104914.0
2024,Moravskoslezský kraj,Průměrný věk (k 31. 12.; roky),ženy,45.44983458
2024,Moravskoslezský kraj,Průměrný věk (k 31. 12.; roky),muži,42.21233359
