Ukazatel;Roky;ČR, kraje, SO ORP, obce;Druh zařízení sociálních služeb;value
Počet zařízení sociálních služeb;2023;Jihomoravský kraj;Domovy pro osoby se zdravotním postižením;24
Počet zařízení sociálních služeb;2023;Jihomoravský kraj;Domovy pro seniory;43
Počet zařízení sociálních služeb;2023;Jihomoravský kraj;Azylové domy;19
Počet zařízení sociálních služeb;2023;Jihomoravský kraj;Domy na půl cesty;1
Počet zařízení sociálních služeb;2023;Jihomoravský kraj;Chráněné bydlení;28
Počet zařízení sociálních služeb;2023;Jihomoravský kraj;Noclehárny;7
Počet zařízení sociálních služeb;2023;Jihomoravský kraj;Domovy se zvláštním režimem;44
Počet zařízení sociálních služeb;2023;Jihomoravský kraj;Stacionáře týdenní;7
Počet zařízení sociálních služeb;2023;Karlovarský kraj;Sociální poradny;14
Počet zařízení sociálních služeb;2023;Karlovarský kraj;Služby rané péče;1
Počet zařízení sociálních služeb;2023;Karlovarský kraj;Nízkoprahová denní centra;3
Počet zařízení sociálních služeb;2023;Karlovarský kraj;Nízkoprahová zařízení pro děti a mládež;8
Počet zařízení sociálních služeb;2023;Karlovarský kraj;Sociálně terapeutické dílny;3
Počet zařízení sociálních služeb;2023;Karlovarský kraj;Terapeutické komunity;0
Počet zařízení sociálních služeb;2023;Karlovarský kraj;Centra denních služeb;1
Počet zařízení sociálních služeb;2023;Karlovarský kraj;Zařízení pro krizovou pomoc;2
Počet zařízení sociálních služeb;2023;Karlovarský kraj;Centra sociálně rehabilitačních služeb;5
Počet zařízení sociálních služeb;2023;Karlovarský kraj;Intervenční centra;1
Počet zařízení sociálních služeb;2023;Karlovarský kraj;Služby následné péče;1
Počet zařízení sociálních služeb;2023;Karlovarský kraj;Stacionáře denní;5
Počet zařízení sociálních služeb;2023;Karlovarský kraj;Domovy pro osoby se zdravotním postižením;8
Počet zařízení sociálních služeb;2023;Karlovarský kraj;Domovy pro seniory;20
Počet zařízení sociálních služeb;2023;Karlovarský kraj;Azylové domy;5
Počet zařízení sociálních služeb;2023;Karlovarský kraj;Domy na půl cesty;1
Počet zařízení sociálních služeb;2023;Karlovarský kraj;Chráněné bydlení;5
Počet zařízení sociálních služeb;2023;Karlovarský kraj;Noclehárny;3
Počet zařízení sociálních služeb;2023;Karlovarský kraj;Domovy se zvláštním režimem;15
Počet zařízení sociálních služeb;2023;Karlovarský kraj;Stacionáře týdenní;2
Počet zařízení sociálních služeb;2023;Kraj Vysočina;Sociální poradny;19
Počet zařízení sociálních služeb;2023;Kraj Vysočina;Služby rané péče;3
Počet zařízení sociálních služeb;2023;Kraj Vysočina;Nízkoprahová denní centra;0
Počet zařízení sociálních služeb;2023;Kraj Vysočina;Nízkoprahová zařízení pro děti a mládež;16
Počet zařízení sociálních služeb;2023;Kraj Vysočina;Sociálně terapeutické dílny;8
Počet zařízení sociálních služeb;2023;Kraj Vysočina;Terapeutické komunity;1
Počet zařízení sociálních služeb;2023;Kraj Vysočina;Centra denních služeb;6
Počet zařízení sociálních služeb;2023;Kraj Vysočina;Zařízení pro krizovou pomoc;1
Počet zařízení sociálních služeb;2023;Kraj Vysočina;Centra sociálně rehabilitačních služeb;21
Počet zařízení sociálních služeb;2023;Kraj Vysočina;Intervenční centra;1
Počet zařízení sociálních služeb;2023;Kraj Vysočina;Služby následné péče;2
Počet zařízení sociálních služeb;2023;Kraj Vysočina;Stacionáře denní;23
Počet zařízení sociálních služeb;2023;Kraj Vysočina;Domovy pro osoby se zdravotním postižením;9
Počet zařízení sociálních služeb;2023;Kraj Vysočina;Domovy pro seniory;25
Počet zařízení sociálních služeb;2023;Kraj Vysočina;Azylové domy;7
Počet zařízení sociálních služeb;2023;Kraj Vysočina;Domy na půl cesty;1
Počet zařízení sociálních služeb;2023;Kraj Vysočina;Chráněné bydlení;13
Počet zařízení sociálních služeb;2023;Kraj Vysočina;Noclehárny;1
Počet zařízení sociálních služeb;2023;Kraj Vysočina;Domovy se zvláštním režimem;26
Počet zařízení sociálních služeb;2023;Kraj Vysočina;Stacionáře týdenní;1
Počet zařízení sociálních služeb;2023;Královéhradecký kraj;Sociální poradny;35
Počet zařízení sociálních služeb;2023;Královéhradecký kraj;Služby rané péče;4
Počet zařízení sociálních služeb;2023;Královéhradecký kraj;Nízkoprahová denní centra;2
Počet zařízení sociálních služeb;2023;Královéhradecký kraj;Nízkoprahová zařízení pro děti a mládež;10
Počet zařízení sociálních služeb;2023;Královéhradecký kraj;Sociálně terapeutické dílny;5
Počet zařízení sociálních služeb;2023;Královéhradecký kraj;Terapeutické komunity;0
Počet zařízení sociálních služeb;2023;Královéhradecký kraj;Centra denních služeb;6
Počet zařízení sociálních služeb;2023;Královéhradecký kraj;Zařízení pro krizovou pomoc;1
Počet zařízení sociálních služeb;2023;Královéhradecký kraj;Centra sociálně rehabilitačních služeb;25
Počet zařízení sociálních služeb;2023;Královéhradecký kraj;Intervenční centra;1
Počet zařízení sociálních služeb;2023;Královéhradecký kraj;Služby následné péče;1
Počet zařízení sociálních služeb;2023;Královéhradecký kraj;Stacionáře denní;16
Počet zařízení sociálních služeb;2023;Královéhradecký kraj;Domovy pro osoby se zdravotním postižením;11
Počet zařízení sociálních služeb;2023;Královéhradecký kraj;Domovy pro seniory;39
Počet zařízení sociálních služeb;2023;Královéhradecký kraj;Azylové domy;7
Počet zařízení sociálních služeb;2023;Královéhradecký kraj;Domy na půl cesty;0
Počet zařízení sociálních služeb;2023;Královéhradecký kraj;Chráněné bydlení;14
Počet zařízení sociálních služeb;2023;Královéhradecký kraj;Noclehárny;5
Počet zařízení sociálních služeb;2023;Královéhradecký kraj;Domovy se zvláštním režimem;16
Počet zařízení sociálních služeb;2023;Královéhradecký kraj;Stacionáře týdenní;1
Počet zařízení sociálních služeb;2023;Liberecký kraj;Sociální poradny;25
Počet zařízení sociálních služeb;2023;Liberecký kraj;Služby rané péče;1
Počet zařízení sociálních služeb;2023;Liberecký kraj;Nízkoprahová denní centra;2
Počet zařízení sociálních služeb;2023;Liberecký kraj;Nízkoprahová zařízení pro děti a mládež;11
Počet zařízení sociálních služeb;2023;Liberecký kraj;Sociálně terapeutické dílny;7
Počet zařízení sociálních služeb;2023;Liberecký kraj;Terapeutické komunity;1
Počet zařízení sociálních služeb;2023;Liberecký kraj;Centra denních služeb;7
Počet zařízení sociálních služeb;2023;Liberecký kraj;Zařízení pro krizovou pomoc;0
Počet zařízení sociálních služeb;2023;Liberecký kraj;Centra sociálně rehabilitačních služeb;12
Počet zařízení sociálních služeb;2023;Liberecký kraj;Intervenční centra;1
Počet zařízení sociálních služeb;2023;Liberecký kraj;Služby následné péče;1
Počet zařízení sociálních služeb;2023;Liberecký kraj;Stacionáře denní;10
Počet zařízení sociálních služeb;2023;Liberecký kraj;Domovy pro osoby se zdravotním postižením;10
Počet zařízení sociálních služeb;2023;Liberecký kraj;Domovy pro seniory;21
Počet zařízení sociálních služeb;2023;Liberecký kraj;Azylové domy;8
Počet zařízení sociálních služeb;2023;Liberecký kraj;Domy na půl cesty;1
Počet zařízení sociálních služeb;2023;Liberecký kraj;Chráněné bydlení;6
Počet zařízení sociálních služeb;2023;Liberecký kraj;Noclehárny;2
Počet zařízení sociálních služeb;2023;Liberecký kraj;Domovy se zvláštním režimem;23
Počet zařízení sociálních služeb;2023;Liberecký kraj;Stacionáře týdenní;2
Počet zařízení sociálních služeb;2023;Moravskoslezský kraj;Sociální poradny;62
Počet zařízení sociálních služeb;2023;Moravskoslezský kraj;Služby rané péče;7
Počet zařízení sociálních služeb;2023;Moravskoslezský kraj;Nízkoprahová denní centra;12
Počet zařízení sociálních služeb;2023;Moravskoslezský kraj;Nízkoprahová zařízení pro děti a mládež;36
Počet zařízení sociálních služeb;2023;Moravskoslezský kraj;Sociálně terapeutické dílny;24
Počet zařízení sociálních služeb;2023;Moravskoslezský kraj;Terapeutické komunity;2
Počet zařízení sociálních služeb;2023;Moravskoslezský kraj;Centra denních služeb;11
Počet zařízení sociálních služeb;2023;Moravskoslezský kraj;Zařízení pro krizovou pomoc;5
Počet zařízení sociálních služeb;2023;Moravskoslezský kraj;Centra sociálně rehabilitačních služeb;42
Počet zařízení sociálních služeb;2023;Moravskoslezský kraj;Intervenční centra;2
Počet zařízení sociálních služeb;2023;Moravskoslezský kraj;Služby následné péče;14
Počet zařízení sociálních služeb;2023;Moravskoslezský kraj;Stacionáře denní;37
Počet zařízení sociálních služeb;2023;Moravskoslezský kraj;Domovy pro osoby se zdravotním postižením;25
Počet zařízení sociálních služeb;2023;Moravskoslezský kraj;Domovy pro seniory;74
Počet zařízení sociálních služeb;2023;Moravskoslezský kraj;Azylové domy;33
Počet zařízení sociálních služeb;2023;Moravskoslezský kraj;Domy na půl cesty;5
Počet zařízení sociálních služeb;2023;Moravskoslezský kraj;Chráněné bydlení;34
Počet zařízení sociálních služeb;2023;Moravskoslezský kraj;Noclehárny;15
Počet zařízení sociálních služeb;2023;Moravskoslezský kraj;Domovy se zvláštním režimem;51
Počet zařízení sociálních služeb;2023;Moravskoslezský kraj;Stacionáře týdenní;3
Počet zařízení sociálních služeb;2023;Olomoucký kraj;Sociální poradny;31
Počet zařízení sociálních služeb;2023;Olomoucký kraj;Služby rané péče;4
Počet zařízení sociálních služeb;2023;Olomoucký kraj;Nízkoprahová denní centra;8
Počet zařízení sociálních služeb;2023;Olomoucký kraj;Nízkoprahová zařízení pro děti a mládež;12
Počet zařízení sociálních služeb;2023;Olomoucký kraj;Sociálně terapeutické dílny;6
Počet zařízení sociálních služeb;2023;Olomoucký kraj;Terapeutické komunity;1
Počet zařízení sociálních služeb;2023;Olomoucký kraj;Centra denních služeb;6
Počet zařízení sociálních služeb;2023;Olomoucký kraj;Zařízení pro krizovou pomoc;2
Počet zařízení sociálních služeb;2023;Olomoucký kraj;Centra sociálně rehabilitačních služeb;20
Počet zařízení sociálních služeb;2023;Olomoucký kraj;Intervenční centra;1
Počet zařízení sociálních služeb;2023;Olomoucký kraj;Služby následné péče;2
Počet zařízení sociálních služeb;2023;Olomoucký kraj;Stacionáře denní;16
Počet zařízení sociálních služeb;2023;Olomoucký kraj;Domovy pro osoby se zdravotním postižením;10
Počet zařízení sociálních služeb;2023;Olomoucký kraj;Domovy pro seniory;35
Počet zařízení sociálních služeb;2023;Olomoucký kraj;Azylové domy;20
Počet zařízení sociálních služeb;2023;Olomoucký kraj;Domy na půl cesty;1
Počet zařízení sociálních služeb;2023;Olomoucký kraj;Chráněné bydlení;15
Počet zařízení sociálních služeb;2023;Olomoucký kraj;Noclehárny;8
Počet zařízení sociálních služeb;2023;Olomoucký kraj;Domovy se zvláštním režimem;22
Počet zařízení sociálních služeb;2023;Olomoucký kraj;Stacionáře týdenní;1
Počet zařízení sociálních služeb;2023;Pardubický kraj;Sociální poradny;19
Počet zařízení sociálních služeb;2023;Pardubický kraj;Služby rané péče;2
Počet zařízení sociálních služeb;2023;Pardubický kraj;Nízkoprahová denní centra;5
Počet zařízení sociálních služeb;2023;Pardubický kraj;Nízkoprahová zařízení pro děti a mládež;10
Počet zařízení sociálních služeb;2023;Pardubický kraj;Sociálně terapeutické dílny;11
Počet zařízení sociálních služeb;2023;Pardubický kraj;Terapeutické komunity;0
Počet zařízení sociálních služeb;2023;Pardubický kraj;Centra denních služeb;5
Počet zařízení sociálních služeb;2023;Pardubický kraj;Zařízení pro krizovou pomoc;6
Počet zařízení sociálních služeb;2023;Pardubický kraj;Centra sociálně rehabilitačních služeb;26
Počet zařízení sociálních služeb;2023;Pardubický kraj;Intervenční centra;1
Počet zařízení sociálních služeb;2023;Pardubický kraj;Služby následné péče;0
Počet zařízení sociálních služeb;2023;Pardubický kraj;Stacionáře denní;13
Počet zařízení sociálních služeb;2023;Pardubický kraj;Domovy pro osoby se zdravotním postižením;9
Počet zařízení sociálních služeb;2023;Pardubický kraj;Domovy pro seniory;26
Počet zařízení sociálních služeb;2023;Pardubický kraj;Azylové domy;9
Počet zařízení sociálních služeb;2023;Pardubický kraj;Domy na půl cesty;3
Počet zařízení sociálních služeb;2023;Pardubický kraj;Chráněné bydlení;8
Počet zařízení sociálních služeb;2023;Pardubický kraj;Noclehárny;4
Počet zařízení sociálních služeb;2023;Pardubický kraj;Domovy se zvláštním režimem;21
Počet zařízení sociálních služeb;2023;Pardubický kraj;Stacionáře týdenní;2
Počet zařízení sociálních služeb;2023;Plzeňský kraj;Sociální poradny;30
Počet zařízení sociálních služeb;2023;Plzeňský kraj;Služby rané péče;2
Počet zařízení sociálních služeb;2023;Plzeňský kraj;Nízkoprahová denní centra;2
Počet zařízení sociálních služeb;2023;Plzeňský kraj;Nízkoprahová zařízení pro děti a mládež;7
Počet zařízení sociálních služeb;2023;Plzeňský kraj;Sociálně terapeutické dílny;6
Počet zařízení sociálních služeb;2023;Plzeňský kraj;Terapeutické komunity;1
Počet zařízení sociálních služeb;2023;Plzeňský kraj;Centra denních služeb;2
Počet zařízení sociálních služeb;2023;Plzeňský kraj;Zařízení pro krizovou pomoc;2
Počet zařízení sociálních služeb;2023;Plzeňský kraj;Centra sociálně rehabilitačních služeb;13
Počet zařízení sociálních služeb;2023;Plzeňský kraj;Intervenční centra;1
Počet zařízení sociálních služeb;2023;Plzeňský kraj;Služby následné péče;2
Počet zařízení sociálních služeb;2023;Plzeňský kraj;Stacionáře denní;12
Počet zařízení sociálních služeb;2023;Plzeňský kraj;Domovy pro osoby se zdravotním postižením;12
Počet zařízení sociálních služeb;2023;Plzeňský kraj;Domovy pro seniory;24
Počet zařízení sociálních služeb;2023;Plzeňský kraj;Azylové domy;10
Počet zařízení sociálních služeb;2023;Plzeňský kraj;Domy na půl cesty;1
Počet zařízení sociálních služeb;2023;Plzeňský kraj;Chráněné bydlení;6
Počet zařízení sociálních služeb;2023;Plzeňský kraj;Noclehárny;3
Počet zařízení sociálních služeb;2023;Plzeňský kraj;Domovy se zvláštním režimem;21
Počet zařízení sociálních služeb;2023;Plzeňský kraj;Stacionáře týdenní;1
Počet zařízení sociálních služeb;2023;Středočeský kraj;Sociální poradny;64
Počet zařízení sociálních služeb;2023;Středočeský kraj;Služby rané péče;4
Počet zařízení sociálních služeb;2023;Středočeský kraj;Nízkoprahová denní centra;8
Počet zařízení sociálních služeb;2023;Středočeský kraj;Nízkoprahová zařízení pro děti a mládež;19
Počet zařízení sociálních služeb;2023;Středočeský kraj;Sociálně terapeutické dílny;12
Počet zařízení sociálních služeb;2023;Středočeský kraj;Terapeutické komunity;3
Počet zařízení sociálních služeb;2023;Středočeský kraj;Centra denních služeb;3
Počet zařízení sociálních služeb;2023;Středočeský kraj;Zařízení pro krizovou pomoc;4
Počet zařízení sociálních služeb;2023;Středočeský kraj;Centra sociálně rehabilitačních služeb;22
Počet zařízení sociálních služeb;2023;Středočeský kraj;Intervenční centra;3
Počet zařízení sociálních služeb;2023;Středočeský kraj;Služby následné péče;2
Počet zařízení sociálních služeb;2023;Středočeský kraj;Stacionáře denní;42
Počet zařízení sociálních služeb;2023;Středočeský kraj;Domovy pro osoby se zdravotním postižením;28
Počet zařízení sociálních služeb;2023;Středočeský kraj;Domovy pro seniory;75
Počet zařízení sociálních služeb;2023;Středočeský kraj;Azylové domy;15
Počet zařízení sociálních služeb;2023;Středočeský kraj;Domy na půl cesty;2
Počet zařízení sociálních služeb;2023;Středočeský kraj;Chráněné bydlení;26
Počet zařízení sociálních služeb;2023;Středočeský kraj;Noclehárny;6
Počet zařízení sociálních služeb;2023;Středočeský kraj;Domovy se zvláštním režimem;52
Počet zařízení sociálních služeb;2023;Středočeský kraj;Stacionáře týdenní;11
Počet zařízení sociálních služeb;2023;Ústecký kraj;Sociální poradny;62
Počet zařízení sociálních služeb;2023;Ústecký kraj;Služby rané péče;1
Počet zařízení sociálních služeb;2023;Ústecký kraj;Nízkoprahová denní centra;10
Počet zařízení sociálních služeb;2023;Ústecký kraj;Nízkoprahová zařízení pro děti a mládež;44
Počet zařízení sociálních služeb;2023;Ústecký kraj;Sociálně terapeutické dílny;21
Počet zařízení sociálních služeb;2023;Ústecký kraj;Terapeutické komunity;1
Počet zařízení sociálních služeb;2023;Ústecký kraj;Centra denních služeb;1
Počet zařízení sociálních služeb;2023;Ústecký kraj;Zařízení pro krizovou pomoc;4
Počet zařízení sociálních služeb;2023;Ústecký kraj;Centra sociálně rehabilitačních služeb;31
Počet zařízení sociálních služeb;2023;Ústecký kraj;Intervenční centra;1
Počet zařízení sociálních služeb;2023;Ústecký kraj;Služby následné péče;3
Počet zařízení sociálních služeb;2023;Ústecký kraj;Stacionáře denní;19
Počet zařízení sociálních služeb;2023;Ústecký kraj;Domovy pro osoby se zdravotním postižením;31
Počet zařízení sociálních služeb;2023;Ústecký kraj;Domovy pro seniory;39
Počet zařízení sociálních služeb;2023;Ústecký kraj;Azylové domy;25
Počet zařízení sociálních služeb;2023;Ústecký kraj;Domy na půl cesty;3
Počet zařízení sociálních služeb;2023;Ústecký kraj;Chráněné bydlení;28
Počet zařízení sociálních služeb;2023;Ústecký kraj;Noclehárny;11
Počet zařízení sociálních služeb;2023;Ústecký kraj;Domovy se zvláštním režimem;40
Počet zařízení sociálních služeb;2023;Ústecký kraj;Stacionáře týdenní;3
Počet zařízení sociálních služeb;2023;Zlínský kraj;Sociální poradny;22
Počet zařízení sociálních služeb;2023;Zlínský kraj;Služby rané péče;3
Počet zařízení sociálních služeb;2023;Zlínský kraj;Nízkoprahová denní centra;6
Počet zařízení sociálních služeb;2023;Zlínský kraj;Nízkoprahová zařízení pro děti a mládež;17
Počet zařízení sociálních služeb;2023;Zlínský kraj;Sociálně terapeutické dílny;11
Počet zařízení sociálních služeb;2023;Zlínský kraj;Terapeutické komunity;0
Počet zařízení sociálních služeb;2023;Zlínský kraj;Centra denních služeb;7
Počet zařízení sociálních služeb;2023;Zlínský kraj;Zařízení pro krizovou pomoc;1
Počet zařízení sociálních služeb;2023;Zlínský kraj;Centra sociálně rehabilitačních služeb;24
Počet zařízení sociálních služeb;2023;Zlínský kraj;Intervenční centra;2
Počet zařízení sociálních služeb;2023;Zlínský kraj;Služby následné péče;2
Počet zařízení sociálních služeb;2023;Zlínský kraj;Stacionáře denní;19
Počet zařízení sociálních služeb;2023;Zlínský kraj;Domovy pro osoby se zdravotním postižením;17
Počet zařízení sociálních služeb;2023;Zlínský kraj;Domovy pro seniory;38
Počet zařízení sociálních služeb;2023;Zlínský kraj;Azylové domy;13
Počet zařízení sociálních služeb;2023;Zlínský kraj;Domy na půl cesty;2
Počet zařízení sociálních služeb;2023;Zlínský kraj;Chráněné bydlení;17
Počet zařízení sociálních služeb;2023;Zlínský kraj;Noclehárny;5
Počet zařízení sociálních služeb;2023;Zlínský kraj;Domovy se zvláštním režimem;26
Počet zařízení sociálních služeb;2023;Zlínský kraj;Stacionáře týdenní;2
