Ukazatel;Druh zařízení sociálních služeb;ČR, kraje, SO ORP, obce;Roky;value
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Jihomoravský kraj;2013;20
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Jihomoravský kraj;2014;23
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Jihomoravský kraj;2015;19
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Jihomoravský kraj;2016;19
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Jihomoravský kraj;2017;18
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Jihomoravský kraj;2018;19
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Jihomoravský kraj;2019;19
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Jihomoravský kraj;2020;21
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Jihomoravský kraj;2021;21
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Jihomoravský kraj;2022;22
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Jihomoravský kraj;2023;24
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Karlovarský kraj;2007;1
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Karlovarský kraj;2008;2
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Karlovarský kraj;2009;3
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Karlovarský kraj;2010;4
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Karlovarský kraj;2011;4
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Karlovarský kraj;2012;5
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Karlovarský kraj;2013;5
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Karlovarský kraj;2014;5
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Karlovarský kraj;2015;5
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Karlovarský kraj;2016;5
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Karlovarský kraj;2017;5
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Karlovarský kraj;2018;5
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Karlovarský kraj;2019;5
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Karlovarský kraj;2020;5
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Karlovarský kraj;2021;5
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Karlovarský kraj;2022;5
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Karlovarský kraj;2023;5
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Kraj Vysočina;2007;1
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Kraj Vysočina;2008;8
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Kraj Vysočina;2009;16
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Kraj Vysočina;2010;18
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Kraj Vysočina;2011;17
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Kraj Vysočina;2012;18
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Kraj Vysočina;2013;17
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Kraj Vysočina;2014;18
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Kraj Vysočina;2015;12
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Kraj Vysočina;2016;17
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Kraj Vysočina;2017;16
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Kraj Vysočina;2018;17
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Kraj Vysočina;2019;17
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Kraj Vysočina;2020;18
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Kraj Vysočina;2021;19
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Kraj Vysočina;2022;21
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Kraj Vysočina;2023;21
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Královéhradecký kraj;2007;0
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Královéhradecký kraj;2008;9
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Královéhradecký kraj;2009;13
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Královéhradecký kraj;2010;12
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Královéhradecký kraj;2011;13
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Královéhradecký kraj;2012;13
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Královéhradecký kraj;2013;14
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Královéhradecký kraj;2014;17
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Královéhradecký kraj;2015;16
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Královéhradecký kraj;2016;23
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Královéhradecký kraj;2017;24
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Královéhradecký kraj;2018;24
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Královéhradecký kraj;2019;25
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Královéhradecký kraj;2020;22
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Královéhradecký kraj;2021;22
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Královéhradecký kraj;2022;25
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Královéhradecký kraj;2023;25
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Liberecký kraj;2007;1
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Liberecký kraj;2008;3
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Liberecký kraj;2009;3
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Liberecký kraj;2010;7
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Liberecký kraj;2011;5
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Liberecký kraj;2012;5
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Liberecký kraj;2013;5
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Liberecký kraj;2014;5
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Liberecký kraj;2015;4
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Liberecký kraj;2016;5
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Liberecký kraj;2017;8
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Liberecký kraj;2018;8
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Liberecký kraj;2019;8
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Liberecký kraj;2020;8
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Liberecký kraj;2021;8
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Liberecký kraj;2022;10
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Liberecký kraj;2023;12
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Moravskoslezský kraj;2007;15
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Moravskoslezský kraj;2008;23
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Moravskoslezský kraj;2009;23
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Moravskoslezský kraj;2010;21
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Moravskoslezský kraj;2011;24
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Moravskoslezský kraj;2012;22
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Moravskoslezský kraj;2013;22
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Moravskoslezský kraj;2014;28
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Moravskoslezský kraj;2015;29
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Moravskoslezský kraj;2016;29
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Moravskoslezský kraj;2017;30
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Moravskoslezský kraj;2018;32
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Moravskoslezský kraj;2019;32
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Moravskoslezský kraj;2020;37
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Moravskoslezský kraj;2021;37
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Moravskoslezský kraj;2022;40
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Moravskoslezský kraj;2023;42
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Olomoucký kraj;2007;2
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Olomoucký kraj;2008;10
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Olomoucký kraj;2009;12
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Olomoucký kraj;2010;13
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Olomoucký kraj;2011;12
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Olomoucký kraj;2012;12
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Olomoucký kraj;2013;15
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Olomoucký kraj;2014;14
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Olomoucký kraj;2015;14
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Olomoucký kraj;2016;15
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Olomoucký kraj;2017;16
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Olomoucký kraj;2018;18
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Olomoucký kraj;2019;18
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Olomoucký kraj;2020;18
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Olomoucký kraj;2021;18
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Olomoucký kraj;2022;19
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Olomoucký kraj;2023;20
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Pardubický kraj;2007;3
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Pardubický kraj;2008;15
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Pardubický kraj;2009;16
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Pardubický kraj;2010;14
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Pardubický kraj;2011;15
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Pardubický kraj;2012;15
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Pardubický kraj;2013;13
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Pardubický kraj;2014;16
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Pardubický kraj;2015;16
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Pardubický kraj;2016;16
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Pardubický kraj;2017;18
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Pardubický kraj;2018;20
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Pardubický kraj;2019;21
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Pardubický kraj;2020;23
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Pardubický kraj;2021;24
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Pardubický kraj;2022;26
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Pardubický kraj;2023;26
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Plzeňský kraj;2007;4
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Plzeňský kraj;2008;7
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Plzeňský kraj;2009;9
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Plzeňský kraj;2010;10
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Plzeňský kraj;2011;8
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Plzeňský kraj;2012;9
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Plzeňský kraj;2013;9
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Plzeňský kraj;2014;10
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Plzeňský kraj;2015;11
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Plzeňský kraj;2016;10
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Plzeňský kraj;2017;12
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Plzeňský kraj;2018;12
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Plzeňský kraj;2019;13
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Plzeňský kraj;2020;13
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Plzeňský kraj;2021;13
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Plzeňský kraj;2022;13
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Plzeňský kraj;2023;13
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Středočeský kraj;2007;7
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Středočeský kraj;2008;26
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Středočeský kraj;2009;23
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Středočeský kraj;2010;27
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Středočeský kraj;2011;28
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Středočeský kraj;2012;35
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Středočeský kraj;2013;36
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Středočeský kraj;2014;33
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Středočeský kraj;2015;32
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Středočeský kraj;2016;30
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Středočeský kraj;2017;28
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Středočeský kraj;2018;25
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Středočeský kraj;2019;25
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Středočeský kraj;2020;21
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Středočeský kraj;2021;22
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Středočeský kraj;2022;24
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Středočeský kraj;2023;22
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Ústecký kraj;2007;7
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Ústecký kraj;2008;25
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Ústecký kraj;2009;30
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Ústecký kraj;2010;36
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Ústecký kraj;2011;26
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Ústecký kraj;2012;27
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Ústecký kraj;2013;28
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Ústecký kraj;2014;23
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Ústecký kraj;2015;21
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Ústecký kraj;2016;21
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Ústecký kraj;2017;24
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Ústecký kraj;2018;25
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Ústecký kraj;2019;30
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Ústecký kraj;2020;30
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Ústecký kraj;2021;29
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Ústecký kraj;2022;31
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Ústecký kraj;2023;31
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Zlínský kraj;2007;5
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Zlínský kraj;2008;8
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Zlínský kraj;2009;11
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Zlínský kraj;2010;12
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Zlínský kraj;2011;13
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Zlínský kraj;2012;12
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Zlínský kraj;2013;12
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Zlínský kraj;2014;14
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Zlínský kraj;2015;15
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Zlínský kraj;2016;15
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Zlínský kraj;2017;15
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Zlínský kraj;2018;17
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Zlínský kraj;2019;18
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Zlínský kraj;2020;20
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Zlínský kraj;2021;23
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Zlínský kraj;2022;23
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Zlínský kraj;2023;24
