Ukazatel;Rok sčítání;Území;Věkové skupiny (základní);Pohlaví;value
Počet obyvatel (obvyklý pobyt);2021;Středočeský kraj;Celkem;Muži;702541
Počet obyvatel (obvyklý pobyt);2021;Středočeský kraj;0 - 14 let;Celkem;253371
Počet obyvatel (obvyklý pobyt);2021;Středočeský kraj;0 - 14 let;Ženy;123736
Počet obyvatel (obvyklý pobyt);2021;Středočeský kraj;0 - 14 let;Muži;129635
Počet obyvatel (obvyklý pobyt);2021;Středočeský kraj;15 - 64 let;Celkem;895370
Počet obyvatel (obvyklý pobyt);2021;Středočeský kraj;15 - 64 let;Ženy;437168
Počet obyvatel (obvyklý pobyt);2021;Středočeský kraj;15 - 64 let;Muži;458202
Počet obyvatel (obvyklý pobyt);2021;Středočeský kraj;65 a více let;Celkem;266722
Počet obyvatel (obvyklý pobyt);2021;Středočeský kraj;65 a více let;Ženy;152018
Počet obyvatel (obvyklý pobyt);2021;Středočeský kraj;65 a více let;Muži;114704
Počet obyvatel (obvyklý pobyt);2021;Jihočeský kraj;Celkem;Celkem;631803
Počet obyvatel (obvyklý pobyt);2021;Jihočeský kraj;Celkem;Ženy;319635
Počet obyvatel (obvyklý pobyt);2021;Jihočeský kraj;Celkem;Muži;312168
Počet obyvatel (obvyklý pobyt);2021;Jihočeský kraj;0 - 14 let;Celkem;101258
Počet obyvatel (obvyklý pobyt);2021;Jihočeský kraj;0 - 14 let;Ženy;49390
Počet obyvatel (obvyklý pobyt);2021;Jihočeský kraj;0 - 14 let;Muži;51868
Počet obyvatel (obvyklý pobyt);2021;Jihočeský kraj;15 - 64 let;Celkem;395965
Počet obyvatel (obvyklý pobyt);2021;Jihočeský kraj;15 - 64 let;Ženy;194074
Počet obyvatel (obvyklý pobyt);2021;Jihočeský kraj;15 - 64 let;Muži;201891
Počet obyvatel (obvyklý pobyt);2021;Jihočeský kraj;65 a více let;Celkem;134580
Počet obyvatel (obvyklý pobyt);2021;Jihočeský kraj;65 a více let;Ženy;76171
Počet obyvatel (obvyklý pobyt);2021;Jihočeský kraj;65 a více let;Muži;58409
Počet obyvatel (obvyklý pobyt);2021;Plzeňský kraj;Celkem;Celkem;581436
Počet obyvatel (obvyklý pobyt);2021;Plzeňský kraj;Celkem;Ženy;292557
Počet obyvatel (obvyklý pobyt);2021;Plzeňský kraj;Celkem;Muži;288879
Počet obyvatel (obvyklý pobyt);2021;Plzeňský kraj;0 - 14 let;Celkem;90994
Počet obyvatel (obvyklý pobyt);2021;Plzeňský kraj;0 - 14 let;Ženy;44518
Počet obyvatel (obvyklý pobyt);2021;Plzeňský kraj;0 - 14 let;Muži;46476
Počet obyvatel (obvyklý pobyt);2021;Plzeňský kraj;15 - 64 let;Celkem;369496
Počet obyvatel (obvyklý pobyt);2021;Plzeňský kraj;15 - 64 let;Ženy;179389
Počet obyvatel (obvyklý pobyt);2021;Plzeňský kraj;15 - 64 let;Muži;190107
Počet obyvatel (obvyklý pobyt);2021;Plzeňský kraj;65 a více let;Celkem;120946
Počet obyvatel (obvyklý pobyt);2021;Plzeňský kraj;65 a více let;Ženy;68650
Počet obyvatel (obvyklý pobyt);2021;Plzeňský kraj;65 a více let;Muži;52296
Počet obyvatel (obvyklý pobyt);2021;Karlovarský kraj;Celkem;Celkem;279103
Počet obyvatel (obvyklý pobyt);2021;Karlovarský kraj;Celkem;Ženy;140993
Počet obyvatel (obvyklý pobyt);2021;Karlovarský kraj;Celkem;Muži;138110
Počet obyvatel (obvyklý pobyt);2021;Karlovarský kraj;0 - 14 let;Celkem;42586
Počet obyvatel (obvyklý pobyt);2021;Karlovarský kraj;0 - 14 let;Ženy;20814
Počet obyvatel (obvyklý pobyt);2021;Karlovarský kraj;0 - 14 let;Muži;21772
Počet obyvatel (obvyklý pobyt);2021;Karlovarský kraj;15 - 64 let;Celkem;177136
Počet obyvatel (obvyklý pobyt);2021;Karlovarský kraj;15 - 64 let;Ženy;86043
Počet obyvatel (obvyklý pobyt);2021;Karlovarský kraj;15 - 64 let;Muži;91093
Počet obyvatel (obvyklý pobyt);2021;Karlovarský kraj;65 a více let;Celkem;59381
Počet obyvatel (obvyklý pobyt);2021;Karlovarský kraj;65 a více let;Ženy;34136
Počet obyvatel (obvyklý pobyt);2021;Karlovarský kraj;65 a více let;Muži;25245
Počet obyvatel (obvyklý pobyt);2021;Ústecký kraj;Celkem;Celkem;789098
Počet obyvatel (obvyklý pobyt);2021;Ústecký kraj;Celkem;Ženy;400133
Počet obyvatel (obvyklý pobyt);2021;Ústecký kraj;Celkem;Muži;388965
Počet obyvatel (obvyklý pobyt);2021;Ústecký kraj;0 - 14 let;Celkem;126959
Počet obyvatel (obvyklý pobyt);2021;Ústecký kraj;0 - 14 let;Ženy;62017
Počet obyvatel (obvyklý pobyt);2021;Ústecký kraj;0 - 14 let;Muži;64942
Počet obyvatel (obvyklý pobyt);2021;Ústecký kraj;15 - 64 let;Celkem;499753
Počet obyvatel (obvyklý pobyt);2021;Ústecký kraj;15 - 64 let;Ženy;244275
Počet obyvatel (obvyklý pobyt);2021;Ústecký kraj;15 - 64 let;Muži;255478
Počet obyvatel (obvyklý pobyt);2021;Ústecký kraj;65 a více let;Celkem;162386
Počet obyvatel (obvyklý pobyt);2021;Ústecký kraj;65 a více let;Ženy;93841
Počet obyvatel (obvyklý pobyt);2021;Ústecký kraj;65 a více let;Muži;68545
Počet obyvatel (obvyklý pobyt);2021;Liberecký kraj;Celkem;Celkem;435220
Počet obyvatel (obvyklý pobyt);2021;Liberecký kraj;Celkem;Ženy;219800
Počet obyvatel (obvyklý pobyt);2021;Liberecký kraj;Celkem;Muži;215420
Počet obyvatel (obvyklý pobyt);2021;Liberecký kraj;0 - 14 let;Celkem;71331
Počet obyvatel (obvyklý pobyt);2021;Liberecký kraj;0 - 14 let;Ženy;34853
Počet obyvatel (obvyklý pobyt);2021;Liberecký kraj;0 - 14 let;Muži;36478
Počet obyvatel (obvyklý pobyt);2021;Liberecký kraj;15 - 64 let;Celkem;272731
Počet obyvatel (obvyklý pobyt);2021;Liberecký kraj;15 - 64 let;Ženy;132435
Počet obyvatel (obvyklý pobyt);2021;Liberecký kraj;15 - 64 let;Muži;140296
Počet obyvatel (obvyklý pobyt);2021;Liberecký kraj;65 a více let;Celkem;91158
Počet obyvatel (obvyklý pobyt);2021;Liberecký kraj;65 a více let;Ženy;52512
Počet obyvatel (obvyklý pobyt);2021;Liberecký kraj;65 a více let;Muži;38646
Počet obyvatel (obvyklý pobyt);2021;Královéhradecký kraj;Celkem;Celkem;538303
Počet obyvatel (obvyklý pobyt);2021;Královéhradecký kraj;Celkem;Ženy;272286
Počet obyvatel (obvyklý pobyt);2021;Královéhradecký kraj;Celkem;Muži;266017
Počet obyvatel (obvyklý pobyt);2021;Královéhradecký kraj;0 - 14 let;Celkem;84677
Počet obyvatel (obvyklý pobyt);2021;Královéhradecký kraj;0 - 14 let;Ženy;41212
Počet obyvatel (obvyklý pobyt);2021;Královéhradecký kraj;0 - 14 let;Muži;43465
Počet obyvatel (obvyklý pobyt);2021;Královéhradecký kraj;15 - 64 let;Celkem;333200
Počet obyvatel (obvyklý pobyt);2021;Královéhradecký kraj;15 - 64 let;Ženy;161646
Počet obyvatel (obvyklý pobyt);2021;Královéhradecký kraj;15 - 64 let;Muži;171554
Počet obyvatel (obvyklý pobyt);2021;Královéhradecký kraj;65 a více let;Celkem;120426
Počet obyvatel (obvyklý pobyt);2021;Královéhradecký kraj;65 a více let;Ženy;69428
Počet obyvatel (obvyklý pobyt);2021;Královéhradecký kraj;65 a více let;Muži;50998
Počet obyvatel (obvyklý pobyt);2021;Pardubický kraj;Celkem;Celkem;510037
Počet obyvatel (obvyklý pobyt);2021;Pardubický kraj;Celkem;Ženy;257091
Počet obyvatel (obvyklý pobyt);2021;Pardubický kraj;Celkem;Muži;252946
Počet obyvatel (obvyklý pobyt);2021;Pardubický kraj;0 - 14 let;Celkem;82756
Počet obyvatel (obvyklý pobyt);2021;Pardubický kraj;0 - 14 let;Ženy;40328
Počet obyvatel (obvyklý pobyt);2021;Pardubický kraj;0 - 14 let;Muži;42428
Počet obyvatel (obvyklý pobyt);2021;Pardubický kraj;15 - 64 let;Celkem;319764
Počet obyvatel (obvyklý pobyt);2021;Pardubický kraj;15 - 64 let;Ženy;155126
Počet obyvatel (obvyklý pobyt);2021;Pardubický kraj;15 - 64 let;Muži;164638
Počet obyvatel (obvyklý pobyt);2021;Pardubický kraj;65 a více let;Celkem;107517
Počet obyvatel (obvyklý pobyt);2021;Pardubický kraj;65 a více let;Ženy;61637
Počet obyvatel (obvyklý pobyt);2021;Pardubický kraj;65 a více let;Muži;45880
Počet obyvatel (obvyklý pobyt);2021;Kraj Vysočina;Celkem;Celkem;497661
Počet obyvatel (obvyklý pobyt);2021;Kraj Vysočina;Celkem;Ženy;250293
Počet obyvatel (obvyklý pobyt);2021;Kraj Vysočina;Celkem;Muži;247368
Počet obyvatel (obvyklý pobyt);2021;Kraj Vysočina;0 - 14 let;Celkem;79198
Počet obyvatel (obvyklý pobyt);2021;Kraj Vysočina;0 - 14 let;Ženy;38674
Počet obyvatel (obvyklý pobyt);2021;Kraj Vysočina;0 - 14 let;Muži;40524
Počet obyvatel (obvyklý pobyt);2021;Kraj Vysočina;15 - 64 let;Celkem;312024
Počet obyvatel (obvyklý pobyt);2021;Kraj Vysočina;15 - 64 let;Ženy;150816
Počet obyvatel (obvyklý pobyt);2021;Kraj Vysočina;15 - 64 let;Muži;161208
Počet obyvatel (obvyklý pobyt);2021;Kraj Vysočina;65 a více let;Celkem;106439
Počet obyvatel (obvyklý pobyt);2021;Kraj Vysočina;65 a více let;Ženy;60803
Počet obyvatel (obvyklý pobyt);2021;Kraj Vysočina;65 a více let;Muži;45636
Počet obyvatel (obvyklý pobyt);2021;Jihomoravský kraj;Celkem;Celkem;1197651
Počet obyvatel (obvyklý pobyt);2021;Jihomoravský kraj;Celkem;Ženy;608098
Počet obyvatel (obvyklý pobyt);2021;Jihomoravský kraj;Celkem;Muži;589553
Počet obyvatel (obvyklý pobyt);2021;Jihomoravský kraj;0 - 14 let;Celkem;193674
Počet obyvatel (obvyklý pobyt);2021;Jihomoravský kraj;0 - 14 let;Ženy;94591
Počet obyvatel (obvyklý pobyt);2021;Jihomoravský kraj;0 - 14 let;Muži;99083
Počet obyvatel (obvyklý pobyt);2021;Jihomoravský kraj;15 - 64 let;Celkem;762972
Počet obyvatel (obvyklý pobyt);2021;Jihomoravský kraj;15 - 64 let;Ženy;372655
Počet obyvatel (obvyklý pobyt);2021;Jihomoravský kraj;15 - 64 let;Muži;390317
Počet obyvatel (obvyklý pobyt);2021;Jihomoravský kraj;65 a více let;Celkem;241005
Počet obyvatel (obvyklý pobyt);2021;Jihomoravský kraj;65 a více let;Ženy;140852
Počet obyvatel (obvyklý pobyt);2021;Jihomoravský kraj;65 a více let;Muži;100153
Počet obyvatel (obvyklý pobyt);2021;Olomoucký kraj;Celkem;Celkem;619788
Počet obyvatel (obvyklý pobyt);2021;Olomoucký kraj;Celkem;Ženy;315893
Počet obyvatel (obvyklý pobyt);2021;Olomoucký kraj;Celkem;Muži;303895
Počet obyvatel (obvyklý pobyt);2021;Olomoucký kraj;0 - 14 let;Celkem;98164
Počet obyvatel (obvyklý pobyt);2021;Olomoucký kraj;0 - 14 let;Ženy;48046
Počet obyvatel (obvyklý pobyt);2021;Olomoucký kraj;0 - 14 let;Muži;50118
Počet obyvatel (obvyklý pobyt);2021;Olomoucký kraj;15 - 64 let;Celkem;388906
Počet obyvatel (obvyklý pobyt);2021;Olomoucký kraj;15 - 64 let;Ženy;190363
Počet obyvatel (obvyklý pobyt);2021;Olomoucký kraj;15 - 64 let;Muži;198543
Počet obyvatel (obvyklý pobyt);2021;Olomoucký kraj;65 a více let;Celkem;132718
Počet obyvatel (obvyklý pobyt);2021;Olomoucký kraj;65 a více let;Ženy;77484
Počet obyvatel (obvyklý pobyt);2021;Olomoucký kraj;65 a více let;Muži;55234
Počet obyvatel (obvyklý pobyt);2021;Zlínský kraj;Celkem;Celkem;564331
Počet obyvatel (obvyklý pobyt);2021;Zlínský kraj;Celkem;Ženy;287185
Počet obyvatel (obvyklý pobyt);2021;Zlínský kraj;Celkem;Muži;277146
Počet obyvatel (obvyklý pobyt);2021;Zlínský kraj;0 - 14 let;Celkem;87299
Počet obyvatel (obvyklý pobyt);2021;Zlínský kraj;0 - 14 let;Ženy;42456
Počet obyvatel (obvyklý pobyt);2021;Zlínský kraj;0 - 14 let;Muži;44843
Počet obyvatel (obvyklý pobyt);2021;Zlínský kraj;15 - 64 let;Celkem;354350
Počet obyvatel (obvyklý pobyt);2021;Zlínský kraj;15 - 64 let;Ženy;172386
Počet obyvatel (obvyklý pobyt);2021;Zlínský kraj;15 - 64 let;Muži;181964
Počet obyvatel (obvyklý pobyt);2021;Zlínský kraj;65 a více let;Celkem;122682
Počet obyvatel (obvyklý pobyt);2021;Zlínský kraj;65 a více let;Ženy;72343
Počet obyvatel (obvyklý pobyt);2021;Zlínský kraj;65 a více let;Muži;50339
Počet obyvatel (obvyklý pobyt);2021;Moravskoslezský kraj;Celkem;Celkem;1162841
Počet obyvatel (obvyklý pobyt);2021;Moravskoslezský kraj;Celkem;Ženy;592750
Počet obyvatel (obvyklý pobyt);2021;Moravskoslezský kraj;Celkem;Muži;570091
Počet obyvatel (obvyklý pobyt);2021;Moravskoslezský kraj;0 - 14 let;Celkem;180124
Počet obyvatel (obvyklý pobyt);2021;Moravskoslezský kraj;0 - 14 let;Ženy;87758
Počet obyvatel (obvyklý pobyt);2021;Moravskoslezský kraj;0 - 14 let;Muži;92366
Počet obyvatel (obvyklý pobyt);2021;Moravskoslezský kraj;15 - 64 let;Celkem;739606
Počet obyvatel (obvyklý pobyt);2021;Moravskoslezský kraj;15 - 64 let;Ženy;361352
Počet obyvatel (obvyklý pobyt);2021;Moravskoslezský kraj;15 - 64 let;Muži;378254
Počet obyvatel (obvyklý pobyt);2021;Moravskoslezský kraj;65 a více let;Celkem;243111
Počet obyvatel (obvyklý pobyt);2021;Moravskoslezský kraj;65 a více let;Ženy;143640
Počet obyvatel (obvyklý pobyt);2021;Moravskoslezský kraj;65 a více let;Muži;99471
