"ČR, kraje, okresy",Ekonomické subjekty ,Ukazatel,Roky,value
Česko,Počet ekonomických subjektů v registru,Soukromí podnikatelé podnikající podle živnostenského zákona,2021,1988895
Česko,Počet ekonomických subjektů v registru,Soukromí podnikatelé podnikající podle živnostenského zákona,2020,1962664
Česko,Počet ekonomických subjektů v registru,Soukromí podnikatelé podnikající podle živnostenského zákona,2019,1938453
Česko,Počet ekonomických subjektů v registru,Soukromí podnikatelé podnikající podle živnostenského zákona,2018,1912059
Česko,Počet ekonomických subjektů v registru,Soukromí podnikatelé podnikající podle živnostenského zákona,2017,1892729
Česko,Počet ekonomických subjektů v registru,Soukromí podnikatelé podnikající podle živnostenského zákona,2016,1849487
Česko,Počet ekonomických subjektů v registru,Soukromí podnikatelé podnikající podle živnostenského zákona,2015,1825627
Česko,Počet ekonomických subjektů v registru,Soukromí podnikatelé podnikající podle živnostenského zákona,2014,1798199
Česko,Počet ekonomických subjektů v registru,Soukromí podnikatelé podnikající podle živnostenského zákona,2013,1749865
Česko,Počet ekonomických subjektů v registru,Fyzická osoba podnikající dle jiných zákonů než živnostenského a zákona o zemědělství,2024,115145
Česko,Počet ekonomických subjektů v registru,Fyzická osoba podnikající dle jiných zákonů než živnostenského a zákona o zemědělství,2023,114015
Česko,Počet ekonomických subjektů v registru,Fyzická osoba podnikající dle jiných zákonů než živnostenského a zákona o zemědělství,2022,84926
Česko,Počet ekonomických subjektů v registru,Fyzická osoba podnikající dle jiných zákonů než živnostenského a zákona o zemědělství,2021,84264
Česko,Počet ekonomických subjektů v registru,Fyzická osoba podnikající dle jiných zákonů než živnostenského a zákona o zemědělství,2020,85005
Česko,Počet ekonomických subjektů v registru,Fyzická osoba podnikající dle jiných zákonů než živnostenského a zákona o zemědělství,2019,85918
Česko,Počet ekonomických subjektů v registru,Fyzická osoba podnikající dle jiných zákonů než živnostenského a zákona o zemědělství,2018,129301
Česko,Počet ekonomických subjektů v registru,Fyzická osoba podnikající dle jiných zákonů než živnostenského a zákona o zemědělství,2017,130633
Česko,Počet ekonomických subjektů v registru,Fyzická osoba podnikající dle jiných zákonů než živnostenského a zákona o zemědělství,2016,159191
Česko,Počet ekonomických subjektů v registru,Fyzická osoba podnikající dle jiných zákonů než živnostenského a zákona o zemědělství,2015,173172
Česko,Počet ekonomických subjektů v registru,Fyzická osoba podnikající dle jiných zákonů než živnostenského a zákona o zemědělství,2014,197474
Česko,Počet ekonomických subjektů v registru,Fyzická osoba podnikající dle jiných zákonů než živnostenského a zákona o zemědělství,2013,229235
Česko,Počet ekonomických subjektů v registru,Zemědělský podnikatel - fyzická osoba ,2024,46643
Česko,Počet ekonomických subjektů v registru,Zemědělský podnikatel - fyzická osoba ,2023,46665
Česko,Počet ekonomických subjektů v registru,Zemědělský podnikatel - fyzická osoba ,2022,48962
Česko,Počet ekonomických subjektů v registru,Zemědělský podnikatel - fyzická osoba ,2021,48742
Česko,Počet ekonomických subjektů v registru,Zemědělský podnikatel - fyzická osoba ,2020,48263
Česko,Počet ekonomických subjektů v registru,Zemědělský podnikatel - fyzická osoba ,2019,47411
Česko,Počet ekonomických subjektů v registru,Zemědělský podnikatel - fyzická osoba ,2018,46885
Česko,Počet ekonomických subjektů v registru,Zemědělský podnikatel - fyzická osoba ,2017,46010
Česko,Počet ekonomických subjektů v registru,Zemědělský podnikatel - fyzická osoba ,2016,44599
Česko,Počet ekonomických subjektů v registru,Zemědělský podnikatel - fyzická osoba ,2015,43005
Česko,Počet ekonomických subjektů v registru,Zemědělský podnikatel - fyzická osoba ,2014,35242
Česko,Počet ekonomických subjektů v registru,Zemědělský podnikatel - fyzická osoba ,2013,34290
Česko,Počet ekonomických subjektů v registru,Právnické osoby celkem,2024,847630
Česko,Počet ekonomických subjektů v registru,Právnické osoby celkem,2023,831821
Česko,Počet ekonomických subjektů v registru,Právnické osoby celkem,2022,817893
Česko,Počet ekonomických subjektů v registru,Právnické osoby celkem,2021,803942
Česko,Počet ekonomických subjektů v registru,Právnické osoby celkem,2020,788141
Česko,Počet ekonomických subjektů v registru,Právnické osoby celkem,2019,773736
Česko,Počet ekonomických subjektů v registru,Právnické osoby celkem,2018,755593
Česko,Počet ekonomických subjektů v registru,Právnické osoby celkem,2017,733987
Česko,Počet ekonomických subjektů v registru,Právnické osoby celkem,2016,708554
Česko,Počet ekonomických subjektů v registru,Právnické osoby celkem,2015,681016
Česko,Počet ekonomických subjektů v registru,Právnické osoby celkem,2014,654286
Česko,Počet ekonomických subjektů v registru,Právnické osoby celkem,2013,681347
Česko,Počet ekonomických subjektů v registru,Obchodní společnosti,2024,584485
Česko,Počet ekonomických subjektů v registru,Obchodní společnosti,2023,570519
Česko,Počet ekonomických subjektů v registru,Obchodní společnosti,2022,557209
Česko,Počet ekonomických subjektů v registru,Obchodní společnosti,2021,543037
Česko,Počet ekonomických subjektů v registru,Obchodní společnosti,2020,527367
Česko,Počet ekonomických subjektů v registru,Obchodní společnosti,2019,515694
Česko,Počet ekonomických subjektů v registru,Obchodní společnosti,2018,501187
Česko,Počet ekonomických subjektů v registru,Obchodní společnosti,2017,482658
Česko,Počet ekonomických subjektů v registru,Obchodní společnosti,2016,462099
Česko,Počet ekonomických subjektů v registru,Obchodní společnosti,2015,440757
Česko,Počet ekonomických subjektů v registru,Obchodní společnosti,2014,419444
Česko,Počet ekonomických subjektů v registru,Obchodní společnosti,2013,399571
Česko,Počet ekonomických subjektů v registru,Akciové společnosti,2024,27181
Česko,Počet ekonomických subjektů v registru,Akciové společnosti,2023,27170
Česko,Počet ekonomických subjektů v registru,Akciové společnosti,2022,27167
Česko,Počet ekonomických subjektů v registru,Akciové společnosti,2021,26974
Česko,Počet ekonomických subjektů v registru,Akciové společnosti,2020,26733
Česko,Počet ekonomických subjektů v registru,Akciové společnosti,2019,26556
Česko,Počet ekonomických subjektů v registru,Akciové společnosti,2018,26391
Česko,Počet ekonomických subjektů v registru,Akciové společnosti,2017,26197
Česko,Počet ekonomických subjektů v registru,Akciové společnosti,2016,26005
Česko,Počet ekonomických subjektů v registru,Akciové společnosti,2015,25710
Česko,Počet ekonomických subjektů v registru,Akciové společnosti,2014,25439
Česko,Počet ekonomických subjektů v registru,Akciové společnosti,2013,25255
Česko,Počet ekonomických subjektů v registru,Družstva,2024,11985
Česko,Počet ekonomických subjektů v registru,Družstva,2023,12284
Česko,Počet ekonomických subjektů v registru,Družstva,2022,12628
Česko,Počet ekonomických subjektů v registru,Družstva,2021,12917
Česko,Počet ekonomických subjektů v registru,Družstva,2020,13174
Česko,Počet ekonomických subjektů v registru,Družstva,2019,13463
Česko,Počet ekonomických subjektů v registru,Družstva,2018,13783
Česko,Počet ekonomických subjektů v registru,Družstva,2017,14103
Česko,Počet ekonomických subjektů v registru,Družstva,2016,14446
Česko,Počet ekonomických subjektů v registru,Družstva,2015,14831
Česko,Počet ekonomických subjektů v registru,Družstva,2014,15154
Česko,Počet ekonomických subjektů v registru,Družstva,2013,15216
Česko,Počet ekonomických subjektů v registru,Státní podniky,2024,92
Česko,Počet ekonomických subjektů v registru,Státní podniky,2023,105
Česko,Počet ekonomických subjektů v registru,Státní podniky,2022,111
Česko,Počet ekonomických subjektů v registru,Státní podniky,2021,116
Česko,Počet ekonomických subjektů v registru,Státní podniky,2020,132
Česko,Počet ekonomických subjektů v registru,Státní podniky,2019,147
Česko,Počet ekonomických subjektů v registru,Státní podniky,2018,159
Česko,Počet ekonomických subjektů v registru,Státní podniky,2017,180
Česko,Počet ekonomických subjektů v registru,Státní podniky,2016,199
Česko,Počet ekonomických subjektů v registru,Státní podniky,2015,207
Česko,Počet ekonomických subjektů v registru,Státní podniky,2014,223
Česko,Počet ekonomických subjektů v registru,Státní podniky,2013,241
