Rok,"ČR, kraje",Ukazatel,value
2024,Plzeňský kraj,Rozvody manželství s nezletilými dětmi celkem,710.0
2024,Plzeňský kraj,Rozvody manželství s 1 nezletilým dítětem,360.0
2024,Plzeňský kraj,Rozvody manželství se 2 nezletilými dětmi,302.0
2024,Plzeňský kraj,Rozvody manželství se 3+ nezletilými dětmi,48.0
2024,Plzeňský kraj,Podíl rozvodů s nezletilými dětmi (%),57.77054516
2024,Plzeňský kraj,1. rozvod muže,1006.0
2024,Plzeňský kraj,1. rozvod ženy,994.0
2024,Plzeňský kraj,2. a další rozvod muže,223.0
2024,Plzeňský kraj,2. a další rozvod ženy,235.0
2024,Karlovarský kraj,Rozvody,632.0
2024,Karlovarský kraj,Rozvody manželství s nezletilými dětmi celkem,316.0
2024,Karlovarský kraj,Rozvody manželství s 1 nezletilým dítětem,173.0
2024,Karlovarský kraj,Rozvody manželství se 2 nezletilými dětmi,121.0
2024,Karlovarský kraj,Rozvody manželství se 3+ nezletilými dětmi,22.0
2024,Karlovarský kraj,Podíl rozvodů s nezletilými dětmi (%),50.0
2024,Karlovarský kraj,1. rozvod muže,473.0
2024,Karlovarský kraj,1. rozvod ženy,468.0
2024,Karlovarský kraj,2. a další rozvod muže,159.0
2024,Karlovarský kraj,2. a další rozvod ženy,164.0
2024,Ústecký kraj,Rozvody,1655.0
2024,Ústecký kraj,Rozvody manželství s nezletilými dětmi celkem,945.0
2024,Ústecký kraj,Rozvody manželství s 1 nezletilým dítětem,520.0
2024,Ústecký kraj,Rozvody manželství se 2 nezletilými dětmi,365.0
2024,Ústecký kraj,Rozvody manželství se 3+ nezletilými dětmi,60.0
2024,Ústecký kraj,Podíl rozvodů s nezletilými dětmi (%),57.09969789
2024,Ústecký kraj,1. rozvod muže,1239.0
2024,Ústecký kraj,1. rozvod ženy,1268.0
2024,Ústecký kraj,2. a další rozvod muže,416.0
2024,Ústecký kraj,2. a další rozvod ženy,387.0
2024,Liberecký kraj,Rozvody,880.0
2024,Liberecký kraj,Rozvody manželství s nezletilými dětmi celkem,541.0
2024,Liberecký kraj,Rozvody manželství s 1 nezletilým dítětem,268.0
2024,Liberecký kraj,Rozvody manželství se 2 nezletilými dětmi,240.0
2024,Liberecký kraj,Rozvody manželství se 3+ nezletilými dětmi,33.0
2024,Liberecký kraj,Podíl rozvodů s nezletilými dětmi (%),61.47727273
2024,Liberecký kraj,1. rozvod muže,702.0
2024,Liberecký kraj,1. rozvod ženy,692.0
2024,Liberecký kraj,2. a další rozvod muže,178.0
2024,Liberecký kraj,2. a další rozvod ženy,188.0
2024,Královéhradecký kraj,Rozvody,1078.0
2024,Královéhradecký kraj,Rozvody manželství s nezletilými dětmi celkem,634.0
2024,Královéhradecký kraj,Rozvody manželství s 1 nezletilým dítětem,308.0
2024,Královéhradecký kraj,Rozvody manželství se 2 nezletilými dětmi,280.0
2024,Královéhradecký kraj,Rozvody manželství se 3+ nezletilými dětmi,46.0
2024,Královéhradecký kraj,Podíl rozvodů s nezletilými dětmi (%),58.81261596
2024,Královéhradecký kraj,1. rozvod muže,833.0
2024,Královéhradecký kraj,1. rozvod ženy,850.0
2024,Královéhradecký kraj,2. a další rozvod muže,245.0
2024,Královéhradecký kraj,2. a další rozvod ženy,228.0
2024,Pardubický kraj,Rozvody,1024.0
2024,Pardubický kraj,Rozvody manželství s nezletilými dětmi celkem,596.0
2024,Pardubický kraj,Rozvody manželství s 1 nezletilým dítětem,257.0
2024,Pardubický kraj,Rozvody manželství se 2 nezletilými dětmi,294.0
2024,Pardubický kraj,Rozvody manželství se 3+ nezletilými dětmi,45.0
2024,Pardubický kraj,Podíl rozvodů s nezletilými dětmi (%),58.203125
2024,Pardubický kraj,1. rozvod muže,847.0
2024,Pardubický kraj,1. rozvod ženy,830.0
2024,Pardubický kraj,2. a další rozvod muže,177.0
2024,Pardubický kraj,2. a další rozvod ženy,194.0
2024,Kraj Vysočina,Rozvody,888.0
2024,Kraj Vysočina,Rozvody manželství s nezletilými dětmi celkem,539.0
2024,Kraj Vysočina,Rozvody manželství s 1 nezletilým dítětem,223.0
2024,Kraj Vysočina,Rozvody manželství se 2 nezletilými dětmi,265.0
2024,Kraj Vysočina,Rozvody manželství se 3+ nezletilými dětmi,51.0
2024,Kraj Vysočina,Podíl rozvodů s nezletilými dětmi (%),60.6981982
2024,Kraj Vysočina,1. rozvod muže,767.0
2024,Kraj Vysočina,1. rozvod ženy,750.0
2024,Kraj Vysočina,2. a další rozvod muže,121.0
2024,Kraj Vysočina,2. a další rozvod ženy,138.0
2024,Jihomoravský kraj,Rozvody,2288.0
2024,Jihomoravský kraj,Rozvody manželství s nezletilými dětmi celkem,1306.0
2024,Jihomoravský kraj,Rozvody manželství s 1 nezletilým dítětem,614.0
2024,Jihomoravský kraj,Rozvody manželství se 2 nezletilými dětmi,607.0
2024,Jihomoravský kraj,Rozvody manželství se 3+ nezletilými dětmi,85.0
2024,Jihomoravský kraj,Podíl rozvodů s nezletilými dětmi (%),57.08041958
2024,Jihomoravský kraj,1. rozvod muže,1917.0
2024,Jihomoravský kraj,1. rozvod ženy,1914.0
2024,Jihomoravský kraj,2. a další rozvod muže,371.0
2024,Jihomoravský kraj,2. a další rozvod ženy,374.0
2024,Olomoucký kraj,Rozvody,1236.0
2024,Olomoucký kraj,Rozvody manželství s nezletilými dětmi celkem,729.0
2024,Olomoucký kraj,Rozvody manželství s 1 nezletilým dítětem,333.0
2024,Olomoucký kraj,Rozvody manželství se 2 nezletilými dětmi,349.0
2024,Olomoucký kraj,Rozvody manželství se 3+ nezletilými dětmi,47.0
2024,Olomoucký kraj,Podíl rozvodů s nezletilými dětmi (%),58.98058252
2024,Olomoucký kraj,1. rozvod muže,1034.0
2024,Olomoucký kraj,1. rozvod ženy,1022.0
2024,Olomoucký kraj,2. a další rozvod muže,202.0
2024,Olomoucký kraj,2. a další rozvod ženy,214.0
2024,Zlínský kraj,Rozvody,1062.0
2024,Zlínský kraj,Rozvody manželství s nezletilými dětmi celkem,615.0
2024,Zlínský kraj,Rozvody manželství s 1 nezletilým dítětem,299.0
2024,Zlínský kraj,Rozvody manželství se 2 nezletilými dětmi,268.0
2024,Zlínský kraj,Rozvody manželství se 3+ nezletilými dětmi,48.0
2024,Zlínský kraj,Podíl rozvodů s nezletilými dětmi (%),57.90960452
2024,Zlínský kraj,1. rozvod muže,893.0
2024,Zlínský kraj,1. rozvod ženy,897.0
2024,Zlínský kraj,2. a další rozvod muže,169.0
2024,Zlínský kraj,2. a další rozvod ženy,165.0
2024,Moravskoslezský kraj,Rozvody,2228.0
2024,Moravskoslezský kraj,Rozvody manželství s nezletilými dětmi celkem,1279.0
2024,Moravskoslezský kraj,Rozvody manželství s 1 nezletilým dítětem,611.0
2024,Moravskoslezský kraj,Rozvody manželství se 2 nezletilými dětmi,575.0
2024,Moravskoslezský kraj,Rozvody manželství se 3+ nezletilými dětmi,93.0
2024,Moravskoslezský kraj,Podíl rozvodů s nezletilými dětmi (%),57.40574506
2024,Moravskoslezský kraj,1. rozvod muže,1847.0
2024,Moravskoslezský kraj,1. rozvod ženy,1817.0
2024,Moravskoslezský kraj,2. a další rozvod muže,381.0
2024,Moravskoslezský kraj,2. a další rozvod ženy,411.0
