Území,Typ ceny,Očištění,Země,Čtvrtletí,Ukazatel,value
Česko,Běžné ceny,Bez očištění,Svět celkem,3. čtvrtletí 2024,Obrat zboží (meziroční index),109.581110609
Česko,Běžné ceny,Bez očištění,Svět celkem,2. čtvrtletí 2024,"Vývoz (v mil. Kč, FOB)",1186431.971385
Česko,Běžné ceny,Bez očištění,Svět celkem,2. čtvrtletí 2024,"Dovoz (v mil. Kč, CIF)",1115443.430367
Česko,Běžné ceny,Bez očištění,Svět celkem,2. čtvrtletí 2024,Bilance (v mil. Kč),70988.541018
Česko,Běžné ceny,Bez očištění,Svět celkem,2. čtvrtletí 2024,Obrat zboží (v mil. Kč),2301875.401752
Česko,Běžné ceny,Bez očištění,Svět celkem,2. čtvrtletí 2024,Vývoz (meziroční index),104.7005744015
Česko,Běžné ceny,Bez očištění,Svět celkem,2. čtvrtletí 2024,Dovoz (meziroční index),101.682577774
Česko,Běžné ceny,Bez očištění,Svět celkem,2. čtvrtletí 2024,Obrat zboží (meziroční index),103.216057296
Česko,Běžné ceny,Bez očištění,Svět celkem,1. čtvrtletí 2024,"Vývoz (v mil. Kč, FOB)",1155415.585622
Česko,Běžné ceny,Bez očištění,Svět celkem,1. čtvrtletí 2024,"Dovoz (v mil. Kč, CIF)",1073132.667783
Česko,Běžné ceny,Bez očištění,Svět celkem,1. čtvrtletí 2024,Bilance (v mil. Kč),82282.917839
Česko,Běžné ceny,Bez očištění,Svět celkem,1. čtvrtletí 2024,Obrat zboží (v mil. Kč),2228548.253405
Česko,Běžné ceny,Bez očištění,Svět celkem,1. čtvrtletí 2024,Vývoz (meziroční index),99.9130985669
Česko,Běžné ceny,Bez očištění,Svět celkem,1. čtvrtletí 2024,Dovoz (meziroční index),96.1988921399
Česko,Běžné ceny,Bez očištění,Svět celkem,1. čtvrtletí 2024,Obrat zboží (meziroční index),98.0894150004
Česko,Běžné ceny,Bez očištění,Svět celkem,4. čtvrtletí 2023,"Vývoz (v mil. Kč, FOB)",1132920.925249
Česko,Běžné ceny,Bez očištění,Svět celkem,4. čtvrtletí 2023,"Dovoz (v mil. Kč, CIF)",1086260.876191
Česko,Běžné ceny,Bez očištění,Svět celkem,4. čtvrtletí 2023,Bilance (v mil. Kč),46660.049058
Česko,Běžné ceny,Bez očištění,Svět celkem,4. čtvrtletí 2023,Obrat zboží (v mil. Kč),2219181.80144
Česko,Běžné ceny,Bez očištění,Svět celkem,4. čtvrtletí 2023,Vývoz (meziroční index),98.8495792691
Česko,Běžné ceny,Bez očištění,Svět celkem,4. čtvrtletí 2023,Dovoz (meziroční index),90.4655428728
Česko,Běžné ceny,Bez očištění,Svět celkem,4. čtvrtletí 2023,Obrat zboží (meziroční index),94.5599623699
Česko,Běžné ceny,Bez očištění,Svět celkem,3. čtvrtletí 2023,"Vývoz (v mil. Kč, FOB)",1019935.119415
Česko,Běžné ceny,Bez očištění,Svět celkem,3. čtvrtletí 2023,"Dovoz (v mil. Kč, CIF)",1021158.661302
Česko,Běžné ceny,Bez očištění,Svět celkem,3. čtvrtletí 2023,Bilance (v mil. Kč),-1223.541887
Česko,Běžné ceny,Bez očištění,Svět celkem,3. čtvrtletí 2023,Obrat zboží (v mil. Kč),2041093.780717
Česko,Běžné ceny,Bez očištění,Svět celkem,3. čtvrtletí 2023,Vývoz (meziroční index),93.273537921
Česko,Běžné ceny,Bez očištění,Svět celkem,3. čtvrtletí 2023,Dovoz (meziroční index),88.1980246315
Česko,Běžné ceny,Bez očištění,Svět celkem,3. čtvrtletí 2023,Obrat zboží (meziroční index),90.6632836145
Česko,Běžné ceny,Bez očištění,Svět celkem,2. čtvrtletí 2023,"Vývoz (v mil. Kč, FOB)",1133166.630811
Česko,Běžné ceny,Bez očištění,Svět celkem,2. čtvrtletí 2023,"Dovoz (v mil. Kč, CIF)",1096985.791259
Česko,Běžné ceny,Bez očištění,Svět celkem,2. čtvrtletí 2023,Bilance (v mil. Kč),36180.839552
Česko,Běžné ceny,Bez očištění,Svět celkem,2. čtvrtletí 2023,Obrat zboží (v mil. Kč),2230152.42207
Česko,Běžné ceny,Bez očištění,Svět celkem,2. čtvrtletí 2023,Vývoz (meziroční index),100.9053410104
Česko,Běžné ceny,Bez očištění,Svět celkem,2. čtvrtletí 2023,Dovoz (meziroční index),91.7039791593
Česko,Běžné ceny,Bez očištění,Svět celkem,2. čtvrtletí 2023,Obrat zboží (meziroční index),96.1594021419
Česko,Běžné ceny,Bez očištění,Svět celkem,1. čtvrtletí 2023,"Vývoz (v mil. Kč, FOB)",1156420.531637
Česko,Běžné ceny,Bez očištění,Svět celkem,1. čtvrtletí 2023,"Dovoz (v mil. Kč, CIF)",1115535.370431
Česko,Běžné ceny,Bez očištění,Svět celkem,1. čtvrtletí 2023,Bilance (v mil. Kč),40885.161206
Česko,Běžné ceny,Bez očištění,Svět celkem,1. čtvrtletí 2023,Obrat zboží (v mil. Kč),2271955.902068
Česko,Běžné ceny,Bez očištění,Svět celkem,1. čtvrtletí 2023,Vývoz (meziroční index),110.691327997
Česko,Běžné ceny,Bez očištění,Svět celkem,1. čtvrtletí 2023,Dovoz (meziroční index),105.5018043467
Česko,Běžné ceny,Bez očištění,Svět celkem,1. čtvrtletí 2023,Obrat zboží (meziroční index),108.0809687276
Česko,Běžné ceny,Bez očištění,Svět celkem,4. čtvrtletí 2022,"Vývoz (v mil. Kč, FOB)",1146105.965878
Česko,Běžné ceny,Bez očištění,Svět celkem,4. čtvrtletí 2022,"Dovoz (v mil. Kč, CIF)",1200745.434887
Česko,Běžné ceny,Bez očištění,Svět celkem,4. čtvrtletí 2022,Bilance (v mil. Kč),-54639.469009
Česko,Běžné ceny,Bez očištění,Svět celkem,4. čtvrtletí 2022,Obrat zboží (v mil. Kč),2346851.400765
Česko,Běžné ceny,Bez očištění,Svět celkem,4. čtvrtletí 2022,Vývoz (meziroční index),113.2349800396
Česko,Běžné ceny,Bez očištění,Svět celkem,4. čtvrtletí 2022,Dovoz (meziroční index),115.2991180633
Česko,Běžné ceny,Bez očištění,Svět celkem,4. čtvrtletí 2022,Obrat zboží (meziroční index),114.2817590795
Česko,Běžné ceny,Bez očištění,Svět celkem,3. čtvrtletí 2022,"Vývoz (v mil. Kč, FOB)",1093488.187699
Česko,Běžné ceny,Bez očištění,Svět celkem,3. čtvrtletí 2022,"Dovoz (v mil. Kč, CIF)",1157802.19066
Česko,Běžné ceny,Bez očištění,Svět celkem,3. čtvrtletí 2022,Bilance (v mil. Kč),-64314.002961
Česko,Běžné ceny,Bez očištění,Svět celkem,3. čtvrtletí 2022,Obrat zboží (v mil. Kč),2251290.378359
Česko,Běžné ceny,Bez očištění,Svět celkem,3. čtvrtletí 2022,Vývoz (meziroční index),122.4708799174
Česko,Běžné ceny,Bez očištění,Svět celkem,3. čtvrtletí 2022,Dovoz (meziroční index),122.1882671808
Česko,Běžné ceny,Bez očištění,Svět celkem,3. čtvrtletí 2022,Obrat zboží (meziroční index),122.3253736744
Česko,Běžné ceny,Bez očištění,Svět celkem,2. čtvrtletí 2022,"Vývoz (v mil. Kč, FOB)",1122999.654393
Česko,Běžné ceny,Bez očištění,Svět celkem,2. čtvrtletí 2022,"Dovoz (v mil. Kč, CIF)",1196224.854489
Česko,Běžné ceny,Bez očištění,Svět celkem,2. čtvrtletí 2022,Bilance (v mil. Kč),-73225.200096
Česko,Běžné ceny,Bez očištění,Svět celkem,2. čtvrtletí 2022,Obrat zboží (v mil. Kč),2319224.508882
Česko,Běžné ceny,Bez očištění,Svět celkem,2. čtvrtletí 2022,Vývoz (meziroční index),111.2871639683
Česko,Běžné ceny,Bez očištění,Svět celkem,2. čtvrtletí 2022,Dovoz (meziroční index),120.193090002
Česko,Běžné ceny,Bez očištění,Svět celkem,2. čtvrtletí 2022,Obrat zboží (meziroční index),115.709361209
Česko,Běžné ceny,Bez očištění,Svět celkem,1. čtvrtletí 2022,"Vývoz (v mil. Kč, FOB)",1044725.501593
Česko,Běžné ceny,Bez očištění,Svět celkem,1. čtvrtletí 2022,"Dovoz (v mil. Kč, CIF)",1057361.414185
Česko,Běžné ceny,Bez očištění,Svět celkem,1. čtvrtletí 2022,Bilance (v mil. Kč),-12635.912592
Česko,Běžné ceny,Bez očištění,Svět celkem,1. čtvrtletí 2022,Obrat zboží (v mil. Kč),2102086.915778
Česko,Běžné ceny,Bez očištění,Svět celkem,1. čtvrtletí 2022,Vývoz (meziroční index),108.0064988442
Česko,Běžné ceny,Bez očištění,Svět celkem,1. čtvrtletí 2022,Dovoz (meziroční index),116.6597651109
Česko,Běžné ceny,Bez očištění,Svět celkem,1. čtvrtletí 2022,Obrat zboží (meziroční index),112.1924623572
Česko,Běžné ceny,Bez očištění,Svět celkem,4. čtvrtletí 2021,"Vývoz (v mil. Kč, FOB)",1012148.33568
Česko,Běžné ceny,Bez očištění,Svět celkem,4. čtvrtletí 2021,"Dovoz (v mil. Kč, CIF)",1041417.709915
Česko,Běžné ceny,Bez očištění,Svět celkem,4. čtvrtletí 2021,Bilance (v mil. Kč),-29269.374235
Česko,Běžné ceny,Bez očištění,Svět celkem,4. čtvrtletí 2021,Obrat zboží (v mil. Kč),2053566.045595
Česko,Běžné ceny,Bez očištění,Svět celkem,4. čtvrtletí 2021,Vývoz (meziroční index),102.7491985255
Česko,Běžné ceny,Bez očištění,Svět celkem,4. čtvrtletí 2021,Dovoz (meziroční index),114.9230303008
Česko,Běžné ceny,Bez očištění,Svět celkem,4. čtvrtletí 2021,Obrat zboží (meziroční index),108.5822434541
Česko,Běžné ceny,Bez očištění,Svět celkem,3. čtvrtletí 2021,"Vývoz (v mil. Kč, FOB)",892855.663678
Česko,Běžné ceny,Bez očištění,Svět celkem,3. čtvrtletí 2021,"Dovoz (v mil. Kč, CIF)",947555.945733
Česko,Běžné ceny,Bez očištění,Svět celkem,3. čtvrtletí 2021,Bilance (v mil. Kč),-54700.282055
Česko,Běžné ceny,Bez očištění,Svět celkem,3. čtvrtletí 2021,Obrat zboží (v mil. Kč),1840411.609411
Česko,Běžné ceny,Bez očištění,Svět celkem,3. čtvrtletí 2021,Vývoz (meziroční index),103.4515742189
Česko,Běžné ceny,Bez očištění,Svět celkem,3. čtvrtletí 2021,Dovoz (meziroční index),117.3037939611
Česko,Běžné ceny,Bez očištění,Svět celkem,3. čtvrtletí 2021,Obrat zboží (meziroční index),110.1485051208
Česko,Běžné ceny,Bez očištění,Svět celkem,2. čtvrtletí 2021,"Vývoz (v mil. Kč, FOB)",1009100.793253
Česko,Běžné ceny,Bez očištění,Svět celkem,2. čtvrtletí 2021,"Dovoz (v mil. Kč, CIF)",995252.601018
Česko,Běžné ceny,Bez očištění,Svět celkem,2. čtvrtletí 2021,Bilance (v mil. Kč),13848.192235
Česko,Běžné ceny,Bez očištění,Svět celkem,2. čtvrtletí 2021,Obrat zboží (v mil. Kč),2004353.394271
Česko,Běžné ceny,Bez očištění,Svět celkem,2. čtvrtletí 2021,Vývoz (meziroční index),141.9810949561
Česko,Běžné ceny,Bez očištění,Svět celkem,2. čtvrtletí 2021,Dovoz (meziroční index),141.8874993166
Česko,Běžné ceny,Bez očištění,Svět celkem,2. čtvrtletí 2021,Obrat zboží (meziroční index),141.9346050359
Česko,Běžné ceny,Bez očištění,Svět celkem,1. čtvrtletí 2021,"Vývoz (v mil. Kč, FOB)",967280.221813
Česko,Běžné ceny,Bez očištění,Svět celkem,1. čtvrtletí 2021,"Dovoz (v mil. Kč, CIF)",906363.400595
Česko,Běžné ceny,Bez očištění,Svět celkem,1. čtvrtletí 2021,Bilance (v mil. Kč),60916.821218
Česko,Běžné ceny,Bez očištění,Svět celkem,1. čtvrtletí 2021,Obrat zboží (v mil. Kč),1873643.622408
Česko,Běžné ceny,Bez očištění,Svět celkem,1. čtvrtletí 2021,Vývoz (meziroční index),110.9623133044
Česko,Běžné ceny,Bez očištění,Svět celkem,1. čtvrtletí 2021,Dovoz (meziroční index),108.4767312925
Česko,Běžné ceny,Bez očištění,Svět celkem,1. čtvrtletí 2021,Obrat zboží (meziroční index),109.7458611587
Česko,Běžné ceny,Bez očištění,Svět celkem,4. čtvrtletí 2020,"Vývoz (v mil. Kč, FOB)",985066.891231
Česko,Běžné ceny,Bez očištění,Svět celkem,4. čtvrtletí 2020,"Dovoz (v mil. Kč, CIF)",906187.129933
Česko,Běžné ceny,Bez očištění,Svět celkem,4. čtvrtletí 2020,Bilance (v mil. Kč),78879.761298
Česko,Běžné ceny,Bez očištění,Svět celkem,4. čtvrtletí 2020,Obrat zboží (v mil. Kč),1891254.021164
Česko,Běžné ceny,Bez očištění,Svět celkem,4. čtvrtletí 2020,Vývoz (meziroční index),107.4118522659
Česko,Běžné ceny,Bez očištění,Svět celkem,4. čtvrtletí 2020,Dovoz (meziroční index),100.2231493654
Česko,Běžné ceny,Bez očištění,Svět celkem,4. čtvrtletí 2020,Obrat zboží (meziroční index),103.8430065886
Česko,Běžné ceny,Bez očištění,Svět celkem,3. čtvrtletí 2020,"Vývoz (v mil. Kč, FOB)",863066.290116
Česko,Běžné ceny,Bez očištění,Svět celkem,3. čtvrtletí 2020,"Dovoz (v mil. Kč, CIF)",807779.453448
Česko,Běžné ceny,Bez očištění,Svět celkem,3. čtvrtletí 2020,Bilance (v mil. Kč),55286.836668
Česko,Běžné ceny,Bez očištění,Svět celkem,3. čtvrtletí 2020,Obrat zboží (v mil. Kč),1670845.743564
Česko,Běžné ceny,Bez očištění,Svět celkem,3. čtvrtletí 2020,Vývoz (meziroční index),96.4214388271
Česko,Běžné ceny,Bez očištění,Svět celkem,3. čtvrtletí 2020,Dovoz (meziroční index),93.1087635476
Česko,Běžné ceny,Bez očištění,Svět celkem,3. čtvrtletí 2020,Obrat zboží (meziroční index),94.7909728766
Česko,Běžné ceny,Bez očištění,Svět celkem,2. čtvrtletí 2020,"Vývoz (v mil. Kč, FOB)",710728.983718
Česko,Běžné ceny,Bez očištění,Svět celkem,2. čtvrtletí 2020,"Dovoz (v mil. Kč, CIF)",701437.833362
Česko,Běžné ceny,Bez očištění,Svět celkem,2. čtvrtletí 2020,Bilance (v mil. Kč),9291.150356
Česko,Běžné ceny,Bez očištění,Svět celkem,2. čtvrtletí 2020,Obrat zboží (v mil. Kč),1412166.81708
Česko,Běžné ceny,Bez očištění,Svět celkem,2. čtvrtletí 2020,Vývoz (meziroční index),74.9625024206
Česko,Běžné ceny,Bez očištění,Svět celkem,2. čtvrtletí 2020,Dovoz (meziroční index),78.7142717216
Česko,Běžné ceny,Bez očištění,Svět celkem,2. čtvrtletí 2020,Obrat zboží (meziroční index),76.7802576097
Česko,Běžné ceny,Bez očištění,Svět celkem,1. čtvrtletí 2020,"Vývoz (v mil. Kč, FOB)",871719.589298
Česko,Běžné ceny,Bez očištění,Svět celkem,1. čtvrtletí 2020,"Dovoz (v mil. Kč, CIF)",835537.160639
Česko,Běžné ceny,Bez očištění,Svět celkem,1. čtvrtletí 2020,Bilance (v mil. Kč),36182.428659
Česko,Běžné ceny,Bez očištění,Svět celkem,1. čtvrtletí 2020,Obrat zboží (v mil. Kč),1707256.749937
Česko,Běžné ceny,Bez očištění,Svět celkem,1. čtvrtletí 2020,Vývoz (meziroční index),93.5864363884
Česko,Běžné ceny,Bez očištění,Svět celkem,1. čtvrtletí 2020,Dovoz (meziroční index),94.601832379
Česko,Běžné ceny,Bez očištění,Svět celkem,1. čtvrtletí 2020,Obrat zboží (meziroční index),94.0806367689
Česko,Běžné ceny,Bez očištění,Svět celkem,4. čtvrtletí 2019,"Vývoz (v mil. Kč, FOB)",917093.291337
Česko,Běžné ceny,Bez očištění,Svět celkem,4. čtvrtletí 2019,"Dovoz (v mil. Kč, CIF)",904169.481473
Česko,Běžné ceny,Bez očištění,Svět celkem,4. čtvrtletí 2019,Bilance (v mil. Kč),12923.809864
Česko,Běžné ceny,Bez očištění,Svět celkem,4. čtvrtletí 2019,Obrat zboží (v mil. Kč),1821262.77281
Česko,Běžné ceny,Bez očištění,Svět celkem,4. čtvrtletí 2019,Vývoz (meziroční index),96.8363831145
Česko,Běžné ceny,Bez očištění,Svět celkem,4. čtvrtletí 2019,Dovoz (meziroční index),96.6801956137
Česko,Běžné ceny,Bez očištění,Svět celkem,4. čtvrtletí 2019,Obrat zboží (meziroční index),96.7587804961
Česko,Běžné ceny,Bez očištění,Svět celkem,3. čtvrtletí 2019,"Vývoz (v mil. Kč, FOB)",895097.91662
Česko,Běžné ceny,Bez očištění,Svět celkem,3. čtvrtletí 2019,"Dovoz (v mil. Kč, CIF)",867565.439246
Česko,Běžné ceny,Bez očištění,Svět celkem,3. čtvrtletí 2019,Bilance (v mil. Kč),27532.477374
Česko,Běžné ceny,Bez očištění,Svět celkem,3. čtvrtletí 2019,Obrat zboží (v mil. Kč),1762663.355866
Česko,Běžné ceny,Bez očištění,Svět celkem,3. čtvrtletí 2019,Vývoz (meziroční index),104.8286280232
Česko,Běžné ceny,Bez očištění,Svět celkem,3. čtvrtletí 2019,Dovoz (meziroční index),101.0984183013
Česko,Běžné ceny,Bez očištění,Svět celkem,3. čtvrtletí 2019,Obrat zboží (meziroční index),102.9588695034
Česko,Běžné ceny,Bez očištění,Svět celkem,2. čtvrtletí 2019,"Vývoz (v mil. Kč, FOB)",948112.670693
Česko,Běžné ceny,Bez očištění,Svět celkem,2. čtvrtletí 2019,"Dovoz (v mil. Kč, CIF)",891119.002972
Česko,Běžné ceny,Bez očištění,Svět celkem,2. čtvrtletí 2019,Bilance (v mil. Kč),56993.667721
Česko,Běžné ceny,Bez očištění,Svět celkem,2. čtvrtletí 2019,Obrat zboží (v mil. Kč),1839231.673665
Česko,Běžné ceny,Bez očištění,Svět celkem,2. čtvrtletí 2019,Vývoz (meziroční index),103.3683840658
Česko,Běžné ceny,Bez očištění,Svět celkem,2. čtvrtletí 2019,Dovoz (meziroční index),101.0619237694
Česko,Běžné ceny,Bez očištění,Svět celkem,2. čtvrtletí 2019,Obrat zboží (meziroční index),102.2378867031
Česko,Běžné ceny,Bez očištění,Svět celkem,1. čtvrtletí 2019,"Vývoz (v mil. Kč, FOB)",931459.325666
Česko,Běžné ceny,Bez očištění,Svět celkem,1. čtvrtletí 2019,"Dovoz (v mil. Kč, CIF)",883214.563214
Česko,Běžné ceny,Bez očištění,Svět celkem,1. čtvrtletí 2019,Bilance (v mil. Kč),48244.762452
Česko,Běžné ceny,Bez očištění,Svět celkem,1. čtvrtletí 2019,Obrat zboží (v mil. Kč),1814673.88888
Česko,Běžné ceny,Bez očištění,Svět celkem,1. čtvrtletí 2019,Vývoz (meziroční index),103.7143750821
Česko,Běžné ceny,Bez očištění,Svět celkem,1. čtvrtletí 2019,Dovoz (meziroční index),104.8123766789
Česko,Běžné ceny,Bez očištění,Svět celkem,1. čtvrtletí 2019,Obrat zboží (meziroční index),104.2458918663
Česko,Běžné ceny,Bez očištění,Svět celkem,4. čtvrtletí 2018,"Vývoz (v mil. Kč, FOB)",947054.466349
Česko,Běžné ceny,Bez očištění,Svět celkem,4. čtvrtletí 2018,"Dovoz (v mil. Kč, CIF)",935216.851532
Česko,Běžné ceny,Bez očištění,Svět celkem,4. čtvrtletí 2018,Bilance (v mil. Kč),11837.614817
Česko,Běžné ceny,Bez očištění,Svět celkem,4. čtvrtletí 2018,Obrat zboží (v mil. Kč),1882271.317881
Česko,Běžné ceny,Bez očištění,Svět celkem,4. čtvrtletí 2018,Vývoz (meziroční index),107.0878738692
Česko,Běžné ceny,Bez očištění,Svět celkem,4. čtvrtletí 2018,Dovoz (meziroční index),107.7846796086
Česko,Běžné ceny,Bez očištění,Svět celkem,4. čtvrtletí 2018,Obrat zboží (meziroční index),107.4329558706
Česko,Běžné ceny,Bez očištění,Svět celkem,3. čtvrtletí 2018,"Vývoz (v mil. Kč, FOB)",853867.815977
Česko,Běžné ceny,Bez očištění,Svět celkem,3. čtvrtletí 2018,"Dovoz (v mil. Kč, CIF)",858139.478167
Česko,Běžné ceny,Bez očištění,Svět celkem,3. čtvrtletí 2018,Bilance (v mil. Kč),-4271.66219
Česko,Běžné ceny,Bez očištění,Svět celkem,3. čtvrtletí 2018,Obrat zboží (v mil. Kč),1712007.294144
Česko,Běžné ceny,Bez očištění,Svět celkem,3. čtvrtletí 2018,Vývoz (meziroční index),104.9120486976
Česko,Běžné ceny,Bez očištění,Svět celkem,3. čtvrtletí 2018,Dovoz (meziroční index),108.3224106009
Česko,Běžné ceny,Bez očištění,Svět celkem,3. čtvrtletí 2018,Obrat zboží (meziroční index),106.5942115762
Česko,Běžné ceny,Bez očištění,Svět celkem,2. čtvrtletí 2018,"Vývoz (v mil. Kč, FOB)",917217.270311
Česko,Běžné ceny,Bez očištění,Svět celkem,2. čtvrtletí 2018,"Dovoz (v mil. Kč, CIF)",881755.432447
Česko,Běžné ceny,Bez očištění,Svět celkem,2. čtvrtletí 2018,Bilance (v mil. Kč),35461.837864
Česko,Běžné ceny,Bez očištění,Svět celkem,2. čtvrtletí 2018,Obrat zboží (v mil. Kč),1798972.702758
Česko,Běžné ceny,Bez očištění,Svět celkem,2. čtvrtletí 2018,Vývoz (meziroční index),101.3894196447
Česko,Běžné ceny,Bez očištění,Svět celkem,2. čtvrtletí 2018,Dovoz (meziroční index),103.3878866759
Česko,Běžné ceny,Bez očištění,Svět celkem,2. čtvrtletí 2018,Obrat zboží (meziroční index),102.3592099215
Česko,Běžné ceny,Bez očištění,Svět celkem,1. čtvrtletí 2018,"Vývoz (v mil. Kč, FOB)",898100.504321
Česko,Běžné ceny,Bez očištění,Svět celkem,1. čtvrtletí 2018,"Dovoz (v mil. Kč, CIF)",842662.470979
Česko,Běžné ceny,Bez očištění,Svět celkem,1. čtvrtletí 2018,Bilance (v mil. Kč),55438.033342
Česko,Běžné ceny,Bez očištění,Svět celkem,1. čtvrtletí 2018,Obrat zboží (v mil. Kč),1740762.9753
Česko,Běžné ceny,Bez očištění,Svět celkem,1. čtvrtletí 2018,Vývoz (meziroční index),98.6935658103
Česko,Běžné ceny,Bez očištění,Svět celkem,1. čtvrtletí 2018,Dovoz (meziroční index),100.7139244002
Česko,Běžné ceny,Bez očištění,Svět celkem,1. čtvrtletí 2018,Obrat zboží (meziroční index),99.6613526865
Česko,Běžné ceny,Bez očištění,Svět celkem,4. čtvrtletí 2017,"Vývoz (v mil. Kč, FOB)",884371.341153
Česko,Běžné ceny,Bez očištění,Svět celkem,4. čtvrtletí 2017,"Dovoz (v mil. Kč, CIF)",867671.464872
Česko,Běžné ceny,Bez očištění,Svět celkem,4. čtvrtletí 2017,Bilance (v mil. Kč),16699.876281
Česko,Běžné ceny,Bez očištění,Svět celkem,4. čtvrtletí 2017,Obrat zboží (v mil. Kč),1752042.806025
Česko,Běžné ceny,Bez očištění,Svět celkem,4. čtvrtletí 2017,Vývoz (meziroční index),105.9059886317
Česko,Běžné ceny,Bez očištění,Svět celkem,4. čtvrtletí 2017,Dovoz (meziroční index),105.7641002001
Česko,Běžné ceny,Bez očištění,Svět celkem,4. čtvrtletí 2017,Obrat zboží (meziroční index),105.8356730801
Česko,Běžné ceny,Bez očištění,Svět celkem,3. čtvrtletí 2017,"Vývoz (v mil. Kč, FOB)",813889.182965
Česko,Běžné ceny,Bez očištění,Svět celkem,3. čtvrtletí 2017,"Dovoz (v mil. Kč, CIF)",792208.823563
Česko,Běžné ceny,Bez očištění,Svět celkem,3. čtvrtletí 2017,Bilance (v mil. Kč),21680.359402
Česko,Běžné ceny,Bez očištění,Svět celkem,3. čtvrtletí 2017,Obrat zboží (v mil. Kč),1606098.006528
Česko,Běžné ceny,Bez očištění,Svět celkem,3. čtvrtletí 2017,Vývoz (meziroční index),104.5988102195
Česko,Běžné ceny,Bez očištění,Svět celkem,3. čtvrtletí 2017,Dovoz (meziroční index),105.400404508
Česko,Běžné ceny,Bez očištění,Svět celkem,3. čtvrtletí 2017,Obrat zboží (meziroční index),104.9926675552
Česko,Běžné ceny,Bez očištění,Svět celkem,2. čtvrtletí 2017,"Vývoz (v mil. Kč, FOB)",904647.914472
Česko,Běžné ceny,Bez očištění,Svět celkem,2. čtvrtletí 2017,"Dovoz (v mil. Kč, CIF)",852861.565975
Česko,Běžné ceny,Bez očištění,Svět celkem,2. čtvrtletí 2017,Bilance (v mil. Kč),51786.348497
Česko,Běžné ceny,Bez očištění,Svět celkem,2. čtvrtletí 2017,Obrat zboží (v mil. Kč),1757509.480447
