Území,Čtvrtletí,Typ ceny,Očištění,CZCPA,Ukazatel,value
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"02 Produkty lesnictví, těžby dřeva a související služby","Vývoz (v mil. Kč, FOB)",2702.690444
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"02 Produkty lesnictví, těžby dřeva a související služby","Dovoz (v mil. Kč, CIF)",1409.207874
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"02 Produkty lesnictví, těžby dřeva a související služby",Bilance (v mil. Kč),1293.48257
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"02 Produkty lesnictví, těžby dřeva a související služby",Obrat zboží (v mil. Kč),4111.898318
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"02 Produkty lesnictví, těžby dřeva a související služby",Vývoz (meziroční index),89.2526289291
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"02 Produkty lesnictví, těžby dřeva a související služby",Dovoz (meziroční index),134.6402782177
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"02 Produkty lesnictví, těžby dřeva a související služby",Obrat zboží (meziroční index),100.9108792131
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,03 Ryby a jiné produkty rybolovu; produkty akvakultury; podpůrné služby pro rybolov a akvakulturu,"Vývoz (v mil. Kč, FOB)",843.795563
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,03 Ryby a jiné produkty rybolovu; produkty akvakultury; podpůrné služby pro rybolov a akvakulturu,"Dovoz (v mil. Kč, CIF)",631.655636
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,03 Ryby a jiné produkty rybolovu; produkty akvakultury; podpůrné služby pro rybolov a akvakulturu,Bilance (v mil. Kč),212.139927
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,03 Ryby a jiné produkty rybolovu; produkty akvakultury; podpůrné služby pro rybolov a akvakulturu,Obrat zboží (v mil. Kč),1475.451199
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,03 Ryby a jiné produkty rybolovu; produkty akvakultury; podpůrné služby pro rybolov a akvakulturu,Vývoz (meziroční index),95.1935037734
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,03 Ryby a jiné produkty rybolovu; produkty akvakultury; podpůrné služby pro rybolov a akvakulturu,Dovoz (meziroční index),97.1983010889
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,03 Ryby a jiné produkty rybolovu; produkty akvakultury; podpůrné služby pro rybolov a akvakulturu,Obrat zboží (meziroční index),96.0415637086
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,05 Černé a hnědé uhlí a lignit,"Vývoz (v mil. Kč, FOB)",1909.19804
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,05 Černé a hnědé uhlí a lignit,"Dovoz (v mil. Kč, CIF)",2965.757196
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,05 Černé a hnědé uhlí a lignit,Bilance (v mil. Kč),-1056.559156
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,05 Černé a hnědé uhlí a lignit,Obrat zboží (v mil. Kč),4874.955236
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,05 Černé a hnědé uhlí a lignit,Vývoz (meziroční index),110.0440727252
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,05 Černé a hnědé uhlí a lignit,Dovoz (meziroční index),78.3626185136
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,05 Černé a hnědé uhlí a lignit,Obrat zboží (meziroční index),88.3208454229
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,06 Ropa a zemní plyn,"Vývoz (v mil. Kč, FOB)",266.109621
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,06 Ropa a zemní plyn,"Dovoz (v mil. Kč, CIF)",41135.73378
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,06 Ropa a zemní plyn,Bilance (v mil. Kč),-40869.624159
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,06 Ropa a zemní plyn,Obrat zboží (v mil. Kč),41401.843401
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,06 Ropa a zemní plyn,Vývoz (meziroční index),524.4740711542
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,06 Ropa a zemní plyn,Dovoz (meziroční index),81.3678261624
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,06 Ropa a zemní plyn,Obrat zboží (meziroční index),81.8120913064
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,07 Rudy,"Vývoz (v mil. Kč, FOB)",24.019298
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,07 Rudy,"Dovoz (v mil. Kč, CIF)",2451.581346
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,07 Rudy,Bilance (v mil. Kč),-2427.562048
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,07 Rudy,Obrat zboží (v mil. Kč),2475.600644
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,07 Rudy,Vývoz (meziroční index),94.2606904636
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,07 Rudy,Dovoz (meziroční index),102.2975312813
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,07 Rudy,Obrat zboží (meziroční index),102.2129760452
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,"Vývoz (v mil. Kč, FOB)",1389.990845
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,"Dovoz (v mil. Kč, CIF)",1748.309366
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,Bilance (v mil. Kč),-358.318521
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,Obrat zboží (v mil. Kč),3138.300211
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,Vývoz (meziroční index),106.2556080445
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,Dovoz (meziroční index),112.4405808448
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,Obrat zboží (meziroční index),109.614583655
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací","Vývoz (v mil. Kč, FOB)",51020.297054
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací","Dovoz (v mil. Kč, CIF)",66918.976048
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",Bilance (v mil. Kč),-15898.678994
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",Obrat zboží (v mil. Kč),117939.273102
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",Vývoz (meziroční index),113.2514910775
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",Dovoz (meziroční index),113.7501138107
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",Obrat zboží (meziroční index),113.533872764
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"11 Nápoje, vč. subdodavatelských prací","Vývoz (v mil. Kč, FOB)",5854.03579
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"11 Nápoje, vč. subdodavatelských prací","Dovoz (v mil. Kč, CIF)",6786.646195
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"11 Nápoje, vč. subdodavatelských prací",Bilance (v mil. Kč),-932.610405
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"11 Nápoje, vč. subdodavatelských prací",Obrat zboží (v mil. Kč),12640.681985
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"11 Nápoje, vč. subdodavatelských prací",Vývoz (meziroční index),112.3516473795
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"11 Nápoje, vč. subdodavatelských prací",Dovoz (meziroční index),109.0108401162
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"11 Nápoje, vč. subdodavatelských prací",Obrat zboží (meziroční index),110.5329592369
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"12 Tabákové výrobky, vč. subdodavatelských prací","Vývoz (v mil. Kč, FOB)",571.992982
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"12 Tabákové výrobky, vč. subdodavatelských prací","Dovoz (v mil. Kč, CIF)",5090.962971
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"12 Tabákové výrobky, vč. subdodavatelských prací",Bilance (v mil. Kč),-4518.969989
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"12 Tabákové výrobky, vč. subdodavatelských prací",Obrat zboží (v mil. Kč),5662.955953
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"12 Tabákové výrobky, vč. subdodavatelských prací",Vývoz (meziroční index),147.5321188521
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"12 Tabákové výrobky, vč. subdodavatelských prací",Dovoz (meziroční index),149.5923028269
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"12 Tabákové výrobky, vč. subdodavatelských prací",Obrat zboží (meziroční index),149.381603059
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"13 Textilie, vč. souvisejících služeb a prací","Vývoz (v mil. Kč, FOB)",14149.458712
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"13 Textilie, vč. souvisejících služeb a prací","Dovoz (v mil. Kč, CIF)",13523.642146
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"13 Textilie, vč. souvisejících služeb a prací",Bilance (v mil. Kč),625.816566
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"13 Textilie, vč. souvisejících služeb a prací",Obrat zboží (v mil. Kč),27673.100858
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"13 Textilie, vč. souvisejících služeb a prací",Vývoz (meziroční index),102.9962244221
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"13 Textilie, vč. souvisejících služeb a prací",Dovoz (meziroční index),101.6760422623
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"13 Textilie, vč. souvisejících služeb a prací",Obrat zboží (meziroční index),102.3468048696
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"14 Oděvy, vč. subdodavatelských prací","Vývoz (v mil. Kč, FOB)",7173.003417
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"14 Oděvy, vč. subdodavatelských prací","Dovoz (v mil. Kč, CIF)",17073.181945
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"14 Oděvy, vč. subdodavatelských prací",Bilance (v mil. Kč),-9900.178528
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"14 Oděvy, vč. subdodavatelských prací",Obrat zboží (v mil. Kč),24246.185362
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"14 Oděvy, vč. subdodavatelských prací",Vývoz (meziroční index),112.2902654188
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"14 Oděvy, vč. subdodavatelských prací",Dovoz (meziroční index),108.2093276601
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"14 Oděvy, vč. subdodavatelských prací",Obrat zboží (meziroční index),109.3854021976
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"15 Usně a související výrobky, vč. subdodavatelských prací","Vývoz (v mil. Kč, FOB)",4029.872281
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"15 Usně a související výrobky, vč. subdodavatelských prací","Dovoz (v mil. Kč, CIF)",7876.095537
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"15 Usně a související výrobky, vč. subdodavatelských prací",Bilance (v mil. Kč),-3846.223256
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"15 Usně a související výrobky, vč. subdodavatelských prací",Obrat zboží (v mil. Kč),11905.967818
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"15 Usně a související výrobky, vč. subdodavatelských prací",Vývoz (meziroční index),81.0637659388
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"15 Usně a související výrobky, vč. subdodavatelských prací",Dovoz (meziroční index),104.4732325384
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"15 Usně a související výrobky, vč. subdodavatelských prací",Obrat zboží (meziroční index),95.1708290508
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"16 Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky, vč. souvisejících služeb a prací","Vývoz (v mil. Kč, FOB)",10910.988889
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"16 Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky, vč. souvisejících služeb a prací","Dovoz (v mil. Kč, CIF)",6197.504886
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"16 Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky, vč. souvisejících služeb a prací",Bilance (v mil. Kč),4713.484003
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"16 Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky, vč. souvisejících služeb a prací",Obrat zboží (v mil. Kč),17108.493775
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"16 Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky, vč. souvisejících služeb a prací",Vývoz (meziroční index),103.7809663503
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"16 Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky, vč. souvisejících služeb a prací",Dovoz (meziroční index),104.5166823102
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"16 Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky, vč. souvisejících služeb a prací",Obrat zboží (meziroční index),104.0462779342
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"17 Papír a výrobky z papíru, vč. subdodavatelských prací","Vývoz (v mil. Kč, FOB)",20707.585759
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"17 Papír a výrobky z papíru, vč. subdodavatelských prací","Dovoz (v mil. Kč, CIF)",16813.713127
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"17 Papír a výrobky z papíru, vč. subdodavatelských prací",Bilance (v mil. Kč),3893.872632
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"17 Papír a výrobky z papíru, vč. subdodavatelských prací",Obrat zboží (v mil. Kč),37521.298886
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"17 Papír a výrobky z papíru, vč. subdodavatelských prací",Vývoz (meziroční index),105.1176797806
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"17 Papír a výrobky z papíru, vč. subdodavatelských prací",Dovoz (meziroční index),106.4013225894
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"17 Papír a výrobky z papíru, vč. subdodavatelských prací",Obrat zboží (meziroční index),105.6890438208
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,18 Tiskařské a nahrávací služby,"Vývoz (v mil. Kč, FOB)",175.743642
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,18 Tiskařské a nahrávací služby,"Dovoz (v mil. Kč, CIF)",84.108661
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,18 Tiskařské a nahrávací služby,Bilance (v mil. Kč),91.634981
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,18 Tiskařské a nahrávací služby,Obrat zboží (v mil. Kč),259.852303
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,18 Tiskařské a nahrávací služby,Vývoz (meziroční index),188.4093574279
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,18 Tiskařské a nahrávací služby,Dovoz (meziroční index),88.5739641707
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,18 Tiskařské a nahrávací služby,Obrat zboží (meziroční index),138.0458510888
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"19 Koks a rafinované ropné produkty, vč. subdodavatelských prací","Vývoz (v mil. Kč, FOB)",11410.771016
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"19 Koks a rafinované ropné produkty, vč. subdodavatelských prací","Dovoz (v mil. Kč, CIF)",22203.255002
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"19 Koks a rafinované ropné produkty, vč. subdodavatelských prací",Bilance (v mil. Kč),-10792.483986
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"19 Koks a rafinované ropné produkty, vč. subdodavatelských prací",Obrat zboží (v mil. Kč),33614.026018
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"19 Koks a rafinované ropné produkty, vč. subdodavatelských prací",Vývoz (meziroční index),89.8979278492
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"19 Koks a rafinované ropné produkty, vč. subdodavatelských prací",Dovoz (meziroční index),97.8893093251
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"19 Koks a rafinované ropné produkty, vč. subdodavatelských prací",Obrat zboží (meziroční index),95.0218957926
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"20 Chemické látky a chemické přípravky, vč. subdodavatelských prací","Vývoz (v mil. Kč, FOB)",57660.122493
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"20 Chemické látky a chemické přípravky, vč. subdodavatelských prací","Dovoz (v mil. Kč, CIF)",87817.753509
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"20 Chemické látky a chemické přípravky, vč. subdodavatelských prací",Bilance (v mil. Kč),-30157.631016
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"20 Chemické látky a chemické přípravky, vč. subdodavatelských prací",Obrat zboží (v mil. Kč),145477.876002
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"20 Chemické látky a chemické přípravky, vč. subdodavatelských prací",Vývoz (meziroční index),107.862577638
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"20 Chemické látky a chemické přípravky, vč. subdodavatelských prací",Dovoz (meziroční index),102.1015571324
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"20 Chemické látky a chemické přípravky, vč. subdodavatelských prací",Obrat zboží (meziroční index),104.3097247401
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"21 Základní farmaceutické výrobky a farmaceutické přípravky, vč. subdodavatelských prací","Vývoz (v mil. Kč, FOB)",17477.253542
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"21 Základní farmaceutické výrobky a farmaceutické přípravky, vč. subdodavatelských prací","Dovoz (v mil. Kč, CIF)",33807.622186
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"21 Základní farmaceutické výrobky a farmaceutické přípravky, vč. subdodavatelských prací",Bilance (v mil. Kč),-16330.368644
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"21 Základní farmaceutické výrobky a farmaceutické přípravky, vč. subdodavatelských prací",Obrat zboží (v mil. Kč),51284.875728
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"21 Základní farmaceutické výrobky a farmaceutické přípravky, vč. subdodavatelských prací",Vývoz (meziroční index),97.2892820104
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"21 Základní farmaceutické výrobky a farmaceutické přípravky, vč. subdodavatelských prací",Dovoz (meziroční index),102.0095207329
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"21 Základní farmaceutické výrobky a farmaceutické přípravky, vč. subdodavatelských prací",Obrat zboží (meziroční index),100.3503099469
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"22 Pryžové a plastové výrobky, vč. souvisejících služeb a prací","Vývoz (v mil. Kč, FOB)",53909.834576
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"22 Pryžové a plastové výrobky, vč. souvisejících služeb a prací","Dovoz (v mil. Kč, CIF)",48854.929769
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"22 Pryžové a plastové výrobky, vč. souvisejících služeb a prací",Bilance (v mil. Kč),5054.904807
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"22 Pryžové a plastové výrobky, vč. souvisejících služeb a prací",Obrat zboží (v mil. Kč),102764.764345
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"22 Pryžové a plastové výrobky, vč. souvisejících služeb a prací",Vývoz (meziroční index),105.3998687946
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"22 Pryžové a plastové výrobky, vč. souvisejících služeb a prací",Dovoz (meziroční index),102.3169233508
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"22 Pryžové a plastové výrobky, vč. souvisejících služeb a prací",Obrat zboží (meziroční index),103.911379755
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"23 Ostatní nekovové minerální výrobky, vč. souvisejících služeb a prací","Vývoz (v mil. Kč, FOB)",20563.697715
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"23 Ostatní nekovové minerální výrobky, vč. souvisejících služeb a prací","Dovoz (v mil. Kč, CIF)",13701.540882
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"23 Ostatní nekovové minerální výrobky, vč. souvisejících služeb a prací",Bilance (v mil. Kč),6862.156833
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"23 Ostatní nekovové minerální výrobky, vč. souvisejících služeb a prací",Obrat zboží (v mil. Kč),34265.238597
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"23 Ostatní nekovové minerální výrobky, vč. souvisejících služeb a prací",Vývoz (meziroční index),102.8824318892
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"23 Ostatní nekovové minerální výrobky, vč. souvisejících služeb a prací",Dovoz (meziroční index),101.391627425
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"23 Ostatní nekovové minerální výrobky, vč. souvisejících služeb a prací",Obrat zboží (meziroční index),102.2810788068
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"24 Základní kovy, vč. subdodavatelských prací","Vývoz (v mil. Kč, FOB)",34310.879937
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"24 Základní kovy, vč. subdodavatelských prací","Dovoz (v mil. Kč, CIF)",76492.414418
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"24 Základní kovy, vč. subdodavatelských prací",Bilance (v mil. Kč),-42181.534481
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"24 Základní kovy, vč. subdodavatelských prací",Obrat zboží (v mil. Kč),110803.294355
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"24 Základní kovy, vč. subdodavatelských prací",Vývoz (meziroční index),98.1444085533
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"24 Základní kovy, vč. subdodavatelských prací",Dovoz (meziroční index),106.9754578182
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"24 Základní kovy, vč. subdodavatelských prací",Obrat zboží (meziroční index),104.0756120359
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"25 Kovodělné výrobky, kromě strojů a zařízení, vč. subdodavatelských prací","Vývoz (v mil. Kč, FOB)",69412.598331
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"25 Kovodělné výrobky, kromě strojů a zařízení, vč. subdodavatelských prací","Dovoz (v mil. Kč, CIF)",65881.50218
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"25 Kovodělné výrobky, kromě strojů a zařízení, vč. subdodavatelských prací",Bilance (v mil. Kč),3531.096151
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"25 Kovodělné výrobky, kromě strojů a zařízení, vč. subdodavatelských prací",Obrat zboží (v mil. Kč),135294.100511
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"25 Kovodělné výrobky, kromě strojů a zařízení, vč. subdodavatelských prací",Vývoz (meziroční index),102.7807914861
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"25 Kovodělné výrobky, kromě strojů a zařízení, vč. subdodavatelských prací",Dovoz (meziroční index),134.537258507
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"25 Kovodělné výrobky, kromě strojů a zařízení, vč. subdodavatelských prací",Obrat zboží (meziroční index),116.1287202422
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"26 Počítače, elektronické a optické přístroje a zařízení, vč. souvisejících služeb a prací","Vývoz (v mil. Kč, FOB)",118761.167967
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"26 Počítače, elektronické a optické přístroje a zařízení, vč. souvisejících služeb a prací","Dovoz (v mil. Kč, CIF)",144674.308761
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"26 Počítače, elektronické a optické přístroje a zařízení, vč. souvisejících služeb a prací",Bilance (v mil. Kč),-25913.140794
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"26 Počítače, elektronické a optické přístroje a zařízení, vč. souvisejících služeb a prací",Obrat zboží (v mil. Kč),263435.476728
