Ukazatel;Rok sčítání;Ekonomická aktivita;Pohlaví;Území;Odvětví ekonomické činnosti;value
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Karlovarský kraj;Doprava a skladování;8697
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Karlovarský kraj;Ubytování, stravování a pohostinství;8773
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Karlovarský kraj;Vzdělávání;7897
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Karlovarský kraj;Zdravotní a sociální péče;11452
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Karlovarský kraj;Nezjištěno;1462
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Ústecký kraj;Zaměstnaní celkem;369950
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Ústecký kraj;Zemědělství, lesnictví, rybářství;9034
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Ústecký kraj;Průmysl;114981
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Ústecký kraj;Stavebnictví;27004
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Ústecký kraj;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";37478
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Ústecký kraj;Doprava a skladování;27948
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Ústecký kraj;Ubytování, stravování a pohostinství;12102
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Ústecký kraj;Vzdělávání;24916
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Ústecký kraj;Zdravotní a sociální péče;30363
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Ústecký kraj;Nezjištěno;3595
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Liberecký kraj;Zaměstnaní celkem;213877
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Liberecký kraj;Zemědělství, lesnictví, rybářství;5044
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Liberecký kraj;Průmysl;77884
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Liberecký kraj;Stavebnictví;13873
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Liberecký kraj;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";21423
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Liberecký kraj;Doprava a skladování;11023
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Liberecký kraj;Ubytování, stravování a pohostinství;7708
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Liberecký kraj;Vzdělávání;14221
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Liberecký kraj;Zdravotní a sociální péče;15096
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Liberecký kraj;Nezjištěno;1855
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Královéhradecký kraj;Zaměstnaní celkem;266948
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Královéhradecký kraj;Zemědělství, lesnictví, rybářství;11032
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Královéhradecký kraj;Průmysl;85440
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Královéhradecký kraj;Stavebnictví;17720
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Královéhradecký kraj;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";29054
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Královéhradecký kraj;Doprava a skladování;14549
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Královéhradecký kraj;Ubytování, stravování a pohostinství;9513
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Královéhradecký kraj;Vzdělávání;18454
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Královéhradecký kraj;Zdravotní a sociální péče;22817
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Královéhradecký kraj;Nezjištěno;1569
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Pardubický kraj;Zaměstnaní celkem;255984
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Pardubický kraj;Zemědělství, lesnictví, rybářství;10923
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Pardubický kraj;Průmysl;85724
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Pardubický kraj;Stavebnictví;17816
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Pardubický kraj;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";26739
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Pardubický kraj;Doprava a skladování;14908
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Pardubický kraj;Ubytování, stravování a pohostinství;7249
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Pardubický kraj;Vzdělávání;17540
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Pardubický kraj;Zdravotní a sociální péče;18805
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Pardubický kraj;Nezjištěno;1499
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Kraj Vysočina;Zaměstnaní celkem;246077
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Kraj Vysočina;Zemědělství, lesnictví, rybářství;17307
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Kraj Vysočina;Průmysl;84234
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Kraj Vysočina;Stavebnictví;18276
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Kraj Vysočina;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";24648
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Kraj Vysočina;Doprava a skladování;12909
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Kraj Vysočina;Ubytování, stravování a pohostinství;7011
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Kraj Vysočina;Vzdělávání;16003
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Kraj Vysočina;Zdravotní a sociální péče;18974
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Kraj Vysočina;Nezjištěno;1660
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Jihomoravský kraj;Zaměstnaní celkem;603968
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Jihomoravský kraj;Zemědělství, lesnictví, rybářství;19096
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Jihomoravský kraj;Průmysl;151961
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Jihomoravský kraj;Stavebnictví;46109
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Jihomoravský kraj;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";67331
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Jihomoravský kraj;Doprava a skladování;32759
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Jihomoravský kraj;Ubytování, stravování a pohostinství;20868
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Jihomoravský kraj;Vzdělávání;44502
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Jihomoravský kraj;Zdravotní a sociální péče;47114
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Jihomoravský kraj;Nezjištěno;4190
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Olomoucký kraj;Zaměstnaní celkem;301779
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Olomoucký kraj;Zemědělství, lesnictví, rybářství;11942
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Olomoucký kraj;Průmysl;90881
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Olomoucký kraj;Stavebnictví;21476
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Olomoucký kraj;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";33207
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Olomoucký kraj;Doprava a skladování;18001
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Olomoucký kraj;Ubytování, stravování a pohostinství;9933
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Olomoucký kraj;Vzdělávání;22208
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Olomoucký kraj;Zdravotní a sociální péče;25307
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Olomoucký kraj;Nezjištěno;2040
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Zlínský kraj;Zaměstnaní celkem;278753
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Zlínský kraj;Zemědělství, lesnictví, rybářství;8822
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Zlínský kraj;Průmysl;99886
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Zlínský kraj;Stavebnictví;21356
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Zlínský kraj;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";31234
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Zlínský kraj;Doprava a skladování;12556
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Zlínský kraj;Ubytování, stravování a pohostinství;9409
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Zlínský kraj;Vzdělávání;19039
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Zlínský kraj;Zdravotní a sociální péče;20780
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Zlínský kraj;Nezjištěno;1806
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Moravskoslezský kraj;Zaměstnaní celkem;551088
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Moravskoslezský kraj;Zemědělství, lesnictví, rybářství;12157
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Moravskoslezský kraj;Průmysl;172798
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Moravskoslezský kraj;Stavebnictví;35448
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Moravskoslezský kraj;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";61270
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Moravskoslezský kraj;Doprava a skladování;31818
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Moravskoslezský kraj;Ubytování, stravování a pohostinství;17806
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Moravskoslezský kraj;Vzdělávání;38591
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Moravskoslezský kraj;Zdravotní a sociální péče;46659
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Moravskoslezský kraj;Nezjištěno;4541
