ČR, kraje, okresy;Ukazatel;Odvětví ekonomické činnosti CZ-NACE;Roky;value
Česko;Počet ekonomických subjektů celkem;F Stavebnictví;2015;317428.0
Česko;Počet ekonomických subjektů celkem;F Stavebnictví;2014;314707.0
Česko;Počet ekonomických subjektů celkem;F Stavebnictví;2013;310856.0
Česko;Počet ekonomických subjektů celkem;"G Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2024;449179.0
Česko;Počet ekonomických subjektů celkem;"G Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2023;473632.0
Česko;Počet ekonomických subjektů celkem;"G Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2022;562097.0
Česko;Počet ekonomických subjektů celkem;"G Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2021;585202.0
Česko;Počet ekonomických subjektů celkem;"G Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2020;596321.0
Česko;Počet ekonomických subjektů celkem;"G Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2019;618094.0
Česko;Počet ekonomických subjektů celkem;"G Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2018;641494.0
Česko;Počet ekonomických subjektů celkem;"G Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2017;648221.0
Česko;Počet ekonomických subjektů celkem;"G Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2016;636872.0
Česko;Počet ekonomických subjektů celkem;"G Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2015;627015.0
Česko;Počet ekonomických subjektů celkem;"G Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2014;610711.0
Česko;Počet ekonomických subjektů celkem;"G Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2013;598645.0
Česko;Počet ekonomických subjektů celkem;H Doprava a skladování;2024;97207.0
Česko;Počet ekonomických subjektů celkem;H Doprava a skladování;2023;90272.0
Česko;Počet ekonomických subjektů celkem;H Doprava a skladování;2022;91791.0
Česko;Počet ekonomických subjektů celkem;H Doprava a skladování;2021;86449.0
Česko;Počet ekonomických subjektů celkem;H Doprava a skladování;2020;80747.0
Česko;Počet ekonomických subjektů celkem;H Doprava a skladování;2019;76978.0
Česko;Počet ekonomických subjektů celkem;H Doprava a skladování;2018;73473.0
Česko;Počet ekonomických subjektů celkem;H Doprava a skladování;2017;71120.0
Česko;Počet ekonomických subjektů celkem;H Doprava a skladování;2016;68776.0
Česko;Počet ekonomických subjektů celkem;H Doprava a skladování;2015;67867.0
Česko;Počet ekonomických subjektů celkem;H Doprava a skladování;2014;67522.0
Česko;Počet ekonomických subjektů celkem;H Doprava a skladování;2013;67665.0
Česko;Počet ekonomických subjektů celkem;I Ubytování, stravování a pohostinství;2024;138991.0
Česko;Počet ekonomických subjektů celkem;I Ubytování, stravování a pohostinství;2023;138188.0
Česko;Počet ekonomických subjektů celkem;I Ubytování, stravování a pohostinství;2022;155890.0
Česko;Počet ekonomických subjektů celkem;I Ubytování, stravování a pohostinství;2021;156541.0
Česko;Počet ekonomických subjektů celkem;I Ubytování, stravování a pohostinství;2020;156712.0
Česko;Počet ekonomických subjektů celkem;I Ubytování, stravování a pohostinství;2019;154947.0
Česko;Počet ekonomických subjektů celkem;I Ubytování, stravování a pohostinství;2018;152326.0
Česko;Počet ekonomických subjektů celkem;I Ubytování, stravování a pohostinství;2017;150191.0
Česko;Počet ekonomických subjektů celkem;I Ubytování, stravování a pohostinství;2016;145153.0
Česko;Počet ekonomických subjektů celkem;I Ubytování, stravování a pohostinství;2015;142623.0
Česko;Počet ekonomických subjektů celkem;I Ubytování, stravování a pohostinství;2014;141474.0
Česko;Počet ekonomických subjektů celkem;I Ubytování, stravování a pohostinství;2013;138550.0
Česko;Počet ekonomických subjektů celkem;J Informační a komunikační činnosti;2024;95582.0
Česko;Počet ekonomických subjektů celkem;J Informační a komunikační činnosti;2023;90044.0
Česko;Počet ekonomických subjektů celkem;J Informační a komunikační činnosti;2022;86378.0
Česko;Počet ekonomických subjektů celkem;J Informační a komunikační činnosti;2021;81829.0
Česko;Počet ekonomických subjektů celkem;J Informační a komunikační činnosti;2020;76800.0
Česko;Počet ekonomických subjektů celkem;J Informační a komunikační činnosti;2019;73223.0
Česko;Počet ekonomických subjektů celkem;J Informační a komunikační činnosti;2018;69368.0
Česko;Počet ekonomických subjektů celkem;J Informační a komunikační činnosti;2017;62804.0
Česko;Počet ekonomických subjektů celkem;J Informační a komunikační činnosti;2016;56475.0
Česko;Počet ekonomických subjektů celkem;J Informační a komunikační činnosti;2015;53759.0
Česko;Počet ekonomických subjektů celkem;J Informační a komunikační činnosti;2014;51400.0
Česko;Počet ekonomických subjektů celkem;J Informační a komunikační činnosti;2013;51344.0
Česko;Počet ekonomických subjektů celkem;K Peněžnictví a pojišťovnictví;2024;46615.0
Česko;Počet ekonomických subjektů celkem;K Peněžnictví a pojišťovnictví;2023;43823.0
Česko;Počet ekonomických subjektů celkem;K Peněžnictví a pojišťovnictví;2022;16006.0
Česko;Počet ekonomických subjektů celkem;K Peněžnictví a pojišťovnictví;2021;15078.0
Česko;Počet ekonomických subjektů celkem;K Peněžnictví a pojišťovnictví;2020;14998.0
Česko;Počet ekonomických subjektů celkem;K Peněžnictví a pojišťovnictví;2019;15281.0
Česko;Počet ekonomických subjektů celkem;K Peněžnictví a pojišťovnictví;2018;54436.0
Česko;Počet ekonomických subjektů celkem;K Peněžnictví a pojišťovnictví;2017;54928.0
Česko;Počet ekonomických subjektů celkem;K Peněžnictví a pojišťovnictví;2016;96831.0
Česko;Počet ekonomických subjektů celkem;K Peněžnictví a pojišťovnictví;2015;102260.0
Česko;Počet ekonomických subjektů celkem;K Peněžnictví a pojišťovnictví;2014;112417.0
Česko;Počet ekonomických subjektů celkem;K Peněžnictví a pojišťovnictví;2013;129221.0
Česko;Počet ekonomických subjektů celkem;L Činnosti v oblasti nemovitostí;2024;195547.0
Česko;Počet ekonomických subjektů celkem;L Činnosti v oblasti nemovitostí;2023;192607.0
Česko;Počet ekonomických subjektů celkem;L Činnosti v oblasti nemovitostí;2022;195256.0
Česko;Počet ekonomických subjektů celkem;L Činnosti v oblasti nemovitostí;2021;191255.0
Česko;Počet ekonomických subjektů celkem;L Činnosti v oblasti nemovitostí;2020;182922.0
Česko;Počet ekonomických subjektů celkem;L Činnosti v oblasti nemovitostí;2019;176295.0
Česko;Počet ekonomických subjektů celkem;L Činnosti v oblasti nemovitostí;2018;171371.0
Česko;Počet ekonomických subjektů celkem;L Činnosti v oblasti nemovitostí;2017;167412.0
Česko;Počet ekonomických subjektů celkem;L Činnosti v oblasti nemovitostí;2016;163158.0
Česko;Počet ekonomických subjektů celkem;L Činnosti v oblasti nemovitostí;2015;159056.0
Česko;Počet ekonomických subjektů celkem;L Činnosti v oblasti nemovitostí;2014;156001.0
Česko;Počet ekonomických subjektů celkem;L Činnosti v oblasti nemovitostí;2013;152131.0
Česko;Počet ekonomických subjektů celkem;M Profesní, vědecké a technické činnosti;2024;373779.0
Česko;Počet ekonomických subjektů celkem;M Profesní, vědecké a technické činnosti;2023;367354.0
Česko;Počet ekonomických subjektů celkem;M Profesní, vědecké a technické činnosti;2022;390271.0
Česko;Počet ekonomických subjektů celkem;M Profesní, vědecké a technické činnosti;2021;390188.0
Česko;Počet ekonomických subjektů celkem;M Profesní, vědecké a technické činnosti;2020;385806.0
Česko;Počet ekonomických subjektů celkem;M Profesní, vědecké a technické činnosti;2019;386236.0
Česko;Počet ekonomických subjektů celkem;M Profesní, vědecké a technické činnosti;2018;389318.0
Česko;Počet ekonomických subjektů celkem;M Profesní, vědecké a technické činnosti;2017;375223.0
Česko;Počet ekonomických subjektů celkem;M Profesní, vědecké a technické činnosti;2016;351269.0
Česko;Počet ekonomických subjektů celkem;M Profesní, vědecké a technické činnosti;2015;341939.0
Česko;Počet ekonomických subjektů celkem;M Profesní, vědecké a technické činnosti;2014;333405.0
Česko;Počet ekonomických subjektů celkem;M Profesní, vědecké a technické činnosti;2013;324085.0
Česko;Počet ekonomických subjektů celkem;N Administrativní a podpůrné činnosti;2024;79099.0
Česko;Počet ekonomických subjektů celkem;N Administrativní a podpůrné činnosti;2023;73872.0
Česko;Počet ekonomických subjektů celkem;N Administrativní a podpůrné činnosti;2022;75984.0
Česko;Počet ekonomických subjektů celkem;N Administrativní a podpůrné činnosti;2021;70826.0
Česko;Počet ekonomických subjektů celkem;N Administrativní a podpůrné činnosti;2020;64655.0
Česko;Počet ekonomických subjektů celkem;N Administrativní a podpůrné činnosti;2019;61195.0
Česko;Počet ekonomických subjektů celkem;N Administrativní a podpůrné činnosti;2018;56647.0
Česko;Počet ekonomických subjektů celkem;N Administrativní a podpůrné činnosti;2017;54000.0
Česko;Počet ekonomických subjektů celkem;N Administrativní a podpůrné činnosti;2016;50532.0
Česko;Počet ekonomických subjektů celkem;N Administrativní a podpůrné činnosti;2015;49085.0
Česko;Počet ekonomických subjektů celkem;N Administrativní a podpůrné činnosti;2014;47708.0
Česko;Počet ekonomických subjektů celkem;N Administrativní a podpůrné činnosti;2013;45943.0
Česko;Počet ekonomických subjektů celkem;"O Veřejná správa a obrana; povinné sociální zabezpečení";2024;15745.0
Česko;Počet ekonomických subjektů celkem;"O Veřejná správa a obrana; povinné sociální zabezpečení";2023;15759.0
Česko;Počet ekonomických subjektů celkem;"O Veřejná správa a obrana; povinné sociální zabezpečení";2022;15763.0
Česko;Počet ekonomických subjektů celkem;"O Veřejná správa a obrana; povinné sociální zabezpečení";2021;15736.0
Česko;Počet ekonomických subjektů celkem;"O Veřejná správa a obrana; povinné sociální zabezpečení";2020;15749.0
Česko;Počet ekonomických subjektů celkem;"O Veřejná správa a obrana; povinné sociální zabezpečení";2019;15749.0
Česko;Počet ekonomických subjektů celkem;"O Veřejná správa a obrana; povinné sociální zabezpečení";2018;15712.0
Česko;Počet ekonomických subjektů celkem;"O Veřejná správa a obrana; povinné sociální zabezpečení";2017;15716.0
Česko;Počet ekonomických subjektů celkem;"O Veřejná správa a obrana; povinné sociální zabezpečení";2016;15651.0
Česko;Počet ekonomických subjektů celkem;"O Veřejná správa a obrana; povinné sociální zabezpečení";2015;15845.0
Česko;Počet ekonomických subjektů celkem;"O Veřejná správa a obrana; povinné sociální zabezpečení";2014;15786.0
Česko;Počet ekonomických subjektů celkem;"O Veřejná správa a obrana; povinné sociální zabezpečení";2013;15769.0
Česko;Počet ekonomických subjektů celkem;P Vzdělávání;2024;60650.0
Česko;Počet ekonomických subjektů celkem;P Vzdělávání;2023;56813.0
Česko;Počet ekonomických subjektů celkem;P Vzdělávání;2022;57730.0
Česko;Počet ekonomických subjektů celkem;P Vzdělávání;2021;55641.0
Česko;Počet ekonomických subjektů celkem;P Vzdělávání;2020;53316.0
Česko;Počet ekonomických subjektů celkem;P Vzdělávání;2019;51272.0
Česko;Počet ekonomických subjektů celkem;P Vzdělávání;2018;48739.0
Česko;Počet ekonomických subjektů celkem;P Vzdělávání;2017;47309.0
Česko;Počet ekonomických subjektů celkem;P Vzdělávání;2016;45296.0
Česko;Počet ekonomických subjektů celkem;P Vzdělávání;2015;44246.0
Česko;Počet ekonomických subjektů celkem;P Vzdělávání;2014;43057.0
Česko;Počet ekonomických subjektů celkem;P Vzdělávání;2013;41945.0
Česko;Počet ekonomických subjektů celkem;Q Zdravotní a sociální péče;2024;35794.0
Česko;Počet ekonomických subjektů celkem;Q Zdravotní a sociální péče;2023;34811.0
Česko;Počet ekonomických subjektů celkem;Q Zdravotní a sociální péče;2022;36429.0
Česko;Počet ekonomických subjektů celkem;Q Zdravotní a sociální péče;2021;35370.0
Česko;Počet ekonomických subjektů celkem;Q Zdravotní a sociální péče;2020;34944.0
Česko;Počet ekonomických subjektů celkem;Q Zdravotní a sociální péče;2019;34516.0
Česko;Počet ekonomických subjektů celkem;Q Zdravotní a sociální péče;2018;34043.0
Česko;Počet ekonomických subjektů celkem;Q Zdravotní a sociální péče;2017;33767.0
Česko;Počet ekonomických subjektů celkem;Q Zdravotní a sociální péče;2016;33779.0
Česko;Počet ekonomických subjektů celkem;Q Zdravotní a sociální péče;2015;35237.0
Česko;Počet ekonomických subjektů celkem;Q Zdravotní a sociální péče;2014;34674.0
Česko;Počet ekonomických subjektů celkem;Q Zdravotní a sociální péče;2013;34554.0
Česko;Počet ekonomických subjektů celkem;R Kulturní, zábavní a rekreační činnosti;2024;85494.0
Česko;Počet ekonomických subjektů celkem;R Kulturní, zábavní a rekreační činnosti;2023;81657.0
Česko;Počet ekonomických subjektů celkem;R Kulturní, zábavní a rekreační činnosti;2022;81712.0
Česko;Počet ekonomických subjektů celkem;R Kulturní, zábavní a rekreační činnosti;2021;80218.0
Česko;Počet ekonomických subjektů celkem;R Kulturní, zábavní a rekreační činnosti;2020;78664.0
Česko;Počet ekonomických subjektů celkem;R Kulturní, zábavní a rekreační činnosti;2019;76126.0
Česko;Počet ekonomických subjektů celkem;R Kulturní, zábavní a rekreační činnosti;2018;72919.0
Česko;Počet ekonomických subjektů celkem;R Kulturní, zábavní a rekreační činnosti;2017;70460.0
Česko;Počet ekonomických subjektů celkem;R Kulturní, zábavní a rekreační činnosti;2016;67547.0
Česko;Počet ekonomických subjektů celkem;R Kulturní, zábavní a rekreační činnosti;2015;65531.0
Česko;Počet ekonomických subjektů celkem;R Kulturní, zábavní a rekreační činnosti;2014;63716.0
Česko;Počet ekonomických subjektů celkem;R Kulturní, zábavní a rekreační činnosti;2013;62763.0
Česko;Počet ekonomických subjektů celkem;S Ostatní činnosti;2024;250610.0
Česko;Počet ekonomických subjektů celkem;S Ostatní činnosti;2023;243971.0
Česko;Počet ekonomických subjektů celkem;S Ostatní činnosti;2022;252997.0
Česko;Počet ekonomických subjektů celkem;S Ostatní činnosti;2021;250245.0
Česko;Počet ekonomických subjektů celkem;S Ostatní činnosti;2020;246710.0
Česko;Počet ekonomických subjektů celkem;S Ostatní činnosti;2019;240556.0
Česko;Počet ekonomických subjektů celkem;S Ostatní činnosti;2018;233747.0
Česko;Počet ekonomických subjektů celkem;S Ostatní činnosti;2017;228460.0
Česko;Počet ekonomických subjektů celkem;S Ostatní činnosti;2016;220499.0
Česko;Počet ekonomických subjektů celkem;S Ostatní činnosti;2015;213157.0
Česko;Počet ekonomických subjektů celkem;S Ostatní činnosti;2014;207051.0
Česko;Počet ekonomických subjektů celkem;S Ostatní činnosti;2013;198614.0
Česko;Počet ekonomických subjektů celkem;T Činnosti domácností jako zaměstnavatelů;2024;0.0
Česko;Počet ekonomických subjektů celkem;T Činnosti domácností jako zaměstnavatelů;2023;
Česko;Počet ekonomických subjektů celkem;T Činnosti domácností jako zaměstnavatelů;2022;
Česko;Počet ekonomických subjektů celkem;T Činnosti domácností jako zaměstnavatelů;2021;
Česko;Počet ekonomických subjektů celkem;T Činnosti domácností jako zaměstnavatelů;2020;
Česko;Počet ekonomických subjektů celkem;T Činnosti domácností jako zaměstnavatelů;2019;
Česko;Počet ekonomických subjektů celkem;T Činnosti domácností jako zaměstnavatelů;2018;
Česko;Počet ekonomických subjektů celkem;T Činnosti domácností jako zaměstnavatelů;2017;
Česko;Počet ekonomických subjektů celkem;T Činnosti domácností jako zaměstnavatelů;2016;1.0
Česko;Počet ekonomických subjektů celkem;T Činnosti domácností jako zaměstnavatelů;2015;
Česko;Počet ekonomických subjektů celkem;T Činnosti domácností jako zaměstnavatelů;2014;2.0
Česko;Počet ekonomických subjektů celkem;T Činnosti domácností jako zaměstnavatelů;2013;1.0
Česko;Počet ekonomických subjektů celkem;U Činnosti exteritoriálních organizací a orgánů;2024;61.0
Česko;Počet ekonomických subjektů celkem;U Činnosti exteritoriálních organizací a orgánů;2023;61.0
Česko;Počet ekonomických subjektů celkem;U Činnosti exteritoriálních organizací a orgánů;2022;61.0
Česko;Počet ekonomických subjektů celkem;U Činnosti exteritoriálních organizací a orgánů;2021;61.0
Česko;Počet ekonomických subjektů celkem;U Činnosti exteritoriálních organizací a orgánů;2020;61.0
Česko;Počet ekonomických subjektů celkem;U Činnosti exteritoriálních organizací a orgánů;2019;60.0
Česko;Počet ekonomických subjektů celkem;U Činnosti exteritoriálních organizací a orgánů;2018;59.0
Česko;Počet ekonomických subjektů celkem;U Činnosti exteritoriálních organizací a orgánů;2017;60.0
Česko;Počet ekonomických subjektů celkem;U Činnosti exteritoriálních organizací a orgánů;2016;60.0
Česko;Počet ekonomických subjektů celkem;U Činnosti exteritoriálních organizací a orgánů;2015;60.0
Česko;Počet ekonomických subjektů celkem;U Činnosti exteritoriálních organizací a orgánů;2014;67.0
Česko;Počet ekonomických subjektů celkem;U Činnosti exteritoriálních organizací a orgánů;2013;93.0
Česko;Počet ekonomických subjektů celkem;X Nezjištěno;2024;103363.0
Česko;Počet ekonomických subjektů celkem;X Nezjištěno;2023;99412.0
Česko;Počet ekonomických subjektů celkem;X Nezjištěno;2022;111911.0
Česko;Počet ekonomických subjektů celkem;X Nezjištěno;2021;110983.0
Česko;Počet ekonomických subjektů celkem;X Nezjištěno;2020;110887.0
Česko;Počet ekonomických subjektů celkem;X Nezjištěno;2019;91724.0
Česko;Počet ekonomických subjektů celkem;X Nezjištěno;2018;69026.0
Česko;Počet ekonomických subjektů celkem;X Nezjištěno;2017;76239.0
Česko;Počet ekonomických subjektů celkem;X Nezjištěno;2016;81180.0
Česko;Počet ekonomických subjektů celkem;X Nezjištěno;2015;89005.0
Česko;Počet ekonomických subjektů celkem;X Nezjištěno;2014;100673.0
Česko;Počet ekonomických subjektů celkem;X Nezjištěno;2013;97363.0
