"ČR, kraje, okresy",Ukazatel,Pohlaví,Nejvyšší ukončené vzdělání,Roky,value
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Základní ,2020,73327.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Základní ,2019,55866.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Základní ,2018,58587.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Základní ,2017,74630.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Základní ,2016,104742.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Základní ,2015,122072.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Základní ,2014,147107.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Vyučení,2024,
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Vyučení,2023,89417.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Vyučení,2022,88418.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Vyučení,2021,88053.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Vyučení,2020,100172.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Vyučení,2019,75590.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Vyučení,2018,81624.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Vyučení,2017,101876.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Vyučení,2016,140501.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Vyučení,2015,169411.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Vyučení,2014,208646.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Střední bez maturity ,2024,
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Střední bez maturity ,2023,9608.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Střední bez maturity ,2022,9052.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Střední bez maturity ,2021,8433.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Střední bez maturity ,2020,9489.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Střední bez maturity ,2019,7004.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Střední bez maturity ,2018,7403.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Střední bez maturity ,2017,8906.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Střední bez maturity ,2016,12255.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Střední bez maturity ,2015,14741.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Střední bez maturity ,2014,18495.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Vyučení s maturitou,2024,
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Vyučení s maturitou,2023,12758.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Vyučení s maturitou,2022,12335.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Vyučení s maturitou,2021,12306.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Vyučení s maturitou,2020,14166.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Vyučení s maturitou,2019,9641.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Vyučení s maturitou,2018,10118.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Vyučení s maturitou,2017,11990.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Vyučení s maturitou,2016,16337.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Vyučení s maturitou,2015,19892.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Vyučení s maturitou,2014,24568.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Úplné střední všeobecné s maturitou,2024,
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Úplné střední všeobecné s maturitou,2023,8102.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Úplné střední všeobecné s maturitou,2022,7678.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Úplné střední všeobecné s maturitou,2021,7578.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Úplné střední všeobecné s maturitou,2020,8975.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Úplné střední všeobecné s maturitou,2019,6006.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Úplné střední všeobecné s maturitou,2018,6339.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Úplné střední všeobecné s maturitou,2017,7543.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Úplné střední všeobecné s maturitou,2016,10419.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Úplné střední všeobecné s maturitou,2015,12328.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Úplné střední všeobecné s maturitou,2014,14642.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Úplné střední odborné s maturitou,2024,
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Úplné střední odborné s maturitou,2023,42619.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Úplné střední odborné s maturitou,2022,42115.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Úplné střední odborné s maturitou,2021,41498.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Úplné střední odborné s maturitou,2020,48094.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Úplné střední odborné s maturitou,2019,32994.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Úplné střední odborné s maturitou,2018,35337.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Úplné střední odborné s maturitou,2017,42167.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Úplné střední odborné s maturitou,2016,57940.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Úplné střední odborné s maturitou,2015,71517.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Úplné střední odborné s maturitou,2014,86406.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Vyšší odborné vzdělání,2024,
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Vyšší odborné vzdělání,2023,2841.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Vyšší odborné vzdělání,2022,2789.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Vyšší odborné vzdělání,2021,2192.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Vyšší odborné vzdělání,2020,2707.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Vyšší odborné vzdělání,2019,1871.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Vyšší odborné vzdělání,2018,2018.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Vyšší odborné vzdělání,2017,2286.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Vyšší odborné vzdělání,2016,3180.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Vyšší odborné vzdělání,2015,3972.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Vyšší odborné vzdělání,2014,4477.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Vysokoškolské ,2024,
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Vysokoškolské ,2023,25004.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Vysokoškolské ,2022,24110.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Vysokoškolské ,2021,20137.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Vysokoškolské ,2020,23998.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Vysokoškolské ,2019,17194.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Vysokoškolské ,2018,17837.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Vysokoškolské ,2017,19899.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Vysokoškolské ,2016,26395.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Vysokoškolské ,2015,31120.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Vysokoškolské ,2014,34367.0
