Rok,Pohlaví,"ČR, kraje",Ukazatel,value
2024,Celkem,Karlovarský kraj,Index stáří,151.9544483
2024,Celkem,Karlovarský kraj,Index ekonomické závislosti,71.15978494
2024,Celkem,Karlovarský kraj,Index závislosti mladých,34.23721096
2024,Celkem,Karlovarský kraj,Index závislosti seniorů,36.92257398
2024,Celkem,Ústecký kraj,Podíl obyvatel ve věku 0 - 14 let (%),15.12588513
2024,Celkem,Ústecký kraj,Podíl obyvatel ve věku 15 - 64 let (%),64.10801676
2024,Celkem,Ústecký kraj,Podíl obyvatel ve věku 65 a více let (%),20.76609811
2024,Celkem,Ústecký kraj,Průměrný věk (roky),43.17664742
2024,Celkem,Ústecký kraj,Věkový medián (roky),44.81814225
2024,Celkem,Ústecký kraj,Index stáří,137.2884821
2024,Celkem,Ústecký kraj,Index ekonomické závislosti,71.89627821
2024,Celkem,Ústecký kraj,Index závislosti mladých,36.20012844
2024,Celkem,Ústecký kraj,Index závislosti seniorů,35.69614977
2024,Celkem,Liberecký kraj,Podíl obyvatel ve věku 0 - 14 let (%),15.43446631
2024,Celkem,Liberecký kraj,Podíl obyvatel ve věku 15 - 64 let (%),63.55257245
2024,Celkem,Liberecký kraj,Podíl obyvatel ve věku 65 a více let (%),21.01296124
2024,Celkem,Liberecký kraj,Průměrný věk (roky),43.18244515
2024,Celkem,Liberecký kraj,Věkový medián (roky),44.61360544
2024,Celkem,Liberecký kraj,Index stáří,136.1431022
2024,Celkem,Liberecký kraj,Index ekonomické závislosti,73.36506271
2024,Celkem,Liberecký kraj,Index závislosti mladých,36.93592928
2024,Celkem,Liberecký kraj,Index závislosti seniorů,36.42913343
2024,Celkem,Královéhradecký kraj,Podíl obyvatel ve věku 0 - 14 let (%),15.05406324
2024,Celkem,Královéhradecký kraj,Podíl obyvatel ve věku 15 - 64 let (%),62.27732977
2024,Celkem,Královéhradecký kraj,Podíl obyvatel ve věku 65 a více let (%),22.66860698
2024,Celkem,Královéhradecký kraj,Průměrný věk (roky),43.97960779
2024,Celkem,Královéhradecký kraj,Věkový medián (roky),45.57089552
2024,Celkem,Královéhradecký kraj,Index stáří,150.5813189
2024,Celkem,Královéhradecký kraj,Index ekonomické závislosti,77.01059027
2024,Celkem,Královéhradecký kraj,Index závislosti mladých,36.88475524
2024,Celkem,Královéhradecký kraj,Index závislosti seniorů,40.12583503
2024,Celkem,Pardubický kraj,Podíl obyvatel ve věku 0 - 14 let (%),15.65275256
2024,Celkem,Pardubický kraj,Podíl obyvatel ve věku 15 - 64 let (%),63.15543415
2024,Celkem,Pardubický kraj,Podíl obyvatel ve věku 65 a více let (%),21.19181328
2024,Celkem,Pardubický kraj,Průměrný věk (roky),43.15990096
2024,Celkem,Pardubický kraj,Věkový medián (roky),44.51669722
2024,Celkem,Pardubický kraj,Index stáří,135.3871352
2024,Celkem,Pardubický kraj,Index ekonomické závislosti,73.94878622
2024,Celkem,Pardubický kraj,Index závislosti mladých,37.08588424
2024,Celkem,Pardubický kraj,Index závislosti seniorů,36.86290198
2024,Celkem,Kraj Vysočina,Podíl obyvatel ve věku 0 - 14 let (%),15.44778585
2024,Celkem,Kraj Vysočina,Podíl obyvatel ve věku 15 - 64 let (%),62.86059805
2024,Celkem,Kraj Vysočina,Podíl obyvatel ve věku 65 a více let (%),21.6916161
2024,Celkem,Kraj Vysočina,Průměrný věk (roky),43.53763955
2024,Celkem,Kraj Vysočina,Věkový medián (roky),44.9969475
2024,Celkem,Kraj Vysočina,Index stáří,140.4189333
2024,Celkem,Kraj Vysočina,Index ekonomické závislosti,74.4152431
2024,Celkem,Kraj Vysočina,Index závislosti mladých,36.58175815
2024,Celkem,Kraj Vysočina,Index závislosti seniorů,37.83348496
2024,Celkem,Jihomoravský kraj,Podíl obyvatel ve věku 0 - 14 let (%),15.8690455
2024,Celkem,Jihomoravský kraj,Podíl obyvatel ve věku 15 - 64 let (%),63.49814494
2024,Celkem,Jihomoravský kraj,Podíl obyvatel ve věku 65 a více let (%),20.63280956
2024,Celkem,Jihomoravský kraj,Průměrný věk (roky),42.92719322
2024,Celkem,Jihomoravský kraj,Věkový medián (roky),43.87486712
2024,Celkem,Jihomoravský kraj,Index stáří,130.0192224
2024,Celkem,Jihomoravský kraj,Index ekonomické závislosti,72.30648261
2024,Celkem,Jihomoravský kraj,Index závislosti mladých,36.75481419
2024,Celkem,Jihomoravský kraj,Index závislosti seniorů,35.55166841
2024,Celkem,Olomoucký kraj,Podíl obyvatel ve věku 0 - 14 let (%),15.19081552
2024,Celkem,Olomoucký kraj,Podíl obyvatel ve věku 15 - 64 let (%),62.78163104
2024,Celkem,Olomoucký kraj,Podíl obyvatel ve věku 65 a více let (%),22.02755344
2024,Celkem,Olomoucký kraj,Průměrný věk (roky),43.81271576
2024,Celkem,Olomoucký kraj,Věkový medián (roky),45.42343071
2024,Celkem,Olomoucký kraj,Index stáří,145.0057333
2024,Celkem,Olomoucký kraj,Index ekonomické závislosti,74.70812815
2024,Celkem,Olomoucký kraj,Index závislosti mladých,36.22420185
2024,Celkem,Olomoucký kraj,Index závislosti seniorů,38.4839263
2024,Celkem,Zlínský kraj,Podíl obyvatel ve věku 0 - 14 let (%),14.87984414
2024,Celkem,Zlínský kraj,Podíl obyvatel ve věku 15 - 64 let (%),62.78225486
2024,Celkem,Zlínský kraj,Podíl obyvatel ve věku 65 a více let (%),22.33790099
2024,Celkem,Zlínský kraj,Průměrný věk (roky),44.15967758
2024,Celkem,Zlínský kraj,Věkový medián (roky),45.80459145
2024,Celkem,Zlínský kraj,Index stáří,150.1218748
2024,Celkem,Zlínský kraj,Index ekonomické závislosti,74.27258252
2024,Celkem,Zlínský kraj,Index závislosti mladých,35.34374558
2024,Celkem,Zlínský kraj,Index závislosti seniorů,38.92883694
2024,Celkem,Moravskoslezský kraj,Podíl obyvatel ve věku 0 - 14 let (%),14.7371118
2024,Celkem,Moravskoslezský kraj,Podíl obyvatel ve věku 15 - 64 let (%),63.69353288
2024,Celkem,Moravskoslezský kraj,Podíl obyvatel ve věku 65 a více let (%),21.56935532
2024,Celkem,Moravskoslezský kraj,Průměrný věk (roky),43.86316445
2024,Celkem,Moravskoslezský kraj,Věkový medián (roky),45.46038761
2024,Celkem,Moravskoslezský kraj,Index stáří,146.360804
2024,Celkem,Moravskoslezský kraj,Index ekonomické závislosti,71.91466288
2024,Celkem,Moravskoslezský kraj,Index závislosti mladých,34.8337784
2024,Celkem,Moravskoslezský kraj,Index závislosti seniorů,37.08088448
