Kraje, SO ORP;Ukazatel;Počet zaměstnanců;Čtvrtletí;value
Hlavní město Praha;Počet ekonomických subjektů celkem;20 - 24;4. čtvrtletí 2024;2079
Hlavní město Praha;Počet ekonomických subjektů celkem;20 - 24;3. čtvrtletí 2024;1946
Hlavní město Praha;Počet ekonomických subjektů celkem;20 - 24;2. čtvrtletí 2024;1502
Hlavní město Praha;Počet ekonomických subjektů celkem;20 - 24;1. čtvrtletí 2024;1482
Hlavní město Praha;Počet ekonomických subjektů celkem;20 - 24;4. čtvrtletí 2023;1479
Hlavní město Praha;Počet ekonomických subjektů celkem;20 - 24;3. čtvrtletí 2023;1454
Hlavní město Praha;Počet ekonomických subjektů celkem;20 - 24;2. čtvrtletí 2023;1453
Hlavní město Praha;Počet ekonomických subjektů celkem;20 - 24;1. čtvrtletí 2023;1417
Hlavní město Praha;Počet ekonomických subjektů celkem;20 - 24;4. čtvrtletí 2022;1469
Hlavní město Praha;Počet ekonomických subjektů celkem;20 - 24;3. čtvrtletí 2022;1413
Hlavní město Praha;Počet ekonomických subjektů celkem;20 - 24;2. čtvrtletí 2022;1393
Hlavní město Praha;Počet ekonomických subjektů celkem;20 - 24;1. čtvrtletí 2022;1376
Hlavní město Praha;Počet ekonomických subjektů celkem;20 - 24;4. čtvrtletí 2021;1374
Hlavní město Praha;Počet ekonomických subjektů celkem;20 - 24;3. čtvrtletí 2021;1347
Hlavní město Praha;Počet ekonomických subjektů celkem;20 - 24;2. čtvrtletí 2021;1355
Hlavní město Praha;Počet ekonomických subjektů celkem;20 - 24;1. čtvrtletí 2021;1314
Hlavní město Praha;Počet ekonomických subjektů celkem;25 - 49;1. čtvrtletí 2025;4291
Hlavní město Praha;Počet ekonomických subjektů celkem;25 - 49;4. čtvrtletí 2024;4289
Hlavní město Praha;Počet ekonomických subjektů celkem;25 - 49;3. čtvrtletí 2024;3984
Hlavní město Praha;Počet ekonomických subjektů celkem;25 - 49;2. čtvrtletí 2024;3120
Hlavní město Praha;Počet ekonomických subjektů celkem;25 - 49;1. čtvrtletí 2024;3087
Hlavní město Praha;Počet ekonomických subjektů celkem;25 - 49;4. čtvrtletí 2023;3051
Hlavní město Praha;Počet ekonomických subjektů celkem;25 - 49;3. čtvrtletí 2023;3034
Hlavní město Praha;Počet ekonomických subjektů celkem;25 - 49;2. čtvrtletí 2023;3005
Hlavní město Praha;Počet ekonomických subjektů celkem;25 - 49;1. čtvrtletí 2023;2956
Hlavní město Praha;Počet ekonomických subjektů celkem;25 - 49;4. čtvrtletí 2022;2981
Hlavní město Praha;Počet ekonomických subjektů celkem;25 - 49;3. čtvrtletí 2022;2925
Hlavní město Praha;Počet ekonomických subjektů celkem;25 - 49;2. čtvrtletí 2022;2853
Hlavní město Praha;Počet ekonomických subjektů celkem;25 - 49;1. čtvrtletí 2022;2847
Hlavní město Praha;Počet ekonomických subjektů celkem;25 - 49;4. čtvrtletí 2021;2814
Hlavní město Praha;Počet ekonomických subjektů celkem;25 - 49;3. čtvrtletí 2021;2808
Hlavní město Praha;Počet ekonomických subjektů celkem;25 - 49;2. čtvrtletí 2021;2771
Hlavní město Praha;Počet ekonomických subjektů celkem;25 - 49;1. čtvrtletí 2021;2719
Hlavní město Praha;Počet ekonomických subjektů celkem;50 - 99;1. čtvrtletí 2025;2359
Hlavní město Praha;Počet ekonomických subjektů celkem;50 - 99;4. čtvrtletí 2024;2353
Hlavní město Praha;Počet ekonomických subjektů celkem;50 - 99;3. čtvrtletí 2024;2208
Hlavní město Praha;Počet ekonomických subjektů celkem;50 - 99;2. čtvrtletí 2024;1849
Hlavní město Praha;Počet ekonomických subjektů celkem;50 - 99;1. čtvrtletí 2024;1795
Hlavní město Praha;Počet ekonomických subjektů celkem;50 - 99;4. čtvrtletí 2023;1802
Hlavní město Praha;Počet ekonomických subjektů celkem;50 - 99;3. čtvrtletí 2023;1785
Hlavní město Praha;Počet ekonomických subjektů celkem;50 - 99;2. čtvrtletí 2023;1770
Hlavní město Praha;Počet ekonomických subjektů celkem;50 - 99;1. čtvrtletí 2023;1746
Hlavní město Praha;Počet ekonomických subjektů celkem;50 - 99;4. čtvrtletí 2022;1728
Hlavní město Praha;Počet ekonomických subjektů celkem;50 - 99;3. čtvrtletí 2022;1713
Hlavní město Praha;Počet ekonomických subjektů celkem;50 - 99;2. čtvrtletí 2022;1743
Hlavní město Praha;Počet ekonomických subjektů celkem;50 - 99;1. čtvrtletí 2022;1682
Hlavní město Praha;Počet ekonomických subjektů celkem;50 - 99;4. čtvrtletí 2021;1687
Hlavní město Praha;Počet ekonomických subjektů celkem;50 - 99;3. čtvrtletí 2021;1644
Hlavní město Praha;Počet ekonomických subjektů celkem;50 - 99;2. čtvrtletí 2021;1623
Hlavní město Praha;Počet ekonomických subjektů celkem;50 - 99;1. čtvrtletí 2021;1625
Hlavní město Praha;Počet ekonomických subjektů celkem;100 - 199;1. čtvrtletí 2025;1210
Hlavní město Praha;Počet ekonomických subjektů celkem;100 - 199;4. čtvrtletí 2024;1232
Hlavní město Praha;Počet ekonomických subjektů celkem;100 - 199;3. čtvrtletí 2024;1161
Hlavní město Praha;Počet ekonomických subjektů celkem;100 - 199;2. čtvrtletí 2024;973
Hlavní město Praha;Počet ekonomických subjektů celkem;100 - 199;1. čtvrtletí 2024;990
Hlavní město Praha;Počet ekonomických subjektů celkem;100 - 199;4. čtvrtletí 2023;981
Hlavní město Praha;Počet ekonomických subjektů celkem;100 - 199;3. čtvrtletí 2023;971
Hlavní město Praha;Počet ekonomických subjektů celkem;100 - 199;2. čtvrtletí 2023;974
Hlavní město Praha;Počet ekonomických subjektů celkem;100 - 199;1. čtvrtletí 2023;963
Hlavní město Praha;Počet ekonomických subjektů celkem;100 - 199;4. čtvrtletí 2022;982
Hlavní město Praha;Počet ekonomických subjektů celkem;100 - 199;3. čtvrtletí 2022;923
Hlavní město Praha;Počet ekonomických subjektů celkem;100 - 199;2. čtvrtletí 2022;922
Hlavní město Praha;Počet ekonomických subjektů celkem;100 - 199;1. čtvrtletí 2022;916
Hlavní město Praha;Počet ekonomických subjektů celkem;100 - 199;4. čtvrtletí 2021;916
Hlavní město Praha;Počet ekonomických subjektů celkem;100 - 199;3. čtvrtletí 2021;900
Hlavní město Praha;Počet ekonomických subjektů celkem;100 - 199;2. čtvrtletí 2021;913
Hlavní město Praha;Počet ekonomických subjektů celkem;100 - 199;1. čtvrtletí 2021;884
Hlavní město Praha;Počet ekonomických subjektů celkem;200 - 249;1. čtvrtletí 2025;244
Hlavní město Praha;Počet ekonomických subjektů celkem;200 - 249;4. čtvrtletí 2024;255
Hlavní město Praha;Počet ekonomických subjektů celkem;200 - 249;3. čtvrtletí 2024;252
Hlavní město Praha;Počet ekonomických subjektů celkem;200 - 249;2. čtvrtletí 2024;218
Hlavní město Praha;Počet ekonomických subjektů celkem;200 - 249;1. čtvrtletí 2024;224
Hlavní město Praha;Počet ekonomických subjektů celkem;200 - 249;4. čtvrtletí 2023;217
Hlavní město Praha;Počet ekonomických subjektů celkem;200 - 249;3. čtvrtletí 2023;203
Hlavní město Praha;Počet ekonomických subjektů celkem;200 - 249;2. čtvrtletí 2023;209
Hlavní město Praha;Počet ekonomických subjektů celkem;200 - 249;1. čtvrtletí 2023;205
Hlavní město Praha;Počet ekonomických subjektů celkem;200 - 249;4. čtvrtletí 2022;199
Hlavní město Praha;Počet ekonomických subjektů celkem;200 - 249;3. čtvrtletí 2022;200
Hlavní město Praha;Počet ekonomických subjektů celkem;200 - 249;2. čtvrtletí 2022;191
Hlavní město Praha;Počet ekonomických subjektů celkem;200 - 249;1. čtvrtletí 2022;175
Hlavní město Praha;Počet ekonomických subjektů celkem;200 - 249;4. čtvrtletí 2021;168
Hlavní město Praha;Počet ekonomických subjektů celkem;200 - 249;3. čtvrtletí 2021;171
Hlavní město Praha;Počet ekonomických subjektů celkem;200 - 249;2. čtvrtletí 2021;162
Hlavní město Praha;Počet ekonomických subjektů celkem;200 - 249;1. čtvrtletí 2021;159
Hlavní město Praha;Počet ekonomických subjektů celkem;250 - 499;1. čtvrtletí 2025;482
Hlavní město Praha;Počet ekonomických subjektů celkem;250 - 499;4. čtvrtletí 2024;504
Hlavní město Praha;Počet ekonomických subjektů celkem;250 - 499;3. čtvrtletí 2024;470
Hlavní město Praha;Počet ekonomických subjektů celkem;250 - 499;2. čtvrtletí 2024;384
Hlavní město Praha;Počet ekonomických subjektů celkem;250 - 499;1. čtvrtletí 2024;376
Hlavní město Praha;Počet ekonomických subjektů celkem;250 - 499;4. čtvrtletí 2023;383
Hlavní město Praha;Počet ekonomických subjektů celkem;250 - 499;3. čtvrtletí 2023;386
Hlavní město Praha;Počet ekonomických subjektů celkem;250 - 499;2. čtvrtletí 2023;373
Hlavní město Praha;Počet ekonomických subjektů celkem;250 - 499;1. čtvrtletí 2023;372
Hlavní město Praha;Počet ekonomických subjektů celkem;250 - 499;4. čtvrtletí 2022;381
Hlavní město Praha;Počet ekonomických subjektů celkem;250 - 499;3. čtvrtletí 2022;371
Hlavní město Praha;Počet ekonomických subjektů celkem;250 - 499;2. čtvrtletí 2022;354
Hlavní město Praha;Počet ekonomických subjektů celkem;250 - 499;1. čtvrtletí 2022;366
Hlavní město Praha;Počet ekonomických subjektů celkem;250 - 499;4. čtvrtletí 2021;371
Hlavní město Praha;Počet ekonomických subjektů celkem;250 - 499;3. čtvrtletí 2021;358
Hlavní město Praha;Počet ekonomických subjektů celkem;250 - 499;2. čtvrtletí 2021;351
Hlavní město Praha;Počet ekonomických subjektů celkem;250 - 499;1. čtvrtletí 2021;343
Hlavní město Praha;Počet ekonomických subjektů celkem;500 - 999;1. čtvrtletí 2025;239
Hlavní město Praha;Počet ekonomických subjektů celkem;500 - 999;4. čtvrtletí 2024;236
Hlavní město Praha;Počet ekonomických subjektů celkem;500 - 999;3. čtvrtletí 2024;223
Hlavní město Praha;Počet ekonomických subjektů celkem;500 - 999;2. čtvrtletí 2024;198
Hlavní město Praha;Počet ekonomických subjektů celkem;500 - 999;1. čtvrtletí 2024;194
Hlavní město Praha;Počet ekonomických subjektů celkem;500 - 999;4. čtvrtletí 2023;198
Hlavní město Praha;Počet ekonomických subjektů celkem;500 - 999;3. čtvrtletí 2023;193
Hlavní město Praha;Počet ekonomických subjektů celkem;500 - 999;2. čtvrtletí 2023;192
Hlavní město Praha;Počet ekonomických subjektů celkem;500 - 999;1. čtvrtletí 2023;194
Hlavní město Praha;Počet ekonomických subjektů celkem;500 - 999;4. čtvrtletí 2022;190
Hlavní město Praha;Počet ekonomických subjektů celkem;500 - 999;3. čtvrtletí 2022;185
Hlavní město Praha;Počet ekonomických subjektů celkem;500 - 999;2. čtvrtletí 2022;193
Hlavní město Praha;Počet ekonomických subjektů celkem;500 - 999;1. čtvrtletí 2022;178
Hlavní město Praha;Počet ekonomických subjektů celkem;500 - 999;4. čtvrtletí 2021;180
Hlavní město Praha;Počet ekonomických subjektů celkem;500 - 999;3. čtvrtletí 2021;177
Hlavní město Praha;Počet ekonomických subjektů celkem;500 - 999;2. čtvrtletí 2021;179
Hlavní město Praha;Počet ekonomických subjektů celkem;500 - 999;1. čtvrtletí 2021;184
Hlavní město Praha;Počet ekonomických subjektů celkem;1000 - 1499;1. čtvrtletí 2025;78
Hlavní město Praha;Počet ekonomických subjektů celkem;1000 - 1499;4. čtvrtletí 2024;84
Hlavní město Praha;Počet ekonomických subjektů celkem;1000 - 1499;3. čtvrtletí 2024;75
Hlavní město Praha;Počet ekonomických subjektů celkem;1000 - 1499;2. čtvrtletí 2024;63
Hlavní město Praha;Počet ekonomických subjektů celkem;1000 - 1499;1. čtvrtletí 2024;59
Hlavní město Praha;Počet ekonomických subjektů celkem;1000 - 1499;4. čtvrtletí 2023;61
Hlavní město Praha;Počet ekonomických subjektů celkem;1000 - 1499;3. čtvrtletí 2023;64
Hlavní město Praha;Počet ekonomických subjektů celkem;1000 - 1499;2. čtvrtletí 2023;63
Hlavní město Praha;Počet ekonomických subjektů celkem;1000 - 1499;1. čtvrtletí 2023;57
Hlavní město Praha;Počet ekonomických subjektů celkem;1000 - 1499;4. čtvrtletí 2022;67
Hlavní město Praha;Počet ekonomických subjektů celkem;1000 - 1499;3. čtvrtletí 2022;65
Hlavní město Praha;Počet ekonomických subjektů celkem;1000 - 1499;2. čtvrtletí 2022;64
Hlavní město Praha;Počet ekonomických subjektů celkem;1000 - 1499;1. čtvrtletí 2022;62
Hlavní město Praha;Počet ekonomických subjektů celkem;1000 - 1499;4. čtvrtletí 2021;68
Hlavní město Praha;Počet ekonomických subjektů celkem;1000 - 1499;3. čtvrtletí 2021;68
Hlavní město Praha;Počet ekonomických subjektů celkem;1000 - 1499;2. čtvrtletí 2021;69
Hlavní město Praha;Počet ekonomických subjektů celkem;1000 - 1499;1. čtvrtletí 2021;64
Hlavní město Praha;Počet ekonomických subjektů celkem;1500 - 1999;1. čtvrtletí 2025;37
Hlavní město Praha;Počet ekonomických subjektů celkem;1500 - 1999;4. čtvrtletí 2024;37
Hlavní město Praha;Počet ekonomických subjektů celkem;1500 - 1999;3. čtvrtletí 2024;44
Hlavní město Praha;Počet ekonomických subjektů celkem;1500 - 1999;2. čtvrtletí 2024;35
Hlavní město Praha;Počet ekonomických subjektů celkem;1500 - 1999;1. čtvrtletí 2024;38
Hlavní město Praha;Počet ekonomických subjektů celkem;1500 - 1999;4. čtvrtletí 2023;39
Hlavní město Praha;Počet ekonomických subjektů celkem;1500 - 1999;3. čtvrtletí 2023;40
Hlavní město Praha;Počet ekonomických subjektů celkem;1500 - 1999;2. čtvrtletí 2023;38
Hlavní město Praha;Počet ekonomických subjektů celkem;1500 - 1999;1. čtvrtletí 2023;36
Hlavní město Praha;Počet ekonomických subjektů celkem;1500 - 1999;4. čtvrtletí 2022;36
Hlavní město Praha;Počet ekonomických subjektů celkem;1500 - 1999;3. čtvrtletí 2022;39
Hlavní město Praha;Počet ekonomických subjektů celkem;1500 - 1999;2. čtvrtletí 2022;33
Hlavní město Praha;Počet ekonomických subjektů celkem;1500 - 1999;1. čtvrtletí 2022;33
Hlavní město Praha;Počet ekonomických subjektů celkem;1500 - 1999;4. čtvrtletí 2021;32
Hlavní město Praha;Počet ekonomických subjektů celkem;1500 - 1999;3. čtvrtletí 2021;36
Hlavní město Praha;Počet ekonomických subjektů celkem;1500 - 1999;2. čtvrtletí 2021;33
Hlavní město Praha;Počet ekonomických subjektů celkem;1500 - 1999;1. čtvrtletí 2021;35
Hlavní město Praha;Počet ekonomických subjektů celkem;2000 - 2499;1. čtvrtletí 2025;24
Hlavní město Praha;Počet ekonomických subjektů celkem;2000 - 2499;4. čtvrtletí 2024;28
Hlavní město Praha;Počet ekonomických subjektů celkem;2000 - 2499;3. čtvrtletí 2024;25
Hlavní město Praha;Počet ekonomických subjektů celkem;2000 - 2499;2. čtvrtletí 2024;17
Hlavní město Praha;Počet ekonomických subjektů celkem;2000 - 2499;1. čtvrtletí 2024;16
Hlavní město Praha;Počet ekonomických subjektů celkem;2000 - 2499;4. čtvrtletí 2023;15
Hlavní město Praha;Počet ekonomických subjektů celkem;2000 - 2499;3. čtvrtletí 2023;15
Hlavní město Praha;Počet ekonomických subjektů celkem;2000 - 2499;2. čtvrtletí 2023;16
Hlavní město Praha;Počet ekonomických subjektů celkem;2000 - 2499;1. čtvrtletí 2023;19
Hlavní město Praha;Počet ekonomických subjektů celkem;2000 - 2499;4. čtvrtletí 2022;16
Hlavní město Praha;Počet ekonomických subjektů celkem;2000 - 2499;3. čtvrtletí 2022;11
Hlavní město Praha;Počet ekonomických subjektů celkem;2000 - 2499;2. čtvrtletí 2022;14
Hlavní město Praha;Počet ekonomických subjektů celkem;2000 - 2499;1. čtvrtletí 2022;16
Hlavní město Praha;Počet ekonomických subjektů celkem;2000 - 2499;4. čtvrtletí 2021;13
Hlavní město Praha;Počet ekonomických subjektů celkem;2000 - 2499;3. čtvrtletí 2021;14
Hlavní město Praha;Počet ekonomických subjektů celkem;2000 - 2499;2. čtvrtletí 2021;15
Hlavní město Praha;Počet ekonomických subjektů celkem;2000 - 2499;1. čtvrtletí 2021;15
Hlavní město Praha;Počet ekonomických subjektů celkem;2500 - 2999;1. čtvrtletí 2025;12
Hlavní město Praha;Počet ekonomických subjektů celkem;2500 - 2999;4. čtvrtletí 2024;12
Hlavní město Praha;Počet ekonomických subjektů celkem;2500 - 2999;3. čtvrtletí 2024;11
Hlavní město Praha;Počet ekonomických subjektů celkem;2500 - 2999;2. čtvrtletí 2024;9
Hlavní město Praha;Počet ekonomických subjektů celkem;2500 - 2999;1. čtvrtletí 2024;9
Hlavní město Praha;Počet ekonomických subjektů celkem;2500 - 2999;4. čtvrtletí 2023;10
Hlavní město Praha;Počet ekonomických subjektů celkem;2500 - 2999;3. čtvrtletí 2023;9
Hlavní město Praha;Počet ekonomických subjektů celkem;2500 - 2999;2. čtvrtletí 2023;7
Hlavní město Praha;Počet ekonomických subjektů celkem;2500 - 2999;1. čtvrtletí 2023;7
Hlavní město Praha;Počet ekonomických subjektů celkem;2500 - 2999;4. čtvrtletí 2022;8
Hlavní město Praha;Počet ekonomických subjektů celkem;2500 - 2999;3. čtvrtletí 2022;10
Hlavní město Praha;Počet ekonomických subjektů celkem;2500 - 2999;2. čtvrtletí 2022;9
Hlavní město Praha;Počet ekonomických subjektů celkem;2500 - 2999;1. čtvrtletí 2022;7
Hlavní město Praha;Počet ekonomických subjektů celkem;2500 - 2999;4. čtvrtletí 2021;10
Hlavní město Praha;Počet ekonomických subjektů celkem;2500 - 2999;3. čtvrtletí 2021;9
