Ukazatel;ČR a kraje;Odvětví ekonomické činnosti;Roky;value
Zaměstnaní (tis. osob);Česko;B - Těžba a dobývání;2017;33.0236964
Zaměstnaní (tis. osob);Česko;B - Těžba a dobývání;2018;33.301905725
Zaměstnaní (tis. osob);Česko;B - Těžba a dobývání;2019;29.88956935
Zaměstnaní (tis. osob);Česko;B - Těžba a dobývání;2020;30.955872875
Zaměstnaní (tis. osob);Česko;B - Těžba a dobývání;2021;29.31037045
Zaměstnaní (tis. osob);Česko;B - Těžba a dobývání;2022;23.07967765
Zaměstnaní (tis. osob);Česko;B - Těžba a dobývání;2023;21.429146673
Zaměstnaní (tis. osob);Česko;C - Zpracovatelský průmysl;1993;1405.11745714123
Zaměstnaní (tis. osob);Česko;C - Zpracovatelský průmysl;1994;1388.87469477518
Zaměstnaní (tis. osob);Česko;C - Zpracovatelský průmysl;1995;1377.50370924316
Zaměstnaní (tis. osob);Česko;C - Zpracovatelský průmysl;1996;1362.99909789343
Zaměstnaní (tis. osob);Česko;C - Zpracovatelský průmysl;1997;1324.91356997465
Zaměstnaní (tis. osob);Česko;C - Zpracovatelský průmysl;1998;1294.13403508919
Zaměstnaní (tis. osob);Česko;C - Zpracovatelský průmysl;1999;1262.96362367795
Zaměstnaní (tis. osob);Česko;C - Zpracovatelský průmysl;2000;1238.80359985347
Zaměstnaní (tis. osob);Česko;C - Zpracovatelský průmysl;2001;1264.40546254615
Zaměstnaní (tis. osob);Česko;C - Zpracovatelský průmysl;2002;1268.39502673133
Zaměstnaní (tis. osob);Česko;C - Zpracovatelský průmysl;2003;1246.39366901694
Zaměstnaní (tis. osob);Česko;C - Zpracovatelský průmysl;2004;1225.44683243739
Zaměstnaní (tis. osob);Česko;C - Zpracovatelský průmysl;2005;1249.09832463563
Zaměstnaní (tis. osob);Česko;C - Zpracovatelský průmysl;2006;1310.62058204449
Zaměstnaní (tis. osob);Česko;C - Zpracovatelský průmysl;2007;1348.32646054004
Zaměstnaní (tis. osob);Česko;C - Zpracovatelský průmysl;2008;1378.4860663946
Zaměstnaní (tis. osob);Česko;C - Zpracovatelský průmysl;2009;1242.69418949542
Zaměstnaní (tis. osob);Česko;C - Zpracovatelský průmysl;2010;1235.92100660597
Zaměstnaní (tis. osob);Česko;C - Zpracovatelský průmysl;2011;1287.596255765
Zaměstnaní (tis. osob);Česko;C - Zpracovatelský průmysl;2012;1299.0636787975
Zaměstnaní (tis. osob);Česko;C - Zpracovatelský průmysl;2013;1285.260800075
Zaměstnaní (tis. osob);Česko;C - Zpracovatelský průmysl;2014;1329.8494144525
Zaměstnaní (tis. osob);Česko;C - Zpracovatelský průmysl;2015;1376.8362651975
Zaměstnaní (tis. osob);Česko;C - Zpracovatelský průmysl;2016;1428.65434565
Zaměstnaní (tis. osob);Česko;C - Zpracovatelský průmysl;2017;1454.854395175
Zaměstnaní (tis. osob);Česko;C - Zpracovatelský průmysl;2018;1458.4341919
Zaměstnaní (tis. osob);Česko;C - Zpracovatelský průmysl;2019;1455.39367535
Zaměstnaní (tis. osob);Česko;C - Zpracovatelský průmysl;2020;1398.834327875
Zaměstnaní (tis. osob);Česko;C - Zpracovatelský průmysl;2021;1358.19043295
Zaměstnaní (tis. osob);Česko;C - Zpracovatelský průmysl;2022;1339.79430175
Zaměstnaní (tis. osob);Česko;C - Zpracovatelský průmysl;2023;1279.1550685
Zaměstnaní (tis. osob);Česko;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;1993;79.3466160655642
Zaměstnaní (tis. osob);Česko;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;1994;79.0496406483819
Zaměstnaní (tis. osob);Česko;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;1995;83.2429344517346
Zaměstnaní (tis. osob);Česko;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;1996;81.1696153170176
Zaměstnaní (tis. osob);Česko;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;1997;72.8654230600453
Zaměstnaní (tis. osob);Česko;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;1998;73.8395996639963
Zaměstnaní (tis. osob);Česko;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;1999;65.7568952831563
Zaměstnaní (tis. osob);Česko;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2000;61.3745299757951
Zaměstnaní (tis. osob);Česko;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2001;69.1904166327889
Zaměstnaní (tis. osob);Česko;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2002;67.6307496382341
Zaměstnaní (tis. osob);Česko;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2003;61.8927802805861
Zaměstnaní (tis. osob);Česko;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2004;62.5341694358806
Zaměstnaní (tis. osob);Česko;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2005;62.011678837493
Zaměstnaní (tis. osob);Česko;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2006;59.3154790702171
Zaměstnaní (tis. osob);Česko;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2007;56.2420940234914
Zaměstnaní (tis. osob);Česko;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2008;60.0807838768
Zaměstnaní (tis. osob);Česko;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2009;57.74186421225
Zaměstnaní (tis. osob);Česko;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2010;56.7589353045
Zaměstnaní (tis. osob);Česko;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2011;57.667169195
Zaměstnaní (tis. osob);Česko;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2012;50.9262528525
Zaměstnaní (tis. osob);Česko;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2013;53.973394535
Zaměstnaní (tis. osob);Česko;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2014;57.1783433925
Zaměstnaní (tis. osob);Česko;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2015;49.2169833225
Zaměstnaní (tis. osob);Česko;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2016;52.774225375
Zaměstnaní (tis. osob);Česko;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2017;51.252025125
Zaměstnaní (tis. osob);Česko;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2018;52.8245179
Zaměstnaní (tis. osob);Česko;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2019;50.332540275
Zaměstnaní (tis. osob);Česko;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2020;57.4169481
Zaměstnaní (tis. osob);Česko;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2021;56.82682365
Zaměstnaní (tis. osob);Česko;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2022;53.6515015
Zaměstnaní (tis. osob);Česko;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2023;52.658745849
Zaměstnaní (tis. osob);Česko;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";1993;37.4805129291329
Zaměstnaní (tis. osob);Česko;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";1994;41.0820301123684
Zaměstnaní (tis. osob);Česko;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";1995;42.9563231691082
Zaměstnaní (tis. osob);Česko;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";1996;46.1997969667076
Zaměstnaní (tis. osob);Česko;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";1997;47.5931791856225
Zaměstnaní (tis. osob);Česko;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";1998;48.9426473859308
Zaměstnaní (tis. osob);Česko;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";1999;45.0550050917779
Zaměstnaní (tis. osob);Česko;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2000;41.4568113549169
Zaměstnaní (tis. osob);Česko;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2001;43.0140296363716
Zaměstnaní (tis. osob);Česko;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2002;45.5005591618735
Zaměstnaní (tis. osob);Česko;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2003;43.6462816046592
Zaměstnaní (tis. osob);Česko;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2004;42.4452435105048
Zaměstnaní (tis. osob);Česko;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2005;46.6786955515258
Zaměstnaní (tis. osob);Česko;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2006;50.1105090700069
Zaměstnaní (tis. osob);Česko;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2007;51.5503266953227
Zaměstnaní (tis. osob);Česko;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2008;52.65627874665
Zaměstnaní (tis. osob);Česko;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2009;53.75415049385
Zaměstnaní (tis. osob);Česko;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2010;50.197076892875
Zaměstnaní (tis. osob);Česko;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2011;50.9699275
Zaměstnaní (tis. osob);Česko;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2012;45.980278545
Zaměstnaní (tis. osob);Česko;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2013;51.28214739
Zaměstnaní (tis. osob);Česko;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2014;55.4433309175
Zaměstnaní (tis. osob);Česko;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2015;57.12971037
Zaměstnaní (tis. osob);Česko;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2016;49.460725925
Zaměstnaní (tis. osob);Česko;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2017;55.8775645
Zaměstnaní (tis. osob);Česko;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2018;56.412544475
Zaměstnaní (tis. osob);Česko;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2019;62.915508875
Zaměstnaní (tis. osob);Česko;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2020;67.040095875
Zaměstnaní (tis. osob);Česko;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2021;63.38990005
Zaměstnaní (tis. osob);Česko;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2022;62.201005725
Zaměstnaní (tis. osob);Česko;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2023;59.896062972
Zaměstnaní (tis. osob);Česko;F - Stavebnictví;1993;441.1899115761
Zaměstnaní (tis. osob);Česko;F - Stavebnictví;1994;469.048307031646
Zaměstnaní (tis. osob);Česko;F - Stavebnictví;1995;474.5235893572
Zaměstnaní (tis. osob);Česko;F - Stavebnictví;1996;486.479711025978
Zaměstnaní (tis. osob);Česko;F - Stavebnictví;1997;498.445163009156
Zaměstnaní (tis. osob);Česko;F - Stavebnictví;1998;491.065447039213
Zaměstnaní (tis. osob);Česko;F - Stavebnictví;1999;461.717611887118
Zaměstnaní (tis. osob);Česko;F - Stavebnictví;2000;456.471979802458
Zaměstnaní (tis. osob);Česko;F - Stavebnictví;2001;444.910472049574
Zaměstnaní (tis. osob);Česko;F - Stavebnictví;2002;445.384075191633
Zaměstnaní (tis. osob);Česko;F - Stavebnictví;2003;458.282200408433
Zaměstnaní (tis. osob);Česko;F - Stavebnictví;2004;454.192300656629
Zaměstnaní (tis. osob);Česko;F - Stavebnictví;2005;475.734519417638
Zaměstnaní (tis. osob);Česko;F - Stavebnictví;2006;454.710892110394
Zaměstnaní (tis. osob);Česko;F - Stavebnictví;2007;465.817481620462
Zaměstnaní (tis. osob);Česko;F - Stavebnictví;2008;480.790164460875
Zaměstnaní (tis. osob);Česko;F - Stavebnictví;2009;496.7232426005
Zaměstnaní (tis. osob);Česko;F - Stavebnictví;2010;464.8758351246
Zaměstnaní (tis. osob);Česko;F - Stavebnictví;2011;430.98987775
Zaměstnaní (tis. osob);Česko;F - Stavebnictví;2012;424.976163835
Zaměstnaní (tis. osob);Česko;F - Stavebnictví;2013;420.2871912925
Zaměstnaní (tis. osob);Česko;F - Stavebnictví;2014;413.9488689425
Zaměstnaní (tis. osob);Česko;F - Stavebnictví;2015;396.0022780825
Zaměstnaní (tis. osob);Česko;F - Stavebnictví;2016;386.30129785
Zaměstnaní (tis. osob);Česko;F - Stavebnictví;2017;391.8645252
Zaměstnaní (tis. osob);Česko;F - Stavebnictví;2018;383.9764377
Zaměstnaní (tis. osob);Česko;F - Stavebnictví;2019;376.86842845
Zaměstnaní (tis. osob);Česko;F - Stavebnictví;2020;395.41356655
Zaměstnaní (tis. osob);Česko;F - Stavebnictví;2021;413.3737691
Zaměstnaní (tis. osob);Česko;F - Stavebnictví;2022;406.507943225
Zaměstnaní (tis. osob);Česko;F - Stavebnictví;2023;392.76202003
Zaměstnaní (tis. osob);Česko;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";1993;497.53516679837
Zaměstnaní (tis. osob);Česko;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";1994;575.073258511134
Zaměstnaní (tis. osob);Česko;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";1995;604.336699859256
Zaměstnaní (tis. osob);Česko;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";1996;624.854896420332
Zaměstnaní (tis. osob);Česko;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";1997;643.839411523716
Zaměstnaní (tis. osob);Česko;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";1998;630.665988867402
Zaměstnaní (tis. osob);Česko;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";1999;625.932308385816
Zaměstnaní (tis. osob);Česko;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2000;598.933645020741
Zaměstnaní (tis. osob);Česko;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2001;591.317364568863
Zaměstnaní (tis. osob);Česko;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2002;606.329287643634
Zaměstnaní (tis. osob);Česko;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2003;613.67170537485
Zaměstnaní (tis. osob);Česko;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2004;616.421576402503
Zaměstnaní (tis. osob);Česko;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2005;600.823040702478
Zaměstnaní (tis. osob);Česko;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2006;599.745995397691
Zaměstnaní (tis. osob);Česko;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2007;598.91811184053
Zaměstnaní (tis. osob);Česko;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2008;619.2041401088
Zaměstnaní (tis. osob);Česko;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2009;630.925010718799
Zaměstnaní (tis. osob);Česko;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2010;593.78092624355
Zaměstnaní (tis. osob);Česko;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2011;597.3802156
Zaměstnaní (tis. osob);Česko;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2012;601.911162575
Zaměstnaní (tis. osob);Česko;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2013;605.343130405
Zaměstnaní (tis. osob);Česko;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2014;590.1911798675
Zaměstnaní (tis. osob);Česko;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2015;615.7195604275
Zaměstnaní (tis. osob);Česko;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2016;605.758211275
Zaměstnaní (tis. osob);Česko;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2017;600.008889075
Zaměstnaní (tis. osob);Česko;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2018;615.58927135
Zaměstnaní (tis. osob);Česko;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2019;595.7807547
Zaměstnaní (tis. osob);Česko;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2020;582.95140075
Zaměstnaní (tis. osob);Česko;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2021;577.026029675
Zaměstnaní (tis. osob);Česko;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2022;583.0262065
Zaměstnaní (tis. osob);Česko;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2023;551.146636
Zaměstnaní (tis. osob);Česko;H - Doprava a skladování;1993;338.935232294952
Zaměstnaní (tis. osob);Česko;H - Doprava a skladování;1994;324.459585160365
Zaměstnaní (tis. osob);Česko;H - Doprava a skladování;1995;336.275954065647
Zaměstnaní (tis. osob);Česko;H - Doprava a skladování;1996;340.769139102598
Zaměstnaní (tis. osob);Česko;H - Doprava a skladování;1997;330.075761109056
Zaměstnaní (tis. osob);Česko;H - Doprava a skladování;1998;331.271226923378
Zaměstnaní (tis. osob);Česko;H - Doprava a skladování;1999;327.161449649747
Zaměstnaní (tis. osob);Česko;H - Doprava a skladování;2000;328.20682665748
Zaměstnaní (tis. osob);Česko;H - Doprava a skladování;2001;318.42352886575
Zaměstnaní (tis. osob);Česko;H - Doprava a skladování;2002;325.150243987988
Zaměstnaní (tis. osob);Česko;H - Doprava a skladování;2003;315.187819875511
Zaměstnaní (tis. osob);Česko;H - Doprava a skladování;2004;318.78753542056
Zaměstnaní (tis. osob);Česko;H - Doprava a skladování;2005;313.828190839302
Zaměstnaní (tis. osob);Česko;H - Doprava a skladování;2006;320.461191676388
Zaměstnaní (tis. osob);Česko;H - Doprava a skladování;2007;323.169375946129
Zaměstnaní (tis. osob);Česko;H - Doprava a skladování;2008;327.536146408225
Zaměstnaní (tis. osob);Česko;H - Doprava a skladování;2009;330.6769453619
Zaměstnaní (tis. osob);Česko;H - Doprava a skladování;2010;328.101969094025
Zaměstnaní (tis. osob);Česko;H - Doprava a skladování;2011;322.21255079
Zaměstnaní (tis. osob);Česko;H - Doprava a skladování;2012;308.8829727675
Zaměstnaní (tis. osob);Česko;H - Doprava a skladování;2013;301.85672132
Zaměstnaní (tis. osob);Česko;H - Doprava a skladování;2014;295.939595245
Zaměstnaní (tis. osob);Česko;H - Doprava a skladování;2015;297.5586204175
Zaměstnaní (tis. osob);Česko;H - Doprava a skladování;2016;314.203637475
Zaměstnaní (tis. osob);Česko;H - Doprava a skladování;2017;328.4197502
Zaměstnaní (tis. osob);Česko;H - Doprava a skladování;2018;328.1929904
Zaměstnaní (tis. osob);Česko;H - Doprava a skladování;2019;352.52464315
Zaměstnaní (tis. osob);Česko;H - Doprava a skladování;2020;326.5367701
Zaměstnaní (tis. osob);Česko;H - Doprava a skladování;2021;311.9259548
Zaměstnaní (tis. osob);Česko;H - Doprava a skladování;2022;320.597219725
Zaměstnaní (tis. osob);Česko;H - Doprava a skladování;2023;313.51857471
Zaměstnaní (tis. osob);Česko;I - Ubytování, stravování a pohostinství;1993;148.909594124879
Zaměstnaní (tis. osob);Česko;I - Ubytování, stravování a pohostinství;1994;149.442150541776
Zaměstnaní (tis. osob);Česko;I - Ubytování, stravování a pohostinství;1995;154.014935121393
Zaměstnaní (tis. osob);Česko;I - Ubytování, stravování a pohostinství;1996;155.636639560507
Zaměstnaní (tis. osob);Česko;I - Ubytování, stravování a pohostinství;1997;166.254924194319
