ČR a kraje;Ukazatel;Pohlaví;Klasifikace zaměstnání (CZISCO);Čtvrtletí;value
Česko;Zaměstnaní (tis. osob);Celkem;Celkem;4. čtvrtletí 2004;4732.66189061388
Česko;Zaměstnaní (tis. osob);Celkem;Celkem;3. čtvrtletí 2004;4717.36443615594
Česko;Zaměstnaní (tis. osob);Celkem;Celkem;2. čtvrtletí 2004;4700.60176646963
Česko;Zaměstnaní (tis. osob);Celkem;Celkem;1. čtvrtletí 2004;4675.87983908486
Česko;Zaměstnaní (tis. osob);Celkem;Celkem;4. čtvrtletí 2003;4724.92993573684
Česko;Zaměstnaní (tis. osob);Celkem;Celkem;3. čtvrtletí 2003;4727.82341917385
Česko;Zaměstnaní (tis. osob);Celkem;Celkem;2. čtvrtletí 2003;4740.04268051406
Česko;Zaměstnaní (tis. osob);Celkem;Celkem;1. čtvrtletí 2003;4739.9318709302
Česko;Zaměstnaní (tis. osob);Celkem;Celkem;4. čtvrtletí 2002;4791.71070708969
Česko;Zaměstnaní (tis. osob);Celkem;Celkem;3. čtvrtletí 2002;4781.05505344896
Česko;Zaměstnaní (tis. osob);Celkem;Celkem;2. čtvrtletí 2002;4768.23553228979
Česko;Zaměstnaní (tis. osob);Celkem;Celkem;1. čtvrtletí 2002;4718.65764383926
Česko;Zaměstnaní (tis. osob);Celkem;Celkem;4. čtvrtletí 2001;4738.56338277241
Česko;Zaměstnaní (tis. osob);Celkem;Celkem;3. čtvrtletí 2001;4725.0445513605
Česko;Zaměstnaní (tis. osob);Celkem;Celkem;2. čtvrtletí 2001;4726.18038909582
Česko;Zaměstnaní (tis. osob);Celkem;Celkem;1. čtvrtletí 2001;4720.98136622196
Česko;Zaměstnaní (tis. osob);Celkem;Celkem;4. čtvrtletí 2000;4750.99389513671
Česko;Zaměstnaní (tis. osob);Celkem;Celkem;3. čtvrtletí 2000;4742.22352870002
Česko;Zaměstnaní (tis. osob);Celkem;Celkem;2. čtvrtletí 2000;4726.51352050007
Česko;Zaměstnaní (tis. osob);Celkem;Celkem;1. čtvrtletí 2000;4706.68085809994
Česko;Zaměstnaní (tis. osob);Celkem;Celkem;4. čtvrtletí 1999;4765.42841209995
Česko;Zaměstnaní (tis. osob);Celkem;Celkem;3. čtvrtletí 1999;4755.89683049994
Česko;Zaměstnaní (tis. osob);Celkem;Celkem;2. čtvrtletí 1999;4764.81227779997
Česko;Zaměstnaní (tis. osob);Celkem;Celkem;1. čtvrtletí 1999;4770.25860369998
Česko;Zaměstnaní (tis. osob);Celkem;Celkem;4. čtvrtletí 1998;4852.92620449999
Česko;Zaměstnaní (tis. osob);Celkem;Celkem;3. čtvrtletí 1998;4853.73832009999
Česko;Zaměstnaní (tis. osob);Celkem;Celkem;2. čtvrtletí 1998;4874.9621658999
Česko;Zaměstnaní (tis. osob);Celkem;Celkem;1. čtvrtletí 1998;4881.31996320005
Česko;Zaměstnaní (tis. osob);Celkem;Celkem;4. čtvrtletí 1997;4926.92950990007
Česko;Zaměstnaní (tis. osob);Celkem;Celkem;3. čtvrtletí 1997;4931.18848309991
Česko;Zaměstnaní (tis. osob);Celkem;Celkem;2. čtvrtletí 1997;4935.41341719988
Česko;Zaměstnaní (tis. osob);Celkem;Celkem;1. čtvrtletí 1997;4952.57056600025
Česko;Zaměstnaní (tis. osob);Celkem;Celkem;4. čtvrtletí 1996;4980.34827490009
Česko;Zaměstnaní (tis. osob);Celkem;Celkem;3. čtvrtletí 1996;4974.32067349993
Česko;Zaměstnaní (tis. osob);Celkem;Celkem;2. čtvrtletí 1996;4961.28472680002
Česko;Zaměstnaní (tis. osob);Celkem;Celkem;1. čtvrtletí 1996;4972.01197660007
Česko;Zaměstnaní (tis. osob);Celkem;Celkem;4. čtvrtletí 1995;4994.86931039999
Česko;Zaměstnaní (tis. osob);Celkem;Celkem;3. čtvrtletí 1995;4975.43746400008
Česko;Zaměstnaní (tis. osob);Celkem;Celkem;2. čtvrtletí 1995;4949.34080910013
Česko;Zaměstnaní (tis. osob);Celkem;Celkem;1. čtvrtletí 1995;4930.66453560012
Česko;Zaměstnaní (tis. osob);Celkem;Celkem;4. čtvrtletí 1994;4943.30229690015
Česko;Zaměstnaní (tis. osob);Celkem;Celkem;3. čtvrtletí 1994;4930.22099160009
Česko;Zaměstnaní (tis. osob);Celkem;Celkem;2. čtvrtletí 1994;4917.9742204
Česko;Zaměstnaní (tis. osob);Celkem;Celkem;1. čtvrtletí 1994;4915.56842489988
Česko;Zaměstnaní (tis. osob);Celkem;Celkem;4. čtvrtletí 1993;4931.88820449985
Česko;Zaměstnaní (tis. osob);Celkem;Celkem;3. čtvrtletí 1993;4889.9915653
Česko;Zaměstnaní (tis. osob);Celkem;Celkem;2. čtvrtletí 1993;4846.88570950015
Česko;Zaměstnaní (tis. osob);Celkem;Celkem;1. čtvrtletí 1993;4825.40247250011
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;4. čtvrtletí 2024;274.90136441
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;3. čtvrtletí 2024;270.79316382
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;2. čtvrtletí 2024;266.3925004
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;1. čtvrtletí 2024;262.3892408
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;4. čtvrtletí 2023;262.137828637
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;3. čtvrtletí 2023;265.349847491
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;2. čtvrtletí 2023;265.328943932
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;1. čtvrtletí 2023;255.66676926
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;4. čtvrtletí 2022;263.21240602
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;3. čtvrtletí 2022;267.69453806
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;2. čtvrtletí 2022;263.0727696
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;1. čtvrtletí 2022;269.9208785
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;4. čtvrtletí 2021;279.8084537
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;3. čtvrtletí 2021;266.4650394
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;2. čtvrtletí 2021;258.3040874
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;1. čtvrtletí 2021;250.4652679
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;4. čtvrtletí 2020;230.0223871
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;3. čtvrtletí 2020;224.0728765
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;2. čtvrtletí 2020;218.2519998
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;1. čtvrtletí 2020;224.8835076
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;4. čtvrtletí 2019;229.2404365
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;3. čtvrtletí 2019;236.6137716
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;2. čtvrtletí 2019;236.5953205
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;1. čtvrtletí 2019;247.9994071
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;4. čtvrtletí 2018;241.9654803
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;3. čtvrtletí 2018;240.5247936
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;2. čtvrtletí 2018;248.3745507
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;1. čtvrtletí 2018;249.1180845
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;4. čtvrtletí 2017;249.7777392
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;3. čtvrtletí 2017;243.7387245
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;2. čtvrtletí 2017;251.7112317
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;1. čtvrtletí 2017;255.6142705
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;4. čtvrtletí 2016;255.1671508
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;3. čtvrtletí 2016;266.7560918
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;2. čtvrtletí 2016;276.7057412
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;1. čtvrtletí 2016;277.91364944
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;4. čtvrtletí 2015;275.71832734
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;3. čtvrtletí 2015;282.94214281
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;2. čtvrtletí 2015;274.14876716
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;1. čtvrtletí 2015;264.37905371
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;4. čtvrtletí 2014;260.31755512
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;3. čtvrtletí 2014;255.21757239
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;2. čtvrtletí 2014;254.24437509
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;1. čtvrtletí 2014;256.42878354
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;4. čtvrtletí 2013;264.2352936
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;3. čtvrtletí 2013;272.82786993
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;2. čtvrtletí 2013;278.10350368
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;1. čtvrtletí 2013;270.06341072
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;4. čtvrtletí 2012;264.77470266
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;3. čtvrtletí 2012;256.59236703
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;2. čtvrtletí 2012;245.63404701
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;1. čtvrtletí 2012;235.51522297
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;4. čtvrtletí 2011;235.75343724
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;3. čtvrtletí 2011;232.76957552
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;2. čtvrtletí 2011;230.4310881647
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;1. čtvrtletí 2011;227.1439736771
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;4. čtvrtletí 2010;261.8765939734
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;3. čtvrtletí 2010;256.8324624578
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;2. čtvrtletí 2010;257.5669838046
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;1. čtvrtletí 2010;268.4431490694
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;4. čtvrtletí 2009;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;3. čtvrtletí 2009;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;2. čtvrtletí 2009;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;1. čtvrtletí 2009;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;4. čtvrtletí 2008;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;3. čtvrtletí 2008;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;2. čtvrtletí 2008;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;1. čtvrtletí 2008;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;4. čtvrtletí 2007;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;3. čtvrtletí 2007;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;2. čtvrtletí 2007;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;1. čtvrtletí 2007;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;4. čtvrtletí 2006;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;3. čtvrtletí 2006;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;2. čtvrtletí 2006;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;1. čtvrtletí 2006;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;4. čtvrtletí 2005;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;3. čtvrtletí 2005;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;2. čtvrtletí 2005;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;1. čtvrtletí 2005;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;4. čtvrtletí 2004;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;3. čtvrtletí 2004;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;2. čtvrtletí 2004;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;1. čtvrtletí 2004;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;4. čtvrtletí 2003;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;3. čtvrtletí 2003;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;2. čtvrtletí 2003;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;1. čtvrtletí 2003;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;4. čtvrtletí 2002;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;3. čtvrtletí 2002;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;2. čtvrtletí 2002;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;1. čtvrtletí 2002;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;4. čtvrtletí 2001;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;3. čtvrtletí 2001;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;2. čtvrtletí 2001;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;1. čtvrtletí 2001;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;4. čtvrtletí 2000;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;3. čtvrtletí 2000;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;2. čtvrtletí 2000;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;1. čtvrtletí 2000;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;4. čtvrtletí 1999;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;3. čtvrtletí 1999;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;2. čtvrtletí 1999;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;1. čtvrtletí 1999;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;4. čtvrtletí 1998;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;3. čtvrtletí 1998;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;2. čtvrtletí 1998;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;1. čtvrtletí 1998;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;4. čtvrtletí 1997;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;3. čtvrtletí 1997;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;2. čtvrtletí 1997;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;1. čtvrtletí 1997;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;4. čtvrtletí 1996;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;3. čtvrtletí 1996;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;2. čtvrtletí 1996;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;1. čtvrtletí 1996;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;4. čtvrtletí 1995;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;3. čtvrtletí 1995;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;2. čtvrtletí 1995;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;1. čtvrtletí 1995;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;4. čtvrtletí 1994;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;3. čtvrtletí 1994;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;2. čtvrtletí 1994;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;1. čtvrtletí 1994;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;4. čtvrtletí 1993;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;3. čtvrtletí 1993;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;2. čtvrtletí 1993;
Česko;Zaměstnaní (tis. osob);Celkem;Zákonodárci a řídící pracovníci;1. čtvrtletí 1993;
Česko;Zaměstnaní (tis. osob);Celkem;Specialisté;4. čtvrtletí 2024;1097.7397885
Česko;Zaměstnaní (tis. osob);Celkem;Specialisté;3. čtvrtletí 2024;1078.6659444
Česko;Zaměstnaní (tis. osob);Celkem;Specialisté;2. čtvrtletí 2024;1057.876177
Česko;Zaměstnaní (tis. osob);Celkem;Specialisté;1. čtvrtletí 2024;1065.398706
