Správní obvody hl. města Prahy;Kategorie ubytovacího zařízení;Ukazatel;Rezidence;Roky;value
Praha 1;HUZ celkem;Počet přenocování;Nerezidenti;2018;6501681.0
Praha 1;HUZ celkem;Počet přenocování;Nerezidenti;2017;6328035.0
Praha 1;HUZ celkem;Počet přenocování;Nerezidenti;2016;5914758.0
Praha 1;HUZ celkem;Počet přenocování;Nerezidenti;2015;5639775.0
Praha 1;HUZ celkem;Počet přenocování;Nerezidenti;2014;5096214.0
Praha 1;HUZ celkem;Počet přenocování;Nerezidenti;2013;4741753.0
Praha 1;HUZ celkem;Počet přenocování;Nerezidenti;2012;4561744.0
Praha 1;HUZ celkem;Průměrný počet přenocování ;Celkem;2024;
Praha 1;HUZ celkem;Průměrný počet přenocování ;Celkem;2023;2.411121411
Praha 1;HUZ celkem;Průměrný počet přenocování ;Celkem;2022;2.3853140653
Praha 1;HUZ celkem;Průměrný počet přenocování ;Celkem;2021;2.3141924764
Praha 1;HUZ celkem;Průměrný počet přenocování ;Celkem;2020;2.2878381019
Praha 1;HUZ celkem;Průměrný počet přenocování ;Celkem;2019;2.443712334
Praha 1;HUZ celkem;Průměrný počet přenocování ;Celkem;2018;2.4457269218
Praha 1;HUZ celkem;Průměrný počet přenocování ;Celkem;2017;2.4561633926
Praha 1;HUZ celkem;Průměrný počet přenocování ;Celkem;2016;2.4559548287
Praha 1;HUZ celkem;Průměrný počet přenocování ;Celkem;2015;2.5101372248
Praha 1;HUZ celkem;Průměrný počet přenocování ;Celkem;2014;2.50236
Praha 1;HUZ celkem;Průměrný počet přenocování ;Celkem;2013;2.53236
Praha 1;HUZ celkem;Průměrný počet přenocování ;Celkem;2012;2.5540531501
Praha 1;HUZ celkem;Průměrný počet přenocování ;Rezidenti;2024;
Praha 1;HUZ celkem;Průměrný počet přenocování ;Rezidenti;2023;1.6657303609
Praha 1;HUZ celkem;Průměrný počet přenocování ;Rezidenti;2022;1.7353439245
Praha 1;HUZ celkem;Průměrný počet přenocování ;Rezidenti;2021;1.8433847805
Praha 1;HUZ celkem;Průměrný počet přenocování ;Rezidenti;2020;1.7092514205
Praha 1;HUZ celkem;Průměrný počet přenocování ;Rezidenti;2019;1.6153343075
Praha 1;HUZ celkem;Průměrný počet přenocování ;Rezidenti;2018;1.6086185802
Praha 1;HUZ celkem;Průměrný počet přenocování ;Rezidenti;2017;1.6622406639
Praha 1;HUZ celkem;Průměrný počet přenocování ;Rezidenti;2016;1.6585839259
Praha 1;HUZ celkem;Průměrný počet přenocování ;Rezidenti;2015;1.6681158494
Praha 1;HUZ celkem;Průměrný počet přenocování ;Rezidenti;2014;1.6996757661
Praha 1;HUZ celkem;Průměrný počet přenocování ;Rezidenti;2013;1.7061340278
Praha 1;HUZ celkem;Průměrný počet přenocování ;Rezidenti;2012;1.7295507192
Praha 1;HUZ celkem;Průměrný počet přenocování ;Nerezidenti;2024;
Praha 1;HUZ celkem;Průměrný počet přenocování ;Nerezidenti;2023;2.51869662
Praha 1;HUZ celkem;Průměrný počet přenocování ;Nerezidenti;2022;2.5084654863
Praha 1;HUZ celkem;Průměrný počet přenocování ;Nerezidenti;2021;2.4867748879
Praha 1;HUZ celkem;Průměrný počet přenocování ;Nerezidenti;2020;2.4568841045
Praha 1;HUZ celkem;Průměrný počet přenocování ;Nerezidenti;2019;2.5052042778
Praha 1;HUZ celkem;Průměrný počet přenocování ;Nerezidenti;2018;2.5050419236
Praha 1;HUZ celkem;Průměrný počet přenocování ;Nerezidenti;2017;2.5162683724
Praha 1;HUZ celkem;Průměrný počet přenocování ;Nerezidenti;2016;2.5173242834
Praha 1;HUZ celkem;Průměrný počet přenocování ;Nerezidenti;2015;2.5701557467
Praha 1;HUZ celkem;Průměrný počet přenocování ;Nerezidenti;2014;2.5601898158
Praha 1;HUZ celkem;Průměrný počet přenocování ;Nerezidenti;2013;2.6005620402
Praha 1;HUZ celkem;Průměrný počet přenocování ;Nerezidenti;2012;2.6223942734
