Území,Měsíce,Typ ceny,Očištění,CZCPA,Ukazatel,value
Česko,prosinec 2024,Běžné ceny,Bez očištění,"02 Produkty lesnictví, těžby dřeva a související služby","Dovoz (v mil. Kč, CIF)",372.233263
Česko,prosinec 2024,Běžné ceny,Bez očištění,"02 Produkty lesnictví, těžby dřeva a související služby",Bilance (v mil. Kč),328.157494
Česko,prosinec 2024,Běžné ceny,Bez očištění,"02 Produkty lesnictví, těžby dřeva a související služby",Obrat zboží (v mil. Kč),1072.62402
Česko,prosinec 2024,Běžné ceny,Bez očištění,"02 Produkty lesnictví, těžby dřeva a související služby",Vývoz (meziroční index),96.5571221448
Česko,prosinec 2024,Běžné ceny,Bez očištění,"02 Produkty lesnictví, těžby dřeva a související služby",Dovoz (meziroční index),123.7923638304
Česko,prosinec 2024,Běžné ceny,Bez očištění,"02 Produkty lesnictví, těžby dřeva a související služby",Obrat zboží (meziroční index),104.5385682726
Česko,prosinec 2024,Běžné ceny,Bez očištění,03 Ryby a jiné produkty rybolovu; produkty akvakultury; podpůrné služby pro rybolov a akvakulturu,"Vývoz (v mil. Kč, FOB)",346.533873
Česko,prosinec 2024,Běžné ceny,Bez očištění,03 Ryby a jiné produkty rybolovu; produkty akvakultury; podpůrné služby pro rybolov a akvakulturu,"Dovoz (v mil. Kč, CIF)",238.506388
Česko,prosinec 2024,Běžné ceny,Bez očištění,03 Ryby a jiné produkty rybolovu; produkty akvakultury; podpůrné služby pro rybolov a akvakulturu,Bilance (v mil. Kč),108.027485
Česko,prosinec 2024,Běžné ceny,Bez očištění,03 Ryby a jiné produkty rybolovu; produkty akvakultury; podpůrné služby pro rybolov a akvakulturu,Obrat zboží (v mil. Kč),585.040261
Česko,prosinec 2024,Běžné ceny,Bez očištění,03 Ryby a jiné produkty rybolovu; produkty akvakultury; podpůrné služby pro rybolov a akvakulturu,Vývoz (meziroční index),99.7489304333
Česko,prosinec 2024,Běžné ceny,Bez očištění,03 Ryby a jiné produkty rybolovu; produkty akvakultury; podpůrné služby pro rybolov a akvakulturu,Dovoz (meziroční index),106.0938449968
Česko,prosinec 2024,Běžné ceny,Bez očištění,03 Ryby a jiné produkty rybolovu; produkty akvakultury; podpůrné služby pro rybolov a akvakulturu,Obrat zboží (meziroční index),102.2416751653
Česko,prosinec 2024,Běžné ceny,Bez očištění,05 Černé a hnědé uhlí a lignit,"Vývoz (v mil. Kč, FOB)",507.42186
Česko,prosinec 2024,Běžné ceny,Bez očištění,05 Černé a hnědé uhlí a lignit,"Dovoz (v mil. Kč, CIF)",1099.531389
Česko,prosinec 2024,Běžné ceny,Bez očištění,05 Černé a hnědé uhlí a lignit,Bilance (v mil. Kč),-592.109529
Česko,prosinec 2024,Běžné ceny,Bez očištění,05 Černé a hnědé uhlí a lignit,Obrat zboží (v mil. Kč),1606.953249
Česko,prosinec 2024,Běžné ceny,Bez očištění,05 Černé a hnědé uhlí a lignit,Vývoz (meziroční index),80.8030892496
Česko,prosinec 2024,Běžné ceny,Bez očištění,05 Černé a hnědé uhlí a lignit,Dovoz (meziroční index),100.2111303023
Česko,prosinec 2024,Běžné ceny,Bez očištění,05 Černé a hnědé uhlí a lignit,Obrat zboží (meziroční index),93.1465488514
Česko,prosinec 2024,Běžné ceny,Bez očištění,06 Ropa a zemní plyn,"Vývoz (v mil. Kč, FOB)",107.046923
Česko,prosinec 2024,Běžné ceny,Bez očištění,06 Ropa a zemní plyn,"Dovoz (v mil. Kč, CIF)",12619.76103
Česko,prosinec 2024,Běžné ceny,Bez očištění,06 Ropa a zemní plyn,Bilance (v mil. Kč),-12512.714107
Česko,prosinec 2024,Běžné ceny,Bez očištění,06 Ropa a zemní plyn,Obrat zboží (v mil. Kč),12726.807953
Česko,prosinec 2024,Běžné ceny,Bez očištění,06 Ropa a zemní plyn,Vývoz (meziroční index),739.6921949002
Česko,prosinec 2024,Běžné ceny,Bez očištění,06 Ropa a zemní plyn,Dovoz (meziroční index),74.7351903957
Česko,prosinec 2024,Běžné ceny,Bez očištění,06 Ropa a zemní plyn,Obrat zboží (meziroční index),75.3045920001
Česko,prosinec 2024,Běžné ceny,Bez očištění,07 Rudy,"Vývoz (v mil. Kč, FOB)",9.889929
Česko,prosinec 2024,Běžné ceny,Bez očištění,07 Rudy,"Dovoz (v mil. Kč, CIF)",777.603666
Česko,prosinec 2024,Běžné ceny,Bez očištění,07 Rudy,Bilance (v mil. Kč),-767.713737
Česko,prosinec 2024,Běžné ceny,Bez očištění,07 Rudy,Obrat zboží (v mil. Kč),787.493595
Česko,prosinec 2024,Běžné ceny,Bez očištění,07 Rudy,Vývoz (meziroční index),97.1597610698
Česko,prosinec 2024,Běžné ceny,Bez očištění,07 Rudy,Dovoz (meziroční index),100.3276228494
Česko,prosinec 2024,Běžné ceny,Bez očištění,07 Rudy,Obrat zboží (meziroční index),100.2865581493
Česko,prosinec 2024,Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,"Vývoz (v mil. Kč, FOB)",386.620634
Česko,prosinec 2024,Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,"Dovoz (v mil. Kč, CIF)",485.71021
Česko,prosinec 2024,Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,Bilance (v mil. Kč),-99.089576
Česko,prosinec 2024,Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,Obrat zboží (v mil. Kč),872.330844
Česko,prosinec 2024,Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,Vývoz (meziroční index),104.5346967305
Česko,prosinec 2024,Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,Dovoz (meziroční index),109.1640851057
Česko,prosinec 2024,Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,Obrat zboží (meziroční index),107.062702396
Česko,prosinec 2024,Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací","Vývoz (v mil. Kč, FOB)",15144.221699
Česko,prosinec 2024,Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací","Dovoz (v mil. Kč, CIF)",20615.725694
Česko,prosinec 2024,Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",Bilance (v mil. Kč),-5471.503995
Česko,prosinec 2024,Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",Obrat zboží (v mil. Kč),35759.947393
Česko,prosinec 2024,Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",Vývoz (meziroční index),115.4984290932
Česko,prosinec 2024,Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",Dovoz (meziroční index),115.9198792475
Česko,prosinec 2024,Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",Obrat zboží (meziroční index),115.7410215899
Česko,prosinec 2024,Běžné ceny,Bez očištění,"11 Nápoje, vč. subdodavatelských prací","Vývoz (v mil. Kč, FOB)",1737.26149
Česko,prosinec 2024,Běžné ceny,Bez očištění,"11 Nápoje, vč. subdodavatelských prací","Dovoz (v mil. Kč, CIF)",2017.327166
Česko,prosinec 2024,Běžné ceny,Bez očištění,"11 Nápoje, vč. subdodavatelských prací",Bilance (v mil. Kč),-280.065676
Česko,prosinec 2024,Běžné ceny,Bez očištění,"11 Nápoje, vč. subdodavatelských prací",Obrat zboží (v mil. Kč),3754.588656
Česko,prosinec 2024,Běžné ceny,Bez očištění,"11 Nápoje, vč. subdodavatelských prací",Vývoz (meziroční index),113.0896558837
Česko,prosinec 2024,Běžné ceny,Bez očištění,"11 Nápoje, vč. subdodavatelských prací",Dovoz (meziroční index),111.7676398668
Česko,prosinec 2024,Běžné ceny,Bez očištění,"11 Nápoje, vč. subdodavatelských prací",Obrat zboží (meziroční index),112.3754783842
Česko,prosinec 2024,Běžné ceny,Bez očištění,"12 Tabákové výrobky, vč. subdodavatelských prací","Vývoz (v mil. Kč, FOB)",151.914526
Česko,prosinec 2024,Běžné ceny,Bez očištění,"12 Tabákové výrobky, vč. subdodavatelských prací","Dovoz (v mil. Kč, CIF)",1768.301336
Česko,prosinec 2024,Běžné ceny,Bez očištění,"12 Tabákové výrobky, vč. subdodavatelských prací",Bilance (v mil. Kč),-1616.38681
Česko,prosinec 2024,Běžné ceny,Bez očištění,"12 Tabákové výrobky, vč. subdodavatelských prací",Obrat zboží (v mil. Kč),1920.215862
Česko,prosinec 2024,Běžné ceny,Bez očištění,"12 Tabákové výrobky, vč. subdodavatelských prací",Vývoz (meziroční index),134.3572499448
Česko,prosinec 2024,Běžné ceny,Bez očištění,"12 Tabákové výrobky, vč. subdodavatelských prací",Dovoz (meziroční index),177.450634461
Česko,prosinec 2024,Běžné ceny,Bez očištění,"12 Tabákové výrobky, vč. subdodavatelských prací",Obrat zboží (meziroční index),173.0593278543
Česko,prosinec 2024,Běžné ceny,Bez očištění,"13 Textilie, vč. souvisejících služeb a prací","Vývoz (v mil. Kč, FOB)",3699.307628
Česko,prosinec 2024,Běžné ceny,Bez očištění,"13 Textilie, vč. souvisejících služeb a prací","Dovoz (v mil. Kč, CIF)",3659.198523
Česko,prosinec 2024,Běžné ceny,Bez očištění,"13 Textilie, vč. souvisejících služeb a prací",Bilance (v mil. Kč),40.109105
Česko,prosinec 2024,Běžné ceny,Bez očištění,"13 Textilie, vč. souvisejících služeb a prací",Obrat zboží (v mil. Kč),7358.506151
Česko,prosinec 2024,Běžné ceny,Bez očištění,"13 Textilie, vč. souvisejících služeb a prací",Vývoz (meziroční index),102.8084461288
Česko,prosinec 2024,Běžné ceny,Bez očištění,"13 Textilie, vč. souvisejících služeb a prací",Dovoz (meziroční index),107.1967613593
Česko,prosinec 2024,Běžné ceny,Bez očištění,"13 Textilie, vč. souvisejících služeb a prací",Obrat zboží (meziroční index),104.9448010019
Česko,prosinec 2024,Běžné ceny,Bez očištění,"14 Oděvy, vč. subdodavatelských prací","Vývoz (v mil. Kč, FOB)",1707.221915
Česko,prosinec 2024,Běžné ceny,Bez očištění,"14 Oděvy, vč. subdodavatelských prací","Dovoz (v mil. Kč, CIF)",4459.860577
Česko,prosinec 2024,Běžné ceny,Bez očištění,"14 Oděvy, vč. subdodavatelských prací",Bilance (v mil. Kč),-2752.638662
Česko,prosinec 2024,Běžné ceny,Bez očištění,"14 Oděvy, vč. subdodavatelských prací",Obrat zboží (v mil. Kč),6167.082492
Česko,prosinec 2024,Běžné ceny,Bez očištění,"14 Oděvy, vč. subdodavatelských prací",Vývoz (meziroční index),96.3705624799
Česko,prosinec 2024,Běžné ceny,Bez očištění,"14 Oděvy, vč. subdodavatelských prací",Dovoz (meziroční index),107.4291370214
Česko,prosinec 2024,Běžné ceny,Bez očištění,"14 Oděvy, vč. subdodavatelských prací",Obrat zboží (meziroční index),104.1215919218
Česko,prosinec 2024,Běžné ceny,Bez očištění,"15 Usně a související výrobky, vč. subdodavatelských prací","Vývoz (v mil. Kč, FOB)",1128.414564
Česko,prosinec 2024,Běžné ceny,Bez očištění,"15 Usně a související výrobky, vč. subdodavatelských prací","Dovoz (v mil. Kč, CIF)",2083.905384
Česko,prosinec 2024,Běžné ceny,Bez očištění,"15 Usně a související výrobky, vč. subdodavatelských prací",Bilance (v mil. Kč),-955.49082
Česko,prosinec 2024,Běžné ceny,Bez očištění,"15 Usně a související výrobky, vč. subdodavatelských prací",Obrat zboží (v mil. Kč),3212.319948
Česko,prosinec 2024,Běžné ceny,Bez očištění,"15 Usně a související výrobky, vč. subdodavatelských prací",Vývoz (meziroční index),78.6366015371
Česko,prosinec 2024,Běžné ceny,Bez očištění,"15 Usně a související výrobky, vč. subdodavatelských prací",Dovoz (meziroční index),103.587696182
Česko,prosinec 2024,Běžné ceny,Bez očištění,"15 Usně a související výrobky, vč. subdodavatelských prací",Obrat zboží (meziroční index),93.199754046
Česko,prosinec 2024,Běžné ceny,Bez očištění,"16 Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky, vč. souvisejících služeb a prací","Vývoz (v mil. Kč, FOB)",2818.602048
Česko,prosinec 2024,Běžné ceny,Bez očištění,"16 Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky, vč. souvisejících služeb a prací","Dovoz (v mil. Kč, CIF)",1586.869716
Česko,prosinec 2024,Běžné ceny,Bez očištění,"16 Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky, vč. souvisejících služeb a prací",Bilance (v mil. Kč),1231.732332
Česko,prosinec 2024,Běžné ceny,Bez očištění,"16 Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky, vč. souvisejících služeb a prací",Obrat zboží (v mil. Kč),4405.471764
Česko,prosinec 2024,Běžné ceny,Bez očištění,"16 Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky, vč. souvisejících služeb a prací",Vývoz (meziroční index),117.2541377093
Česko,prosinec 2024,Běžné ceny,Bez očištění,"16 Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky, vč. souvisejících služeb a prací",Dovoz (meziroční index),101.9634726099
Česko,prosinec 2024,Běžné ceny,Bez očištění,"16 Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky, vč. souvisejících služeb a prací",Obrat zboží (meziroční index),111.2450137566
Česko,prosinec 2024,Běžné ceny,Bez očištění,"17 Papír a výrobky z papíru, vč. subdodavatelských prací","Vývoz (v mil. Kč, FOB)",6410.818665
Česko,prosinec 2024,Běžné ceny,Bez očištění,"17 Papír a výrobky z papíru, vč. subdodavatelských prací","Dovoz (v mil. Kč, CIF)",4749.763392
Česko,prosinec 2024,Běžné ceny,Bez očištění,"17 Papír a výrobky z papíru, vč. subdodavatelských prací",Bilance (v mil. Kč),1661.055273
Česko,prosinec 2024,Běžné ceny,Bez očištění,"17 Papír a výrobky z papíru, vč. subdodavatelských prací",Obrat zboží (v mil. Kč),11160.582057
Česko,prosinec 2024,Běžné ceny,Bez očištění,"17 Papír a výrobky z papíru, vč. subdodavatelských prací",Vývoz (meziroční index),113.3833937741
Česko,prosinec 2024,Běžné ceny,Bez očištění,"17 Papír a výrobky z papíru, vč. subdodavatelských prací",Dovoz (meziroční index),103.546707942
Česko,prosinec 2024,Běžné ceny,Bez očištění,"17 Papír a výrobky z papíru, vč. subdodavatelských prací",Obrat zboží (meziroční index),108.977495567
Česko,prosinec 2024,Běžné ceny,Bez očištění,18 Tiskařské a nahrávací služby,"Vývoz (v mil. Kč, FOB)",46.716808
Česko,prosinec 2024,Běžné ceny,Bez očištění,18 Tiskařské a nahrávací služby,"Dovoz (v mil. Kč, CIF)",25.347083
Česko,prosinec 2024,Běžné ceny,Bez očištění,18 Tiskařské a nahrávací služby,Bilance (v mil. Kč),21.369725
Česko,prosinec 2024,Běžné ceny,Bez očištění,18 Tiskařské a nahrávací služby,Obrat zboží (v mil. Kč),72.063891
Česko,prosinec 2024,Běžné ceny,Bez očištění,18 Tiskařské a nahrávací služby,Vývoz (meziroční index),170.4134954532
Česko,prosinec 2024,Běžné ceny,Bez očištění,18 Tiskařské a nahrávací služby,Dovoz (meziroční index),77.3697880682
Česko,prosinec 2024,Běžné ceny,Bez očištění,18 Tiskařské a nahrávací služby,Obrat zboží (meziroční index),119.7576847553
Česko,prosinec 2024,Běžné ceny,Bez očištění,"19 Koks a rafinované ropné produkty, vč. subdodavatelských prací","Vývoz (v mil. Kč, FOB)",3599.108864
Česko,prosinec 2024,Běžné ceny,Bez očištění,"19 Koks a rafinované ropné produkty, vč. subdodavatelských prací","Dovoz (v mil. Kč, CIF)",6851.494296
Česko,prosinec 2024,Běžné ceny,Bez očištění,"19 Koks a rafinované ropné produkty, vč. subdodavatelských prací",Bilance (v mil. Kč),-3252.385432
Česko,prosinec 2024,Běžné ceny,Bez očištění,"19 Koks a rafinované ropné produkty, vč. subdodavatelských prací",Obrat zboží (v mil. Kč),10450.60316
Česko,prosinec 2024,Běžné ceny,Bez očištění,"19 Koks a rafinované ropné produkty, vč. subdodavatelských prací",Vývoz (meziroční index),101.3314456302
Česko,prosinec 2024,Běžné ceny,Bez očištění,"19 Koks a rafinované ropné produkty, vč. subdodavatelských prací",Dovoz (meziroční index),100.2213055756
Česko,prosinec 2024,Běžné ceny,Bez očištění,"19 Koks a rafinované ropné produkty, vč. subdodavatelských prací",Obrat zboží (meziroční index),100.60087298
Česko,prosinec 2024,Běžné ceny,Bez očištění,"20 Chemické látky a chemické přípravky, vč. subdodavatelských prací","Vývoz (v mil. Kč, FOB)",17943.698319
Česko,prosinec 2024,Běžné ceny,Bez očištění,"20 Chemické látky a chemické přípravky, vč. subdodavatelských prací","Dovoz (v mil. Kč, CIF)",24195.744429
Česko,prosinec 2024,Běžné ceny,Bez očištění,"20 Chemické látky a chemické přípravky, vč. subdodavatelských prací",Bilance (v mil. Kč),-6252.04611
Česko,prosinec 2024,Běžné ceny,Bez očištění,"20 Chemické látky a chemické přípravky, vč. subdodavatelských prací",Obrat zboží (v mil. Kč),42139.442748
Česko,prosinec 2024,Běžné ceny,Bez očištění,"20 Chemické látky a chemické přípravky, vč. subdodavatelských prací",Vývoz (meziroční index),114.1081279051
Česko,prosinec 2024,Běžné ceny,Bez očištění,"20 Chemické látky a chemické přípravky, vč. subdodavatelských prací",Dovoz (meziroční index),106.6083192118
Česko,prosinec 2024,Běžné ceny,Bez očištění,"20 Chemické látky a chemické přípravky, vč. subdodavatelských prací",Obrat zboží (meziroční index),109.6778769815
Česko,prosinec 2024,Běžné ceny,Bez očištění,"21 Základní farmaceutické výrobky a farmaceutické přípravky, vč. subdodavatelských prací","Vývoz (v mil. Kč, FOB)",5572.493299
Česko,prosinec 2024,Běžné ceny,Bez očištění,"21 Základní farmaceutické výrobky a farmaceutické přípravky, vč. subdodavatelských prací","Dovoz (v mil. Kč, CIF)",10218.90637
Česko,prosinec 2024,Běžné ceny,Bez očištění,"21 Základní farmaceutické výrobky a farmaceutické přípravky, vč. subdodavatelských prací",Bilance (v mil. Kč),-4646.413071
Česko,prosinec 2024,Běžné ceny,Bez očištění,"21 Základní farmaceutické výrobky a farmaceutické přípravky, vč. subdodavatelských prací",Obrat zboží (v mil. Kč),15791.399669
Česko,prosinec 2024,Běžné ceny,Bez očištění,"21 Základní farmaceutické výrobky a farmaceutické přípravky, vč. subdodavatelských prací",Vývoz (meziroční index),97.4105046249
Česko,prosinec 2024,Běžné ceny,Bez očištění,"21 Základní farmaceutické výrobky a farmaceutické přípravky, vč. subdodavatelských prací",Dovoz (meziroční index),106.0582653867
Česko,prosinec 2024,Běžné ceny,Bez očištění,"21 Základní farmaceutické výrobky a farmaceutické přípravky, vč. subdodavatelských prací",Obrat zboží (meziroční index),102.8366425723
Česko,prosinec 2024,Běžné ceny,Bez očištění,"22 Pryžové a plastové výrobky, vč. souvisejících služeb a prací","Vývoz (v mil. Kč, FOB)",13598.147344
Česko,prosinec 2024,Běžné ceny,Bez očištění,"22 Pryžové a plastové výrobky, vč. souvisejících služeb a prací","Dovoz (v mil. Kč, CIF)",12701.530805
Česko,prosinec 2024,Běžné ceny,Bez očištění,"22 Pryžové a plastové výrobky, vč. souvisejících služeb a prací",Bilance (v mil. Kč),896.616539
Česko,prosinec 2024,Běžné ceny,Bez očištění,"22 Pryžové a plastové výrobky, vč. souvisejících služeb a prací",Obrat zboží (v mil. Kč),26299.678149
Česko,prosinec 2024,Běžné ceny,Bez očištění,"22 Pryžové a plastové výrobky, vč. souvisejících služeb a prací",Vývoz (meziroční index),105.3553774494
Česko,prosinec 2024,Běžné ceny,Bez očištění,"22 Pryžové a plastové výrobky, vč. souvisejících služeb a prací",Dovoz (meziroční index),102.3432038884
Česko,prosinec 2024,Běžné ceny,Bez očištění,"22 Pryžové a plastové výrobky, vč. souvisejících služeb a prací",Obrat zboží (meziroční index),103.8788090232
Česko,prosinec 2024,Běžné ceny,Bez očištění,"23 Ostatní nekovové minerální výrobky, vč. souvisejících služeb a prací","Vývoz (v mil. Kč, FOB)",5295.067201
Česko,prosinec 2024,Běžné ceny,Bez očištění,"23 Ostatní nekovové minerální výrobky, vč. souvisejících služeb a prací","Dovoz (v mil. Kč, CIF)",3774.850203
Česko,prosinec 2024,Běžné ceny,Bez očištění,"23 Ostatní nekovové minerální výrobky, vč. souvisejících služeb a prací",Bilance (v mil. Kč),1520.216998
Česko,prosinec 2024,Běžné ceny,Bez očištění,"23 Ostatní nekovové minerální výrobky, vč. souvisejících služeb a prací",Obrat zboží (v mil. Kč),9069.917404
Česko,prosinec 2024,Běžné ceny,Bez očištění,"23 Ostatní nekovové minerální výrobky, vč. souvisejících služeb a prací",Vývoz (meziroční index),102.5917934763
Česko,prosinec 2024,Běžné ceny,Bez očištění,"23 Ostatní nekovové minerální výrobky, vč. souvisejících služeb a prací",Dovoz (meziroční index),116.0117028928
Česko,prosinec 2024,Běžné ceny,Bez očištění,"23 Ostatní nekovové minerální výrobky, vč. souvisejících služeb a prací",Obrat zboží (meziroční index),107.7808170577
Česko,prosinec 2024,Běžné ceny,Bez očištění,"24 Základní kovy, vč. subdodavatelských prací","Vývoz (v mil. Kč, FOB)",8265.550567
Česko,prosinec 2024,Běžné ceny,Bez očištění,"24 Základní kovy, vč. subdodavatelských prací","Dovoz (v mil. Kč, CIF)",19806.83128
Česko,prosinec 2024,Běžné ceny,Bez očištění,"24 Základní kovy, vč. subdodavatelských prací",Bilance (v mil. Kč),-11541.280713
Česko,prosinec 2024,Běžné ceny,Bez očištění,"24 Základní kovy, vč. subdodavatelských prací",Obrat zboží (v mil. Kč),28072.381847
Česko,prosinec 2024,Běžné ceny,Bez očištění,"24 Základní kovy, vč. subdodavatelských prací",Vývoz (meziroční index),104.7108445934
Česko,prosinec 2024,Běžné ceny,Bez očištění,"24 Základní kovy, vč. subdodavatelských prací",Dovoz (meziroční index),107.2190024614
Česko,prosinec 2024,Běžné ceny,Bez očištění,"24 Základní kovy, vč. subdodavatelských prací",Obrat zboží (meziroční index),106.4681142396
Česko,prosinec 2024,Běžné ceny,Bez očištění,"25 Kovodělné výrobky, kromě strojů a zařízení, vč. subdodavatelských prací","Vývoz (v mil. Kč, FOB)",18412.798848
Česko,prosinec 2024,Běžné ceny,Bez očištění,"25 Kovodělné výrobky, kromě strojů a zařízení, vč. subdodavatelských prací","Dovoz (v mil. Kč, CIF)",22531.633168
Česko,prosinec 2024,Běžné ceny,Bez očištění,"25 Kovodělné výrobky, kromě strojů a zařízení, vč. subdodavatelských prací",Bilance (v mil. Kč),-4118.83432
Česko,prosinec 2024,Běžné ceny,Bez očištění,"25 Kovodělné výrobky, kromě strojů a zařízení, vč. subdodavatelských prací",Obrat zboží (v mil. Kč),40944.432016
Česko,prosinec 2024,Běžné ceny,Bez očištění,"25 Kovodělné výrobky, kromě strojů a zařízení, vč. subdodavatelských prací",Vývoz (meziroční index),104.1371196765
Česko,prosinec 2024,Běžné ceny,Bez očištění,"25 Kovodělné výrobky, kromě strojů a zařízení, vč. subdodavatelských prací",Dovoz (meziroční index),168.2012554074
Česko,prosinec 2024,Běžné ceny,Bez očištění,"25 Kovodělné výrobky, kromě strojů a zařízení, vč. subdodavatelských prací",Obrat zboží (meziroční index),131.7518077984
Česko,prosinec 2024,Běžné ceny,Bez očištění,"26 Počítače, elektronické a optické přístroje a zařízení, vč. souvisejících služeb a prací","Vývoz (v mil. Kč, FOB)",42835.698649
Česko,prosinec 2024,Běžné ceny,Bez očištění,"26 Počítače, elektronické a optické přístroje a zařízení, vč. souvisejících služeb a prací","Dovoz (v mil. Kč, CIF)",43738.591675
Česko,prosinec 2024,Běžné ceny,Bez očištění,"26 Počítače, elektronické a optické přístroje a zařízení, vč. souvisejících služeb a prací",Bilance (v mil. Kč),-902.893026
Česko,prosinec 2024,Běžné ceny,Bez očištění,"26 Počítače, elektronické a optické přístroje a zařízení, vč. souvisejících služeb a prací",Obrat zboží (v mil. Kč),86574.290324
Česko,prosinec 2024,Běžné ceny,Bez očištění,"26 Počítače, elektronické a optické přístroje a zařízení, vč. souvisejících služeb a prací",Vývoz (meziroční index),127.5928289924
Česko,prosinec 2024,Běžné ceny,Bez očištění,"26 Počítače, elektronické a optické přístroje a zařízení, vč. souvisejících služeb a prací",Dovoz (meziroční index),124.9469451697
Česko,prosinec 2024,Běžné ceny,Bez očištění,"26 Počítače, elektronické a optické přístroje a zařízení, vč. souvisejících služeb a prací",Obrat zboží (meziroční index),126.2422324012
Česko,prosinec 2024,Běžné ceny,Bez očištění,"27 Elektrická zařízení, vč. subdodavatelských prací","Vývoz (v mil. Kč, FOB)",31897.528255
Česko,prosinec 2024,Běžné ceny,Bez očištění,"27 Elektrická zařízení, vč. subdodavatelských prací","Dovoz (v mil. Kč, CIF)",29942.99911
Česko,prosinec 2024,Běžné ceny,Bez očištění,"27 Elektrická zařízení, vč. subdodavatelských prací",Bilance (v mil. Kč),1954.529145
Česko,prosinec 2024,Běžné ceny,Bez očištění,"27 Elektrická zařízení, vč. subdodavatelských prací",Obrat zboží (v mil. Kč),61840.527365
Česko,prosinec 2024,Běžné ceny,Bez očištění,"27 Elektrická zařízení, vč. subdodavatelských prací",Vývoz (meziroční index),103.9743571297
Česko,prosinec 2024,Běžné ceny,Bez očištění,"27 Elektrická zařízení, vč. subdodavatelských prací",Dovoz (meziroční index),107.9858895912
Česko,prosinec 2024,Běžné ceny,Bez očištění,"27 Elektrická zařízení, vč. subdodavatelských prací",Obrat zboží (meziroční index),105.8788289128
Česko,prosinec 2024,Běžné ceny,Bez očištění,"28 Stroje a zařízení j. n., vč. souvisejících služeb a prací","Vývoz (v mil. Kč, FOB)",37733.651409
